##NAMES=Peretaite
##RRUFFID=R060459
##IDEAL CHEMISTRY=CaSb^3+^_4_O_4_(S^6+^O_4_)_2_(OH)_2_&#183;2H_2_O
##LOCALITY=Pereta mine, Grosseto, Tuscany, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless thin plates, with red incrustations of valentinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060459
281.4715, 1458.018
281.9536, 1459.833
282.4357, 1460.056
282.9178, 1459.625
283.3999, 1460.254
283.8820, 1461.984
284.3642, 1463.543
284.8463, 1464.075
285.3284, 1463.677
285.8105, 1463.690
286.2926, 1464.008
286.7747, 1464.942
287.2569, 1467.466
287.7390, 1471.478
288.2211, 1474.723
288.7032, 1476.068
289.1853, 1475.855
289.6674, 1475.861
290.1496, 1476.237
290.6317, 1475.964
291.1138, 1473.020
291.5959, 1467.921
292.0780, 1464.227
292.5602, 1463.204
293.0423, 1464.334
293.5244, 1467.200
294.0065, 1471.914
294.4886, 1475.660
294.9707, 1474.597
295.4529, 1470.150
295.9350, 1467.629
296.4171, 1469.266
296.8992, 1472.746
297.3813, 1473.830
297.8634, 1472.697
298.3456, 1471.393
298.8277, 1471.392
299.3098, 1472.370
299.7919, 1473.780
300.2740, 1475.816
300.7561, 1477.676
301.2383, 1477.548
301.7204, 1475.969
302.2025, 1475.396
302.6846, 1478.074
303.1667, 1482.533
303.6488, 1486.836
304.1310, 1490.850
304.6131, 1494.048
305.0952, 1494.828
305.5773, 1494.164
306.0594, 1494.685
306.5415, 1499.040
307.0237, 1504.653
307.5058, 1508.809
307.9879, 1511.101
308.4700, 1512.787
308.9521, 1514.696
309.4343, 1516.672
309.9164, 1518.488
310.3985, 1519.643
310.8806, 1520.882
311.3627, 1522.658
311.8448, 1525.002
312.3270, 1528.062
312.8091, 1533.134
313.2912, 1538.594
313.7733, 1542.531
314.2554, 1543.482
314.7375, 1543.420
315.2197, 1542.192
315.7018, 1540.183
316.1839, 1540.544
316.6660, 1545.768
317.1481, 1553.430
317.6302, 1561.561
318.1124, 1570.722
318.5945, 1579.038
319.0766, 1585.515
319.5587, 1590.576
320.0408, 1595.800
320.5229, 1600.325
321.0051, 1606.093
321.4872, 1614.516
321.9693, 1627.594
322.4514, 1639.781
322.9335, 1649.261
323.4156, 1657.155
323.8978, 1665.617
324.3799, 1674.736
324.8620, 1684.735
325.3441, 1695.780
325.8262, 1707.892
326.3083, 1720.682
326.7905, 1734.676
327.2726, 1749.210
327.7547, 1763.276
328.2368, 1775.973
328.7189, 1789.223
329.2010, 1803.368
329.6832, 1818.286
330.1653, 1834.034
330.6474, 1850.673
331.1295, 1868.082
331.6116, 1886.506
332.0938, 1907.540
332.5759, 1927.062
333.0580, 1943.723
333.5401, 1958.139
334.0222, 1974.002
334.5043, 1993.002
334.9865, 2011.291
335.4686, 2027.015
335.9507, 2040.597
336.4328, 2050.638
336.9149, 2057.583
337.3970, 2060.787
337.8792, 2058.332
338.3613, 2049.640
338.8434, 2036.959
339.3255, 2020.811
339.8076, 2000.880
340.2898, 1979.310
340.7719, 1955.621
341.2540, 1930.876
341.7361, 1905.607
342.2182, 1880.098
342.7003, 1855.510
343.1825, 1832.199
343.6646, 1810.152
344.1467, 1791.173
344.6288, 1775.402
345.1109, 1761.121
345.5930, 1745.541
346.0752, 1729.219
346.5573, 1716.010
347.0394, 1707.427
347.5215, 1701.878
348.0036, 1695.748
348.4857, 1689.074
348.9679, 1682.716
349.4500, 1677.185
349.9321, 1672.405
350.4142, 1668.350
350.8963, 1665.251
351.3784, 1662.221
351.8606, 1657.915
352.3427, 1652.678
352.8248, 1647.679
353.3069, 1643.315
353.7890, 1639.751
354.2711, 1637.272
354.7533, 1635.973
355.2354, 1635.214
355.7175, 1635.210
356.1996, 1635.310
356.6817, 1634.370
357.1638, 1630.564
357.6460, 1626.510
358.1281, 1624.361
358.6102, 1624.014
359.0923, 1623.756
359.5744, 1622.459
360.0565, 1620.859
360.5387, 1619.720
361.0208, 1620.082
361.5029, 1619.911
361.9850, 1617.927
362.4671, 1614.630
362.9492, 1611.570
363.4314, 1608.991
363.9135, 1607.012
364.3956, 1605.815
364.8777, 1605.807
365.3598, 1605.665
365.8419, 1604.908
366.3241, 1603.904
366.8062, 1603.206
367.2883, 1603.038
367.7704, 1603.034
368.2526, 1602.972
368.7347, 1602.717
369.2168, 1603.182
369.6989, 1605.393
370.1810, 1607.690
370.6631, 1608.696
371.1453, 1607.427
371.6274, 1606.333
372.1095, 1605.890
372.5916, 1605.917
373.0737, 1605.178
373.5558, 1603.105
374.0380, 1601.087
374.5201, 1599.766
375.0022, 1599.051
375.4843, 1599.524
375.9664, 1601.776
376.4485, 1604.724
376.9307, 1606.160
377.4128, 1605.772
377.8949, 1605.106
378.3770, 1604.546
378.8591, 1604.120
379.3412, 1604.844
379.8234, 1607.061
380.3055, 1609.197
380.7876, 1609.057
381.2697, 1606.795
381.7518, 1605.079
382.2339, 1604.692
382.7161, 1605.248
383.1982, 1606.141
383.6803, 1607.346
384.1624, 1608.192
384.6445, 1607.609
385.1266, 1606.295
385.6088, 1606.148
