##NAMES=Cristobalite
##RRUFFID=R061064
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Ellora Caves, India
##OWNER=RRUFF
##SOURCE=Harvard Mineralogical Museum
##DESCRIPTION=Colorless single crystals, octahedra and groups of octahedra, some have transformed to quartz. Sample used in Downs and Palmer (1994)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061064
##MEASURED CHEMISTRY=Si_1.00_O_2_·0.11H_2_O ; trace amounts of Al and Na; H_2_O by difference, verified by Raman spectroscopy
433.9762, 7130.789
434.4583, 6999.208
434.9404, 6858.721
435.4225, 6721.202
435.9046, 6606.144
436.3867, 6510.916
436.8689, 6419.486
437.3510, 6323.211
437.8331, 6226.177
438.3152, 6130.936
438.7973, 6037.341
439.2794, 5954.995
439.7616, 5902.042
440.2437, 5861.818
440.7258, 5811.431
441.2079, 5734.812
441.6900, 5654.353
442.1721, 5581.338
442.6543, 5514.351
443.1364, 5447.013
443.6185, 5376.337
444.1006, 5304.943
444.5827, 5234.486
445.0648, 5165.152
445.5470, 5095.953
446.0291, 5024.208
446.5112, 4952.874
446.9933, 4887.665
447.4754, 4832.049
447.9576, 4777.664
448.4397, 4719.395
448.9218, 4657.123
449.4039, 4610.790
449.8860, 4590.520
450.3681, 4572.490
450.8503, 4536.290
451.3324, 4476.555
451.8145, 4417.875
452.2966, 4360.740
452.7787, 4308.032
453.2608, 4271.636
453.7430, 4252.796
454.2251, 4234.468
454.7072, 4209.206
455.1893, 4177.083
455.6714, 4134.939
456.1535, 4080.604
456.6357, 4031.222
457.1178, 4011.928
457.5999, 4013.184
458.0820, 4005.909
458.5641, 3971.359
459.0462, 3931.976
459.5284, 3919.758
460.0105, 3929.477
460.4926, 3933.633
460.9747, 3905.449
461.4568, 3869.092
461.9389, 3848.223
462.4211, 3851.612
462.9032, 3856.089
463.3853, 3851.409
463.8674, 3840.826
464.3495, 3829.383
464.8316, 3823.689
465.3138, 3812.233
465.7959, 3784.186
466.2780, 3737.931
466.7601, 3712.321
467.2422, 3733.483
467.7243, 3758.782
468.2065, 3761.891
468.6886, 3728.874
469.1707, 3700.099
469.6528, 3676.723
470.1349, 3658.715
470.6170, 3646.627
471.0992, 3642.511
471.5813, 3638.331
472.0634, 3629.837
472.5455, 3617.410
473.0276, 3612.720
473.5097, 3618.112
473.9918, 3620.998
474.4739, 3603.087
474.9561, 3568.147
475.4382, 3542.134
475.9203, 3534.043
476.4024, 3533.677
476.8845, 3524.167
477.3666, 3507.524
477.8488, 3493.709
478.3309, 3492.641
478.8130, 3495.900
479.2951, 3492.149
479.7772, 3479.462
480.2593, 3467.992
480.7415, 3465.678
481.2236, 3467.895
481.7057, 3468.898
482.1878, 3470.588
482.6699, 3466.879
483.1520, 3450.602
483.6342, 3425.029
484.1163, 3406.919
484.5984, 3404.602
485.0805, 3406.347
485.5626, 3407.422
486.0447, 3409.783
486.5269, 3406.595
487.0090, 3395.672
487.4911, 3380.550
487.9732, 3365.030
488.4553, 3346.715
488.9374, 3334.221
489.4196, 3331.630
489.9017, 3336.703
490.3838, 3335.281
490.8659, 3326.662
491.3480, 3314.998
491.8301, 3301.434
492.3123, 3286.544
492.7944, 3276.096
493.2765, 3271.120
493.7586, 3268.533
494.2407, 3263.749
494.7228, 3257.759
495.2050, 3253.893
495.6871, 3261.503
496.1692, 3267.265
496.6513, 3249.321
497.1334, 3211.120
497.6155, 3181.609
498.0977, 3186.892
498.5798, 3203.660
499.0619, 3210.942
499.5440, 3199.673
500.0261, 3189.120
500.5082, 3185.623
500.9904, 3187.016
501.4725, 3189.682
501.9546, 3194.864
502.4367, 3199.296
502.9188, 3203.660
503.4009, 3207.968
503.8831, 3204.362
504.3652, 3186.819
504.8473, 3168.335
505.3294, 3156.667
505.8115, 3152.641
506.2936, 3153.603
506.7758, 3161.972
507.2579, 3171.913
507.7400, 3173.099
508.2221, 3165.347
508.7042, 3152.517
509.1863, 3132.026
509.6685, 3108.661
510.1506, 3097.669
510.6327, 3099.038
511.1148, 3105.618
511.5969, 3116.520
512.0790, 3127.772
512.5612, 3131.434
513.0433, 3124.167
513.5254, 3114.710
514.0075, 3109.021
514.4896, 3106.236
514.9717, 3104.774
515.4539, 3104.830
515.9360, 3105.112
516.4181, 3103.682
516.9002, 3100.639
517.3823, 3101.492
517.8644, 3112.906
518.3466, 3124.574
518.8287, 3130.206
519.3108, 3127.230
519.7929, 3122.264
520.2750, 3115.821
520.7571, 3107.054
521.2393, 3092.866
521.7214, 3068.278
522.2035, 3052.472
522.6856, 3052.700
523.1677, 3066.526
523.6498, 3079.757
524.1320, 3092.914
524.6141, 3102.529
525.0962, 3104.315
525.5783, 3099.959
526.0604, 3096.684
526.5425, 3095.879
527.0247, 3093.857
527.5068, 3084.413
527.9889, 3070.417
528.4710, 3058.685
528.9531, 3050.827
529.4352, 3047.176
529.9174, 3049.907
530.3995, 3058.007
530.8816, 3065.082
531.3637, 3069.089
531.8458, 3070.792
532.3279, 3069.421
532.8101, 3060.955
533.2922, 3059.803
533.7743, 3077.417
534.2564, 3099.571
534.7385, 3108.996
535.2206, 3097.844
535.7027, 3087.022
536.1848, 3079.369
536.6669, 3074.450
537.1490, 3070.741
537.6312, 3068.225
538.1133, 3066.773
538.5954, 3067.740
539.0775, 3070.707
539.5596, 3066.906
540.0417, 3054.793
540.5239, 3044.127
541.0060, 3051.146
541.4881, 3069.056
541.9702, 3076.411
542.4523, 3061.425
542.9344, 3042.808
543.4166, 3041.237
543.8987, 3052.326
544.3808, 3063.379
544.8629, 3069.628
545.3450, 3072.406
545.8271, 3070.646
546.3093, 3063.664
546.7914, 3060.900
547.2735, 3071.514
547.7556, 3083.448
548.2377, 3087.277
548.7198, 3070.854
549.2020, 3062.284
549.6841, 3066.826
550.1662, 3077.810
550.6483, 3080.514
551.1304, 3071.392
551.6125, 3063.633
552.0947, 3061.074
552.5768, 3063.363
553.0589, 3069.701
553.5410, 3080.693
554.0231, 3090.266
554.5052, 3092.704
554.9874, 3089.661
555.4695, 3086.396
555.9516, 3083.349
556.4337, 3081.010
556.9158, 3082.769
557.3979, 3085.394
557.8801, 3082.707
558.3622, 3062.930
558.8443, 3045.536
559.3264, 3047.353
559.8085, 3063.341
560.2906, 3070.663
560.7728, 3051.928
561.2549, 3031.049
561.7370, 3019.201
562.2191, 3018.584
562.7012, 3023.599
563.1833, 3039.266
563.6655, 3056.354
564.1476, 3066.750
564.6297, 3069.398
565.1118, 3067.550
565.5939, 3058.851
566.0760, 3048.313
566.5582, 3051.120
567.0403, 3067.756
567.5224, 3080.388
568.0045, 3077.173
568.4866, 3064.681
568.9688, 3061.490
569.4509, 3067.363
569.9330, 3072.136
570.4151, 3061.580
570.8972, 3047.953
571.3793, 3048.849
571.8615, 3072.519
572.3436, 3095.511
572.8257, 3104.853
573.3078, 3105.217
573.7899, 3103.177
574.2720, 3098.207
574.7542, 3093.322
575.2363, 3088.434
575.7184, 3083.931
576.2005, 3082.677
576.6826, 3089.680
577.1647, 3092.731
577.6469, 3082.424
578.1290, 3055.401
578.6111, 3052.782
579.0932, 3081.688
579.5753, 3115.357
580.0574, 3124.876
580.5396, 3112.875
581.0217, 3099.701
581.5038, 3087.247
581.9859, 3079.517
582.4680, 3086.220
582.9501, 3102.599
583.4323, 3115.098
583.9144, 3113.703
584.3965, 3108.038
584.8786, 3104.329
585.3607, 3102.834
585.8428, 3104.322
586.3250, 3113.580
586.8071, 3122.623
587.2892, 3126.327
587.7713, 3121.567
588.2534, 3117.891
588.7355, 3115.027
589.2177, 3114.043
589.6998, 3116.923
590.1819, 3126.633
590.6640, 3131.723
591.1461, 3129.109
591.6282, 3121.974
592.1104, 3118.276
592.5925, 3118.049
593.0746, 3119.129
593.5567, 3118.540
594.0388, 3118.716
594.5209, 3129.614
595.0031, 3150.599
595.4852, 3166.519
595.9673, 3160.024
596.4494, 3145.001
596.9315, 3138.473
597.4136, 3146.175
597.8958, 3153.791
598.3779, 3155.218
598.8600, 3152.693
599.3421, 3148.958
599.8242, 3138.263
600.3063, 3134.202
600.7885, 3144.112
601.2706, 3162.336
601.7527, 3170.083
602.2348, 3161.112
602.7169, 3154.559
603.1990, 3157.843
603.6812, 3170.543
604.1633, 3186.374
604.6454, 3206.568
605.1275, 3222.283
605.6096, 3224.289
606.0917, 3215.598
606.5739, 3204.892
607.0560, 3192.598
607.5381, 3181.139
608.0202, 3172.982
608.5023, 3167.112
608.9844, 3161.785
609.4666, 3152.837
609.9487, 3147.941
610.4308, 3153.982
610.9129, 3167.509
611.3950, 3177.299
611.8771, 3182.538
612.3593, 3182.271
612.8414, 3174.202
613.3235, 3157.866
613.8056, 3147.020
614.2877, 3141.616
614.7698, 3141.962
615.2520, 3151.599
615.7341, 3171.105
616.2162, 3179.825
616.6983, 3174.411
617.1804, 3164.798
617.6625, 3162.555
618.1446, 3166.468
618.6267, 3173.305
619.1088, 3184.603
619.5909, 3194.790
620.0731, 3199.520
620.5552, 3198.883
621.0373, 3193.278
621.5194, 3175.810
622.0015, 3159.891
622.4836, 3152.370
622.9658, 3153.760
623.4479, 3157.924
623.9300, 3168.078
624.4121, 3177.401
624.8942, 3181.882
625.3763, 3179.488
625.8585, 3180.063
626.3406, 3184.971
626.8227, 3190.201
627.3048, 3190.141
627.7869, 3185.066
628.2690, 3180.608
628.7512, 3176.540
629.2333, 3176.397
629.7154, 3191.287
630.1975, 3215.437
630.6796, 3231.355
631.1617, 3224.440
631.6439, 3210.855
632.1260, 3201.489
632.6081, 3196.159
633.0902, 3191.398
633.5723, 3187.751
634.0544, 3183.054
634.5366, 3176.946
635.0187, 3170.573
635.5008, 3156.359
635.9829, 3123.363
636.4650, 3094.627
636.9471, 3092.599
637.4293, 3123.577
637.9114, 3143.237
638.3935, 3146.158
638.8756, 3139.187
639.3577, 3127.713
639.8398, 3113.898
640.3220, 3110.955
640.8041, 3130.738
641.2862, 3155.022
641.7683, 3159.933
642.2504, 3150.604
642.7325, 3144.409
643.2147, 3160.105
643.6968, 3173.051
644.1789, 3163.431
644.6610, 3129.427
645.1431, 3108.676
645.6252, 3121.604
646.1074, 3136.981
646.5895, 3138.341
647.0716, 3119.075
647.5537, 3108.613
648.0358, 3108.766
648.5179, 3114.935
649.0001, 3123.931
649.4822, 3135.390
649.9643, 3143.909
650.4464, 3148.079
650.9285, 3149.668
651.4106, 3151.135
651.8928, 3152.005
652.3749, 3151.075
652.8570, 3146.673
653.3391, 3141.219
653.8212, 3133.437
654.3033, 3125.177
654.7855, 3123.866
655.2676, 3141.634
655.7497, 3157.904
656.2318, 3162.655
656.7139, 3154.582
657.1960, 3151.337
657.6782, 3156.445
658.1603, 3160.781
658.6424, 3156.171
659.1245, 3141.951
659.6066, 3133.960
660.0887, 3133.781
660.5709, 3136.925
661.0530, 3137.005
661.5351, 3136.225
662.0172, 3141.313
662.4993, 3156.464
662.9814, 3173.216
663.4636, 3186.705
663.9457, 3196.198
664.4278, 3200.186
664.9099, 3191.266
665.3920, 3183.808
665.8741, 3185.778
666.3563, 3194.734
666.8384, 3193.709
667.3205, 3171.251
667.8026, 3157.165
668.2847, 3165.767
668.7668, 3196.145
669.2490, 3219.542
669.7311, 3236.528
670.2132, 3243.437
670.6953, 3231.994
671.1774, 3208.433
671.6595, 3190.367
672.1417, 3179.247
672.6238, 3174.322
673.1059, 3177.927
673.5880, 3186.098
674.0701, 3194.240
674.5522, 3203.679
675.0344, 3208.716
675.5165, 3203.238
675.9986, 3193.323
676.4807, 3189.217
676.9628, 3197.126
677.4449, 3200.663
677.9271, 3194.265
678.4092, 3182.809
678.8913, 3183.188
679.3734, 3196.864
679.8555, 3209.941
680.3376, 3218.590
680.8198, 3221.620
681.3019, 3210.861
681.7840, 3188.457
682.2661, 3172.806
682.7482, 3184.657
683.2303, 3204.492
683.7125, 3213.244
684.1946, 3208.340
684.6767, 3204.221
685.1588, 3208.755
685.6409, 3214.294
686.1230, 3214.979
686.6052, 3208.529
687.0873, 3201.275
687.5694, 3189.963
688.0515, 3181.711
688.5336, 3188.966
689.0157, 3213.005
689.4979, 3227.106
689.9800, 3225.424
690.4621, 3214.594
690.9442, 3199.755
691.4263, 3183.858
691.9084, 3176.573
692.3906, 3186.955
692.8727, 3202.728
693.3548, 3216.767
693.8369, 3229.157
694.3190, 3239.453
694.8011, 3246.135
695.2833, 3252.297
695.7654, 3262.147
696.2475, 3274.959
696.7296, 3272.265
697.2117, 3243.826
697.6938, 3221.102
698.1760, 3227.671
698.6581, 3261.574
699.1402, 3272.666
699.6223, 3258.836
700.1044, 3244.293
700.5865, 3256.667
701.0686, 3281.748
701.5507, 3293.283
702.0328, 3285.235
702.5150, 3273.053
702.9971, 3258.776
703.4792, 3249.032
703.9613, 3250.891
704.4434, 3285.256
704.9255, 3305.193
705.4077, 3299.309
705.8898, 3281.498
706.3719, 3272.656
706.8540, 3276.089
707.3361, 3276.755
707.8182, 3272.379
708.3004, 3262.570
708.7825, 3238.717
709.2646, 3204.640
709.7467, 3186.523
710.2288, 3209.461
710.7109, 3245.173
711.1931, 3261.854
711.6752, 3263.220
712.1573, 3264.480
712.6394, 3276.933
713.1215, 3287.070
713.6036, 3287.225
714.0858, 3276.173
714.5679, 3264.213
715.0500, 3246.252
715.5321, 3235.062
716.0142, 3241.425
716.4963, 3267.231
716.9785, 3279.181
717.4606, 3275.494
717.9427, 3268.049
718.4248, 3267.623
718.9069, 3271.933
719.3890, 3276.282
719.8712, 3280.315
720.3533, 3282.614
720.8354, 3282.193
721.3175, 3279.424
721.7996, 3274.557
722.2817, 3263.294
722.7639, 3255.977
723.2460, 3255.862
723.7281, 3259.370
724.2102, 3261.813
724.6923, 3262.522
725.1744, 3264.007
725.6566, 3266.913
726.1387, 3270.422
726.6208, 3273.439
727.1029, 3275.775
727.5850, 3275.925
728.0671, 3271.736
728.5493, 3266.610
729.0314, 3266.540
729.5135, 3269.265
729.9956, 3267.450
730.4777, 3249.246
730.9598, 3234.255
731.4420, 3232.383
731.9241, 3243.847
732.4062, 3255.612
