##NAMES=Allabogdanite
##RRUFFID=R070012
##IDEAL CHEMISTRY=(Fe,Ni)_2_P
##LOCALITY=Onello meteorite, Bol'shoy Dolguchan River, Onello River Basin, Aldan, Yakutia, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Black lath embedded in epoxy, co-type sample
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070012
534.6259, 3715.326
535.1080, 3704.988
535.5901, 3706.081
536.0722, 3711.313
536.5543, 3716.722
537.0364, 3721.758
537.5186, 3723.303
538.0007, 3719.246
538.4828, 3720.151
538.9649, 3738.140
539.4470, 3758.039
539.9291, 3760.828
540.4113, 3743.134
540.8934, 3723.880
541.3755, 3711.266
541.8576, 3703.361
542.3397, 3697.594
542.8218, 3693.617
543.3040, 3691.528
543.7861, 3691.515
544.2682, 3693.454
544.7503, 3696.466
545.2324, 3708.364
545.7145, 3711.511
546.1967, 3691.533
546.6788, 3666.760
547.1609, 3660.316
547.6430, 3675.427
548.1251, 3693.157
548.6072, 3691.036
549.0894, 3668.164
549.5715, 3653.398
550.0536, 3650.267
550.5357, 3650.610
551.0178, 3650.300
551.4999, 3651.500
551.9821, 3658.409
552.4642, 3673.770
552.9463, 3688.658
553.4284, 3692.500
553.9105, 3688.449
554.3926, 3690.731
554.8748, 3704.083
555.3569, 3716.039
555.8390, 3713.478
556.3211, 3696.445
556.8032, 3683.908
557.2853, 3676.613
557.7675, 3673.347
558.2496, 3676.597
558.7317, 3682.770
559.2138, 3685.418
559.6959, 3682.307
560.1780, 3677.215
560.6602, 3676.859
561.1423, 3684.544
561.6244, 3683.884
562.1065, 3656.096
562.5886, 3638.720
563.0707, 3658.741
563.5529, 3696.107
564.0350, 3711.896
564.5171, 3684.754
564.9992, 3643.675
565.4813, 3627.077
565.9634, 3633.658
566.4456, 3642.243
566.9277, 3647.700
567.4098, 3654.725
567.8919, 3673.414
568.3740, 3701.793
568.8561, 3716.429
569.3383, 3705.050
569.8204, 3687.076
570.3025, 3672.147
570.7846, 3660.780
571.2667, 3653.235
571.7488, 3649.669
572.2310, 3648.686
572.7131, 3647.845
573.1952, 3646.528
573.6773, 3647.072
574.1594, 3653.811
574.6415, 3658.044
575.1237, 3650.895
575.6058, 3638.844
576.0879, 3636.854
576.5700, 3654.991
577.0521, 3678.958
577.5342, 3684.707
578.0164, 3672.093
578.4985, 3663.253
578.9806, 3666.019
579.4627, 3670.104
579.9448, 3662.744
580.4269, 3645.478
580.9091, 3631.708
581.3912, 3622.878
581.8733, 3619.279
582.3554, 3623.483
582.8375, 3632.989
583.3196, 3642.810
583.8018, 3650.985
584.2839, 3655.820
584.7660, 3653.334
585.2481, 3638.576
585.7302, 3630.735
586.2123, 3637.183
586.6945, 3642.727
587.1766, 3635.706
587.6587, 3623.795
588.1408, 3624.297
588.6229, 3648.025
589.1050, 3678.020
589.5872, 3690.963
590.0693, 3687.232
590.5514, 3674.754
591.0335, 3651.362
591.5156, 3626.466
591.9977, 3607.255
592.4799, 3593.749
592.9620, 3589.897
593.4441, 3604.329
593.9262, 3620.616
594.4083, 3629.476
594.8904, 3633.140
595.3726, 3636.065
595.8547, 3639.863
596.3368, 3644.068
596.8189, 3648.394
597.3010, 3653.639
597.7831, 3655.106
598.2653, 3647.683
598.7474, 3641.737
599.2295, 3642.916
599.7116, 3646.984
600.1937, 3647.030
600.6758, 3640.204
601.1580, 3631.110
601.6401, 3624.602
602.1222, 3620.112
602.6043, 3614.247
603.0864, 3605.761
603.5685, 3598.604
604.0507, 3595.894
604.5328, 3597.711
605.0149, 3601.829
605.4970, 3613.357
605.9791, 3621.218
606.4612, 3615.857
606.9434, 3607.192
607.4255, 3610.570
607.9076, 3628.019
608.3897, 3645.976
608.8718, 3649.816
609.3539, 3639.795
609.8361, 3627.023
610.3182, 3603.878
610.8003, 3590.901
611.2824, 3600.696
611.7645, 3620.075
612.2466, 3635.922
612.7288, 3645.890
613.2109, 3653.176
613.6930, 3663.656
614.1751, 3671.566
614.6572, 3660.388
615.1393, 3629.554
615.6215, 3607.837
616.1036, 3615.284
616.5857, 3643.530
617.0678, 3662.347
617.5499, 3672.434
618.0320, 3671.845
618.5142, 3646.965
618.9963, 3621.717
619.4784, 3618.062
619.9605, 3632.359
620.4426, 3644.420
620.9247, 3639.868
621.4069, 3624.203
621.8890, 3609.274
622.3711, 3593.244
622.8532, 3589.914
623.3353, 3612.915
623.8174, 3639.877
624.2996, 3647.516
624.7817, 3636.987
625.2638, 3624.197
625.7459, 3609.854
626.2280, 3597.845
626.7101, 3590.776
627.1923, 3588.542
627.6744, 3591.056
628.1565, 3598.313
628.6386, 3608.682
629.1207, 3620.697
629.6028, 3637.344
630.0850, 3643.560
630.5671, 3626.115
631.0492, 3611.625
631.5313, 3610.800
632.0134, 3617.650
632.4955, 3623.219
632.9777, 3624.931
633.4598, 3623.034
633.9419, 3611.601
634.4240, 3596.355
634.9061, 3601.123
635.3882, 3631.877
635.8704, 3659.877
636.3525, 3662.035
636.8346, 3642.921
637.3167, 3631.994
637.7988, 3635.114
638.2809, 3637.521
638.7631, 3637.844
639.2452, 3635.729
639.7273, 3628.193
640.2094, 3616.970
640.6915, 3610.292
641.1736, 3616.614
641.6558, 3630.521
642.1379, 3630.561
642.6200, 3612.076
643.1021, 3600.585
643.5842, 3608.840
644.0663, 3621.971
644.5485, 3623.007
645.0306, 3612.343
645.5127, 3604.020
645.9948, 3603.400
646.4769, 3605.302
646.9590, 3604.047
647.4412, 3602.029
647.9233, 3606.803
648.4054, 3621.309
648.8875, 3639.195
649.3696, 3651.904
649.8517, 3660.093
650.3339, 3658.966
650.8160, 3639.317
651.2981, 3621.081
651.7802, 3609.076
652.2623, 3602.982
652.7444, 3603.928
653.2266, 3613.508
653.7087, 3620.865
654.1908, 3614.768
654.6729, 3601.002
655.1550, 3590.711
655.6371, 3585.185
656.1193, 3586.932
656.6014, 3600.117
657.0835, 3619.774
657.5656, 3626.898
658.0477, 3614.552
658.5298, 3598.403
659.0120, 3565.527
659.4941, 3539.697
659.9762, 3541.834
660.4583, 3565.929
660.9404, 3590.105
661.4225, 3602.226
661.9047, 3607.582
662.3868, 3616.340
662.8689, 3628.240
663.3510, 3633.458
663.8331, 3628.015
664.3152, 3619.549
664.7974, 3614.156
665.2795, 3612.053
665.7616, 3613.738
666.2437, 3625.846
666.7258, 3634.041
667.2079, 3629.803
667.6901, 3620.290
668.1722, 3615.617
668.6543, 3617.024
669.1364, 3615.936
669.6185, 3600.164
670.1006, 3575.192
670.5828, 3578.088
671.0649, 3619.337
671.5470, 3654.157
672.0291, 3669.461
672.5112, 3670.009
672.9933, 3658.343
673.4755, 3633.933
673.9576, 3616.499
674.4397, 3617.726
674.9218, 3622.758
675.4039, 3617.329
675.8860, 3606.461
676.3682, 3605.120
676.8503, 3618.963
677.3324, 3636.302
677.8145, 3637.818
678.2966, 3619.927
678.7787, 3616.335
679.2609, 3640.672
679.7430, 3659.168
680.2251, 3659.000
680.7072, 3646.093
681.1893, 3622.453
681.6714, 3584.893
682.1536, 3562.312
682.6357, 3591.211
683.1178, 3633.510
683.5999, 3629.262
684.0820, 3583.258
684.5641, 3548.653
685.0463, 3555.247
685.5284, 3586.002
686.0105, 3601.242
686.4926, 3593.944
686.9747, 3587.724
687.4568, 3583.321
687.9390, 3579.199
688.4211, 3572.265
688.9032, 3565.697
689.3853, 3566.014
689.8674, 3576.569
690.3495, 3589.435
690.8317, 3597.054
691.3138, 3602.249
691.7959, 3614.643
692.2780, 3634.815
692.7601, 3646.536
693.2422, 3636.734
693.7244, 3611.432
694.2065, 3593.798
694.6886, 3585.168
695.1707, 3582.711
695.6528, 3593.431
696.1349, 3603.412
696.6171, 3600.562
697.0992, 3589.955
697.5813, 3587.121
698.0634, 3602.444
698.5455, 3620.682
699.0276, 3622.165
699.5098, 3611.539
699.9919, 3607.354
700.4740, 3613.829
700.9561, 3617.140
701.4382, 3603.476
701.9203, 3576.366
702.4025, 3563.897
702.8846, 3583.022
703.3667, 3594.433
703.8488, 3590.331
704.3309, 3581.614
704.8130, 3573.763
705.2952, 3568.681
705.7773, 3568.988
706.2594, 3578.248
706.7415, 3590.302
707.2236, 3594.613
707.7057, 3593.028
708.1879, 3597.963
708.6700, 3613.201
709.1521, 3629.877
709.6342, 3640.623
710.1163, 3645.439
710.5984, 3643.538
711.0806, 3635.952
711.5627, 3620.669
712.0448, 3580.024
712.5269, 3544.083
713.0090, 3546.013
713.4911, 3580.790
713.9733, 3611.740
714.4554, 3614.383
714.9375, 3601.565
715.4196, 3591.940
715.9017, 3585.289
716.3839, 3579.173
716.8660, 3572.380
717.3481, 3569.023
717.8302, 3574.596
718.3123, 3589.038
718.7944, 3597.454
719.2766, 3602.136
719.7587, 3598.412
720.2408, 3573.067
720.7229, 3547.564
721.2050, 3544.731
721.6871, 3562.958
722.1693, 3580.559
722.6514, 3585.063
723.1335, 3579.445
723.6156, 3561.050
724.0977, 3533.592
724.5798, 3528.536
725.0620, 3558.294
725.5441, 3591.600
726.0262, 3595.245
726.5083, 3569.239
726.9904, 3551.002
727.4725, 3540.433
727.9547, 3537.401
728.4368, 3548.123
728.9189, 3562.013
729.4010, 3569.858
729.8831, 3571.363
730.3652, 3571.969
730.8474, 3575.496
731.3295, 3579.340
731.8116, 3582.426
732.2937, 3583.243
732.7758, 3569.718
733.2579, 3536.403
