##NAMES=Hiortdahlite
##RRUFFID=R060092
##IDEAL CHEMISTRY=Na_2_Ca_4_(Ca_0.5_Zr^4+^_0.5_)Zr^4+^(Si_2_O_7_)_2_OF_3_
##LOCALITY=Vesuvius, Italy
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Tan colored prismatic crystals, variety guarinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060092
306.3595, 55.47605
306.8416, 55.43819
307.3237, 55.41284
307.8058, 55.53584
308.2880, 55.72845
308.7701, 55.81429
309.2522, 55.58595
309.7343, 55.28079
310.2164, 55.11745
310.6985, 55.11990
311.1807, 55.19252
311.6628, 55.32174
312.1449, 55.47200
312.6270, 55.58493
313.1091, 55.65270
313.5912, 55.66734
314.0734, 55.58440
314.5555, 55.40540
315.0376, 55.28358
315.5197, 55.38276
316.0018, 55.54785
316.4839, 55.61520
316.9661, 55.35146
317.4482, 55.14801
317.9303, 55.24608
318.4124, 55.59146
318.8945, 55.84306
319.3766, 55.78801
319.8588, 55.63381
320.3409, 55.53169
320.8230, 55.55400
321.3051, 55.57619
321.7872, 55.62718
322.2693, 55.66327
322.7515, 55.55103
323.2336, 55.04458
323.7157, 54.54381
324.1978, 54.25549
324.6799, 54.33483
325.1620, 54.37501
325.6442, 54.20924
326.1263, 53.98519
326.6084, 53.96456
327.0905, 54.55738
327.5726, 55.00623
328.0547, 55.02591
328.5369, 54.42534
329.0190, 53.99548
329.5011, 53.81145
329.9832, 53.77566
330.4653, 53.78510
330.9474, 53.92014
331.4296, 54.00130
331.9117, 53.97948
332.3938, 53.84919
332.8759, 53.73857
333.3580, 53.61868
333.8401, 53.54518
334.3223, 53.57650
334.8044, 53.79804
335.2865, 53.94899
335.7686, 53.96819
336.2507, 53.88499
336.7328, 53.86057
337.2150, 53.90368
337.6971, 53.98668
338.1792, 54.11758
338.6613, 54.33394
339.1434, 54.42236
339.6255, 54.31151
340.1077, 54.11233
340.5898, 54.08618
341.0719, 54.26302
341.5540, 54.48873
342.0361, 54.71825
342.5182, 54.95679
343.0004, 55.09916
343.4825, 55.13188
343.9646, 55.10006
344.4467, 55.03369
344.9288, 54.93316
345.4109, 54.90414
345.8931, 55.00896
346.3752, 55.21622
346.8573, 55.37958
347.3394, 55.49279
347.8215, 55.62653
348.3036, 55.88023
348.7858, 56.22594
349.2679, 56.53021
349.7500, 56.75341
350.2321, 56.92136
350.7142, 57.06717
351.1964, 57.19115
351.6785, 57.30596
352.1606, 57.43732
352.6427, 57.56188
353.1248, 57.61877
353.6069, 57.57124
354.0891, 57.53392
354.5712, 57.66019
355.0533, 57.90379
355.5354, 58.13499
356.0175, 58.22535
356.4996, 58.29579
356.9818, 58.52038
357.4639, 58.93617
357.9460, 59.28713
358.4281, 59.24727
358.9102, 59.05692
359.3923, 59.06656
359.8745, 59.65376
360.3566, 60.29311
360.8387, 60.63630
361.3208, 60.69973
361.8029, 60.75229
362.2850, 60.87778
362.7672, 61.06510
363.2493, 61.30879
363.7314, 61.69348
364.2135, 62.03145
364.6956, 62.24733
365.1777, 62.36700
365.6599, 62.46659
366.1420, 62.50050
366.6241, 62.56898
367.1062, 62.73084
367.5883, 63.05227
368.0704, 63.33258
368.5526, 63.55000
369.0347, 63.71286
369.5168, 63.83783
369.9989, 63.88637
370.4810, 63.93608
370.9631, 64.01092
371.4453, 64.11791
371.9274, 64.18918
372.4095, 64.20937
372.8916, 64.20502
373.3737, 64.19539
373.8558, 64.16729
374.3380, 64.16315
374.8201, 64.20964
375.3022, 64.28823
375.7843, 64.28340
376.2664, 64.15883
376.7485, 64.02963
377.2307, 63.99824
377.7128, 64.10720
378.1949, 64.02840
378.6770, 63.67402
379.1591, 63.22384
379.6412, 63.05969
380.1234, 63.21250
380.6055, 63.35009
381.0876, 63.31723
381.5697, 63.13997
382.0518, 62.98725
382.5339, 62.86337
383.0161, 62.74634
383.4982, 62.61158
383.9803, 62.46129
384.4624, 62.31461
384.9445, 62.16846
385.4266, 62.03517
385.9088, 61.96510
386.3909, 61.94779
386.8730, 61.88260
387.3551, 61.62733
387.8372, 61.28906
388.3193, 61.07577
388.8015, 61.06477
389.2836, 61.05505
389.7657, 60.83041
390.2478, 60.46032
390.7299, 60.11135
391.2120, 59.83046
391.6942, 59.62801
392.1763, 59.54803
392.6584, 59.60048
393.1405, 59.63914
393.6226, 59.62569
394.1047, 59.54325
394.5869, 59.37341
395.0690, 58.90001
395.5511, 58.54700
396.0332, 58.60018
396.5153, 58.96322
396.9974, 59.11547
397.4796, 58.68183
397.9617, 58.17519
398.4438, 57.88049
398.9259, 57.97974
399.4080, 58.02348
399.8901, 57.94995
400.3723, 57.79931
400.8544, 57.64388
401.3365, 57.37082
401.8186, 57.22809
402.3007, 57.33325
402.7828, 57.73321
403.2649, 57.96144
403.7470, 57.94689
404.2292, 57.83619
404.7113, 57.76453
405.1934, 57.76117
405.6755, 57.70108
406.1576, 57.53865
406.6397, 57.31573
407.1219, 57.19934
407.6040, 57.21538
408.0861, 57.23447
408.5682, 57.13248
409.0503, 56.91485
409.5324, 56.91143
410.0146, 57.18625
410.4967, 57.53072
410.9788, 57.62947
411.4609, 57.50468
411.9430, 57.38015
412.4251, 57.37938
412.9073, 57.42321
413.3894, 57.28215
413.8715, 56.96117
414.3536, 56.69666
414.8357, 56.75127
415.3178, 56.98525
415.8000, 57.13241
416.2821, 57.11437
416.7642, 57.03255
417.2463, 56.96489
417.7284, 56.90894
418.2105, 56.85983
418.6927, 56.79469
419.1748, 56.74870
419.6569, 56.77283
420.1390, 56.88501
420.6211, 56.94410
421.1032, 56.78437
421.5854, 56.57758
422.0675, 56.50900
422.5496, 56.79953
423.0317, 57.05648
423.5138, 57.15486
423.9959, 57.11364
424.4781, 57.07079
424.9602, 56.98950
425.4423, 56.95650
425.9244, 57.02707
426.4065, 57.31818
426.8886, 57.48702
427.3708, 57.46669
427.8529, 57.35209
428.3350, 57.29029
428.8171, 57.30001
429.2992, 57.32507
429.7813, 57.33473
430.2635, 57.33177
430.7456, 57.46957
431.2277, 57.83765
431.7098, 58.14869
432.1919, 58.07358
432.6740, 57.56062
433.1562, 57.35291
433.6383, 57.63195
434.1204, 58.12828
434.6025, 58.26487
435.0846, 58.05016
435.5667, 57.84468
436.0489, 57.85724
436.5310, 58.02415
437.0131, 58.16582
437.4952, 58.28217
437.9773, 58.34047
438.4594, 58.22456
438.9416, 58.03246
439.4237, 57.97858
439.9058, 58.19125
440.3879, 58.49194
440.8700, 58.77551
441.3521, 59.02060
441.8343, 59.15014
442.3164, 58.93708
442.7985, 58.71011
443.2806, 58.77984
443.7627, 59.27205
444.2448, 59.66944
444.7270, 59.65942
445.2091, 59.46657
445.6912, 59.35616
446.1733, 59.45629
446.6554, 59.57741
447.1375, 59.66496
447.6197, 59.72252
448.1018, 59.80780
448.5839, 60.02749
449.0660, 60.18786
449.5481, 60.17723
450.0302, 59.82043
450.5124, 59.66428
450.9945, 59.78959
451.4766, 60.06297
451.9587, 60.26418
452.4408, 60.35776
452.9229, 60.48749
453.4051, 60.72188
453.8872, 61.03771
454.3693, 61.23757
454.8514, 61.29853
455.3335, 61.34678
455.8156, 61.52842
456.2978, 61.81791
456.7799, 61.96243
457.2620, 61.89654
457.7441, 61.75848
458.2262, 61.72043
458.7083, 61.78016
459.1905, 61.92950
459.6726, 62.25938
460.1547, 62.63202
460.6368, 62.83028
461.1189, 62.85899
461.6010, 62.87537
462.0832, 63.05753
462.5653, 63.26423
463.0474, 63.32178
463.5295, 63.12093
464.0116, 62.88319
464.4937, 62.67342
464.9759, 62.51337
465.4580, 62.45500
465.9401, 62.69380
466.4222, 62.88044
466.9043, 62.83228
467.3864, 62.49855
467.8686, 62.23879
468.3507, 62.15929
468.8328, 62.12544
469.3149, 62.03579
469.7970, 61.80320
470.2791, 61.66239
470.7613, 61.68399
471.2434, 61.79191
471.7255, 61.78182
472.2076, 61.63313
472.6897, 61.40894
473.1718, 61.05421
473.6540, 60.57059
474.1361, 60.46987
474.6182, 60.83347
475.1003, 61.28547
475.5824, 61.44820
476.0645, 61.34468
476.5467, 61.16687
477.0288, 60.93277
477.5109, 60.67857
477.9930, 60.43655
478.4751, 60.21649
478.9572, 60.06404
479.4394, 60.00725
479.9215, 60.03131
480.4036, 60.15592
480.8857, 60.38400
481.3678, 60.56700
481.8499, 60.59621
482.3321, 60.52739
482.8142, 60.41765
483.2963, 60.21171
483.7784, 60.05868
484.2605, 60.06634
484.7426, 60.17327
485.2248, 60.22797
485.7069, 60.12090
486.1890, 60.02347
486.6711, 60.00922
487.1532, 60.10755
487.6353, 60.16272
488.1175, 60.13948
488.5996, 60.10360
489.0817, 60.11530
489.5638, 60.21785
490.0459, 60.25259
490.5280, 60.16402
491.0102, 60.02338
491.4923, 60.04646
491.9744, 60.28002
492.4565, 60.43362
492.9386, 60.33766
493.4207, 60.03757
493.9029, 59.83647
494.3850, 59.73480
494.8671, 59.70961
495.3492, 59.80872
495.8313, 59.97040
496.3134, 59.99531
496.7956, 59.78583
497.2777, 59.56004
497.7598, 59.60437
498.2419, 59.82671
498.7240, 59.99377
499.2061, 59.93691
499.6883, 59.82607
500.1704, 59.78698
500.6525, 59.82353
501.1346, 59.85120
501.6167, 59.75655
502.0988, 59.68859
502.5810, 59.76625
503.0631, 60.18267
503.5452, 60.47754
504.0273, 60.48141
504.5094, 60.34961
504.9915, 60.35201
505.4737, 60.58224
505.9558, 60.80666
506.4379, 60.97276
506.9200, 61.08176
507.4021, 61.15618
507.8842, 61.18183
508.3664, 61.20650
508.8485, 61.25266
509.3306, 61.31939
509.8127, 61.46483
510.2948, 61.71980
510.7769, 61.97390
511.2591, 62.00229
511.7412, 61.85550
512.2233, 61.82428
512.7054, 62.09583
513.1875, 62.47149
513.6696, 62.64771
514.1517, 62.65442
514.6339, 62.65550
515.1160, 62.74715
515.5981, 62.88708
516.0802, 63.05437
516.5623, 63.26060
517.0444, 63.41645
517.5266, 63.49463
518.0087, 63.49565
518.4908, 63.41998
518.9729, 63.14001
519.4550, 62.92579
519.9371, 62.84106
520.4193, 62.87096
520.9014, 62.94653
521.3835, 63.12519
521.8656, 63.27730
522.3477, 63.36103
522.8298, 63.37555
523.3120, 63.31075
523.7941, 63.12498
524.2762, 62.94730
524.7583, 62.94571
525.2404, 63.13033
525.7225, 63.16703
526.2047, 62.95578
526.6868, 62.66963
527.1689, 62.64017
527.6510, 62.83257
528.1331, 63.02456
528.6152, 63.10078
529.0974, 63.11706
529.5795, 63.16584
530.0616, 63.24186
530.5437, 63.27744
531.0258, 63.20887
531.5079, 63.08958
531.9901, 62.94764
532.4722, 62.74137
532.9543, 62.64567
533.4364, 62.84149
533.9185, 63.15281
534.4006, 63.34430
534.8828, 63.25748
535.3649, 63.16980
535.8470, 63.13847
536.3291, 63.15292
536.8112, 63.14658
537.2933, 63.05341
537.7755, 63.04295
538.2576, 63.23216
538.7397, 63.66593
539.2218, 63.94561
539.7039, 64.05640
540.1860, 64.04563
540.6682, 63.86804
541.1503, 63.55467
541.6324, 63.49074
542.1145, 63.84455
542.5966, 64.31161
543.0787, 64.37113
543.5609, 64.11832
544.0430, 63.90683
544.5251, 64.00673
545.0072, 64.17973
545.4893, 64.12861
545.9714, 63.87191
546.4536, 63.73003
546.9357, 63.98843
547.4178, 64.35685
547.8999, 64.61616
548.3820, 64.69571
548.8641, 64.74267
549.3463, 64.75776
549.8284, 64.76534
550.3105, 64.79916
550.7926, 64.89623
551.2747, 64.96487
551.7568, 64.99984
552.2390, 64.99706
552.7211, 64.91984
553.2032, 64.72951
553.6853, 64.58778
554.1674, 64.62113
554.6495, 64.81043
555.1317, 64.81422
555.6138, 64.61218
556.0959, 64.39066
556.5780, 64.30624
557.0601, 64.34285
557.5422, 64.48075
558.0244, 64.75699
558.5065, 65.02041
558.9886, 65.09641
559.4707, 65.04733
559.9528, 64.99588
560.4349, 64.97453
560.9171, 64.98135
561.3992, 65.01723
561.8813, 65.08078
562.3634, 65.16407
562.8455, 65.30777
563.3276, 65.43449
563.8098, 65.51019
564.2919, 65.53596
564.7740, 65.49215
565.2561, 65.28886
565.7382, 65.10440
566.2203, 65.12407
566.7025, 65.40021
567.1846, 65.68015
567.6667, 65.95593
568.1488, 66.19349
568.6309, 66.29194
569.1130, 66.25863
569.5952, 66.23355
570.0773, 66.28329
570.5594, 66.37926
571.0415, 66.45951
571.5236, 66.53035
572.0057, 66.63929
572.4879, 66.86346
572.9700, 67.12069
573.4521, 67.30977
573.9342, 67.39899
574.4163, 67.53337
574.8984, 67.83142
575.3806, 68.18331
575.8627, 68.48096
576.3448, 68.69550
576.8269, 68.85745
577.3090, 68.95133
577.7911, 68.99809
578.2733, 69.04330
578.7554, 69.07162
579.2375, 69.12598
579.7196, 69.22179
580.2017, 69.35606
580.6838, 69.49552
581.1660, 69.63789
581.6481, 69.79543
582.1302, 70.00211
582.6123, 70.23622
583.0944, 70.42027
583.5765, 70.55689
584.0587, 70.58900
584.5408, 70.36054
585.0229, 70.00708
585.5050, 69.76083
585.9871, 69.71329
586.4692, 69.75515
586.9514, 69.89198
587.4335, 70.06564
587.9156, 70.15222
588.3977, 70.04637
588.8798, 69.91404
589.3619, 69.78480
589.8441, 69.66223
590.3262, 69.62370
590.8083, 69.73758
591.2904, 69.84539
591.7725, 69.86438
592.2546, 69.77851
592.7368, 69.70224
593.2189, 69.64962
593.7010, 69.56944
594.1831, 69.35741
594.6652, 69.04330
595.1473, 68.83746
595.6295, 68.79631
596.1116, 68.83894
596.5937, 68.88090
597.0758, 68.92110
597.5579, 68.95663
598.0400, 69.03130
598.5222, 69.06252
599.0043, 68.93282
599.4864, 68.68462
599.9685, 68.52798
600.4506, 68.63570
600.9327, 68.77592
601.4149, 68.84332
601.8970, 68.82300
602.3791, 68.74061
602.8612, 68.52762
603.3433, 68.32171
603.8254, 68.24047
604.3076, 68.32343
604.7897, 68.37785
605.2718, 68.39405
605.7539, 68.37589
606.2360, 68.27504
606.7181, 68.10954
607.2003, 68.11046
607.6824, 68.43826
608.1645, 68.86238
608.6466, 68.98770
609.1287, 68.87959
609.6108, 68.78041
610.0930, 68.81375
610.5751, 68.91673
611.0572, 69.07910
611.5393, 69.29353
612.0214, 69.43724
612.5035, 69.32010
612.9857, 69.22627
613.4678, 69.36474
613.9499, 69.95876
614.4320, 70.28214
614.9141, 70.24395
615.3962, 70.02049
615.8784, 69.74912
616.3605, 69.37147
616.8426, 69.22839
617.3247, 69.42901
617.8068, 69.79433
618.2889, 69.97559
618.7711, 69.99081
619.2532, 69.97448
619.7353, 69.95444
620.2174, 69.95554
620.6995, 70.02284
621.1816, 70.14828
621.6638, 70.28816
622.1459, 70.46203
622.6280, 70.61167
623.1101, 70.67193
623.5922, 70.62729
624.0743, 70.63280
624.5565, 70.78886
625.0386, 70.96781
625.5207, 71.07568
626.0028, 71.03820
626.4849, 71.09377
626.9670, 71.29691
627.4492, 71.53397
627.9313, 71.63121
628.4134, 71.56326
628.8955, 71.58847
629.3776, 71.77512
629.8597, 72.05232
630.3419, 72.30488
630.8240, 72.53691
631.3061, 72.76974
631.7882, 73.08433
632.2703, 73.35812
632.7524, 73.38406
633.2346, 73.21851
633.7167, 73.15276
634.1988, 73.42414
634.6809, 73.76406
635.1630, 74.04182
635.6451, 74.25184
636.1273, 74.35757
636.6094, 74.22175
637.0915, 74.09738
637.5736, 74.13909
638.0557, 74.37006
638.5378, 74.72127
639.0200, 75.24245
639.5021, 75.79232
639.9842, 76.19078
640.4663, 76.43922
640.9484, 76.60080
641.4305, 76.65099
641.9127, 76.69102
642.3948, 76.87526
642.8769, 77.16732
643.3590, 77.47261
643.8411, 77.75776
644.3232, 78.02910
644.8054, 78.25031
645.2875, 78.44602
645.7696, 78.75365
646.2517, 79.38162
646.7338, 79.97704
647.2159, 80.35848
647.6981, 80.51015
648.1802, 80.68423
648.6623, 80.86590
649.1444, 81.09899
649.6265, 81.42741
650.1086, 81.86106
650.5908, 82.31216
651.0729, 82.80436
651.5550, 83.22240
652.0371, 83.26269
652.5192, 83.11626
653.0013, 83.40746
653.4835, 84.41673
653.9656, 85.51318
654.4477, 86.07825
654.9298, 86.34052
655.4119, 86.68957
655.8940, 87.30473
656.3762, 87.98853
656.8583, 88.73035
657.3404, 89.48974
657.8225, 90.12946
658.3046, 90.56837
658.7867, 90.98558
659.2689, 91.41479
659.7510, 91.85835
660.2331, 92.38078
660.7152, 93.00480
661.1973, 93.57850
661.6794, 93.94663
662.1616, 94.18050
662.6437, 94.63381
663.1258, 95.32388
663.6079, 95.84382
664.0900, 95.74878
664.5721, 95.33841
665.0543, 94.97165
665.5364, 94.73078
666.0185, 94.47758
666.5006, 94.18785
666.9827, 93.84249
667.4648, 93.42139
667.9470, 92.93724
668.4291, 92.34585
668.9112, 91.56603
669.3933, 90.72042
669.8754, 90.04684
670.3575, 89.57043
670.8397, 89.11252
671.3218, 88.63851
671.8039, 88.14143
672.2860, 87.58798
672.7681, 86.99383
673.2502, 86.40369
673.7324, 85.82741
674.2145, 85.27483
674.6966, 84.78842
675.1787, 84.35083
675.6608, 83.87656
