##NAMES=Uchucchacuaite
##RRUFFID=R100213
##IDEAL CHEMISTRY=Ag^1+^Mn^2+^Pb^2+^_3_Sb^3+^_5_S^2-^_12_
##LOCALITY=Uchuc-Chacua, Lima, Peru
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Bright silver metallic massive, associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R100213
##MEASURED CHEMISTRY=Ag_0.99_(Mn_0.92_Pb_0.03_Sb_0.02_Bi_0.01_)_Σ=0.98_Pb_3.00_Sb_5.00_S_12.00_ ; (Note: bright phase is galena, PbS)
394.3388, 251.8866
394.8209, 249.3131
395.3030, 246.9508
395.7851, 245.4172
396.2672, 244.5532
396.7494, 244.1984
397.2315, 245.0211
397.7136, 244.6720
398.1957, 241.0909
398.6778, 237.6054
399.1599, 237.6691
399.6420, 241.1638
400.1241, 244.8649
400.6063, 245.9215
401.0884, 244.2655
401.5705, 242.3188
402.0526, 239.1058
402.5347, 236.7110
403.0168, 236.2360
403.4990, 236.9103
403.9811, 237.4766
404.4632, 237.3292
404.9453, 236.8016
405.4274, 236.7710
405.9095, 238.1786
406.3917, 238.4377
406.8738, 236.7336
407.3559, 234.5253
407.8380, 232.7810
408.3201, 231.6432
408.8022, 230.7218
409.2844, 229.6110
409.7665, 228.2937
410.2486, 227.0910
410.7307, 225.1900
411.2128, 224.3721
411.6949, 226.1800
412.1771, 229.1986
412.6592, 231.1600
413.1413, 230.8802
413.6234, 229.1696
414.1055, 227.6026
414.5876, 226.0229
415.0698, 225.0542
415.5519, 225.9297
416.0340, 226.7424
416.5161, 225.4802
416.9982, 222.1239
417.4803, 219.6378
417.9625, 221.5173
418.4446, 226.9386
418.9267, 230.1316
419.4088, 229.9671
419.8909, 228.8262
420.3730, 228.0650
420.8552, 227.5178
421.3373, 226.8492
421.8194, 225.8559
422.3015, 224.7875
422.7836, 224.0354
423.2657, 223.5939
423.7479, 222.8523
424.2300, 221.1931
424.7121, 219.4607
425.1942, 218.9199
425.6763, 219.6934
426.1584, 220.9371
426.6406, 223.1016
427.1227, 225.2765
427.6048, 225.4026
428.0869, 222.9825
428.5690, 220.6695
429.0511, 221.1742
429.5333, 224.5110
430.0154, 226.5020
430.4975, 227.0472
430.9796, 226.3250
431.4617, 223.0243
431.9438, 218.4697
432.4260, 216.2493
432.9081, 218.2915
433.3902, 222.7237
433.8723, 225.0975
434.3544, 223.4381
434.8365, 222.9385
435.3187, 224.9237
435.8008, 227.3598
436.2829, 228.7740
436.7650, 228.8982
437.2471, 227.9500
437.7292, 225.9650
438.2114, 222.8865
438.6935, 220.7490
439.1756, 220.4457
439.6577, 220.1040
440.1398, 218.5121
440.6219, 216.8919
441.1040, 217.4053
441.5862, 220.9433
442.0683, 225.4057
442.5504, 226.5947
443.0325, 223.0335
443.5146, 220.7526
443.9967, 221.7682
444.4789, 222.9310
444.9610, 222.3783
445.4431, 220.4012
445.9252, 218.5618
446.4073, 217.9167
446.8894, 218.3115
447.3716, 219.4908
447.8537, 222.2511
448.3358, 223.7840
448.8179, 221.3123
449.3000, 217.6286
449.7821, 215.8662
450.2643, 216.9335
450.7464, 218.6618
451.2285, 219.1943
451.7106, 218.7629
452.1927, 218.5398
452.6748, 218.8431
453.1570, 219.2224
453.6391, 219.1034
454.1212, 218.6134
454.6033, 218.3675
455.0854, 219.0932
455.5675, 219.6914
456.0497, 218.8640
456.5318, 216.8416
457.0139, 215.0341
457.4960, 214.0741
457.9781, 213.8935
458.4602, 214.4152
458.9424, 215.8713
459.4245, 217.3975
459.9066, 219.9482
460.3887, 221.8750
460.8708, 220.7764
461.3529, 216.6614
461.8351, 212.2988
462.3172, 210.2547
462.7993, 210.6046
463.2814, 211.3652
463.7635, 213.3230
464.2456, 214.7615
464.7278, 215.4312
465.2099, 215.2676
465.6920, 213.7181
466.1741, 210.6425
466.6562, 207.5890
467.1383, 207.5875
467.6205, 212.2311
468.1026, 214.9556
468.5847, 214.0263
469.0668, 212.4858
469.5489, 211.5165
470.0310, 211.0608
470.5132, 210.6608
470.9953, 210.1326
471.4774, 209.3804
471.9595, 207.9540
472.4416, 205.5211
472.9237, 203.6667
473.4059, 203.4803
473.8880, 203.8344
474.3701, 203.6208
474.8522, 202.6945
475.3343, 202.0111
475.8164, 202.3268
476.2986, 203.3328
476.7807, 204.6501
477.2628, 206.5070
477.7449, 207.0832
478.2270, 203.7390
478.7091, 197.8469
479.1913, 195.2097
479.6734, 199.3960
480.1555, 203.2436
480.6376, 201.7365
481.1197, 197.3584
481.6018, 195.7263
482.0839, 198.7931
482.5660, 203.4970
483.0482, 205.7079
483.5303, 204.8882
484.0124, 202.9937
484.4945, 197.9325
484.9766, 193.8235
485.4587, 193.5441
485.9409, 196.0195
486.4230, 198.5517
486.9051, 199.6827
487.3872, 199.5552
487.8693, 198.4177
488.3514, 195.0686
488.8336, 192.9882
489.3157, 193.2112
489.7978, 193.9571
490.2799, 194.3315
490.7620, 194.1309
491.2441, 193.2646
491.7263, 191.2808
492.2084, 188.5945
492.6905, 187.3208
493.1726, 187.9221
493.6547, 188.8341
494.1368, 189.7056
494.6190, 190.4221
495.1011, 190.6774
495.5832, 190.3180
496.0653, 190.2951
496.5474, 192.1028
497.0295, 194.8451
497.5117, 195.3983
497.9938, 192.8326
498.4759, 190.0534
498.9580, 189.4764
499.4401, 190.7817
499.9222, 191.9889
500.4044, 193.7558
500.8865, 194.6065
501.3686, 192.8374
501.8507, 189.7250
502.3328, 188.0013
502.8149, 188.6287
503.2971, 190.3186
503.7792, 191.2914
504.2613, 191.3709
504.7434, 191.3173
505.2255, 191.5534
505.7076, 191.2639
506.1898, 188.9283
506.6719, 185.8909
507.1540, 185.1969
507.6361, 188.5610
508.1182, 193.8665
508.6003, 196.1202
509.0825, 194.3306
509.5646, 192.1421
510.0467, 188.8762
510.5288, 186.1792
511.0109, 185.2894
511.4930, 185.8641
511.9752, 186.5289
512.4573, 186.6526
512.9394, 186.1508
513.4215, 184.4373
513.9036, 181.1720
514.3857, 178.8287
514.8679, 178.6857
515.3500, 179.7441
515.8321, 180.7730
516.3142, 181.7745
516.7963, 182.5020
517.2784, 183.0113
517.7606, 183.1122
518.2427, 182.2077
518.7248, 180.3301
519.2069, 178.7934
519.6890, 178.4960
520.1711, 179.2375
520.6533, 180.0544
521.1354, 181.3544
521.6175, 182.1895
522.0996, 182.1911
522.5817, 181.7761
523.0638, 181.0777
523.5460, 180.2814
524.0281, 180.0806
524.5102, 181.3999
524.9923, 184.1466
525.4744, 184.8779
525.9565, 180.7376
526.4387, 178.3322
526.9208, 180.9106
527.4029, 184.7883
527.8850, 185.7798
528.3671, 182.9254
528.8492, 179.1468
529.3314, 177.0603
529.8135, 176.6331
530.2956, 178.0485
530.7777, 182.7708
531.2598, 186.3042
531.7419, 184.0341
532.2241, 179.1097
532.7062, 176.8105
533.1883, 179.4144
533.6704, 182.0778
534.1525, 180.8428
534.6346, 177.2611
535.1168, 175.0952
535.5989, 175.2655
536.0810, 176.1467
536.5631, 176.2057
537.0452, 175.3956
537.5273, 174.3672
538.0095, 172.1180
538.4916, 170.7787
538.9737, 172.0584
539.4558, 174.4332
539.9379, 175.5719
540.4200, 174.7457
540.9022, 173.0393
541.3843, 171.8963
541.8664, 171.3767
542.3485, 171.1006
542.8306, 172.0212
543.3127, 172.1167
543.7948, 169.9322
544.2769, 166.7579
544.7590, 164.5559
545.2411, 164.0715
545.7233, 164.4694
546.2054, 164.6849
546.6875, 164.7731
547.1696, 165.7208
547.6517, 168.2237
548.1339, 170.5644
548.6160, 171.0816
549.0981, 170.2605
549.5802, 169.3192
550.0623, 168.3256
550.5444, 167.4372
551.0266, 166.3491
551.5087, 165.4725
551.9908, 166.2134
552.4729, 169.0792
552.9550, 171.9875
553.4371, 172.2592
553.9193, 169.3854
554.4014, 166.8557
554.8835, 163.9340
555.3656, 162.1055
555.8477, 162.5830
556.3298, 164.2641
556.8120, 165.7527
557.2941, 166.5023
557.7762, 166.4124
558.2583, 164.9577
558.7404, 161.8470
559.2225, 159.8529
559.7047, 159.1467
560.1868, 159.5511
560.6689, 162.0754
561.1510, 165.2533
561.6331, 166.5003
562.1152, 164.6791
562.5974, 161.7613
563.0795, 158.8107
563.5616, 156.1734
564.0437, 155.4782
564.5258, 157.3951
565.0079, 159.6304
565.4901, 159.8940
565.9722, 158.3154
566.4543, 157.9343
566.9364, 160.2861
567.4185, 162.0742
567.9006, 162.1045
568.3828, 160.7873
568.8649, 158.1217
569.3470, 154.3704
569.8291, 151.2048
570.3112, 150.8566
570.7933, 153.5608
571.2755, 154.8042
571.7576, 153.5295
572.2397, 152.0505
572.7218, 150.4089
573.2039, 149.1127
573.6860, 148.9283
574.1682, 150.0100
574.6503, 151.2198
575.1324, 151.4146
575.6145, 150.8089
576.0966, 150.4008
576.5787, 150.3374
577.0609, 150.1152
577.5430, 149.2535
578.0251, 148.0766
578.5072, 147.4074
578.9893, 147.5581
579.4714, 147.5482
579.9536, 146.9565
580.4357, 146.0257
580.9178, 144.6902
581.3999, 143.1378
581.8820, 142.3850
582.3641, 143.2982
582.8463, 145.5977
583.3284, 147.7277
583.8105, 151.2936
584.2926, 152.2099
584.7747, 147.8094
585.2568, 142.5878
585.7390, 139.9412
586.2211, 139.9355
586.7032, 140.6688
587.1853, 140.9854
587.6674, 140.9277
588.1495, 140.2394
588.6317, 138.6016
589.1138, 138.5211
589.5959, 142.3892
590.0780, 146.6455
590.5601, 146.6458
591.0422, 142.4782
591.5244, 139.0078
592.0065, 137.9022
592.4886, 137.9764
592.9707, 138.4916
593.4528, 139.3045
593.9349, 140.2682
594.4171, 141.3628
594.8992, 142.1923
595.3813, 141.9405
595.8634, 139.8472
596.3455, 138.9484
596.8276, 140.9294
597.3098, 142.1692
597.7919, 140.3088
598.2740, 136.8798
598.7561, 134.7584
599.2382, 135.1671
599.7203, 136.1703
600.2025, 134.3533
600.6846, 129.8613
601.1667, 128.9476
601.6488, 134.2189
602.1309, 139.1219
602.6130, 137.8026
603.0952, 133.0797
603.5773, 130.6695
604.0594, 132.2906
604.5415, 134.3985
605.0236, 135.7006
605.5057, 136.1427
605.9879, 135.0334
606.4700, 132.5047
606.9521, 130.7625
607.4342, 131.9251
607.9163, 135.3936
608.3984, 136.5865
608.8806, 133.2823
609.3627, 130.6702
609.8448, 129.4005
610.3269, 128.7961
610.8090, 128.4259
611.2911, 128.2048
611.7733, 128.1898
612.2554, 128.5583
612.7375, 129.0349
613.2196, 128.9730
613.7017, 128.3451
614.1838, 127.3823
614.6660, 125.8023
615.1481, 124.3363
615.6302, 124.2748
616.1123, 125.4872
616.5944, 125.5406
617.0765, 122.4274
617.5587, 119.4352
618.0408, 118.8597
618.5229, 120.0994
619.0050, 121.8908
619.4871, 123.7681
619.9692, 125.4931
620.4514, 126.7880
620.9335, 127.6944
621.4156, 127.8716
621.8977, 126.6288
622.3798, 125.4465
622.8619, 124.5995
623.3441, 124.0636
623.8262, 123.9900
624.3083, 124.3863
624.7904, 124.5178
625.2725, 123.3105
625.7546, 121.4075
626.2367, 120.8650
626.7188, 121.9258
627.2009, 122.5767
627.6830, 121.4160
628.1652, 119.4693
628.6473, 119.3828
629.1294, 122.0695
629.6115, 123.3673
630.0936, 121.2842
630.5757, 118.8003
631.0579, 118.6410
631.5400, 119.9256
632.0221, 119.5831
632.5042, 115.9904
632.9863, 111.4516
633.4684, 110.5188
633.9506, 113.9716
634.4327, 117.2347
634.9148, 120.6043
635.3969, 123.0309
635.8790, 124.1108
636.3611, 123.9786
636.8433, 122.6876
637.3254, 119.9345
637.8075, 117.0661
638.2896, 114.6512
638.7717, 112.9271
639.2538, 112.7736
639.7360, 114.2388
640.2181, 115.3906
640.7002, 114.7408
641.1823, 112.8191
641.6644, 111.7797
642.1465, 112.5255
642.6287, 112.9467
643.1108, 112.9598
643.5929, 112.6964
644.0750, 111.9970
644.5571, 111.0960
645.0392, 110.6668
645.5214, 111.2495
646.0035, 111.9382
646.4856, 110.8444
646.9677, 107.9785
647.4498, 105.9426
647.9319, 105.2259
648.4141, 105.3493
648.8962, 106.0013
649.3783, 107.2010
649.8604, 109.0770
650.3425, 113.4319
650.8246, 116.0221
651.3068, 113.3662
651.7889, 108.9651
652.2710, 107.4797
652.7531, 109.2127
653.2352, 111.1102
653.7173, 110.7834
654.1995, 108.7228
654.6816, 106.8473
655.1637, 104.8681
655.6458, 103.7840
656.1279, 104.1555
656.6100, 105.1699
657.0922, 107.0943
657.5743, 109.3759
658.0564, 110.2750
658.5385, 108.5612
659.0206, 106.0087
659.5027, 103.6613
659.9849, 101.8455
660.4670, 102.0057
660.9491, 104.5490
661.4312, 106.8171
661.9133, 106.1927
662.3954, 102.9429
662.8776, 100.9106
663.3597, 100.5541
663.8418, 100.8581
664.3239, 102.5722
664.8060, 104.2828
665.2881, 104.6118
665.7703, 103.7618
666.2524, 103.1565
666.7345, 103.9984
667.2166, 105.1365
667.6987, 104.0219
668.1808, 100.7361
668.6630, 98.45393
669.1451, 98.24038
669.6272, 98.44218
670.1093, 97.14985
670.5914, 94.60929
671.0735, 93.73967
671.5557, 96.49117
672.0378, 98.58240
672.5199, 97.52698
673.0020, 95.75060
673.4841, 96.50972
673.9662, 99.72518
674.4484, 102.4071
674.9305, 102.2422
675.4126, 99.82974
675.8947, 96.63435
676.3768, 91.95609
676.8589, 89.77718
677.3411, 92.90031
677.8232, 96.51398
678.3053, 96.21079
678.7874, 93.08986
679.2695, 91.17219
679.7516, 92.03047
680.2338, 93.47624
680.7159, 94.37157
681.1980, 94.96476
681.6801, 95.93293
682.1622, 97.24118
682.6443, 97.64423
683.1265, 95.88025
683.6086, 92.66560
684.0907, 91.69471
684.5728, 94.60174
685.0549, 96.17458
685.5370, 94.89950
686.0192, 92.81460
686.5013, 90.21783
686.9834, 87.73959
687.4655, 87.07758
687.9476, 89.93481
688.4297, 92.86455
688.9119, 92.26548
689.3940, 89.50044
689.8761, 87.74644
690.3582, 87.54909
690.8403, 87.62571
691.3224, 86.83550
691.8046, 87.90584
692.2867, 86.12019
692.7688, 90.07654
693.2509, 92.98157
693.7330, 94.73852
694.2151, 95.38577
694.6973, 94.14938
695.1794, 91.89001
695.6615, 90.76997
696.1436, 92.14149
696.6257, 93.46520
697.1078, 90.95742
697.5900, 86.00907
698.0721, 83.88613
698.5542, 85.50722
699.0363, 87.28992
699.5184, 86.66347
700.0005, 84.47205
700.4827, 83.69185
700.9648, 85.38297
701.4469, 86.79543
701.9290, 88.11118
702.4111, 88.93716
702.8932, 88.79338
703.3754, 88.02341
703.8575, 87.33202
704.3396, 87.02168
704.8217, 86.74735
705.3038, 86.04601
705.7859, 85.01394
706.2681, 83.83515
706.7502, 82.34686
707.2323, 82.18468
707.7144, 84.98212
708.1965, 89.09274
708.6786, 90.72216
709.1607, 89.45518
709.6428, 87.10497
710.1249, 81.46400
710.6071, 77.07273
711.0892, 77.27395
711.5713, 80.28245
712.0534, 83.23209
712.5355, 85.09423
713.0176, 85.94212
713.4998, 85.65312
713.9819, 84.38542
714.4640, 82.60571
714.9461, 80.02955
715.4282, 79.08558
715.9103, 81.84533
716.3925, 85.61717
716.8746, 85.65446
717.3567, 81.33409
717.8388, 79.19833
718.3209, 81.66927
718.8030, 84.38869
719.2852, 85.34725
719.7673, 85.27867
720.2494, 85.22922
720.7315, 85.47976
721.2136, 85.84861
721.6957, 86.37894
722.1779, 86.79752
722.6600, 85.64314
723.1421, 82.55496
723.6242, 81.17947
724.1063, 83.37463
724.5884, 86.35865
725.0706, 87.14448
725.5527, 85.88362
726.0348, 84.60348
726.5169, 82.92371
726.9990, 81.83372
727.4811, 82.17937
727.9633, 82.95456
728.4454, 83.03432
728.9275, 82.39458
729.4096, 81.76942
729.8917, 81.68480
730.3738, 81.85580
730.8560, 81.47329
731.3381, 80.49999
731.8202, 80.48487
732.3023, 82.01389
732.7844, 83.70549
733.2665, 84.42678
733.7487, 84.50441
734.2308, 85.29115
734.7129, 87.87192
735.1950, 89.10544
735.6771, 87.29273
736.1592, 84.80075
736.6414, 83.39186
737.1235, 82.89353
737.6056, 82.31865
738.0877, 81.20400
738.5698, 80.21343
739.0519, 80.47280
739.5341, 81.81117
740.0162, 82.60794
740.4983, 82.64795
740.9804, 82.93407
741.4625, 84.74711
741.9446, 86.40050
742.4268, 83.99252
742.9089, 76.24534
743.3910, 71.37920
743.8731, 71.62314
744.3552, 73.19218
