##NAMES=Corundum
##RRUFFID=X080007
##IDEAL CHEMISTRY=Al_2_O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted ruby gemstone, 6.22 ct
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/X080007
357.9833, 20504.75
358.4654, 20497.71
358.9475, 20489.83
359.4297, 20478.80
359.9118, 20463.95
360.3939, 20448.21
360.8760, 20433.13
361.3581, 20418.84
361.8402, 20405.36
362.3224, 20391.82
362.8045, 20380.60
363.2866, 20377.08
363.7687, 20380.07
364.2508, 20376.59
364.7329, 20357.74
365.2151, 20330.24
365.6972, 20302.31
366.1793, 20272.93
366.6614, 20253.10
367.1435, 20259.34
367.6256, 20282.32
368.1078, 20292.77
368.5899, 20278.18
369.0720, 20257.24
369.5541, 20244.93
370.0362, 20240.14
370.5183, 20235.39
371.0005, 20227.04
371.4826, 20216.85
371.9647, 20208.84
372.4468, 20203.99
372.9289, 20198.76
373.4110, 20190.62
373.8932, 20181.31
374.3753, 20174.39
374.8574, 20170.86
375.3395, 20168.88
375.8216, 20166.47
376.3037, 20163.55
376.7859, 20159.81
377.2680, 20151.57
377.7501, 20144.82
378.2322, 20147.77
378.7143, 20159.29
379.1964, 20167.96
379.6786, 20165.95
380.1607, 20153.17
380.6428, 20132.79
381.1249, 20102.43
381.6070, 20068.61
382.0891, 20026.20
382.5713, 19982.74
383.0534, 19954.47
383.5355, 19949.17
384.0176, 19956.03
384.4997, 19951.45
384.9818, 19925.48
385.4640, 19903.95
385.9461, 19888.67
386.4282, 19877.37
386.9103, 19869.31
387.3924, 19863.86
387.8745, 19859.61
388.3567, 19856.15
388.8388, 19855.23
389.3209, 19841.98
389.8030, 19803.17
390.2851, 19767.49
390.7672, 19745.61
391.2494, 19735.23
391.7315, 19730.77
392.2136, 19729.29
392.6957, 19729.82
393.1778, 19728.79
393.6599, 19725.29
394.1421, 19721.19
394.6242, 19715.89
395.1063, 19710.44
395.5884, 19706.16
396.0706, 19703.17
396.5527, 19700.09
397.0348, 19694.69
397.5169, 19685.89
397.9990, 19678.82
398.4811, 19678.89
398.9633, 19675.64
399.4454, 19660.84
399.9275, 19638.87
400.4096, 19621.04
400.8917, 19616.40
401.3738, 19621.46
401.8560, 19621.04
402.3381, 19612.78
402.8202, 19603.54
403.3023, 19598.35
403.7844, 19592.18
404.2665, 19578.25
404.7487, 19554.15
405.2308, 19528.26
405.7129, 19511.16
406.1950, 19503.19
406.6771, 19496.57
407.1592, 19488.75
407.6414, 19483.68
408.1235, 19484.92
408.6056, 19491.60
409.0877, 19498.72
409.5698, 19504.59
410.0519, 19508.60
410.5341, 19506.84
411.0162, 19495.97
411.4983, 19491.78
411.9804, 19510.71
412.4625, 19541.12
412.9446, 19562.84
413.4268, 19566.80
413.9089, 19571.28
414.3910, 19591.57
414.8731, 19625.31
415.3552, 19662.57
415.8373, 19702.95
416.3195, 19740.94
416.8016, 19770.08
417.2837, 19792.03
417.7658, 19799.96
418.2479, 19795.22
418.7300, 19773.91
419.2122, 19723.73
419.6943, 19645.07
420.1764, 19565.30
420.6585, 19504.10
421.1406, 19461.48
421.6227, 19430.13
422.1049, 19415.41
422.5870, 19404.29
423.0691, 19393.32
423.5512, 19382.07
424.0333, 19369.98
424.5154, 19356.88
424.9976, 19342.88
425.4797, 19328.14
425.9618, 19310.35
426.4439, 19297.12
426.9260, 19291.17
427.4081, 19287.66
427.8903, 19284.49
428.3724, 19280.89
428.8545, 19275.89
429.3366, 19268.68
429.8187, 19259.39
430.3008, 19249.25
430.7830, 19231.67
431.2651, 19221.16
431.7472, 19227.57
432.2293, 19239.49
432.7114, 19243.26
433.1935, 19233.83
433.6757, 19216.25
434.1578, 19194.94
434.6399, 19163.04
435.1220, 19151.19
435.6041, 19187.84
436.0862, 19222.67
436.5684, 19229.79
437.0505, 19212.91
437.5326, 19190.66
438.0147, 19173.52
438.4968, 19161.36
438.9789, 19155.47
439.4611, 19159.72
439.9432, 19160.46
440.4253, 19150.26
440.9074, 19134.57
441.3895, 19117.51
441.8716, 19099.27
442.3538, 19083.98
442.8359, 19076.32
443.3180, 19075.40
443.8001, 19076.79
444.2822, 19082.15
444.7643, 19085.28
445.2465, 19078.75
445.7286, 19064.45
446.2107, 19049.55
446.6928, 19033.65
447.1749, 19019.61
447.6570, 19012.36
448.1392, 19011.05
448.6213, 19007.36
449.1034, 18995.98
449.5855, 18980.11
450.0677, 18968.84
450.5498, 18963.82
451.0319, 18958.73
451.5140, 18952.86
451.9961, 18945.61
452.4782, 18935.78
452.9604, 18923.29
453.4425, 18910.15
453.9246, 18898.53
454.4067, 18888.75
454.8888, 18877.31
455.3709, 18859.54
455.8531, 18845.55
456.3352, 18841.88
456.8173, 18843.95
457.2994, 18843.62
457.7815, 18837.14
458.2636, 18827.67
458.7458, 18822.07
459.2279, 18823.26
459.7100, 18822.30
460.1921, 18816.84
460.6742, 18811.25
461.1563, 18810.25
461.6385, 18812.00
462.1206, 18809.01
462.6027, 18792.80
463.0848, 18767.51
463.5669, 18757.15
464.0490, 18772.14
464.5312, 18780.53
465.0133, 18765.86
465.4954, 18742.38
465.9775, 18723.82
466.4596, 18713.29
466.9417, 18705.53
467.4239, 18695.26
467.9060, 18683.10
468.3881, 18672.96
468.8702, 18664.82
469.3523, 18660.03
469.8344, 18666.67
470.3166, 18678.90
470.7987, 18677.55
471.2808, 18647.80
471.7629, 18610.69
472.2450, 18583.35
