##NAMES=Hemimorphite
##RRUFFID=R070536
##IDEAL CHEMISTRY=Zn^2+^_4_Si_2_O_7_(OH)_2_&#183;H_2_O
##LOCALITY=Potosi mine, Santa Eulalia District, Chihuahua, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless striated thin tabular crystals in fan-shaped aggregates
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070536
##MEASURED CHEMISTRY=Zn_4.00_Si_2.00_O_7_(OH)_2_·H_2_O; total H_2_O estimated by difference, (OH) by charge balance
222.9550, 5474.050
223.4371, 5474.410
223.9192, 5459.131
224.4014, 5418.721
224.8835, 5384.882
225.3656, 5365.811
225.8477, 5362.257
226.3298, 5358.734
226.8119, 5358.174
227.2941, 5354.605
227.7762, 5339.927
228.2583, 5308.454
228.7404, 5276.859
229.2225, 5244.912
229.7046, 5209.671
230.1868, 5201.537
230.6689, 5238.898
231.1510, 5287.734
231.6331, 5303.685
232.1152, 5269.943
232.5974, 5233.335
233.0795, 5205.590
233.5616, 5188.891
234.0437, 5169.827
234.5258, 5144.280
235.0079, 5119.544
235.4901, 5107.402
235.9722, 5117.066
236.4543, 5123.968
236.9364, 5119.637
237.4185, 5100.262
237.9006, 5087.094
238.3828, 5084.117
238.8649, 5084.808
239.3470, 5077.120
239.8291, 5050.894
240.3112, 5032.520
240.7933, 5033.948
241.2755, 5064.824
241.7576, 5078.982
242.2397, 5069.360
242.7218, 5046.591
243.2039, 5028.744
243.6860, 5013.881
244.1682, 5007.000
244.6503, 5011.331
245.1324, 5031.093
245.6145, 5049.004
246.0966, 5069.723
246.5787, 5086.395
247.0609, 5082.696
247.5430, 5041.824
248.0251, 5008.293
248.5072, 5000.942
248.9893, 5030.646
249.4714, 5053.279
249.9536, 5067.358
250.4357, 5075.018
250.9178, 5080.508
251.3999, 5083.449
251.8820, 5084.771
252.3641, 5084.596
252.8463, 5082.316
253.3284, 5080.068
253.8105, 5075.964
254.2926, 5072.858
254.7747, 5078.239
255.2568, 5097.984
255.7390, 5116.002
256.2211, 5124.054
256.7032, 5115.184
257.1853, 5118.463
257.6674, 5140.283
258.1495, 5170.986
258.6317, 5189.494
259.1138, 5195.080
259.5959, 5189.477
260.0780, 5167.476
260.5601, 5113.417
261.0422, 5093.050
261.5244, 5116.337
262.0065, 5167.431
262.4886, 5211.211
262.9707, 5247.955
263.4528, 5277.664
263.9349, 5299.877
264.4171, 5313.082
264.8992, 5324.023
265.3813, 5332.060
265.8634, 5338.504
266.3455, 5345.730
266.8276, 5352.879
267.3098, 5363.067
267.7919, 5378.721
268.2740, 5401.303
268.7561, 5422.283
269.2382, 5440.850
269.7203, 5457.891
270.2025, 5476.534
270.6846, 5498.752
271.1667, 5516.055
271.6488, 5522.518
272.1309, 5515.336
272.6130, 5513.997
273.0952, 5520.273
273.5773, 5530.933
274.0594, 5542.409
274.5415, 5557.414
275.0236, 5562.326
275.5057, 5546.462
275.9879, 5507.025
276.4700, 5476.394
276.9521, 5456.299
277.4342, 5443.542
277.9163, 5434.949
278.3984, 5432.180
278.8806, 5424.044
279.3627, 5402.901
279.8448, 5368.479
280.3269, 5336.753
280.8090, 5307.063
281.2911, 5281.877
281.7733, 5266.812
282.2554, 5262.663
282.7375, 5258.615
283.2196, 5251.795
283.7017, 5241.859
284.1838, 5220.408
284.6660, 5183.326
285.1481, 5143.972
285.6302, 5126.977
286.1123, 5132.654
286.5944, 5130.942
287.0765, 5100.389
287.5587, 5046.665
288.0408, 5011.370
288.5229, 4996.599
289.0050, 4994.676
289.4871, 5000.210
289.9692, 5012.297
290.4514, 5019.047
290.9335, 5009.458
291.4156, 4989.166
291.8977, 4984.489
292.3798, 4998.042
292.8619, 5013.560
293.3441, 5009.421
293.8262, 4988.371
294.3083, 4966.596
294.7904, 4948.080
295.2726, 4933.752
295.7547, 4927.123
296.2368, 4928.684
296.7189, 4933.920
297.2010, 4942.415
297.6831, 4951.644
298.1653, 4952.987
298.6474, 4932.979
299.1295, 4906.277
299.6116, 4902.604
300.0937, 4922.683
300.5758, 4944.980
301.0580, 4948.146
301.5401, 4938.188
302.0222, 4928.629
302.5043, 4920.853
302.9864, 4918.294
303.4685, 4930.824
303.9507, 4957.764
304.4328, 4980.041
304.9149, 4978.567
305.3970, 4962.946
305.8791, 4948.398
306.3612, 4934.848
306.8434, 4928.982
307.3255, 4943.969
307.8076, 4977.130
308.2897, 5005.945
308.7718, 5009.632
309.2539, 5001.321
309.7361, 4996.977
310.2182, 4998.635
310.7003, 5008.491
311.1824, 5031.259
311.6645, 5064.997
312.1466, 5099.941
312.6288, 5134.288
313.1109, 5165.819
313.5930, 5192.844
314.0751, 5214.290
314.5572, 5232.577
315.0393, 5244.447
315.5215, 5253.114
316.0036, 5269.567
316.4857, 5299.535
316.9678, 5338.788
317.4499, 5384.803
317.9320, 5437.523
318.4142, 5496.280
318.8963, 5559.524
319.3784, 5628.253
319.8605, 5706.164
320.3426, 5807.040
320.8247, 5907.966
321.3069, 5991.712
321.7890, 6038.423
322.2711, 6107.408
322.7532, 6228.376
323.2353, 6378.621
323.7174, 6515.629
324.1996, 6609.911
324.6817, 6708.030
325.1638, 6828.505
325.6459, 6983.097
326.1280, 7132.034
326.6101, 7271.036
327.0923, 7403.107
327.5744, 7530.643
328.0565, 7683.681
328.5386, 7804.422
329.0207, 7881.553
329.5028, 7914.237
329.9850, 7906.094
330.4671, 7848.515
330.9492, 7755.401
331.4313, 7639.792
331.9134, 7492.188
332.3955, 7335.271
332.8777, 7166.543
333.3598, 6987.555
333.8419, 6824.964
334.3240, 6679.726
334.8061, 6549.490
335.2882, 6431.126
335.7704, 6325.873
336.2525, 6228.771
336.7346, 6138.841
337.2167, 6055.971
337.6988, 5974.438
338.1809, 5887.650
338.6631, 5813.589
339.1452, 5771.377
339.6273, 5767.977
340.1094, 5760.363
340.5915, 5743.711
341.0736, 5718.545
341.5558, 5684.968
342.0379, 5640.191
342.5200, 5598.343
343.0021, 5569.609
343.4842, 5554.256
343.9663, 5537.970
344.4485, 5518.419
344.9306, 5499.359
345.4127, 5488.933
345.8948, 5487.128
346.3769, 5490.019
346.8590, 5503.526
347.3412, 5522.293
347.8233, 5516.844
348.3054, 5481.580
348.7875, 5437.253
349.2696, 5406.522
349.7517, 5389.779
350.2339, 5387.438
350.7160, 5413.394
351.1981, 5450.844
351.6802, 5463.521
352.1623, 5448.274
352.6444, 5430.015
353.1266, 5431.883
353.6087, 5448.688
354.0908, 5469.530
354.5729, 5496.405
355.0550, 5521.239
355.5371, 5536.360
356.0193, 5541.976
356.5014, 5538.555
356.9835, 5517.318
357.4656, 5490.463
357.9477, 5473.463
358.4298, 5477.961
358.9120, 5486.515
359.3941, 5485.804
359.8762, 5478.875
360.3583, 5478.280
360.8404, 5499.545
361.3225, 5524.399
361.8047, 5538.154
362.2868, 5530.756
362.7689, 5523.775
363.2510, 5525.715
363.7331, 5533.771
364.2152, 5541.320
364.6974, 5550.129
365.1795, 5554.651
365.6616, 5549.716
366.1437, 5526.604
366.6258, 5515.581
367.1079, 5530.932
367.5901, 5558.929
368.0722, 5578.968
368.5543, 5582.505
369.0364, 5584.656
369.5185, 5588.515
370.0006, 5593.944
370.4828, 5602.696
370.9649, 5613.986
371.4470, 5629.336
371.9291, 5650.765
372.4112, 5682.305
372.8933, 5713.771
373.3755, 5744.425
373.8576, 5773.985
374.3397, 5794.462
374.8218, 5799.403
375.3039, 5804.515
375.7861, 5823.746
376.2682, 5862.785
376.7503, 5891.492
377.2324, 5903.392
377.7145, 5904.296
378.1967, 5912.499
378.6788, 5929.770
379.1609, 5945.795
379.6430, 5950.888
380.1251, 5945.572
380.6072, 5954.066
381.0894, 5980.615
381.5715, 6015.342
382.0536, 6044.762
382.5357, 6069.287
383.0178, 6088.835
383.4999, 6098.148
383.9821, 6102.593
384.4642, 6118.463
384.9463, 6146.460
385.4284, 6181.674
385.9105, 6227.372
386.3926, 6277.423
386.8748, 6315.700
387.3569, 6328.438
387.8390, 6332.559
388.3211, 6349.858
388.8032, 6379.255
389.2853, 6408.790
389.7675, 6431.947
390.2496, 6450.347
390.7317, 6464.854
391.2138, 6472.299
391.6959, 6481.799
392.1780, 6501.554
392.6602, 6528.783
393.1423, 6554.816
393.6244, 6574.014
394.1065, 6592.447
394.5886, 6615.540
395.0707, 6647.316
395.5529, 6673.213
396.0350, 6678.749
396.5171, 6677.716
396.9992, 6690.405
397.4813, 6751.097
397.9634, 6797.047
398.4456, 6803.286
398.9277, 6761.780
399.4098, 6730.878
399.8919, 6722.029
400.3740, 6720.861
400.8561, 6715.942
401.3383, 6702.330
401.8204, 6692.474
402.3025, 6689.929
402.7846, 6693.191
403.2667, 6692.484
403.7488, 6689.567
404.2310, 6680.349
404.7131, 6661.012
405.1952, 6628.713
405.6773, 6597.891
406.1594, 6568.657
406.6415, 6541.769
407.1237, 6519.381
407.6058, 6502.251
408.0879, 6485.916
408.5700, 6469.350
409.0521, 6452.167
409.5342, 6430.005
410.0164, 6401.620
410.4985, 6373.788
410.9806, 6359.124
411.4627, 6354.434
411.9448, 6339.815
412.4269, 6305.593
412.9091, 6259.205
413.3912, 6212.417
413.8733, 6165.382
414.3554, 6125.023
414.8375, 6106.074
415.3196, 6095.504
415.8018, 6069.679
416.2839, 6015.748
416.7660, 5962.878
417.2481, 5942.460
417.7302, 5944.461
418.2123, 5944.699
418.6945, 5926.343
419.1766, 5904.920
419.6587, 5893.363
420.1408, 5895.020
420.6229, 5894.136
421.1050, 5887.005
421.5872, 5872.727
422.0693, 5850.057
422.5514, 5798.815
423.0335, 5759.234
423.5156, 5745.853
423.9977, 5758.425
424.4799, 5772.425
424.9620, 5789.763
425.4441, 5803.939
425.9262, 5811.235
426.4083, 5807.302
426.8904, 5802.379
427.3726, 5795.870
427.8547, 5788.542
428.3368, 5782.297
428.8189, 5776.540
429.3010, 5772.890
429.7831, 5771.446
430.2653, 5771.865
430.7474, 5778.244
431.2295, 5791.637
431.7116, 5809.568
432.1937, 5831.642
432.6758, 5858.828
433.1580, 5877.620
433.6401, 5877.650
434.1222, 5869.013
434.6043, 5888.061
435.0864, 5935.440
435.5685, 5990.469
436.0507, 6039.894
436.5328, 6084.061
437.0149, 6121.897
437.4970, 6150.603
437.9791, 6179.465
438.4612, 6223.693
438.9434, 6278.081
439.4255, 6326.371
439.9076, 6338.582
440.3897, 6352.747
440.8718, 6416.847
441.3539, 6537.357
441.8361, 6652.679
442.3182, 6713.091
442.8003, 6753.045
443.2824, 6811.797
443.7645, 6925.820
444.2466, 7037.868
444.7288, 7115.206
445.2109, 7167.453
445.6930, 7241.953
446.1751, 7371.498
446.6572, 7509.801
447.1393, 7632.771
447.6215, 7724.626
448.1036, 7825.690
448.5857, 7952.311
449.0678, 8083.516
449.5499, 8188.865
450.0320, 8268.100
450.5142, 8320.203
450.9963, 8342.699
451.4784, 8335.314
451.9605, 8312.582
452.4426, 8274.063
452.9247, 8220.753
453.4069, 8152.387
453.8890, 8068.457
454.3711, 7969.971
454.8532, 7855.123
455.3353, 7726.193
455.8174, 7584.704
456.2996, 7429.621
456.7817, 7281.858
457.2638, 7160.570
457.7459, 7055.380
458.2281, 6932.836
458.7102, 6789.565
459.1923, 6649.632
459.6744, 6537.902
460.1565, 6448.049
460.6386, 6371.500
461.1208, 6308.421
461.6029, 6252.677
462.0850, 6202.156
462.5671, 6155.599
463.0492, 6107.811
463.5313, 6052.197
464.0135, 5996.205
464.4956, 5944.957
464.9777, 5895.090
465.4598, 5857.501
465.9419, 5842.737
466.4240, 5840.533
466.9062, 5834.547
467.3883, 5811.858
467.8704, 5795.194
468.3525, 5796.969
468.8346, 5819.936
469.3167, 5816.453
469.7989, 5765.566
470.2810, 5709.546
470.7631, 5681.745
471.2452, 5695.893
471.7273, 5699.431
472.2094, 5683.877
472.6916, 5657.988
473.1737, 5643.790
473.6558, 5643.269
474.1379, 5643.096
474.6200, 5638.183
475.1021, 5628.743
475.5843, 5611.918
476.0664, 5586.031
476.5485, 5564.482
477.0306, 5570.508
477.5127, 5594.067
477.9948, 5602.935
478.4770, 5581.237
478.9591, 5548.270
479.4412, 5522.051
479.9233, 5503.077
480.4054, 5494.371
480.8875, 5503.476
481.3697, 5519.742
481.8518, 5535.900
482.3339, 5552.209
482.8160, 5562.028
483.2981, 5555.538
483.7802, 5542.828
484.2624, 5536.909
484.7445, 5547.258
485.2266, 5557.858
485.7087, 5564.934
486.1908, 5568.629
486.6729, 5571.632
487.1551, 5574.084
487.6372, 5576.039
488.1193, 5578.231
488.6014, 5583.878
489.0835, 5581.137
489.5656, 5565.269
490.0478, 5545.618
490.5299, 5537.166
491.0120, 5541.908
491.4941, 5549.126
491.9762, 5556.178
492.4583, 5563.195
492.9405, 5571.788
493.4226, 5582.410
493.9047, 5590.291
494.3868, 5591.296
494.8689, 5586.451
495.3510, 5577.646
495.8332, 5563.379
496.3153, 5550.500
496.7974, 5545.763
497.2795, 5548.238
497.7616, 5555.924
498.2437, 5584.083
498.7259, 5605.131
499.2080, 5585.331
499.6901, 5526.684
500.1722, 5487.998
500.6543, 5510.781
501.1364, 5555.710
501.6186, 5594.591
502.1007, 5630.151
502.5828, 5647.097
503.0649, 5630.558
503.5470, 5594.807
504.0291, 5571.738
504.5113, 5570.521
504.9934, 5570.922
505.4755, 5568.270
505.9576, 5562.551
506.4397, 5555.031
506.9218, 5542.688
507.4040, 5533.931
507.8861, 5537.994
508.3682, 5556.437
508.8503, 5570.021
509.3324, 5575.304
509.8145, 5576.305
510.2967, 5581.263
510.7788, 5589.575
511.2609, 5595.483
511.7430, 5598.264
512.2252, 5596.046
512.7073, 5579.744
513.1894, 5549.609
513.6715, 5526.636
514.1536, 5532.078
514.6357, 5552.617
515.1179, 5572.030
515.6000, 5587.909
516.0821, 5599.138
516.5642, 5602.253
517.0463, 5600.663
517.5284, 5601.312
518.0106, 5609.028
518.4927, 5616.985
518.9748, 5625.045
519.4569, 5634.319
519.9390, 5631.915
520.4211, 5603.445
520.9033, 5575.245
521.3854, 5566.390
521.8675, 5589.888
522.3496, 5601.988
522.8317, 5595.945
523.3138, 5580.706
523.7960, 5576.930
524.2781, 5586.936
524.7602, 5593.239
525.2423, 5583.949
525.7244, 5565.363
526.2065, 5569.594
526.6887, 5597.579
527.1708, 5628.219
527.6529, 5643.896
528.1350, 5648.512
528.6171, 5649.651
529.0992, 5647.611
529.5814, 5645.336
530.0635, 5643.936
530.5456, 5644.195
531.0277, 5647.727
531.5098, 5668.187
531.9919, 5680.450
532.4741, 5660.371
532.9562, 5610.078
533.4383, 5581.113
533.9204, 5603.516
534.4025, 5640.164
534.8846, 5669.282
535.3668, 5690.883
535.8489, 5702.944
536.3310, 5702.452
536.8131, 5694.686
537.2952, 5685.547
537.7773, 5670.893
538.2595, 5668.259
538.7416, 5687.675
539.2237, 5722.788
539.7058, 5735.596
540.1879, 5723.661
540.6700, 5713.834
541.1522, 5728.675
541.6343, 5761.743
542.1164, 5789.541
542.5985, 5809.811
543.0806, 5825.295
543.5627, 5834.391
544.0449, 5841.028
544.5270, 5852.934
545.0091, 5872.778
545.4912, 5899.021
545.9733, 5939.034
546.4554, 5986.778
546.9376, 6019.760
547.4197, 6007.358
547.9018, 5995.131
548.3839, 6009.090
548.8660, 6060.749
549.3481, 6105.435
549.8303, 6141.483
550.3124, 6168.396
550.7945, 6183.212
551.2766, 6173.455
551.7587, 6181.423
552.2408, 6220.846
552.7230, 6275.864
553.2051, 6300.587
553.6872, 6290.838
554.1693, 6279.390
554.6514, 6288.290
555.1335, 6309.069
555.6157, 6298.488
556.0978, 6255.667
556.5799, 6205.359
557.0620, 6169.134
557.5441, 6140.714
558.0262, 6107.580
558.5084, 6064.682
558.9905, 6023.229
559.4726, 5987.607
559.9547, 5959.598
560.4368, 5942.339
560.9189, 5949.323
561.4011, 5955.928
561.8832, 5953.198
562.3653, 5941.077
562.8474, 5924.018
563.3295, 5889.929
563.8116, 5862.328
564.2938, 5854.846
564.7759, 5880.491
565.2580, 5887.666
565.7401, 5867.253
566.2222, 5839.400
566.7043, 5832.228
567.1865, 5848.446
567.6686, 5859.298
568.1507, 5855.237
568.6328, 5844.930
569.1149, 5851.023
569.5970, 5871.869
570.0792, 5890.448
570.5613, 5900.531
571.0434, 5900.436
571.5255, 5881.793
572.0076, 5843.981
572.4897, 5811.713
572.9719, 5803.459
573.4540, 5808.677
573.9361, 5817.454
574.4182, 5830.605
574.9003, 5841.788
575.3824, 5849.299
575.8646, 5853.673
576.3467, 5855.703
576.8288, 5854.528
577.3109, 5852.434
577.7930, 5851.345
578.2751, 5850.723
578.7573, 5841.966
579.2394, 5822.829
579.7215, 5801.539
580.2036, 5779.330
580.6857, 5756.533
581.1678, 5752.209
581.6500, 5770.509
582.1321, 5792.378
582.6142, 5792.210
583.0963, 5776.434
583.5784, 5765.152
584.0605, 5768.312
584.5427, 5772.620
585.0248, 5760.593
585.5069, 5738.237
585.9890, 5722.559
586.4711, 5722.947
586.9532, 5731.273
587.4354, 5747.521
587.9175, 5772.293
588.3996, 5786.999
588.8817, 5783.262
589.3638, 5771.676
589.8459, 5757.071
590.3281, 5727.611
590.8102, 5720.687
591.2923, 5745.771
591.7744, 5783.748
592.2565, 5806.320
592.7386, 5812.345
593.2208, 5810.392
593.7029, 5798.150
594.1850, 5783.002
594.6671, 5789.637
595.1492, 5815.291
595.6313, 5833.742
596.1135, 5818.243
596.5956, 5790.810
597.0777, 5786.473
597.5598, 5808.197
598.0419, 5821.460
598.5240, 5790.946
599.0062, 5749.344
599.4883, 5726.986
599.9704, 5737.008
600.4525, 5756.224
600.9346, 5788.997
601.4167, 5825.658
601.8989, 5849.512
602.3810, 5854.537
602.8631, 5855.087
603.3452, 5852.494
603.8273, 5847.355
604.3094, 5843.201
604.7916, 5839.850
605.2737, 5837.783
605.7558, 5837.058
606.2379, 5837.790
606.7200, 5843.259
607.2021, 5854.470
607.6843, 5860.100
608.1664, 5839.155
608.6485, 5807.905
609.1306, 5796.083
609.6127, 5819.751
610.0948, 5845.121
610.5770, 5848.757
611.0591, 5839.539
611.5412, 5832.517
612.0233, 5830.220
612.5054, 5832.823
612.9875, 5843.556
613.4697, 5861.206
613.9518, 5873.065
614.4339, 5878.479
614.9160, 5879.166
615.3981, 5874.920
615.8802, 5865.322
616.3624, 5856.128
616.8445, 5846.971
617.3266, 5839.622
617.8087, 5836.613
618.2908, 5837.190
618.7729, 5838.884
619.2551, 5842.937
619.7372, 5842.821
620.2193, 5821.100
620.7014, 5790.001
621.1835, 5775.558
621.6656, 5810.039
622.1478, 5844.881
622.6299, 5849.954
623.1120, 5831.560
623.5941, 5817.913
624.0762, 5816.504
624.5583, 5821.350
625.0405, 5832.912
625.5226, 5853.309
626.0047, 5861.838
626.4868, 5850.499
626.9689, 5839.573
627.4510, 5847.338
627.9332, 5875.426
628.4153, 5900.549
628.8974, 5923.245
629.3795, 5934.800
629.8616, 5912.020
630.3438, 5865.579
630.8259, 5834.738
631.3080, 5836.689
631.7901, 5854.947
632.2722, 5885.715
632.7543, 5920.835
633.2365, 5936.281
633.7186, 5896.732
634.2007, 5857.114
634.6828, 5848.800
635.1649, 5875.346
635.6470, 5894.777
636.1292, 5896.567
636.6113, 5896.513
637.0934, 5904.004
637.5755, 5923.722
638.0576, 5933.048
638.5397, 5927.945
639.0219, 5920.343
639.5040, 5926.500
639.9861, 5945.168
640.4682, 5960.219
640.9503, 5968.745
641.4324, 5970.377
641.9146, 5958.372
642.3967, 5938.340
642.8788, 5925.836
643.3609, 5934.059
643.8430, 5947.542
644.3251, 5956.719
644.8073, 5961.892
645.2894, 5966.234
645.7715, 5966.124
646.2536, 5969.483
646.7357, 5981.466
647.2178, 6003.814
647.7000, 6024.857
648.1821, 6049.235
648.6642, 6065.689
649.1463, 6059.547
649.6284, 6027.792
650.1105, 6014.845
650.5927, 6027.933
651.0748, 6049.890
651.5569, 6056.057
652.0390, 6050.798
652.5211, 6049.125
653.0032, 6057.878
653.4854, 6069.062
653.9675, 6077.718
654.4496, 6083.083
654.9317, 6083.388
655.4138, 6059.650
655.8959, 6047.801
656.3781, 6073.203
656.8602, 6135.021
657.3423, 6175.620
657.8244, 6173.021
658.3065, 6173.910
658.7886, 6207.067
659.2708, 6281.281
659.7529, 6313.738
660.2350, 6294.397
660.7171, 6265.622
661.1992, 6265.838
661.6813, 6291.788
662.1635, 6331.704
662.6456, 6387.185
663.1277, 6443.144
663.6099, 6482.198
664.0920, 6510.603
664.5741, 6539.938
665.0562, 6569.744
665.5383, 6606.436
666.0204, 6655.721
666.5026, 6714.278
666.9847, 6772.711
667.4668, 6837.725
667.9489, 6892.980
668.4310, 6930.962
668.9131, 6953.912
669.3953, 6991.365
669.8774, 7048.650
670.3595, 7102.566
670.8416, 7137.128
671.3237, 7154.929
671.8058, 7173.403
672.2880, 7192.670
672.7701, 7212.715
673.2522, 7238.500
673.7343, 7263.197
674.2164, 7278.871
674.6985, 7286.257
675.1807, 7276.504
675.6628, 7235.872
676.1449, 7179.119
676.6270, 7123.682
677.1091, 7068.790
677.5912, 7022.113
678.0734, 6992.309
678.5555, 6968.550
679.0376, 6922.567
679.5197, 6845.962
680.0018, 6778.590
680.4839, 6734.471
680.9661, 6706.591
681.4482, 6672.075
681.9303, 6631.560
682.4124, 6589.709
682.8945, 6547.671
683.3766, 6507.358
683.8588, 6471.553
684.3409, 6440.037
684.8230, 6411.359
685.3051, 6387.840
685.7872, 6364.413
686.2693, 6334.909
686.7515, 6289.424
687.2336, 6264.831
687.7157, 6275.526
688.1978, 6295.525
688.6799, 6300.480
689.1620, 6284.642
689.6442, 6281.625
690.1263, 6299.877
690.6084, 6320.119
691.0905, 6302.809
691.5726, 6257.069
692.0547, 6230.479
692.5369, 6248.594
693.0190, 6275.669
693.5011, 6271.166
693.9832, 6244.544
694.4653, 6219.264
694.9474, 6197.347
695.4296, 6186.799
695.9117, 6202.526
696.3938, 6239.940
696.8759, 6249.468
697.3580, 6207.166
697.8401, 6168.358
698.3223, 6155.396
698.8044, 6168.795
699.2865, 6182.444
699.7686, 6196.734
700.2507, 6209.241
700.7328, 6218.680
701.2150, 6224.608
701.6971, 6224.354
702.1792, 6216.862
702.6613, 6209.837
703.1434, 6208.260
703.6255, 6210.968
704.1077, 6217.343
704.5898, 6230.466
705.0719, 6240.546
705.5540, 6247.852
706.0361, 6249.351
706.5182, 6239.939
707.0004, 6207.729
707.4825, 6191.274
707.9646, 6201.506
708.4467, 6224.926
708.9288, 6233.889
709.4109, 6228.605
709.8931, 6213.760
710.3752, 6184.341
710.8573, 6153.222
711.3394, 6140.278
711.8215, 6143.525
712.3036, 6155.185
712.7858, 6182.392
713.2679, 6207.097
713.7500, 6211.420
714.2321, 6196.536
714.7142, 6195.762
715.1964, 6239.437
715.6785, 6274.813
716.1606, 6278.349
716.6427, 6246.091
717.1248, 6216.247
717.6069, 6186.428
718.0891, 6166.983
718.5712, 6170.866
719.0533, 6193.810
719.5354, 6221.447
720.0175, 6254.798
720.4996, 6275.667
720.9818, 6257.339
721.4639, 6220.919
721.9460, 6193.831
722.4281, 6184.699
722.9102, 6181.461
