##NAMES=Saneroite
##RRUFFID=R060488
##IDEAL CHEMISTRY=Na_2_(Mn^2+^,Mn^3+^)_10_V^5+^Si_11_O_34_(OH)_4_
##LOCALITY=Molinello mine, Val Graveglia (Graveglia Valley), Ne, Genova, Liguria, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Orange colored blebs associated with white quartz, black braunite and brown parsettensite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060488
4.314519e+002, 2.812754e+002
4.319341e+002, 2.811554e+002
4.324162e+002, 2.808091e+002
4.328983e+002, 2.802295e+002
4.333804e+002, 2.798076e+002
4.338625e+002, 2.801295e+002
4.343446e+002, 2.813433e+002
4.348268e+002, 2.820172e+002
4.353089e+002, 2.818316e+002
4.357910e+002, 2.813243e+002
4.362731e+002, 2.807518e+002
4.367552e+002, 2.801519e+002
4.372373e+002, 2.795772e+002
4.377195e+002, 2.790822e+002
4.382016e+002, 2.785876e+002
4.386837e+002, 2.777945e+002
4.391658e+002, 2.761717e+002
4.396479e+002, 2.749305e+002
4.401300e+002, 2.744460e+002
4.406122e+002, 2.742158e+002
4.410943e+002, 2.737771e+002
4.415764e+002, 2.730399e+002
4.420585e+002, 2.722082e+002
4.425406e+002, 2.715426e+002
4.430227e+002, 2.710991e+002
4.435049e+002, 2.704057e+002
4.439870e+002, 2.691925e+002
4.444691e+002, 2.680100e+002
4.449512e+002, 2.671196e+002
4.454333e+002, 2.663625e+002
4.459154e+002, 2.654224e+002
4.463976e+002, 2.641252e+002
4.468797e+002, 2.626619e+002
4.473618e+002, 2.614101e+002
4.478439e+002, 2.603142e+002
4.483260e+002, 2.596019e+002
4.488081e+002, 2.600952e+002
4.492903e+002, 2.604077e+002
4.497724e+002, 2.593655e+002
4.502545e+002, 2.570533e+002
4.507366e+002, 2.548174e+002
4.512187e+002, 2.539084e+002
4.517008e+002, 2.539723e+002
4.521829e+002, 2.534903e+002
4.526650e+002, 2.522730e+002
4.531472e+002, 2.509196e+002
4.536293e+002, 2.496714e+002
4.541114e+002, 2.485359e+002
4.545935e+002, 2.475643e+002
4.550756e+002, 2.468447e+002
4.555577e+002, 2.461472e+002
4.560399e+002, 2.451536e+002
4.565220e+002, 2.439817e+002
4.570041e+002, 2.431523e+002
4.574862e+002, 2.428596e+002
4.579683e+002, 2.428577e+002
4.584504e+002, 2.427773e+002
4.589326e+002, 2.425969e+002
4.594147e+002, 2.428344e+002
4.598968e+002, 2.437929e+002
4.603789e+002, 2.450576e+002
4.608610e+002, 2.462768e+002
4.613431e+002, 2.474561e+002
4.618253e+002, 2.487568e+002
4.623074e+002, 2.502807e+002
4.627895e+002, 2.520116e+002
4.632716e+002, 2.539299e+002
4.637537e+002, 2.564463e+002
4.642358e+002, 2.586038e+002
4.647180e+002, 2.605217e+002
