##NAMES=Hydroboracite
##RRUFFID=R060713
##IDEAL CHEMISTRY=CaMg[B_3_O_4_(OH)_3_]_2_&#183;3H_2_O
##LOCALITY=Sijes, Salta Province, Argentina
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Divergent groups of colorless bladed crystals that lie somewhat parallel with each other
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060713
##MEASURED CHEMISTRY=(Ca_0.93_Mg_0.07_)_Σ=1_Mg_1.00_B_6_O_8_(OH)_6_·3H_2_O ; B, H not measured but estimated by stoichiometry
238.677, 48300.262
239.159, 48593.398
239.641, 48929.441
240.123, 49344.352
240.605, 49754.121
241.088, 50141.609
241.570, 50523.270
242.052, 50826.469
242.534, 51073.699
243.016, 51227.500
243.498, 51214.551
243.980, 50949.750
244.462, 50652.660
244.945, 50388.141
245.427, 50169.211
245.909, 49930.410
246.391, 49654.531
246.873, 49366.051
247.355, 49103.020
247.837, 48854.641
248.319, 48648.391
248.801, 48499.711
249.284, 48427.570
249.766, 48350.961
250.248, 48271.750
250.730, 48190.109
251.212, 48101.602
251.694, 47989.340
252.176, 47905.930
252.658, 47875.500
253.141, 47915.809
253.623, 47945.629
254.105, 47950.930
254.587, 47957.770
255.069, 48011.602
255.551, 48126.539
256.033, 48263.809
256.515, 48408.762
256.997, 48555.750
257.480, 48741.520
257.962, 48994.930
258.444, 49266.520
258.926, 49470.160
259.408, 49601.480
259.890, 49671.449
260.372, 49670.500
260.854, 49579.070
261.336, 49504.211
261.819, 49455.469
262.301, 49411.500
262.783, 49331.539
263.265, 49192.609
263.747, 49068.520
264.229, 48992.078
264.711, 48977.730
265.193, 48923.461
265.676, 48803.641
266.158, 48672.980
266.640, 48630.910
267.122, 48717.398
267.604, 48781.961
268.086, 48760.559
268.568, 48638.180
269.050, 48550.199
269.532, 48496.781
270.015, 48480.578
270.497, 48522.648
270.979, 48646.621
271.461, 48744.898
271.943, 48767.359
272.425, 48708.109
272.907, 48678.828
273.389, 48680.930
273.871, 48712.461
274.354, 48784.590
274.836, 48912.000
275.318, 49009.602
275.800, 49029.871
276.282, 48972.559
276.764, 48976.941
277.246, 49061.180
277.728, 49168.660
278.211, 49213.840
278.693, 49184.480
279.175, 49184.430
279.657, 49257.020
280.139, 49396.012
280.621, 49527.770
281.103, 49653.910
281.585, 49766.500
282.068, 49858.910
282.550, 49930.270
283.032, 49986.602
283.514, 50029.199
283.996, 50058.762
284.478, 50076.129
284.960, 50080.480
285.442, 50079.180
285.924, 50080.480
286.406, 50084.578
286.889, 50087.070
287.371, 50083.578
287.853, 50078.309
288.335, 50097.141
288.817, 50145.730
289.299, 50178.262
289.781, 50125.609
290.263, 50001.738
290.746, 49904.672
291.228, 49863.352
291.710, 49867.141
292.192, 49900.500
292.674, 49964.559
293.156, 50027.262
293.638, 50050.539
294.120, 50045.090
294.603, 50059.102
295.085, 50130.309
295.567, 50210.859
296.049, 50182.891
296.531, 50051.770
297.013, 49935.359
297.495, 49946.352
297.977, 50050.090
298.459, 50156.859
298.942, 50246.672
299.424, 50326.570
299.906, 50398.199
300.388, 50462.398
300.870, 50536.988
301.352, 50632.141
301.834, 50743.488
302.316, 50863.012
302.798, 50992.570
303.281, 51120.031
303.763, 51236.859
304.245, 51340.109
304.727, 51427.809
305.209, 51490.828
305.691, 51537.488
306.173, 51578.891
306.655, 51617.840
307.138, 51652.301
307.620, 51670.449
308.102, 51682.230
308.584, 51714.629
309.066, 51820.039
309.548, 51936.922
310.030, 51997.789
310.512, 51974.730
310.994, 51953.441
311.477, 51995.039
311.959, 52079.922
312.441, 52168.789
312.923, 52233.141
313.405, 52300.949
313.887, 52389.789
314.369, 52503.219
314.851, 52636.480
315.333, 52814.480
315.816, 53006.641
316.298, 53165.148
316.780, 53212.980
317.262, 53273.059
317.744, 53432.129
318.226, 53717.359
318.708, 53956.059
319.190, 54051.352
319.672, 54081.301
320.155, 54136.539
320.637, 54324.699
321.119, 54464.738
321.601, 54476.172
322.083, 54347.930
322.565, 54213.320
323.047, 54070.609
323.530, 53944.641
324.012, 53857.000
324.494, 53853.379
324.976, 53842.621
325.458, 53813.270
325.940, 53764.520
326.422, 53685.441
326.904, 53516.262
327.386, 53351.809
327.868, 53254.059
328.351, 53337.570
328.833, 53352.301
329.315, 53240.719
329.797, 53030.590
330.279, 52884.422
330.761, 52820.449
331.243, 52804.461
331.725, 52824.512
332.208, 52924.879
332.690, 52982.461
333.172, 52977.289
333.654, 52929.031
334.136, 52895.629
334.618, 52872.309
335.100, 52872.871
335.582, 52905.781
336.065, 52979.398
336.547, 53063.820
337.029, 53170.551
337.511, 53278.879
337.993, 53341.359
338.475, 53346.680
338.957, 53340.211
339.439, 53339.680
339.921, 53345.730
340.404, 53336.078
340.886, 53304.500
341.368, 53268.871
341.850, 53262.879
342.332, 53291.422
342.814, 53298.531
343.296, 53259.250
343.778, 53182.539
344.260, 53112.891
344.743, 53047.781
345.225, 53008.988
345.707, 53037.391
346.189, 53124.840
346.671, 53192.340
347.153, 53211.109
347.635, 53200.078
348.117, 53188.449
348.599, 53175.000
349.082, 53198.488
349.564, 53323.230
350.046, 53510.340
350.528, 53654.160
351.010, 53724.879
351.492, 53749.301
351.974, 53744.410
352.457, 53716.520
352.939, 53702.789
353.421, 53742.691
353.903, 53807.570
354.385, 53862.730
354.867, 53910.238
355.349, 53930.012
355.831, 53878.320
356.313, 53785.691
356.796, 53720.770
357.278, 53741.590
357.760, 53793.859
358.242, 53833.910
358.724, 53855.980
359.206, 53877.359
359.688, 53910.520
360.170, 53947.750
360.652, 53978.352
361.135, 53973.879
361.617, 53981.410
362.099, 54038.500
362.581, 54146.750
363.063, 54223.109
363.545, 54215.699
364.027, 54175.129
364.509, 54145.531
364.991, 54140.910
365.474, 54143.570
365.956, 54152.109
366.438, 54166.629
366.920, 54183.711
367.402, 54171.172
367.884, 54185.480
368.366, 54256.301
368.848, 54494.352
369.331, 54654.359
369.813, 54694.738
370.295, 54655.641
370.777, 54644.078
371.259, 54660.711
371.741, 54703.840
372.223, 54778.410
372.705, 54901.102
373.188, 54997.102
373.670, 55043.828
374.152, 55077.500
374.634, 55164.609
375.116, 55332.441
375.598, 55472.090
376.080, 55538.809
376.562, 55532.500
377.044, 55564.430
377.526, 55648.270
378.009, 55739.078
378.491, 55785.199
378.973, 55784.031
379.455, 55793.141
379.937, 55826.430
380.419, 55881.730
380.901, 55952.328
381.384, 56041.000
381.866, 56134.969
382.348, 56222.031
382.830, 56305.871
383.312, 56401.738
383.794, 56510.750
384.276, 56632.789
384.758, 56781.172
385.240, 56947.840
385.723, 57097.828
386.205, 57207.520
386.687, 57285.410
387.169, 57347.750
387.651, 57395.129
388.133, 57415.910
388.615, 57361.039
389.097, 57272.609
389.579, 57234.469
390.062, 57351.680
390.544, 57483.219
391.026, 57515.340
391.508, 57448.621
391.990, 57366.250
392.472, 57297.660
392.954, 57244.000
393.436, 57205.879
393.918, 57188.301
394.401, 57185.270
394.883, 57199.711
395.365, 57229.602
395.847, 57264.199
396.329, 57287.160
396.811, 57323.449
397.293, 57387.000
397.775, 57490.859
398.258, 57597.512
398.740, 57700.531
399.222, 57802.691
399.704, 57911.340
400.186, 58055.199
400.668, 58171.840
401.150, 58238.988
401.632, 58247.191
402.114, 58264.820
402.597, 58315.039
403.079, 58353.961
403.561, 58330.059
404.043, 58219.078
404.525, 58110.801
405.007, 58018.371
405.489, 57941.680
405.971, 57878.910
406.453, 57822.672
406.936, 57801.320
407.418, 57849.680
407.900, 57969.488
408.382, 58056.602
408.864, 58070.148
409.346, 58097.941
409.828, 58391.879
410.310, 58934.801
410.793, 59340.441
411.275, 59307.609
411.757, 58988.359
412.239, 58811.309
412.721, 58797.980
413.203, 58852.828
413.685, 58905.160
414.167, 58949.160
414.650, 58970.031
415.132, 58937.770
415.614, 58896.250
416.096, 58899.328
416.578, 58939.852
417.060, 58970.531
417.542, 58957.199
418.024, 58919.691
418.506, 58876.512
418.988, 58829.320
419.471, 58780.738
419.953, 58739.230
420.435, 58698.211
420.917, 58641.191
421.399, 58527.270
421.881, 58428.410
422.363, 58384.090
422.845, 58412.309
423.328, 58439.211
423.810, 58477.879
424.292, 58501.891
424.774, 58480.930
425.256, 58350.910
425.738, 58252.078
426.220, 58210.480
426.702, 58222.379
427.185, 58240.289
427.667, 58273.641
428.149, 58298.711
428.631, 58293.891
429.113, 58238.262
429.595, 58216.320
430.077, 58238.590
430.559, 58289.500
431.041, 58339.191
431.524, 58386.941
432.006, 58435.391
432.488, 58492.500
432.970, 58555.340
433.452, 58587.430
433.934, 58584.871
434.416, 58574.578
434.898, 58579.621
435.380, 58601.410
435.863, 58649.398
436.345, 58753.180
436.827, 58859.949
437.309, 58856.699
437.791, 58761.531
438.273, 58691.629
438.755, 58749.289
439.237, 58869.141
439.720, 58975.988
440.202, 59063.770
440.684, 59112.789
441.166, 59065.449
441.648, 58973.039
442.130, 58927.578
442.612, 59009.238
443.094, 59110.910
443.576, 59177.320
444.059, 59204.590
444.541, 59230.621
445.023, 59273.551
445.505, 59316.371
445.987, 59346.531
446.469, 59336.691
446.951, 59345.859
447.433, 59385.211
447.915, 59449.578
448.398, 59522.051
448.880, 59609.660
449.362, 59696.648
449.844, 59784.738
450.326, 59886.180
450.808, 59924.230
451.290, 59863.059
451.772, 59781.059
452.254, 59785.109
452.737, 59889.191
453.219, 60003.102
453.701, 60106.961
454.183, 60201.410
454.665, 60297.840
455.147, 60400.871
455.629, 60460.910
456.112, 60414.051
456.594, 60288.680
457.076, 60187.512
457.558, 60126.988
458.040, 60097.012
458.522, 60109.898
459.004, 60149.020
459.486, 60162.578
459.968, 60092.219
460.451, 60004.031
460.933, 59966.941
461.415, 59984.199
461.897, 60012.730
462.379, 60035.160
462.861, 60052.621
463.343, 60065.738
463.825, 60056.102
464.307, 60064.621
464.790, 60118.000
465.272, 60201.859
465.754, 60273.852
466.236, 60307.449
466.718, 60342.422
467.200, 60395.578
467.682, 60474.801
468.164, 60547.879
468.647, 60620.699
469.129, 60682.730
469.611, 60717.590
470.093, 60701.711
470.575, 60709.289
471.057, 60761.199
471.539, 60846.000
472.021, 60907.270
472.503, 60942.070
472.986, 60961.738
473.468, 60957.828
473.950, 60933.891
474.432, 60966.711
474.914, 61073.922
475.396, 61201.648
475.878, 61275.109
476.360, 61304.359
476.842, 61331.430
477.325, 61360.941
477.807, 61408.379
478.289, 61516.078
478.771, 61677.711
479.253, 61821.359
479.735, 61855.430
480.217, 61862.539
480.699, 61936.488
481.181, 62110.461
481.664, 62316.691
482.146, 62539.230
482.628, 62763.109
483.110, 62966.949
483.592, 63159.930
484.074, 63310.852
484.556, 63398.930
485.039, 63415.699
485.521, 63417.191
486.003, 63424.711
486.485, 63405.148
486.967, 63335.172
487.449, 63192.469
487.931, 63044.180
488.413, 62891.488
488.895, 62739.910
489.378, 62602.301
489.860, 62485.539
490.342, 62364.629
490.824, 62208.102
491.306, 62023.852
491.788, 61961.922
492.270, 62040.789
492.752, 62150.559
493.234, 62186.070
493.717, 62157.301
494.199, 62106.199
494.681, 62030.398
495.163, 61952.711
495.645, 61890.020
496.127, 61847.359
496.609, 61845.000
497.091, 61937.070
497.573, 62048.340
498.056, 62107.129
498.538, 62105.922
499.020, 62091.051
499.502, 62063.590
499.984, 62046.711
500.466, 62063.910
500.948, 62205.262
501.430, 62290.129
501.913, 62207.371
502.395, 62022.859
502.877, 61961.250
503.359, 62177.480
503.841, 62383.559
504.323, 62475.922
504.805, 62420.359
505.287, 62409.441
505.770, 62452.961
506.252, 62525.340
506.734, 62605.941
507.216, 62698.809
507.698, 62772.531
508.180, 62814.570
508.662, 62841.469
509.144, 62910.309
509.626, 63021.691
510.108, 63103.301
510.591, 63076.520
511.073, 62993.488
511.555, 62996.852
512.037, 63099.121
512.519, 63215.371
513.001, 63265.191
513.483, 63280.289
513.966, 63311.898
514.448, 63392.820
514.930, 63471.410
515.412, 63494.641
515.894, 63485.078
516.376, 63510.020
516.858, 63617.340
517.340, 63743.719
517.822, 63871.871
518.305, 64011.711
518.787, 64093.859
519.269, 64023.328
519.751, 63943.289
520.233, 63976.980
520.715, 64201.551
521.197, 64391.020
521.679, 64511.012
522.161, 64587.422
522.644, 64702.602
523.126, 64870.859
523.608, 65020.289
524.090, 65096.930
524.572, 65113.430
525.054, 65215.711
525.536, 65414.230
526.018, 65619.133
526.500, 65760.094
526.983, 65835.703
527.465, 65840.891
527.947, 65758.273
528.429, 65634.539
528.911, 65500.859
529.393, 65363.301
529.875, 65234.680
530.357, 65104.551
530.839, 64998.770
531.322, 64939.570
531.804, 64929.660
532.286, 64930.031
532.768, 64940.180
533.250, 64949.711
533.732, 64951.320
534.214, 64944.441
534.696, 64931.320
535.179, 64902.172
535.661, 64871.391
536.143, 64868.301
536.625, 64906.449
537.107, 64944.250
537.589, 64963.988
538.071, 64969.602
538.553, 65002.180
539.036, 65059.621
539.518, 65151.191
540.000, 65313.250
540.482, 65525.109
540.964, 65668.344
541.446, 65713.641
541.928, 65746.273
542.410, 65871.688
542.892, 66066.383
543.375, 66276.500
543.857, 66466.500
544.339, 66665.453
544.821, 66886.688
545.303, 67134.352
545.785, 67421.547
546.267, 67769.797
546.749, 68149.461
547.231, 68542.078
547.714, 68943.859
548.196, 69367.203
548.678, 69860.281
549.160, 70362.281
549.642, 70819.523
550.124, 71313.117
550.606, 71623.609
551.088, 71716.148
551.570, 71604.430
552.053, 71324.359
552.535, 70854.133
553.017, 70301.906
553.499, 69661.227
553.981, 68955.562
554.463, 68431.633
554.945, 68102.703
555.427, 67841.711
555.909, 67505.242
556.392, 67146.500
556.874, 66903.148
557.356, 66842.891
557.838, 66837.141
558.320, 66767.992
558.802, 66664.398
559.284, 66592.617
559.766, 66586.703
560.249, 66615.344
560.731, 66677.688
561.213, 66772.773
561.695, 66846.891
562.177, 66828.352
562.659, 66830.578
563.141, 66923.398
563.623, 67158.070
564.106, 67370.859
564.588, 67563.844
565.070, 67730.633
565.552, 67863.711
566.034, 67960.328
566.516, 68035.961
566.998, 68095.781
567.480, 68137.477
567.963, 68158.602
568.445, 68159.188
568.927, 68128.844
569.409, 68054.672
569.891, 67947.312
570.373, 67814.578
570.855, 67655.562
571.337, 67506.312
571.819, 67392.703
572.302, 67304.844
572.784, 67232.578
573.266, 67167.711
573.748, 67123.703
574.230, 67120.438
574.712, 67140.672
575.194, 67145.922
575.676, 67130.023
576.158, 67099.281
576.641, 67046.406
577.123, 66972.281
577.605, 66935.859
578.087, 66954.742
578.569, 66982.406
579.051, 66990.359
579.533, 66978.477
580.015, 66946.359
580.497, 66880.633
580.980, 66835.891
581.462, 66914.250
581.944, 67084.789
582.426, 67215.859
582.908, 67244.297
583.390, 67233.039
583.872, 67256.688
584.354, 67303.438
584.836, 67335.898
585.319, 67307.047
585.801, 67277.023
586.283, 67288.312
586.765, 67346.641
587.247, 67411.820
587.729, 67488.953
588.211, 67559.398
588.693, 67609.578
589.176, 67633.438
589.658, 67647.273
590.140, 67643.461
590.622, 67635.594
591.104, 67650.539
591.586, 67695.773
592.068, 67729.391
592.550, 67733.352
593.032, 67722.180
593.515, 67751.141
593.997, 67819.250
594.479, 67872.703
594.961, 67845.188
595.443, 67791.062
595.925, 67808.383
596.407, 67906.273
596.890, 68022.820
597.372, 68130.742
597.854, 68224.820
598.336, 68296.398
598.818, 68317.039
599.300, 68355.547
599.782, 68436.656
600.264, 68547.367
600.746, 68664.297
601.229, 68790.898
601.711, 68914.094
602.193, 69035.078
602.675, 69150.312
603.157, 69242.547
603.639, 69301.133
604.121, 69368.609
604.603, 69480.500
605.085, 69631.930
605.568, 69754.844
606.050, 69847.078
606.532, 69920.773
607.014, 69985.453
607.496, 70041.133
607.978, 70087.633
608.460, 70120.031
608.942, 70151.750
609.424, 70218.922
609.907, 70289.938
610.389, 70302.750
610.871, 70175.031
611.353, 70046.047
611.835, 69972.227
612.317, 69950.211
612.799, 69918.219
613.281, 69862.938
613.763, 69812.000
614.246, 69785.383
614.728, 69794.148
615.210, 69750.641
615.692, 69635.680
616.174, 69520.320
616.656, 69497.180
617.138, 69554.477
617.620, 69566.203
618.103, 69495.938
618.585, 69411.891
619.067, 69417.602
619.549, 69480.648
620.031, 69519.273
620.513, 69469.094
620.995, 69403.219
621.477, 69364.977
621.959, 69352.422
622.442, 69355.656
622.924, 69396.453
623.406, 69429.406
623.888, 69420.273
624.370, 69347.078
624.852, 69341.719
625.334, 69457.617
625.816, 69579.891
626.299, 69602.953
626.781, 69502.367
627.263, 69463.742
627.745, 69517.312
628.227, 69603.273
628.709, 69619.719
629.191, 69582.227
629.673, 69579.477
630.156, 69661.289
630.638, 69768.922
631.120, 69823.023
631.602, 69841.578
632.084, 69881.750
632.566, 69985.438
633.048, 70109.992
633.530, 70223.523
634.012, 70321.422
634.495, 70458.258
634.977, 70679.172
635.459, 70914.820
635.941, 71124.883
636.423, 71301.547
636.905, 71482.656
637.387, 71694.109
637.869, 71869.430
638.351, 71925.203
638.834, 71859.383
639.316, 71762.781
639.798, 71648.469
640.280, 71519.430
640.762, 71385.688
641.244, 71244.992
641.726, 71084.523
642.208, 70890.609
642.690, 70684.344
643.173, 70474.297
643.655, 70265.258
644.137, 70087.992
644.619, 69960.562
645.101, 69861.758
645.583, 69776.656
646.065, 69697.812
646.547, 69665.578
647.029, 69699.562
647.512, 69755.117
647.994, 69789.844
648.476, 69790.078
648.958, 69841.438
649.440, 69966.102
649.922, 70097.977
650.404, 70127.672
650.886, 70073.617
651.369, 70030.648
651.851, 70029.148
652.333, 70051.297
652.815, 70095.242
653.297, 70149.117
653.779, 70180.453
654.261, 70146.148
654.743, 70112.844
655.226, 70121.320
655.708, 70171.773
656.190, 70213.688
656.672, 70244.617
657.154, 70261.250
657.636, 70255.141
658.118, 70216.383
658.600, 70213.047
659.083, 70257.242
659.565, 70305.773
660.047, 70303.797
660.529, 70259.656
661.011, 70258.000
661.493, 70322.680
661.975, 70396.594
662.457, 70403.812
662.939, 70372.469
663.422, 70358.344
663.904, 70387.078
664.386, 70437.453
664.868, 70520.078
665.350, 70616.883
665.832, 70678.258
666.314, 70621.344
666.796, 70600.562
667.278, 70671.992
667.761, 70826.633
668.243, 70947.406
668.725, 71028.906
669.207, 71074.094
669.689, 71061.273
670.171, 70994.633
670.653, 70988.539
671.135, 71049.070
671.617, 71112.047
672.100, 71135.289
672.582, 71116.273
673.064, 71041.727
673.546, 70899.203
674.028, 70751.258
674.510, 70638.172
674.992, 70547.531
675.474, 70462.500
675.956, 70325.453
676.439, 70266.359
676.921, 70383.961
677.403, 70579.500
677.885, 70633.633
678.367, 70473.094
678.849, 70352.117
679.331, 70346.180
679.813, 70428.023
680.296, 70494.562
680.778, 70542.578
681.260, 70605.719
681.742, 70730.750
682.224, 70870.297
682.706, 70941.672
683.188, 70943.773
683.670, 70917.961
684.153, 70862.242
684.635, 70808.750
685.117, 70789.430
685.599, 70829.344
686.081, 70843.977
686.563, 70762.992
687.045, 70693.117
687.527, 70736.383
688.010, 70962.633
688.492, 71094.852
688.974, 71090.438
689.456, 71024.992
689.938, 71023.328
690.420, 71076.844
690.902, 71104.656
691.384, 71062.391
691.866, 71009.328
692.349, 71032.133
692.831, 71107.203
693.313, 71171.953
693.795, 71187.703
694.277, 71191.156
694.759, 71203.172
695.241, 71221.789
695.723, 71226.406
696.205, 71208.922
696.688, 71183.703
697.170, 71155.023
697.652, 71123.961
698.134, 71099.352
698.616, 71086.867
699.098, 71069.680
699.580, 71022.523
700.062, 70958.523
700.544, 70934.633
701.027, 70957.562
701.509, 70997.344
701.991, 71035.641
702.473, 71070.328
702.955, 71098.688
703.437, 71119.453
703.919, 71132.242
704.401, 71118.148
704.883, 71100.688
705.366, 71114.383
705.848, 71193.859
706.330, 71247.797
706.812, 71252.039
707.294, 71234.859
707.776, 71282.562
708.258, 71407.453
708.740, 71454.203
709.222, 71328.883
709.705, 71131.523
710.187, 71064.961
710.669, 71111.633
711.151, 71182.578
711.633, 71244.844
712.115, 71300.203
712.597, 71335.672
713.080, 71355.469
713.562, 71411.180
714.044, 71564.242
714.526, 71714.008
715.008, 71809.047
715.490, 71840.602
715.972, 71874.180
716.454, 71915.094
716.936, 71942.852
717.419, 71930.594
717.901, 71883.594
718.383, 71856.906
718.865, 71854.422
719.347, 71872.727
719.829, 71937.133
720.311, 72011.883
720.793, 72030.297
721.276, 71934.891
721.758, 71881.047
722.240, 72002.641
722.722, 72190.406
723.204, 72295.828
723.686, 72213.773
724.168, 72171.211
724.650, 72205.383
725.132, 72276.633
725.615, 72300.477
726.097, 72269.844
726.579, 72244.703
727.061, 72243.773
727.543, 72257.922
728.025, 72279.148
728.507, 72302.438
728.989, 72306.312
729.471, 72252.141
729.954, 72197.047
730.436, 72187.617
730.918, 72219.812
731.400, 72259.844
731.882, 72322.953
732.364, 72368.203
732.846, 72369.172
733.328, 72323.008
733.810, 72316.617
734.293, 72357.047
734.775, 72413.961
735.257, 72476.289
735.739, 72539.578
736.221, 72572.023
736.703, 72571.258
737.185, 72575.156
737.667, 72607.453
738.149, 72668.602
738.632, 72771.828
739.114, 72936.750
739.596, 73074.344
740.078, 73119.602
740.560, 73141.344
741.042, 73203.406
741.524, 73305.906
742.006, 73457.094
742.489, 73673.297
742.971, 73916.688
743.453, 74145.008
743.935, 74356.062
744.417, 74541.523
744.899, 74686.797
745.381, 74829.547
745.863, 75026.898
746.346, 75258.602
746.828, 75483.789
747.310, 75680.703
747.792, 75868.578
748.274, 76059.102
748.756, 76249.344
749.238, 76428.203
749.720, 76590.344
750.203, 76756.773
750.685, 76935.430
751.167, 77125.969
751.649, 77296.406
752.131, 77441.477
752.613, 77656.273
753.095, 78029.156
753.577, 78473.008
754.059, 78820.094
754.542, 79076.172
755.024, 79261.523
755.506, 79372.656
755.988, 79427.406
756.470, 79457.930
756.952, 79460.477
757.434, 79334.391
757.916, 78969.656
758.398, 78567.688
758.881, 78204.523
759.363, 77887.320
759.845, 77550.211
760.327, 77193.383
760.809, 76840.359
761.291, 76500.719
761.773, 76183.859
762.255, 75908.523
762.737, 75675.289
763.220, 75495.422
763.702, 75413.523
764.184, 75367.242
764.666, 75292.938
765.148, 75162.938
765.630, 75057.812
766.112, 74996.398
766.594, 74955.602
767.076, 74917.656
767.559, 74875.969
768.041, 74853.344
768.523, 74855.844
769.005, 74853.773
769.487, 74779.156
769.969, 74665.023
770.451, 74643.523
770.933, 74770.359
771.416, 74902.297
771.898, 74919.383
772.380, 74869.133
772.862, 74815.406
773.344, 74776.141
773.826, 74738.391
774.308, 74716.273
774.790, 74690.812
775.273, 74622.250
775.755, 74488.617
776.237, 74418.500
776.719, 74461.781
777.201, 74541.008
777.683, 74477.906
778.165, 74316.953
778.647, 74232.344
779.130, 74350.344
779.612, 74491.227
780.094, 74483.828
780.576, 74387.523
781.058, 74335.133
781.540, 74394.297
782.022, 74464.461
782.504, 74532.469
782.986, 74590.883
783.468, 74610.773
783.951, 74577.273
784.433, 74573.750
784.915, 74650.938
785.397, 74761.500
785.879, 74768.617
786.361, 74696.039
786.843, 74651.070
787.325, 74717.828
787.807, 74816.461
788.290, 74894.406
788.772, 74952.953
789.254, 75011.281
