##NAMES=Bindheimite
##RRUFFID=R050546
##IDEAL CHEMISTRY=Pb^2+^_2_Sb^5+^_2_O_7_
##LOCALITY=Arabia District, Pershing County, Nevada, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow-brown coarsely fibrous massive, intimately mixed with mimetite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050546
##MEASURED CHEMISTRY=(Pb_1.33_Fe_0.47_Ca_0.20_)_Σ=2_(Sb^5+^_1.97_As^5+^_0.03_)_Σ=2_O_7_  ;(darker phase, with trace amounts of Na);   (Pb_4.07_Ca_0.92_Fe_0.01_)_Σ=5_((As_2.97_Sb_0.03_)_Σ=1_O_4_)_3_Cl_1.00_ (lighter phase = mimetite)
152.6415, 3228.000
153.1236, 3200.440
153.6058, 3173.064
154.0879, 3145.599
154.5700, 3119.527
155.0521, 3097.082
155.5342, 3078.546
156.0163, 3059.055
156.4985, 3034.725
156.9806, 3009.879
157.4627, 2988.358
157.9448, 2971.382
158.4269, 2956.509
158.9090, 2939.943
159.3912, 2920.889
159.8733, 2902.190
160.3554, 2884.150
160.8375, 2866.894
161.3196, 2850.393
161.8017, 2834.676
162.2839, 2819.855
162.7660, 2806.560
163.2481, 2796.821
163.7302, 2785.843
164.2123, 2772.449
164.6944, 2757.634
165.1766, 2742.449
165.6587, 2727.317
166.1408, 2712.528
166.6229, 2699.643
167.1050, 2689.321
167.5871, 2680.168
168.0693, 2673.355
168.5514, 2667.516
169.0335, 2659.791
169.5156, 2647.976
169.9977, 2632.448
170.4798, 2620.535
170.9620, 2614.152
171.4441, 2608.720
171.9262, 2602.553
172.4083, 2595.633
172.8904, 2588.273
173.3725, 2580.541
173.8547, 2572.580
174.3368, 2565.180
174.8189, 2557.751
175.3010, 2551.222
175.7831, 2546.685
176.2652, 2544.204
176.7474, 2542.290
177.2295, 2540.369
177.7116, 2538.171
178.1937, 2535.021
178.6758, 2529.536
179.1579, 2523.444
179.6401, 2519.559
180.1222, 2518.612
180.6043, 2517.781
181.0864, 2514.824
181.5685, 2510.810
182.0506, 2507.501
182.5328, 2505.808
183.0149, 2505.387
183.4970, 2505.560
183.9791, 2508.125
184.4612, 2508.216
184.9433, 2502.413
185.4255, 2493.216
185.9076, 2484.964
186.3897, 2480.895
186.8718, 2480.517
187.3539, 2478.407
187.8360, 2471.498
188.3182, 2466.081
188.8003, 2465.256
189.2824, 2467.359
189.7645, 2468.817
190.2466, 2466.499
190.7287, 2460.136
191.2109, 2456.309
191.6930, 2458.184
192.1751, 2459.501
192.6572, 2457.522
193.1393, 2453.093
193.6214, 2448.938
194.1036, 2447.663
194.5857, 2449.889
195.0678, 2449.797
195.5499, 2447.498
196.0320, 2443.441
196.5141, 2436.132
196.9963, 2426.615
197.4784, 2418.525
197.9605, 2415.554
198.4426, 2418.622
198.9247, 2420.462
199.4068, 2419.780
199.8890, 2418.961
200.3711, 2420.184
200.8532, 2423.407
201.3353, 2426.067
201.8174, 2425.563
202.2995, 2421.616
202.7817, 2418.262
203.2638, 2416.557
203.7459, 2414.967
204.2280, 2411.262
204.7101, 2405.043
205.1922, 2399.830
205.6744, 2399.613
206.1565, 2403.468
206.6386, 2407.142
207.1207, 2410.275
207.6028, 2412.625
208.0849, 2413.833
208.5671, 2413.840
209.0492, 2412.869
209.5313, 2410.329
210.0134, 2406.909
210.4955, 2404.102
210.9776, 2402.337
211.4598, 2401.566
211.9419, 2401.823
212.4240, 2403.496
212.9061, 2405.416
213.3882, 2406.847
213.8703, 2407.999
214.3525, 2409.284
214.8346, 2411.168
215.3167, 2413.336
215.7988, 2414.589
216.2809, 2414.690
216.7630, 2414.116
217.2451, 2412.285
217.7273, 2410.090
218.2094, 2409.089
218.6915, 2410.382
219.1736, 2413.647
219.6557, 2417.115
220.1378, 2421.994
220.6200, 2425.411
221.1021, 2425.739
221.5842, 2424.211
222.0663, 2422.765
222.5484, 2422.638
223.0305, 2423.738
223.5127, 2425.144
223.9948, 2426.651
224.4769, 2428.765
224.9590, 2432.387
225.4411, 2436.638
225.9232, 2440.032
226.4054, 2441.527
226.8875, 2441.300
227.3696, 2441.440
227.8517, 2442.476
228.3338, 2443.356
228.8159, 2443.337
229.2981, 2443.044
229.7802, 2443.667
230.2623, 2446.065
230.7444, 2450.035
231.2265, 2453.191
231.7086, 2454.457
232.1908, 2456.144
232.6729, 2458.996
233.1550, 2462.689
233.6371, 2466.568
234.1192, 2470.247
234.6013, 2473.756
235.0835, 2477.320
235.5656, 2480.805
236.0477, 2484.486
236.5298, 2488.078
237.0119, 2491.904
237.4940, 2497.062
237.9762, 2504.591
238.4583, 2513.464
238.9404, 2518.809
239.4225, 2517.898
239.9046, 2517.205
240.3867, 2519.096
240.8689, 2522.875
241.3510, 2526.783
241.8331, 2529.879
242.3152, 2532.653
242.7973, 2536.599
243.2794, 2542.164
243.7616, 2547.948
244.2437, 2553.300
244.7258, 2558.367
245.2079, 2563.693
245.6900, 2569.751
246.1721, 2575.872
246.6543, 2580.680
247.1364, 2583.699
247.6185, 2586.843
248.1006, 2591.360
248.5827, 2596.855
249.0648, 2601.727
249.5470, 2604.715
250.0291, 2607.826
250.5112, 2614.344
250.9933, 2624.882
251.4754, 2634.841
251.9576, 2641.199
252.4397, 2644.672
252.9218, 2648.552
253.4039, 2653.472
253.8860, 2659.355
254.3681, 2666.012
254.8503, 2673.438
255.3324, 2681.164
255.8145, 2689.078
256.2966, 2697.096
256.7787, 2704.626
257.2608, 2710.780
257.7430, 2717.527
258.2251, 2726.824
258.7072, 2738.304
259.1893, 2749.500
259.6714, 2757.876
260.1535, 2764.236
260.6357, 2773.542
261.1178, 2788.533
261.5999, 2803.489
262.0820, 2814.090
262.5641, 2821.591
263.0462, 2829.880
263.5284, 2841.677
264.0105, 2856.462
264.4926, 2871.622
264.9747, 2887.753
265.4568, 2903.220
265.9389, 2916.775
266.4211, 2929.184
266.9032, 2941.865
267.3853, 2955.405
267.8674, 2969.867
268.3495, 2985.795
268.8316, 3003.782
269.3138, 3022.516
269.7959, 3042.647
270.2780, 3062.870
270.7601, 3080.975
271.2422, 3095.189
271.7243, 3107.113
272.2065, 3121.798
272.6886, 3139.666
273.1707, 3159.836
273.6528, 3184.143
274.1349, 3209.501
274.6170, 3231.716
275.0992, 3248.763
275.5813, 3262.901
276.0634, 3279.711
276.5455, 3300.990
277.0276, 3321.765
277.5097, 3340.105
277.9919, 3358.114
278.4740, 3377.870
278.9561, 3400.198
279.4382, 3423.936
279.9203, 3447.452
280.4024, 3471.564
280.8846, 3493.297
281.3667, 3509.817
281.8488, 3525.851
282.3309, 3545.382
282.8130, 3569.171
283.2951, 3594.305
283.7773, 3616.532
284.2594, 3635.047
284.7415, 3652.452
285.2236, 3667.489
285.7057, 3682.613
286.1878, 3699.512
286.6700, 3718.184
287.1521, 3737.442
287.6342, 3756.239
288.1163, 3774.716
288.5984, 3791.544
289.0805, 3804.702
289.5627, 3818.058
290.0448, 3834.062
290.5269, 3852.139
291.0090, 3869.710
291.4911, 3884.424
291.9732, 3896.074
292.4554, 3907.062
292.9375, 3918.960
293.4196, 3928.685
293.9017, 3934.752
294.3838, 3937.795
294.8659, 3939.127
295.3481, 3939.534
295.8302, 3939.110
296.3123, 3939.093
296.7944, 3942.038
297.2765, 3942.610
297.7586, 3938.808
298.2408, 3932.153
298.7229, 3925.155
299.2050, 3919.301
299.6871, 3913.745
300.1692, 3905.205
300.6513, 3891.833
301.1335, 3877.410
301.6156, 3862.312
302.0977, 3846.445
302.5798, 3829.441
303.0619, 3811.229
303.5440, 3792.283
304.0262, 3773.256
304.5083, 3753.929
304.9904, 3735.097
305.4725, 3718.519
305.9546, 3701.391
306.4367, 3680.639
306.9189, 3655.903
307.4010, 3629.905
307.8831, 3606.538
308.3652, 3587.156
308.8473, 3566.991
309.3294, 3544.775
309.8116, 3522.761
310.2937, 3502.736
310.7758, 3484.499
311.2579, 3466.507
311.7400, 3447.424
312.2221, 3427.016
312.7043, 3405.956
313.1864, 3380.580
313.6685, 3358.068
314.1506, 3342.792
314.6327, 3332.848
315.1148, 3323.285
315.5970, 3310.510
316.0791, 3294.819
316.5612, 3280.236
317.0433, 3268.253
317.5254, 3255.643
318.0075, 3240.891
318.4897, 3225.301
318.9718, 3210.826
319.4539, 3198.480
319.9360, 3187.860
320.4181, 3177.551
320.9002, 3167.429
321.3824, 3157.961
321.8645, 3149.416
322.3466, 3141.410
322.8287, 3133.544
323.3108, 3125.737
323.7929, 3118.005
324.2751, 3110.500
324.7572, 3103.479
325.2393, 3096.114
325.7214, 3088.490
326.2035, 3080.470
326.6856, 3071.595
327.1678, 3062.012
327.6499, 3052.507
328.1320, 3043.852
328.6141, 3036.049
329.0962, 3029.128
329.5783, 3024.933
330.0605, 3019.761
330.5426, 3012.104
331.0247, 3002.097
331.5068, 2990.344
331.9889, 2976.976
332.4710, 2962.220
332.9532, 2949.870
333.4353, 2942.615
333.9174, 2934.866
334.3995, 2925.399
334.8816, 2914.862
335.3637, 2904.213
335.8459, 2894.008
336.3280, 2884.075
336.8101, 2874.169
337.2922, 2863.938
337.7743, 2854.276
338.2564, 2846.814
338.7386, 2839.011
339.2206, 2827.785
339.7028, 2812.578
340.1849, 2796.607
340.6670, 2785.340
341.1491, 2782.462
341.6312, 2775.039
342.1133, 2759.529
342.5955, 2743.095
343.0776, 2729.438
343.5597, 2718.729
344.0418, 2709.265
344.5239, 2699.760
345.0060, 2690.302
345.4882, 2679.296
345.9703, 2664.940
346.4524, 2650.676
346.9345, 2636.955
347.4166, 2624.030
347.8987, 2612.307
348.3809, 2602.260
348.8630, 2593.324
349.3451, 2583.486
349.8272, 2572.777
350.3093, 2560.751
350.7914, 2546.495
351.2736, 2531.438
351.7557, 2516.944
352.2378, 2503.441
352.7199, 2490.821
353.2020, 2479.404
353.6841, 2470.204
354.1663, 2459.040
354.6484, 2443.535
355.1305, 2427.437
355.6126, 2412.741
356.0947, 2399.698
356.5768, 2387.625
357.0590, 2376.328
357.5411, 2365.966
358.0232, 2354.305
358.5053, 2340.679
358.9874, 2326.430
359.4695, 2311.398
359.9517, 2296.276
360.4338, 2282.593
360.9159, 2271.848
361.3980, 2262.779
361.8801, 2251.061
362.3622, 2235.494
362.8444, 2220.015
363.3265, 2205.699
363.8086, 2192.289
364.2907, 2179.731
364.7728, 2168.053
365.2549, 2156.614
365.7371, 2144.472
366.2192, 2131.462
366.7013, 2118.732
367.1834, 2106.201
367.6655, 2094.373
368.1476, 2083.740
368.6298, 2074.245
369.1119, 2065.288
369.5940, 2057.419
370.0761, 2050.027
370.5582, 2039.648
371.0403, 2024.060
371.5225, 2009.052
372.0046, 1999.297
372.4867, 1993.065
372.9688, 1986.370
373.4509, 1977.661
373.9330, 1967.737
374.4152, 1957.385
374.8973, 1946.495
375.3794, 1936.384
375.8615, 1927.656
376.3436, 1920.277
376.8257, 1914.361
377.3079, 1910.578
377.7900, 1906.556
378.2721, 1900.170
378.7542, 1891.949
379.2363, 1884.317
379.7184, 1878.175
380.2006, 1872.390
380.6827, 1865.403
381.1648, 1857.292
381.6469, 1849.130
382.1290, 1840.637
382.6111, 1832.507
383.0933, 1825.884
383.5754, 1820.913
384.0575, 1816.703
384.5396, 1812.811
385.0217, 1809.128
385.5038, 1804.783
385.9860, 1799.688
386.4681, 1794.013
386.9502, 1787.168
387.4323, 1779.694
387.9144, 1773.478
388.3965, 1769.723
388.8787, 1767.345
389.3608, 1763.356
389.8429, 1756.661
390.3250, 1750.899
390.8071, 1747.625
391.2892, 1745.318
391.7714, 1742.164
392.2535, 1737.758
392.7356, 1732.783
393.2177, 1728.070
393.6998, 1723.743
394.1819, 1718.924
394.6641, 1712.512
395.1462, 1706.602
395.6283, 1703.094
396.1104, 1701.239
396.5925, 1698.695
397.0746, 1693.832
397.5568, 1687.153
398.0389, 1681.267
398.5210, 1676.718
399.0031, 1672.401
399.4852, 1668.753
399.9673, 1665.024
400.4495, 1660.301
400.9316, 1654.337
401.4137, 1647.654
401.8958, 1640.963
402.3779, 1634.062
402.8600, 1627.746
403.3422, 1621.526
403.8243, 1616.181
404.3064, 1613.018
404.7885, 1611.226
405.2706, 1608.471
405.7527, 1602.801
406.2349, 1594.623
406.7170, 1587.494
407.1991, 1582.559
407.6812, 1577.096
408.1633, 1569.817
408.6454, 1562.014
409.1276, 1555.095
409.6097, 1549.590
410.0918, 1545.007
410.5739, 1540.849
411.0560, 1537.358
411.5381, 1533.097
412.0203, 1526.875
412.5024, 1520.656
412.9845, 1515.551
413.4666, 1511.535
413.9487, 1507.999
414.4308, 1504.953
414.9130, 1502.119
415.3951, 1498.294
415.8772, 1493.076
416.3593, 1487.852
416.8414, 1482.656
417.3235, 1478.104
417.8057, 1475.485
418.2878, 1475.984
418.7699, 1476.703
419.2520, 1474.246
419.7341, 1469.004
420.2162, 1464.990
420.6984, 1464.130
421.1805, 1464.053
421.6626, 1461.420
422.1447, 1456.208
422.6268, 1451.609
423.1089, 1449.049
423.5911, 1447.634
424.0732, 1446.264
424.5553, 1444.828
425.0374, 1443.312
425.5195, 1441.774
426.0016, 1440.144
426.4838, 1438.118
426.9659, 1434.086
427.4480, 1431.353
427.9301, 1433.072
428.4122, 1437.071
428.8943, 1438.475
429.3765, 1435.298
429.8586, 1429.863
430.3407, 1426.102
430.8228, 1424.437
431.3049, 1423.889
431.7870, 1425.507
432.2692, 1427.468
432.7513, 1428.453
433.2334, 1428.445
433.7155, 1428.194
434.1976, 1428.330
434.6797, 1428.791
435.1619, 1428.694
435.6440, 1426.915
436.1261, 1425.866
436.6082, 1426.217
437.0903, 1427.376
437.5724, 1428.615
438.0546, 1429.683
438.5367, 1430.889
439.0188, 1432.970
439.5009, 1436.599
439.9830, 1438.878
440.4651, 1438.395
440.9473, 1437.744
441.4294, 1437.592
441.9115, 1438.234
442.3936, 1440.240
442.8757, 1444.568
443.3578, 1450.179
443.8400, 1453.060
444.3221, 1451.827
444.8042, 1451.373
445.2863, 1454.441
445.7684, 1458.583
446.2505, 1461.363
446.7327, 1462.198
447.2148, 1463.108
447.6969, 1466.223
448.1790, 1471.092
448.6611, 1475.171
449.1432, 1477.830
449.6254, 1480.101
450.1075, 1482.778
450.5896, 1485.771
451.0717, 1488.889
451.5538, 1492.621
452.0359, 1496.058
452.5181, 1497.898
453.0002, 1498.398
453.4823, 1499.369
453.9644, 1501.703
454.4465, 1504.908
454.9286, 1507.892
455.4108, 1510.481
455.8929, 1513.344
456.3750, 1516.588
456.8571, 1520.199
457.3392, 1524.279
457.8214, 1528.800
458.3035, 1533.501
458.7856, 1538.196
459.2677, 1542.891
459.7498, 1547.532
460.2319, 1552.373
460.7141, 1556.889
461.1962, 1560.311
461.6783, 1563.522
462.1604, 1568.092
462.6425, 1574.559
463.1246, 1581.431
463.6068, 1585.878
464.0889, 1586.216
464.5710, 1588.563
465.0531, 1594.240
465.5352, 1600.556
466.0173, 1606.577
466.4995, 1612.198
466.9816, 1617.449
467.4637, 1622.171
467.9458, 1626.763
468.4279, 1632.746
468.9100, 1640.922
469.3922, 1648.462
469.8743, 1653.946
470.3564, 1658.858
470.8385, 1663.977
471.3206, 1669.459
471.8027, 1676.095
472.2849, 1685.142
472.7670, 1695.956
473.2491, 1705.764
473.7312, 1713.900
474.2133, 1722.217
474.6954, 1732.160
475.1776, 1743.301
475.6597, 1754.672
476.1418, 1766.382
476.6239, 1777.885
477.1060, 1788.207
477.5881, 1797.901
478.0703, 1808.816
478.5524, 1821.448
479.0345, 1835.640
479.5166, 1851.351
479.9987, 1869.096
480.4808, 1886.264
480.9630, 1902.196
481.4451, 1917.916
481.9272, 1933.488
482.4093, 1949.329
482.8914, 1966.471
483.3735, 1985.683
483.8557, 2006.508
484.3378, 2027.391
484.8199, 2046.962
485.3020, 2068.651
485.7841, 2093.710
486.2662, 2120.095
486.7484, 2146.227
487.2305, 2172.017
487.7126, 2198.202
488.1947, 2225.797
488.6768, 2254.726
489.1589, 2283.588
489.6411, 2311.431
490.1232, 2340.937
490.6053, 2373.720
491.0874, 2408.077
491.5695, 2441.818
492.0516, 2474.225
492.5338, 2506.941
493.0159, 2541.840
493.4980, 2578.754
493.9801, 2614.607
494.4622, 2648.037
494.9443, 2682.086
495.4265, 2719.782
495.9086, 2760.104
496.3907, 2799.894
496.8728, 2837.645
497.3549, 2875.356
497.8370, 2915.383
498.3192, 2956.801
498.8013, 2995.892
499.2834, 3030.714
499.7655, 3063.754
500.2476, 3099.635
500.7297, 3139.825
501.2119, 3177.551
501.6940, 3211.554
502.1761, 3243.628
502.6582, 3274.869
503.1403, 3305.360
503.6224, 3335.362
504.1045, 3365.107
504.5866, 3394.284
505.0688, 3422.069
505.5509, 3450.240
506.0330, 3474.010
506.5151, 3491.300
506.9972, 3506.012
507.4793, 3521.261
507.9615, 3537.059
508.4436, 3551.290
508.9257, 3562.522
509.4078, 3570.714
509.8899, 3575.211
510.3720, 3575.877
510.8542, 3573.083
511.3363, 3565.338
511.8184, 3555.118
512.3005, 3545.808
512.7827, 3538.431
513.2648, 3526.769
513.7469, 3504.148
514.2290, 3473.574
514.7111, 3444.609
515.1932, 3419.551
515.6754, 3390.388
516.1575, 3349.948
516.6396, 3299.727
517.1217, 3249.235
517.6038, 3201.324
518.0859, 3150.413
518.5681, 3092.067
519.0502, 3029.547
519.5323, 2968.772
520.0144, 2911.123
520.4965, 2853.719
520.9786, 2792.625
521.4608, 2726.703
521.9429, 2663.609
522.4250, 2604.485
522.9071, 2545.687
523.3892, 2484.519
523.8713, 2423.395
524.3535, 2366.070
524.8356, 2314.427
525.3177, 2266.616
525.7998, 2220.850
526.2819, 2177.510
526.7640, 2134.534
527.2462, 2090.279
527.7283, 2048.413
528.2104, 2010.251
528.6925, 1975.815
529.1746, 1945.058
529.6567, 1918.918
530.1389, 1894.942
530.6210, 1869.708
531.1031, 1843.397
531.5852, 1819.219
532.0673, 1798.437
532.5494, 1779.658
533.0316, 1760.802
533.5137, 1741.973
533.9958, 1725.314
534.4779, 1712.252
534.9600, 1700.728
535.4421, 1689.549
535.9243, 1678.495
536.4064, 1666.383
536.8885, 1652.401
537.3706, 1638.672
537.8527, 1630.094
538.3348, 1630.961
538.8170, 1628.287
539.2991, 1618.126
539.7812, 1608.262
540.2633, 1604.001
540.7454, 1603.926
541.2275, 1603.099
541.7097, 1598.350
542.1918, 1591.479
542.6739, 1587.432
543.1560, 1587.265
543.6381, 1586.478
544.1202, 1583.090
544.6024, 1579.750
545.0845, 1578.644
545.5666, 1579.358
546.0487, 1579.349
546.5308, 1576.045
547.0129, 1571.842
547.4951, 1570.770
547.9772, 1572.760
548.4593, 1575.328
548.9414, 1577.768
549.4235, 1579.849
549.9056, 1580.764
550.3878, 1580.144
550.8699, 1580.625
551.3520, 1584.132
551.8341, 1587.822
552.3162, 1588.624
552.7983, 1587.279
553.2805, 1587.379
553.7626, 1591.264
554.2447, 1596.992
554.7268, 1598.745
555.2089, 1593.131
555.6910, 1589.509
556.1732, 1589.576
556.6553, 1590.187
557.1374, 1589.512
557.6195, 1587.625
558.1016, 1585.455
558.5837, 1583.540
559.0659, 1581.769
559.5480, 1580.007
560.0301, 1578.360
560.5122, 1576.114
560.9943, 1573.065
561.4764, 1569.304
561.9586, 1564.879
562.4407, 1559.832
562.9228, 1554.676
563.4049, 1549.364
563.8870, 1544.200
564.3691, 1539.806
564.8513, 1535.995
565.3334, 1531.739
565.8155, 1526.545
566.2976, 1520.755
566.7797, 1514.871
567.2618, 1508.414
567.7440, 1503.162
568.2261, 1500.477
568.7082, 1497.773
569.1903, 1493.850
569.6724, 1488.653
570.1545, 1481.875
570.6367, 1473.223
571.1188, 1464.393
571.6009, 1459.513
572.0830, 1459.828
572.5651, 1459.147
573.0472, 1456.003
573.5294, 1452.485
574.0115, 1449.845
574.4936, 1447.742
574.9757, 1445.136
575.4578, 1441.327
575.9399, 1437.202
576.4221, 1433.495
576.9042, 1430.289
577.3863, 1428.301
577.8684, 1428.130
578.3505, 1428.078
578.8326, 1425.898
579.3148, 1421.379
579.7969, 1418.125
580.2790, 1417.232
580.7611, 1416.600
581.2432, 1415.199
581.7253, 1413.378
582.2075, 1411.692
582.6896, 1410.363
583.1717, 1409.406
583.6538, 1408.963
584.1359, 1409.188
584.6180, 1408.817
585.1002, 1407.322
585.5823, 1405.823
586.0643, 1403.836
586.5464, 1402.372
587.0286, 1403.313
587.5107, 1407.394
587.9928, 1411.240
588.4749, 1411.308
588.9570, 1408.393
589.4391, 1405.410
589.9213, 1402.504
590.4034, 1400.188
590.8855, 1398.853
591.3676, 1398.400
591.8497, 1398.298
592.3318, 1398.857
592.8140, 1399.241
593.2961, 1399.704
593.7782, 1399.580
594.2603, 1397.754
594.7424, 1394.366
595.2245, 1390.705
595.7067, 1387.717
596.1888, 1385.485
596.6709, 1384.528
597.1530, 1385.543
597.6351, 1386.682
598.1172, 1388.680
598.5994, 1389.959
599.0815, 1389.135
599.5636, 1386.375
600.0457, 1382.954
600.5278, 1378.826
601.0099, 1375.143
601.4921, 1375.149
601.9742, 1378.916
602.4563, 1380.222
602.9384, 1375.757
603.4205, 1369.458
603.9026, 1367.589
604.3848, 1370.324
604.8669, 1370.714
605.3490, 1365.841
605.8311, 1360.177
606.3132, 1356.429
606.7953, 1354.136
607.2775, 1352.179
607.7596, 1350.103
608.2417, 1347.507
608.7238, 1343.614
609.2059, 1337.968
609.6880, 1333.312
610.1702, 1330.759
610.6523, 1327.955
611.1344, 1323.964
611.6165, 1319.350
612.0986, 1315.017
612.5807, 1311.255
613.0629, 1307.328
613.5450, 1302.333
614.0271, 1296.647
614.5092, 1291.602
614.9913, 1287.456
615.4734, 1282.916
615.9556, 1276.725
616.4377, 1269.603
616.9198, 1264.022
617.4019, 1260.593
617.8840, 1257.311
618.3661, 1254.669
618.8483, 1251.354
619.3304, 1245.491
619.8125, 1237.652
620.2946, 1230.262
620.7767, 1224.903
621.2589, 1221.161
621.7410, 1218.119
622.2231, 1216.278
622.7052, 1213.656
623.1873, 1209.820
623.6694, 1205.240
624.1516, 1199.990
624.6337, 1194.224
625.1158, 1188.350
625.5979, 1182.651
626.0800, 1176.765
626.5621, 1170.059
627.0443, 1162.860
627.5264, 1156.539
628.0085, 1151.468
628.4906, 1146.690
628.9727, 1140.961
629.4548, 1134.297
629.9370, 1129.607
630.4191, 1129.639
630.9012, 1127.893
631.3833, 1121.966
631.8654, 1114.104
632.3475, 1105.792
632.8297, 1097.801
633.3118, 1091.590
633.7939, 1089.162
634.2760, 1089.230
634.7581, 1086.110
635.2402, 1078.771
635.7224, 1072.345
636.2045, 1069.228
636.6866, 1067.028
637.1687, 1063.227
637.6508, 1057.903
638.1329, 1052.573
638.6151, 1047.867
639.0972, 1043.190
639.5793, 1037.590
640.0614, 1031.654
640.5435, 1026.991
641.0256, 1024.195
641.5078, 1022.370
641.9899, 1020.589
642.4720, 1019.100
642.9541, 1015.592
643.4362, 1007.299
643.9183, 1000.178
644.4005, 996.2380
644.8826, 993.7910
645.3647, 991.2826
645.8468, 988.3021
646.3289, 984.5336
646.8110, 978.7846
647.2932, 972.2673
647.7753, 968.6155
648.2574, 968.0593
648.7395, 966.6931
649.2216, 962.4665
649.7037, 956.8915
650.1859, 952.6995
650.6680, 950.1788
651.1501, 947.5467
651.6322, 944.0870
652.1143, 941.0263
652.5964, 939.8151
653.0786, 939.3578
653.5607, 937.5982
654.0428, 933.7830
654.5249, 928.8309
655.0070, 923.5309
655.4891, 917.8047
655.9713, 914.1972
656.4534, 914.1674
656.9355, 913.4273
657.4176, 909.0372
657.8997, 903.2297
658.3818, 898.3062
658.8640, 894.4353
659.3461, 891.8621
659.8282, 891.7732
660.3103, 892.3324
660.7924, 891.8649
661.2745, 890.1611
661.7567, 886.7065
662.2388, 881.0751
662.7209, 874.7466
663.2030, 870.5496
663.6851, 869.0507
664.1672, 867.7885
664.6494, 867.7385
665.1315, 866.8452
665.6136, 864.0182
666.0957, 860.0744
666.5778, 855.8578
667.0599, 851.5378
667.5421, 848.1621
668.0242, 847.5074
668.5063, 848.3074
668.9884, 847.1379
669.4705, 843.7553
