##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
199.1095, 636.9190
199.5916, 638.4187
200.0737, 639.2644
200.5559, 639.6674
201.0380, 638.2460
201.5201, 633.7684
202.0022, 625.9814
202.4843, 618.4389
202.9664, 611.5472
203.4486, 604.8204
203.9307, 596.8649
204.4128, 587.4269
204.8949, 578.1273
205.3770, 569.6417
205.8591, 561.8799
206.3413, 555.5892
206.8234, 550.9816
207.3055, 547.7133
207.7876, 544.8924
208.2697, 542.4268
208.7519, 540.7020
209.2340, 540.2393
209.7161, 541.4646
210.1982, 541.5620
210.6803, 539.7186
211.1624, 537.0286
211.6446, 536.8242
212.1267, 540.0513
212.6088, 543.4628
213.0909, 545.1456
213.5730, 544.3996
214.0551, 544.7184
214.5373, 546.5424
215.0194, 549.4358
215.5015, 552.0984
215.9836, 554.1799
216.4657, 556.7946
216.9478, 560.6973
217.4300, 566.3439
217.9121, 571.8450
218.3942, 577.1172
218.8763, 582.1437
219.3584, 586.7769
219.8405, 590.7750
220.3227, 594.7289
220.8048, 598.9387
221.2869, 603.5610
221.7690, 608.0342
222.2511, 612.2386
222.7333, 616.2957
223.2154, 620.3634
223.6975, 624.2897
224.1796, 628.5802
224.6617, 633.3606
225.1438, 638.2352
225.6260, 644.6537
226.1081, 652.7635
226.5902, 662.4218
227.0723, 673.0618
227.5544, 685.3405
228.0365, 697.7829
228.5187, 709.5780
229.0008, 719.9484
229.4829, 731.5402
229.9650, 744.7488
230.4471, 759.1582
230.9292, 773.8446
231.4114, 789.2177
231.8935, 804.5059
232.3756, 819.0728
232.8577, 832.5496
233.3398, 846.9339
233.8220, 863.7111
234.3041, 880.9396
234.7862, 893.5179
235.2683, 900.9451
235.7504, 904.5201
236.2325, 904.7278
236.7147, 901.4680
237.1968, 894.9467
237.6789, 883.7999
238.1610, 869.9896
238.6431, 857.6864
239.1252, 846.6453
239.6074, 837.3108
240.0895, 829.4673
240.5716, 822.1305
241.0537, 819.6807
241.5358, 824.5508
242.0179, 833.1292
242.5001, 837.9302
242.9822, 835.6833
243.4643, 834.9569
243.9464, 839.3716
244.4285, 851.2948
244.9106, 860.6163
245.3928, 867.3426
245.8749, 871.4982
246.3570, 872.8979
246.8391, 870.3851
247.3212, 867.0982
247.8034, 864.5353
248.2855, 863.7761
248.7676, 858.9820
249.2497, 849.1080
249.7318, 835.9820
250.2139, 822.3635
250.6961, 808.6956
251.1782, 793.6781
251.6603, 776.4114
252.1424, 756.2334
252.6245, 737.3943
253.1066, 719.6649
253.5888, 703.3360
254.0709, 688.4843
254.5530, 675.0113
255.0351, 663.2051
255.5172, 653.6516
255.9993, 646.5668
256.4815, 638.7326
256.9636, 629.6579
257.4457, 620.4540
257.9278, 612.2010
258.4099, 604.7283
258.8921, 598.5941
259.3742, 594.1335
259.8563, 591.4090
260.3384, 588.5867
260.8205, 585.6869
261.3026, 582.7051
261.7848, 579.4713
262.2669, 575.6943
262.7490, 572.5658
263.2311, 570.4606
263.7132, 569.3117
264.1953, 568.3187
264.6775, 567.6922
265.1596, 566.8847
265.6417, 565.2250
266.1238, 562.2894
266.6059, 560.0201
267.0880, 558.9670
267.5702, 558.9088
268.0523, 558.3851
268.5344, 557.2629
269.0165, 555.9339
269.4986, 554.3948
269.9807, 552.2708
270.4629, 551.7708
270.9450, 553.9567
271.4271, 557.7934
271.9092, 558.5709
272.3913, 555.2180
272.8734, 551.8405
273.3556, 551.4174
273.8377, 554.4100
274.3198, 557.1896
274.8019, 559.4699
275.2840, 561.3162
275.7661, 563.0067
276.2483, 564.6154
276.7304, 565.7455
277.2125, 565.6702
277.6946, 564.2089
278.1768, 564.4033
278.6589, 566.8687
279.1410, 570.5090
279.6231, 573.1010
280.1052, 574.5607
280.5873, 575.7334
281.0695, 576.9689
281.5516, 578.2745
282.0337, 579.6086
282.5158, 580.9106
282.9979, 582.3715
283.4800, 584.3199
283.9622, 586.7631
284.4443, 589.4452
284.9264, 592.7868
285.4085, 596.5217
285.8906, 598.2442
286.3727, 597.5995
286.8549, 596.1882
287.3370, 596.3073
287.8191, 597.8562
288.3012, 598.7868
288.7833, 597.9983
289.2654, 596.0157
289.7476, 594.8961
290.2297, 594.7553
290.7118, 594.6102
291.1939, 593.4258
291.6760, 591.3196
292.1581, 588.8586
292.6403, 585.9828
293.1224, 583.0120
293.6045, 580.7014
294.0866, 579.0776
294.5687, 577.5830
295.0508, 575.5626
295.5330, 573.2364
296.0151, 571.4189
296.4972, 570.3563
296.9793, 569.7932
297.4614, 569.4018
297.9435, 569.1680
298.4257, 569.0201
298.9078, 568.9690
299.3899, 568.9609
299.8720, 568.8499
300.3541, 568.5428
300.8362, 568.2703
301.3184, 568.1260
301.8005, 568.1936
302.2826, 568.8190
302.7647, 570.6700
303.2469, 573.0607
303.7290, 575.0074
304.2111, 576.3171
304.6932, 577.3948
305.1753, 578.1588
305.6574, 578.9296
306.1396, 580.4451
306.6217, 583.7408
307.1038, 587.6341
307.5859, 590.7740
308.0680, 593.0213
