##NAMES=Arseniosiderite
##RRUFFID=R150061
##IDEAL CHEMISTRY=Ca_2_Fe^3+^_3_O_2_(As^5+^O_4_)_3_&#183;3H_2_O
##LOCALITY=Las Animas mine, La Mur, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Dark red platy crystals, associated with bright red granular or prismatic sewardite (R060720)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150061
294.1206, 887.8612
294.6028, 886.0693
295.0849, 887.8328
295.5670, 891.6441
296.0491, 891.6113
296.5312, 883.0452
297.0133, 871.8290
297.4955, 870.1854
297.9776, 877.8102
298.4597, 885.5781
298.9418, 884.3150
299.4239, 877.4686
299.9060, 873.2169
300.3882, 875.4962
300.8703, 879.5364
301.3524, 877.9964
301.8345, 871.5116
302.3166, 865.2593
302.7987, 861.8400
303.2809, 861.2629
303.7630, 864.2527
304.2451, 873.6100
304.7272, 882.4988
305.2093, 881.1545
305.6914, 871.8173
306.1736, 864.8219
306.6557, 871.5971
307.1378, 882.3845
307.6199, 884.0890
308.1020, 869.9067
308.5841, 855.2943
309.0663, 853.4877
309.5484, 861.4430
310.0305, 870.3817
310.5126, 879.1989
310.9947, 885.0931
311.4768, 884.4828
311.9590, 874.8414
312.4411, 864.7031
312.9232, 858.0049
313.4053, 854.5927
313.8874, 854.2138
314.3695, 860.8060
314.8517, 867.5377
315.3337, 870.0699
315.8159, 867.5111
316.2980, 862.3961
316.7801, 850.3148
317.2622, 837.3119
317.7443, 832.4911
318.2264, 848.7752
318.7086, 865.9052
319.1907, 874.3316
319.6728, 872.1632
320.1549, 868.8696
320.6370, 866.3283
321.1191, 864.3958
321.6013, 862.9012
322.0834, 862.1749
322.5655, 861.5204
323.0476, 860.5880
323.5297, 859.3009
324.0118, 858.5124
324.4940, 859.1964
324.9761, 859.9922
325.4582, 859.7642
325.9403, 856.6485
326.4224, 854.3520
326.9045, 853.4673
327.3867, 853.9806
327.8688, 855.1804
328.3509, 858.4853
328.8330, 861.5013
329.3151, 862.8423
329.7972, 863.0561
330.2794, 860.6393
330.7615, 851.7631
331.2436, 838.9935
331.7257, 837.0585
332.2078, 856.4023
332.6899, 874.7237
333.1721, 879.6533
333.6542, 863.6119
334.1363, 849.7582
334.6184, 837.6432
335.1005, 828.4317
335.5826, 825.1730
336.0648, 829.0600
336.5469, 836.6412
337.0290, 848.4628
337.5111, 868.0990
337.9932, 876.3697
338.4753, 868.6152
338.9575, 854.6168
339.4396, 852.3833
339.9217, 864.7794
340.4038, 877.0843
340.8859, 883.8878
341.3680, 885.1473
341.8502, 884.2698
342.3323, 880.2667
342.8144, 876.8045
343.2965, 879.9371
343.7786, 889.8655
344.2607, 897.9819
344.7429, 900.5014
345.2250, 899.1152
345.7071, 901.4458
346.1892, 907.9827
346.6713, 914.7929
347.1534, 916.8044
347.6355, 915.2791
348.1176, 917.2369
348.5998, 926.2838
349.0819, 938.2083
349.5640, 944.6453
350.0461, 945.8824
350.5282, 946.0711
351.0103, 948.8605
351.4925, 952.8252
351.9746, 954.6185
352.4567, 952.3469
352.9388, 949.9830
353.4209, 953.9522
353.9030, 962.3778
354.3852, 968.2443
354.8673, 962.7103
355.3494, 954.4362
355.8315, 954.2604
356.3136, 965.2477
356.7957, 978.0392
357.2779, 984.7520
357.7600, 988.2108
358.2421, 993.8138
358.7242, 1006.870
359.2063, 1020.912
359.6884, 1031.629
360.1706, 1038.512
360.6527, 1043.928
361.1348, 1046.866
361.6169, 1049.638
362.0990, 1054.916
362.5811, 1064.725
363.0633, 1076.039
363.5454, 1088.376
364.0275, 1101.624
364.5096, 1114.145
364.9917, 1125.450
365.4738, 1135.913
365.9560, 1145.847
366.4381, 1154.517
366.9202, 1163.432
367.4023, 1171.427
367.8844, 1179.344
368.3665, 1191.438
368.8487, 1212.317
369.3308, 1234.027
369.8129, 1253.046
370.2950, 1267.852
370.7771, 1282.437
371.2592, 1295.845
371.7414, 1309.247
372.2235, 1325.448
372.7056, 1345.225
373.1877, 1366.759
373.6698, 1391.053
374.1519, 1420.095
374.6341, 1438.298
375.1162, 1440.935
375.5983, 1438.403
376.0804, 1444.701
376.5625, 1462.234
377.0446, 1478.350
377.5267, 1489.347
378.0089, 1495.898
378.4910, 1502.410
378.9731, 1508.941
379.4552, 1515.248
379.9373, 1521.586
380.4194, 1527.953
380.9016, 1531.854
381.3837, 1532.095
381.8658, 1530.560
382.3479, 1530.847
382.8300, 1532.976
383.3121, 1537.207
383.7943, 1547.187
384.2764, 1559.403
384.7585, 1562.847
385.2406, 1553.989
385.7227, 1543.330
386.2048, 1547.687
386.6870, 1561.647
387.1691, 1569.191
387.6512, 1557.466
388.1333, 1537.038
388.6154, 1519.555
