##NAMES=Epidote
##RRUFFID=R070205
##IDEAL CHEMISTRY=Ca_2_Fe^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Jebel Shacro, Morocco
##OWNER=RRUFF
##SOURCE=Renato and Adriana Pagano
##DESCRIPTION=Red-purple prismatic crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070205
##MEASURED CHEMISTRY=(Ca_1.96_Mn^2+^_0.04_)_Σ=2_(Fe^3+^_0.72_Al_0.22_Mn^3+^_0.06_)_Σ=1_Al_2.00_(Si_2.00_O_7_)(Si_1.00_O_4_)O(OH); OH assumed by stoichiometry, Mn2+ and  Mn3+ splitted by charge balance
305.9054, 975.4896
306.3875, 976.0542
306.8696, 979.1082
307.3517, 984.7731
307.8338, 994.8375
308.3159, 1014.481
308.7981, 1039.357
309.2802, 1061.072
309.7623, 1073.090
310.2444, 1082.067
310.7265, 1093.892
311.2086, 1109.601
311.6908, 1123.288
312.1729, 1130.590
312.6550, 1133.915
313.1371, 1136.592
313.6192, 1141.696
314.1013, 1145.113
314.5835, 1143.738
315.0656, 1137.105
315.5477, 1130.595
316.0298, 1126.660
316.5119, 1124.057
316.9940, 1121.406
317.4762, 1120.029
317.9583, 1116.972
318.4404, 1109.062
318.9225, 1096.374
319.4046, 1087.970
319.8867, 1088.355
320.3689, 1093.256
320.8510, 1099.123
321.3331, 1109.126
321.8152, 1115.972
322.2973, 1114.387
322.7794, 1105.661
323.2616, 1104.309
323.7437, 1120.618
324.2258, 1140.011
324.7079, 1153.423
325.1900, 1157.693
325.6721, 1158.509
326.1543, 1153.706
326.6364, 1144.764
327.1185, 1139.974
327.6006, 1144.534
328.0827, 1149.179
328.5648, 1149.825
329.0470, 1146.451
329.5291, 1138.824
330.0112, 1123.860
330.4933, 1104.752
330.9754, 1091.174
331.4576, 1088.105
331.9397, 1084.312
332.4218, 1074.174
332.9039, 1051.874
333.3860, 1038.558
333.8681, 1038.429
334.3503, 1045.059
334.8324, 1045.948
335.3145, 1038.349
335.7966, 1030.967
336.2787, 1026.797
336.7608, 1026.145
337.2430, 1027.068
337.7251, 1030.319
338.2072, 1034.023
338.6893, 1034.659
339.1714, 1031.023
339.6535, 1029.908
340.1357, 1031.888
340.6178, 1037.461
341.0999, 1055.138
341.5820, 1088.000
342.0641, 1123.966
342.5462, 1150.890
343.0284, 1168.571
343.5105, 1185.386
343.9926, 1203.142
344.4747, 1221.632
344.9568, 1238.734
345.4389, 1254.189
345.9211, 1271.705
346.4032, 1296.368
346.8853, 1326.631
347.3674, 1354.076
347.8495, 1376.247
348.3316, 1395.637
348.8138, 1418.198
349.2959, 1443.186
349.7780, 1462.380
350.2601, 1466.844
350.7422, 1462.337
351.2243, 1461.015
351.7065, 1466.112
352.1886, 1471.350
352.6707, 1470.085
353.1528, 1463.178
353.6349, 1453.592
354.1170, 1442.564
354.5992, 1429.732
355.0813, 1414.214
355.5634, 1395.577
356.0455, 1376.239
356.5276, 1358.864
357.0097, 1341.824
357.4919, 1322.675
357.9740, 1294.694
358.4561, 1268.061
358.9382, 1252.138
359.4203, 1247.905
359.9024, 1239.544
360.3846, 1212.720
360.8667, 1180.529
361.3488, 1156.661
361.8309, 1156.857
362.3130, 1155.182
362.7951, 1139.075
363.2773, 1110.103
363.7594, 1087.658
364.2415, 1085.041
364.7236, 1085.727
365.2057, 1078.980
365.6878, 1054.433
366.1700, 1032.565
366.6521, 1017.758
367.1342, 1007.970
367.6163, 994.7948
368.0984, 972.4857
368.5805, 951.3994
369.0627, 936.2191
369.5448, 933.2888
370.0269, 923.8887
370.5090, 904.0135
370.9911, 879.1071
371.4732, 860.0465
371.9554, 850.9300
372.4375, 841.0887
372.9196, 825.8976
373.4017, 803.4108
373.8838, 788.3870
374.3659, 783.5529
374.8481, 782.1179
375.3302, 774.7690
375.8123, 759.1446
376.2944, 747.6590
376.7765, 745.1116
377.2586, 749.8172
377.7408, 748.1315
378.2229, 738.8679
378.7050, 728.1736
379.1871, 721.0300
379.6692, 717.4022
380.1513, 715.4987
380.6335, 715.5118
381.1156, 716.4895
381.5977, 715.9830
382.0798, 714.0797
382.5619, 712.9293
383.0440, 714.4367
383.5262, 717.8017
384.0083, 720.8303
384.4904, 723.2336
384.9725, 725.4747
385.4546, 729.0132
385.9367, 733.0541
386.4189, 735.1152
386.9010, 731.6819
387.3831, 726.6963
387.8652, 724.9426
388.3473, 726.7964
388.8294, 729.7940
389.3116, 733.3635
389.7937, 736.6068
390.2758, 738.3063
390.7579, 738.5689
391.2400, 736.6337
391.7221, 731.1689
392.2043, 722.5818
392.6864, 713.9727
393.1685, 706.5548
393.6506, 699.8081
394.1327, 693.1934
394.6148, 685.4479
395.0970, 679.3629
395.5791, 677.9656
396.0612, 679.0411
396.5433, 676.1636
397.0254, 663.5594
397.5075, 650.6757
397.9897, 641.3219
398.4718, 637.2588
398.9539, 633.1597
399.4360, 627.2917
399.9181, 622.0172
400.4002, 620.9869
400.8824, 627.9140
401.3645, 633.6304
401.8466, 635.9736
402.3287, 634.8890
402.8108, 631.7427
403.2929, 624.4512
403.7751, 618.2755
404.2572, 618.8093
404.7393, 627.8506
405.2214, 635.4131
405.7035, 638.8801
406.1856, 640.2603
406.6678, 646.9520
407.1499, 659.7570
407.6320, 672.5303
408.1141, 680.4009
408.5962, 684.0633
409.0783, 690.2216
409.5605, 699.8059
410.0426, 710.7571
410.5247, 719.0587
411.0068, 725.4495
411.4889, 734.5296
411.9710, 750.1425
412.4532, 769.3836
412.9353, 787.0372
413.4174, 802.8476
413.8995, 819.5026
414.3816, 841.7194
414.8637, 865.9412
415.3459, 886.4495
415.8280, 897.1749
416.3101, 907.7926
416.7922, 926.8632
417.2743, 952.7040
417.7564, 979.2252
418.2386, 1002.942
418.7207, 1026.112
419.2028, 1049.619
419.6849, 1072.496
420.1670, 1098.766
420.6491, 1133.894
421.1313, 1173.025
421.6134, 1207.575
422.0955, 1230.145
422.5776, 1252.823
423.0597, 1280.821
423.5418, 1315.918
424.0240, 1347.038
424.5061, 1372.771
424.9882, 1394.736
425.4703, 1414.359
425.9524, 1432.634
426.4345, 1446.504
426.9167, 1452.161
427.3988, 1452.325
427.8809, 1463.513
428.3630, 1489.665
428.8451, 1519.077
429.3272, 1544.610
429.8094, 1565.827
430.2915, 1586.083
430.7736, 1603.799
431.2557, 1623.315
431.7378, 1654.312
432.2199, 1697.270
432.7021, 1738.152
433.1842, 1769.616
433.6663, 1794.163
434.1484, 1823.645
434.6305, 1858.413
435.1126, 1891.151
435.5948, 1913.087
436.0769, 1927.028
436.5590, 1940.926
437.0411, 1959.143
437.5232, 1974.967
438.0053, 1981.135
438.4875, 1978.274
438.9696, 1968.919
439.4517, 1947.262
439.9338, 1923.791
440.4159, 1908.133
440.8980, 1902.430
441.3802, 1902.244
441.8623, 1908.492
442.3444, 1918.071
442.8265, 1926.555
443.3086, 1931.937
443.7907, 1936.587
444.2729, 1938.280
444.7550, 1936.997
445.2371, 1945.654
445.7192, 1970.338
446.2013, 2002.847
446.6834, 2038.319
447.1656, 2081.534
447.6477, 2120.002
448.1298, 2152.662
448.6119, 2180.614
449.0940, 2204.655
449.5761, 2220.539
450.0583, 2241.540
450.5404, 2276.788
451.0225, 2329.627
451.5046, 2361.697
451.9867, 2367.558
452.4688, 2363.530
452.9510, 2368.979
453.4331, 2384.048
453.9152, 2397.648
454.3973, 2407.077
454.8794, 2413.043
455.3615, 2418.458
455.8437, 2423.180
456.3258, 2421.953
456.8079, 2411.561
457.2900, 2392.535
457.7721, 2364.179
458.2542, 2325.343
458.7364, 2282.346
459.2185, 2244.325
459.7006, 2206.967
460.1827, 2162.232
460.6648, 2098.247
461.1469, 2031.163
461.6291, 1972.721
462.1112, 1922.344
462.5933, 1871.252
463.0754, 1816.230
463.5575, 1758.264
464.0396, 1698.393
464.5218, 1630.535
465.0039, 1569.159
465.4860, 1520.575
465.9681, 1480.582
466.4502, 1438.487
466.9323, 1390.280
467.4145, 1342.592
467.8966, 1296.217
468.3787, 1250.056
468.8608, 1211.834
469.3429, 1185.333
469.8250, 1162.516
470.3072, 1134.841
470.7893, 1100.578
471.2714, 1068.006
471.7535, 1038.057
472.2356, 1010.958
472.7177, 988.8577
473.1999, 972.1974
473.6820, 957.9840
474.1641, 944.8477
474.6462, 932.7526
475.1284, 921.1135
475.6105, 909.6007
476.0926, 900.0627
476.5747, 896.9220
477.0568, 897.6794
477.5389, 895.8532
478.0211, 885.2748
478.5032, 873.7980
478.9853, 871.8085
479.4674, 877.5323
479.9495, 879.6462
480.4316, 868.7432
480.9138, 853.2861
481.3959, 838.7692
481.8780, 823.3051
482.3601, 816.0516
482.8422, 828.5659
483.3243, 849.4477
483.8065, 861.0199
484.2886, 850.5135
484.7707, 840.0261
485.2528, 835.5424
485.7349, 837.1216
486.2170, 837.8154
486.6992, 836.1478
487.1813, 835.1666
487.6634, 836.7723
488.1455, 841.2082
488.6276, 847.9330
489.1097, 857.8409
489.5919, 869.0928
490.0740, 876.9809
490.5561, 880.9580
491.0382, 886.8190
491.5203, 898.2778
492.0024, 913.6951
492.4846, 924.6605
492.9667, 930.9366
493.4488, 936.4764
493.9309, 945.2500
494.4130, 955.9512
494.8951, 965.2018
495.3773, 972.1147
495.8594, 977.9030
496.3415, 983.3900
496.8236, 988.7148
497.3057, 994.2083
497.7878, 1002.638
498.2700, 1009.371
498.7521, 1009.733
499.2342, 1002.941
499.7163, 998.9432
500.1984, 1006.078
500.6805, 1014.992
501.1627, 1018.191
501.6448, 1005.435
502.1269, 997.7089
502.6090, 1001.755
503.0911, 1012.108
503.5732, 1014.093
504.0554, 1003.211
504.5375, 990.7106
505.0196, 979.6722
505.5017, 969.9335
505.9838, 964.3783
506.4659, 964.3925
506.9481, 965.4130
507.4302, 962.9846
507.9123, 957.0746
508.3944, 949.7048
508.8765, 940.8500
509.3586, 931.2960
509.8408, 923.9891
510.3229, 918.1442
510.8050, 908.0426
511.2871, 886.1144
511.7692, 859.5632
512.2513, 840.0881
512.7335, 828.2549
513.2156, 817.1936
513.6977, 802.9034
514.1798, 786.3132
514.6619, 768.2366
515.1440, 745.3495
515.6262, 725.5983
516.1083, 714.9369
516.5904, 710.0464
517.0725, 702.5679
517.5546, 686.9454
518.0367, 671.8157
518.5189, 660.8858
519.0010, 654.8564
519.4831, 647.9398
519.9652, 639.3395
520.4473, 630.7392
520.9294, 623.7711
521.4116, 619.1801
521.8937, 613.9285
522.3758, 607.6895
522.8579, 600.5822
523.3400, 592.0720
523.8221, 581.9924
524.3043, 573.8402
524.7864, 569.6459
525.2685, 568.6506
525.7506, 568.6765
526.2327, 569.7559
526.7148, 570.8739
527.1970, 571.9867
527.6791, 572.3611
528.1612, 570.3646
528.6433, 564.2493
529.1254, 558.5107
529.6075, 556.4478
530.0897, 557.2208
530.5718, 559.1340
531.0539, 563.4698
531.5360, 567.0753
532.0181, 568.2239
532.5002, 566.7485
532.9824, 565.3453
533.4645, 564.8656
533.9466, 564.2387
534.4287, 562.7307
534.9108, 559.0367
535.3929, 556.9614
535.8751, 557.2950
536.3572, 558.7422
536.8393, 558.7938
537.3214, 557.0268
537.8035, 555.7608
538.2856, 555.7175
538.7678, 556.7537
539.2499, 557.7659
539.7320, 558.6784
540.2141, 561.3720
540.6962, 570.5199
541.1783, 582.1894
541.6605, 585.8445
542.1426, 578.3361
542.6247, 570.4721
543.1068, 573.1830
543.5889, 582.3440
544.0710, 590.9227
544.5532, 596.4099
545.0353, 600.3597
545.5174, 602.0515
545.9995, 602.2999
546.4816, 605.2260
546.9637, 613.6678
547.4459, 623.7152
547.9280, 633.8259
548.4101, 644.4188
548.8922, 653.4020
549.3743, 658.4391
549.8564, 663.8211
550.3386, 674.4371
550.8207, 691.8094
551.3028, 709.6313
551.7849, 727.0540
552.2670, 743.9824
552.7491, 758.5216
553.2313, 770.4495
553.7134, 786.0508
554.1955, 809.5881
554.6776, 839.2966
555.1597, 871.9839
555.6418, 907.4067
556.1240, 940.9618
556.6061, 967.5885
557.0882, 990.2628
557.5703, 1012.238
558.0524, 1032.265
558.5345, 1056.351
559.0167, 1088.440
559.4988, 1126.949
559.9809, 1168.155
560.4630, 1217.420
560.9451, 1263.255
561.4272, 1301.326
561.9094, 1330.960
562.3915, 1359.575
562.8736, 1385.911
563.3557, 1412.769
563.8378, 1444.106
564.3199, 1486.527
564.8021, 1511.238
565.2842, 1517.823
565.7663, 1506.549
566.2484, 1473.267
566.7305, 1418.021
567.2126, 1360.862
567.6948, 1306.725
568.1769, 1254.431
568.6590, 1202.814
569.1411, 1151.668
569.6232, 1102.657
570.1053, 1053.482
570.5875, 1008.113
571.0696, 969.8798
571.5517, 939.0996
572.0338, 916.9225
572.5159, 909.8172
572.9980, 908.9225
573.4802, 906.3302
573.9623, 898.2164
574.4444, 891.0640
574.9265, 883.3786
575.4086, 877.7840
575.8907, 880.1408
576.3729, 895.7653
576.8550, 910.2973
577.3371, 918.7423
577.8192, 922.1032
578.3013, 931.2071
578.7834, 946.4448
579.2656, 965.4026
579.7477, 987.8604
580.2298, 1013.239
580.7119, 1036.833
581.1940, 1058.427
581.6761, 1077.597
582.1583, 1091.839
582.6404, 1103.446
583.1225, 1117.154
583.6046, 1133.740
584.0867, 1153.948
584.5688, 1181.500
585.0510, 1213.465
585.5331, 1241.650
586.0152, 1257.436
586.4973, 1273.693
586.9794, 1297.488
587.4615, 1330.536
587.9437, 1358.912
588.4258, 1378.010
588.9079, 1396.070
589.3900, 1418.114
589.8721, 1444.524
590.3542, 1474.669
590.8364, 1510.210
591.3185, 1546.595
591.8006, 1575.601
592.2827, 1597.471
592.7648, 1617.479
593.2469, 1635.150
593.7291, 1653.979
594.2112, 1682.601
594.6933, 1719.337
595.1754, 1754.881
595.6575, 1786.577
596.1396, 1812.083
596.6218, 1827.390
597.1039, 1831.860
597.5860, 1833.967
598.0681, 1839.706
598.5502, 1843.613
599.0323, 1841.110
599.5145, 1826.973
599.9966, 1812.730
600.4787, 1801.967
600.9608, 1790.382
601.4429, 1770.297
601.9250, 1736.876
602.4072, 1705.850
602.8893, 1680.989
603.3714, 1661.224
603.8535, 1643.965
604.3356, 1629.356
604.8177, 1614.176
605.2999, 1596.054
605.7820, 1575.794
606.2641, 1556.009
606.7462, 1536.493
607.2283, 1518.849
607.7104, 1507.684
608.1926, 1497.766
608.6747, 1480.965
609.1568, 1449.592
609.6389, 1422.552
610.1210, 1414.230
610.6031, 1414.936
611.0853, 1409.116
611.5674, 1387.493
612.0495, 1366.313
612.5316, 1351.196
613.0137, 1340.098
613.4958, 1319.586
613.9780, 1286.681
614.4601, 1251.805
614.9422, 1220.421
615.4243, 1192.433
615.9064, 1163.011
616.3885, 1131.448
616.8707, 1101.309
617.3528, 1075.344
617.8349, 1053.639
618.3170, 1036.599
618.7991, 1026.440
619.2813, 1014.909
619.7634, 991.7666
620.2455, 962.7745
620.7276, 937.3159
621.2097, 924.8520
621.6918, 910.9860
622.1740, 887.3058
622.6561, 856.2939
623.1382, 831.3072
623.6203, 816.2319
624.1024, 804.4861
624.5845, 794.6328
625.0667, 786.8812
625.5488, 778.2553
626.0309, 769.1031
626.5130, 758.0700
626.9951, 741.4418
627.4772, 720.2629
627.9594, 707.6779
628.4415, 706.4875
628.9236, 708.2063
629.4057, 701.6075
629.8878, 690.0794
630.3699, 681.4191
630.8521, 681.1877
631.3342, 681.3652
631.8163, 675.6653
632.2984, 665.8672
632.7805, 656.6931
633.2626, 649.3378
633.7448, 643.3461
634.2269, 638.9852
634.7090, 636.2476
635.1911, 633.5192
635.6732, 630.8639
636.1553, 628.1174
636.6375, 625.0418
637.1196, 621.5043
637.6017, 619.0411
638.0838, 618.0401
638.5659, 616.9294
639.0480, 613.3625
639.5302, 608.0338
640.0123, 603.4713
640.4944, 600.0473
640.9765, 598.0504
641.4586, 599.4440
641.9407, 602.3113
642.4229, 602.7081
642.9050, 595.0246
643.3871, 588.2573
643.8692, 587.7511
644.3513, 592.5269
644.8334, 595.3615
645.3156, 595.0528
645.7977, 592.6571
646.2798, 587.6868
646.7619, 579.6931
647.2440, 574.7477
647.7261, 573.9755
648.2083, 573.6068
648.6904, 569.7242
649.1725, 562.8871
649.6546, 558.6183
650.1367, 557.7018
650.6188, 558.5273
651.1010, 559.2783
651.5831, 560.3871
652.0652, 563.2495
652.5473, 572.5305
653.0294, 577.7004
653.5115, 567.5475
653.9937, 548.4966
654.4758, 534.9349
654.9579, 534.1129
655.4400, 536.0953
655.9221, 538.8620
656.4042, 542.1850
656.8864, 544.3608
657.3685, 545.2805
657.8506, 545.2713
658.3327, 544.7455
658.8148, 543.6856
659.2969, 539.6039
659.7791, 531.9138
660.2612, 524.9899
660.7433, 524.3820
661.2254, 527.5309
661.7075, 528.5588
662.1896, 526.2104
662.6718, 522.6434
663.1539, 516.4259
663.6360, 510.9965
664.1181, 511.1563
664.6002, 528.6542
665.0823, 540.1437
665.5645, 534.4032
666.0466, 518.5638
666.5287, 512.2021
667.0108, 522.6931
667.4929, 529.4625
667.9750, 524.6476
668.4572, 511.5147
668.9393, 510.8864
669.4214, 524.3436
669.9035, 535.5939
670.3856, 531.5231
670.8677, 518.0012
671.3499, 509.6724
671.8320, 507.0618
672.3141, 506.8034
672.7962, 506.2397
673.2783, 506.8163
673.7604, 510.1017
674.2426, 516.6543
674.7247, 524.9706
675.2068, 540.0724
675.6889, 554.0245
676.1710, 557.9117
676.6531, 542.7520
677.1353, 533.3442
677.6174, 532.9207
678.0995, 537.9946
678.5816, 542.0505
679.0637, 545.1068
679.5458, 547.3294
680.0280, 548.8453
680.5101, 549.4979
680.9922, 547.2324
681.4743, 543.1429
681.9564, 542.4921
682.4385, 552.6393
682.9207, 564.5167
683.4028, 569.9965
683.8849, 569.1125
684.3670, 567.1375
684.8491, 564.7817
685.3312, 562.7213
685.8134, 561.4171
686.2955, 561.0442
686.7776, 560.4780
687.2597, 558.9280
687.7418, 558.3868
688.2239, 561.5406
688.7061, 568.5137
689.1882, 573.6370
689.6703, 576.6468
690.1524, 576.4279
690.6345, 568.2015
691.1166, 555.6288
691.5988, 548.2217
692.0809, 552.3327
692.5630, 557.1688
693.0451, 553.8632
693.5272, 545.7863
694.0093, 539.9200
694.4915, 539.6059
694.9736, 540.4608
695.4557, 543.3658
695.9378, 546.9251
696.4199, 543.2362
696.9020, 527.6257
697.3842, 515.7353
697.8663, 516.4247
698.3484, 527.1630
698.8305, 528.6315
699.3126, 520.6219
699.7947, 510.9998
700.2769, 504.8594
700.7590, 501.2274
701.2411, 498.8805
701.7232, 497.7551
702.2053, 496.9712
702.6874, 495.7126
703.1696, 494.7322
703.6517, 494.7866
704.1338, 496.8903
704.6159, 498.3618
705.0980, 500.4432
705.5801, 500.8226
706.0623, 495.8061
706.5444, 483.0773
707.0265, 475.0993
707.5086, 474.6393
707.9907, 477.4853
708.4728, 476.0765
708.9550, 471.1962
709.4371, 467.1768
709.9192, 465.5740
710.4013, 465.5296
710.8834, 467.2736
711.3655, 469.9118
711.8477, 471.0276
712.3298, 466.8492
712.8119, 463.6245
713.2940, 465.0956
713.7761, 470.9354
714.2582, 473.7446
714.7404, 472.8918
715.2225, 469.9391
715.7046, 464.8084
716.1867, 457.6859
716.6688, 451.5739
717.1509, 446.2438
717.6331, 444.4456
718.1152, 451.6548
718.5973, 463.2854
719.0794, 469.6754
719.5615, 469.8159
720.0436, 467.7589
720.5258, 465.2889
721.0079, 462.5421
721.4900, 459.3140
721.9721, 454.0113
722.4542, 451.6661
722.9363, 455.8582
723.4185, 461.3939
723.9006, 463.0329
724.3827, 459.6161
724.8648, 455.8927
725.3469, 451.8399
725.8290, 448.6809
726.3112, 449.9820
726.7933, 454.6049
727.2754, 456.1430
727.7575, 450.4330
728.2396, 443.6802
728.7217, 443.0241
729.2039, 446.4881
729.6860, 449.4065
730.1681, 449.4521
730.6502, 449.0947
