##NAMES=Collinsite
##RRUFFID=R140626
##IDEAL CHEMISTRY=Ca_2_Mg(PO_4_)_2_&#183;2H_2_O
##LOCALITY=Near Milgun Station, Meekatharra Shire, Western Australia, Australia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless bladed to prismatic crystals with pointy ends. Associated with gordonite (R130671), montgomeryite (R140625), and hydroxylapatite (R140987).
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R140626
##MEASURED CHEMISTRY=Ca_2.01_Mg_1.06_(P_1.00_O_4_)_2_·2H_2_O ; trace Mn, Fe
1.658058e+002, 8.898944e+002
1.662880e+002, 8.905580e+002
1.667701e+002, 8.897839e+002
1.672522e+002, 8.883428e+002
1.677343e+002, 8.868282e+002
1.682164e+002, 8.850801e+002
1.686985e+002, 8.840385e+002
1.691807e+002, 8.849389e+002
1.696628e+002, 8.867203e+002
1.701449e+002, 8.881286e+002
1.706270e+002, 8.885766e+002
1.711091e+002, 8.884297e+002
1.715912e+002, 8.885447e+002
1.720734e+002, 8.891083e+002
1.725555e+002, 8.895940e+002
1.730376e+002, 8.894587e+002
1.735197e+002, 8.891870e+002
1.740018e+002, 8.894594e+002
1.744839e+002, 8.906666e+002
1.749661e+002, 8.927459e+002
1.754482e+002, 8.953337e+002
1.759303e+002, 8.989655e+002
1.764124e+002, 9.025580e+002
1.768945e+002, 9.054740e+002
1.773766e+002, 9.081567e+002
1.778588e+002, 9.113109e+002
1.783409e+002, 9.154353e+002
1.788230e+002, 9.205426e+002
1.793051e+002, 9.265049e+002
1.797872e+002, 9.327753e+002
1.802693e+002, 9.404116e+002
1.807515e+002, 9.495265e+002
1.812336e+002, 9.602804e+002
1.817157e+002, 9.726769e+002
1.821978e+002, 9.865455e+002
1.826799e+002, 1.001637e+003
1.831620e+002, 1.021461e+003
1.836441e+002, 1.045309e+003
1.841263e+002, 1.073160e+003
1.846084e+002, 1.107792e+003
1.850905e+002, 1.147644e+003
1.855726e+002, 1.187448e+003
1.860547e+002, 1.224629e+003
1.865368e+002, 1.259656e+003
1.870190e+002, 1.270869e+003
1.875011e+002, 1.249211e+003
1.879832e+002, 1.211561e+003
1.884653e+002, 1.164418e+003
1.889474e+002, 1.109639e+003
1.894296e+002, 1.057299e+003
1.899117e+002, 1.017292e+003
1.903938e+002, 9.899491e+002
1.908759e+002, 9.678757e+002
1.913580e+002, 9.521055e+002
1.918401e+002, 9.406091e+002
1.923223e+002, 9.312943e+002
1.928044e+002, 9.239724e+002
1.932865e+002, 9.185641e+002
1.937686e+002, 9.160275e+002
1.942507e+002, 9.155858e+002
1.947328e+002, 9.152412e+002
1.952150e+002, 9.146359e+002
1.956971e+002, 9.136762e+002
1.961792e+002, 9.120505e+002
1.966613e+002, 9.094504e+002
1.971434e+002, 9.067878e+002
1.976255e+002, 9.048489e+002
1.981077e+002, 9.033835e+002
1.985898e+002, 9.018103e+002
1.990719e+002, 8.994822e+002
1.995540e+002, 8.966989e+002
2.000361e+002, 8.948262e+002
2.005182e+002, 8.943075e+002
2.010004e+002, 8.941951e+002
2.014825e+002, 8.939557e+002
2.019646e+002, 8.936631e+002
2.024467e+002, 8.935184e+002
2.029288e+002, 8.936445e+002
2.034109e+002, 8.940399e+002
2.038930e+002, 8.946725e+002
2.043752e+002, 8.957474e+002
2.048573e+002, 8.968773e+002
2.053394e+002, 8.980037e+002
2.058215e+002, 8.990736e+002
2.063036e+002, 8.999922e+002
2.067857e+002, 9.006138e+002
2.072679e+002, 9.009105e+002
2.077500e+002, 9.014716e+002
2.082321e+002, 9.020428e+002
2.087142e+002, 9.031415e+002
2.091963e+002, 9.050133e+002
2.096784e+002, 9.075837e+002
2.101606e+002, 9.106144e+002
2.106427e+002, 9.138907e+002
2.111248e+002, 9.173564e+002
2.116069e+002, 9.214092e+002
2.120890e+002, 9.253441e+002
2.125711e+002, 9.304077e+002
2.130533e+002, 9.370834e+002
2.135354e+002, 9.453572e+002
2.140175e+002, 9.550070e+002
2.144996e+002, 9.657590e+002
2.149817e+002, 9.775057e+002
2.154638e+002, 9.916885e+002
2.159460e+002, 1.007488e+003
2.164281e+002, 1.025794e+003
2.169102e+002, 1.047300e+003
2.173923e+002, 1.071821e+003
2.178744e+002, 1.099069e+003
2.183565e+002, 1.129099e+003
2.188387e+002, 1.162412e+003
2.193208e+002, 1.193570e+003
2.198029e+002, 1.227227e+003
2.202850e+002, 1.255543e+003
2.207671e+002, 1.275076e+003
2.212492e+002, 1.285215e+003
2.217314e+002, 1.285228e+003
2.222135e+002, 1.273696e+003
2.226956e+002, 1.249199e+003
2.231777e+002, 1.220000e+003
2.236598e+002, 1.182896e+003
2.241419e+002, 1.143488e+003
2.246240e+002, 1.104396e+003
2.251062e+002, 1.066028e+003
2.255883e+002, 1.031296e+003
2.260704e+002, 1.002729e+003
2.265525e+002, 9.805843e+002
2.270346e+002, 9.619134e+002
2.275167e+002, 9.475891e+002
2.279989e+002, 9.360988e+002
2.284810e+002, 9.266123e+002
2.289631e+002, 9.191254e+002
2.294452e+002, 9.128934e+002
2.299273e+002, 9.076121e+002
2.304094e+002, 9.032900e+002
2.308916e+002, 8.999009e+002
2.313737e+002, 8.979510e+002
2.318558e+002, 8.966765e+002
2.323379e+002, 8.952457e+002
2.328200e+002, 8.936241e+002
2.333021e+002, 8.920765e+002
2.337843e+002, 8.905405e+002
2.342664e+002, 8.892323e+002
2.347485e+002, 8.885946e+002
2.352306e+002, 8.890821e+002
2.357127e+002, 8.899972e+002
2.361948e+002, 8.904460e+002
2.366770e+002, 8.903961e+002
2.371591e+002, 8.900101e+002
2.376412e+002, 8.889404e+002
2.381233e+002, 8.877129e+002
2.386054e+002, 8.869623e+002
2.390875e+002, 8.870303e+002
2.395697e+002, 8.874468e+002
2.400518e+002, 8.872780e+002
2.405339e+002, 8.861238e+002
2.410160e+002, 8.856968e+002
2.414981e+002, 8.873972e+002
2.419802e+002, 8.898054e+002
2.424624e+002, 8.914578e+002
2.429445e+002, 8.916776e+002
2.434266e+002, 8.914954e+002
2.439087e+002, 8.928262e+002
2.443908e+002, 8.962792e+002
2.448729e+002, 8.995851e+002
2.453550e+002, 9.017942e+002
2.458372e+002, 9.037502e+002
2.463193e+002, 9.061556e+002
2.468014e+002, 9.092556e+002
2.472835e+002, 9.128096e+002
2.477656e+002, 9.165227e+002
2.482477e+002, 9.205223e+002
2.487299e+002, 9.243389e+002
2.492120e+002, 9.277143e+002
2.496941e+002, 9.309899e+002
2.501762e+002, 9.345639e+002
2.506583e+002, 9.385416e+002
2.511404e+002, 9.424368e+002
2.516226e+002, 9.456165e+002
2.521047e+002, 9.484484e+002
2.525868e+002, 9.495309e+002
2.530689e+002, 9.478668e+002
2.535510e+002, 9.453145e+002
2.540331e+002, 9.430886e+002
2.545153e+002, 9.415282e+002
2.549974e+002, 9.402721e+002
2.554795e+002, 9.387039e+002
2.559616e+002, 9.364358e+002
2.564437e+002, 9.347493e+002
2.569258e+002, 9.333111e+002
2.574080e+002, 9.325765e+002
2.578901e+002, 9.329500e+002
2.583722e+002, 9.344522e+002
2.588543e+002, 9.367010e+002
2.593364e+002, 9.392380e+002
2.598185e+002, 9.422174e+002
2.603007e+002, 9.451078e+002
2.607828e+002, 9.487492e+002
2.612649e+002, 9.517265e+002
2.617470e+002, 9.536827e+002
2.622291e+002, 9.542995e+002
2.627112e+002, 9.527881e+002
2.631934e+002, 9.479388e+002
2.636755e+002, 9.384200e+002
2.641576e+002, 9.303195e+002
2.646397e+002, 9.242559e+002
2.651218e+002, 9.188040e+002
2.656039e+002, 9.131771e+002
2.660861e+002, 9.073924e+002
2.665682e+002, 9.019498e+002
2.670503e+002, 8.973495e+002
2.675324e+002, 8.936934e+002
2.680145e+002, 8.904355e+002
2.684966e+002, 8.874789e+002
2.689788e+002, 8.849079e+002
2.694609e+002, 8.829360e+002
2.699430e+002, 8.814451e+002
2.704251e+002, 8.800279e+002
2.709072e+002, 8.782989e+002
2.713893e+002, 8.762369e+002
2.718715e+002, 8.748887e+002
2.723536e+002, 8.746635e+002
2.728357e+002, 8.745832e+002
2.733178e+002, 8.740756e+002
