##NAMES=Kegelite
##RRUFFID=R080021
##IDEAL CHEMISTRY=Pb^2+^_4_Al_2_Si_4_O_10_(S^6+^O_4_)(CO_3_)_2_(OH)_4_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless sectile crystal plates with perfect (100) cleavage, associated with mimetite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080021
331.3983, 188.2931
331.8804, 188.3780
332.3625, 188.4859
332.8447, 188.6733
333.3268, 188.9950
333.8089, 189.5484
334.2910, 190.0825
334.7731, 190.6561
335.2552, 191.2123
335.7374, 191.3700
336.2195, 190.8414
336.7016, 190.3770
337.1837, 190.4640
337.6658, 191.3363
338.1479, 191.9494
338.6301, 192.1510
339.1122, 192.1324
339.5943, 192.3501
340.0764, 192.8681
340.5585, 193.3943
341.0406, 193.6065
341.5227, 193.4298
342.0049, 193.0370
342.4870, 194.5099
342.9691, 195.4599
343.4512, 195.9152
343.9333, 194.3939
344.4154, 195.4249
344.8976, 195.4332
345.3797, 195.3994
345.8618, 196.7896
346.3439, 195.5558
346.8260, 196.9235
347.3081, 197.2527
347.7903, 198.0572
348.2724, 197.8325
348.7545, 197.9257
349.2366, 199.0484
349.7187, 198.5711
350.2008, 198.6688
350.6830, 198.8868
351.1651, 199.4321
351.6472, 200.1459
352.1293, 200.6186
352.6114, 200.7239
353.0935, 200.7178
353.5757, 200.7896
354.0578, 200.9725
354.5399, 201.3790
355.0220, 202.3449
355.5041, 203.4517
355.9862, 204.1313
356.4684, 204.2847
356.9505, 204.3333
357.4326, 204.5514
357.9147, 204.8870
358.3968, 205.2554
358.8789, 205.5588
359.3611, 205.9312
359.8432, 206.5193
360.3253, 207.3152
360.8074, 208.0678
361.2895, 208.6769
361.7716, 209.1759
362.2538, 209.5951
362.7359, 209.9252
363.2180, 210.2004
363.7001, 210.3240
364.1822, 210.3780
364.6643, 210.6532
365.1465, 211.5181
365.6286, 212.4277
366.1107, 213.0752
366.5928, 213.2505
367.0749, 213.5101
367.5570, 213.9848
368.0392, 214.5918
368.5213, 215.1897
369.0034, 215.7263
369.4855, 216.2756
369.9676, 216.8607
370.4497, 217.4799
370.9319, 218.0835
371.4140, 218.6332
371.8961, 219.1819
372.3782, 219.7946
372.8603, 220.6175
373.3424, 221.2303
373.8246, 221.4949
374.3067, 221.4602
374.7888, 221.5784
375.2709, 221.9833
375.7530, 222.3283
376.2351, 222.3464
376.7173, 221.9266
377.1994, 221.6563
377.6815, 221.5537
378.1636, 221.6506
378.6457, 222.1322
379.1278, 223.1130
379.6100, 223.8952
380.0921, 224.0539
380.5742, 223.6197
381.0563, 223.4013
381.5384, 223.4199
382.0205, 223.5668
382.5027, 223.7431
382.9848, 223.9421
383.4669, 224.1077
383.9490, 224.2314
384.4311, 224.3015
384.9132, 224.3134
385.3954, 224.2643
385.8775, 224.1022
386.3596, 223.6105
386.8417, 222.9906
387.3238, 222.6956
387.8059, 222.9126
388.2881, 223.2966
388.7702, 223.5691
389.2523, 223.7134
389.7344, 223.6806
390.2165, 223.2224
390.6986, 222.6950
391.1808, 222.5208
391.6629, 222.7931
392.1450, 222.9829
392.6271, 222.6384
393.1092, 222.0399
393.5913, 221.5589
394.0735, 221.5012
394.5556, 221.4329
395.0377, 221.0794
395.5198, 220.4768
396.0019, 220.0253
396.4840, 220.0234
396.9662, 220.1156
397.4483, 220.0630
397.9304, 219.6696
398.4125, 219.3450
398.8946, 219.2172
399.3767, 219.1986
399.8589, 219.0756
400.3410, 218.7635
400.8231, 218.4003
401.3052, 217.9846
401.7873, 217.4467
402.2694, 217.1224
402.7516, 217.1189
403.2337, 217.2466
403.7158, 217.3150
404.1979, 217.3686
404.6800, 217.2536
405.1621, 216.8548
405.6443, 216.2399
406.1264, 215.9812
406.6085, 216.2443
407.0906, 216.4336
407.5727, 216.0275
408.0548, 214.9567
408.5370, 214.2037
409.0191, 213.9427
409.5012, 213.8983
409.9833, 213.6300
410.4654, 213.1367
410.9475, 212.4591
411.4297, 211.4928
411.9118, 210.3488
412.3939, 209.4144
412.8760, 208.7082
413.3581, 208.1713
413.8402, 207.8721
414.3224, 207.7108
414.8045, 207.4092
415.2866, 206.7695
415.7687, 206.1024
416.2508, 205.8335
416.7329, 205.8809
417.2151, 205.8693
417.6972, 205.5119
418.1793, 205.0226
418.6614, 204.5870
419.1435, 204.2306
419.6256, 203.9581
420.1078, 203.7456
420.5899, 203.6272
421.0720, 203.6452
421.5541, 204.0128
422.0362, 204.3374
422.5183, 204.3981
423.0005, 204.1958
423.4826, 204.1178
423.9647, 204.4487
424.4468, 204.8116
424.9289, 204.9552
425.4110, 204.3214
425.8932, 204.1326
426.3753, 204.6881
426.8574, 205.6903
427.3395, 206.4482
427.8216, 206.8138
428.3037, 207.1145
428.7859, 207.4270
429.2680, 207.7314
429.7501, 208.2032
430.2322, 208.9751
430.7143, 209.7195
431.1964, 210.0014
431.6786, 209.7046
432.1607, 209.5751
432.6428, 209.8351
433.1249, 210.3201
433.6070, 210.4849
434.0891, 210.3139
434.5713, 210.0416
435.0534, 209.8583
435.5355, 209.7209
436.0176, 209.4201
436.4997, 208.9514
436.9818, 208.2812
437.4640, 207.2424
437.9461, 205.9404
438.4282, 204.7048
438.9103, 203.6105
439.3924, 202.6899
439.8745, 202.0664
440.3566, 201.7095
440.8387, 201.3303
441.3209, 200.6874
441.8030, 199.9471
442.2851, 199.2818
442.7672, 198.7438
443.2493, 198.2393
443.7314, 197.6676
444.2136, 197.0997
444.6957, 196.6790
445.1778, 196.6559
445.6599, 196.5967
446.1420, 196.2372
446.6241, 195.5171
447.1063, 195.0731
447.5884, 195.2593
448.0705, 195.5941
448.5526, 195.7118
449.0347, 195.2708
449.5168, 195.1018
449.9990, 195.4114
450.4811, 196.0006
450.9632, 196.3018
451.4453, 196.2741
451.9274, 196.0388
452.4095, 195.5536
452.8917, 194.7852
453.3738, 194.3223
453.8559, 194.2203
454.3380, 194.3056
454.8201, 194.4066
455.3022, 194.5231
455.7844, 194.7171
456.2665, 195.0701
456.7486, 195.4340
457.2307, 195.4416
457.7128, 195.1148
458.1949, 194.7372
458.6771, 194.4516
459.1592, 194.2488
459.6413, 194.1101
460.1234, 194.0297
460.6055, 194.0435
461.0876, 194.2747
461.5698, 194.6069
462.0519, 194.8480
462.5340, 195.0420
463.0161, 195.0194
463.4982, 194.4569
463.9803, 193.5061
464.4625, 192.8460
464.9446, 193.0030
465.4267, 193.3501
465.9088, 193.5220
466.3909, 193.4444
466.8730, 193.2694
467.3552, 192.9932
467.8373, 192.6458
468.3194, 192.2616
468.8015, 191.5921
469.2836, 191.1911
469.7657, 191.2952
470.2479, 191.8223
470.7300, 191.9534
471.2121, 191.5064
471.6942, 190.9423
472.1763, 190.4917
472.6584, 190.1587
473.1406, 189.9661
473.6227, 189.9724
474.1048, 190.0260
474.5869, 189.8983
475.0690, 189.5892
475.5511, 189.2145
476.0333, 188.7708
476.5154, 188.3138
476.9975, 187.9870
477.4796, 187.7874
477.9617, 187.6270
478.4438, 187.4391
478.9260, 187.2460
479.4081, 187.0736
479.8902, 186.9120
480.3723, 186.8250
480.8544, 186.9496
481.3365, 187.1720
481.8187, 187.2977
482.3008, 187.2151
482.7829, 187.0380
483.2650, 186.7804
483.7471, 186.4595
484.2292, 186.2005
484.7114, 185.9820
485.1935, 185.8816
485.6756, 185.9845
486.1577, 186.5209
486.6398, 186.8117
487.1219, 186.5764
487.6041, 186.1474
488.0862, 185.9718
488.5683, 186.2854
489.0504, 186.4450
489.5325, 186.2322
490.0146, 185.7211
490.4968, 185.5559
490.9789, 185.8607
491.4610, 186.1832
491.9431, 186.1965
492.4252, 185.8927
492.9073, 185.7250
493.3895, 185.7363
493.8716, 185.8288
494.3537, 185.9277
494.8358, 186.0140
495.3179, 185.9662
495.8000, 185.6687
496.2822, 184.6835
496.7643, 185.4814
497.2464, 185.9309
497.7285, 186.0505
498.2106, 184.8524
498.6927, 185.3558
499.1749, 185.1773
499.6570, 184.9709
500.1391, 185.7138
500.6212, 184.7074
501.1033, 185.4352
501.5854, 185.4708
502.0676, 185.8232
502.5497, 185.4895
503.0318, 185.3677
503.5139, 185.9323
503.9960, 186.1168
504.4781, 185.7041
504.9603, 186.0766
505.4424, 185.0462
505.9245, 185.2469
506.4066, 185.9788
506.8887, 185.6006
507.3708, 185.9857
507.8530, 186.0801
508.3351, 184.8534
508.8172, 185.2324
509.2993, 186.0114
509.7814, 186.4418
510.2635, 186.5423
510.7457, 185.3252
511.2278, 185.8096
511.7099, 185.6122
512.1920, 185.3867
512.6741, 186.1106
513.1563, 185.0851
513.6384, 185.7940
514.1205, 185.8105
514.6026, 186.1439
515.0847, 185.7912
515.5668, 185.6504
516.0490, 186.1959
516.5311, 186.3614
517.0132, 185.9297
517.4953, 186.2832
517.9774, 185.2338
518.4595, 185.4155
518.9417, 186.1284
519.4238, 185.7312
519.9059, 186.0972
520.3880, 186.1726
520.8701, 184.9269
521.3522, 185.9787
521.8344, 186.0369
522.3165, 185.0748
522.7986, 186.0479
523.2807, 185.2265
523.7628, 185.0457
524.2449, 185.3468
524.7271, 185.1455
525.2092, 185.7364
525.6913, 185.6080
526.1734, 185.8478
526.6555, 186.0360
527.1376, 186.1101
527.6198, 185.8818
528.1019, 185.5238
528.5840, 185.4978
529.0661, 185.8859
529.5482, 186.2834
530.0303, 186.2447
530.5125, 185.9882
530.9946, 185.8526
531.4767, 185.9842
531.9588, 186.2289
532.4409, 186.6092
532.9230, 187.0473
533.4052, 187.3318
533.8873, 187.2903
534.3694, 187.1688
534.8515, 187.0834
535.3336, 187.0670
535.8157, 186.9214
536.2979, 186.4753
536.7800, 186.0464
537.2621, 185.8653
537.7442, 185.9925
538.2263, 186.2357
538.7084, 186.6663
539.1906, 187.1318
539.6727, 187.2038
540.1548, 185.7365
540.6369, 186.5929
541.1190, 187.1008
541.6011, 187.2788
542.0833, 186.1392
542.5654, 186.7010
543.0475, 186.5810
543.5296, 186.4330
544.0117, 187.2343
544.4938, 186.2863
544.9760, 187.0726
545.4581, 187.1666
545.9402, 187.5774
546.4223, 187.3021
546.9044, 187.2388
547.3865, 187.8617
547.8687, 188.1047
548.3508, 187.5685
548.8329, 187.0921
549.3150, 186.8773
549.7971, 187.2180
550.2792, 187.6208
550.7614, 187.9871
551.2435, 188.3328
551.7256, 188.4525
552.2077, 188.2838
552.6898, 187.9933
553.1719, 187.6484
553.6541, 187.2137
554.1362, 187.0738
554.6183, 187.3415
555.1004, 187.7460
555.5825, 187.7800
556.0646, 187.5105
556.5468, 187.3916
557.0289, 187.7111
557.5110, 188.1637
557.9931, 188.2862
558.4752, 188.1150
558.9573, 187.8515
559.4395, 187.4058
559.9216, 187.0535
560.4037, 187.0753
560.8858, 187.5368
561.3679, 188.0411
561.8500, 188.6036
562.3322, 189.0439
562.8143, 189.2136
563.2964, 188.7541
563.7785, 188.4436
564.2606, 188.3974
564.7427, 188.5112
565.2249, 188.5924
565.7070, 188.6550
566.1891, 188.6496
566.6712, 188.5361
567.1533, 188.3382
567.6354, 188.1891
568.1176, 188.0846
568.5997, 188.0524
569.0818, 188.0728
569.5639, 188.1738
570.0460, 188.5565
570.5281, 189.2661
571.0103, 189.9251
571.4924, 190.1695
571.9745, 190.0982
572.4566, 189.8554
572.9387, 189.3121
573.4208, 188.8902
573.9030, 188.9876
574.3851, 189.4022
574.8672, 189.6890
575.3493, 189.5825
575.8314, 189.4352
576.3135, 189.3586
576.7957, 189.3573
577.2778, 189.3899
577.7599, 189.4271
578.2420, 189.5271
578.7241, 189.7554
579.2062, 190.1988
579.6884, 190.3768
580.1705, 190.1777
580.6526, 189.9395
581.1347, 190.1532
581.6168, 190.7998
582.0989, 191.2442
582.5811, 191.3181
583.0632, 191.1960
583.5453, 191.1281
584.0274, 191.0998
584.5095, 191.0578
584.9916, 190.9187
585.4738, 190.7917
585.9559, 190.8102
586.4380, 190.9559
586.9201, 191.0681
587.4022, 190.9120
587.8843, 190.8123
588.3664, 191.0400
588.8485, 191.8076
589.3306, 192.3229
589.8127, 192.2377
590.2949, 192.0138
590.7770, 192.0783
591.2591, 192.6576
591.7412, 192.9826
592.2233, 192.8882
592.7054, 192.5803
593.1876, 192.4784
593.6697, 192.5873
594.1518, 192.8770
594.6339, 193.4330
595.1160, 194.1077
595.5981, 194.5293
596.0803, 194.7102
596.5624, 194.7662
597.0445, 194.6344
597.5266, 194.4892
598.0087, 194.5757
598.4908, 194.9271
598.9730, 195.3046
599.4551, 195.7102
599.9372, 196.0091
600.4193, 196.0518
600.9014, 195.4002
601.3835, 195.0909
601.8657, 195.7136
602.3478, 196.6267
602.8299, 196.8351
603.3120, 195.8656
603.7941, 195.1203
604.2762, 194.9493
604.7584, 195.2031
605.2405, 195.2439
605.7226, 195.0356
606.2047, 194.8908
606.6868, 195.0503
607.1689, 195.4075
607.6511, 195.6253
608.1332, 195.7035
608.6153, 195.6416
609.0974, 195.2401
609.5795, 194.7770
610.0616, 194.7014
610.5438, 195.2310
611.0259, 195.6256
611.5080, 195.2850
611.9901, 194.6557
612.4722, 194.2641
612.9543, 194.4049
613.4365, 194.5950
613.9186, 194.7987
614.4007, 194.9923
614.8828, 195.1093
615.3649, 195.0834
615.8470, 195.1183
616.3292, 195.3219
616.8113, 195.6466
617.2934, 195.7488
617.7755, 195.6084
618.2576, 195.4062
618.7397, 195.2274
619.2219, 195.0825
619.7040, 194.9822
620.1861, 194.9247
620.6682, 194.9730
621.1503, 195.3531
621.6324, 195.8009
622.1146, 195.9700
622.5967, 195.6593
623.0788, 195.3362
623.5609, 195.1917
624.0430, 195.1662
624.5251, 195.1733
625.0073, 195.0825
625.4894, 195.1819
625.9715, 195.6425
626.4536, 196.3107
626.9357, 196.6499
627.4178, 196.5200
627.9000, 196.4404
628.3821, 196.6509
628.8642, 197.0890
629.3463, 197.3400
629.8284, 197.3969
630.3105, 197.3896
630.7927, 197.3460
631.2748, 197.3185
631.7569, 197.4157
632.2390, 197.6502
632.7211, 197.9633
633.2032, 198.4776
633.6854, 198.9722
634.1675, 199.1803
634.6496, 198.8393
635.1317, 198.5773
635.6138, 198.5947
636.0959, 198.7850
636.5781, 198.9810
637.0602, 199.1968
637.5423, 199.3944
638.0244, 199.5658
638.5065, 199.7184
638.9886, 199.8857
639.4708, 200.0727
639.9529, 200.2357
640.4350, 200.4138
640.9171, 200.5348
641.3992, 200.3353
641.8813, 199.8283
642.3635, 199.1952
642.8456, 198.4008
643.3277, 197.6414
643.8098, 197.2358
644.2919, 197.2554
644.7740, 197.1588
645.2562, 196.4210
645.7383, 195.5952
646.2204, 195.1645
646.7025, 195.4752
647.1846, 195.7297
647.6667, 195.9438
648.1489, 196.0497
648.6310, 195.9133
649.1131, 195.4151
649.5952, 195.1020
650.0773, 195.1043
650.5594, 195.2946
651.0416, 195.4382
651.5237, 195.5298
652.0058, 195.5083
652.4879, 195.2368
652.9700, 194.9149
653.4521, 194.8422
653.9343, 194.9887
654.4164, 195.2143
654.8985, 195.5563
655.3806, 195.8604
655.8627, 195.9975
656.3448, 195.9490
656.8270, 195.8990
657.3091, 195.9148
657.7912, 195.9175
658.2733, 195.8399
658.7554, 195.5930
659.2375, 195.5605
659.7197, 195.8242
660.2018, 196.1573
660.6839, 196.3248
661.1660, 196.3269
661.6481, 196.2237
662.1302, 195.9688
662.6124, 195.7712
663.0945, 196.0493
663.5766, 196.6137
664.0587, 196.9866
664.5408, 196.8861
665.0229, 196.6540
665.5051, 196.4849
665.9872, 196.3654
666.4693, 196.2607
666.9514, 196.1742
667.4335, 196.0919
667.9156, 196.0196
668.3978, 195.9559
668.8799, 195.8518
669.3620, 195.6263
669.8441, 195.5273
670.3262, 195.7360
670.8083, 196.2295
671.2905, 196.4653
671.7726, 196.4151
672.2547, 196.3853
672.7368, 196.7115
673.2189, 197.2280
673.7010, 197.5854
674.1832, 197.7344
674.6653, 197.8251
675.1474, 197.8655
675.6295, 197.9519
676.1116, 198.2117
676.5938, 198.8618
677.0759, 199.3296
677.5580, 199.2350
678.0401, 198.9917
678.5222, 199.1776
679.0043, 200.1537
679.4865, 200.7588
679.9686, 200.6900
680.4507, 200.2989
680.9328, 200.3890
681.4149, 200.9592
681.8970, 201.5628
682.3792, 202.1123
682.8613, 202.5304
683.3434, 202.6221
683.8255, 202.4510
684.3076, 202.2708
684.7897, 202.2127
685.2719, 202.2082
685.7540, 202.1954
686.2361, 202.1791
686.7182, 202.2488
687.2003, 202.7446
687.6824, 203.0325
688.1646, 202.6815
688.6467, 201.4980
689.1288, 201.1087
689.6109, 201.7693
690.0930, 202.6760
690.5751, 203.2185
691.0573, 203.4161
691.5394, 203.6053
692.0215, 203.8061
692.5036, 203.9863
692.9857, 203.9314
693.4678, 203.8717
693.9500, 204.2245
694.4321, 205.1648
694.9142, 206.3323
695.3963, 207.9814
695.8784, 209.5616
696.3605, 210.3558
696.8427, 209.1172
697.3248, 208.5023
697.8069, 209.1603
698.2890, 210.4447
698.7711, 210.9911
699.2532, 210.5835
699.7354, 210.3249
700.2175, 210.5378
700.6996, 211.0470
701.1817, 211.4685
701.6638, 211.8054
702.1459, 212.0640
702.6281, 212.2230
703.1102, 212.3234
703.5923, 212.3969
704.0744, 212.4474
704.5565, 212.4939
705.0386, 212.7327
705.5208, 212.7993
706.0029, 212.3866
706.4850, 211.4205
706.9671, 210.8022
707.4492, 210.8011
