##NAMES=Hydroboracite
##RRUFFID=R060713
##IDEAL CHEMISTRY=CaMg[B_3_O_4_(OH)_3_]_2_&#183;3H_2_O
##LOCALITY=Sijes, Salta Province, Argentina
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Divergent groups of colorless bladed crystals that lie somewhat parallel with each other
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060713
##MEASURED CHEMISTRY=(Ca_0.93_Mg_0.07_)_Σ=1_Mg_1.00_B_6_O_8_(OH)_6_·3H_2_O ; B, H not measured but estimated by stoichiometry
232.414, 69668.492
232.896, 69759.227
233.378, 69864.969
233.861, 69991.102
234.343, 70114.594
234.825, 70226.062
235.307, 70331.062
235.789, 70435.297
236.271, 70539.047
236.753, 70651.281
237.235, 70788.703
237.718, 70952.883
238.200, 71130.602
238.682, 71332.547
239.164, 71543.422
239.646, 71754.039
240.128, 71964.953
240.610, 72150.117
241.092, 72275.203
241.574, 72336.727
242.057, 72347.523
242.539, 72302.359
243.021, 72211.328
243.503, 72077.070
243.985, 71902.422
244.467, 71701.102
244.949, 71482.477
245.431, 71237.906
245.913, 71029.477
246.396, 70865.078
246.878, 70729.938
247.360, 70615.328
247.842, 70520.477
248.324, 70451.633
248.806, 70415.148
249.288, 70413.391
249.770, 70422.703
250.253, 70409.344
250.735, 70433.781
251.217, 70557.719
251.699, 70750.648
252.181, 70916.062
252.663, 70975.859
253.145, 70937.977
253.627, 70981.188
254.109, 71156.922
254.592, 71344.383
255.074, 71501.797
255.556, 71645.844
256.038, 71816.188
256.520, 72038.188
257.002, 72294.906
257.484, 72512.477
257.966, 72680.727
258.449, 72816.156
258.931, 72953.344
259.413, 73048.180
259.895, 73037.523
260.377, 72893.977
260.859, 72660.094
261.341, 72434.469
261.823, 72238.094
262.306, 72017.891
262.788, 71718.797
263.270, 71426.188
263.752, 71224.523
264.234, 71133.047
264.716, 71094.320
265.198, 71017.023
265.680, 70863.688
266.162, 70762.727
266.645, 70769.977
267.127, 70782.789
267.609, 70728.562
268.091, 70607.641
268.573, 70482.047
269.055, 70421.547
269.537, 70437.570
270.019, 70449.227
270.501, 70466.883
270.984, 70470.328
271.466, 70437.219
271.948, 70379.859
272.430, 70335.172
272.912, 70339.883
273.394, 70386.688
273.876, 70397.703
274.358, 70330.531
274.841, 70283.672
275.323, 70290.773
275.805, 70341.883
276.287, 70421.953
276.769, 70530.867
277.251, 70656.312
277.733, 70766.117
278.215, 70852.008
278.698, 70941.008
279.180, 71052.047
279.662, 71168.727
280.144, 71271.547
280.626, 71351.570
281.108, 71422.367
281.590, 71498.430
282.072, 71579.500
282.554, 71671.609
283.036, 71792.930
283.519, 71915.891
284.001, 72019.156
284.483, 72104.961
284.965, 72151.203
285.447, 72126.109
285.929, 72041.109
286.411, 71960.344
286.893, 71910.641
287.376, 71853.812
287.858, 71731.109
288.340, 71541.133
288.822, 71379.602
289.304, 71318.961
289.786, 71305.031
290.268, 71235.469
290.750, 71087.719
291.233, 70922.453
291.715, 70798.492
292.197, 70714.242
292.679, 70633.320
293.161, 70548.992
293.643, 70468.617
294.125, 70398.188
294.607, 70337.969
295.089, 70281.383
295.572, 70209.539
296.054, 70134.180
296.536, 70156.227
297.018, 70367.047
297.500, 70571.406
297.982, 70663.023
298.464, 70676.703
298.946, 70702.906
299.428, 70788.750
299.911, 70914.039
300.393, 71015.273
300.875, 71080.094
301.357, 71134.297
301.839, 71151.633
302.321, 71171.031
302.803, 71249.969
303.285, 71405.383
303.767, 71585.672
304.250, 71708.688
304.732, 71758.594
305.214, 71777.523
305.696, 71766.273
306.178, 71729.398
306.660, 71646.297
307.142, 71530.797
307.625, 71438.797
308.107, 71436.008
308.589, 71536.773
309.071, 71595.992
309.553, 71612.203
310.035, 71584.602
310.517, 71490.422
310.999, 71351.812
311.481, 71206.906
311.964, 71074.750
312.446, 70960.203
312.928, 70886.383
313.410, 70880.758
313.892, 70869.383
314.374, 70809.117
314.856, 70742.258
315.338, 70717.211
315.820, 70753.141
316.303, 70825.102
316.785, 70915.000
317.267, 71031.578
317.749, 71100.500
318.231, 71048.930
318.713, 70982.547
319.195, 70996.523
319.677, 71100.242
320.159, 71214.219
320.642, 71276.133
321.124, 71300.648
321.606, 71345.633
322.088, 71425.547
322.570, 71513.328
323.052, 71576.578
323.534, 71620.773
324.016, 71682.227
324.499, 71787.578
324.981, 71905.688
325.463, 72014.703
325.945, 72112.070
326.427, 72155.352
326.909, 72098.273
327.391, 71958.000
327.873, 71855.703
328.355, 71816.141
328.838, 71788.133
329.320, 71762.398
329.802, 71731.008
330.284, 71674.453
330.766, 71583.359
331.248, 71466.531
331.730, 71340.797
332.212, 71171.953
332.694, 71050.797
333.177, 71015.828
333.659, 71014.328
334.141, 71003.594
334.623, 70972.352
335.105, 70923.438
335.587, 70858.172
336.069, 70773.961
336.552, 70687.703
337.034, 70600.828
337.516, 70512.422
337.998, 70417.023
338.480, 70319.242
338.962, 70225.461
339.444, 70135.547
339.926, 70055.773
340.408, 70030.094
340.891, 70114.438
341.373, 70166.617
341.855, 70136.594
342.337, 70066.273
342.819, 69994.633
343.301, 69932.641
343.783, 69892.203
344.265, 69902.820
344.747, 69974.523
345.230, 70017.523
345.712, 69972.359
346.194, 69924.758
346.676, 69943.461
347.158, 70029.547
347.640, 70129.906
348.122, 70225.602
348.604, 70310.297
349.086, 70364.977
349.569, 70384.891
350.051, 70384.094
350.533, 70355.461
351.015, 70311.680
351.497, 70298.438
351.979, 70364.562
352.461, 70433.430
352.944, 70433.180
353.426, 70374.227
353.908, 70317.961
354.390, 70298.180
354.872, 70301.227
355.354, 70284.523
355.836, 70258.094
356.318, 70203.008
356.800, 70077.656
357.283, 69936.523
357.765, 69862.953
358.247, 69875.602
358.729, 69906.648
359.211, 69865.383
359.693, 69728.133
360.175, 69596.352
360.657, 69427.000
361.139, 69301.961
361.622, 69296.383
362.104, 69375.852
362.586, 69438.578
363.068, 69406.523
363.550, 69299.812
364.032, 69247.547
364.514, 69309.422
364.996, 69337.172
365.478, 69238.859
365.961, 69121.461
366.443, 69112.281
366.925, 69255.508
367.407, 69450.180
367.889, 69558.242
368.371, 69571.633
368.853, 69600.477
369.335, 69674.727
369.818, 69757.469
370.300, 69815.273
370.782, 69851.797
371.264, 69898.508
371.746, 69983.461
372.228, 70085.656
372.710, 70163.172
373.192, 70209.594
373.674, 70259.031
374.157, 70350.023
374.639, 70460.227
375.121, 70513.867
375.603, 70469.352
376.085, 70408.539
376.567, 70357.477
377.049, 70322.891
377.531, 70328.508
378.013, 70387.781
378.496, 70469.242
378.978, 70518.922
379.460, 70538.977
379.942, 70514.453
380.424, 70389.422
380.906, 70259.812
381.388, 70200.812
381.871, 70213.773
382.353, 70256.172
382.835, 70294.930
383.317, 70330.312
383.799, 70353.344
384.281, 70367.211
384.763, 70364.797
385.245, 70335.344
385.727, 70292.906
386.210, 70259.383
386.692, 70244.930
387.174, 70228.727
387.656, 70163.703
388.138, 70032.570
388.620, 69949.250
389.102, 69976.117
389.584, 70022.094
390.066, 70022.172
390.549, 69977.953
391.031, 69933.031
391.513, 69912.273
391.995, 69907.953
392.477, 69899.594
392.959, 69882.594
393.441, 69882.883
393.923, 69928.367
394.405, 70004.211
394.888, 70059.039
395.370, 70092.094
395.852, 70101.656
396.334, 70066.383
396.816, 70007.773
397.298, 69977.094
397.780, 69994.023
398.263, 70028.117
398.745, 70029.898
399.227, 69977.047
399.709, 69942.977
400.191, 69952.594
400.673, 69959.031
401.155, 69933.273
401.637, 69876.070
402.119, 69801.289
402.602, 69717.992
403.084, 69627.500
403.566, 69542.758
404.048, 69492.633
404.530, 69403.344
405.012, 69228.781
405.494, 69030.047
405.976, 68867.883
406.458, 68758.156
406.941, 68677.891
407.423, 68609.742
407.905, 68553.680
408.387, 68476.547
408.869, 68338.727
409.351, 68233.773
409.833, 68268.531
410.315, 68401.523
410.797, 68480.242
411.280, 68391.500
411.762, 68262.633
412.244, 68238.531
412.726, 68311.023
413.208, 68394.477
413.690, 68451.023
414.172, 68485.617
414.654, 68508.477
415.137, 68506.000
415.619, 68517.500
416.101, 68566.844
416.583, 68623.477
417.065, 68656.023
417.547, 68659.594
418.029, 68650.359
418.511, 68648.594
418.993, 68657.680
419.476, 68616.102
419.958, 68465.203
420.440, 68326.852
420.922, 68217.703
421.404, 68143.930
421.886, 68122.148
422.368, 68162.531
422.850, 68220.344
423.332, 68210.883
423.815, 68119.062
424.297, 68071.352
424.779, 68147.203
425.261, 68214.430
425.743, 68161.523
426.225, 68005.227
426.707, 67861.891
427.190, 67798.703
427.672, 67775.250
428.154, 67733.844
428.636, 67672.602
429.118, 67609.398
429.600, 67552.969
430.082, 67502.047
430.564, 67450.953
431.046, 67386.680
431.529, 67343.383
432.011, 67353.344
432.493, 67378.469
432.975, 67364.477
433.457, 67304.352
433.939, 67244.188
434.421, 67237.320
434.903, 67292.547
435.385, 67311.273
435.868, 67261.633
436.350, 67210.281
436.832, 67168.023
437.314, 67137.688
437.796, 67122.156
438.278, 67123.547
438.760, 67134.789
439.242, 67142.727
439.724, 67145.406
440.207, 67163.883
440.689, 67229.383
441.171, 67281.047
441.653, 67255.969
442.135, 67169.250
442.617, 67110.531
443.099, 67136.547
443.581, 67199.328
444.064, 67243.094
444.546, 67266.281
445.028, 67273.047
445.510, 67262.500
445.992, 67238.852
446.474, 67213.672
446.956, 67184.648
447.438, 67157.820
447.921, 67153.742
448.403, 67140.477
448.885, 67075.906
449.367, 66962.617
449.849, 66848.008
450.331, 66774.477
450.813, 66741.633
451.295, 66714.477
451.777, 66713.172
452.259, 66693.203
452.742, 66633.359
453.224, 66558.094
453.706, 66493.727
454.188, 66448.828
454.670, 66411.078
455.152, 66364.750
455.634, 66311.281
456.116, 66266.727
456.599, 66228.844
457.081, 66206.242
457.563, 66219.930
458.045, 66255.453
458.527, 66270.289
459.009, 66250.680
459.491, 66210.742
459.973, 66136.750
460.456, 66048.344
460.938, 66005.992
461.420, 66035.773
461.902, 66099.188
462.384, 66131.172
462.866, 66111.406
463.348, 66112.602
463.830, 66171.711
464.312, 66217.727
464.795, 66199.000
465.277, 66134.547
465.759, 66077.094
466.241, 66058.750
466.723, 66066.820
467.205, 66064.062
467.687, 66042.758
468.169, 66037.156
468.651, 66090.789
469.134, 66136.023
469.616, 66106.992
470.098, 66006.461
470.580, 65924.180
471.062, 65937.383
471.544, 65987.297
472.026, 65974.727
472.508, 65894.977
472.991, 65796.523
473.473, 65697.633
473.955, 65604.633
474.437, 65542.977
474.919, 65520.520
475.401, 65508.801
475.883, 65516.512
476.365, 65524.430
476.848, 65509.660
477.330, 65472.391
477.812, 65434.020
478.294, 65414.852
478.776, 65413.469
479.258, 65403.371
479.740, 65374.270
480.222, 65353.410
480.704, 65353.520
481.186, 65361.789
481.669, 65359.949
482.151, 65343.719
482.633, 65341.461
483.115, 65396.762
483.597, 65488.891
484.079, 65531.770
484.561, 65504.078
485.043, 65483.031
485.526, 65549.062
486.008, 65671.102
486.490, 65701.344
486.972, 65539.406
487.454, 65396.730
487.936, 65373.430
488.418, 65411.730
488.900, 65432.680
489.383, 65414.730
489.865, 65375.500
490.347, 65332.340
490.829, 65283.160
491.311, 65246.750
491.793, 65233.840
492.275, 65222.039
492.757, 65216.250
493.239, 65204.359
493.722, 65165.398
494.204, 65089.879
494.686, 65010.449
495.168, 64977.328
495.650, 64981.121
496.132, 64939.012
496.614, 64827.629
497.096, 64697.949
497.578, 64588.270
498.061, 64495.910
498.543, 64410.629
499.025, 64297.262
499.507, 64226.500
499.989, 64279.090
500.471, 64389.871
500.953, 64434.922
501.435, 64376.410
501.918, 64274.840
502.400, 64195.840
502.882, 64117.301
503.364, 64181.410
503.846, 64077.648
504.328, 64231.051
504.810, 64322.031
505.292, 64353.938
505.775, 64149.855
506.257, 64246.371
506.739, 64212.641
507.221, 64115.469
507.703, 63969.879
508.185, 63929.449
508.667, 64062.789
509.149, 64202.641
509.631, 64178.410
510.114, 64021.871
510.596, 63927.031
511.078, 63950.352
511.560, 63996.629
512.042, 64020.371
512.524, 64033.371
513.006, 64059.570
513.488, 64105.672
513.971, 64158.711
514.453, 64207.680
514.935, 64261.270
515.417, 64253.070
515.899, 64084.590
516.381, 63963.309
516.863, 63990.590
517.345, 64089.449
517.827, 64144.859
518.310, 64114.469
518.792, 64061.430
519.274, 64057.211
519.756, 64089.180
520.238, 64086.641
520.720, 64024.578
521.202, 63982.859
521.684, 64044.730
522.166, 64196.461
522.649, 64290.480
523.131, 64275.129
523.613, 64262.430
524.095, 64290.340
524.577, 64344.949
525.059, 64422.762
525.541, 64516.160
526.023, 64585.809
526.505, 64586.430
526.988, 64517.531
527.470, 64429.969
527.952, 64322.141
528.434, 64199.570
528.916, 64059.469
529.398, 63909.941
529.880, 63750.781
530.362, 63577.301
530.844, 63435.398
531.327, 63373.711
531.809, 63363.672
532.291, 63339.641
532.773, 63293.980
533.255, 63258.410
533.737, 63262.148
534.219, 63292.320
534.701, 63279.148
535.184, 63153.512
535.666, 63078.609
536.148, 63109.980
536.630, 63174.199
537.112, 63215.148
537.594, 63222.172
538.076, 63204.910
538.558, 63168.078
539.041, 63114.238
539.523, 63049.930
540.005, 62965.660
540.487, 62901.859
540.969, 62872.871
541.451, 62870.559
541.933, 62892.340
542.415, 62940.141
542.898, 62977.770
543.380, 62974.910
543.862, 62968.738
544.344, 63000.320
544.826, 63065.270
545.308, 63134.789
545.790, 63194.672
546.272, 63250.230
546.754, 63312.148
547.237, 63379.391
547.719, 63457.328
548.201, 63528.578
548.683, 63626.301
549.165, 63772.922
549.647, 63958.590
550.129, 64186.770
550.611, 64514.988
551.093, 64753.102
551.576, 64567.641
552.058, 64013.898
552.540, 63536.270
553.022, 63234.320
553.504, 63038.750
553.986, 62906.250
554.468, 62839.141
554.950, 62733.301
555.432, 62510.539
555.915, 62337.441
556.397, 62316.270
556.879, 62368.160
557.361, 62389.629
557.843, 62352.078
558.325, 62287.078
558.807, 62217.988
559.289, 62146.289
559.771, 62135.012
560.254, 62222.840
560.736, 62293.730
561.218, 62262.512
561.700, 62203.621
562.182, 62207.090
562.664, 62292.551
563.146, 62382.090
563.628, 62441.898
564.111, 62480.711
564.593, 62503.629
565.075, 62513.762
565.557, 62527.641
566.039, 62559.148
566.521, 62592.352
567.003, 62579.262
567.485, 62513.961
567.968, 62410.020
568.450, 62223.012
568.932, 62043.199
569.414, 61941.879
569.896, 61893.301
570.378, 61814.078
570.860, 61646.191
571.342, 61457.699
571.825, 61350.219
572.307, 61311.660
572.789, 61254.090
573.271, 61153.762
573.753, 61037.262
574.235, 60922.730
574.717, 60810.109
575.199, 60742.070
575.681, 60751.531
576.164, 60764.219
576.646, 60754.309
577.128, 60734.840
577.610, 60726.422
578.092, 60731.820
578.574, 60729.531
579.056, 60677.789
579.538, 60593.129
580.020, 60604.531
580.503, 60745.859
580.985, 60867.699
581.467, 60918.531
581.949, 60903.570
582.431, 60826.410
582.913, 60669.371
583.395, 60537.430
583.877, 60464.629
584.360, 60424.590
584.842, 60402.430
585.324, 60392.852
585.806, 60393.949
586.288, 60406.141
586.770, 60410.559
587.252, 60360.660
587.734, 60234.480
588.216, 60146.199
588.699, 60119.961
589.181, 60111.410
589.663, 60114.449
590.145, 60115.660
590.627, 60084.199
591.109, 59994.762
591.591, 59911.961
592.073, 59896.539
592.555, 59913.379
593.038, 59897.441
593.520, 59839.578
594.002, 59767.309
594.484, 59697.879
594.966, 59635.621
595.448, 59608.609
595.930, 59630.191
596.412, 59666.160
596.895, 59736.711
597.377, 59799.590
597.859, 59815.699
598.341, 59793.930
598.823, 59779.660
599.305, 59800.809
599.787, 59838.219
600.269, 59878.199
600.752, 59915.980
601.234, 59922.320
601.716, 59885.461
602.198, 59835.031
602.680, 59804.230
603.162, 59795.461
603.644, 59781.441
604.126, 59750.738
604.609, 59729.930
605.091, 59736.750
605.573, 59750.590
606.055, 59743.570
606.537, 59713.391
607.019, 59690.219
607.501, 59717.289
607.983, 59767.031
608.465, 59757.328
608.948, 59685.430
609.430, 59616.102
609.912, 59579.090
610.394, 59551.371
610.876, 59491.301
611.358, 59382.078
611.840, 59304.980
612.322, 59295.379
612.804, 59283.270
613.287, 59226.680
613.769, 59147.391
614.251, 59086.520
614.733, 59057.770
615.215, 59032.859
615.697, 58981.199
616.179, 58904.930
616.661, 58810.461
617.143, 58691.648
617.626, 58586.430
618.108, 58515.051
618.590, 58470.512
619.072, 58441.281
619.554, 58436.480
620.036, 58418.090
620.518, 58357.469
621.000, 58300.301
621.482, 58297.059
621.965, 58322.422
622.447, 58308.930
622.929, 58223.199
623.411, 58110.340
623.893, 58042.930
624.375, 58020.719
624.857, 57974.480
625.339, 57875.531
625.822, 57812.109
626.304, 57877.199
626.786, 58010.871
627.268, 58048.121
627.750, 57942.820
628.232, 57833.680
628.714, 57739.570
629.196, 57670.141
629.679, 57644.141
630.161, 57651.641
630.643, 57660.230
631.125, 57651.301
631.607, 57635.828
632.089, 57639.320
632.571, 57664.289
633.053, 57673.070
633.536, 57657.020
634.018, 57631.262
634.500, 57597.609
634.982, 57562.410
635.464, 57543.629
635.946, 57537.090
636.428, 57555.211
636.910, 57628.051
637.392, 57709.559
637.875, 57764.051
638.357, 57782.219
638.839, 57753.430
639.321, 57665.059
639.803, 57545.020
640.285, 57459.930
640.767, 57413.430
641.249, 57364.480
641.731, 57312.602
642.214, 57246.711
642.696, 57134.059
643.178, 56999.320
643.660, 56924.422
644.142, 56959.781
644.624, 56992.410
645.106, 57014.941
645.588, 56997.250
646.070, 56868.391
646.553, 56657.551
647.035, 56499.531
647.517, 56494.328
647.999, 56572.781
648.481, 56564.930
648.963, 56459.141
649.445, 56393.559
649.927, 56400.488
650.409, 56434.500
650.892, 56471.172
651.374, 56506.590
651.856, 56523.672
652.338, 56508.488
652.820, 56491.359
653.302, 56481.398
653.784, 56472.371
654.266, 56454.109
654.749, 56429.160
655.231, 56411.961
655.713, 56412.949
656.195, 56422.891
656.677, 56426.621
657.159, 56424.090
657.641, 56399.160
658.123, 56337.039
658.606, 56280.160
659.088, 56270.910
659.570, 56297.500
660.052, 56291.020
660.534, 56222.051
661.016, 56161.629
661.498, 56151.391
661.980, 56135.609
662.463, 56049.172
662.945, 55909.551
663.427, 55791.320
663.909, 55739.820
664.391, 55722.570
664.873, 55687.949
665.355, 55637.602
665.837, 55589.871
666.319, 55549.809
666.802, 55500.922
667.284, 55413.879
667.766, 55308.910
668.248, 55288.738
668.730, 55437.641
669.212, 55543.422
669.694, 55584.609
670.176, 55581.359
670.658, 55519.289
671.141, 55426.250
671.623, 55366.059
672.105, 55374.590
672.587, 55401.988
673.069, 55376.512
673.551, 55317.148
674.033, 55310.211
674.515, 55370.172
674.997, 55405.680
675.480, 55348.730
675.962, 55231.230
676.444, 55154.570
676.926, 55133.219
677.408, 55129.480
677.890, 55181.891
678.372, 55212.102
678.854, 55180.699
679.336, 55098.441
679.819, 54978.391
680.301, 54813.922
680.783, 54671.602
681.265, 54616.500
681.747, 54616.730
682.229, 54632.219
682.711, 54652.590
683.193, 54635.051
683.676, 54552.410
684.158, 54437.148
684.640, 54356.980
685.122, 54321.789
685.604, 54287.379
686.086, 54243.852
686.568, 54214.398
687.050, 54217.551
687.532, 54235.398
688.015, 54244.961
688.497, 54243.141
688.979, 54231.180
689.461, 54214.570
689.943, 54184.641
690.425, 54111.789
690.907, 54018.422
691.390, 53974.660
691.872, 54006.410
692.354, 54057.430
692.836, 54044.270
693.318, 53967.660
693.800, 53930.480
694.282, 53941.789
694.764, 53967.211
695.246, 54004.711
695.729, 54040.520
696.211, 54059.941
696.693, 54063.691
697.175, 54041.801
697.657, 53971.738
698.139, 53897.922
698.621, 53834.340
699.103, 53784.840
699.585, 53765.398
700.068, 53772.398
700.550, 53763.270
701.032, 53688.000
701.514, 53579.559
701.996, 53536.199
702.478, 53556.941
702.960, 53531.219
703.442, 53413.141
703.924, 53294.309
704.407, 53279.012
704.889, 53363.820
705.371, 53378.641
705.853, 53264.148
706.335, 53161.129
706.817, 53071.461
707.299, 53011.781
707.781, 53012.051
708.263, 53056.301
708.746, 53088.320
709.228, 53079.871
709.710, 53054.301
710.192, 53037.809
710.674, 53020.672
711.156, 52963.930
711.638, 52869.191
712.120, 52815.609
712.603, 52865.922
713.085, 52976.281
713.567, 53009.672
714.049, 52929.879
714.531, 52895.211
715.013, 52953.070
715.495, 53008.820
715.977, 53019.730
716.459, 52992.102
716.942, 52923.109
717.424, 52782.109
717.906, 52699.941
718.388, 52795.109
718.870, 52906.750
719.352, 52886.121
719.834, 52771.801
720.317, 52666.449
720.799, 52611.090
721.281, 52596.141
721.763, 52638.070
722.245, 52717.469
722.727, 52702.129
723.209, 52577.898
723.691, 52484.301
724.173, 52485.930
724.656, 52524.980
725.138, 52521.141
725.620, 52467.469
726.102, 52420.309
726.584, 52392.320
727.066, 52355.520
727.548, 52284.879
728.030, 52215.559
728.513, 52194.191
728.995, 52215.488
729.477, 52218.891
729.959, 52152.199
730.441, 52075.051
730.923, 52046.660
731.405, 52056.031
731.887, 52082.102
732.369, 52119.191
732.852, 52163.039
733.334, 52213.480
733.816, 52260.691
734.298, 52268.781
734.780, 52227.609
735.262, 52184.930
735.744, 52138.141
736.226, 52101.320
736.708, 52085.090
737.191, 52085.012
737.673, 52094.051
738.155, 52123.961
738.637, 52134.391
739.119, 52079.852
739.601, 52036.898
740.083, 52080.422
740.565, 52173.020
741.047, 52228.480
741.530, 52217.609
742.012, 52204.520
742.494, 52263.922
742.976, 52367.539
743.458, 52439.141
743.940, 52480.129
744.422, 52538.539
744.904, 52634.789
745.386, 52738.270
745.869, 52805.391
746.351, 52833.750
746.833, 52893.430
747.315, 52994.398
747.797, 53109.031
748.279, 53235.309
748.761, 53368.969
749.244, 53511.309
749.726, 53659.109
750.208, 53800.219
750.690, 53923.680
751.172, 54048.809
751.654, 54179.371
752.136, 54321.289
752.618, 54500.469
753.100, 54700.750
753.583, 54872.000
754.065, 54991.020
754.547, 55035.578
755.029, 54944.281
755.511, 54736.141
755.993, 54543.270
756.475, 54380.488
756.957, 54195.879
757.440, 53956.359
757.922, 53689.359
758.404, 53452.199
758.886, 53261.371
759.368, 53039.602
759.850, 52741.750
760.332, 52467.629
760.814, 52252.051
761.296, 52070.090
761.779, 51901.109
762.261, 51741.180
762.743, 51568.578
763.225, 51346.641
763.707, 51136.648
764.189, 50963.879
764.671, 50838.859
765.153, 50800.320
765.635, 50836.699
766.118, 50864.340
766.600, 50823.070
767.082, 50731.609
767.564, 50609.129
768.046, 50460.621
768.528, 50382.980
769.010, 50400.559
769.492, 50434.711
769.974, 50448.922
770.457, 50430.160
770.939, 50335.512
771.421, 50097.941
771.903, 49945.051
772.385, 49934.820
772.867, 49942.410
773.349, 49944.391
773.831, 49929.020
774.313, 49877.199
774.796, 49786.250
775.278, 49696.051
775.760, 49622.129
776.242, 49556.988
776.724, 49502.441
777.206, 49450.180
777.688, 49383.219
778.170, 49301.051
778.653, 49219.750
779.135, 49147.570
779.617, 49092.672
780.099, 49084.980
780.581, 49119.480
781.063, 49133.070
781.545, 49114.949
782.027, 49077.520
782.510, 49022.301
782.992, 48961.801
783.474, 48934.488
783.956, 48961.930
784.438, 48970.391
784.920, 48913.930
785.402, 48891.570
785.884, 48987.340
786.367, 49112.328
786.849, 49139.879
787.331, 49050.160
787.813, 48969.160
788.295, 48943.160
788.777, 48932.750
789.259, 48923.781
789.741, 48909.500
790.223, 48885.090
790.706, 48848.160
791.188, 48788.922
791.670, 48684.500
792.152, 48584.289
792.634, 48604.879
793.116, 48706.949
793.598, 48705.770
794.080, 48574.988
794.562, 48425.969
795.045, 48323.699
795.527, 48265.980
796.009, 48258.141
796.491, 48326.160
796.973, 48333.398
797.455, 48231.340
797.937, 48154.711
798.419, 48185.000
798.901, 48253.078
799.384, 48258.250
799.866, 48194.102
800.348, 48159.340
800.830, 48213.031
801.312, 48240.852
801.794, 48172.141
802.276, 48075.809
802.758, 48025.660
803.240, 48019.672
803.723, 48009.141
804.205, 47970.461
804.687, 47918.000
805.169, 47853.410
805.651, 47790.051
806.133, 47751.000
806.615, 47737.629
807.097, 47749.781
807.580, 47788.629
808.062, 47825.461
808.544, 47808.730
809.026, 47741.859
809.508, 47699.090
809.990, 47684.301
810.472, 47667.449
810.954, 47635.762
811.437, 47602.988
