##NAMES=Grossular
##RRUFFID=R060442
##IDEAL CHEMISTRY=Ca_3_Al_2_(SiO_4_)_3_
##LOCALITY=Pakistan(?)
##OWNER=RRUFF
##SOURCE=Gemological Institute of America
##DESCRIPTION=Orange crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060442
##MEASURED CHEMISTRY=(Ca_2.85_Fe^2+^_0.15_)_Σ=3_(Al_1.85_Fe^3+^_0.15_)_Σ=2_(Si_1.00_O_4_)_3_; trace amounts of Ti, Mg
270.2734, 263.5896
270.7556, 266.8121
271.2377, 270.5912
271.7198, 274.8158
272.2019, 279.2050
272.6840, 283.6746
273.1661, 288.6230
273.6483, 294.3210
274.1304, 300.8187
274.6125, 307.6039
275.0946, 314.8854
275.5767, 322.0940
276.0588, 328.4884
276.5410, 334.2042
277.0231, 338.3090
277.5052, 340.5849
277.9873, 341.0604
278.4694, 338.4716
278.9515, 332.4945
279.4337, 324.1104
279.9158, 314.1117
280.3979, 302.3592
280.8800, 290.8057
281.3621, 280.2146
281.8442, 270.5351
282.3264, 261.6896
282.8085, 253.6482
283.2906, 246.5692
283.7727, 240.7112
284.2548, 236.0812
284.7369, 232.2686
285.2191, 229.2633
285.7012, 226.9872
286.1833, 225.0599
286.6654, 223.4995
287.1475, 222.1623
287.6296, 221.0911
288.1118, 220.2309
288.5939, 218.9954
289.0760, 217.0086
289.5581, 214.7398
290.0402, 213.5361
290.5223, 213.4285
291.0045, 213.2555
291.4866, 211.8230
291.9687, 209.4423
292.4508, 207.6960
292.9329, 207.0920
293.4150, 206.8846
293.8972, 205.5313
294.3793, 203.1414
294.8614, 200.9615
295.3435, 199.9621
295.8256, 199.8337
296.3077, 199.7702
296.7899, 199.6934
297.2720, 199.6110
297.7541, 199.5890
298.2362, 199.5944
298.7183, 199.4737
299.2004, 198.8473
299.6826, 198.0975
300.1647, 197.9922
300.6468, 198.6441
301.1289, 199.5756
301.6110, 200.3685
302.0931, 201.0570
302.5753, 201.7590
303.0574, 202.3948
303.5395, 203.1258
304.0216, 204.3538
304.5037, 206.1135
304.9858, 207.5868
305.4680, 207.6945
305.9501, 207.1051
306.4322, 206.9690
306.9143, 208.1696
307.3964, 209.6675
307.8785, 210.3690
308.3607, 210.3676
308.8428, 210.5706
309.3249, 211.7821
309.8070, 213.4626
310.2891, 214.9334
310.7712, 215.6477
311.2534, 216.5801
311.7355, 218.9510
312.2176, 222.2929
312.6997, 224.7929
313.1818, 224.6502
313.6639, 223.7063
314.1461, 223.4630
314.6282, 224.4803
315.1103, 225.6731
315.5924, 226.5701
316.0745, 227.2482
316.5566, 227.8815
317.0388, 228.7319
317.5209, 229.4093
318.0030, 229.5998
318.4851, 229.1131
318.9672, 228.7887
319.4493, 229.0304
319.9315, 229.5719
320.4136, 230.0634
320.8957, 229.8296
321.3778, 230.0518
321.8599, 231.3897
322.3420, 233.9874
322.8242, 236.3008
323.3063, 237.6633
323.7884, 238.7670
324.2705, 240.2158
324.7526, 242.3444
325.2347, 244.5851
325.7169, 246.7384
326.1990, 248.8419
326.6811, 251.1882
327.1632, 254.6668
327.6453, 257.8021
328.1274, 259.7719
328.6096, 259.5582
329.0917, 259.4342
329.5738, 259.8663
330.0559, 260.4706
330.5380, 259.9921
331.0201, 258.0326
331.5023, 255.4185
331.9844, 252.2877
332.4665, 248.0017
332.9486, 244.8598
333.4307, 243.2629
333.9128, 242.6174
334.3950, 241.9599
334.8771, 241.1825
335.3592, 240.5841
335.8413, 240.2774
336.3234, 240.2801
336.8055, 240.3421
337.2877, 240.3857
337.7698, 240.5931
338.2519, 241.1406
338.7340, 242.0005
339.2161, 243.3313
339.6982, 245.3386
340.1803, 247.8714
340.6624, 249.7646
341.1446, 250.8527
341.6267, 251.9226
342.1088, 253.7426
342.5909, 256.3317
343.0730, 258.5245
343.5551, 259.8585
344.0373, 261.0456
344.5194, 264.0001
345.0015, 268.8328
345.4836, 273.5912
345.9657, 276.8737
346.4478, 278.9897
346.9300, 281.7066
347.4121, 285.2701
347.8942, 289.0140
348.3763, 292.1158
348.8584, 294.6357
349.3405, 296.9999
349.8227, 299.0822
350.3048, 301.2119
350.7869, 304.0675
351.2690, 307.6395
351.7511, 311.8151
352.2332, 316.0804
352.7154, 320.8512
353.1975, 327.0671
353.6796, 335.4315
354.1617, 344.9470
354.6438, 354.7418
355.1259, 364.7819
355.6081, 374.8575
356.0902, 384.2442
356.5723, 393.9220
357.0544, 405.1983
357.5365, 418.5239
358.0186, 432.6993
358.5008, 446.7733
358.9829, 461.0529
359.4650, 476.2072
359.9471, 492.8983
360.4292, 510.2939
360.9113, 527.8153
361.3935, 545.1451
361.8756, 563.3509
362.3577, 583.0442
362.8398, 603.7659
363.3219, 624.9951
363.8040, 646.6971
364.2862, 668.7975
364.7683, 691.2225
365.2504, 714.0872
365.7325, 737.4380
366.2146, 762.9893
366.6967, 788.1426
367.1789, 811.2856
367.6610, 833.0239
368.1431, 851.8455
368.6252, 867.1813
369.1073, 879.5762
369.5894, 890.5847
370.0716, 899.2047
370.5537, 907.5527
371.0358, 916.4321
371.5179, 926.0468
372.0000, 935.8005
372.4821, 947.1140
372.9643, 957.4904
373.4464, 963.9656
373.9285, 967.6386
374.4106, 964.9596
374.8927, 955.2656
375.3748, 938.4486
375.8570, 914.1561
376.3391, 881.3082
376.8212, 842.8187
377.3033, 799.0891
377.7854, 749.3786
378.2675, 701.4418
378.7497, 655.3907
379.2318, 612.1805
379.7139, 572.9083
380.1960, 537.9412
380.6781, 506.4837
381.1602, 478.7365
381.6424, 454.5359
382.1245, 433.0812
382.6066, 414.2712
383.0887, 397.6888
383.5708, 382.5669
384.0529, 369.0484
384.5351, 357.1351
385.0172, 347.4517
385.4993, 339.2705
385.9814, 331.0398
386.4635, 322.8439
386.9456, 314.9868
387.4278, 307.7132
387.9099, 301.0561
388.3920, 294.9522
388.8741, 289.3450
389.3562, 284.4482
389.8383, 280.5830
390.3205, 277.5313
390.8026, 274.7941
391.2847, 272.0663
391.7668, 269.5755
392.2489, 267.5476
392.7310, 266.1026
393.2132, 264.6784
393.6953, 262.8835
394.1774, 261.0125
394.6595, 259.4096
395.1416, 258.4115
395.6237, 257.4980
396.1059, 256.3495
396.5880, 255.0055
397.0701, 254.1310
397.5522, 253.9486
398.0343, 254.2295
398.5164, 254.8553
398.9986, 256.6434
399.4807, 257.6968
399.9628, 257.4935
400.4449, 256.5587
400.9270, 256.0930
401.4091, 256.2378
401.8913, 256.6790
402.3734, 257.3813
402.8555, 258.4133
403.3376, 259.2887
403.8197, 259.8504
404.3018, 260.4362
404.7840, 261.5094
405.2661, 263.3129
405.7482, 264.7559
406.2303, 265.6086
406.7124, 265.9513
407.1945, 265.8536
407.6767, 265.0659
408.1588, 265.0520
408.6409, 267.3773
409.1230, 271.8237
409.6051, 275.1392
410.0872, 276.9229
410.5694, 278.0175
411.0515, 279.5429
411.5336, 281.4628
412.0157, 283.5165
412.4978, 285.6955
412.9799, 287.9074
413.4621, 290.4727
413.9442, 293.3805
414.4263, 294.9640
414.9084, 293.4597
415.3905, 289.8514
415.8727, 285.7366
416.3548, 281.7285
416.8369, 276.9659
417.3190, 270.1132
417.8011, 261.8724
418.2832, 253.9743
418.7654, 247.0015
419.2475, 240.9376
419.7296, 236.1204
420.2117, 232.7274
420.6938, 229.2804
421.1759, 224.5563
421.6581, 219.7403
422.1402, 216.0344
422.6223, 214.5202
423.1044, 213.3485
423.5865, 212.2453
424.0686, 211.1832
424.5508, 209.9868
425.0329, 208.4303
425.5150, 206.9173
425.9971, 205.6463
426.4792, 204.7976
426.9613, 203.7954
427.4435, 202.3178
427.9256, 200.8766
428.4077, 200.3820
428.8898, 201.3220
429.3719, 202.1209
429.8540, 202.3604
430.3362, 202.0723
430.8183, 201.6207
431.3004, 200.9035
431.7825, 200.3246
432.2646, 200.4268
432.7467, 201.2136
433.2289, 201.3678
433.7110, 200.5380
434.1931, 199.2966
434.6752, 198.5849
435.1573, 198.3906
435.6394, 198.5945
436.1216, 199.4018
436.6037, 200.5188
437.0858, 201.3465
437.5679, 201.8806
438.0500, 202.0601
438.5321, 201.4860
439.0142, 200.5841
439.4963, 200.1039
439.9785, 200.4933
440.4606, 201.0633
440.9427, 201.3350
441.4248, 201.3496
441.9069, 201.2168
442.3890, 200.7554
442.8712, 200.3369
443.3533, 200.2609
443.8354, 200.6443
444.3175, 200.9471
444.7996, 200.6653
445.2817, 200.3449
445.7639, 200.5539
446.2460, 202.4118
446.7281, 203.6887
447.2102, 203.5766
447.6923, 202.3167
448.1744, 201.6663
448.6566, 201.7540
449.1387, 202.3196
449.6208, 203.3725
450.1029, 205.3142
450.5850, 206.4938
451.0671, 206.5923
451.5493, 206.2426
452.0314, 206.3714
452.5135, 207.1063
452.9956, 207.7742
453.4777, 208.2206
453.9598, 208.4573
454.4420, 208.5244
454.9241, 208.4191
455.4062, 208.1788
455.8883, 207.7090
456.3704, 207.0964
456.8525, 206.7468
457.3347, 206.7225
457.8168, 206.9207
458.2989, 207.4037
458.7810, 208.0388
459.2631, 208.4189
459.7452, 208.0450
460.2274, 207.5243
460.7095, 207.6135
461.1916, 208.2393
461.6737, 208.8353
462.1558, 208.9986
462.6379, 209.0098
463.1201, 209.1297
463.6022, 209.4497
464.0843, 209.7851
464.5664, 210.2752
465.0485, 210.6897
465.5306, 210.6611
466.0128, 209.1239
466.4949, 208.1017
466.9770, 208.4406
467.4591, 210.2075
467.9412, 211.6485
468.4233, 212.7621
468.9055, 213.5215
469.3876, 213.8669
469.8697, 213.4611
470.3518, 213.3486
470.8339, 213.4239
471.3160, 213.9084
471.7982, 215.4100
472.2803, 218.2496
472.7624, 220.8404
473.2445, 222.6551
473.7266, 223.7664
474.2087, 224.3000
474.6909, 224.1505
475.1730, 224.2797
475.6551, 225.9390
476.1372, 228.6712
476.6193, 230.5715
477.1014, 231.2885
477.5836, 231.2595
478.0657, 231.1298
478.5478, 230.6993
479.0299, 229.4165
479.5120, 226.1685
479.9941, 222.5022
480.4763, 219.7893
480.9584, 218.0071
481.4405, 216.8249
481.9226, 216.7266
482.4047, 216.7690
482.8868, 216.1257
483.3690, 214.2598
483.8511, 212.5030
484.3332, 210.9171
484.8153, 209.7447
485.2974, 209.3469
485.7795, 210.6953
486.2617, 211.8582
486.7438, 212.3807
487.2259, 212.2735
487.7080, 212.1120
488.1901, 211.6158
488.6722, 211.4268
489.1544, 212.0855
489.6365, 213.9631
490.1186, 215.1406
490.6007, 215.3108
491.0828, 215.1334
491.5649, 215.6287
492.0471, 216.8085
492.5292, 218.3236
493.0113, 220.3034
493.4934, 222.3941
493.9755, 223.4805
494.4576, 223.5953
494.9398, 223.7108
495.4219, 224.6669
495.9040, 226.0830
496.3861, 227.2464
496.8682, 228.0762
497.3503, 228.7195
497.8325, 229.1900
498.3146, 229.5863
498.7967, 230.0718
499.2788, 230.6045
499.7609, 231.3412
500.2430, 232.5116
500.7252, 234.0027
501.2073, 235.3346
501.6894, 236.2684
502.1715, 237.0792
502.6536, 237.8222
503.1357, 238.2795
503.6179, 239.3335
504.1000, 241.4939
504.5821, 243.9281
505.0642, 245.7600
505.5463, 246.5619
506.0284, 247.7191
506.5106, 249.5793
506.9927, 251.8640
507.4748, 253.8913
507.9569, 255.8383
508.4390, 256.6473
508.9211, 255.4266
509.4033, 252.4127
509.8854, 249.6040
510.3675, 247.0390
510.8496, 244.3510
511.3317, 240.9651
511.8138, 237.1500
512.2960, 233.6772
512.7781, 230.6250
513.2602, 228.0366
513.7423, 225.9980
514.2244, 224.4508
514.7065, 223.2508
515.1887, 222.7301
515.6708, 222.2150
516.1529, 221.1002
516.6350, 219.3946
517.1171, 218.0593
517.5992, 217.5701
518.0814, 217.4841
518.5635, 217.5416
519.0456, 217.9326
519.5277, 218.0996
520.0098, 217.9006
520.4919, 217.5159
520.9741, 217.1821
521.4562, 216.8094
521.9383, 216.6756
522.4204, 216.8794
522.9025, 217.3780
523.3846, 217.9666
523.8668, 218.6942
524.3489, 219.2791
524.8310, 219.5673
525.3131, 219.5634
525.7952, 219.2554
526.2773, 218.6030
526.7595, 217.8754
527.2416, 217.4075
527.7237, 217.1151
528.2058, 216.7197
528.6879, 215.8666
529.1700, 215.2815
529.6522, 215.8888
530.1343, 217.3810
530.6164, 218.8819
531.0985, 219.8398
531.5806, 220.7551
532.0627, 221.8421
532.5449, 223.1042
533.0270, 224.7529
533.5091, 226.7920
533.9912, 229.2632
534.4733, 232.1797
534.9554, 236.4667
535.4376, 239.9188
535.9197, 241.9830
536.4018, 243.4587
536.8839, 245.5910
537.3660, 248.3537
537.8481, 251.9017
538.3303, 256.4242
538.8124, 261.7842
539.2945, 267.3592
539.7766, 273.1417
540.2587, 279.1966
540.7408, 285.4597
541.2230, 292.0478
541.7051, 299.1801
542.1872, 306.8820
542.6693, 315.0402
543.1514, 324.0953
543.6335, 333.4891
544.1157, 342.4492
544.5978, 350.7616
545.0799, 358.5118
545.5620, 366.3557
546.0441, 373.6463
546.5262, 378.7798
547.0084, 382.0004
547.4905, 382.1641
547.9726, 378.7526
548.4547, 371.6730
548.9368, 361.6624
549.4189, 346.9885
549.9011, 330.8724
550.3832, 314.9169
550.8653, 298.5307
551.3474, 283.5499
551.8295, 269.9346
552.3116, 257.9949
552.7938, 248.4671
553.2759, 241.4760
553.7580, 235.7531
554.2401, 231.1857
554.7222, 227.4880
555.2043, 223.9350
555.6865, 220.5791
556.1686, 217.6528
556.6507, 215.5341
557.1328, 213.8609
557.6149, 211.9093
558.0970, 209.6375
558.5792, 207.8149
559.0613, 207.2503
559.5434, 207.3005
560.0255, 207.3323
560.5076, 207.1752
560.9897, 207.0281
561.4719, 206.7933
561.9540, 206.6411
562.4361, 206.8552
562.9182, 208.3171
563.4003, 209.1595
563.8824, 208.6650
564.3646, 207.1169
564.8467, 206.5871
565.3288, 207.4378
565.8109, 208.5559
566.2930, 209.5636
566.7751, 210.4756
567.2573, 210.3762
567.7394, 209.0469
568.2215, 207.6969
568.7036, 207.7757
569.1857, 208.9263
569.6678, 209.7933
570.1500, 210.0030
570.6321, 210.0549
571.1142, 210.6148
571.5963, 211.4525
572.0784, 212.0461
572.5605, 212.1262
573.0427, 211.9350
573.5248, 211.4572
574.0069, 210.7713
574.4890, 210.3098
574.9711, 210.5577
575.4532, 210.7908
575.9354, 210.5752
576.4175, 209.6545
576.8996, 209.1559
577.3817, 209.3868
577.8638, 209.7437
578.3459, 209.6606
578.8281, 209.0205
579.3102, 208.3913
579.7923, 207.7903
580.2744, 207.2890
580.7565, 207.1211
581.2386, 207.2625
581.7208, 207.3008
582.2029, 206.9521
582.6850, 206.4897
583.1671, 206.5321
583.6492, 206.9799
584.1313, 207.2400
584.6135, 206.6551
585.0956, 205.8833
585.5776, 205.5831
586.0598, 205.8619
586.5419, 206.1857
587.0240, 206.3156
587.5061, 206.4043
587.9882, 206.5838
588.4703, 207.1750
588.9525, 207.4319
589.4346, 207.2437
589.9167, 206.7450
590.3988, 206.0720
590.8809, 205.0069
591.3630, 204.4026
591.8452, 204.7399
592.3273, 205.5844
592.8094, 205.0804
593.2915, 203.1440
593.7736, 201.1633
594.2557, 200.0088
594.7379, 199.4163
595.2200, 198.5170
595.7021, 197.3044
596.1842, 196.4659
596.6663, 196.9713
597.1484, 197.9916
597.6306, 198.4759
598.1127, 198.0382
598.5948, 197.5612
599.0769, 197.3612
599.5590, 197.3922
600.0411, 197.5965
600.5233, 198.1725
601.0054, 198.6749
601.4875, 198.9644
601.9696, 199.1328
602.4517, 199.4861
602.9338, 200.1623
603.4160, 200.7218
603.8981, 200.9212
604.3802, 200.8289
604.8623, 201.2285
605.3444, 202.1870
605.8265, 203.1260
606.3087, 203.5079
606.7908, 203.5280
607.2729, 203.7884
607.7550, 204.3710
608.2371, 204.9183
608.7192, 204.9053
609.2014, 204.7262
609.6835, 204.9710
610.1656, 206.1118
610.6477, 207.1765
611.1298, 207.5575
611.6119, 207.6095
612.0941, 207.9777
612.5762, 209.3047
613.0583, 210.3641
613.5404, 210.8103
614.0225, 210.7580
614.5046, 210.8142
614.9868, 210.8627
615.4689, 211.2949
615.9510, 212.5081
616.4331, 214.4324
616.9152, 215.6576
617.3973, 216.1343
617.8795, 216.3275
618.3616, 216.3997
618.8437, 216.5166
619.3258, 217.1190
619.8079, 218.3191
620.2900, 219.7699
620.7722, 221.3741
621.2543, 222.9912
621.7364, 224.3945
622.2185, 225.2490
622.7006, 226.2232
623.1827, 227.8222
623.6649, 229.6982
624.1470, 231.0244
624.6291, 231.0878
625.1112, 231.3830
625.5933, 232.3867
626.0754, 233.9492
626.5576, 234.9681
627.0397, 235.4156
627.5218, 235.4012
628.0039, 234.8802
628.4860, 233.8993
628.9681, 232.9682
629.4503, 232.1143
629.9324, 230.8748
630.4145, 228.6065
630.8966, 225.7226
631.3787, 222.9078
631.8608, 220.3118
632.3430, 217.7945
632.8251, 215.1852
633.3072, 212.6448
633.7893, 210.3335
634.2714, 208.5516
634.7535, 206.7078
635.2357, 204.2494
635.7178, 201.6851
636.1999, 200.2480
636.6820, 200.7788
637.1641, 200.8808
637.6462, 199.7870
638.1284, 197.7657
638.6105, 196.2412
639.0926, 195.2177
639.5747, 194.5399
640.0568, 194.4893
640.5389, 194.6927
641.0211, 193.8235
641.5032, 191.8961
641.9853, 190.1016
642.4674, 189.3877
642.9495, 189.3167
643.4316, 189.5294
643.9138, 190.0889
644.3959, 190.4002
644.8780, 189.9700
645.3601, 189.2815
645.8422, 188.8195
646.3243, 188.7563
646.8065, 188.7989
647.2886, 189.1091
647.7707, 189.4285
648.2528, 189.1742
648.7349, 188.1155
649.2170, 187.5117
649.6992, 187.8716
650.1813, 188.7071
650.6634, 188.6504
651.1455, 187.7831
651.6276, 186.9498
652.1097, 186.6244
652.5919, 186.5835
653.0740, 186.5121
653.5561, 186.4251
654.0382, 186.4914
654.5203, 186.9606
655.0024, 187.4965
655.4846, 187.9289
655.9667, 188.2687
656.4488, 188.3142
656.9309, 187.7330
657.4130, 187.0877
657.8951, 186.7267
658.3773, 186.6635
658.8594, 186.9272
659.3415, 187.6893
659.8236, 188.4673
660.3057, 188.5623
660.7878, 188.0235
661.2700, 187.3414
661.7521, 186.5194
662.2342, 185.8412
662.7163, 185.7939
663.1984, 186.1936
663.6805, 186.5740
664.1627, 186.9091
664.6448, 186.9905
665.1269, 186.4864
665.6090, 185.5768
666.0911, 184.9511
666.5732, 184.9996
667.0554, 185.1245
667.5375, 185.0540
668.0196, 184.7959
668.5017, 185.0046
668.9838, 185.9052
669.4659, 186.7394
669.9481, 186.9300
670.4302, 186.5311
670.9123, 186.6261
671.3944, 187.2719
671.8765, 187.8764
672.3586, 187.8361
672.8408, 187.3813
673.3229, 186.8259
673.8050, 186.1483
674.2871, 185.7368
674.7692, 186.1743
675.2513, 186.8829
675.7335, 187.2227
676.2156, 186.6043
676.6977, 186.1634
677.1798, 186.1364
677.6619, 186.3324
678.1440, 186.4481
678.6262, 186.3797
679.1083, 186.5173
679.5904, 186.9611
680.0725, 187.6387
