##NAMES=Fluorcalciomicrolite
##RRUFFID=R070365
##IDEAL CHEMISTRY=(Ca,Na)_2_Ta^5+^_2_O_6_F
##LOCALITY=Ponte da Raiz mine, Minas Gerais, Southeast Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown octahedron associated with albite
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070365
##MEASURED CHEMISTRY=(Ca_0.80_Sr_0.07_Pb_0.02_Na_0.84_U_0.22_)(Ta_1.62_Nb_0.19_Ti_0.18_Sn_0.01_)_2_O_6_(F_0.46_O_0.42_) ; bright area, (Ca_0.84_Na_0.23_U_0.23_Sr_0.08_Pb_0.02_)(Ta_1.60_Ti_0.21_Nb_0.19_)_2_O_6_(F_0.32_O_0.25_) = dark area
219.8533, 4310.274
220.3354, 4304.046
220.8176, 4305.481
221.2997, 4317.776
221.7818, 4337.783
222.2639, 4360.898
222.7460, 4385.124
223.2281, 4409.530
223.7103, 4421.968
224.1924, 4410.969
224.6745, 4399.514
225.1566, 4389.528
225.6387, 4382.617
226.1208, 4381.194
226.6030, 4387.192
227.0851, 4398.524
227.5672, 4406.384
228.0493, 4408.371
228.5314, 4409.844
229.0135, 4415.334
229.4957, 4419.569
229.9778, 4414.854
230.4599, 4397.403
230.9420, 4373.527
231.4241, 4358.440
231.9062, 4354.128
232.3884, 4356.541
232.8705, 4374.011
233.3526, 4392.109
233.8347, 4395.214
234.3168, 4378.737
234.7989, 4355.975
235.2811, 4351.897
235.7632, 4378.976
236.2453, 4395.008
236.7274, 4390.478
237.2095, 4379.496
237.6916, 4368.638
238.1738, 4360.293
238.6559, 4356.713
239.1380, 4362.557
239.6201, 4381.736
240.1022, 4395.831
240.5843, 4401.130
241.0665, 4403.734
241.5486, 4405.639
242.0307, 4407.372
242.5128, 4409.152
242.9949, 4410.873
243.4770, 4412.395
243.9592, 4415.866
244.4413, 4430.820
244.9234, 4438.225
245.4055, 4420.304
245.8876, 4387.655
246.3697, 4368.313
246.8519, 4389.671
247.3340, 4444.865
247.8161, 4469.205
248.2982, 4437.444
248.7803, 4407.188
249.2624, 4400.878
249.7446, 4408.864
250.2267, 4414.975
250.7088, 4410.135
251.1909, 4398.276
251.6730, 4390.373
252.1551, 4386.633
252.6373, 4386.764
253.1194, 4395.783
253.6015, 4406.097
254.0836, 4408.391
254.5657, 4398.225
255.0478, 4383.068
255.5300, 4375.218
256.0121, 4376.794
256.4942, 4377.739
256.9763, 4371.831
257.4584, 4366.182
257.9406, 4366.922
258.4227, 4375.505
258.9048, 4386.209
259.3869, 4393.278
259.8690, 4396.585
260.3511, 4399.616
260.8333, 4405.654
261.3154, 4408.960
261.7975, 4403.557
262.2796, 4389.946
262.7617, 4377.294
263.2438, 4373.160
263.7260, 4376.067
264.2081, 4377.224
264.6902, 4374.529
265.1723, 4371.882
265.6544, 4370.723
266.1365, 4371.506
266.6187, 4376.209
267.1008, 4391.477
267.5829, 4410.273
268.0650, 4416.631
268.5471, 4407.733
269.0292, 4394.419
269.5114, 4380.686
269.9935, 4367.888
270.4756, 4358.896
270.9577, 4355.660
271.4398, 4355.548
271.9219, 4357.649
272.4041, 4362.150
272.8862, 4361.592
273.3683, 4347.354
273.8504, 4328.040
274.3325, 4320.248
274.8146, 4329.016
275.2968, 4341.576
275.7789, 4352.605
276.2610, 4361.177
276.7431, 4362.346
277.2252, 4351.580
277.7073, 4336.314
278.1895, 4328.482
278.6716, 4328.147
279.1537, 4332.035
279.6358, 4341.990
280.1179, 4354.771
280.6000, 4366.024
281.0822, 4375.388
281.5643, 4379.666
282.0464, 4372.922
282.5285, 4354.151
283.0106, 4337.753
283.4927, 4323.923
283.9749, 4314.041
284.4570, 4310.886
284.9391, 4314.132
285.4212, 4318.121
285.9033, 4317.453
286.3854, 4312.479
286.8676, 4314.480
287.3497, 4335.171
287.8318, 4350.894
288.3139, 4348.218
288.7960, 4331.058
289.2781, 4308.831
289.7603, 4285.109
290.2424, 4262.946
290.7245, 4256.329
291.2066, 4286.583
291.6887, 4304.995
292.1708, 4294.265
292.6530, 4271.288
293.1351, 4258.030
293.6172, 4262.086
294.0993, 4274.050
294.5814, 4277.384
295.0635, 4267.843
295.5457, 4256.791
296.0278, 4241.974
296.5099, 4227.447
296.9920, 4216.505
297.4741, 4209.208
297.9562, 4202.915
298.4384, 4193.860
298.9205, 4180.196
299.4026, 4177.063
299.8847, 4196.895
300.3668, 4214.515
300.8489, 4218.795
301.3310, 4214.093
301.8131, 4211.358
302.2953, 4218.505
302.7774, 4232.663
303.2595, 4239.725
303.7416, 4242.835
304.2237, 4232.566
304.7058, 4193.607
305.1880, 4147.681
305.6701, 4120.006
306.1522, 4120.330
306.6343, 4133.146
307.1164, 4130.358
307.5985, 4104.178
308.0807, 4091.583
308.5628, 4118.960
309.0449, 4148.165
309.5270, 4154.447
310.0091, 4136.498
310.4912, 4112.943
310.9734, 4097.808
311.4555, 4090.712
311.9376, 4088.936
312.4197, 4096.900
312.9018, 4103.539
313.3839, 4100.760
313.8661, 4091.362
314.3482, 4082.610
314.8303, 4079.026
315.3124, 4077.533
315.7945, 4072.408
316.2766, 4063.129
316.7588, 4053.107
317.2409, 4040.914
317.7230, 4030.498
318.2051, 4029.424
318.6872, 4043.842
319.1693, 4058.485
319.6515, 4063.130
320.1336, 4058.580
320.6157, 4046.822
321.0978, 4025.109
321.5799, 4001.920
322.0620, 3991.942
322.5442, 3996.561
323.0263, 4001.321
323.5084, 4004.222
323.9905, 4004.134
324.4726, 3999.494
324.9547, 3990.020
325.4369, 3976.040
325.9190, 3954.872
326.4011, 3925.377
326.8832, 3913.059
327.3653, 3933.788
327.8474, 3956.374
328.3296, 3964.276
328.8117, 3959.318
329.2938, 3949.039
329.7759, 3937.026
330.2580, 3924.498
330.7401, 3917.395
331.2223, 3924.613
331.7044, 3926.187
332.1865, 3915.103
332.6686, 3899.628
333.1507, 3888.900
333.6328, 3885.615
334.1150, 3885.741
334.5971, 3883.974
335.0792, 3882.072
335.5613, 3873.031
336.0434, 3845.022
336.5255, 3821.131
337.0077, 3814.635
337.4898, 3823.525
337.9719, 3838.338
338.4540, 3853.764
338.9361, 3868.727
339.4182, 3872.998
339.9004, 3860.833
340.3825, 3845.752
340.8646, 3829.405
341.3467, 3813.617
341.8288, 3799.742
342.3109, 3787.646
342.7931, 3780.372
343.2752, 3785.498
343.7573, 3805.592
344.2394, 3819.948
344.7215, 3823.457
345.2036, 3819.044
345.6858, 3807.669
346.1679, 3789.600
346.6500, 3770.130
347.1321, 3750.862
347.6142, 3732.768
348.0963, 3717.950
348.5785, 3706.048
349.0606, 3699.198
349.5427, 3701.127
350.0248, 3709.766
350.5069, 3719.572
350.9890, 3737.048
351.4712, 3749.471
351.9533, 3741.651
352.4354, 3717.475
352.9175, 3697.514
353.3996, 3691.998
353.8817, 3696.021
354.3639, 3696.977
354.8460, 3693.205
355.3281, 3690.558
355.8102, 3692.512
356.2923, 3695.290
356.7744, 3694.378
357.2566, 3688.838
357.7387, 3680.578
358.2208, 3671.596
358.7029, 3661.836
359.1850, 3651.420
359.6671, 3638.202
360.1493, 3626.564
360.6314, 3616.888
361.1135, 3610.390
361.5956, 3610.297
362.0777, 3619.215
362.5598, 3633.509
363.0420, 3639.990
363.5241, 3636.147
364.0062, 3627.718
364.4883, 3612.382
364.9704, 3595.232
365.4525, 3579.349
365.9347, 3565.879
366.4168, 3555.965
366.8989, 3551.635
367.3810, 3553.132
367.8631, 3556.035
368.3452, 3563.381
368.8274, 3568.127
369.3095, 3565.416
369.7916, 3557.598
370.2737, 3550.524
370.7558, 3548.305
371.2379, 3547.260
371.7201, 3539.654
372.2022, 3524.507
372.6843, 3512.493
373.1664, 3509.930
373.6485, 3512.163
374.1306, 3511.230
374.6128, 3505.374
375.0949, 3501.876
375.5770, 3508.650
376.0591, 3519.772
376.5412, 3521.763
377.0233, 3510.976
377.5055, 3498.422
377.9876, 3497.787
378.4697, 3510.856
378.9518, 3508.949
379.4339, 3473.638
379.9160, 3439.543
380.3982, 3429.082
380.8803, 3437.315
381.3624, 3449.188
381.8445, 3457.227
382.3266, 3460.951
382.8087, 3458.753
383.2909, 3441.125
383.7730, 3430.080
384.2551, 3432.659
384.7372, 3437.648
385.2193, 3435.693
385.7014, 3425.522
386.1836, 3411.950
386.6657, 3399.108
387.1478, 3386.870
387.6299, 3378.812
388.1120, 3377.435
388.5941, 3377.627
389.0763, 3378.193
389.5584, 3379.052
390.0405, 3380.664
390.5226, 3383.805
391.0047, 3386.096
391.4868, 3382.794
391.9690, 3373.191
392.4511, 3365.006
392.9332, 3361.812
393.4153, 3359.418
393.8974, 3352.046
394.3795, 3339.777
394.8617, 3332.361
395.3438, 3339.364
395.8259, 3352.617
396.3080, 3358.691
396.7901, 3356.269
397.2722, 3349.418
397.7544, 3339.629
398.2365, 3327.613
398.7186, 3317.197
399.2007, 3307.455
399.6828, 3300.370
400.1649, 3295.775
400.6471, 3294.571
401.1292, 3300.422
401.6113, 3314.623
402.0934, 3329.456
402.5755, 3333.031
403.0576, 3320.015
403.5398, 3311.659
404.0219, 3311.398
404.5040, 3311.843
404.9861, 3309.828
405.4682, 3305.303
405.9503, 3299.177
406.4325, 3291.966
406.9146, 3283.723
407.3967, 3274.458
407.8788, 3262.813
408.3609, 3253.025
408.8430, 3246.471
409.3252, 3241.499
409.8073, 3237.973
410.2894, 3235.520
410.7715, 3231.049
411.2536, 3219.058
411.7357, 3201.874
412.2179, 3192.806
412.7000, 3195.325
413.1821, 3199.744
413.6642, 3199.743
414.1463, 3196.850
414.6284, 3193.796
415.1106, 3191.151
415.5927, 3188.377
416.0748, 3186.096
416.5569, 3183.493
417.0390, 3176.370
417.5211, 3161.879
418.0033, 3147.852
418.4854, 3147.630
418.9675, 3168.119
419.4496, 3178.628
419.9317, 3166.986
420.4138, 3154.166
420.8960, 3158.486
421.3781, 3175.092
421.8602, 3184.488
422.3423, 3173.082
422.8244, 3146.894
423.3065, 3132.387
423.7887, 3139.869
424.2708, 3143.189
424.7529, 3133.857
425.2350, 3123.505
425.7171, 3123.509
426.1992, 3134.423
426.6814, 3145.825
427.1635, 3148.508
427.6456, 3142.854
428.1277, 3132.259
428.6098, 3113.395
429.0919, 3096.033
429.5741, 3083.852
430.0562, 3076.569
430.5383, 3075.708
431.0204, 3085.594
431.5025, 3093.365
431.9846, 3081.583
432.4668, 3057.667
432.9489, 3052.221
433.4310, 3077.822
433.9131, 3107.257
434.3952, 3104.201
434.8773, 3063.984
435.3595, 3041.953
435.8416, 3056.734
436.3237, 3076.389
436.8058, 3081.931
437.2879, 3076.155
437.7701, 3069.037
438.2522, 3065.588
438.7343, 3064.487
439.2164, 3062.249
439.6985, 3056.538
440.1806, 3054.009
440.6628, 3061.988
441.1449, 3066.920
441.6270, 3058.294
442.1091, 3037.784
442.5912, 3014.332
443.0733, 2991.863
443.5555, 2972.868
444.0376, 2968.626
444.5197, 2983.673
445.0018, 3000.864
445.4839, 3020.885
445.9660, 3036.043
446.4482, 3035.707
446.9303, 3016.714
447.4124, 2997.068
447.8945, 2988.034
448.3766, 2986.089
448.8587, 2984.515
449.3409, 2982.483
449.8230, 2980.226
450.3051, 2978.909
450.7872, 2977.743
451.2693, 2970.559
451.7514, 2942.637
452.2336, 2926.177
452.7157, 2941.340
453.1978, 2970.901
453.6799, 2993.160
454.1620, 3001.198
454.6441, 2996.930
455.1263, 2980.907
455.6084, 2949.940
456.0905, 2925.432
456.5726, 2906.907
457.0547, 2896.132
457.5368, 2898.063
458.0190, 2907.229
458.5011, 2915.687
458.9832, 2920.362
459.4653, 2921.906
459.9474, 2919.701
460.4295, 2913.646
460.9117, 2911.299
461.3938, 2915.498
461.8759, 2921.970
462.3580, 2929.941
462.8401, 2938.096
463.3222, 2938.187
463.8044, 2913.992
464.2865, 2891.763
464.7686, 2903.379
465.2507, 2939.650
465.7328, 2962.351
466.2149, 2953.779
466.6971, 2926.946
467.1792, 2906.875
467.6613, 2896.865
468.1434, 2887.161
468.6255, 2870.419
469.1076, 2860.255
469.5898, 2870.138
470.0719, 2894.551
470.5540, 2917.756
471.0361, 2930.422
471.5182, 2933.836
472.0003, 2931.300
472.4825, 2921.533
472.9646, 2909.317
473.4467, 2890.061
473.9288, 2872.787
474.4109, 2865.255
474.8930, 2866.855
475.3752, 2868.260
475.8573, 2860.543
476.3394, 2850.656
476.8215, 2853.933
477.3036, 2870.833
477.7857, 2881.194
478.2679, 2872.109
478.7500, 2852.454
479.2321, 2843.735
479.7142, 2847.966
480.1963, 2855.810
480.6784, 2871.339
481.1606, 2885.819
481.6427, 2890.157
482.1248, 2884.770
482.6069, 2876.395
483.0890, 2869.628
483.5711, 2864.553
484.0533, 2861.404
484.5354, 2859.488
485.0175, 2860.923
485.4996, 2870.884
485.9817, 2880.469
486.4638, 2881.113
486.9460, 2872.755
487.4281, 2863.782
487.9102, 2860.733
488.3923, 2862.096
488.8744, 2863.384
489.3565, 2864.474
489.8387, 2866.180
490.3208, 2870.454
490.8029, 2874.695
491.2850, 2873.020
491.7671, 2862.227
492.2492, 2854.827
492.7314, 2855.915
493.2135, 2862.143
493.6956, 2872.381
494.1777, 2885.077
494.6598, 2893.546
495.1419, 2891.673
495.6241, 2881.868
496.1062, 2880.217
496.5883, 2901.153
497.0704, 2909.626
497.5525, 2889.635
498.0346, 2865.083
498.5168, 2856.684
498.9989, 2865.885
499.4810, 2879.267
499.9631, 2888.730
500.4452, 2893.437
500.9273, 2887.031
501.4095, 2865.383
501.8916, 2850.337
502.3737, 2855.084
502.8558, 2870.016
503.3379, 2879.619
503.8200, 2882.599
504.3022, 2884.469
504.7843, 2885.240
505.2664, 2887.135
505.7485, 2894.530
506.2306, 2906.650
506.7127, 2917.074
507.1949, 2921.934
507.6770, 2921.179
508.1591, 2914.267
508.6412, 2891.167
509.1233, 2876.740
509.6054, 2875.156
510.0876, 2880.004
510.5697, 2889.823
511.0518, 2902.306
511.5339, 2911.545
512.0161, 2911.839
512.4982, 2906.775
512.9803, 2906.212
513.4624, 2910.687
513.9445, 2916.728
514.4266, 2925.016
514.9088, 2932.636
515.3909, 2935.206
515.8730, 2932.258
516.3551, 2930.591
516.8372, 2934.199
517.3193, 2938.557
517.8015, 2941.220
518.2836, 2941.112
518.7657, 2933.864
519.2478, 2916.114
519.7299, 2894.670
520.2120, 2885.969
520.6942, 2895.759
521.1763, 2907.799
521.6584, 2929.784
522.1405, 2946.598
522.6226, 2946.651
523.1047, 2934.806
523.5869, 2924.382
524.0690, 2922.843
524.5511, 2925.080
525.0332, 2922.067
525.5153, 2913.852
525.9974, 2907.865
526.4796, 2905.078
526.9617, 2906.344
527.4438, 2915.336
527.9259, 2930.885
528.4080, 2942.022
528.8901, 2944.216
529.3723, 2944.574
529.8544, 2948.434
530.3365, 2953.299
530.8186, 2953.450
531.3007, 2947.039
531.7828, 2937.988
532.2650, 2930.707
532.7471, 2924.083
533.2292, 2926.356
533.7113, 2951.895
534.1934, 2969.749
534.6755, 2963.942
535.1577, 2947.561
535.6398, 2938.768
536.1219, 2943.140
536.6040, 2951.482
537.0861, 2956.506
537.5682, 2958.656
538.0504, 2958.620
538.5325, 2956.098
539.0146, 2954.348
539.4967, 2956.154
539.9788, 2960.620
540.4609, 2963.144
540.9431, 2957.862
541.4252, 2958.848
541.9073, 2975.226
542.3894, 2995.059
542.8715, 3006.730
543.3536, 3009.557
543.8358, 3010.026
544.3179, 3013.242
544.8000, 3018.349
545.2821, 3021.793
545.7642, 3023.843
546.2463, 3023.396
546.7285, 3014.778
547.2106, 3007.671
547.6926, 3011.596
548.1747, 3025.758
548.6569, 3038.062
549.1390, 3045.015
549.6211, 3046.175
550.1032, 3035.803
550.5853, 3017.762
551.0674, 3009.704
551.5496, 3019.649
552.0317, 3037.333
552.5138, 3045.683
552.9959, 3039.833
553.4780, 3041.289
553.9601, 3056.343
554.4423, 3070.883
554.9244, 3081.528
555.4065, 3087.225
555.8886, 3085.796
556.3707, 3076.263
556.8528, 3064.630
557.3350, 3055.801
557.8171, 3050.398
558.2992, 3055.219
558.7813, 3073.949
559.2634, 3093.394
559.7455, 3106.576
560.2277, 3113.376
560.7098, 3114.625
561.1919, 3107.084
561.6740, 3099.719
562.1561, 3095.341
562.6382, 3092.515
563.1204, 3088.162
563.6025, 3083.150
564.0846, 3083.524
564.5667, 3094.939
565.0488, 3112.987
565.5309, 3119.120
566.0131, 3106.516
566.4952, 3099.256
566.9773, 3106.536
567.4594, 3116.416
567.9415, 3121.875
568.4236, 3123.269
568.9058, 3124.022
569.3879, 3122.236
569.8700, 3123.452
570.3521, 3138.038
570.8342, 3160.952
571.3163, 3174.428
571.7985, 3172.666
572.2806, 3163.566
572.7627, 3155.790
573.2448, 3149.087
573.7269, 3145.961
574.2090, 3146.654
574.6912, 3150.398
575.1733, 3157.013
575.6554, 3166.576
576.1375, 3181.947
576.6196, 3202.694
577.1017, 3219.364
577.5839, 3220.448
578.0660, 3210.652
578.5481, 3204.404
579.0302, 3201.514
579.5123, 3206.869
579.9944, 3227.980
580.4766, 3254.021
580.9587, 3260.902
581.4408, 3242.293
581.9229, 3234.591
582.4050, 3253.948
582.8871, 3275.578
583.3693, 3284.313
583.8514, 3281.995
584.3335, 3273.078
584.8156, 3259.472
585.2977, 3248.594
585.7798, 3255.496
586.2620, 3282.457
586.7441, 3299.159
587.2262, 3297.267
587.7083, 3296.614
588.1904, 3317.777
588.6725, 3345.194
589.1547, 3350.431
589.6368, 3320.461
590.1189, 3292.954
590.6010, 3285.853
591.0831, 3291.484
591.5652, 3304.954
592.0474, 3322.915
592.5295, 3334.385
593.0116, 3331.168
593.4937, 3318.832
593.9758, 3313.972
594.4579, 3316.224
594.9401, 3326.891
595.4222, 3362.755
595.9043, 3391.731
596.3864, 3389.411
596.8685, 3367.403
597.3506, 3357.049
597.8328, 3375.406
598.3149, 3398.202
598.7970, 3397.015
599.2791, 3383.728
599.7612, 3397.163
600.2433, 3444.985
600.7255, 3481.150
601.2076, 3461.672
601.6897, 3396.080
602.1718, 3362.433
602.6539, 3389.613
603.1360, 3410.419
603.6182, 3415.900
604.1003, 3416.445
604.5824, 3418.556
605.0645, 3423.071
605.5466, 3429.259
606.0287, 3438.484
606.5109, 3446.771
606.9930, 3446.168
607.4751, 3438.033
607.9572, 3433.829
608.4393, 3437.212
608.9214, 3441.699
609.4036, 3439.527
609.8857, 3430.680
610.3678, 3430.590
610.8499, 3446.530
611.3320, 3461.106
611.8141, 3470.296
612.2963, 3476.240
612.7784, 3480.203
613.2605, 3482.960
613.7426, 3485.751
614.2247, 3488.263
614.7068, 3492.507
615.1890, 3508.222
615.6711, 3536.573
616.1532, 3547.678
616.6353, 3525.514
617.1174, 3496.386
617.5995, 3491.765
618.0817, 3512.262
618.5638, 3524.834
619.0459, 3520.920
619.5280, 3517.330
620.0101, 3523.820
620.4922, 3532.643
620.9744, 3531.003
621.4565, 3518.372
621.9386, 3508.934
622.4207, 3517.281
622.9028, 3538.238
623.3849, 3552.396
623.8671, 3559.809
624.3492, 3558.917
624.8313, 3542.800
625.3134, 3525.483
625.7955, 3527.664
626.2776, 3548.004
626.7598, 3559.578
627.2419, 3549.821
627.7240, 3540.055
628.2061, 3540.477
628.6882, 3547.907
629.1703, 3558.866
629.6525, 3571.655
630.1346, 3583.279
630.6167, 3590.953
631.0988, 3594.882
631.5809, 3596.151
632.0630, 3594.523
632.5452, 3590.971
633.0273, 3584.094
633.5094, 3577.006
633.9915, 3573.074
634.4736, 3572.167
634.9557, 3572.486
635.4379, 3574.168
635.9200, 3576.493
636.4021, 3578.244
636.8842, 3580.674
637.3663, 3586.539
637.8484, 3596.063
638.3306, 3605.939
638.8127, 3613.404
639.2948, 3618.240
639.7769, 3618.166
640.2590, 3611.475
640.7411, 3606.124
641.2233, 3606.746
641.7054, 3607.316
642.1875, 3599.293
642.6696, 3583.725
643.1517, 3574.482
643.6339, 3580.848
644.1160, 3587.363
644.5981, 3583.919
645.0802, 3575.772
645.5623, 3570.444
646.0444, 3569.842
646.5266, 3573.303
647.0087, 3582.622
647.4908, 3594.102
647.9729, 3584.958
648.4550, 3545.420
648.9371, 3526.417
649.4193, 3556.833
649.9014, 3594.972
650.3835, 3595.277
650.8656, 3564.094
651.3477, 3546.568
651.8298, 3563.950
652.3120, 3580.908
652.7941, 3576.532
653.2762, 3563.987
653.7583, 3562.981
654.2404, 3575.043
654.7225, 3585.740
655.2047, 3583.260
655.6868, 3570.743
656.1689, 3556.368
656.6510, 3538.399
657.1331, 3530.268
657.6152, 3539.985
658.0974, 3552.853
658.5795, 3556.957
659.0616, 3553.221
659.5437, 3544.699
660.0258, 3520.248
660.5079, 3505.226
660.9901, 3515.301
661.4722, 3534.561
661.9543, 3549.542
662.4364, 3557.009
662.9185, 3555.252
663.4006, 3541.386
663.8828, 3522.570
664.3649, 3515.746
664.8470, 3521.401
665.3291, 3522.435
665.8112, 3514.382
666.2933, 3505.713
666.7755, 3502.610
667.2576, 3504.135
667.7397, 3505.765
668.2218, 3509.418
668.7039, 3510.087
669.1860, 3508.454
669.6682, 3502.153
670.1503, 3485.899
670.6324, 3463.348
671.1145, 3443.788
671.5966, 3431.666
672.0787, 3424.820
672.5609, 3419.251
673.0430, 3415.730
673.5251, 3422.872
674.0072, 3444.346
674.4893, 3458.933
674.9714, 3450.971
675.4536, 3430.001
675.9357, 3421.433
676.4178, 3434.665
676.8999, 3439.621
677.3820, 3431.138
677.8641, 3418.700
678.3463, 3405.359
678.8284, 3392.171
679.3105, 3377.627
679.7926, 3361.299
680.2747, 3353.611
680.7568, 3377.080
681.2390, 3413.431
681.7211, 3411.363
682.2032, 3371.358
682.6853, 3341.884
683.1674, 3345.524
683.6495, 3364.074
684.1317, 3369.815
684.6138, 3360.916
685.0959, 3348.731
685.5780, 3323.372
686.0601, 3306.524
686.5422, 3309.084
687.0244, 3319.255
687.5065, 3325.903
687.9886, 3327.292
688.4707, 3325.667
688.9528, 3325.094
689.4349, 3320.038
689.9171, 3295.216
690.3992, 3260.676
690.8813, 3249.444
691.3634, 3270.021
691.8455, 3298.062
692.3276, 3309.722
692.8098, 3306.404
693.2919, 3300.222
693.7740, 3292.547
694.2561, 3278.762
694.7382, 3249.613
695.2203, 3221.603
695.7025, 3206.775
696.1846, 3202.718
696.6667, 3199.369
697.1488, 3189.879
697.6309, 3187.135
698.1130, 3206.213
698.5952, 3231.264
699.0773, 3242.001
699.5594, 3237.902
700.0415, 3229.569
700.5236, 3223.213
701.0057, 3218.026
701.4879, 3211.635
701.9700, 3203.777
702.4521, 3201.105
702.9342, 3207.564
703.4163, 3210.163
703.8984, 3196.313
704.3806, 3175.341
704.8627, 3171.124
705.3448, 3192.047
705.8269, 3204.417
706.3090, 3192.598
706.7911, 3182.066
