##NAMES=Sahamalite-(Ce)
##RRUFFID=R080043
##IDEAL CHEMISTRY=Ce_2_Mg(CO_3_)_4_
##LOCALITY=Mountain Pass Mine (Sulfide Queen mine; Bastnaesite deposit; Mountain Pass carbonatite), Ivanpah, Mountain Pass District, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dull white, semitransparent flat crystal associated with dolomite.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080043
340.4614, 59.55468
340.9435, 59.44206
341.4256, 58.84861
341.9077, 57.82280
342.3898, 56.96736
342.8719, 56.44781
343.3541, 55.91133
343.8362, 55.22057
344.3183, 54.48661
344.8004, 53.86428
345.2825, 53.43098
345.7646, 53.13853
346.2468, 52.85670
346.7289, 52.52765
347.2110, 52.32887
347.6931, 52.46513
348.1752, 52.60661
348.6573, 52.44210
349.1395, 51.91062
349.6216, 51.25401
350.1037, 50.79634
350.5858, 50.59779
351.0679, 50.37016
351.5500, 50.00619
352.0322, 49.69169
352.5143, 49.56015
352.9964, 49.57450
353.4785, 49.57542
353.9606, 49.42200
354.4427, 49.12266
354.9249, 48.84623
355.4070, 48.58912
355.8891, 48.36488
356.3712, 48.15645
356.8533, 47.98410
357.3354, 47.89115
357.8176, 47.91900
358.2997, 48.00396
358.7818, 47.98757
359.2639, 47.84005
359.7460, 47.66184
360.2281, 47.43665
360.7103, 47.21952
361.1924, 47.06815
361.6745, 46.99818
362.1566, 46.95022
362.6387, 46.83146
363.1208, 46.62753
363.6030, 46.51956
364.0851, 46.64354
364.5672, 46.77542
365.0493, 46.77273
365.5314, 46.64273
366.0135, 46.47106
366.4957, 46.29199
366.9778, 46.11507
367.4599, 45.98779
367.9420, 45.93158
368.4241, 45.88935
368.9063, 45.84533
369.3884, 45.78992
369.8705, 45.69336
370.3526, 45.49079
370.8347, 45.29844
371.3168, 45.33870
371.7990, 45.65080
372.2811, 45.87706
372.7632, 45.81339
373.2453, 45.60992
373.7274, 45.43958
374.2095, 45.32061
374.6917, 45.22491
375.1738, 45.12130
375.6559, 45.01957
376.1380, 44.98479
376.6201, 45.08312
377.1022, 45.16607
377.5844, 45.05135
378.0665, 44.76252
378.5486, 44.47677
379.0307, 44.22398
379.5128, 44.02626
379.9949, 43.94995
380.4771, 44.01312
380.9592, 44.05859
381.4413, 43.95041
381.9234, 43.72927
382.4055, 43.55921
382.8876, 43.47860
383.3698, 43.42387
