##NAMES=Chondrodite
##RRUFFID=R110158
##IDEAL CHEMISTRY=Mg_5_(SiO_4_)_2_F_2_
##LOCALITY=Pein Pyit, Mogok, Mandalay Division, Burma
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Orange bleb enclosed in calcite, associated with red spinel
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110158
475.7034, 71499.86
476.1855, 71495.88
476.6676, 71567.01
477.1497, 71652.66
477.6319, 71662.78
478.1140, 71617.89
478.5961, 71583.20
479.0782, 71593.16
479.5603, 71625.00
480.0424, 71659.50
480.5246, 71695.36
481.0067, 71721.02
481.4888, 71713.88
481.9709, 71701.15
482.4530, 71710.10
482.9352, 71757.34
483.4173, 71796.11
483.8994, 71797.05
484.3815, 71779.30
484.8636, 71772.34
485.3457, 71789.70
485.8279, 71810.45
486.3100, 71833.57
486.7921, 71859.13
487.2742, 71870.97
487.7563, 71853.23
488.2384, 71840.27
488.7206, 71855.76
489.2027, 71921.52
489.6848, 71957.07
490.1669, 71947.80
490.6490, 71924.45
491.1311, 71941.48
491.6133, 72006.09
492.0954, 72059.20
492.5775, 72075.57
493.0596, 72067.68
493.5417, 72084.58
494.0238, 72125.52
494.5060, 72172.83
494.9881, 72220.14
495.4702, 72261.45
495.9523, 72281.51
496.4344, 72274.23
496.9165, 72258.52
497.3987, 72248.85
497.8808, 72244.52
498.3629, 72244.98
498.8450, 72255.14
499.3271, 72266.25
499.8092, 72276.84
500.2914, 72285.98
500.7735, 72285.85
501.2556, 72270.07
501.7377, 72248.73
502.2198, 72227.36
502.7019, 72205.17
503.1841, 72189.52
503.6662, 72186.91
504.1483, 72190.26
504.6304, 72190.66
505.1125, 72180.96
505.5946, 72179.99
506.0768, 72191.73
506.5589, 72213.89
507.0410, 72240.28
507.5231, 72275.84
508.0052, 72299.17
508.4873, 72287.32
508.9695, 72239.35
509.4516, 72231.54
509.9337, 72270.05
510.4158, 72321.43
510.8979, 72350.23
511.3800, 72359.16
511.8622, 72359.92
512.3443, 72355.13
512.8264, 72344.20
513.3085, 72319.26
513.7906, 72285.86
514.2728, 72263.36
514.7549, 72283.41
515.2370, 72306.72
515.7191, 72292.66
516.2012, 72236.59
516.6833, 72189.90
517.1655, 72181.13
517.6476, 72190.58
518.1297, 72201.58
518.6118, 72209.95
519.0939, 72221.41
519.5760, 72242.59
520.0582, 72267.27
520.5403, 72279.91
521.0224, 72257.55
521.5045, 72254.53
521.9866, 72288.55
522.4688, 72359.37
522.9509, 72432.41
523.4330, 72512.77
523.9151, 72582.24
524.3972, 72620.40
524.8793, 72625.64
525.3615, 72638.87
525.8436, 72662.11
526.3257, 72696.40
526.8078, 72759.10
527.2899, 72839.78
527.7720, 72887.07
528.2542, 72858.61
528.7363, 72802.17
529.2184, 72782.95
529.7005, 72795.22
530.1826, 72806.70
530.6647, 72785.01
531.1469, 72762.63
531.6290, 72774.97
532.1111, 72837.45
532.5932, 72886.48
533.0753, 72884.04
533.5574, 72862.77
534.0396, 72856.52
534.5217, 72893.76
535.0038, 72921.39
535.4859, 72922.95
535.9680, 72909.97
536.4501, 72918.23
536.9323, 72956.72
537.4144, 73001.80
537.8965, 73046.78
538.3786, 73091.37
538.8607, 73124.75
539.3428, 73141.29
539.8250, 73160.64
540.3071, 73203.50
540.7892, 73266.47
541.2713, 73326.58
541.7534, 73378.84
542.2355, 73429.09
542.7177, 73484.20
543.1998, 73544.22
543.6819, 73607.92
544.1640, 73689.08
544.6461, 73763.05
545.1282, 73793.85
545.6104, 73790.11
546.0925, 73805.26
546.5746, 73889.65
547.0567, 73986.75
547.5388, 74065.09
548.0209, 74125.60
548.5031, 74147.27
548.9852, 74089.63
549.4673, 74008.07
549.9494, 73963.71
550.4315, 74017.32
550.9136, 74011.12
551.3958, 73903.55
551.8779, 73730.60
552.3600, 73602.27
552.8421, 73525.22
553.3242, 73465.98
553.8063, 73419.03
554.2885, 73380.70
554.7706, 73313.96
555.2527, 73215.99
555.7348, 73122.70
556.2169, 73072.12
556.6990, 73051.02
557.1812, 73021.98
557.6633, 72977.03
558.1454, 72934.38
558.6275, 72913.47
559.1096, 72907.55
559.5917, 72903.84
560.0739, 72887.74
560.5560, 72882.34
561.0381, 72911.11
561.5202, 72963.97
562.0023, 72997.66
562.4844, 72988.61
562.9666, 72967.78
563.4487, 72942.63
563.9308, 72906.96
564.4129, 72897.88
564.8950, 72929.98
565.3771, 72971.63
565.8593, 72995.22
566.3414, 72994.45
566.8235, 73002.49
567.3056, 73026.36
567.7877, 73054.66
568.2698, 73066.76
568.7520, 73063.70
569.2341, 73055.92
569.7162, 73043.61
570.1983, 73033.16
570.6804, 73042.79
571.1625, 73069.59
571.6447, 73088.13
572.1268, 73058.96
572.6089, 73028.07
573.0910, 73047.42
573.5731, 73129.59
574.0552, 73212.21
574.5374, 73265.67
575.0195, 73307.20
575.5016, 73352.87
575.9837, 73392.48
576.4658, 73450.23
576.9479, 73546.95
577.4301, 73656.43
577.9122, 73724.73
578.3943, 73721.73
578.8764, 73734.48
579.3585, 73792.58
579.8406, 73886.30
580.3228, 73956.83
580.8049, 74004.30
581.2870, 74025.88
581.7691, 74010.55
582.2512, 73967.52
582.7333, 73940.13
583.2155, 73935.51
583.6975, 73911.95
584.1796, 73795.59
584.6617, 73642.85
585.1439, 73548.72
585.6260, 73561.48
586.1081, 73600.71
586.5902, 73647.78
587.0723, 73683.73
587.5544, 73671.63
588.0366, 73537.39
588.5187, 73416.38
589.0008, 73353.08
589.4829, 73345.48
589.9650, 73344.13
590.4471, 73354.02
590.9293, 73359.24
591.4114, 73346.09
591.8935, 73307.02
592.3756, 73303.52
