##NAMES=Chrysoberyl
##RRUFFID=X080002
##IDEAL CHEMISTRY=BeAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted purple alexandrite gemstone, 7.35 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080002
262.5241, 608.7372
263.0063, 609.7591
263.4884, 609.7145
263.9705, 608.6989
264.4526, 607.5140
264.9347, 606.3751
265.4168, 605.4103
265.8990, 604.8436
266.3811, 604.8577
266.8632, 604.8711
267.3453, 604.4618
267.8274, 603.6713
268.3095, 602.7673
268.7917, 601.6950
269.2738, 600.7087
269.7559, 600.1759
270.2380, 600.1885
270.7201, 600.2002
271.2022, 599.7103
271.6844, 598.8219
272.1665, 598.2879
272.6486, 598.6747
273.1307, 599.0598
273.6128, 598.4338
274.0949, 596.8024
274.5771, 595.1906
275.0592, 594.3322
275.5413, 594.0995
276.0234, 593.6984
276.5055, 592.6638
276.9876, 591.9329
277.4698, 592.5997
277.9519, 594.3305
278.4340, 595.4520
278.9161, 594.4752
279.3982, 591.9219
279.8803, 590.1229
280.3625, 589.3763
280.8446, 589.1995
281.3267, 589.5911
281.8088, 590.2678
282.2909, 590.5563
282.7730, 590.0057
283.2552, 588.7898
283.7373, 587.3643
284.2194, 585.3608
284.7015, 583.8753
285.1836, 583.5827
285.6658, 584.0176
286.1479, 584.5879
286.6300, 585.2299
287.1121, 585.6406
287.5942, 584.9492
288.0764, 582.5817
288.5585, 580.4590
289.0406, 579.3552
289.5227, 578.8065
290.0048, 578.4123
290.4869, 578.0531
290.9691, 577.7021
291.4512, 577.3064
291.9333, 576.8559
292.4154, 576.4088
292.8975, 576.3687
293.3796, 576.1248
293.8618, 574.9651
294.3439, 572.7141
294.8260, 570.3094
295.3081, 569.0206
295.7902, 569.0653
296.2723, 569.1990
296.7545, 569.5170
297.2366, 569.6554
297.7187, 569.3956
298.2008, 568.7164
298.6829, 567.7219
299.1650, 566.3060
299.6472, 564.3448
300.1293, 563.0740
300.6114, 563.4344
301.0935, 563.7455
301.5756, 563.2396
302.0577, 562.0106
302.5399, 560.5654
303.0220, 559.2885
303.5041, 558.1738
303.9862, 556.9905
304.4683, 555.4666
304.9504, 554.2197
305.4326, 553.5348
305.9147, 553.2694
306.3968, 553.1806
306.8789, 553.1828
307.3610, 553.2172
307.8431, 553.0231
308.3253, 552.5663
308.8074, 551.9108
309.2895, 551.1849
309.7716, 550.2694
310.2537, 548.8622
310.7358, 546.7339
311.2180, 544.4786
311.7001, 543.5499
312.1822, 544.6436
312.6643, 545.5241
313.1464, 545.8057
313.6285, 545.7001
314.1107, 545.2260
314.5928, 544.4121
315.0749, 543.5928
315.5570, 543.3139
316.0391, 543.7648
316.5212, 544.0582
317.0034, 544.2911
317.4855, 544.2015
317.9676, 543.5309
318.4497, 542.3154
318.9318, 540.8826
319.4139, 539.5895
319.8961, 538.4829
320.3782, 537.0811
320.8603, 534.4113
321.3424, 532.4138
321.8245, 532.3259
322.3066, 533.5626
322.7888, 534.6190
323.2709, 534.3025
323.7530, 532.8392
324.2351, 531.9048
324.7172, 531.6630
325.1993, 531.7803
325.6815, 532.7221
326.1636, 533.7656
326.6457, 533.8099
327.1278, 532.1775
327.6099, 529.6027
328.0920, 527.8817
328.5742, 527.3796
329.0563, 526.9662
329.5384, 526.2005
330.0205, 525.4857
330.5026, 525.2423
330.9847, 525.5870
331.4669, 526.1559
331.9490, 526.3913
332.4311, 526.1605
332.9132, 526.1861
333.3953, 527.4153
333.8774, 528.3036
334.3596, 527.7141
334.8417, 525.7288
335.3238, 523.5296
335.8059, 522.0998
336.2880, 521.4393
336.7701, 521.3008
337.2523, 522.1295
337.7344, 523.0068
338.2165, 523.6479
338.6986, 524.0146
339.1807, 524.0504
339.6628, 523.5926
340.1450, 522.8077
340.6271, 522.3735
341.1092, 522.5643
341.5913, 522.5682
342.0735, 521.6184
342.5556, 520.4792
343.0377, 520.1761
343.5198, 521.2172
344.0019, 522.8520
344.4840, 523.9338
344.9662, 524.4186
345.4483, 524.5809
345.9304, 523.8358
346.4125, 523.1908
346.8946, 523.4395
347.3767, 524.7045
347.8589, 526.4079
348.3410, 527.8796
348.8231, 529.1476
349.3052, 531.2540
349.7873, 535.5646
350.2694, 539.3209
350.7516, 540.6613
351.2337, 539.8678
351.7158, 538.2352
352.1979, 535.9582
352.6800, 533.3918
353.1621, 531.7028
353.6443, 530.9520
354.1264, 531.0167
354.6085, 532.7090
355.0906, 534.9830
355.5727, 536.1234
356.0548, 535.3855
356.5370, 533.5028
357.0191, 531.4205
357.5012, 529.1850
357.9833, 526.3675
358.4654, 522.1462
358.9475, 517.6385
359.4297, 514.0598
359.9118, 511.4793
360.3939, 509.9471
360.8760, 510.0330
361.3581, 511.3949
361.8402, 512.3376
362.3224, 512.5621
362.8045, 512.0781
363.2866, 510.5379
363.7687, 508.0829
364.2508, 506.1909
364.7329, 506.0142
365.2151, 506.5830
365.6972, 506.0842
366.1793, 504.1819
366.6614, 502.3115
367.1435, 501.4272
367.6256, 501.4526
368.1078, 502.1444
368.5899, 503.9229
369.0720, 505.9974
369.5541, 507.9951
370.0362, 509.8460
370.5183, 511.0151
371.0005, 511.1810
371.4826, 510.5409
371.9647, 509.6557
372.4468, 508.7021
372.9289, 507.1499
373.4110, 504.5803
373.8932, 501.3076
374.3753, 497.7071
374.8574, 493.7640
375.3395, 490.2165
375.8216, 488.2278
376.3037, 487.9959
376.7859, 487.5415
377.2680, 486.4100
377.7501, 485.1654
378.2322, 484.4034
378.7143, 484.0914
379.1964, 483.5795
379.6786, 482.2289
380.1607, 480.2002
380.6428, 479.2338
381.1249, 480.2918
381.6070, 481.1911
382.0891, 480.9079
382.5713, 479.9542
383.0534, 479.4753
383.5355, 480.0165
384.0176, 480.8720
384.4997, 480.4633
384.9818, 477.2447
385.4640, 475.2929
385.9461, 475.4603
386.4282, 476.4589
386.9103, 477.6649
387.3924, 478.7473
387.8745, 478.9246
388.3567, 477.1080
388.8388, 472.7728
389.3209, 470.3159
389.8030, 470.8257
390.2851, 471.7566
390.7672, 472.3513
391.2494, 472.6104
391.7315, 472.6591
392.2136, 472.5386
392.6957, 472.3912
393.1778, 472.7997
393.6599, 474.4567
394.1421, 475.6910
394.6242, 476.5856
395.1063, 476.9000
395.5884, 476.1109
396.0706, 474.2154
396.5527, 472.1221
397.0348, 471.0551
397.5169, 471.2690
397.9990, 471.5128
398.4811, 472.1815
398.9633, 472.5074
399.4454, 472.0431
399.9275, 470.9599
400.4096, 469.6926
400.8917, 468.4523
401.3738, 467.3094
401.8560, 466.6027
402.3381, 466.5390
402.8202, 466.5391
403.3023, 466.4055
403.7844, 466.2514
404.2665, 466.2074
404.7487, 466.3187
405.2308, 466.4809
405.7129, 466.5373
406.1950, 466.4776
406.6771, 466.5698
407.1592, 467.1970
407.6414, 467.6255
408.1235, 467.2308
408.6056, 466.1280
409.0877, 464.9914
409.5698, 463.9598
410.0519, 463.2027
410.5341, 463.2464
411.0162, 464.2764
411.4983, 465.4330
