##NAMES=Benjaminite
##RRUFFID=R070399
##IDEAL CHEMISTRY=Ag_3_Bi_7_S_12_
##LOCALITY=Outlaw Mine, Round Mountain District, Nye County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black polished crystals embedded in epoxy, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070399
273.3683, 192.1660
273.8504, 193.0655
274.3325, 191.4291
274.8146, 184.5777
275.2968, 179.6139
275.7789, 184.2838
276.2610, 195.7511
276.7431, 201.7695
277.2252, 196.4263
277.7073, 185.7888
278.1895, 179.9184
278.6716, 179.3114
279.1537, 179.6595
279.6358, 179.7084
280.1179, 179.6581
280.6000, 180.1593
281.0822, 181.5227
281.5643, 182.3650
282.0464, 180.1028
282.5285, 174.2386
283.0106, 171.8122
283.4927, 177.1144
283.9749, 183.9763
284.4570, 186.4856
284.9391, 184.3524
285.4212, 181.3776
285.9033, 180.6093
286.3854, 182.0337
286.8676, 182.7323
287.3497, 182.0217
287.8318, 181.3189
288.3139, 181.6626
288.7960, 182.6094
289.2781, 182.9569
289.7603, 182.0412
290.2424, 180.0259
290.7245, 177.5679
291.2066, 172.1990
291.6887, 169.4236
292.1708, 173.0465
292.6530, 178.6617
293.1351, 180.4031
293.6172, 176.2593
294.0993, 169.0967
294.5814, 163.8790
295.0635, 160.8173
295.5457, 159.6462
296.0278, 161.3561
296.5099, 164.0865
296.9920, 167.5910
297.4741, 171.2238
297.9562, 172.9583
298.4384, 170.2427
298.9205, 162.0964
299.4026, 156.2915
299.8847, 153.7517
300.3668, 152.5428
300.8489, 151.9065
301.3311, 152.1019
301.8131, 154.1814
302.2953, 159.3019
302.7774, 166.3646
303.2595, 169.6437
303.7416, 167.1417
304.2237, 163.4744
304.7058, 158.1279
305.1880, 152.8850
305.6701, 149.8094
306.1522, 149.7025
306.6343, 151.2164
307.1164, 152.7106
307.5985, 154.8369
308.0807, 154.4651
308.5628, 148.3276
309.0449, 141.3543
309.5270, 135.8204
310.0091, 132.1475
310.4912, 130.6348
310.9734, 133.3468
311.4555, 139.5991
311.9376, 141.0785
312.4197, 133.4602
312.9018, 126.4418
313.3839, 127.4292
313.8661, 133.7662
314.3482, 138.5630
314.8303, 138.6948
315.3124, 135.4066
315.7945, 129.2799
316.2766, 119.2301
316.7588, 112.8693
317.2409, 117.4096
317.7230, 127.3843
318.2051, 133.8680
318.6872, 135.4527
319.1693, 134.0139
319.6515, 128.8295
320.1336, 121.1099
320.6157, 116.3920
321.0978, 117.0601
321.5799, 120.7874
322.0620, 124.4821
322.5442, 128.4417
323.0263, 130.9183
323.5084, 130.6784
323.9905, 129.0025
324.4726, 127.4140
324.9547, 126.1656
325.4369, 125.0499
325.9190, 123.7823
326.4011, 122.3330
326.8832, 121.6058
327.3653, 121.5766
327.8474, 122.2475
328.3296, 124.6348
328.8117, 127.8696
329.2938, 129.2366
329.7759, 126.8582
330.2580, 121.8989
330.7401, 119.7226
331.2223, 123.4451
331.7044, 126.0954
332.1865, 126.8012
332.6686, 126.1639
333.1507, 123.9228
333.6328, 120.2859
334.1150, 117.5316
334.5971, 119.7182
335.0792, 130.3291
335.5613, 136.3050
336.0434, 135.3628
336.5255, 132.4125
337.0077, 128.3916
337.4898, 124.3609
337.9719, 122.5475
338.4540, 125.8824
338.9361, 133.2020
339.4182, 133.2358
339.9004, 118.1768
340.3825, 107.4413
340.8646, 109.0081
341.3467, 116.7595
341.8288, 123.4591
342.3109, 126.6208
342.7931, 126.8519
343.2752, 124.1449
343.7573, 117.8967
344.2394, 112.8901
344.7215, 109.2656
345.2036, 108.2977
345.6858, 112.6152
346.1679, 122.0691
346.6500, 129.5487
347.1321, 128.6197
347.6142, 122.3255
348.0963, 119.7174
348.5785, 122.9039
349.0606, 125.8994
349.5427, 122.1267
350.0248, 114.1390
350.5069, 109.6852
350.9890, 114.8259
351.4712, 120.2428
351.9533, 116.3166
352.4354, 104.9852
352.9175, 96.62498
353.3996, 96.44884
