##NAMES=Gehlenite
##RRUFFID=R060841
##IDEAL CHEMISTRY=Ca_2_Al(SiAl)O_7_
##LOCALITY=Monzoni, Tyrol, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown rectangular prism
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060841
##MEASURED CHEMISTRY=(Ca_1.92_Na_0.07_K_0.01_)_Σ=2_(Al_0.62_Mg_0.25_Fe^2+^_0.13_)_Σ=1_(Si_1.46_Al_0.54_)O_7_ ; = lighter phase, and the darker phase is calcite
245.9135, 3678.292
246.3957, 3677.883
246.8778, 3672.552
247.3599, 3662.096
247.8420, 3648.004
248.3241, 3637.229
248.8062, 3636.868
249.2884, 3646.507
249.7705, 3641.938
250.2526, 3604.988
250.7347, 3573.542
251.2168, 3569.106
251.6989, 3584.635
252.1811, 3600.629
252.6632, 3605.549
253.1453, 3599.966
253.6274, 3587.499
254.1095, 3552.271
254.5916, 3528.746
255.0738, 3533.930
255.5559, 3555.327
256.0380, 3572.168
256.5201, 3574.042
257.0022, 3565.429
257.4843, 3560.685
257.9665, 3572.017
258.4486, 3572.547
258.9307, 3550.944
259.4128, 3521.613
259.8949, 3501.196
260.3770, 3495.658
260.8592, 3497.813
261.3413, 3493.444
261.8234, 3475.439
262.3055, 3462.030
262.7876, 3459.270
263.2697, 3456.912
263.7519, 3444.665
264.2340, 3421.572
264.7161, 3396.948
265.1982, 3384.525
265.6803, 3391.282
266.1624, 3390.257
266.6446, 3377.918
267.1267, 3361.903
267.6088, 3343.625
268.0909, 3324.698
268.5730, 3308.813
269.0551, 3300.744
269.5373, 3301.687
270.0194, 3297.604
270.5015, 3276.586
270.9836, 3261.491
271.4657, 3262.708
271.9478, 3275.965
272.4300, 3291.363
272.9121, 3304.420
273.3942, 3313.690
273.8763, 3308.278
274.3584, 3272.964
274.8405, 3244.429
275.3227, 3234.124
275.8048, 3237.084
276.2869, 3246.963
276.7690, 3261.911
277.2511, 3279.963
277.7332, 3296.804
278.2154, 3311.915
278.6975, 3327.022
279.1796, 3350.744
279.6617, 3370.992
280.1438, 3372.521
280.6259, 3348.242
281.1081, 3318.571
281.5902, 3311.201
282.0723, 3328.569
282.5544, 3337.351
283.0365, 3317.075
283.5186, 3293.547
284.0008, 3290.875
284.4829, 3311.865
284.9650, 3336.727
285.4471, 3349.087
285.9292, 3352.202
286.4113, 3363.639
286.8935, 3389.991
287.3756, 3420.112
287.8577, 3445.959
288.3398, 3467.511
288.8219, 3480.912
289.3040, 3475.196
289.7862, 3463.084
290.2683, 3469.023
290.7504, 3498.500
291.2325, 3530.027
291.7146, 3542.389
292.1967, 3540.010
292.6789, 3546.747
293.1610, 3574.497
293.6431, 3606.420
294.1252, 3628.283
294.6073, 3640.341
295.0894, 3649.144
295.5716, 3656.757
296.0537, 3664.811
296.5358, 3680.230
297.0179, 3706.066
297.5000, 3735.151
297.9821, 3769.007
298.4643, 3803.642
298.9464, 3828.567
299.4285, 3837.431
299.9106, 3838.981
300.3927, 3855.735
300.8748, 3902.573
301.3570, 3940.796
301.8391, 3963.064
302.3212, 3976.471
302.8033, 3988.632
303.2854, 4001.515
303.7675, 4011.790
304.2497, 4014.729
304.7318, 4007.636
305.2139, 4000.063
305.6960, 3994.289
306.1781, 3986.321
306.6602, 3970.674
307.1424, 3949.538
307.6245, 3932.321
308.1066, 3929.782
308.5887, 3943.072
309.0708, 3937.148
309.5529, 3892.388
310.0351, 3847.417
310.5172, 3814.990
310.9993, 3788.698
311.4814, 3755.882
311.9635, 3708.382
312.4456, 3652.126
312.9278, 3604.731
313.4099, 3565.606
313.8920, 3538.033
314.3741, 3537.685
314.8562, 3539.945
315.3383, 3517.117
315.8205, 3460.182
316.3026, 3395.706
316.7847, 3363.097
317.2668, 3368.375
317.7489, 3355.744
318.2310, 3293.610
318.7132, 3228.406
319.1953, 3195.060
319.6774, 3193.700
320.1595, 3195.613
320.6416, 3180.302
321.1237, 3152.426
321.6059, 3129.312
322.0880, 3113.223
322.5701, 3099.857
323.0522, 3084.448
323.5343, 3068.568
324.0164, 3057.592
324.4986, 3063.584
324.9807, 3068.952
325.4628, 3049.114
325.9449, 3004.211
326.4270, 2960.135
326.9091, 2929.527
327.3913, 2911.988
327.8734, 2902.554
328.3555, 2906.799
328.8376, 2911.618
329.3197, 2912.928
329.8018, 2910.481
330.2840, 2903.042
330.7661, 2889.732
331.2482, 2873.131
331.7303, 2858.026
332.2124, 2847.212
332.6945, 2831.729
333.1767, 2804.968
333.6588, 2777.055
334.1409, 2756.199
334.6230, 2743.829
335.1051, 2737.734
335.5873, 2736.893
336.0694, 2743.312
336.5515, 2740.697
337.0336, 2719.295
337.5157, 2700.071
337.9979, 2693.151
338.4800, 2694.327
338.9621, 2693.905
339.4442, 2685.951
339.9263, 2671.765
340.4084, 2656.154
340.8906, 2633.750
341.3727, 2618.779
341.8548, 2616.706
342.3369, 2620.539
342.8190, 2625.145
343.3011, 2628.875
343.7833, 2629.602
344.2654, 2623.492
344.7475, 2609.554
345.2296, 2596.034
345.7117, 2580.216
346.1938, 2568.863
346.6760, 2569.989
347.1581, 2581.297
347.6402, 2588.745
348.1223, 2580.185
348.6044, 2561.506
349.0865, 2548.876
349.5687, 2543.812
350.0508, 2541.681
350.5329, 2540.786
351.0150, 2540.530
351.4971, 2539.792
351.9792, 2541.771
352.4614, 2539.855
352.9435, 2522.455
353.4256, 2494.091
353.9077, 2478.237
354.3898, 2488.446
354.8719, 2512.516
355.3541, 2522.886
355.8362, 2517.651
356.3183, 2507.729
356.8004, 2491.469
357.2825, 2473.644
357.7646, 2458.788
358.2468, 2448.043
358.7289, 2443.099
359.2110, 2447.288
359.6931, 2464.143
360.1752, 2470.343
360.6573, 2463.837
361.1395, 2450.604
361.6216, 2427.091
362.1037, 2399.014
362.5858, 2377.509
363.0679, 2369.613
363.5500, 2373.224
364.0322, 2380.731
364.5143, 2401.620
364.9964, 2411.022
365.4785, 2399.502
365.9606, 2379.614
366.4427, 2360.671
366.9249, 2345.534
367.4070, 2335.538
367.8891, 2334.708
368.3712, 2343.972
368.8533, 2348.448
369.3354, 2342.177
369.8176, 2335.803
370.2997, 2337.322
370.7818, 2344.718
371.2639, 2350.157
371.7460, 2350.173
372.2281, 2345.540
372.7103, 2334.892
373.1924, 2316.769
373.6745, 2304.470
374.1566, 2311.040
374.6387, 2326.755
375.1208, 2328.289
375.6030, 2306.155
376.0851, 2283.612
376.5672, 2274.866
377.0493, 2274.496
377.5314, 2269.794
378.0135, 2256.324
378.4957, 2240.585
378.9778, 2231.892
379.4599, 2232.839
379.9420, 2234.224
380.4241, 2237.465
380.9063, 2239.950
381.3884, 2238.974
381.8705, 2235.258
382.3526, 2232.311
382.8347, 2233.209
383.3168, 2237.159
383.7990, 2236.283
384.2811, 2221.019
384.7632, 2212.424
385.2453, 2219.931
385.7274, 2232.792
386.2095, 2239.050
386.6917, 2234.696
387.1738, 2224.629
387.6559, 2214.752
388.1380, 2204.490
388.6201, 2197.726
389.1022, 2199.760
389.5844, 2200.725
390.0665, 2192.548
390.5486, 2177.538
391.0307, 2165.866
391.5128, 2161.331
391.9949, 2164.427
392.4771, 2178.552
392.9592, 2205.300
393.4413, 2232.792
393.9234, 2260.290
394.4055, 2281.636
394.8876, 2283.635
395.3698, 2251.889
395.8519, 2225.375
396.3340, 2229.311
396.8161, 2252.107
397.2982, 2273.514
397.7803, 2288.715
398.2625, 2292.909
398.7446, 2276.956
399.2267, 2230.961
399.7088, 2202.287
400.1909, 2198.234
400.6730, 2204.069
401.1552, 2215.909
401.6373, 2230.647
402.1194, 2243.693
402.6015, 2252.297
403.0836, 2256.354
403.5657, 2254.804
404.0479, 2242.094
404.5300, 2232.406
405.0121, 2223.832
405.4942, 2220.949
405.9763, 2230.495
406.4584, 2252.843
406.9406, 2277.225
407.4227, 2294.050
407.9048, 2303.357
408.3869, 2303.673
408.8690, 2286.207
409.3511, 2273.509
409.8333, 2285.344
410.3154, 2311.865
410.7975, 2330.344
411.2796, 2326.851
411.7617, 2318.391
412.2438, 2324.833
412.7260, 2344.132
413.2081, 2358.825
413.6902, 2358.811
414.1723, 2354.586
414.6544, 2370.000
415.1365, 2413.242
415.6187, 2445.099
416.1008, 2448.758
416.5829, 2443.586
417.0650, 2448.457
417.5471, 2464.877
418.0292, 2483.261
418.5114, 2495.607
418.9935, 2502.124
419.4756, 2509.123
419.9577, 2513.409
420.4398, 2522.077
420.9219, 2543.383
421.4041, 2566.956
421.8862, 2578.842
422.3683, 2574.559
422.8504, 2564.723
423.3325, 2563.832
423.8146, 2572.536
424.2968, 2585.565
424.7789, 2606.406
425.2610, 2627.350
425.7431, 2644.559
426.2252, 2658.278
426.7073, 2669.522
427.1895, 2677.985
427.6716, 2684.743
428.1537, 2692.724
428.6358, 2701.872
429.1179, 2703.708
429.6000, 2688.987
430.0822, 2669.536
430.5643, 2672.423
431.0464, 2707.312
431.5285, 2734.510
432.0106, 2744.239
432.4927, 2740.500
432.9749, 2721.894
433.4570, 2690.883
433.9391, 2662.688
434.4212, 2652.001
434.9033, 2658.814
435.3854, 2658.674
435.8676, 2641.818
436.3497, 2629.299
436.8318, 2627.292
437.3139, 2631.330
437.7960, 2636.523
438.2781, 2641.047
438.7603, 2644.442
439.2424, 2646.398
439.7245, 2647.105
440.2066, 2644.576
440.6887, 2637.677
441.1708, 2628.301
441.6530, 2614.497
442.1351, 2598.906
442.6172, 2589.763
443.0993, 2595.442
443.5814, 2605.333
444.0635, 2605.078
444.5457, 2595.631
445.0278, 2587.466
445.5099, 2583.923
445.9920, 2585.199
446.4741, 2593.917
446.9562, 2614.440
447.4384, 2627.573
447.9205, 2628.872
448.4026, 2622.467
448.8847, 2607.244
449.3668, 2586.198
449.8489, 2570.941
450.3311, 2571.399
450.8132, 2585.002
451.2953, 2590.884
451.7774, 2579.327
452.2595, 2573.296
452.7416, 2580.030
453.2238, 2591.219
453.7059, 2598.936
454.1880, 2601.447
454.6701, 2603.203
455.1522, 2610.694
455.6343, 2622.779
456.1165, 2625.475
456.5986, 2610.373
457.0807, 2601.265
457.5628, 2621.741
458.0449, 2658.386
458.5270, 2685.786
459.0092, 2696.378
459.4913, 2700.192
459.9734, 2699.914
460.4555, 2698.210
460.9376, 2703.379
461.4197, 2718.492
461.9019, 2735.931
462.3840, 2745.176
462.8661, 2743.626
463.3482, 2744.217
463.8303, 2748.184
464.3124, 2752.946
464.7946, 2757.381
465.2767, 2761.670
465.7588, 2766.149
466.2409, 2770.955
466.7230, 2776.650
467.2051, 2785.490
467.6873, 2799.882
468.1694, 2809.323
468.6515, 2809.896
469.1336, 2806.875
469.6157, 2799.881
470.0978, 2790.909
470.5800, 2787.835
471.0621, 2798.862
471.5442, 2816.395
472.0263, 2830.083
472.5084, 2839.847
472.9905, 2843.789
473.4727, 2838.441
473.9548, 2829.130
474.4369, 2829.529
474.9190, 2845.577
475.4011, 2853.528
475.8832, 2843.328
476.3654, 2827.271
476.8475, 2815.476
477.3296, 2808.882
477.8117, 2803.791
478.2938, 2797.171
478.7759, 2789.846
479.2581, 2786.874
479.7402, 2788.844
480.2223, 2794.706
480.7044, 2811.109
481.1865, 2826.474
481.6686, 2830.427
482.1508, 2821.621
482.6329, 2807.017
483.1150, 2789.362
483.5971, 2770.361
484.0792, 2756.959
484.5613, 2751.065
485.0435, 2743.427
485.5256, 2726.860
486.0077, 2704.841
486.4898, 2686.994
486.9719, 2671.836
487.4540, 2663.343
487.9362, 2670.715
488.4183, 2682.366
488.9004, 2681.602
489.3825, 2665.937
489.8646, 2645.588
490.3467, 2630.263
490.8289, 2620.057
491.3110, 2607.069
491.7931, 2586.802
492.2752, 2569.004
492.7573, 2559.062
493.2394, 2550.617
493.7216, 2534.221
494.2037, 2507.633
494.6858, 2482.959
495.1679, 2475.306
495.6500, 2482.035
496.1321, 2482.867
496.6143, 2473.449
497.0964, 2465.645
497.5785, 2469.586
498.0606, 2481.193
498.5427, 2489.680
499.0248, 2494.485
499.5070, 2495.460
499.9891, 2489.439
500.4712, 2480.429
500.9533, 2475.746
501.4355, 2476.945
501.9176, 2479.008
502.3997, 2476.206
502.8818, 2468.026
503.3639, 2462.204
503.8460, 2461.379
504.3282, 2460.037
504.8103, 2456.106
505.2924, 2451.356
505.7745, 2447.314
506.2566, 2444.479
506.7387, 2444.533
507.2209, 2452.275
507.7030, 2466.079
508.1851, 2470.753
508.6672, 2460.366
509.1493, 2452.415
509.6314, 2464.319
510.1136, 2488.296
510.5957, 2500.552
511.0778, 2489.049
511.5599, 2478.563
512.0420, 2480.691
512.5241, 2491.237
513.0062, 2505.493
513.4883, 2521.807
513.9705, 2537.098
514.4526, 2548.092
514.9347, 2554.790
515.4168, 2557.353
515.8989, 2543.215
516.3810, 2540.216
516.8632, 2565.390
517.3453, 2599.631
517.8274, 2621.903
518.3095, 2626.338
518.7916, 2619.992
519.2737, 2602.655
519.7559, 2578.884
520.2380, 2571.404
520.7201, 2585.916
521.2022, 2601.036
521.6843, 2599.459
522.1664, 2587.290
522.6486, 2588.937
523.1307, 2620.271
523.6128, 2642.569
524.0949, 2639.955
524.5770, 2623.265
525.0591, 2604.061
525.5413, 2584.848
526.0234, 2562.874
526.5055, 2533.505
526.9876, 2498.500
527.4697, 2480.266
527.9518, 2490.070
528.4340, 2498.711
528.9161, 2504.331
529.3982, 2502.891
529.8803, 2486.861
530.3624, 2455.655
530.8445, 2426.465
531.3267, 2413.817
531.8088, 2410.521
532.2909, 2399.668
532.7730, 2380.166
533.2551, 2366.559
533.7372, 2370.681
534.2194, 2383.583
534.7015, 2376.578
535.1836, 2327.335
535.6657, 2298.983
536.1478, 2312.689
536.6299, 2338.232
537.1121, 2352.475
537.5942, 2355.433
538.0763, 2359.341
538.5584, 2372.991
539.0405, 2392.801
539.5226, 2409.137
540.0048, 2423.077
540.4869, 2429.253
540.9690, 2423.078
541.4511, 2411.275
541.9332, 2397.437
542.4153, 2382.221
542.8975, 2371.163
543.3796, 2368.722
543.8617, 2369.464
544.3438, 2370.019
544.8259, 2369.577
545.3080, 2364.504
545.7902, 2352.691
546.2723, 2340.214
546.7544, 2337.711
547.2365, 2349.314
547.7186, 2358.411
548.2007, 2364.937
548.6829, 2369.329
549.1650, 2370.875
549.6471, 2370.595
550.1292, 2369.943
550.6113, 2369.412
551.0934, 2369.190
551.5756, 2370.615
552.0577, 2373.063
552.5398, 2370.853
553.0219, 2361.226
553.5040, 2352.608
553.9861, 2349.418
554.4683, 2352.993
554.9504, 2367.169
555.4325, 2411.738
555.9146, 2443.276
556.3967, 2436.164
556.8788, 2414.298
557.3610, 2406.519
557.8431, 2417.535
558.3252, 2433.111
558.8073, 2440.359
559.2894, 2440.023
559.7715, 2437.980
560.2537, 2431.661
560.7358, 2429.113
561.2179, 2436.572
561.7000, 2446.708
562.1821, 2452.562
562.6642, 2453.449
563.1464, 2455.821
563.6285, 2465.858
564.1106, 2477.128
564.5927, 2481.930
565.0748, 2480.414
565.5569, 2475.474
566.0391, 2468.245
566.5212, 2459.375
567.0033, 2450.015
567.4854, 2438.679
567.9675, 2430.202
568.4496, 2425.054
568.9318, 2421.937
569.4139, 2419.321
569.8960, 2418.436
570.3781, 2421.477
570.8602, 2429.177
571.3423, 2441.948
571.8245, 2466.118
572.3066, 2497.930
572.7887, 2514.494
573.2708, 2510.041
573.7529, 2496.101
574.2350, 2477.246
574.7172, 2455.677
575.1993, 2450.790
575.6814, 2469.586
576.1635, 2495.199
576.6456, 2534.723
577.1277, 2572.142
577.6099, 2587.177
578.0920, 2579.584
578.5741, 2569.078
579.0562, 2571.993
579.5383, 2586.236
580.0204, 2604.195
580.5026, 2628.097
580.9847, 2647.327
581.4668, 2655.010
581.9489, 2659.298
582.4310, 2668.305
582.9132, 2682.048
583.3953, 2701.320
583.8774, 2731.924
584.3596, 2763.358
584.8417, 2786.827
585.3238, 2804.514
585.8059, 2822.343
586.2880, 2842.620
586.7701, 2864.791
587.2523, 2886.979
587.7344, 2907.666
588.2165, 2937.217
588.6986, 2986.777
589.1807, 3030.899
589.6628, 3056.350
590.1450, 3072.269
590.6271, 3089.222
591.1092, 3107.596
591.5913, 3137.164
592.0734, 3195.075
592.5555, 3264.312
593.0377, 3312.243
593.5198, 3338.083
594.0019, 3370.501
594.4840, 3429.508
594.9661, 3505.205
595.4482, 3563.386
595.9304, 3582.655
596.4125, 3622.134
596.8946, 3691.889
597.3767, 3772.188
597.8588, 3853.889
598.3409, 3936.811
598.8231, 4021.918
599.3052, 4110.250
599.7873, 4199.862
600.2694, 4284.707
600.7515, 4367.920
601.2336, 4469.201
601.7158, 4595.030
602.1979, 4722.258
602.6800, 4828.083
603.1621, 4913.902
603.6442, 5015.697
604.1263, 5135.757
604.6085, 5267.270
605.0906, 5414.839
605.5727, 5568.719
606.0548, 5726.588
606.5369, 5883.532
607.0190, 6027.934
607.5012, 6142.620
607.9833, 6244.781
608.4654, 6377.936
608.9475, 6542.329
609.4296, 6697.827
609.9117, 6828.880
610.3939, 6951.298
610.8760, 7085.115
611.3581, 7231.672
611.8402, 7372.825
612.3223, 7528.828
612.8044, 7655.980
613.2866, 7724.633
613.7687, 7759.506
614.2508, 7792.140
614.7329, 7831.288
615.2150, 7869.570
615.6971, 7906.367
616.1793, 7936.913
616.6614, 7930.495
617.1435, 7881.226
617.6256, 7823.805
618.1077, 7773.422
618.5898, 7720.864
619.0720, 7652.312
619.5541, 7566.954
620.0362, 7474.837
620.5183, 7377.218
621.0004, 7273.556
621.4825, 7156.836
621.9647, 7036.066
622.4468, 6929.544
622.9289, 6843.581
623.4110, 6764.557
623.8931, 6672.338
624.3752, 6567.438
624.8574, 6472.377
625.3395, 6388.840
625.8216, 6311.191
626.3037, 6236.362
626.7858, 6166.406
627.2679, 6106.636
627.7501, 6062.425
628.2322, 6008.665
628.7143, 5927.597
629.1964, 5843.644
629.6785, 5779.490
630.1606, 5728.653
630.6428, 5669.587
631.1249, 5592.191
631.6070, 5509.149
632.0891, 5441.745
632.5712, 5390.896
633.0533, 5341.008
633.5355, 5292.779
634.0176, 5242.406
634.4997, 5184.694
634.9818, 5124.602
635.4639, 5073.092
635.9460, 5038.014
636.4282, 4990.725
636.9103, 4909.986
637.3924, 4822.171
637.8745, 4751.816
638.3566, 4696.634
638.8387, 4639.480
639.3209, 4570.969
639.8030, 4503.958
640.2851, 4465.909
640.7672, 4460.111
641.2493, 4447.075
641.7314, 4423.714
642.2136, 4393.411
642.6957, 4345.147
643.1778, 4294.612
643.6599, 4273.450
644.1420, 4291.366
644.6241, 4320.199
645.1063, 4347.754
645.5884, 4384.009
646.0705, 4442.320
646.5526, 4518.638
647.0347, 4596.954
647.5168, 4668.129
647.9990, 4738.702
648.4811, 4817.497
648.9632, 4904.136
649.4453, 5012.683
649.9274, 5154.414
650.4095, 5299.183
650.8917, 5422.716
651.3738, 5537.338
651.8559, 5670.898
652.3380, 5840.604
652.8201, 5992.805
653.3022, 6098.917
653.7844, 6189.907
654.2665, 6293.122
654.7486, 6406.050
655.2307, 6513.577
655.7128, 6608.524
656.1949, 6687.337
656.6771, 6743.339
657.1592, 6776.155
657.6413, 6795.978
658.1234, 6805.481
658.6055, 6796.878
659.0876, 6759.312
659.5698, 6700.828
660.0519, 6647.611
660.5340, 6612.523
661.0161, 6554.025
661.4982, 6446.540
661.9803, 6326.965
662.4625, 6225.735
662.9446, 6136.593
663.4267, 6037.634
663.9088, 5917.732
664.3909, 5790.553
664.8730, 5678.271
665.3552, 5578.821
665.8373, 5469.903
666.3194, 5347.654
666.8015, 5226.032
667.2836, 5113.098
667.7657, 5006.989
668.2479, 4903.135
668.7300, 4801.542
669.2121, 4701.923
669.6942, 4598.476
670.1763, 4502.730
670.6584, 4427.776
671.1406, 4364.559
671.6227, 4295.430
672.1048, 4213.458
672.5869, 4129.044
673.0690, 4054.528
673.5511, 3987.131
674.0333, 3917.887
674.5154, 3845.916
674.9975, 3776.457
675.4796, 3713.032
675.9617, 3652.806
676.4438, 3589.520
676.9260, 3518.395
677.4081, 3456.789
677.8902, 3411.435
678.3723, 3367.429
678.8544, 3317.022
679.3365, 3265.004
679.8187, 3219.330
680.3008, 3182.053
680.7829, 3147.036
681.2650, 3110.071
681.7471, 3072.227
682.2292, 3037.065
682.7114, 3003.897
683.1935, 2964.790
683.6756, 2915.584
684.1577, 2865.898
684.6398, 2829.083
685.1219, 2804.472
685.6041, 2798.742
686.0862, 2843.073
686.5683, 2862.939
687.0504, 2820.957
687.5325, 2756.549
688.0146, 2707.694
688.4968, 2678.950
688.9789, 2659.689
689.4610, 2651.122
689.9431, 2644.747
690.4252, 2631.608
690.9073, 2614.509
691.3895, 2601.379
691.8716, 2594.160
692.3537, 2587.481
692.8358, 2575.837
693.3179, 2559.431
693.8000, 2538.181
694.2822, 2507.914
694.7643, 2485.330
695.2464, 2475.635
695.7285, 2474.753
696.2106, 2483.758
696.6927, 2500.478
697.1749, 2505.566
697.6570, 2484.216
698.1391, 2464.461
698.6212, 2461.581
699.1033, 2464.980
699.5854, 2460.900
700.0676, 2448.946
700.5497, 2440.391
701.0318, 2446.453
701.5139, 2454.672
701.9960, 2430.670
702.4781, 2376.286
702.9603, 2348.051
703.4424, 2363.198
703.9245, 2380.594
704.4066, 2365.499
704.8887, 2325.281
705.3708, 2300.503
705.8530, 2305.571
706.3351, 2305.277
706.8172, 2294.635
707.2993, 2281.152
707.7814, 2268.651
708.2635, 2257.415
708.7457, 2247.008
709.2278, 2237.307
709.7099, 2227.942
710.1920, 2217.328
710.6741, 2207.160
711.1563, 2202.961
711.6384, 2204.121
712.1205, 2200.498
712.6026, 2185.698
713.0847, 2167.215
713.5668, 2160.945
714.0490, 2170.868
714.5311, 2176.669
715.0132, 2179.544
715.4953, 2176.321
715.9774, 2156.797
716.4595, 2135.250
716.9417, 2132.821
717.4238, 2153.908
717.9059, 2166.935
718.3880, 2148.654
718.8701, 2129.791
719.3522, 2137.477
719.8344, 2160.656
720.3165, 2176.308
720.7986, 2178.280
721.2807, 2177.806
721.7628, 2187.598
722.2449, 2203.760
722.7271, 2210.172
723.2092, 2206.349
723.6913, 2196.382
724.1734, 2176.446
724.6555, 2162.218
725.1376, 2174.351
725.6198, 2212.192
726.1019, 2233.902
726.5840, 2225.366
727.0661, 2221.271
727.5482, 2232.873
728.0303, 2246.510
728.5125, 2248.819
728.9946, 2242.890
729.4767, 2243.291
729.9588, 2261.275
730.4409, 2277.366
730.9230, 2267.451
731.4052, 2243.119
731.8873, 2232.161
732.3694, 2235.594
732.8515, 2228.148
733.3336, 2192.108
733.8157, 2144.787
734.2979, 2129.975
734.7800, 2159.579
735.2621, 2165.729
735.7442, 2131.880
736.2263, 2098.744
736.7084, 2088.540
737.1906, 2089.625
737.6727, 2086.103
738.1548, 2077.577
738.6369, 2063.218
739.1190, 2034.692
739.6011, 2008.588
740.0833, 1996.121
740.5654, 1992.421
741.0475, 1990.824
741.5296, 1988.862
742.0117, 1984.148
742.4938, 1974.793
742.9760, 1961.105
743.4581, 1944.521
743.9402, 1924.718
744.4223, 1894.075
744.9044, 1847.924
745.3865, 1809.296
745.8687, 1802.064
746.3508, 1822.932
746.8329, 1842.791
747.3150, 1867.749
747.7971, 1880.374
748.2792, 1865.308
748.7614, 1850.031
749.2435, 1856.639
749.7256, 1875.304
750.2077, 1878.597
