##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
145.5803, 457.3177
146.0625, 451.3335
146.5446, 441.2997
147.0267, 427.5281
147.5088, 412.0294
147.9909, 397.5107
148.4730, 385.3730
148.9552, 375.6685
149.4373, 369.7715
149.9194, 370.6381
150.4015, 372.9475
150.8836, 377.2578
151.3657, 382.1874
151.8479, 385.4323
152.3300, 385.0771
152.8121, 381.1419
153.2942, 372.6919
153.7763, 357.7709
154.2584, 341.1502
154.7406, 324.0037
155.2227, 307.0438
155.7048, 291.3456
156.1869, 278.0988
156.6690, 267.9169
157.1511, 259.3141
157.6333, 252.5995
158.1154, 247.2265
158.5975, 243.0804
159.0796, 240.1661
159.5617, 237.6959
160.0438, 234.6790
160.5260, 231.1178
161.0081, 227.4506
161.4902, 223.5597
161.9723, 219.6645
162.4544, 216.2153
162.9365, 213.4567
163.4187, 210.9394
163.9008, 208.1185
164.3829, 205.0210
164.8650, 202.0076
165.3471, 198.7993
165.8292, 195.6084
166.3113, 194.0793
166.7935, 196.0569
167.2756, 198.4368
167.7577, 198.8227
168.2398, 197.1406
168.7219, 194.7260
169.2040, 192.7450
169.6862, 191.2468
170.1683, 189.8622
170.6504, 188.5828
171.1325, 187.3773
171.6146, 186.3382
172.0967, 185.4518
172.5789, 184.4600
173.0610, 182.7947
173.5431, 179.6313
174.0252, 177.7620
174.5073, 178.2334
174.9894, 179.2742
175.4716, 179.5050
175.9537, 178.5151
176.4358, 176.9789
176.9179, 176.2712
177.4000, 177.0799
177.8821, 177.8662
178.3643, 178.6187
178.8464, 179.3169
179.3285, 179.9808
179.8106, 180.6217
180.2927, 181.1584
180.7748, 181.3502
181.2570, 181.1174
181.7391, 180.6455
182.2212, 179.8167
182.7033, 178.7800
183.1854, 177.7032
183.6675, 176.6189
184.1497, 175.6398
184.6318, 175.1997
185.1139, 175.6596
185.5960, 175.9705
186.0781, 175.3560
186.5602, 174.2334
187.0423, 173.9409
187.5245, 175.4730
188.0066, 177.8972
188.4887, 178.9014
188.9708, 177.6630
189.4529, 176.4627
189.9350, 177.0889
190.4172, 179.3501
190.8993, 181.1802
191.3814, 181.4754
191.8635, 180.8526
192.3456, 180.1104
192.8277, 179.0305
193.3099, 178.4381
193.7920, 179.3976
194.2741, 182.1133
194.7562, 184.8810
195.2383, 187.0149
195.7204, 188.8643
196.2026, 190.8169
196.6847, 193.1225
197.1668, 195.1357
197.6489, 195.6494
198.1310, 194.0206
198.6131, 192.7251
199.0953, 193.0646
199.5774, 193.7553
200.0595, 193.6143
200.5416, 192.1553
201.0237, 189.9053
201.5058, 188.1006
201.9880, 187.3205
202.4701, 185.8929
202.9522, 182.7838
203.4343, 179.3007
203.9164, 176.8128
204.3985, 175.9534
204.8807, 176.2353
205.3628, 176.2425
205.8449, 176.1201
206.3270, 175.4445
206.8091, 173.6938
207.2912, 171.5641
207.7733, 169.7522
208.2555, 168.6084
208.7376, 168.0923
209.2197, 168.0682
209.7018, 168.7427
210.1839, 169.7257
210.6660, 171.7190
211.1482, 173.8429
211.6303, 174.6433
212.1124, 173.2621
212.5945, 170.4632
213.0766, 169.4009
213.5587, 171.5919
214.0409, 173.5635
214.5230, 174.6635
215.0051, 175.0813
215.4872, 175.1230
215.9693, 174.8851
216.4514, 174.4642
216.9336, 174.2187
217.4157, 173.7337
217.8978, 173.8634
218.3799, 175.2229
218.8620, 177.4410
219.3441, 179.6380
219.8263, 181.4319
220.3084, 182.8756
220.7905, 184.0999
221.2726, 184.7852
221.7547, 185.8063
222.2368, 187.9750
222.7190, 190.9726
223.2011, 193.4333
223.6832, 194.5290
224.1653, 194.9428
224.6474, 196.0549
225.1295, 198.0667
225.6117, 200.2716
226.0938, 202.0324
226.5759, 203.4499
227.0580, 205.3667
227.5401, 208.2042
228.0222, 211.6744
228.5043, 215.4501
228.9865, 219.5894
229.4686, 223.6603
229.9507, 227.2984
230.4328, 230.4992
230.9149, 233.3750
231.3970, 235.6620
231.8792, 237.8143
232.3613, 240.2488
232.8434, 243.0213
233.3255, 245.8803
233.8076, 248.4683
234.2897, 250.7275
234.7719, 253.4095
235.2540, 257.5550
235.7361, 261.5987
236.2182, 264.4572
236.7003, 266.0031
237.1824, 267.0172
237.6646, 268.2611
238.1467, 269.7550
238.6288, 271.4121
239.1109, 272.9549
239.5930, 274.8712
240.0751, 277.6637
240.5573, 281.2992
241.0394, 285.1157
241.5215, 288.0499
242.0036, 289.5592
242.4857, 292.4868
242.9678, 298.8049
243.4500, 305.1162
243.9321, 309.7979
244.4142, 312.6691
244.8963, 314.5188
245.3784, 316.4909
245.8605, 319.2808
246.3427, 319.5090
246.8248, 315.9155
247.3069, 311.0442
247.7890, 305.7264
248.2711, 300.2021
248.7532, 294.6064
249.2354, 289.1182
249.7175, 284.0220
250.1996, 277.7782
250.6817, 269.4953
251.1638, 261.0403
251.6459, 253.2329
252.1281, 246.0802
252.6102, 239.1701
253.0923, 231.9879
253.5744, 224.3820
254.0565, 217.6868
254.5386, 212.0891
255.0208, 207.0246
255.5029, 202.1207
255.9850, 197.4704
256.4671, 193.4843
256.9492, 190.5825
257.4313, 188.8994
257.9135, 186.8175
258.3956, 183.9782
258.8777, 181.1828
259.3598, 178.7575
259.8419, 176.6687
260.3240, 174.6560
260.8062, 172.4603
261.2883, 170.0888
261.7704, 168.6529
262.2525, 169.2626
262.7346, 169.4592
263.2167, 167.7642
263.6989, 164.7735
264.1810, 162.2680
264.6631, 161.4958
265.1452, 162.1799
265.6273, 161.8046
266.1094, 159.5610
266.5916, 157.3697
267.0737, 155.7697
267.5558, 154.7433
268.0379, 154.2718
268.5200, 154.4531
269.0021, 155.0731
269.4843, 155.2169
269.9664, 154.5233
270.4485, 153.9030
270.9306, 153.7950
271.4127, 153.9647
271.8948, 153.8920
272.3770, 153.3138
272.8591, 152.4211
273.3412, 151.6920
273.8233, 151.1693
274.3054, 150.6725
274.7875, 150.0773
275.2697, 149.4783
275.7518, 149.0904
276.2339, 149.0235
276.7160, 149.1046
277.1981, 148.9470
277.6802, 148.4426
278.1623, 148.2061
278.6444, 148.6575
279.1266, 149.4368
279.6087, 149.9633
280.0908, 150.0986
280.5729, 149.9236
281.0550, 149.3232
281.5371, 148.2628
282.0193, 147.6611
282.5014, 148.1237
282.9835, 149.0573
283.4656, 149.5527
283.9477, 149.4018
284.4298, 149.1360
284.9120, 149.4112
285.3941, 150.1380
285.8762, 150.6244
286.3583, 150.6904
286.8404, 150.4587
287.3225, 150.0326
287.8047, 149.4066
288.2868, 148.7131
288.7689, 148.1363
289.2510, 147.5859
289.7331, 146.7107
290.2152, 144.6978
290.6974, 142.7961
291.1795, 142.7069
291.6616, 144.5213
292.1437, 146.0035
292.6258, 145.4083
293.1079, 143.5543
293.5901, 142.4646
294.0722, 142.8428
294.5543, 143.4700
295.0364, 143.2330
295.5185, 142.1814
296.0006, 141.2342
296.4828, 140.8348
296.9649, 140.8002
297.4470, 140.8313
297.9291, 141.0820
298.4112, 141.0140
298.8933, 139.7720
299.3755, 137.6480
299.8576, 136.5195
300.3397, 137.5059
300.8218, 139.2565
301.3039, 140.0092
301.7860, 139.7249
302.2682, 138.8310
302.7503, 136.8576
303.2324, 134.3343
303.7145, 133.2685
304.1966, 134.6516
304.6787, 136.6672
305.1609, 137.4701
305.6430, 137.1860
306.1251, 136.5220
306.6072, 135.2150
307.0893, 133.8128
307.5714, 133.7822
308.0536, 135.7593
308.5357, 137.7749
309.0178, 137.8499
309.4999, 136.5910
309.9820, 135.5182
310.4641, 135.1183
310.9463, 135.1880
311.4284, 135.6121
311.9105, 136.4983
312.3926, 137.1147
312.8747, 136.8877
313.3568, 136.0648
313.8390, 134.9856
314.3211, 133.2827
314.8032, 131.7970
315.2853, 131.7039
315.7674, 133.0363
316.2495, 134.0136
316.7317, 133.4850
317.2138, 132.3083
317.6959, 131.8558
318.1780, 132.4476
318.6601, 133.1764
319.1422, 133.3443
319.6243, 133.0260
320.1064, 132.7471
320.5886, 132.7236
321.0707, 132.7377
321.5528, 132.4823
322.0349, 131.9343
322.5170, 131.4412
322.9991, 131.2259
323.4813, 131.2099
323.9634, 131.1813
324.4455, 131.1213
324.9276, 131.0024
325.4097, 130.9221
325.8918, 130.8336
326.3740, 130.3457
326.8561, 128.8161
327.3382, 126.9720
327.8203, 126.0094
328.3024, 126.1051
328.7845, 126.6200
329.2667, 127.2965
329.7488, 128.0336
330.2309, 128.5687
330.7130, 128.8053
331.1951, 128.8497
331.6772, 128.7020
332.1594, 128.3672
332.6415, 128.2328
333.1236, 128.8181
333.6057, 129.5660
334.0878, 129.2493
334.5699, 127.1225
335.0521, 125.2333
335.5342, 125.0899
336.0163, 126.3638
336.4984, 127.6986
336.9805, 128.7601
337.4626, 129.4798
337.9448, 129.6951
338.4269, 129.3617
338.9090, 129.0020
339.3911, 128.9967
339.8732, 129.0759
340.3553, 128.5998
340.8375, 127.3230
341.3196, 125.9815
341.8017, 125.4908
342.2838, 125.7636
342.7659, 125.9846
343.2480, 126.0175
343.7302, 125.9155
344.2123, 125.6421
344.6944, 125.2022
345.1765, 124.9403
345.6586, 125.3617
346.1407, 126.2019
346.6229, 126.0240
347.1050, 123.1622
347.5871, 120.7652
348.0692, 121.4619
348.5513, 124.4575
349.0334, 126.6379
349.5156, 126.3044
349.9977, 124.3416
350.4798, 123.1501
350.9619, 122.9054
351.4440, 122.8894
351.9261, 123.0518
352.4083, 123.2631
352.8904, 123.2481
353.3725, 122.8967
353.8546, 122.5006
354.3367, 122.5192
354.8188, 123.0773
355.3010, 123.5175
355.7831, 123.8481
356.2652, 123.9955
356.7473, 123.7364
357.2294, 123.1017
357.7115, 122.6071
358.1937, 122.7739
358.6758, 123.6387
359.1579, 124.0710
359.6400, 124.2094
360.1221, 123.8392
360.6042, 122.1640
361.0863, 119.8262
361.5685, 118.5794
362.0506, 119.5252
362.5327, 122.0796
363.0148, 123.8523
363.4969, 124.5962
363.9790, 124.9323
364.4612, 124.9380
364.9433, 124.5847
365.4254, 123.5879
365.9075, 121.8903
366.3896, 120.1874
366.8717, 119.6168
367.3539, 120.7274
367.8360, 121.8429
368.3181, 123.3854
368.8002, 124.6122
369.2823, 124.9220
369.7644, 124.3557
370.2466, 123.3812
370.7287, 122.3360
371.2108, 121.1822
371.6929, 120.6914
372.1750, 120.9843
372.6571, 121.7523
373.1393, 123.6054
373.6214, 125.7724
374.1035, 126.8487
374.5856, 125.9831
375.0677, 123.9367
375.5498, 123.2152
376.0320, 124.9182
376.5141, 126.3933
376.9962, 127.5255
377.4783, 128.2855
377.9604, 128.4701
378.4425, 128.1046
378.9247, 127.6613
379.4068, 127.8452
379.8889, 128.9074
380.3710, 129.7182
380.8531, 130.0990
381.3352, 130.3890
381.8174, 130.7570
382.2995, 131.1658
382.7816, 131.4313
383.2637, 131.2887
383.7458, 130.8793
384.2279, 131.2807
384.7101, 133.3191
385.1922, 134.9040
385.6743, 134.9453
386.1564, 134.4134
386.6385, 134.5600
387.1206, 135.9353
387.6028, 137.8083
388.0849, 138.9633
388.5670, 139.2046
389.0491, 139.6490
389.5312, 140.7786
390.0133, 142.0408
390.4955, 143.0272
390.9776, 143.7288
391.4597, 144.5093
391.9418, 145.7142
392.4239, 147.2720
392.9060, 148.7686
393.3882, 150.2735
393.8703, 151.5268
394.3524, 152.5433
394.8345, 153.2154
395.3166, 153.2006
395.7987, 151.8755
396.2809, 150.1944
396.7630, 149.3814
397.2451, 149.4438
397.7272, 150.2683
398.2093, 152.5846
398.6914, 155.1694
399.1736, 156.0606
399.6557, 154.7939
400.1378, 153.1766
400.6199, 151.9585
401.1020, 151.2027
401.5841, 151.3200
402.0662, 152.6884
402.5483, 154.0716
403.0305, 153.5270
403.5126, 151.2015
403.9947, 150.0201
404.4768, 151.3210
404.9589, 153.4421
405.4410, 155.1030
405.9232, 156.1718
406.4053, 156.4916
406.8874, 155.7212
407.3695, 154.1703
407.8516, 153.4403
408.3337, 153.9001
408.8159, 154.6244
409.2980, 155.7301
409.7801, 156.8235
410.2622, 156.9903
410.7443, 155.8845
411.2264, 154.6338
411.7086, 155.1567
412.1907, 158.7159
412.6728, 160.9118
413.1549, 160.6542
413.6370, 159.9496
414.1191, 160.1615
414.6013, 161.2656
415.0834, 162.4285
415.5655, 162.9380
416.0476, 162.8677
416.5297, 163.4776
417.0118, 165.6659
417.4940, 167.5176
417.9761, 168.3814
418.4582, 168.8582
418.9403, 169.8097
419.4224, 171.5521
419.9045, 173.4798
420.3867, 174.3704
420.8688, 173.4318
421.3509, 173.5802
421.8330, 175.6395
422.3151, 178.1460
422.7972, 180.4817
423.2794, 182.5687
423.7615, 184.5072
424.2436, 186.2332
424.7257, 187.8567
425.2078, 190.2122
425.6899, 193.7517
426.1721, 197.2390
426.6542, 200.1798
427.1363, 202.8616
427.6184, 205.7132
428.1005, 208.9369
428.5826, 212.0103
429.0648, 213.9542
429.5469, 214.7532
430.0290, 216.4346
430.5111, 219.9839
430.9932, 223.9526
431.4753, 227.0206
431.9575, 229.2793
432.4396, 231.4905
432.9217, 234.0936
433.4038, 236.8400
433.8859, 239.1740
434.3680, 240.9859
434.8502, 243.1517
435.3323, 246.5784
435.8144, 250.6871
436.2965, 253.8555
436.7786, 255.5987
437.2607, 257.0506
437.7429, 258.8448
438.2250, 260.7892
438.7071, 262.3886
439.1892, 263.4525
439.6713, 264.3464
440.1534, 265.7349
440.6356, 267.9692
441.1177, 268.9369
441.5998, 267.6954
442.0819, 265.8071
442.5640, 264.4073
443.0461, 263.4367
443.5282, 262.1946
444.0103, 260.2028
444.4925, 257.5776
444.9746, 254.9746
445.4567, 253.2129
445.9388, 250.4474
446.4209, 245.2672
446.9030, 239.6390
447.3852, 235.8787
447.8673, 234.4270
448.3494, 233.3617
448.8315, 230.0755
449.3136, 223.9572
449.7957, 218.6945
450.2779, 214.8627
450.7600, 211.3083
451.2421, 207.7907
451.7242, 204.2477
452.2063, 200.6191
452.6884, 196.8796
453.1706, 193.0827
453.6527, 189.3265
454.1348, 185.4841
454.6169, 182.1396
455.0990, 180.0079
455.5811, 178.0599
456.0633, 175.4448
456.5454, 172.1390
457.0275, 169.0381
457.5096, 167.1743
457.9917, 166.0830
458.4738, 163.8105
458.9560, 159.7068
459.4381, 155.9233
459.9202, 154.1501
460.4023, 153.6819
460.8844, 153.3671
461.3665, 153.3895
461.8487, 152.9801
462.3308, 151.1323
462.8129, 148.2910
463.2950, 146.1138
463.7771, 145.2507
464.2592, 144.8857
464.7414, 143.8716
465.2235, 142.1532
465.7056, 140.2442
466.1877, 137.4101
466.6698, 134.9854
467.1519, 134.4452
467.6341, 135.4632
468.1162, 136.4025
468.5983, 136.2390
469.0804, 135.1388
469.5625, 133.8649
470.0446, 131.6689
470.5268, 130.2676
471.0089, 130.7155
471.4910, 131.4853
471.9731, 131.0269
472.4552, 129.1268
472.9373, 126.7627
473.4195, 124.9271
473.9016, 123.6278
474.3837, 122.7674
474.8658, 122.5289
475.3479, 122.5743
475.8300, 122.9314
476.3122, 123.4716
476.7943, 124.1806
477.2764, 125.1213
477.7585, 125.7396
478.2406, 124.8428
478.7227, 122.1765
479.2049, 120.3725
479.6870, 120.5802
480.1691, 121.1019
480.6512, 120.6000
481.1333, 119.2669
481.6154, 118.1099
482.0976, 117.7648
482.5797, 117.8151
483.0618, 117.6972
483.5439, 117.4102
484.0260, 116.7757
484.5081, 115.4671
484.9902, 113.9190
485.4724, 113.0972
485.9545, 113.2717
486.4366, 113.3214
486.9187, 112.4398
487.4008, 111.3975
487.8829, 111.3403
488.3651, 112.4059
488.8472, 113.8349
489.3293, 115.0937
489.8114, 116.1840
490.2935, 116.2623
490.7756, 114.7078
491.2578, 113.0672
491.7399, 111.5418
492.2220, 110.2717
492.7041, 109.3851
493.1862, 108.9348
493.6683, 108.9434
494.1505, 109.5899
494.6326, 111.2233
495.1147, 112.1052
495.5968, 111.5041
496.0789, 110.8444
496.5610, 110.4930
497.0432, 110.4833
497.5253, 110.9027
498.0074, 111.9307
498.4895, 113.0146
498.9716, 112.9805
499.4537, 111.6278
499.9359, 110.4165
500.4180, 109.6811
500.9001, 109.2122
501.3822, 108.9134
501.8643, 108.7514
502.3464, 108.4972
502.8286, 107.7804
503.3107, 107.0226
503.7928, 107.0058
504.2749, 107.7524
504.7570, 108.4011
505.2391, 108.5192
505.7213, 108.2153
506.2034, 107.7157
506.6855, 106.7266
507.1676, 106.2277
507.6497, 107.2615
508.1318, 108.5006
508.6140, 107.9911
509.0961, 105.7035
509.5782, 103.7892
510.0603, 104.3175
510.5424, 107.1005
511.0245, 108.2290
511.5067, 106.0440
511.9888, 104.1998
512.4709, 103.2018
512.9530, 102.8881
513.4351, 103.3161
513.9172, 104.3872
514.3994, 105.3956
514.8815, 105.3516
515.3636, 104.1412
515.8457, 103.4169
516.3278, 103.3935
516.8099, 103.5982
517.2921, 103.9305
517.7742, 104.3133
518.2563, 104.6951
518.7384, 105.1413
519.2205, 105.3093
519.7026, 104.5138
520.1848, 102.9347
520.6669, 102.0812
521.1490, 102.5327
521.6311, 103.2438
522.1132, 103.1362
522.5953, 102.3454
523.0775, 101.4861
523.5596, 100.1571
524.0417, 99.24561
524.5238, 99.66521
525.0059, 101.0362
525.4880, 102.3252
525.9702, 103.1219
526.4523, 103.5592
526.9344, 103.8730
527.4165, 104.1182
527.8986, 104.0458
528.3807, 103.2635
528.8629, 102.5548
529.3450, 102.4385
529.8271, 102.7457
530.3092, 103.0370
530.7913, 103.0720
531.2734, 102.9028
531.7556, 102.5852
532.2377, 101.9378
532.7198, 101.6619
533.2019, 102.5451
533.6840, 103.2619
534.1661, 102.5965
534.6483, 100.9485
535.1304, 100.1204
535.6125, 101.7806
536.0946, 104.4859
536.5767, 105.5004
537.0588, 104.7476
537.5410, 103.8916
538.0231, 103.5032
538.5052, 103.4238
538.9873, 103.4195
539.4694, 103.4929
539.9515, 103.5963
540.4337, 103.6769
540.9158, 103.8085
541.3979, 104.1364
541.8800, 104.6151
542.3621, 104.9825
542.8442, 105.0553
543.3264, 104.9402
543.8085, 104.9960
544.2906, 105.0362
544.7726, 105.5468
545.2548, 107.0671
545.7369, 108.6421
546.2190, 109.6924
546.7011, 110.1286
547.1832, 109.9082
547.6653, 108.7219
548.1475, 107.1063
548.6296, 107.5162
549.1117, 111.0062
549.5938, 113.7330
550.0759, 113.9037
550.5580, 113.3228
551.0402, 113.2210
551.5223, 113.7061
552.0044, 114.3672
552.4865, 114.8779
552.9686, 115.4444
553.4507, 116.4384
553.9329, 117.8757
554.4150, 119.6263
554.8971, 121.7264
555.3792, 124.0134
555.8613, 126.0320
556.3434, 127.6713
556.8256, 129.3799
557.3077, 131.1031
557.7898, 133.0397
558.2719, 135.4337
558.7540, 138.2380
559.2361, 141.2076
559.7183, 144.2537
560.2004, 147.2005
560.6825, 149.2700
561.1646, 149.2157
561.6467, 150.4337
562.1288, 154.3085
562.6110, 158.5663
563.0931, 161.5786
563.5752, 163.3606
564.0573, 164.9699
564.5394, 167.0021
565.0215, 169.4616
565.5037, 172.3582
565.9858, 175.7079
566.4679, 179.4460
566.9500, 183.3452
567.4321, 187.8474
567.9142, 193.7067
568.3964, 201.0398
568.8785, 207.9838
569.3606, 213.3535
569.8427, 218.4180
570.3248, 224.9365
570.8069, 232.5515
571.2891, 239.2815
571.7712, 243.8716
572.2533, 247.2337
572.7354, 251.6100
573.2175, 258.2720
573.6996, 263.7056
574.1818, 268.3127
574.6639, 271.4464
575.1460, 272.7782
575.6281, 272.3093
576.1102, 270.0855
576.5923, 266.0838
577.0745, 260.5255
577.5566, 253.9057
578.0387, 246.2876
578.5208, 237.1880
579.0029, 224.9683
579.4850, 212.9603
579.9672, 203.4252
580.4493, 196.1815
580.9314, 190.3501
581.4135, 186.1992
581.8956, 182.8385
582.3777, 179.4791
582.8599, 176.1709
583.3420, 172.9686
583.8241, 169.8292
584.3062, 167.0779
584.7883, 165.1060
585.2704, 163.9284
585.7526, 163.6783
586.2347, 164.6225
586.7168, 166.1353
587.1989, 168.4976
587.6810, 171.0843
588.1631, 173.0070
588.6453, 173.9353
589.1274, 174.1637
589.6095, 173.9868
590.0916, 173.3515
590.5737, 172.8365
591.0558, 172.7956
591.5380, 172.3465
592.0201, 171.3142
592.5022, 169.5963
592.9843, 166.9490
593.4664, 163.2265
593.9485, 158.9554
594.4307, 154.2479
594.9128, 149.3715
595.3949, 144.9256
595.8770, 141.0202
596.3591, 137.4191
596.8412, 133.9366
597.3234, 130.5840
597.8055, 127.5097
598.2876, 124.8880
598.7697, 122.2686
599.2518, 119.7383
599.7339, 117.0618
600.2161, 113.5548
600.6982, 109.4815
601.1803, 106.2864
601.6624, 105.2619
602.1445, 105.9140
602.6266, 106.0473
603.1088, 105.6264
603.5909, 104.7688
604.0730, 102.8996
604.5551, 101.0412
605.0372, 100.0942
605.5193, 99.99673
606.0015, 99.84977
606.4836, 98.80499
606.9657, 97.74587
607.4478, 98.20213
607.9299, 99.85188
608.4120, 100.5614
608.8942, 99.28918
609.3763, 97.36388
609.8584, 96.89609
610.3405, 98.50083
610.8226, 99.33289
611.3047, 98.67277
611.7869, 98.02769
612.2690, 97.86963
612.7511, 98.26701
613.2332, 99.46727
613.7153, 101.5288
614.1974, 103.6228
614.6796, 104.4624
615.1617, 103.9709
615.6438, 103.9404
616.1259, 104.7196
616.6080, 105.4375
617.0901, 105.5463
617.5723, 105.3543
618.0544, 105.1974
618.5365, 105.0020
619.0186, 105.3137
619.5007, 106.7241
619.9828, 108.7343
620.4650, 110.3876
620.9471, 111.6487
621.4292, 113.5180
621.9113, 116.8064
622.3934, 121.0498
622.8755, 124.4076
623.3577, 125.9394
623.8398, 127.9156
624.3219, 130.7895
624.8040, 133.7351
625.2861, 136.5863
625.7682, 139.0198
626.2504, 140.3805
626.7325, 140.1639
627.2145, 138.9829
627.6967, 138.0084
628.1788, 137.2710
628.6609, 135.9067
629.1430, 133.5308
629.6251, 130.8180
630.1072, 128.1768
630.5894, 125.6524
631.0715, 123.4692
631.5536, 121.8346
632.0357, 120.3457
632.5178, 118.4970
632.9999, 116.7566
633.4821, 116.0597
633.9642, 116.5223
634.4463, 117.1279
634.9284, 116.7790
635.4105, 115.6238
635.8926, 115.9113
636.3748, 118.4993
636.8569, 121.2079
637.3390, 123.9090
637.8211, 126.3865
638.3032, 128.5374
638.7853, 130.3114
639.2675, 131.6304
639.7496, 132.9819
640.2317, 133.5140
640.7138, 131.3744
641.1959, 126.7552
641.6780, 121.9764
642.1602, 117.6272
642.6423, 113.9640
643.1244, 111.4581
643.6065, 110.3696
644.0886, 108.9438
644.5707, 106.7038
645.0529, 104.6605
645.5350, 103.3384
646.0171, 102.4191
646.4992, 101.2556
646.9813, 99.75487
647.4634, 98.68678
647.9456, 99.14725
648.4277, 100.9574
648.9098, 101.9201
649.3919, 101.7550
649.8740, 101.4599
650.3561, 101.4935
650.8383, 101.5327
651.3204, 101.2072
651.8025, 100.4877
652.2846, 99.64843
652.7667, 98.64455
653.2488, 97.68365
653.7310, 96.98867
654.2131, 96.52328
654.6952, 96.18594
655.1773, 95.94418
655.6594, 95.64552
656.1415, 94.99242
656.6237, 93.82201
657.1058, 93.06749
657.5879, 93.33805
658.0700, 93.35899
658.5521, 92.22864
659.0342, 90.91555
659.5164, 90.72681
659.9985, 91.96074
660.4806, 93.60957
660.9627, 95.31078
661.4448, 96.72263
661.9269, 96.67952
662.4091, 95.11738
662.8912, 94.15114
663.3733, 95.07491
663.8554, 96.76572
664.3375, 96.81653
664.8196, 94.04549
665.3018, 93.11839
665.7839, 96.19814
666.2660, 99.07331
666.7481, 99.09256
667.2302, 97.43814
667.7123, 96.34003
668.1945, 96.62379
668.6766, 97.52198
669.1587, 98.28927
669.6408, 98.89632
670.1229, 98.82359
670.6050, 97.91728
671.0872, 96.71664
671.5693, 95.02110
672.0514, 93.46077
672.5335, 93.25908
673.0156, 94.80495
673.4977, 95.86321
673.9799, 95.42371
674.4620, 94.52034
674.9441, 94.02686
675.4262, 93.82343
675.9083, 93.34014
676.3904, 92.32045
676.8726, 91.15469
677.3547, 90.50761
677.8368, 90.47942
678.3189, 90.27711
678.8010, 89.53069
679.2831, 89.16064
679.7653, 89.78347
680.2474, 90.82598
680.7295, 91.68400
681.2116, 92.28191
681.6937, 92.45874
682.1758, 91.62807
682.6580, 90.62325
683.1401, 90.67801
