##NAMES=Cristobalite
##RRUFFID=R061064
##IDEAL CHEMISTRY=SiO_2_
##LOCALITY=Ellora Caves, India
##OWNER=RRUFF
##SOURCE=Harvard Mineralogical Museum
##DESCRIPTION=Colorless single crystals, octahedra and groups of octahedra, some have transformed to quartz. Sample used in Downs and Palmer (1994)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061064
##MEASURED CHEMISTRY=Si_1.00_O_2_·0.11H_2_O ; trace amounts of Al and Na; H_2_O by difference, verified by Raman spectroscopy
249.8721, 4567.752
250.3542, 4485.745
250.8363, 4409.979
251.3184, 4339.069
251.8005, 4268.459
252.2827, 4185.732
252.7648, 4077.901
253.2469, 3989.764
253.7290, 3937.001
254.2111, 3895.803
254.6932, 3850.636
255.1754, 3798.020
255.6575, 3742.978
256.1396, 3692.009
256.6217, 3646.235
257.1038, 3599.724
257.5859, 3545.584
258.0681, 3495.447
258.5502, 3455.399
259.0323, 3425.510
259.5144, 3401.580
259.9965, 3381.513
260.4786, 3365.299
260.9608, 3347.733
261.4429, 3323.994
261.9250, 3304.248
262.4071, 3295.048
262.8892, 3294.054
263.3713, 3293.885
263.8535, 3290.309
264.3356, 3283.637
264.8177, 3274.416
265.2998, 3259.179
265.7819, 3247.681
266.2640, 3241.675
266.7462, 3242.451
267.2283, 3253.575
267.7104, 3281.821
268.1925, 3317.876
268.6746, 3343.652
269.1567, 3357.221
269.6389, 3367.212
270.1210, 3378.256
270.6031, 3387.974
271.0852, 3392.053
271.5673, 3385.808
272.0494, 3379.518
272.5316, 3385.619
273.0137, 3404.274
273.4958, 3424.796
273.9779, 3451.622
274.4600, 3471.816
274.9421, 3466.863
275.4243, 3429.189
275.9064, 3387.505
276.3885, 3363.498
276.8706, 3352.001
277.3527, 3328.713
277.8348, 3279.221
278.3170, 3227.269
278.7991, 3209.758
279.2812, 3229.253
279.7633, 3244.539
280.2454, 3233.571
280.7275, 3210.812
281.2097, 3197.899
281.6918, 3198.184
282.1739, 3213.475
282.6560, 3253.897
283.1381, 3320.758
283.6202, 3369.762
284.1024, 3387.374
284.5845, 3390.631
285.0666, 3400.864
285.5487, 3417.358
286.0308, 3414.087
286.5129, 3369.315
286.9951, 3281.787
287.4772, 3183.089
287.9593, 3055.963
288.4414, 2935.737
288.9235, 2839.831
289.4056, 2764.726
289.8878, 2698.069
290.3699, 2632.247
290.8520, 2569.404
291.3341, 2519.994
291.8162, 2489.916
292.2983, 2464.892
292.7804, 2445.487
293.2625, 2428.764
293.7447, 2410.900
294.2268, 2390.360
294.7089, 2368.724
295.1910, 2348.840
295.6731, 2326.977
296.1552, 2313.529
296.6374, 2316.637
297.1195, 2322.075
297.6016, 2317.314
298.0837, 2301.262
298.5658, 2283.820
299.0479, 2277.785
299.5301, 2287.397
300.0122, 2289.819
300.4943, 2282.301
300.9764, 2270.573
301.4585, 2252.238
301.9406, 2231.048
302.4228, 2215.602
302.9049, 2213.398
303.3870, 2223.032
303.8691, 2231.225
304.3512, 2238.923
304.8333, 2243.622
305.3155, 2242.527
305.7976, 2238.907
306.2797, 2238.255
306.7618, 2244.428
307.2439, 2251.576
307.7260, 2246.984
308.2082, 2227.328
308.6903, 2207.244
309.1724, 2187.863
309.6545, 2171.997
310.1366, 2162.614
310.6187, 2160.362
311.1009, 2163.226
311.5830, 2172.744
312.0651, 2188.114
312.5472, 2196.129
313.0293, 2190.750
313.5114, 2180.921
313.9936, 2175.831
314.4757, 2175.116
314.9578, 2172.600
315.4399, 2163.586
315.9220, 2151.179
316.4041, 2140.210
316.8863, 2130.390
317.3684, 2125.838
317.8505, 2136.125
318.3326, 2156.571
318.8147, 2162.970
319.2968, 2134.061
319.7790, 2103.973
320.2611, 2105.100
320.7432, 2133.047
321.2253, 2157.679
321.7074, 2161.930
322.1895, 2150.194
322.6717, 2140.472
323.1538, 2134.794
323.6359, 2128.295
324.1180, 2114.766
324.6001, 2100.732
325.0822, 2098.014
325.5644, 2110.958
326.0465, 2131.593
326.5286, 2147.037
327.0107, 2159.038
327.4928, 2160.697
327.9749, 2140.401
328.4571, 2118.478
328.9392, 2112.217
329.4213, 2121.458
329.9034, 2132.100
330.3855, 2129.924
330.8676, 2113.244
331.3498, 2102.558
331.8319, 2100.663
332.3140, 2101.815
332.7961, 2108.828
333.2782, 2117.159
333.7603, 2117.629
334.2425, 2103.246
334.7246, 2081.747
335.2067, 2080.344
335.6888, 2115.839
336.1709, 2138.142
336.6530, 2125.003
337.1352, 2102.067
337.6173, 2093.063
338.0994, 2104.169
338.5815, 2120.910
339.0636, 2127.289
339.5457, 2123.023
340.0279, 2115.456
340.5100, 2098.548
340.9921, 2086.519
341.4742, 2092.414
341.9563, 2113.640
342.4384, 2133.023
342.9206, 2140.509
343.4027, 2140.138
343.8848, 2140.339
344.3669, 2141.829
344.8490, 2142.341
345.3311, 2139.053
