##NAMES=Magnesioferrite
##RRUFFID=R070127
##IDEAL CHEMISTRY=MgFe^3+^_2_O_4_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black poorly formed octahedral crystals with deep red highlites, associated with hematite and calcite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070127
401.3646, 713.1085
401.8467, 721.9424
402.3288, 735.0376
402.8109, 745.8137
403.2930, 751.3160
403.7751, 751.0148
404.2573, 746.9445
404.7394, 737.4414
405.2215, 726.2515
405.7036, 719.3549
406.1857, 717.0319
406.6678, 717.1085
407.1500, 719.5692
407.6321, 723.9829
408.1142, 726.7266
408.5963, 727.2197
409.0784, 729.4888
409.5605, 741.5786
410.0427, 760.6095
410.5248, 770.3998
411.0069, 764.3460
411.4890, 750.5307
411.9711, 742.0272
412.4532, 738.2523
412.9354, 735.5157
413.4175, 731.4131
413.8996, 726.7982
414.3817, 722.0977
414.8638, 716.4003
415.3459, 714.2772
415.8281, 723.1582
416.3102, 738.3782
416.7923, 750.6586
417.2744, 755.6530
417.7565, 755.9843
418.2386, 751.5433
418.7208, 742.0399
419.2029, 734.3120
419.6850, 732.5906
420.1671, 733.3870
420.6492, 733.3591
421.1313, 729.6083
421.6135, 727.1404
422.0956, 728.6671
422.5777, 733.2145
423.0598, 734.7216
423.5420, 726.1518
424.0241, 719.3146
424.5062, 720.8286
424.9883, 745.1232
425.4704, 751.0028
425.9525, 722.1048
426.4347, 681.4533
426.9168, 673.8140
427.3989, 720.4584
427.8810, 759.2419
428.3631, 767.5616
428.8452, 743.9912
429.3274, 731.3877
429.8095, 732.1453
430.2916, 739.2932
430.7737, 747.8486
431.2558, 758.1376
431.7379, 762.9265
432.2201, 758.0645
432.7022, 748.8064
433.1843, 751.4897
433.6664, 766.0603
434.1485, 778.6063
434.6306, 777.5905
435.1128, 767.2299
435.5949, 758.4848
436.0770, 752.1100
436.5591, 749.3452
437.0412, 755.6335
437.5233, 767.1251
438.0055, 774.0054
438.4876, 766.6149
438.9697, 755.6125
439.4518, 750.6395
439.9339, 751.8275
440.4160, 756.5062
440.8982, 765.9920
441.3803, 776.8779
441.8624, 785.8990
442.3445, 790.8417
442.8266, 795.4082
443.3087, 803.1326
443.7909, 811.9257
444.2730, 815.0275
444.7551, 806.4122
445.2372, 795.5273
445.7193, 785.6706
446.2014, 775.5795
446.6836, 770.2833
447.1657, 768.6868
447.6478, 772.3688
448.1299, 785.3983
