##NAMES=Aluminium
##RRUFFID=R070230
##IDEAL CHEMISTRY=Al
##LOCALITY=Mud Volcano, Bulla Apsheren penninsula, Caspian Sea, Qobustan (Gobustan; Kobustan) Rayonu, Azerbaijan
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gray blebs in matrix embedded in epoxy, no Raman activity because of crystal symmetry
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070230
294.5814, 2582.698
295.0635, 2556.067
295.5457, 2540.300
296.0278, 2545.207
296.5099, 2553.137
296.9920, 2548.447
297.4741, 2531.521
297.9562, 2516.963
298.4384, 2521.389
298.9205, 2548.925
299.4026, 2566.803
299.8847, 2568.478
300.3668, 2567.373
300.8489, 2567.044
301.3311, 2567.531
301.8131, 2567.427
302.2953, 2565.340
302.7774, 2562.412
303.2595, 2565.150
303.7416, 2581.064
304.2237, 2591.379
304.7058, 2591.384
305.1880, 2584.882
305.6701, 2574.262
306.1522, 2560.177
306.6343, 2546.844
307.1164, 2542.256
307.5985, 2549.149
308.0807, 2554.658
308.5628, 2556.883
309.0449, 2556.718
309.5270, 2554.265
310.0091, 2549.613
310.4912, 2543.240
310.9734, 2533.142
311.4555, 2520.162
311.9376, 2514.763
312.4197, 2522.348
312.9018, 2531.026
313.3839, 2535.255
313.8661, 2534.939
314.3482, 2529.285
314.8303, 2511.811
315.3124, 2491.459
315.7945, 2486.093
316.2766, 2498.195
316.7588, 2510.916
317.2409, 2517.432
317.7230, 2517.821
318.2051, 2511.463
318.6872, 2494.739
319.1693, 2477.518
319.6515, 2466.423
320.1336, 2460.974
320.6157, 2459.556
321.0978, 2463.189
321.5799, 2468.233
322.0620, 2468.072
322.5442, 2461.766
323.0263, 2457.336
323.5084, 2458.312
323.9905, 2461.874
324.4726, 2464.515
324.9547, 2465.654
325.4369, 2466.326
325.9190, 2467.888
326.4011, 2470.500
326.8832, 2470.084
327.3653, 2462.128
327.8474, 2455.381
328.3296, 2455.787
328.8117, 2461.716
329.2938, 2468.102
329.7759, 2472.274
330.2580, 2474.146
330.7401, 2473.169
331.2223, 2466.357
331.7044, 2460.367
332.1865, 2452.759
332.6686, 2447.709
333.1507, 2452.589
333.6328, 2468.719
334.1150, 2486.445
334.5971, 2490.371
335.0792, 2473.024
335.5613, 2462.006
336.0434, 2458.722
336.5255, 2459.664
337.0077, 2447.413
337.4898, 2466.707
337.9719, 2477.627
338.4540, 2480.623
338.9361, 2451.965
339.4182, 2464.182
339.9004, 2460.018
340.3825, 2455.183
340.8646, 2473.154
341.3467, 2449.099
341.8288, 2466.708
342.3109, 2467.686
342.7931, 2476.276
343.2752, 2468.383
343.7573, 2470.152
344.2394, 2474.347
344.7215, 2466.448
345.2036, 2456.068
345.6858, 2450.582
346.1679, 2450.339
346.6500, 2452.093
347.1321, 2456.422
347.6142, 2461.159
348.0963, 2458.298
348.5785, 2443.985
349.0606, 2431.661
349.5427, 2435.424
350.0248, 2450.135
350.5069, 2460.768
350.9890, 2461.052
351.4712, 2459.247
351.9533, 2463.499
352.4354, 2472.331
352.9175, 2477.368
353.3996, 2473.600
353.8817, 2464.836
354.3639, 2461.737
354.8460, 2468.676
355.3281, 2471.016
355.8102, 2461.175
356.2923, 2446.983
356.7744, 2436.978
357.2566, 2433.113
357.7387, 2434.323
358.2208, 2440.268
358.7029, 2452.701
359.1850, 2459.874
359.6671, 2457.973
360.1493, 2455.425
360.6314, 2456.721
361.1135, 2460.310
361.5956, 2462.096
362.0777, 2459.522
362.5598, 2453.884
363.0420, 2449.727
363.5241, 2446.209
364.0062, 2445.863
364.4883, 2453.348
364.9704, 2461.045
365.4525, 2461.318
365.9347, 2453.093
366.4168, 2443.095
366.8989, 2439.154
367.3810, 2441.641
367.8631, 2443.691
368.3452, 2446.547
368.8274, 2446.943
369.3095, 2440.784
369.7916, 2431.072
370.2737, 2424.892
370.7558, 2425.565
371.2379, 2431.635
371.7201, 2443.044
372.2022, 2460.804
372.6843, 2473.927
373.1664, 2476.325
373.6485, 2471.897
374.1306, 2466.835
374.6128, 2461.070
375.0949, 2455.552
375.5770, 2446.932
376.0591, 2439.585
376.5412, 2445.018
377.0233, 2466.917
377.5055, 2491.237
377.9876, 2503.991
378.4697, 2503.712
378.9518, 2501.490
379.4339, 2497.564
379.9160, 2491.600
380.3982, 2481.083
380.8803, 2468.160
381.3624, 2458.721
381.8445, 2456.126
382.3266, 2458.529
382.8087, 2460.355
383.2909, 2461.073
383.7730, 2461.848
384.2551, 2464.513
384.7372, 2466.082
385.2193, 2462.995
385.7014, 2455.376
386.1836, 2447.083
386.6657, 2440.967
387.1478, 2436.708
387.6299, 2441.705
388.1120, 2469.526
388.5941, 2490.887
389.0763, 2495.365
389.5584, 2487.632
390.0405, 2473.323
390.5226, 2452.302
