##NAMES=Piemontite
##RRUFFID=R060905
##IDEAL CHEMISTRY=Ca_2_Mn^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Praborna mine, Aosta Valley, St. Marcel, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Elongated purple single crystals associated with albite and romeite, R060323
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060905
##MEASURED CHEMISTRY=(Ca_1.82_Mn^2+^_0.12_)_Σ=2_(Al_1.95_Mn^3+^_0.97_Fe^3+^_0.08_)_Σ=3_[Si_2.00_O_7_][Si_1.00_O_4_]O(OH) ; = lighter phase, and the darker phase is albite.
353.4209, 744.9990
353.9030, 733.0352
354.3852, 722.2010
354.8673, 732.8434
355.3494, 755.6592
355.8315, 772.0214
356.3136, 765.8623
356.7957, 754.6827
357.2779, 754.6922
357.7600, 766.7161
358.2421, 778.3014
358.7242, 779.1479
359.2063, 776.2916
359.6884, 777.9794
360.1706, 795.2020
360.6527, 810.4091
361.1348, 811.5648
361.6169, 800.4860
362.0990, 794.6578
362.5811, 806.5129
363.0633, 822.7834
363.5454, 833.7308
364.0275, 830.9081
364.5096, 830.0704
364.9917, 839.2072
365.4738, 854.2646
365.9560, 860.5816
366.4381, 843.9691
366.9202, 826.8616
367.4023, 819.9365
367.8844, 833.4100
368.3665, 840.9565
368.8487, 836.8571
369.3308, 826.7756
369.8129, 821.4100
370.2950, 823.9754
370.7771, 827.5486
371.2592, 831.3363
371.7414, 836.9706
372.2235, 834.8483
372.7056, 819.1977
373.1877, 800.3379
373.6698, 792.3016
374.1519, 800.9465
374.6341, 806.2999
375.1162, 802.5906
375.5983, 790.3795
376.0804, 781.4785
376.5625, 776.6699
377.0446, 773.6029
377.5267, 770.6619
378.0089, 767.9327
378.4910, 764.1385
378.9731, 758.3331
379.4552, 751.8430
379.9373, 749.3403
380.4194, 751.1476
380.9016, 753.3719
381.3837, 753.1482
381.8658, 750.9197
382.3479, 749.7411
382.8300, 750.5114
383.3121, 750.9850
383.7943, 745.9329
384.2764, 736.6298
384.7585, 730.0029
385.2406, 731.8996
385.7227, 738.5376
386.2048, 742.2804
386.6870, 742.4139
387.1691, 743.0653
387.6512, 751.6299
388.1333, 763.2324
388.6154, 768.5986
389.0975, 757.6188
389.5797, 742.7593
390.0618, 734.3483
390.5439, 732.0300
391.0260, 732.7222
391.5081, 739.9664
391.9902, 746.9091
392.4724, 746.5085
392.9545, 730.1989
393.4366, 714.6284
393.9187, 706.8714
394.4008, 705.6953
394.8829, 706.6712
395.3651, 710.8346
395.8472, 715.0233
396.3293, 717.5952
396.8114, 718.1442
397.2935, 717.4913
397.7756, 714.6440
398.2578, 710.8442
398.7399, 708.1567
399.2220, 706.0391
399.7041, 705.7585
400.1862, 709.0991
400.6683, 717.5767
401.1505, 719.5175
401.6326, 707.9827
402.1147, 695.5711
402.5968, 695.6575
403.0789, 717.4479
403.5610, 731.3546
404.0432, 729.9874
404.5253, 716.2825
405.0074, 708.8192
405.4895, 708.9731
405.9716, 712.0558
406.4537, 715.7988
406.9359, 720.4390
407.4180, 722.5752
407.9001, 720.8967
408.3822, 718.0436
408.8643, 719.6136
409.3464, 725.6539
409.8285, 732.0579
410.3106, 737.8831
410.7928, 742.4784
411.2749, 742.2528
411.7570, 736.4117
412.2391, 730.4941
412.7212, 732.6735
413.2033, 739.9735
413.6855, 743.0076
414.1676, 729.6230
414.6497, 716.3670
415.1318, 729.9438
415.6139, 767.1335
416.0960, 800.3027
416.5782, 808.4956
417.0603, 803.7639
417.5424, 799.5959
418.0245, 799.5302
418.5066, 799.9200
418.9887, 797.4081
419.4709, 793.6996
419.9530, 792.8239
420.4351, 800.8181
420.9172, 808.6550
421.3993, 809.8913
421.8814, 800.9614
422.3636, 797.8726
422.8457, 807.3727
423.3278, 823.3475
423.8099, 838.8216
424.2920, 863.5296
424.7741, 876.4755
425.2563, 866.8531
425.7384, 835.2894
426.2205, 819.6548
426.7026, 828.0529
427.1847, 843.6918
427.6668, 856.6257
428.1490, 867.1025
428.6311, 873.9742
429.1132, 876.0997
429.5953, 875.1537
430.0774, 875.7840
430.5595, 878.7200
431.0417, 880.4175
431.5238, 877.3218
432.0059, 869.5032
432.4880, 869.8757
432.9701, 879.9258
433.4522, 893.1366
433.9344, 900.5536
434.4165, 903.0463
434.8986, 909.7686
435.3807, 926.9023
435.8628, 947.6912
436.3449, 957.8955
436.8271, 958.0981
437.3092, 955.6673
437.7913, 957.0004
438.2734, 959.0958
438.7555, 956.4736
439.2376, 946.4763
439.7197, 935.9136
440.2018, 931.5432
440.6840, 930.9360
441.1661, 928.7303
441.6482, 921.8097
442.1303, 912.9339
442.6124, 902.5873
443.0945, 890.4149
443.5767, 881.5305
444.0588, 881.5448
444.5409, 883.8968
445.0230, 882.4541
445.5051, 870.7010
445.9872, 860.8106
446.4694, 855.6575
446.9515, 854.5866
447.4336, 853.7343
447.9157, 853.0435
448.3978, 852.5280
448.8799, 852.5156
449.3621, 854.5123
449.8442, 853.0306
450.3263, 846.2296
450.8084, 837.4712
451.2905, 831.9617
451.7726, 830.2386
452.2548, 829.9913
452.7369, 830.0589
453.2190, 830.8244
453.7011, 837.0063
454.1832, 849.8301
454.6653, 861.9959
455.1475, 866.2925
455.6296, 863.7253
456.1117, 861.4809
456.5938, 860.5550
457.0759, 860.9466
457.5580, 862.8412
458.0402, 866.1453
458.5223, 870.3631
459.0044, 877.0013
459.4865, 883.6544
459.9686, 886.6692
460.4507, 885.5636
460.9329, 884.0712
461.4150, 883.3414
461.8971, 884.3661
462.3792, 888.4403
462.8613, 895.6219
463.3434, 906.3207
463.8256, 924.8667
464.3077, 948.4492
464.7898, 964.9496
465.2719, 965.9086
465.7540, 962.0906
466.2361, 958.5616
466.7183, 954.1583
467.2004, 953.5189
467.6825, 959.1765
468.1646, 967.8920
468.6467, 975.9025
469.1288, 985.9931
469.6110, 990.5876
470.0930, 985.4265
470.5752, 971.4210
471.0573, 966.7186
471.5394, 975.5798
472.0215, 984.7910
472.5036, 983.0255
472.9857, 969.2127
473.4679, 958.8997
473.9500, 954.5698
474.4321, 953.0113
474.9142, 948.2709
475.3963, 940.6437
475.8784, 933.6631
476.3606, 930.5659
476.8427, 929.0378
477.3248, 924.0876
477.8069, 915.6895
478.2890, 905.1303
478.7711, 890.3167
479.2533, 874.8452
479.7354, 864.5493
480.2175, 863.8168
480.6996, 864.5118
481.1817, 862.6438
481.6638, 857.9221
482.1460, 849.5262
482.6281, 831.5569
483.1102, 814.2579
483.5923, 803.0798
484.0744, 799.2361
484.5565, 798.0034
485.0387, 800.3098
485.5208, 803.9382
486.0029, 806.7344
486.4850, 808.8647
486.9671, 809.8265
487.4492, 809.3240
487.9314, 807.5872
488.4135, 805.2559
488.8956, 801.1644
489.3777, 798.8400
489.8598, 801.8546
490.3419, 811.8599
490.8241, 813.0883
491.3062, 803.3414
491.7883, 790.0868
492.2704, 782.7839
492.7525, 781.1711
493.2346, 780.2628
493.7168, 778.0258
494.1989, 776.0610
494.6810, 778.8824
495.1631, 785.8352
495.6452, 791.5636
496.1273, 787.3630
496.6095, 781.4495
497.0916, 788.4263
497.5737, 813.7883
498.0558, 834.8015
498.5379, 831.4225
499.0201, 814.5212
499.5022, 800.0696
499.9843, 793.5479
500.4664, 790.6089
500.9485, 790.8190
501.4306, 793.7624
501.9127, 796.0614
502.3948, 799.3544
502.8770, 800.1100
503.3591, 795.6236
503.8412, 779.7590
504.3233, 771.2627
504.8054, 773.0139
505.2875, 780.4345
505.7697, 787.6017
506.2518, 795.8895
506.7339, 799.8217
507.2160, 796.1990
507.6981, 786.8661
508.1802, 783.0314
508.6624, 785.2327
509.1445, 789.5046
509.6266, 794.5618
510.1087, 799.6159
510.5908, 800.6371
511.0729, 796.8575
511.5551, 790.2945
512.0372, 781.3775
512.5193, 771.4202
513.0014, 764.0184
513.4835, 761.9133
513.9656, 762.0773
514.4478, 761.1329
514.9299, 759.5778
515.4120, 761.1386
515.8941, 771.3372
516.3762, 783.0747
516.8583, 791.5065
517.3405, 796.6364
517.8226, 796.7982
518.3047, 784.2473
518.7868, 768.3702
519.2689, 763.7878
519.7510, 784.5971
520.2332, 799.4595
520.7153, 800.2469
521.1974, 788.6229
521.6795, 781.7977
522.1616, 780.9714
522.6437, 782.5501
523.1259, 784.9771
523.6080, 788.4430
524.0901, 790.2683
524.5722, 790.0762
525.0543, 788.8699
525.5364, 787.5663
526.0186, 786.2896
526.5007, 785.9286
526.9828, 787.3173
527.4649, 789.3782
527.9470, 790.0495
528.4291, 789.6057
528.9113, 789.8807
529.3934, 795.9601
529.8755, 801.2114
530.3576, 796.8478
530.8397, 778.5694
531.3218, 764.6219
531.8040, 769.9034
532.2861, 782.3563
532.7682, 787.2460
533.2503, 773.6867
533.7324, 760.7847
534.2145, 750.9421
534.6967, 744.6597
535.1788, 744.3308
535.6609, 756.0162
536.1430, 765.9510
536.6251, 767.7072
537.1072, 759.7932
537.5894, 750.9844
538.0715, 739.2979
538.5536, 730.6885
539.0357, 734.7343
539.5178, 751.2921
539.9999, 765.1456
540.4821, 773.0805
540.9642, 775.7668
541.4463, 769.6862
541.9284, 757.0735
542.4105, 751.5015
542.8926, 768.6773
543.3748, 793.5944
543.8569, 807.2365
544.3390, 808.1613
544.8211, 804.1899
545.3032, 794.2438
545.7853, 784.5018
546.2675, 781.1961
546.7495, 788.6677
547.2316, 798.9792
547.7137, 814.7178
548.1959, 831.6060
548.6780, 840.1585
549.1601, 830.5093
549.6422, 822.4481
550.1243, 821.0102
550.6064, 826.3369
551.0886, 832.5063
551.5707, 839.7457
552.0528, 847.4413
552.5349, 855.0425
553.0170, 862.5602
553.4991, 870.8611
553.9813, 880.7291
554.4634, 889.6400
554.9455, 892.3240
555.4276, 889.9562
555.9097, 889.0183
556.3918, 892.0916
556.8740, 897.9446
557.3561, 906.4589
557.8382, 916.9744
558.3203, 925.7512
558.8024, 928.2451
559.2845, 929.4786
559.7667, 933.7794
560.2488, 942.3149
560.7309, 951.4014
561.2130, 965.1642
561.6951, 976.5616
562.1772, 978.1890
562.6594, 955.5061
563.1415, 939.5143
563.6236, 936.8415
564.1057, 942.9181
564.5878, 941.8698
565.0699, 930.0176
565.5521, 919.6805
566.0342, 917.5842
566.5163, 923.2709
566.9984, 920.8185
567.4805, 908.8328
567.9626, 896.1594
568.4448, 892.7048
568.9269, 895.6694
569.4090, 893.4209
569.8911, 881.3867
570.3732, 870.6786
570.8553, 878.6256
571.3375, 897.5020
571.8196, 909.6852
572.3017, 899.0828
572.7838, 886.9556
573.2659, 888.7407
573.7480, 902.5811
574.2302, 910.9062
574.7123, 900.8130
575.1944, 889.4188
575.6765, 886.2440
576.1586, 895.1208
576.6407, 903.8031
577.1229, 913.9125
577.6050, 922.5700
578.0871, 926.4185
578.5692, 924.5691
579.0513, 920.7034
579.5334, 913.5526
580.0156, 906.4567
580.4977, 911.0675
580.9798, 927.1013
581.4619, 938.7939
581.9440, 934.6444
582.4261, 921.2932
582.9083, 911.2931
583.3904, 904.8929
583.8725, 902.8965
584.3546, 910.7922
584.8367, 921.1191
585.3188, 925.9289
585.8010, 922.9023
586.2831, 915.6473
586.7652, 900.6577
587.2473, 883.7711
587.7294, 873.1991
588.2115, 877.2521
588.6937, 880.0081
589.1758, 878.8363
589.6579, 874.1720
590.1400, 867.9532
590.6221, 859.1674
591.1042, 850.8131
591.5864, 843.7206
592.0685, 837.8312
592.5506, 837.2434
593.0327, 843.0988
593.5148, 848.7441
593.9969, 844.6624
594.4791, 834.3585
594.9612, 831.6085
595.4433, 842.1484
595.9254, 852.5506
596.4075, 844.9614
596.8896, 826.7169
597.3718, 813.4900
597.8539, 821.0569
598.3360, 827.0675
598.8181, 813.7516
599.3002, 784.6245
599.7823, 768.2919
600.2645, 784.7568
600.7466, 803.7393
601.2287, 810.3568
601.7108, 800.1182
602.1929, 795.2358
602.6750, 797.4507
603.1572, 802.8248
603.6393, 807.8552
604.1214, 812.4637
604.6035, 817.8848
605.0856, 825.9711
605.5677, 831.9215
606.0499, 824.5953
606.5320, 806.1783
607.0141, 789.1934
607.4962, 777.1265
607.9783, 770.8772
608.4604, 775.8315
608.9425, 789.8105
609.4246, 799.5068
609.9067, 791.8328
610.3889, 781.3004
610.8710, 778.7764
611.3531, 787.6898
611.8352, 795.6685
612.3173, 799.2084
612.7994, 801.5109
613.2816, 806.0598
613.7637, 818.3030
614.2458, 821.0867
614.7279, 808.0853
615.2100, 789.1895
615.6921, 787.5131
616.1743, 805.5929
616.6564, 816.7357
617.1385, 807.0808
617.6206, 786.3333
618.1027, 780.5952
618.5848, 788.8805
619.0670, 799.4329
619.5491, 805.9487
620.0312, 809.5625
620.5133, 811.4642
620.9954, 811.7090
621.4775, 810.5809
621.9597, 806.6817
622.4418, 802.2786
622.9239, 799.4218
623.4060, 800.2355
623.8881, 800.1619
624.3702, 797.7019
624.8524, 794.4617
625.3345, 792.6888
625.8166, 791.4905
626.2987, 794.3820
626.7808, 804.4841
627.2629, 818.5717
627.7451, 822.7465
628.2272, 816.4979
628.7093, 809.7823
629.1914, 808.9791
629.6735, 812.0161
630.1556, 813.7777
630.6378, 814.1598
631.1199, 814.8060
631.6020, 817.8544
632.0841, 821.4147
632.5662, 822.5999
633.0483, 818.1766
633.5305, 818.2377
634.0126, 831.9373
634.4947, 850.3461
634.9768, 861.8637
635.4589, 861.5211
635.9410, 859.1783
636.4232, 854.4771
636.9053, 848.7793
637.3874, 846.8635
637.8695, 849.8561
638.3516, 852.1395
638.8337, 850.6534
639.3159, 846.6539
639.7980, 845.6446
640.2801, 847.6238
640.7622, 850.7505
641.2443, 856.0306
641.7264, 860.7173
642.2086, 859.8769
642.6907, 852.3491
643.1728, 844.2979
643.6549, 836.8329
644.1370, 831.9815
644.6191, 831.7971
645.1013, 843.5884
645.5834, 851.3802
646.0655, 853.1454
646.5476, 849.5175
647.0297, 839.6691
647.5118, 816.6494
647.9940, 803.2130
648.4761, 808.0522
648.9582, 825.4201
649.4403, 831.6321
649.9224, 826.0617
650.4045, 819.3155
650.8867, 816.9813
651.3688, 817.8647
651.8509, 819.7485
652.3330, 822.5670
652.8151, 825.4241
653.2972, 828.6778
653.7794, 831.0997
654.2615, 831.0817
654.7436, 827.3995
655.2257, 824.3102
655.7078, 826.3817
656.1899, 828.2277
656.6721, 823.2807
657.1542, 804.1031
657.6363, 790.4987
658.1184, 784.5259
658.6005, 784.5144
659.0826, 788.7162
659.5648, 798.0509
660.0469, 803.7652
660.5290, 801.9691
661.0111, 795.1627
661.4932, 789.7363
661.9753, 785.2645
662.4575, 778.9486
662.9396, 761.9791
663.4217, 746.7211
663.9038, 749.7694
664.3859, 772.1506
664.8680, 789.1726
665.3502, 784.1304
665.8323, 774.3506
666.3144, 772.1164
666.7965, 785.4390
667.2786, 792.2037
667.7607, 788.9984
668.2429, 782.2245
668.7250, 779.2748
669.2071, 781.2155
669.6892, 780.3884
670.1713, 774.6023
670.6534, 767.3764
671.1355, 763.7038
671.6176, 763.8057
672.0997, 769.3069
672.5818, 789.4277
673.0640, 807.4360
673.5461, 798.7147
674.0282, 771.0148
674.5103, 752.3067
674.9924, 764.1898
675.4745, 780.5109
675.9567, 788.7247
676.4388, 787.7100
676.9209, 784.0733
677.4030, 773.9430
677.8851, 766.4337
678.3672, 768.7422
678.8494, 784.5276
679.3315, 787.0314
679.8136, 772.5654
680.2957, 756.3790
680.7778, 758.5759
681.2599, 774.0108
681.7421, 781.6854
682.2242, 776.1829
682.7063, 767.4738
683.1884, 764.2994
683.6705, 765.0018
684.1526, 766.7380
684.6348, 769.0779
685.1169, 771.6249
685.5990, 774.8737
686.0811, 778.2584
686.5632, 780.2766
687.0453, 782.9876
687.5275, 781.0353
688.0096, 769.9481
688.4917, 752.5758
688.9738, 747.7133
689.4559, 757.3452
689.9380, 767.9588
690.4202, 771.0618
690.9023, 768.9005
691.3844, 768.2888
691.8665, 769.3204
692.3486, 770.6863
692.8307, 772.9011
693.3129, 774.1290
693.7950, 771.1616
694.2771, 761.5448
694.7592, 756.1882
695.2413, 762.7268
695.7234, 773.1062
696.2056, 779.5894
696.6877, 782.2913
697.1698, 780.0812
697.6519, 770.2233
698.1340, 758.2672
698.6161, 754.0638
699.0983, 758.0022
699.5804, 759.9456
700.0625, 756.3052
700.5446, 751.0392
701.0267, 750.6808
701.5089, 754.3302
701.9910, 758.9903
702.4731, 765.6475
702.9552, 770.6920
703.4373, 771.1039
703.9194, 767.4211
704.4016, 762.7802
704.8837, 754.0986
705.3658, 748.5088
705.8479, 750.1047
706.3300, 759.2748
706.8121, 764.2016
707.2943, 764.0596
707.7764, 761.5707
708.2585, 758.0889
708.7406, 753.6713
709.2227, 748.8613
709.7048, 743.5838
710.1870, 738.7930
710.6691, 732.8835
711.1512, 728.9252
711.6333, 733.0862
712.1154, 749.8635
712.5975, 763.6854
713.0797, 762.3011
713.5618, 755.5609
714.0439, 754.6902
714.5260, 770.1230
715.0081, 780.0294
715.4902, 781.5864
715.9724, 777.9875
716.4545, 774.7033
716.9366, 771.9819
717.4187, 766.9971
717.9008, 756.6298
718.3829, 746.5358
718.8651, 752.3721
719.3472, 770.1105
719.8293, 782.3839
720.3114, 774.1605
720.7935, 761.4234
721.2756, 757.4853
721.7578, 761.0750
722.2399, 765.2382
722.7220, 771.5357
723.2041, 774.1750
723.6862, 768.2023
724.1683, 753.2474
724.6505, 746.8030
725.1326, 752.1993
725.6147, 758.9242
726.0968, 760.1472
726.5789, 756.3110
727.0610, 754.2549
727.5432, 754.1833
728.0253, 754.3959
728.5074, 753.9650
728.9895, 752.6259
729.4716, 750.0073
729.9537, 746.0464
730.4359, 740.7873
730.9180, 728.6011
731.4001, 718.0972
731.8822, 717.2473
732.3643, 737.2368
732.8464, 753.7819
733.3285, 767.8688
733.8106, 777.5922
734.2927, 778.9393
734.7748, 770.9996
735.2570, 763.8481
735.7391, 759.4869
736.2212, 756.6303
736.7033, 751.6156
737.1854, 746.1816
737.6675, 745.7948
738.1497, 759.7748
738.6318, 772.2004
739.1139, 769.7849
739.5960, 757.2473
740.0781, 747.1582
740.5602, 743.7132
741.0424, 742.2202
741.5245, 741.3510
742.0066, 741.3130
742.4887, 743.4512
742.9708, 748.1566
743.4529, 753.4924
743.9351, 758.8120
744.4172, 763.9962
744.8993, 769.8687
745.3814, 776.0603
745.8635, 778.4389
746.3456, 769.9023
746.8278, 758.8725
747.3099, 754.1709
747.7920, 756.4233
748.2741, 751.2628
748.7562, 761.4033
749.2383, 767.0377
749.7205, 768.4082
750.2026, 752.7442
750.6847, 759.0768
751.1668, 756.5942
751.6489, 753.7501
752.1310, 763.1786
752.6132, 749.9922
753.0953, 759.2262
753.5774, 759.5103
754.0595, 763.8906
754.5416, 759.4011
755.0237, 757.6512
755.5059, 764.7739
755.9880, 759.9929
756.4701, 764.6207
756.9522, 771.7006
757.4343, 778.0917
757.9164, 779.6961
758.3986, 773.1355
758.8807, 768.0908
759.3628, 764.8157
759.8449, 763.8359
760.3270, 768.0472
760.8091, 777.1042
761.2913, 781.1561
761.7734, 776.1920
762.2555, 768.2076
762.7376, 763.8687
763.2197, 762.5912
763.7018, 762.9598
764.1840, 768.8773
764.6661, 771.6385
765.1482, 762.5792
765.6303, 747.2585
766.1124, 742.3384
766.5945, 757.2889
767.0767, 767.7633
767.5588, 766.8193
768.0409, 757.8268
768.5230, 752.6288
769.0051, 751.2670
769.4872, 752.2567
769.9694, 756.2015
770.4515, 761.2610
770.9336, 765.4473
771.4157, 768.3862
771.8978, 768.4172
772.3799, 757.3383
772.8621, 749.6831
773.3442, 757.4286
773.8263, 780.3939
774.3084, 792.1387
774.7905, 785.1801
775.2726, 777.1393
775.7548, 776.5801
776.2369, 782.6733
776.7190, 780.5424
777.2011, 769.6058
777.6832, 759.9308
778.1653, 761.4152
778.6475, 767.6204
779.1296, 767.2805
779.6117, 759.9481
780.0938, 753.1287
780.5759, 752.6024
781.0580, 753.0066
781.5402, 749.4034
782.0223, 738.2613
782.5044, 737.2171
782.9865, 751.9607
783.4686, 768.6453
783.9507, 777.9918
784.4329, 779.8440
784.9150, 778.7079
785.3971, 774.6014
785.8792, 768.2997
786.3613, 753.9947
786.8434, 740.1757
787.3256, 743.8511
787.8077, 771.2928
788.2898, 794.6898
788.7719, 798.6848
789.2540, 793.3521
789.7361, 786.5469
790.2183, 774.5473
790.7004, 771.6652
791.1825, 783.3065
791.6646, 796.0341
792.1467, 791.4552
792.6288, 771.3692
793.1110, 765.4238
793.5930, 779.5401
794.0751, 798.0355
794.5573, 805.0797
795.0394, 804.7300
795.5215, 803.0966
796.0036, 802.2469
796.4857, 799.1887
796.9678, 788.0196
797.4500, 776.4765
797.9321, 774.3248
798.4142, 788.7117
798.8963, 795.5386
799.3784, 790.3048
799.8605, 781.5251
800.3427, 783.6416
800.8248, 794.4080
801.3069, 799.4806
801.7890, 794.0009
802.2711, 785.7477
802.7532, 780.0176
803.2354, 777.5280
803.7175, 779.2452
804.1996, 790.6908
804.6817, 800.1066
805.1638, 805.4383
805.6459, 807.0820
806.1281, 804.5146
806.6102, 795.8416
807.0923, 789.9977
807.5744, 789.2795
