##NAMES=Abelsonite
##RRUFFID=R070007
##IDEAL CHEMISTRY=Ni^2+^C_31_H_32_N_4_
##LOCALITY=Green River Formation, Utah, USA
##OWNER=RRUFF
##SOURCE=Geophysical Laboratory, Carnegie Institution of Washington
##DESCRIPTION=Purple platy crystals embedded in drill core
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R070007
##MEASURED CHEMISTRY=(Ni_0.92_Fe^2+^_0.05_Cr_0.02_)C_31_H_32_N_4_ ; C, H and N not measured but estimated by stoichiometry
304.9415, 8437.798
305.4236, 8463.793
305.9057, 8480.121
306.3878, 8486.078
306.8699, 8493.553
307.3521, 8511.117
307.8342, 8535.646
308.3163, 8562.887
308.7984, 8605.276
309.2805, 8639.388
309.7626, 8639.053
310.2448, 8605.235
310.7269, 8578.931
311.2090, 8590.649
311.6911, 8620.722
312.1732, 8647.108
312.6553, 8665.599
313.1375, 8675.541
313.6196, 8669.000
314.1017, 8648.454
314.5838, 8639.316
315.0659, 8663.749
315.5480, 8699.471
316.0302, 8727.718
316.5123, 8738.009
316.9944, 8744.624
317.4765, 8751.161
317.9586, 8757.831
318.4407, 8765.654
318.9229, 8774.248
319.4050, 8784.589
319.8871, 8797.570
320.3692, 8821.919
320.8513, 8838.774
321.3334, 8837.075
321.8156, 8822.378
322.2977, 8816.854
322.7798, 8826.112
323.2619, 8844.937
323.7440, 8871.753
324.2261, 8923.919
324.7083, 8959.677
325.1904, 8969.247
325.6725, 8959.026
326.1546, 8947.388
326.6367, 8918.439
327.1188, 8902.515
327.6009, 8912.865
328.0830, 8973.745
328.5652, 9017.757
329.0473, 9036.627
329.5294, 9040.337
330.0115, 9048.999
330.4936, 9064.411
330.9757, 9082.634
331.4579, 9101.890
331.9400, 9119.991
332.4221, 9146.191
332.9042, 9179.053
333.3863, 9220.641
333.8684, 9277.090
334.3506, 9359.801
334.8327, 9433.487
335.3148, 9487.488
335.7969, 9519.932
336.2790, 9546.979
336.7611, 9564.274
337.2433, 9582.223
337.7254, 9617.449
338.2075, 9677.409
338.6896, 9726.284
339.1717, 9752.824
339.6538, 9759.099
340.1360, 9770.939
340.6181, 9790.806
341.1002, 9808.545
341.5823, 9809.561
342.0644, 9792.863
342.5465, 9786.827
343.0287, 9805.444
343.5108, 9835.898
343.9929, 9831.335
344.4750, 9788.788
344.9571, 9743.008
345.4392, 9728.820
345.9214, 9739.924
346.4035, 9739.813
346.8856, 9721.854
347.3677, 9688.913
347.8498, 9635.405
348.3319, 9564.000
348.8141, 9504.317
349.2962, 9485.511
349.7783, 9492.629
350.2604, 9491.532
350.7425, 9477.636
351.2246, 9452.921
351.7067, 9412.304
352.1888, 9360.712
352.6710, 9315.655
353.1531, 9288.337
353.6352, 9272.194
354.1173, 9258.536
354.5994, 9246.073
355.0815, 9238.841
355.5637, 9250.842
356.0458, 9269.875
356.5279, 9272.532
357.0100, 9229.480
357.4921, 9178.864
357.9742, 9152.467
358.4564, 9154.295
358.9385, 9151.204
359.4206, 9115.766
359.9027, 9069.368
360.3848, 9036.743
360.8669, 9037.903
361.3491, 9043.552
361.8312, 9046.028
362.3133, 9044.601
362.7954, 9031.996
363.2775, 8998.619
363.7596, 8957.385
364.2418, 8917.829
364.7239, 8878.256
365.2060, 8844.275
365.6881, 8821.677
366.1702, 8807.407
366.6523, 8785.676
367.1345, 8746.194
367.6166, 8705.319
368.0987, 8670.442
368.5808, 8638.178
369.0629, 8617.147
369.5450, 8613.465
370.0272, 8620.334
370.5093, 8620.230
370.9914, 8605.291
371.4735, 8594.104
371.9556, 8596.586
372.4377, 8622.138
372.9199, 8625.999
373.4020, 8596.553
373.8841, 8555.884
374.3662, 8541.604
374.8483, 8564.710
375.3304, 8579.290
375.8126, 8567.854
376.2947, 8531.317
376.7768, 8504.177
377.2589, 8488.029
377.7410, 8476.409
378.2231, 8462.180
378.7052, 8445.202
379.1873, 8430.986
379.6695, 8420.773
380.1516, 8414.210
380.6337, 8412.250
381.1158, 8415.292
381.5979, 8415.077
382.0800, 8399.537
382.5622, 8373.714
383.0443, 8361.002
383.5264, 8370.893
384.0085, 8384.727
384.4906, 8368.330
384.9727, 8327.994
385.4549, 8296.252
385.9370, 8306.651
386.4191, 8333.347
386.9012, 8333.688
387.3833, 8297.110
387.8654, 8261.466
388.3476, 8267.220
388.8297, 8297.426
389.3118, 8319.316
389.7939, 8306.899
390.2760, 8287.767
390.7581, 8285.037
391.2403, 8300.345
391.7224, 8311.468
392.2045, 8298.696
392.6866, 8279.270
393.1687, 8271.143
393.6508, 8301.686
394.1330, 8322.750
394.6151, 8306.863
395.0972, 8260.167
395.5793, 8231.111
396.0614, 8246.741
396.5435, 8272.552
397.0257, 8288.533
397.5078, 8287.446
397.9899, 8282.947
398.4720, 8265.662
398.9541, 8245.140
399.4362, 8247.934
399.9184, 8304.881
400.4005, 8349.906
400.8826, 8354.508
401.3647, 8298.559
401.8468, 8271.175
402.3289, 8284.360
402.8111, 8316.149
403.2932, 8337.850
403.7753, 8349.549
404.2574, 8349.748
404.7395, 8330.531
405.2216, 8295.087
405.7037, 8291.538
406.1859, 8328.030
406.6680, 8371.880
407.1501, 8394.035
407.6322, 8394.539
408.1143, 8389.036
408.5964, 8379.067
409.0786, 8366.342
409.5607, 8354.171
410.0428, 8342.666
410.5249, 8332.078
411.0070, 8319.193
411.4891, 8307.583
411.9713, 8309.363
412.4534, 8329.524
412.9355, 8349.919
413.4176, 8345.962
413.8997, 8325.200
414.3818, 8309.457
414.8640, 8317.490
415.3461, 8330.588
415.8282, 8325.650
416.3103, 8301.202
416.7924, 8282.793
417.2745, 8291.645
417.7567, 8313.691
418.2388, 8332.575
418.7209, 8347.872
419.2030, 8354.220
419.6851, 8342.919
420.1672, 8317.943
420.6494, 8300.022
421.1315, 8301.428
421.6136, 8307.356
422.0957, 8309.071
422.5778, 8300.290
423.0599, 8295.730
423.5421, 8294.434
424.0242, 8298.612
424.5063, 8312.707
424.9884, 8349.426
425.4705, 8381.832
425.9526, 8402.681
426.4348, 8411.041
426.9169, 8412.474
427.3990, 8402.095
427.8811, 8390.171
428.3632, 8387.794
428.8453, 8396.720
429.3275, 8410.014
429.8095, 8429.155
430.2917, 8451.477
430.7738, 8463.056
431.2559, 8463.217
431.7380, 8456.701
432.2201, 8438.676
432.7022, 8411.808
433.1844, 8411.509
433.6665, 8447.796
434.1486, 8496.302
434.6307, 8519.320
435.1128, 8520.121
435.5949, 8515.532
436.0771, 8513.837
436.5592, 8512.152
437.0413, 8500.473
437.5234, 8477.781
438.0055, 8465.715
438.4876, 8496.131
438.9698, 8544.942
439.4519, 8575.457
439.9340, 8550.593
440.4161, 8529.183
440.8982, 8563.099
441.3803, 8638.058
441.8625, 8693.682
442.3446, 8701.204
442.8267, 8681.187
443.3088, 8640.938
443.7909, 8561.003
444.2730, 8506.596
444.7552, 8506.842
445.2373, 8538.586
445.7194, 8564.300
446.2015, 8585.351
446.6836, 8593.229
447.1657, 8581.340
447.6479, 8546.921
448.1300, 8521.230
448.6121, 8500.885
449.0942, 8492.443
449.5763, 8505.458
450.0584, 8553.509
450.5406, 8583.769
451.0227, 8584.408
451.5048, 8566.094
451.9869, 8562.915
452.4690, 8577.771
452.9511, 8593.261
453.4333, 8598.327
453.9154, 8594.019
454.3975, 8596.266
454.8796, 8607.626
455.3617, 8617.148
455.8438, 8604.143
456.3259, 8574.808
456.8080, 8556.882
457.2902, 8567.620
457.7723, 8590.577
458.2544, 8600.322
458.7365, 8598.412
459.2186, 8599.862
459.7007, 8625.732
460.1829, 8656.508
460.6650, 8666.040
461.1471, 8637.103
461.6292, 8612.330
462.1113, 8626.936
462.5934, 8662.944
463.0756, 8685.535
463.5577, 8661.037
464.0398, 8639.056
464.5219, 8648.807
465.0040, 8698.648
465.4861, 8727.380
465.9683, 8701.929
466.4504, 8664.440
466.9325, 8650.688
467.4146, 8679.192
467.8967, 8705.487
468.3788, 8725.122
468.8610, 8739.652
469.3431, 8755.362
469.8252, 8773.783
470.3073, 8790.411
470.7894, 8803.252
471.2715, 8812.208
471.7537, 8818.244
472.2358, 8821.635
472.7179, 8821.492
473.2000, 8809.437
473.6821, 8786.361
474.1642, 8784.269
474.6464, 8823.151
475.1285, 8882.442
475.6106, 8914.286
476.0927, 8920.136
476.5748, 8921.387
477.0569, 8931.110
477.5391, 8947.332
478.0212, 8967.154
478.5033, 8990.168
478.9854, 9016.497
479.4675, 9047.961
479.9496, 9082.674
480.4318, 9117.115
480.9139, 9149.005
481.3960, 9181.135
481.8781, 9217.465
482.3602, 9258.236
482.8423, 9289.497
483.3244, 9297.103
483.8065, 9299.892
484.2887, 9311.112
484.7708, 9339.297
485.2529, 9367.444
485.7350, 9394.496
486.2171, 9421.103
486.6992, 9447.733
487.1814, 9472.451
487.6635, 9500.888
488.1456, 9535.835
488.6277, 9578.037
489.1098, 9616.416
489.5919, 9648.808
490.0741, 9681.572
490.5562, 9727.102
491.0383, 9785.175
491.5204, 9823.713
492.0025, 9829.922
492.4846, 9821.478
492.9668, 9837.047
493.4489, 9873.843
493.9310, 9906.167
494.4131, 9917.406
494.8952, 9914.831
495.3773, 9908.979
495.8595, 9900.409
496.3416, 9890.157
496.8237, 9877.379
497.3058, 9863.811
497.7879, 9851.675
498.2701, 9848.110
498.7522, 9839.715
499.2343, 9817.886
499.7164, 9785.276
500.1985, 9752.541
500.6806, 9723.887
501.1628, 9694.407
501.6449, 9660.256
502.1270, 9613.921
502.6091, 9581.106
503.0912, 9565.574
503.5733, 9561.644
504.0555, 9565.643
504.5376, 9588.446
505.0197, 9595.628
505.5018, 9577.516
505.9839, 9539.145
506.4660, 9503.631
506.9482, 9471.001
507.4303, 9441.239
507.9124, 9410.024
508.3945, 9379.086
508.8766, 9370.087
509.3587, 9388.606
509.8408, 9410.878
510.3229, 9404.076
510.8051, 9376.417
511.2872, 9354.737
511.7693, 9359.063
512.2514, 9365.049
512.7335, 9333.947
513.2156, 9275.346
513.6978, 9234.613
514.1799, 9261.528
514.6620, 9302.962
515.1441, 9313.521
515.6262, 9275.286
516.1083, 9243.485
516.5905, 9244.294
517.0726, 9259.076
517.5547, 9264.242
518.0368, 9236.301
518.5189, 9221.069
519.0010, 9229.728
519.4832, 9259.549
519.9653, 9288.471
520.4474, 9322.320
520.9295, 9346.833
521.4116, 9350.302
521.8937, 9326.127
522.3759, 9318.385
522.8580, 9333.112
523.3401, 9352.758
523.8222, 9349.290
524.3043, 9323.785
524.7864, 9306.421
525.2686, 9309.673
525.7507, 9323.806
526.2328, 9331.438
526.7149, 9332.869
527.1970, 9329.845
527.6791, 9321.885
528.1613, 9310.857
528.6434, 9296.729
529.1255, 9277.823
529.6076, 9266.460
530.0897, 9281.301
530.5718, 9304.600
531.0540, 9314.268
531.5361, 9283.519
532.0182, 9259.767
532.5003, 9258.783
532.9824, 9277.486
533.4645, 9297.529
533.9467, 9325.269
534.4288, 9346.172
534.9109, 9353.305
535.3930, 9342.880
535.8751, 9333.121
536.3572, 9320.679
536.8394, 9313.324
537.3215, 9323.273
537.8036, 9353.483
538.2857, 9375.652
538.7678, 9382.763
539.2499, 9379.998
539.7321, 9378.025
540.2142, 9376.842
540.6963, 9376.311
541.1784, 9376.087
541.6605, 9376.567
542.1426, 9378.801
542.6248, 9382.912
543.1069, 9387.172
543.5890, 9384.007
544.0711, 9382.560
544.5532, 9394.460
545.0353, 9432.002
545.5175, 9470.829
545.9996, 9505.674
546.4817, 9534.658
546.9637, 9553.206
547.4459, 9540.415
547.9280, 9536.423
548.4101, 9561.428
548.8922, 9619.213
549.3743, 9653.461
549.8564, 9651.394
550.3386, 9641.910
550.8207, 9645.757
551.3028, 9664.298
551.7849, 9692.801
552.2670, 9738.023
552.7491, 9781.665
553.2313, 9784.612
553.7134, 9749.463
554.1955, 9721.292
554.6776, 9725.888
555.1597, 9746.020
555.6418, 9746.159
556.1240, 9728.121
556.6061, 9708.775
557.0882, 9702.218
557.5703, 9699.400
558.0524, 9689.747
558.5345, 9669.447
559.0167, 9649.582
559.4988, 9635.936
559.9809, 9625.484
560.4630, 9614.455
560.9451, 9595.740
561.4272, 9583.259
561.9094, 9585.990
562.3915, 9599.425
562.8736, 9599.515
563.3557, 9574.215
563.8378, 9553.396
564.3199, 9552.111
564.8021, 9572.803
565.2842, 9589.908
565.7663, 9603.547
566.2484, 9612.855
566.7305, 9613.403
567.2126, 9606.654
567.6948, 9607.763
568.1769, 9623.488
568.6590, 9641.720
569.1411, 9634.533
569.6232, 9612.341
570.1053, 9610.667
570.5875, 9679.497
571.0696, 9754.765
571.5517, 9771.707
572.0338, 9730.546
572.5159, 9700.768
572.9980, 9721.655
573.4802, 9760.070
573.9623, 9792.612
574.4444, 9811.464
574.9265, 9832.098
575.4086, 9859.042
575.8907, 9886.791
576.3729, 9909.622
576.8550, 9930.530
577.3371, 9938.598
577.8192, 9926.405
578.3013, 9900.358
578.7834, 9889.152
579.2656, 9893.898
579.7477, 9905.280
580.2298, 9916.360
580.7119, 9929.120
581.1940, 9953.249
581.6761, 9989.827
582.1583, 10028.66
582.6404, 10068.92
583.1225, 10103.06
583.6046, 10115.43
584.0867, 10087.14
584.5688, 10062.44
585.0510, 10076.53
585.5331, 10113.55
586.0152, 10139.94
586.4973, 10136.59
586.9794, 10129.48
587.4615, 10126.49
587.9437, 10128.10
588.4258, 10132.01
588.9079, 10143.89
589.3900, 10151.23
589.8721, 10143.95
590.3542, 10115.77
590.8364, 10101.52
591.3185, 10103.71
591.8006, 10115.74
592.2827, 10132.32
592.7648, 10152.68
593.2469, 10169.12
593.7291, 10180.13
594.2112, 10185.44
594.6933, 10176.35
595.1754, 10159.00
595.6575, 10156.19
596.1396, 10190.59
596.6218, 10237.81
597.1039, 10285.80
597.5860, 10333.83
598.0681, 10358.63
598.5502, 10326.31
599.0323, 10283.39
599.5144, 10263.19
599.9965, 10282.77
600.4786, 10303.65
600.9608, 10326.80
601.4429, 10350.35
601.9250, 10370.40
602.4071, 10384.64
602.8892, 10405.10
603.3713, 10440.47
603.8535, 10480.02
604.3356, 10480.40
604.8177, 10441.64
605.2998, 10410.16
605.7819, 10423.55
606.2640, 10461.14
606.7462, 10477.52
607.2283, 10471.06
607.7104, 10468.17
608.1925, 10490.24
608.6746, 10525.32
609.1567, 10561.69
609.6389, 10597.80
610.1210, 10631.91
610.6031, 10669.81
611.0852, 10703.42
611.5673, 10719.85
612.0494, 10689.79
612.5316, 10678.42
613.0137, 10704.84
613.4958, 10758.59
613.9779, 10789.04
614.4600, 10787.87
614.9421, 10787.40
615.4243, 10810.26
615.9064, 10851.94
616.3885, 10863.27
616.8706, 10842.17
617.3527, 10815.86
617.8348, 10810.18
618.3170, 10817.63
618.7991, 10823.81
619.2812, 10826.96
619.7633, 10825.68
620.2454, 10815.74
620.7275, 10801.40
621.2097, 10789.24
621.6918, 10786.82
622.1739, 10781.20
622.6560, 10759.84
623.1381, 10729.16
623.6202, 10721.95
624.1024, 10760.34
624.5845, 10792.96
625.0666, 10797.55
625.5487, 10772.43
626.0308, 10766.79
626.5129, 10785.34
626.9951, 10807.77
627.4772, 10816.60
627.9593, 10814.09
628.4414, 10813.34
628.9235, 10816.21
629.4056, 10819.55
629.8878, 10818.31
630.3699, 10815.16
630.8520, 10814.95
631.3341, 10815.89
631.8162, 10824.26
632.2983, 10846.67
632.7805, 10879.68
633.2626, 10912.97
633.7447, 10945.81
634.2268, 10976.90
634.7089, 11008.42
635.1910, 11040.58
635.6732, 11057.61
636.1553, 11046.14
636.6374, 11043.23
637.1195, 11079.38
637.6016, 11157.53
638.0837, 11210.30
638.5659, 11230.58
639.0480, 11244.49
639.5301, 11286.68
640.0122, 11346.96
640.4943, 11396.98
640.9764, 11429.07
641.4586, 11449.69
641.9407, 11449.65
642.4228, 11443.84
642.9049, 11462.00
643.3870, 11543.39
643.8691, 11623.78
644.3513, 11680.71
644.8334, 11714.06
645.3155, 11734.56
645.7976, 11719.44
646.2797, 11720.94
646.7618, 11768.72
647.2440, 11868.83
647.7261, 11932.40
648.2082, 11952.78
648.6903, 11955.82
649.1724, 11960.54
649.6545, 11967.09
650.1367, 11979.83
650.6187, 12002.81
651.1008, 12017.13
651.5829, 11992.31
652.0651, 11945.70
652.5472, 11909.16
653.0293, 11894.88
653.5114, 11892.00
653.9935, 11905.29
654.4756, 11925.99
654.9578, 11931.34
655.4399, 11914.82
655.9220, 11882.76
656.4041, 11827.32
656.8862, 11751.37
657.3683, 11709.04
657.8505, 11713.15
658.3326, 11721.55
658.8147, 11705.30
659.2968, 11666.87
659.7789, 11644.92
660.2610, 11640.59
660.7432, 11648.58
661.2253, 11672.97
661.7074, 11704.02
662.1895, 11722.19
662.6716, 11719.62
663.1537, 11714.75
663.6359, 11715.26
664.1180, 11722.45
664.6001, 11738.16
665.0822, 11776.46
665.5643, 11807.95
666.0464, 11826.72
666.5286, 11834.27
667.0107, 11830.83
667.4928, 11804.17
667.9749, 11793.74
668.4570, 11820.16
668.9391, 11875.29
669.4213, 11900.84
669.9034, 11895.20
670.3855, 11896.50
670.8676, 11942.57
671.3497, 12012.12
671.8318, 12060.07
672.3140, 12083.08
672.7961, 12100.33
673.2782, 12130.40
673.7603, 12159.15
674.2424, 12170.72
674.7245, 12147.88
675.2067, 12136.38
675.6888, 12150.49
676.1709, 12179.67
676.6530, 12212.19
677.1351, 12258.41
677.6172, 12283.45
678.0994, 12275.08
678.5815, 12249.25
679.0636, 12244.90
679.5457, 12262.22
680.0278, 12282.75
680.5099, 12304.01
680.9921, 12320.53
681.4742, 12317.24
681.9563, 12298.17
682.4384, 12284.51
682.9205, 12288.54
683.4026, 12303.41
683.8848, 12326.57
684.3669, 12358.48
684.8490, 12388.50
685.3311, 12416.44
685.8132, 12440.22
686.2953, 12459.27
686.7775, 12475.13
687.2596, 12479.73
687.7417, 12465.32
688.2238, 12452.82
688.7059, 12468.30
689.1880, 12510.27
689.6702, 12556.32
690.1523, 12604.18
690.6344, 12649.53
691.1165, 12680.80
691.5986, 12705.46
692.0807, 12739.92
692.5629, 12807.38
693.0450, 12869.66
693.5271, 12892.14
694.0092, 12891.38
694.4913, 12914.05
694.9734, 12989.86
695.4556, 13070.96
695.9377, 13149.32
696.4198, 13223.10
696.9019, 13275.29
697.3840, 13296.50
697.8661, 13324.21
698.3483, 13386.44
698.8304, 13476.53
699.3125, 13548.14
699.7946, 13601.16
700.2767, 13642.42
700.7589, 13680.09
701.2410, 13709.16
701.7231, 13713.59
702.2052, 13680.91
702.6873, 13674.83
703.1694, 13759.21
703.6515, 13869.95
704.1336, 13943.66
704.6157, 13943.51
705.0978, 13942.31
705.5800, 13937.60
706.0621, 13935.02
706.5442, 13947.84
707.0263, 13981.08
707.5084, 13994.11
707.9905, 13966.52
708.4727, 13929.77
708.9548, 13956.00
709.4369, 14031.06
709.9190, 14093.56
710.4011, 14102.35
710.8832, 14093.47
711.3654, 14089.01
711.8475, 14091.65
712.3296, 14111.81
712.8117, 14177.36
713.2938, 14239.20
713.7759, 14272.18
714.2581, 14275.41
714.7402, 14286.30
715.2223, 14309.82
715.7044, 14332.13
716.1865, 14343.66
716.6686, 14344.72
717.1508, 14351.88
717.6329, 14365.73
718.1150, 14381.86
718.5971, 14400.41
719.0792, 14417.03
719.5613, 14423.85
720.0435, 14418.93
720.5256, 14407.27
721.0077, 14380.51
721.4898, 14353.77
721.9719, 14342.82
722.4540, 14399.00
722.9362, 14405.48
723.4183, 14333.95
723.9004, 14224.90
724.3825, 14142.29
724.8646, 14093.03
725.3467, 14028.16
725.8289, 13927.48
726.3110, 13819.34
726.7931, 13774.50
727.2752, 13779.91
727.7573, 13774.26
728.2394, 13709.65
728.7216, 13636.61
729.2037, 13605.17
729.6858, 13604.70
730.1679, 13596.63
730.6500, 13550.70
731.1321, 13510.53
731.6143, 13503.01
732.0964, 13525.19
732.5785, 13516.80
733.0606, 13464.27
733.5427, 13410.50
734.0248, 13375.41
734.5070, 13358.68
734.9891, 13360.26
735.4712, 13380.48
735.9533, 13407.71
736.4354, 13436.05
736.9175, 13463.91
737.3997, 13491.47
737.8818, 13520.14
738.3639, 13537.05
738.8460, 13525.69
739.3281, 13506.19
739.8102, 13493.87
740.2924, 13480.19
740.7745, 13495.55
741.2566, 13552.39
