##NAMES=Humboldtine
##RRUFFID=R170002
##IDEAL CHEMISTRY=Fe^2+^(C_2_)^6+^O_4_&#183;2H_2_O
##LOCALITY=Zomba, Malawi
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Small yellow granular to short prismatic crystals with good cleavage, grown on aegirine. Associated with albite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R170002
##MEASURED CHEMISTRY=EDS analysis only revealed Fe, with some Mn and Al.
1.545963e+002, 3.262629e+002
1.550784e+002, 3.261461e+002
1.555605e+002, 3.259213e+002
1.560426e+002, 3.255863e+002
1.565247e+002, 3.254757e+002
1.570069e+002, 3.259931e+002
1.574890e+002, 3.271233e+002
1.579711e+002, 3.280049e+002
1.584532e+002, 3.281428e+002
1.589353e+002, 3.282019e+002
1.594174e+002, 3.285176e+002
1.598996e+002, 3.291481e+002
1.603817e+002, 3.301356e+002
1.608638e+002, 3.317330e+002
1.613459e+002, 3.343062e+002
1.618280e+002, 3.362185e+002
1.623102e+002, 3.370450e+002
1.627923e+002, 3.373134e+002
1.632744e+002, 3.372306e+002
1.637565e+002, 3.368816e+002
1.642386e+002, 3.363832e+002
1.647207e+002, 3.359791e+002
1.652029e+002, 3.359682e+002
1.656850e+002, 3.355258e+002
1.661671e+002, 3.342748e+002
1.666492e+002, 3.327792e+002
1.671313e+002, 3.315239e+002
1.676134e+002, 3.307275e+002
1.680956e+002, 3.302708e+002
1.685777e+002, 3.298107e+002
1.690598e+002, 3.295306e+002
1.695419e+002, 3.290284e+002
1.700240e+002, 3.280021e+002
1.705061e+002, 3.267902e+002
1.709883e+002, 3.258302e+002
1.714704e+002, 3.253325e+002
1.719525e+002, 3.252668e+002
1.724346e+002, 3.255624e+002
1.729167e+002, 3.262444e+002
1.733988e+002, 3.271623e+002
1.738810e+002, 3.283565e+002
1.743631e+002, 3.297657e+002
1.748452e+002, 3.311492e+002
1.753273e+002, 3.322026e+002
1.758094e+002, 3.332870e+002
1.762915e+002, 3.354680e+002
1.767737e+002, 3.395391e+002
1.772558e+002, 3.437381e+002
1.777379e+002, 3.469467e+002
1.782200e+002, 3.492294e+002
1.787021e+002, 3.514346e+002
1.791842e+002, 3.538987e+002
1.796664e+002, 3.566582e+002
1.801485e+002, 3.597519e+002
1.806306e+002, 3.633099e+002
1.811127e+002, 3.670659e+002
1.815948e+002, 3.706248e+002
1.820769e+002, 3.739104e+002
1.825591e+002, 3.774185e+002
1.830412e+002, 3.814882e+002
1.835233e+002, 3.859003e+002
1.840054e+002, 3.905248e+002
1.844875e+002, 3.953075e+002
1.849696e+002, 4.002299e+002
1.854518e+002, 4.052380e+002
1.859339e+002, 4.103083e+002
1.864160e+002, 4.155256e+002
1.868981e+002, 4.208086e+002
1.873802e+002, 4.262630e+002
1.878623e+002, 4.320568e+002
1.883445e+002, 4.382720e+002
1.888266e+002, 4.448445e+002
1.893087e+002, 4.514346e+002
1.897908e+002, 4.580249e+002
1.902729e+002, 4.647849e+002
1.907550e+002, 4.716527e+002
1.912372e+002, 4.787309e+002
1.917193e+002, 4.861498e+002
1.922014e+002, 4.940192e+002
1.926835e+002, 5.022653e+002
1.931656e+002, 5.102888e+002
1.936477e+002, 5.178069e+002
1.941299e+002, 5.253417e+002
1.946120e+002, 5.330367e+002
1.950941e+002, 5.408144e+002
1.955762e+002, 5.484470e+002
1.960583e+002, 5.557684e+002
1.965404e+002, 5.628104e+002
1.970226e+002, 5.701545e+002
1.975047e+002, 5.787343e+002
1.979868e+002, 5.865983e+002
1.984689e+002, 5.933920e+002
1.989510e+002, 5.990281e+002
1.994331e+002, 6.034817e+002
1.999153e+002, 6.068311e+002
2.003974e+002, 6.090153e+002
2.008795e+002, 6.088664e+002
2.013616e+002, 6.065253e+002
2.018437e+002, 6.023387e+002
2.023258e+002, 5.962598e+002
2.028080e+002, 5.883992e+002
2.032901e+002, 5.790873e+002
2.037722e+002, 5.683995e+002
2.042543e+002, 5.562501e+002
2.047364e+002, 5.428896e+002
2.052185e+002, 5.276838e+002
2.057007e+002, 5.119189e+002
2.061828e+002, 4.960152e+002
2.066649e+002, 4.801219e+002
2.071470e+002, 4.652071e+002
2.076291e+002, 4.521693e+002
2.081112e+002, 4.408428e+002
2.085934e+002, 4.296076e+002
2.090755e+002, 4.178051e+002
2.095576e+002, 4.064926e+002
2.100397e+002, 3.967974e+002
2.105218e+002, 3.887449e+002
2.110039e+002, 3.813204e+002
2.114861e+002, 3.738044e+002
2.119682e+002, 3.664778e+002
2.124503e+002, 3.598229e+002
2.129324e+002, 3.540135e+002
2.134145e+002, 3.488932e+002
2.138967e+002, 3.443766e+002
2.143788e+002, 3.405165e+002
2.148609e+002, 3.369777e+002
2.153430e+002, 3.335424e+002
2.158251e+002, 3.302971e+002
2.163072e+002, 3.274162e+002
2.167894e+002, 3.249879e+002
2.172715e+002, 3.228794e+002
2.177536e+002, 3.207894e+002
2.182357e+002, 3.185819e+002
2.187178e+002, 3.167968e+002
2.191999e+002, 3.158614e+002
2.196821e+002, 3.153700e+002
2.201642e+002, 3.149088e+002
2.206463e+002, 3.143189e+002
2.211284e+002, 3.136516e+002
2.216105e+002, 3.129012e+002
2.220926e+002, 3.116765e+002
2.225748e+002, 3.112346e+002
2.230569e+002, 3.123705e+002
2.235390e+002, 3.142120e+002
2.240211e+002, 3.157918e+002
2.245032e+002, 3.166350e+002
2.249853e+002, 3.170352e+002
2.254675e+002, 3.178286e+002
2.259496e+002, 3.191853e+002
2.264317e+002, 3.207064e+002
2.269138e+002, 3.221478e+002
2.273959e+002, 3.237283e+002
2.278780e+002, 3.257147e+002
2.283602e+002, 3.282525e+002
2.288423e+002, 3.312055e+002
2.293244e+002, 3.341642e+002
2.298065e+002, 3.372269e+002
2.302886e+002, 3.401242e+002
2.307707e+002, 3.425944e+002
2.312529e+002, 3.449845e+002
2.317350e+002, 3.476810e+002
2.322171e+002, 3.508678e+002
2.326992e+002, 3.544667e+002
2.331813e+002, 3.582247e+002
2.336634e+002, 3.621872e+002
2.341456e+002, 3.663069e+002
2.346277e+002, 3.709441e+002
2.351098e+002, 3.756158e+002
2.355919e+002, 3.796827e+002
2.360740e+002, 3.828481e+002
2.365561e+002, 3.854546e+002
2.370383e+002, 3.885182e+002
2.375204e+002, 3.926011e+002
2.380025e+002, 3.965013e+002
2.384846e+002, 4.001630e+002
2.389667e+002, 4.036185e+002
2.394488e+002, 4.070358e+002
2.399310e+002, 4.105236e+002
2.404131e+002, 4.137223e+002
2.408952e+002, 4.156740e+002
2.413773e+002, 4.153352e+002
2.418594e+002, 4.152045e+002
2.423415e+002, 4.161888e+002
2.428237e+002, 4.172939e+002
2.433058e+002, 4.172931e+002
2.437879e+002, 4.157246e+002
2.442700e+002, 4.128708e+002
2.447521e+002, 4.091814e+002
2.452342e+002, 4.045265e+002
2.457164e+002, 3.993775e+002
2.461985e+002, 3.936335e+002
2.466806e+002, 3.874613e+002
2.471627e+002, 3.810378e+002
2.476448e+002, 3.743520e+002
2.481269e+002, 3.675701e+002
2.486091e+002, 3.609247e+002
2.490912e+002, 3.544665e+002
2.495733e+002, 3.479118e+002
2.500554e+002, 3.408581e+002
2.505375e+002, 3.337137e+002
2.510196e+002, 3.271293e+002
2.515018e+002, 3.213191e+002
2.519839e+002, 3.159462e+002
2.524660e+002, 3.105639e+002
2.529481e+002, 3.051194e+002
2.534302e+002, 2.999688e+002
2.539123e+002, 2.951792e+002
2.543945e+002, 2.907523e+002
2.548766e+002, 2.867138e+002
2.553587e+002, 2.831037e+002
2.558408e+002, 2.797375e+002
2.563229e+002, 2.763240e+002
2.568051e+002, 2.728716e+002
2.572872e+002, 2.698498e+002
2.577693e+002, 2.675699e+002
2.582514e+002, 2.657391e+002
2.587335e+002, 2.638956e+002
2.592156e+002, 2.619838e+002
2.596978e+002, 2.600607e+002
2.601799e+002, 2.580277e+002
2.606620e+002, 2.559584e+002
2.611441e+002, 2.542942e+002
2.616262e+002, 2.535118e+002
2.621083e+002, 2.531014e+002
2.625905e+002, 2.521897e+002
2.630726e+002, 2.506271e+002
2.635547e+002, 2.489286e+002
2.640368e+002, 2.474211e+002
2.645189e+002, 2.460761e+002
2.650010e+002, 2.449043e+002
2.654832e+002, 2.440570e+002
2.659653e+002, 2.433305e+002
2.664474e+002, 2.423386e+002
2.669295e+002, 2.409820e+002
2.674116e+002, 2.397485e+002
2.678937e+002, 2.390021e+002
2.683759e+002, 2.385630e+002
2.688580e+002, 2.382331e+002
2.693401e+002, 2.380278e+002
2.698222e+002, 2.378410e+002
2.703043e+002, 2.375363e+002
2.707864e+002, 2.371206e+002
2.712686e+002, 2.365593e+002
2.717507e+002, 2.355208e+002
2.722328e+002, 2.344294e+002
2.727149e+002, 2.337952e+002
2.731970e+002, 2.338526e+002
2.736791e+002, 2.341942e+002
2.741613e+002, 2.343160e+002
2.746434e+002, 2.342021e+002
2.751255e+002, 2.339502e+002
2.756076e+002, 2.334560e+002
2.760897e+002, 2.329002e+002
2.765718e+002, 2.324340e+002
2.770540e+002, 2.321018e+002
2.775361e+002, 2.317931e+002
2.780182e+002, 2.312852e+002
2.785003e+002, 2.305062e+002
2.789824e+002, 2.300511e+002
2.794645e+002, 2.304819e+002
2.799467e+002, 2.310395e+002
2.804288e+002, 2.311833e+002
2.809109e+002, 2.308375e+002
2.813930e+002, 2.303831e+002
2.818751e+002, 2.302575e+002
2.823572e+002, 2.305023e+002
2.828394e+002, 2.305709e+002
2.833215e+002, 2.302614e+002
2.838036e+002, 2.298347e+002
2.842857e+002, 2.293228e+002
2.847678e+002, 2.287799e+002
2.852499e+002, 2.284157e+002
2.857321e+002, 2.285938e+002
2.862142e+002, 2.293355e+002
2.866963e+002, 2.296218e+002
2.871784e+002, 2.291737e+002
2.876605e+002, 2.284373e+002
2.881426e+002, 2.274859e+002
2.886248e+002, 2.264064e+002
2.891069e+002, 2.254109e+002
2.895890e+002, 2.246568e+002
2.900711e+002, 2.241297e+002
2.905532e+002, 2.237105e+002
2.910353e+002, 2.235321e+002
2.915175e+002, 2.232909e+002
2.919996e+002, 2.229666e+002
2.924817e+002, 2.224951e+002
2.929638e+002, 2.217266e+002
2.934459e+002, 2.204448e+002
2.939280e+002, 2.188377e+002
2.944102e+002, 2.178234e+002
2.948923e+002, 2.177957e+002
2.953744e+002, 2.177728e+002
2.958565e+002, 2.174535e+002
2.963386e+002, 2.169632e+002
2.968207e+002, 2.164751e+002
2.973029e+002, 2.160850e+002
2.977850e+002, 2.157200e+002
2.982671e+002, 2.151655e+002
2.987492e+002, 2.142576e+002
2.992313e+002, 2.135010e+002
2.997134e+002, 2.130952e+002
3.001956e+002, 2.128284e+002
3.006777e+002, 2.125458e+002
3.011598e+002, 2.121956e+002
3.016419e+002, 2.117439e+002
3.021240e+002, 2.110658e+002
3.026061e+002, 2.099753e+002
3.030883e+002, 2.091926e+002
3.035704e+002, 2.091140e+002
3.040525e+002, 2.091529e+002
3.045346e+002, 2.089326e+002
3.050167e+002, 2.083780e+002
3.054988e+002, 2.076500e+002
3.059810e+002, 2.068648e+002
3.064631e+002, 2.059441e+002
3.069452e+002, 2.053276e+002
3.074273e+002, 2.055545e+002
3.079094e+002, 2.056804e+002
3.083915e+002, 2.051655e+002
3.088737e+002, 2.040758e+002
3.093558e+002, 2.028747e+002
3.098379e+002, 2.019420e+002
3.103200e+002, 2.012741e+002
3.108021e+002, 2.008823e+002
3.112842e+002, 2.011292e+002
3.117664e+002, 2.012948e+002
3.122485e+002, 2.011875e+002
3.127306e+002, 2.008022e+002
3.132127e+002, 2.001396e+002
3.136948e+002, 1.991118e+002
3.141769e+002, 1.978213e+002
3.146591e+002, 1.968984e+002
3.151412e+002, 1.965875e+002
3.156233e+002, 1.963353e+002
3.161054e+002, 1.959829e+002
3.165875e+002, 1.955867e+002
3.170696e+002, 1.952385e+002
3.175518e+002, 1.949932e+002
3.180339e+002, 1.947916e+002
3.185160e+002, 1.944543e+002
3.189981e+002, 1.938227e+002
3.194802e+002, 1.933967e+002
3.199623e+002, 1.934853e+002
3.204445e+002, 1.936884e+002
3.209266e+002, 1.936541e+002
3.214087e+002, 1.932753e+002
3.218908e+002, 1.926988e+002
3.223729e+002, 1.920990e+002
3.228550e+002, 1.914193e+002
3.233372e+002, 1.909158e+002
3.238193e+002, 1.907085e+002
3.243014e+002, 1.906198e+002
3.247835e+002, 1.906206e+002
3.252656e+002, 1.906742e+002
3.257477e+002, 1.906555e+002
3.262299e+002, 1.904031e+002
3.267120e+002, 1.898898e+002
3.271941e+002, 1.894064e+002
3.276762e+002, 1.888343e+002
3.281583e+002, 1.884212e+002
3.286404e+002, 1.883556e+002
3.291226e+002, 1.885469e+002
3.296047e+002, 1.887402e+002
3.300868e+002, 1.887491e+002
3.305689e+002, 1.886013e+002
3.310510e+002, 1.884669e+002
3.315331e+002, 1.882300e+002
3.320153e+002, 1.882021e+002
3.324974e+002, 1.888031e+002
3.329795e+002, 1.895863e+002
3.334616e+002, 1.898614e+002
3.339437e+002, 1.892161e+002
3.344258e+002, 1.880467e+002
3.349080e+002, 1.872501e+002
3.353901e+002, 1.869533e+002
3.358722e+002, 1.867091e+002
3.363543e+002, 1.863344e+002
3.368365e+002, 1.859794e+002
3.373186e+002, 1.858064e+002
3.378007e+002, 1.858683e+002
3.382828e+002, 1.860008e+002
3.387649e+002, 1.860062e+002
3.392470e+002, 1.858723e+002
3.397292e+002, 1.856970e+002
3.402113e+002, 1.854026e+002
3.406934e+002, 1.851453e+002
3.411755e+002, 1.850694e+002
3.416576e+002, 1.851593e+002
3.421397e+002, 1.852225e+002
3.426219e+002, 1.850517e+002
3.431040e+002, 1.846747e+002
3.435861e+002, 1.844224e+002
3.440682e+002, 1.843943e+002
3.445503e+002, 1.843816e+002
3.450324e+002, 1.842516e+002
3.455146e+002, 1.840375e+002
3.459967e+002, 1.838251e+002
3.464788e+002, 1.836727e+002
3.469609e+002, 1.835486e+002
3.474430e+002, 1.833428e+002
3.479251e+002, 1.829826e+002
3.484073e+002, 1.827481e+002
3.488894e+002, 1.829389e+002
3.493715e+002, 1.832849e+002
3.498536e+002, 1.834571e+002
3.503357e+002, 1.833316e+002
3.508178e+002, 1.830803e+002
3.513000e+002, 1.828851e+002
3.517821e+002, 1.827482e+002
3.522642e+002, 1.826692e+002
3.527463e+002, 1.827883e+002
3.532284e+002, 1.828551e+002
3.537105e+002, 1.825480e+002
3.541927e+002, 1.818092e+002
3.546748e+002, 1.811182e+002
3.551569e+002, 1.808597e+002
3.556390e+002, 1.809427e+002
3.561211e+002, 1.809497e+002
3.566032e+002, 1.807728e+002
3.570854e+002, 1.805639e+002
3.575675e+002, 1.805047e+002
3.580496e+002, 1.805561e+002
3.585317e+002, 1.805147e+002
3.590138e+002, 1.802144e+002
3.594959e+002, 1.798036e+002
3.599781e+002, 1.795152e+002
3.604602e+002, 1.793706e+002
3.609423e+002, 1.792928e+002
3.614244e+002, 1.792580e+002
3.619065e+002, 1.792505e+002
3.623886e+002, 1.792267e+002
3.628708e+002, 1.791202e+002
3.633529e+002, 1.790573e+002
3.638350e+002, 1.791814e+002
3.643171e+002, 1.794638e+002
3.647992e+002, 1.797221e+002
3.652813e+002, 1.798924e+002
3.657635e+002, 1.799706e+002
3.662456e+002, 1.799923e+002
3.667277e+002, 1.800240e+002
3.672098e+002, 1.798219e+002
3.676919e+002, 1.790438e+002
3.681740e+002, 1.780039e+002
3.686562e+002, 1.773044e+002
3.691383e+002, 1.771096e+002
3.696204e+002, 1.771978e+002
3.701025e+002, 1.773856e+002
3.705846e+002, 1.776905e+002
3.710667e+002, 1.778113e+002
3.715489e+002, 1.775797e+002
3.720310e+002, 1.772354e+002
3.725131e+002, 1.770123e+002
3.729952e+002, 1.769139e+002
3.734773e+002, 1.767595e+002
3.739594e+002, 1.763674e+002
3.744416e+002, 1.757870e+002
3.749237e+002, 1.755312e+002
3.754058e+002, 1.758615e+002
3.758879e+002, 1.761994e+002
3.763700e+002, 1.762984e+002
3.768521e+002, 1.762374e+002
3.773343e+002, 1.761992e+002
3.778164e+002, 1.762722e+002
3.782985e+002, 1.763812e+002
3.787806e+002, 1.763436e+002
3.792627e+002, 1.760185e+002
3.797448e+002, 1.757823e+002
3.802270e+002, 1.756836e+002
3.807091e+002, 1.756707e+002
3.811912e+002, 1.757365e+002
3.816733e+002, 1.758619e+002
3.821554e+002, 1.759484e+002
3.826375e+002, 1.758712e+002
3.831197e+002, 1.755759e+002
3.836018e+002, 1.753928e+002
3.840839e+002, 1.755190e+002
3.845660e+002, 1.755480e+002
3.850481e+002, 1.751931e+002
3.855302e+002, 1.745816e+002
3.860124e+002, 1.740336e+002
3.864945e+002, 1.737534e+002
3.869766e+002, 1.737144e+002
3.874587e+002, 1.737743e+002
3.879408e+002, 1.740138e+002
3.884229e+002, 1.742658e+002
3.889051e+002, 1.746283e+002
3.893872e+002, 1.749416e+002
3.898693e+002, 1.749917e+002
3.903514e+002, 1.747237e+002
3.908335e+002, 1.743437e+002
3.913156e+002, 1.742051e+002
3.917978e+002, 1.744536e+002
3.922799e+002, 1.745437e+002
3.927620e+002, 1.743247e+002
3.932441e+002, 1.740822e+002
3.937262e+002, 1.739633e+002
3.942083e+002, 1.739580e+002
3.946905e+002, 1.739791e+002
3.951726e+002, 1.739839e+002
3.956547e+002, 1.739601e+002
3.961368e+002, 1.737492e+002
3.966189e+002, 1.730626e+002
3.971010e+002, 1.726196e+002
3.975832e+002, 1.727760e+002
3.980653e+002, 1.732286e+002
3.985474e+002, 1.736203e+002
3.990295e+002, 1.738286e+002
3.995116e+002, 1.738450e+002
3.999937e+002, 1.735220e+002
4.004759e+002, 1.727153e+002
4.009580e+002, 1.723322e+002
4.014401e+002, 1.731264e+002
4.019222e+002, 1.740356e+002
4.024043e+002, 1.743337e+002
4.028864e+002, 1.739810e+002
4.033686e+002, 1.733764e+002
4.038507e+002, 1.725788e+002
4.043328e+002, 1.717175e+002
4.048149e+002, 1.714274e+002
4.052970e+002, 1.719533e+002
4.057791e+002, 1.726316e+002
4.062613e+002, 1.731879e+002
4.067434e+002, 1.735594e+002
4.072255e+002, 1.735481e+002
4.077076e+002, 1.727569e+002
4.081897e+002, 1.718726e+002
4.086718e+002, 1.717620e+002
4.091540e+002, 1.723958e+002
4.096361e+002, 1.730180e+002
4.101182e+002, 1.733490e+002
4.106003e+002, 1.734441e+002
4.110824e+002, 1.734078e+002
4.115645e+002, 1.732039e+002
4.120467e+002, 1.730169e+002
4.125288e+002, 1.729057e+002
4.130109e+002, 1.728689e+002
4.134930e+002, 1.729693e+002
4.139751e+002, 1.732432e+002
4.144572e+002, 1.734160e+002
4.149394e+002, 1.730724e+002
4.154215e+002, 1.721904e+002
4.159036e+002, 1.718747e+002
4.163857e+002, 1.726105e+002
4.168678e+002, 1.735444e+002
4.173499e+002, 1.742320e+002
4.178321e+002, 1.746525e+002
4.183142e+002, 1.748450e+002
4.187963e+002, 1.748130e+002
4.192784e+002, 1.745984e+002
4.197605e+002, 1.743340e+002
4.202426e+002, 1.739209e+002
4.207248e+002, 1.735959e+002
4.212069e+002, 1.734255e+002
4.216890e+002, 1.733351e+002
4.221711e+002, 1.732395e+002
4.226532e+002, 1.731242e+002
4.231353e+002, 1.730610e+002
4.236175e+002, 1.731775e+002
4.240996e+002, 1.735901e+002
4.245817e+002, 1.735716e+002
4.250638e+002, 1.726979e+002
4.255459e+002, 1.718828e+002
4.260280e+002, 1.715132e+002
4.265102e+002, 1.714777e+002
4.269923e+002, 1.714890e+002
4.274744e+002, 1.713745e+002
4.279565e+002, 1.712087e+002
4.284386e+002, 1.712796e+002
4.289207e+002, 1.718861e+002
4.294029e+002, 1.721758e+002
4.298850e+002, 1.718495e+002
4.303671e+002, 1.713386e+002
4.308492e+002, 1.709139e+002
4.313313e+002, 1.706509e+002
4.318134e+002, 1.705774e+002
4.322956e+002, 1.708526e+002
4.327777e+002, 1.714942e+002
4.332598e+002, 1.717325e+002
4.337419e+002, 1.711887e+002
4.342241e+002, 1.707090e+002
4.347062e+002, 1.708779e+002
4.351883e+002, 1.713663e+002
4.356704e+002, 1.715030e+002
4.361525e+002, 1.708349e+002
4.366346e+002, 1.698990e+002
4.371168e+002, 1.695890e+002
4.375989e+002, 1.699644e+002
4.380810e+002, 1.703523e+002
4.385631e+002, 1.706117e+002
4.390452e+002, 1.706951e+002
4.395273e+002, 1.705364e+002
4.400095e+002, 1.701167e+002
4.404916e+002, 1.696600e+002
4.409737e+002, 1.691900e+002
4.414558e+002, 1.687833e+002
4.419379e+002, 1.686440e+002
4.424200e+002, 1.688278e+002
4.429022e+002, 1.690754e+002
4.433843e+002, 1.691306e+002
4.438664e+002, 1.690567e+002
4.443485e+002, 1.692217e+002
4.448306e+002, 1.700695e+002
4.453127e+002, 1.707530e+002
4.457949e+002, 1.706373e+002
4.462770e+002, 1.699672e+002
4.467591e+002, 1.693999e+002
4.472412e+002, 1.692084e+002
4.477233e+002, 1.692137e+002
4.482054e+002, 1.690587e+002
4.486876e+002, 1.685393e+002
4.491697e+002, 1.683439e+002
4.496518e+002, 1.687588e+002
4.501339e+002, 1.693210e+002
4.506160e+002, 1.697278e+002
4.510981e+002, 1.699403e+002
4.515803e+002, 1.700164e+002
4.520624e+002, 1.699863e+002
4.525445e+002, 1.698608e+002
4.530266e+002, 1.697835e+002
4.535087e+002, 1.697142e+002
4.539908e+002, 1.697468e+002
4.544730e+002, 1.698973e+002
4.549551e+002, 1.701554e+002
4.554372e+002, 1.705942e+002
4.559193e+002, 1.712087e+002
4.564014e+002, 1.717583e+002
4.568835e+002, 1.718301e+002
4.573657e+002, 1.712715e+002
4.578478e+002, 1.709244e+002
4.583299e+002, 1.710217e+002
4.588120e+002, 1.711381e+002
4.592941e+002, 1.710062e+002
4.597762e+002, 1.707534e+002
4.602584e+002, 1.707376e+002
4.607405e+002, 1.713039e+002
4.612226e+002, 1.720542e+002
4.617047e+002, 1.720044e+002
4.621868e+002, 1.709263e+002
4.626689e+002, 1.701528e+002
4.631511e+002, 1.703170e+002
4.636332e+002, 1.709034e+002
4.641153e+002, 1.714833e+002
4.645974e+002, 1.720374e+002
4.650795e+002, 1.724362e+002
4.655616e+002, 1.725309e+002
4.660438e+002, 1.724281e+002
4.665259e+002, 1.723114e+002
4.670080e+002, 1.721718e+002
4.674901e+002, 1.722194e+002
4.679722e+002, 1.727366e+002
4.684543e+002, 1.736079e+002
4.689365e+002, 1.742332e+002
4.694186e+002, 1.744151e+002
