##NAMES=Rhodonite
##RRUFFID=R100038
##IDEAL CHEMISTRY=CaMn^2+^_3_Mn^2+^Si_5_O_15_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale red, tabular to blocky crystals associated with black langbanite R100037
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100038
256.3403, 289.4884
256.8224, 289.8495
257.3046, 290.2835
257.7867, 291.4932
258.2688, 293.8900
258.7509, 296.2318
259.2330, 298.1231
259.7151, 299.5519
260.1973, 300.6919
260.6794, 301.4568
261.1615, 302.0043
261.6436, 302.5233
262.1257, 302.9987
262.6078, 303.5060
263.0900, 304.1750
263.5721, 305.0897
264.0542, 305.3392
264.5363, 304.7634
265.0184, 303.7096
265.5005, 302.5672
265.9827, 301.3310
266.4648, 300.0558
266.9469, 298.9051
267.4290, 297.9047
267.9111, 295.8907
268.3932, 292.3232
268.8754, 288.5981
269.3575, 286.4929
269.8396, 286.4906
270.3217, 286.2591
270.8038, 285.1581
271.2859, 283.2336
271.7681, 281.5203
272.2502, 280.0235
272.7323, 278.7307
273.2144, 277.6232
273.6965, 276.6552
274.1786, 276.0960
274.6608, 276.0705
275.1429, 276.5182
275.6250, 277.0831
276.1071, 277.8694
276.5892, 278.4789
277.0714, 278.4409
277.5535, 277.6805
278.0356, 276.9810
278.5177, 276.4727
278.9998, 276.1403
279.4819, 275.9386
279.9641, 275.8837
280.4462, 275.8974
280.9283, 275.9807
281.4104, 276.1427
281.8925, 276.0985
282.3746, 275.7293
282.8568, 275.1841
283.3389, 274.7995
283.8210, 274.5483
284.3031, 274.6518
284.7852, 275.5989
285.2673, 277.2965
285.7495, 278.1578
286.2316, 277.7661
286.7137, 276.7533
287.1958, 276.3582
287.6779, 276.5851
288.1600, 277.1891
288.6422, 278.1381
289.1243, 279.3925
289.6064, 280.6256
290.0885, 281.8478
290.5706, 282.9893
291.0527, 283.8892
291.5349, 284.5649
292.0170, 285.2384
292.4991, 285.9571
292.9812, 286.7651
293.4633, 287.8304
293.9454, 289.2066
294.4276, 290.6906
294.9097, 291.9703
295.3918, 293.0934
295.8739, 294.2849
296.3560, 295.7985
296.8381, 297.4382
297.3203, 298.6183
297.8024, 299.2768
298.2845, 299.8810
298.7666, 301.0153
299.2487, 302.5076
299.7308, 303.8648
300.2130, 304.6989
300.6951, 305.3432
301.1772, 306.4487
301.6593, 308.0109
302.1414, 309.5223
302.6235, 310.7010
303.1057, 311.4972
303.5878, 311.7343
304.0699, 310.7790
304.5520, 309.7088
305.0341, 310.0226
305.5162, 311.5652
305.9984, 313.0375
306.4805, 313.1759
306.9626, 312.7410
307.4447, 312.8452
307.9268, 314.1881
308.4089, 315.6226
308.8911, 316.0274
309.3732, 315.6056
309.8553, 315.2013
310.3374, 315.3650
310.8195, 315.7628
311.3016, 316.0283
311.7838, 315.9570
312.2659, 316.0169
312.7480, 316.6403
313.2301, 317.6434
313.7122, 318.5776
314.1943, 319.1655
314.6765, 319.6684
315.1586, 320.1811
315.6407, 320.5944
316.1228, 321.4554
316.6049, 323.2549
317.0870, 325.6481
317.5692, 328.0357
318.0513, 330.0684
318.5334, 332.1703
319.0155, 334.6730
319.4976, 337.7251
319.9797, 340.4000
320.4619, 341.7799
320.9440, 342.8371
321.4261, 344.6400
321.9082, 348.5023
322.3903, 352.1346
322.8724, 354.8121
323.3546, 356.4973
323.8367, 357.8938
324.3188, 359.0517
324.8009, 360.0284
325.2830, 360.8575
325.7651, 360.9825
326.2473, 361.6071
326.7294, 363.2822
327.2115, 365.8278
327.6936, 367.7899
328.1757, 368.7469
328.6578, 369.3364
329.1400, 369.8690
329.6221, 370.2121
330.1042, 370.6649
330.5863, 371.2155
331.0684, 371.8742
331.5505, 372.6585
332.0327, 373.5458
332.5148, 374.5804
332.9969, 375.8510
333.4790, 377.5598
333.9611, 378.8287
334.4432, 379.3802
334.9254, 379.6504
335.4075, 380.4468
335.8896, 382.1756
336.3717, 383.6344
336.8538, 384.4778
337.3359, 384.7032
337.8180, 384.4324
338.3001, 383.6609
338.7823, 382.4143
339.2644, 380.5319
339.7465, 377.7380
340.2286, 375.5052
340.7107, 374.3846
341.1928, 374.1617
341.6750, 373.3742
342.1571, 371.8705
342.6392, 370.3168
343.1213, 369.3212
343.6034, 368.8989
344.0855, 368.2921
344.5677, 367.2690
345.0498, 366.1020
345.5319, 365.6057
346.0140, 365.8048
346.4961, 365.9765
346.9782, 365.5271
347.4604, 364.6104
347.9425, 363.9992
348.4246, 363.7952
348.9067, 363.8183
349.3888, 364.0098
349.8709, 364.2914
350.3531, 364.2084
350.8352, 363.2345
351.3173, 361.8144
351.7994, 360.8109
352.2815, 360.2796
352.7636, 359.9095
353.2458, 359.3814
353.7279, 358.7890
354.2100, 358.3416
354.6921, 358.3402
355.1742, 358.3658
355.6563, 357.8603
356.1385, 356.8747
356.6206, 355.9514
357.1027, 355.2017
357.5848, 354.8160
358.0669, 355.0557
358.5490, 356.2982
359.0312, 357.7126
359.5133, 358.9317
359.9954, 359.9272
360.4775, 360.6364
360.9596, 361.0137
361.4417, 361.0996
361.9239, 360.8003
362.4060, 359.8398
362.8881, 359.2654
363.3702, 359.7987
363.8523, 360.9017
364.3344, 361.7500
364.8166, 362.2809
365.2987, 362.3707
365.7808, 361.6873
366.2629, 360.0559
366.7450, 359.1045
367.2271, 359.5698
367.7093, 360.5932
368.1914, 361.4205
368.6735, 362.1289
369.1556, 362.4864
369.6377, 362.2498
370.1198, 361.5135
370.6020, 361.0998
371.0841, 361.1176
371.5662, 361.3578
372.0483, 361.7419
372.5304, 362.5244
373.0125, 362.9517
373.4947, 362.8038
373.9768, 362.3597
374.4589, 362.3284
374.9410, 362.9806
375.4231, 363.4792
375.9052, 363.3535
376.3874, 362.4341
376.8695, 362.3331
377.3516, 363.3225
377.8337, 364.6740
378.3158, 365.4673
378.7979, 365.6281
379.2801, 365.7853
379.7622, 365.9909
380.2443, 366.3385
380.7264, 367.3600
381.2085, 369.1115
381.6906, 371.1023
382.1728, 373.0732
382.6549, 374.9911
383.1370, 376.4527
383.6191, 377.2386
384.1012, 377.8345
384.5833, 379.2900
385.0655, 381.4667
385.5476, 383.3141
386.0297, 383.7621
386.5118, 383.6045
386.9939, 384.4853
387.4760, 386.6686
387.9582, 388.9303
388.4403, 390.0191
388.9224, 390.3536
389.4045, 390.8008
389.8866, 392.5331
390.3687, 393.9815
390.8509, 393.1919
391.3330, 390.3986
391.8151, 388.2257
392.2972, 389.1671
392.7793, 391.0624
393.2614, 391.7857
393.7436, 390.0032
394.2257, 388.0775
394.7078, 386.9213
395.1899, 386.3780
395.6720, 386.0349
396.1541, 385.8468
396.6363, 385.7672
397.1184, 385.7582
397.6005, 385.7776
398.0826, 386.0000
398.5647, 386.7943
399.0468, 387.6919
399.5290, 388.1241
400.0111, 387.1288
400.4932, 386.6665
400.9753, 387.0813
401.4574, 388.3773
401.9395, 390.1934
402.4217, 393.2069
402.9038, 396.0380
403.3859, 397.6137
403.8680, 397.0527
404.3501, 397.3745
404.8322, 399.0547
405.3144, 401.6079
405.7965, 403.6761
406.2786, 405.1244
406.7607, 406.5687
407.2428, 408.1743
407.7249, 409.9385
408.2071, 412.4172
408.6892, 415.8288
409.1713, 419.3479
409.6534, 421.8951
410.1355, 423.4983
410.6176, 424.9385
411.0998, 426.3622
411.5819, 427.8398
412.0640, 429.5306
412.5461, 431.4204
413.0282, 433.5247
413.5103, 436.1364
413.9925, 438.9089
414.4746, 441.0489
414.9567, 442.2560
415.4388, 443.3262
415.9209, 445.1881
416.4030, 447.5785
416.8852, 449.8971
417.3673, 451.8920
417.8494, 453.6229
418.3315, 455.1582
418.8136, 456.4871
419.2957, 457.5999
419.7779, 458.4263
420.2600, 459.0502
420.7421, 459.5450
421.2242, 460.4102
421.7063, 460.6630
422.1884, 459.6948
422.6706, 457.7970
423.1527, 456.0265
423.6348, 455.1624
424.1169, 454.0768
424.5990, 452.1836
425.0811, 449.0466
425.5633, 446.0308
426.0454, 443.0507
426.5275, 440.2823
427.0096, 437.9258
427.4917, 436.1725
427.9738, 434.5583
428.4560, 432.8910
428.9381, 431.1856
429.4202, 430.2476
429.9023, 430.4979
430.3844, 430.7499
430.8665, 429.9282
431.3487, 427.7243
431.8308, 426.2771
432.3129, 425.7189
432.7950, 426.0594
433.2771, 427.8851
433.7592, 431.2670
434.2414, 433.8515
434.7235, 434.1605
435.2056, 432.7257
435.6877, 431.4912
436.1698, 430.4288
436.6519, 429.9037
437.1341, 430.6511
437.6162, 432.2469
438.0983, 433.6403
438.5804, 434.6549
