##NAMES=Parisite-(Ce)
##RRUFFID=R120061
##IDEAL CHEMISTRY=CaCe_2_(CO_3_)_3_F_2_
##LOCALITY=Snowbird mine, Fish Creek, Alberton, Mineral County, Montana, USA
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Brown hexagonal prismatic crystals, associated with white quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120061
2.100571e+002, 1.732473e+002
2.105392e+002, 1.736724e+002
2.110214e+002, 1.741012e+002
2.115035e+002, 1.745043e+002
2.119856e+002, 1.749416e+002
2.124677e+002, 1.756973e+002
2.129498e+002, 1.769368e+002
2.134319e+002, 1.781406e+002
2.139140e+002, 1.789597e+002
2.143962e+002, 1.792555e+002
2.148783e+002, 1.796852e+002
2.153604e+002, 1.803301e+002
2.158425e+002, 1.811475e+002
2.163246e+002, 1.819413e+002
2.168067e+002, 1.827168e+002
2.172889e+002, 1.834701e+002
2.177710e+002, 1.841978e+002
2.182531e+002, 1.848826e+002
2.187352e+002, 1.855866e+002
2.192173e+002, 1.862991e+002
2.196994e+002, 1.870394e+002
2.201816e+002, 1.878689e+002
2.206637e+002, 1.888237e+002
2.211458e+002, 1.898167e+002
2.216279e+002, 1.907703e+002
2.221100e+002, 1.916421e+002
2.225921e+002, 1.925975e+002
2.230743e+002, 1.936378e+002
2.235564e+002, 1.947702e+002
2.240385e+002, 1.961303e+002
2.245206e+002, 1.978596e+002
2.250027e+002, 1.995533e+002
2.254848e+002, 2.009494e+002
2.259670e+002, 2.019296e+002
2.264491e+002, 2.028837e+002
2.269312e+002, 2.038496e+002
2.274133e+002, 2.048165e+002
2.278954e+002, 2.057491e+002
2.283775e+002, 2.065115e+002
2.288597e+002, 2.074126e+002
2.293418e+002, 2.086443e+002
2.298239e+002, 2.103109e+002
2.303060e+002, 2.120632e+002
2.307881e+002, 2.139170e+002
2.312702e+002, 2.158391e+002
2.317524e+002, 2.175866e+002
2.322345e+002, 2.190141e+002
2.327166e+002, 2.204307e+002
2.331987e+002, 2.220181e+002
2.336808e+002, 2.239177e+002
2.341629e+002, 2.256485e+002
2.346451e+002, 2.271319e+002
2.351272e+002, 2.284221e+002
2.356093e+002, 2.298071e+002
2.360914e+002, 2.313859e+002
2.365735e+002, 2.329229e+002
2.370556e+002, 2.342658e+002
2.375378e+002, 2.352729e+002
2.380199e+002, 2.364101e+002
2.385020e+002, 2.377574e+002
2.389841e+002, 2.392661e+002
2.394662e+002, 2.406603e+002
2.399483e+002, 2.418250e+002
2.404305e+002, 2.430496e+002
2.409126e+002, 2.445428e+002
2.413947e+002, 2.465626e+002
2.418768e+002, 2.482791e+002
2.423589e+002, 2.495015e+002
2.428410e+002, 2.504029e+002
2.433232e+002, 2.516704e+002
2.438053e+002, 2.536344e+002
2.442874e+002, 2.554993e+002
2.447695e+002, 2.567484e+002
2.452516e+002, 2.568003e+002
2.457337e+002, 2.575645e+002
2.462159e+002, 2.593400e+002
2.466980e+002, 2.618336e+002
2.471801e+002, 2.641260e+002
2.476622e+002, 2.663687e+002
2.481443e+002, 2.682074e+002
2.486264e+002, 2.693731e+002
2.491086e+002, 2.694683e+002
2.495907e+002, 2.698725e+002
2.500728e+002, 2.707293e+002
2.505549e+002, 2.718755e+002
2.510370e+002, 2.728610e+002
2.515191e+002, 2.735704e+002
2.520013e+002, 2.743149e+002
2.524834e+002, 2.753068e+002
2.529655e+002, 2.768091e+002
2.534476e+002, 2.777852e+002
2.539297e+002, 2.777935e+002
2.544118e+002, 2.774755e+002
2.548940e+002, 2.784828e+002
2.553761e+002, 2.818544e+002
2.558582e+002, 2.847145e+002
2.563403e+002, 2.856402e+002
2.568224e+002, 2.837997e+002
2.573046e+002, 2.827742e+002
2.577867e+002, 2.827659e+002
2.582688e+002, 2.834393e+002
2.587509e+002, 2.842395e+002
2.592330e+002, 2.853361e+002
2.597151e+002, 2.861835e+002
2.601973e+002, 2.864987e+002
2.606794e+002, 2.861133e+002
2.611615e+002, 2.859283e+002
2.616436e+002, 2.860112e+002
2.621257e+002, 2.862409e+002
2.626078e+002, 2.864074e+002
2.630900e+002, 2.864652e+002
2.635721e+002, 2.865887e+002
2.640542e+002, 2.869167e+002
2.645363e+002, 2.875467e+002
2.650184e+002, 2.877802e+002
2.655005e+002, 2.875663e+002
2.659827e+002, 2.870390e+002
2.664648e+002, 2.862992e+002
2.669469e+002, 2.852092e+002
2.674290e+002, 2.843363e+002
