##NAMES=Clausthalite
##RRUFFID=R070169
##IDEAL CHEMISTRY=Pb^2+^Se^2-^
##LOCALITY=Colquechaca, Chayanta Province, Potosí Department, Bolivia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silver gray with a hint of blue, foliated massive
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070169
502.6086, 1874.370
503.0907, 1857.932
503.5728, 1837.746
504.0549, 1832.133
504.5370, 1848.757
505.0192, 1871.378
505.5013, 1885.670
505.9834, 1890.954
506.4655, 1889.940
506.9476, 1880.952
507.4297, 1867.608
507.9119, 1860.310
508.3940, 1859.353
508.8761, 1858.643
509.3582, 1853.247
509.8403, 1845.387
510.3224, 1843.279
510.8046, 1847.692
511.2867, 1852.095
511.7688, 1846.547
512.2509, 1837.080
512.7330, 1835.425
513.2151, 1851.437
513.6973, 1868.850
514.1794, 1876.109
514.6615, 1874.865
515.1436, 1870.451
515.6257, 1859.500
516.1078, 1850.338
516.5900, 1849.208
517.0721, 1859.296
517.5542, 1866.173
518.0363, 1863.744
518.5184, 1858.898
519.0005, 1859.060
519.4827, 1874.423
519.9648, 1878.286
520.4469, 1859.933
520.9290, 1828.232
521.4111, 1821.090
521.8932, 1848.043
522.3754, 1873.359
522.8575, 1868.628
523.3396, 1833.676
523.8217, 1813.059
524.3038, 1828.410
524.7859, 1840.204
525.2681, 1848.633
525.7502, 1843.609
526.2323, 1855.954
526.7144, 1885.093
527.1965, 1902.991
527.6786, 1901.899
528.1608, 1886.657
528.6429, 1875.570
529.1250, 1883.420
529.6071, 1897.172
530.0892, 1907.452
530.5714, 1913.585
531.0535, 1914.452
531.5356, 1905.919
532.0176, 1893.512
532.4998, 1882.720
532.9819, 1867.566
533.4640, 1862.109
533.9461, 1873.600
534.4282, 1896.760
534.9103, 1914.292
535.3925, 1925.515
535.8746, 1932.347
536.3567, 1934.627
536.8388, 1931.888
537.3209, 1930.969
537.8030, 1933.099
538.2852, 1933.872
538.7673, 1924.071
539.2494, 1905.163
539.7315, 1900.396
540.2136, 1918.380
540.6957, 1945.926
541.1779, 1966.373
541.6600, 1978.981
542.1421, 1980.831
542.6242, 1962.587
543.1063, 1936.980
543.5884, 1915.646
544.0706, 1899.230
544.5527, 1889.247
545.0348, 1889.896
545.5169, 1895.651
545.9990, 1901.563
546.4811, 1905.734
546.9633, 1911.042
547.4454, 1919.336
547.9275, 1929.071
548.4096, 1937.143
548.8917, 1948.822
549.3738, 1951.441
549.8560, 1936.509
550.3381, 1903.896
550.8202, 1890.879
551.3023, 1901.924
551.7844, 1922.544
552.2665, 1947.362
552.7487, 1976.300
553.2308, 1985.118
553.7129, 1966.645
554.1950, 1940.068
554.6771, 1934.665
555.1592, 1946.435
555.6414, 1958.246
556.1235, 1962.378
556.6056, 1963.121
557.0877, 1966.247
557.5698, 1970.971
558.0519, 1972.328
558.5341, 1961.440
559.0162, 1949.768
559.4983, 1947.706
559.9804, 1960.641
560.4625, 1970.799
560.9446, 1970.538
561.4268, 1966.180
561.9089, 1965.508
562.3910, 1971.788
562.8731, 1977.993
563.3552, 1983.481
563.8373, 1988.197
564.3195, 1992.329
564.8016, 1996.529
565.2837, 1998.252
565.7658, 1994.359
566.2479, 1985.135
566.7300, 1982.472
567.2122, 1987.357
567.6943, 1993.632
568.1764, 1995.105
568.6585, 1992.801
569.1406, 1989.153
569.6227, 1983.156
570.1049, 1979.056
570.5870, 1984.684
571.0691, 1995.891
571.5512, 2002.756
572.0333, 1993.944
572.5154, 1984.982
572.9976, 1986.943
573.4797, 2000.206
573.9618, 2008.798
