##NAMES=Hydrotungstite
##RRUFFID=R120058
##IDEAL CHEMISTRY=W^6+^O_2_(OH)_2_&#183;H_2_O
##LOCALITY=Mundo Nuevo, La Libertad, Peru
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Greenish yellow cubes, associated with ferberite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120058
1.787195e+002, 4.647389e+002
1.792017e+002, 4.747942e+002
1.796838e+002, 4.846374e+002
1.801659e+002, 4.955718e+002
1.806480e+002, 5.077036e+002
1.811301e+002, 5.207853e+002
1.816122e+002, 5.348926e+002
1.820944e+002, 5.499897e+002
1.825765e+002, 5.656120e+002
1.830586e+002, 5.818797e+002
1.835407e+002, 5.984962e+002
1.840228e+002, 6.152256e+002
1.845049e+002, 6.316957e+002
1.849871e+002, 6.495494e+002
1.854692e+002, 6.725990e+002
1.859513e+002, 6.997205e+002
1.864334e+002, 7.234809e+002
1.869155e+002, 7.382189e+002
1.873976e+002, 7.467828e+002
1.878798e+002, 7.589822e+002
1.883619e+002, 7.754237e+002
1.888440e+002, 7.941738e+002
1.893261e+002, 8.129935e+002
1.898082e+002, 8.319738e+002
1.902903e+002, 8.500046e+002
1.907725e+002, 8.657731e+002
1.912546e+002, 8.799967e+002
1.917367e+002, 8.957166e+002
1.922188e+002, 9.134606e+002
1.927009e+002, 9.318739e+002
1.931830e+002, 9.480872e+002
1.936652e+002, 9.620289e+002
1.941473e+002, 9.762115e+002
1.946294e+002, 9.918111e+002
1.951115e+002, 1.008755e+003
1.955936e+002, 1.026156e+003
1.960757e+002, 1.043823e+003
1.965579e+002, 1.062141e+003
1.970400e+002, 1.082263e+003
1.975221e+002, 1.104370e+003
1.980042e+002, 1.126282e+003
1.984863e+002, 1.146675e+003
1.989684e+002, 1.165439e+003
1.994506e+002, 1.185286e+003
1.999327e+002, 1.206276e+003
2.004148e+002, 1.228286e+003
2.008969e+002, 1.250806e+003
2.013790e+002, 1.274041e+003
2.018611e+002, 1.297882e+003
2.023433e+002, 1.322648e+003
2.028254e+002, 1.348492e+003
2.033075e+002, 1.373802e+003
2.037896e+002, 1.398418e+003
2.042717e+002, 1.422196e+003
2.047538e+002, 1.444562e+003
2.052360e+002, 1.465579e+003
2.057181e+002, 1.484934e+003
2.062002e+002, 1.502660e+003
2.066823e+002, 1.518921e+003
2.071644e+002, 1.532250e+003
2.076465e+002, 1.542050e+003
2.081287e+002, 1.549070e+003
2.086108e+002, 1.555981e+003
2.090929e+002, 1.563219e+003
