##NAMES=Gartrellite
##RRUFFID=R060881
##IDEAL CHEMISTRY=Pb^2+^Cu^2+^Fe^3+^(As^5+^O_4_)_2_(OH)&#183;H_2_O
##LOCALITY=Ashburton Downs, Western Australia
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Yellow grainy incrustations
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060881
##MEASURED CHEMISTRY=Pb_1.00_Cu_1.00_(Fe^3+^_0.77_Cu_0.18_Al_0.04_Zn_0.01_)_Σ=1_((As_0.97_S_0.03_)_Σ=1_O_4_)_2_(OH)_0.87_·H_2_O; trace amounts of P; OH estimated by charge balance, H_2_O by difference
333.6593, 3915.631
334.1414, 3938.634
334.6236, 3958.160
335.1057, 3985.844
335.5878, 4027.910
336.0699, 4081.172
336.5520, 4137.734
337.0341, 4208.968
337.5162, 4266.125
337.9984, 4291.751
338.4805, 4306.590
338.9626, 4336.816
339.4447, 4388.496
339.9268, 4446.707
340.4089, 4489.918
340.8911, 4509.816
341.3732, 4541.866
341.8553, 4590.578
342.3374, 4645.328
342.8195, 4705.476
343.3016, 4767.180
343.7838, 4821.727
344.2659, 4862.435
344.7480, 4890.244
345.2301, 4914.690
345.7122, 4932.691
346.1943, 4950.903
346.6765, 4976.244
347.1586, 5000.534
347.6407, 5011.759
348.1228, 5004.111
348.6049, 4989.420
349.0870, 4988.880
349.5692, 5006.721
350.0513, 5018.764
350.5334, 5019.266
351.0155, 5012.311
351.4976, 5000.352
351.9797, 4983.647
352.4619, 4961.130
352.9440, 4928.430
353.4261, 4888.886
353.9082, 4856.470
354.3903, 4836.894
354.8724, 4813.908
355.3546, 4769.719
355.8367, 4711.390
356.3188, 4655.658
356.8009, 4612.833
357.2830, 4569.591
357.7651, 4514.134
358.2473, 4446.883
358.7294, 4373.508
359.2115, 4293.604
359.6936, 4212.290
360.1757, 4144.743
360.6578, 4096.565
361.1400, 4049.650
361.6221, 3999.795
362.1042, 3948.431
362.5863, 3896.609
363.0684, 3844.834
363.5505, 3794.677
364.0327, 3748.872
364.5148, 3709.159
364.9969, 3667.573
365.4790, 3620.843
365.9611, 3575.352
366.4432, 3533.286
366.9254, 3495.408
367.4075, 3462.458
367.8896, 3435.739
368.3717, 3413.906
368.8538, 3390.379
369.3359, 3368.352
369.8181, 3338.998
370.3002, 3293.306
370.7823, 3244.024
371.2644, 3203.631
371.7465, 3176.086
372.2286, 3156.579
372.7108, 3140.514
373.1929, 3128.182
373.6750, 3115.778
374.1571, 3106.039
374.6392, 3092.118
375.1213, 3065.716
375.6035, 3029.562
376.0856, 2998.827
376.5677, 2984.685
377.0498, 2979.148
377.5319, 2966.910
378.0140, 2946.630
378.4962, 2928.835
378.9783, 2920.420
379.4604, 2919.588
379.9425, 2918.682
380.4246, 2916.951
380.9067, 2916.043
381.3889, 2918.078
381.8710, 2921.378
382.3531, 2922.724
382.8352, 2921.087
383.3173, 2916.687
383.7994, 2909.007
384.2816, 2893.384
384.7637, 2887.331
385.2458, 2897.180
385.7279, 2911.355
386.2100, 2922.498
386.6921, 2930.738
387.1743, 2939.246
387.6564, 2949.646
388.1385, 2962.661
388.6206, 2985.596
389.1027, 3032.784
389.5848, 3071.032
390.0670, 3085.224
390.5491, 3091.973
391.0312, 3110.620
391.5133, 3147.591
391.9954, 3190.827
392.4775, 3224.625
392.9597, 3247.824
393.4418, 3272.879
393.9239, 3303.971
394.4060, 3334.508
394.8881, 3360.599
395.3702, 3382.421
395.8524, 3401.750
396.3345, 3421.976
396.8166, 3439.056
397.2987, 3443.301
397.7808, 3433.753
398.2629, 3427.200
398.7451, 3434.073
399.2272, 3450.293
399.7093, 3462.955
400.1914, 3470.806
400.6735, 3477.493
401.1556, 3489.308
401.6378, 3499.425
402.1199, 3495.660
402.6020, 3474.956
403.0841, 3445.851
403.5662, 3418.346
404.0483, 3391.391
404.5305, 3371.059
405.0126, 3359.054
405.4947, 3350.986
405.9768, 3347.192
406.4589, 3345.660
406.9410, 3342.906
407.4231, 3336.876
407.9052, 3328.249
408.3874, 3318.356
408.8695, 3304.532
409.3516, 3295.277
409.8337, 3296.611
410.3158, 3299.588
410.7979, 3295.875
411.2801, 3284.762
411.7622, 3275.168
412.2443, 3277.844
412.7264, 3289.458
413.2085, 3291.028
413.6906, 3276.040
414.1728, 3263.214
414.6549, 3270.100
415.1370, 3288.937
415.6191, 3303.146
416.1012, 3306.927
416.5833, 3308.154
417.0655, 3313.321
417.5476, 3320.874
418.0297, 3325.712
418.5118, 3325.908
418.9939, 3322.675
419.4760, 3317.040
419.9582, 3304.428
420.4403, 3301.756
420.9224, 3314.380
421.4045, 3333.375
421.8866, 3356.604
422.3687, 3381.086
422.8509, 3399.807
423.3330, 3406.928
423.8151, 3404.260
424.2972, 3403.821
424.7793, 3407.307
425.2614, 3410.650
425.7436, 3411.039
426.2257, 3412.133
426.7078, 3419.385
427.1899, 3433.678
427.6720, 3446.665
428.1541, 3446.865
428.6363, 3435.571
429.1184, 3431.107
429.6005, 3437.906
430.0826, 3446.876
430.5647, 3451.256
431.0468, 3452.804
431.5290, 3455.922
432.0111, 3464.044
432.4932, 3472.124
432.9753, 3473.842
433.4574, 3471.200
433.9395, 3473.076
434.4217, 3483.842
434.9038, 3498.494
435.3859, 3508.300
435.8680, 3512.605
436.3501, 3513.322
436.8322, 3503.428
437.3144, 3495.423
437.7965, 3501.832
438.2786, 3519.916
438.7607, 3535.603
439.2428, 3537.398
439.7249, 3528.929
440.2071, 3532.839
440.6892, 3561.938
441.1713, 3583.155
441.6534, 3583.470
442.1355, 3578.629
442.6176, 3582.841
443.0998, 3598.981
443.5819, 3619.434
444.0640, 3637.324
444.5461, 3653.182
445.0282, 3671.105
445.5103, 3691.982
445.9925, 3713.151
446.4746, 3730.824
446.9567, 3747.399
447.4388, 3768.822
447.9209, 3796.764
448.4030, 3829.068
448.8852, 3863.454
449.3673, 3901.140
449.8494, 3945.975
450.3315, 4000.268
450.8136, 4057.676
451.2957, 4108.712
451.7779, 4149.757
452.2600, 4197.221
452.7421, 4246.267
453.2242, 4305.848
453.7063, 4381.768
454.1884, 4472.225
454.6706, 4575.185
455.1527, 4690.921
455.6348, 4811.980
456.1169, 4914.754
456.5990, 4989.549
457.0811, 5073.025
457.5633, 5183.825
458.0454, 5297.234
458.5275, 5403.089
459.0096, 5498.206
459.4917, 5574.360
459.9738, 5624.783
460.4560, 5653.074
460.9381, 5667.837
461.4202, 5669.578
461.9023, 5650.409
462.3844, 5600.038
462.8665, 5528.271
463.3487, 5463.712
463.8308, 5416.567
464.3129, 5358.328
464.7950, 5280.362
465.2771, 5187.647
465.7592, 5083.784
466.2414, 4970.215
466.7235, 4850.864
467.2056, 4727.316
467.6877, 4599.608
468.1698, 4493.768
468.6519, 4426.065
469.1341, 4362.980
469.6162, 4299.143
470.0983, 4236.122
470.5804, 4173.380
471.0625, 4110.940
471.5446, 4055.496
472.0268, 4018.257
472.5089, 3997.488
472.9910, 3970.006
473.4731, 3931.853
473.9552, 3889.898
474.4373, 3842.916
474.9195, 3795.749
475.4016, 3762.743
475.8837, 3754.267
476.3658, 3751.999
476.8479, 3746.112
477.3300, 3737.276
477.8121, 3725.917
478.2943, 3711.988
478.7764, 3698.988
479.2585, 3692.009
479.7406, 3692.423
480.2227, 3694.088
480.7048, 3697.371
481.1870, 3701.384
481.6691, 3706.048
482.1512, 3711.128
482.6333, 3715.272
483.1154, 3717.380
483.5975, 3721.595
484.0797, 3736.492
484.5618, 3763.511
485.0439, 3791.211
485.5260, 3817.686
486.0081, 3844.646
486.4902, 3875.478
486.9724, 3908.711
487.4545, 3936.873
487.9366, 3946.300
488.4187, 3957.270
488.9008, 3994.380
489.3829, 4053.048
489.8651, 4111.391
490.3472, 4161.065
490.8293, 4203.422
491.3114, 4240.684
491.7935, 4271.394
492.2756, 4299.841
492.7578, 4320.142
493.2399, 4343.525
493.7220, 4381.721
494.2041, 4429.109
494.6862, 4469.736
495.1683, 4494.065
495.6505, 4506.481
496.1326, 4518.386
496.6147, 4530.880
497.0968, 4538.696
497.5789, 4539.916
498.0610, 4536.388
498.5432, 4530.270
499.0253, 4521.251
499.5074, 4506.183
499.9895, 4483.244
500.4716, 4453.791
500.9537, 4418.100
501.4359, 4376.838
501.9180, 4334.621
502.4001, 4295.171
502.8822, 4253.872
503.3643, 4200.519
503.8464, 4127.758
504.3286, 4056.721
504.8107, 3990.338
505.2928, 3924.212
505.7749, 3853.445
506.2570, 3780.354
506.7391, 3713.010
507.2213, 3657.460
507.7034, 3608.800
508.1855, 3551.833
508.6676, 3483.824
509.1497, 3417.531
509.6318, 3352.817
510.1140, 3293.058
510.5961, 3243.167
511.0782, 3202.210
511.5603, 3160.589
512.0424, 3114.771
512.5245, 3065.470
513.0067, 3008.651
513.4888, 2946.863
513.9709, 2896.926
514.4530, 2868.812
514.9351, 2851.945
515.4172, 2824.381
515.8994, 2776.006
516.3815, 2737.494
516.8636, 2719.549
517.3457, 2701.747
517.8278, 2668.510
518.3099, 2624.852
518.7921, 2585.400
519.2742, 2558.888
519.7563, 2541.536
520.2384, 2525.715
520.7205, 2511.729
521.2026, 2498.419
521.6848, 2490.271
522.1669, 2477.397
522.6490, 2446.316
523.1311, 2400.297
523.6132, 2364.940
524.0953, 2356.736
524.5775, 2355.320
525.0596, 2341.359
525.5417, 2318.909
526.0238, 2303.919
526.5059, 2303.567
526.9880, 2307.417
527.4702, 2297.198
527.9523, 2265.158
528.4344, 2242.214
528.9165, 2231.689
529.3986, 2225.640
529.8807, 2226.400
530.3629, 2228.052
530.8450, 2219.261
531.3271, 2193.559
531.8092, 2163.539
532.2913, 2147.023
532.7734, 2143.486
533.2556, 2142.860
533.7377, 2145.887
534.2198, 2146.691
534.7019, 2139.979
535.1840, 2126.480
535.6661, 2109.452
536.1483, 2076.322
536.6304, 2053.500
537.1125, 2063.274
537.5946, 2089.076
538.0767, 2103.291
538.5588, 2098.747
539.0410, 2087.692
539.5231, 2085.009
540.0052, 2091.524
540.4873, 2092.692
540.9694, 2083.694
541.4515, 2075.624
541.9337, 2075.156
542.4158, 2075.724
542.8979, 2067.788
543.3800, 2048.427
543.8621, 2030.439
544.3442, 2025.810
544.8264, 2029.666
545.3085, 2030.384
545.7906, 2026.744
546.2727, 2021.929
546.7548, 2018.458
547.2369, 2015.311
547.7191, 2007.965
548.2012, 1980.736
548.6833, 1971.048
549.1654, 2004.436
549.6475, 2041.454
550.1296, 2043.956
550.6118, 2014.966
551.0939, 1986.376
551.5760, 1981.745
552.0581, 1994.492
552.5402, 2005.274
553.0223, 2014.638
553.5045, 2019.266
553.9866, 2016.612
554.4687, 2010.050
554.9508, 2002.008
555.4329, 1992.640
555.9150, 1986.255
556.3972, 1986.121
556.8793, 1987.915
557.3614, 1986.832
557.8435, 1984.580
558.3256, 1987.873
558.8077, 1999.821
559.2899, 2013.086
559.7720, 2014.629
560.2541, 2000.212
560.7362, 1989.390
561.2183, 1983.166
561.7004, 1979.643
562.1826, 1977.482
562.6647, 1977.818
563.1468, 1984.069
563.6289, 1998.924
564.1110, 2012.078
564.5931, 2010.730
565.0753, 1999.360
565.5574, 1993.306
566.0395, 1995.291
566.5216, 1997.504
567.0037, 1994.333
567.4858, 1986.240
567.9680, 1976.328
568.4501, 1958.332
568.9322, 1947.020
569.4143, 1945.759
569.8964, 1951.473
570.3785, 1964.778
570.8607, 1983.192
571.3428, 1999.371
571.8249, 2008.239
572.3070, 2010.040
572.7891, 2001.908
573.2712, 1980.123
573.7534, 1970.622
574.2355, 1988.496
574.7176, 2014.546
575.1997, 2025.188
575.6818, 2020.747
576.1639, 2020.041
576.6461, 2031.339
577.1282, 2043.868
577.6103, 2050.778
578.0924, 2053.038
578.5745, 2053.161
579.0566, 2052.138
579.5388, 2050.491
580.0209, 2048.318
580.5030, 2044.873
580.9851, 2046.587
581.4672, 2060.013
581.9493, 2069.438
582.4314, 2062.464
582.9135, 2050.693
583.3956, 2053.090
583.8777, 2077.349
584.3599, 2096.009
584.8420, 2081.940
585.3241, 2054.870
585.8062, 2048.733
586.2883, 2065.400
586.7704, 2086.102
587.2526, 2099.814
587.7347, 2106.626
588.2168, 2106.266
588.6989, 2090.122
589.1810, 2081.491
589.6631, 2082.701
590.1453, 2089.385
590.6274, 2101.767
591.1095, 2117.427
591.5916, 2131.475
592.0737, 2141.938
592.5558, 2148.777
593.0380, 2150.511
593.5201, 2148.124
594.0022, 2146.724
594.4843, 2147.242
594.9664, 2149.977
595.4485, 2156.044
595.9307, 2165.348
596.4128, 2171.079
596.8949, 2170.822
597.3770, 2170.590
597.8591, 2170.884
598.3412, 2172.353
598.8234, 2175.509
599.3055, 2180.475
599.7876, 2187.486
600.2697, 2199.377
600.7518, 2212.207
601.2339, 2212.839
601.7161, 2200.162
602.1982, 2186.444
602.6803, 2172.252
603.1624, 2163.387
603.6445, 2171.751
604.1266, 2199.077
604.6088, 2216.610
605.0909, 2216.593
605.5730, 2210.995
606.0551, 2199.706
606.5372, 2189.097
607.0193, 2191.691
607.5015, 2210.418
607.9836, 2230.138
608.4657, 2230.804
608.9478, 2213.574
609.4299, 2200.286
609.9120, 2190.530
610.3942, 2185.822
610.8763, 2187.864
611.3584, 2195.033
611.8405, 2207.369
612.3226, 2228.690
612.8047, 2236.705
613.2869, 2208.621
613.7690, 2178.150
614.2511, 2177.370
614.7332, 2198.455
615.2153, 2215.115
615.6974, 2214.977
616.1796, 2206.024
616.6617, 2202.985
617.1438, 2207.960
617.6259, 2202.336
618.1080, 2176.724
618.5901, 2154.413
619.0723, 2151.928
619.5544, 2159.365
620.0365, 2161.059
620.5186, 2152.742
621.0007, 2145.153
621.4828, 2143.768
621.9650, 2145.302
622.4471, 2146.810
622.9292, 2147.663
623.4113, 2147.509
623.8934, 2146.220
624.3755, 2143.370
624.8577, 2137.375
625.3398, 2126.894
625.8219, 2118.131
626.3040, 2111.821
626.7861, 2107.145
627.2682, 2106.508
627.7504, 2106.682
628.2325, 2099.804
628.7146, 2079.843
629.1967, 2061.890
629.6788, 2056.963
630.1609, 2058.350
630.6431, 2055.735
631.1252, 2048.409
631.6073, 2042.496
632.0894, 2042.685
632.5715, 2046.304
633.0536, 2043.361
633.5358, 2028.632
634.0179, 2021.613
634.5000, 2033.952
634.9821, 2045.019
635.4642, 2041.310
635.9464, 2026.961
636.4285, 2013.830
636.9106, 2004.651
637.3927, 1998.426
637.8748, 1996.462
638.3569, 1996.332
638.8391, 1992.997
639.3212, 1986.261
639.8033, 1981.523
640.2854, 1983.494
640.7675, 1989.864
641.2496, 1990.771
641.7318, 1984.320
642.2139, 1977.034
642.6960, 1966.538
643.1781, 1958.496
643.6602, 1959.484
644.1423, 1966.043
644.6245, 1966.703
645.1066, 1955.495
645.5887, 1941.378
646.0708, 1928.054
646.5529, 1916.781
647.0350, 1910.624
647.5172, 1909.589
647.9993, 1909.218
648.4814, 1905.479
648.9635, 1900.322
649.4456, 1903.719
649.9277, 1922.193
650.4099, 1931.614
650.8920, 1922.283
651.3741, 1908.310
651.8562, 1896.433
652.3383, 1887.419
652.8204, 1883.321
653.3026, 1886.451
653.7847, 1892.205
654.2668, 1902.059
654.7489, 1910.962
655.2310, 1907.645
655.7131, 1892.547
656.1953, 1881.008
656.6774, 1886.222
657.1595, 1901.685
657.6416, 1901.664
658.1237, 1879.017
658.6058, 1865.728
659.0880, 1874.858
659.5701, 1885.407
660.0522, 1879.208
660.5343, 1861.838
661.0164, 1851.461
661.4985, 1852.875
661.9807, 1860.195
662.4628, 1879.118
662.9449, 1897.822
663.4270, 1897.732
663.9091, 1880.036
664.3912, 1863.230
664.8734, 1861.151
665.3555, 1866.619
665.8376, 1858.134
666.3197, 1832.231
666.8018, 1815.586
667.2839, 1813.366
667.7661, 1819.169
668.2482, 1832.962
668.7303, 1851.201
669.2124, 1862.624
669.6945, 1863.642
670.1766, 1862.008
670.6588, 1858.002
671.1409, 1853.934
671.6230, 1850.512
672.1051, 1849.018
672.5872, 1853.785
673.0693, 1868.611
673.5515, 1885.351
674.0336, 1886.040
674.5157, 1871.165
674.9978, 1864.791
675.4799, 1871.931
675.9620, 1882.051
676.4442, 1890.164
676.9263, 1895.339
677.4084, 1893.833
677.8905, 1881.350
678.3726, 1870.630
678.8547, 1863.020
679.3369, 1857.871
679.8190, 1854.091
680.3011, 1852.474
680.7832, 1856.752
681.2653, 1869.572
681.7474, 1880.328
682.2296, 1872.146
682.7117, 1850.814
683.1938, 1837.798
683.6759, 1835.186
684.1580, 1840.753
684.6401, 1855.524
685.1223, 1874.420
685.6044, 1884.902
686.0865, 1880.885
686.5686, 1882.297
687.0507, 1895.487
687.5328, 1906.840
688.0150, 1908.468
688.4971, 1905.326
688.9792, 1906.520
689.4613, 1914.806
689.9434, 1920.225
690.4255, 1909.389
690.9077, 1893.890
691.3898, 1895.940
691.8719, 1912.909
692.3540, 1923.813
692.8361, 1919.159
693.3182, 1908.734
693.8004, 1907.606
694.2825, 1916.974
694.7646, 1926.513
695.2467, 1940.143
695.7288, 1947.797
696.2109, 1940.213
696.6931, 1929.055
697.1752, 1927.263
697.6573, 1935.788
698.1394, 1942.714
698.6215, 1946.740
699.1036, 1944.538
699.5858, 1925.132
700.0679, 1899.782
700.5500, 1891.938
701.0321, 1906.676
701.5142, 1928.089
701.9963, 1941.261
702.4785, 1947.301
702.9606, 1952.866
703.4427, 1959.319
703.9248, 1956.788
704.4069, 1935.598
704.8890, 1914.755
705.3712, 1914.980
705.8533, 1934.699
706.3354, 1952.017
706.8175, 1965.456
707.2996, 1977.148
707.7817, 1990.375
708.2639, 2000.221
708.7460, 2000.920
709.2281, 1993.413
709.7102, 1982.574
710.1923, 1969.324
710.6744, 1958.682
711.1566, 1958.365
711.6387, 1967.188
712.1208, 1981.968
712.6029, 2002.777
713.0850, 2019.807
713.5671, 2026.127
714.0493, 2023.319
714.5314, 2015.791
715.0135, 1992.455
715.4956, 1985.737
715.9777, 2011.229
716.4598, 2037.073
716.9420, 2047.736
717.4241, 2049.127
717.9062, 2052.776
718.3883, 2062.146
718.8704, 2069.749
719.3525, 2067.058
719.8347, 2062.935
720.3168, 2070.454
720.7989, 2086.435
721.2810, 2096.855
721.7631, 2095.879
722.2452, 2093.008
722.7274, 2103.886
723.2095, 2128.313
723.6915, 2138.319
724.1736, 2128.443
724.6558, 2121.310
725.1379, 2126.101
725.6200, 2136.571
726.1021, 2145.377
726.5842, 2152.573
727.0663, 2158.193
727.5485, 2160.074
728.0306, 2162.999
728.5127, 2170.203
728.9948, 2178.574
729.4769, 2183.797
729.9590, 2186.109
730.4412, 2190.196
730.9233, 2200.071
731.4054, 2212.118
731.8875, 2220.165
732.3696, 2225.353
732.8517, 2231.555
733.3339, 2239.360
733.8160, 2253.496
734.2981, 2279.385
734.7802, 2312.596
735.2623, 2335.751
735.7444, 2344.601
736.2266, 2352.543
736.7087, 2360.629
737.1908, 2367.638
737.6729, 2367.203
738.1550, 2366.773
738.6371, 2381.282
739.1193, 2416.361
739.6014, 2455.159
740.0835, 2496.540
740.5656, 2533.976
741.0477, 2558.897
741.5298, 2575.269
742.0120, 2593.365
742.4941, 2616.910
742.9762, 2641.069
743.4583, 2660.875
743.9404, 2676.282
744.4225, 2683.196
744.9047, 2679.959
745.3868, 2690.045
745.8689, 2723.604
746.3510, 2768.910
746.8331, 2812.995
747.3152, 2855.557
747.7974, 2898.212
748.2795, 2951.494
748.7616, 2990.455
749.2437, 2998.559
749.7258, 3000.858
750.2079, 3018.348
750.6901, 3048.797
751.1722, 3076.874
751.6543, 3098.082
752.1364, 3112.328
752.6185, 3112.234
753.1006, 3108.506
753.5828, 3122.529
754.0649, 3151.989
754.5470, 3173.366
755.0291, 3172.556
755.5112, 3160.425
755.9933, 3159.241
756.4755, 3169.527
756.9576, 3163.320
