##NAMES=Graphite
##RRUFFID=R120025
##IDEAL CHEMISTRY=C
##LOCALITY=Saint-Sauveur Graphite occurrence, Saint-Sauveur, Les Pays-d'en-Haut RCM, Laurentides, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Semi-metallic, dark gray flakes
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R120025
3.024572e+002, 4.995129e+000
3.029393e+002, 4.987057e+000
3.034214e+002, 4.899735e+000
3.039036e+002, 4.792676e+000
3.043857e+002, 4.723786e+000
3.048678e+002, 4.688288e+000
3.053499e+002, 4.667614e+000
3.058320e+002, 4.663054e+000
3.063141e+002, 4.662527e+000
3.067963e+002, 4.643081e+000
3.072784e+002, 4.586529e+000
3.077605e+002, 4.553034e+000
3.082426e+002, 4.624289e+000
3.087247e+002, 4.759958e+000
3.092068e+002, 4.863352e+000
3.096890e+002, 4.855892e+000
3.101711e+002, 4.811418e+000
3.106532e+002, 4.806814e+000
3.111353e+002, 4.865382e+000
3.116174e+002, 4.884508e+000
3.120995e+002, 4.721371e+000
3.125817e+002, 4.486182e+000
3.130638e+002, 4.354315e+000
3.135459e+002, 4.512787e+000
3.140280e+002, 4.709275e+000
3.145101e+002, 4.789847e+000
3.149922e+002, 4.739774e+000
3.154744e+002, 4.650706e+000
3.159565e+002, 4.513024e+000
3.164386e+002, 4.377315e+000
3.169207e+002, 4.302550e+000
3.174028e+002, 4.390002e+000
3.178849e+002, 4.464867e+000
3.183671e+002, 4.425480e+000
3.188492e+002, 4.278409e+000
3.193313e+002, 4.189175e+000
3.198134e+002, 4.300933e+000
3.202955e+002, 4.447324e+000
3.207776e+002, 4.494843e+000
3.212598e+002, 4.286758e+000
3.217419e+002, 4.113610e+000
3.222240e+002, 4.051390e+000
3.227061e+002, 4.084836e+000
3.231882e+002, 4.132181e+000
3.236703e+002, 4.196242e+000
3.241525e+002, 4.257412e+000
3.246346e+002, 4.305456e+000
3.251167e+002, 4.359710e+000
3.255988e+002, 4.373720e+000
3.260809e+002, 4.301031e+000
3.265630e+002, 4.181235e+000
3.270452e+002, 4.122678e+000
3.275273e+002, 4.211591e+000
3.280094e+002, 4.294359e+000
3.284915e+002, 4.310641e+000
3.289736e+002, 4.208095e+000
3.294557e+002, 4.156031e+000
3.299379e+002, 4.190361e+000
3.304200e+002, 4.263873e+000
3.309021e+002, 4.299094e+000
3.313842e+002, 4.259797e+000
3.318663e+002, 4.230936e+000
3.323484e+002, 4.242507e+000
3.328306e+002, 4.305055e+000
3.333127e+002, 4.337704e+000
3.337948e+002, 4.337023e+000
3.342769e+002, 4.309312e+000
3.347590e+002, 4.254613e+000
3.352411e+002, 4.146582e+000
3.357233e+002, 4.070974e+000
3.362054e+002, 4.055310e+000
3.366875e+002, 4.094948e+000
3.371696e+002, 4.116118e+000
3.376517e+002, 4.116676e+000
3.381339e+002, 4.103182e+000
3.386160e+002, 4.076447e+000
3.390981e+002, 4.031366e+000
3.395802e+002, 3.996048e+000
3.400623e+002, 3.969715e+000
3.405444e+002, 3.958308e+000
3.410266e+002, 3.992833e+000
3.415087e+002, 4.084228e+000
3.419908e+002, 4.170738e+000
3.424729e+002, 4.214058e+000
3.429550e+002, 4.213964e+000
3.434371e+002, 4.196614e+000
3.439193e+002, 4.158777e+000
3.444014e+002, 4.114472e+000
3.448835e+002, 4.082296e+000
3.453656e+002, 4.062357e+000
3.458477e+002, 4.070173e+000
3.463298e+002, 4.165978e+000
3.468120e+002, 4.308487e+000
3.472941e+002, 4.278944e+000
3.477762e+002, 4.045716e+000
3.482583e+002, 3.784364e+000
3.487404e+002, 3.728575e+000
3.492225e+002, 3.834384e+000
3.497047e+002, 3.913387e+000
3.501868e+002, 3.850331e+000
3.506689e+002, 3.734809e+000
3.511510e+002, 3.741416e+000
3.516331e+002, 3.868103e+000
3.521152e+002, 4.007146e+000
3.525974e+002, 4.078672e+000
3.530795e+002, 4.097993e+000
3.535616e+002, 4.094842e+000
3.540437e+002, 4.086009e+000
3.545258e+002, 4.047184e+000
3.550079e+002, 3.912453e+000
3.554901e+002, 3.709418e+000
3.559722e+002, 3.558815e+000
3.564543e+002, 3.552147e+000
3.569364e+002, 3.627650e+000
3.574185e+002, 3.737936e+000
3.579006e+002, 3.902369e+000
3.583828e+002, 4.023370e+000
3.588649e+002, 4.020730e+000
3.593470e+002, 3.931487e+000
3.598291e+002, 3.831187e+000
3.603112e+002, 3.708858e+000
3.607933e+002, 3.618329e+000
3.612755e+002, 3.609773e+000
3.617576e+002, 3.702008e+000
3.622397e+002, 3.768812e+000
3.627218e+002, 3.732365e+000
3.632039e+002, 3.655790e+000
3.636860e+002, 3.609535e+000
3.641682e+002, 3.630777e+000
3.646503e+002, 3.666719e+000
3.651324e+002, 3.706116e+000
3.656145e+002, 3.748387e+000
3.660966e+002, 3.784708e+000
3.665787e+002, 3.822518e+000
3.670609e+002, 3.848403e+000
3.675430e+002, 3.853779e+000
3.680251e+002, 3.798131e+000
3.685072e+002, 3.769218e+000
3.689893e+002, 3.791242e+000
3.694714e+002, 3.847087e+000
3.699536e+002, 3.878074e+000
3.704357e+002, 3.827695e+000
3.709178e+002, 3.813118e+000
3.713999e+002, 3.903998e+000
3.718820e+002, 4.211954e+000
3.723641e+002, 4.323784e+000
3.728463e+002, 4.115692e+000
3.733284e+002, 3.792075e+000
3.738105e+002, 3.686485e+000
3.742926e+002, 3.907805e+000
3.747747e+002, 4.103534e+000
3.752568e+002, 4.175573e+000
3.757390e+002, 4.122810e+000
3.762211e+002, 4.018650e+000
3.767032e+002, 3.827768e+000
3.771853e+002, 3.656958e+000
3.776674e+002, 3.633071e+000
3.781495e+002, 3.778229e+000
3.786317e+002, 3.870116e+000
3.791138e+002, 3.856635e+000
3.795959e+002, 3.768477e+000
3.800780e+002, 3.690865e+000
3.805601e+002, 3.623607e+000
3.810422e+002, 3.574197e+000
3.815244e+002, 3.556893e+000
3.820065e+002, 3.565241e+000
3.824886e+002, 3.564975e+000
3.829707e+002, 3.552737e+000
3.834528e+002, 3.530951e+000
3.839349e+002, 3.496484e+000
3.844171e+002, 3.452424e+000
3.848992e+002, 3.415700e+000
3.853813e+002, 3.364842e+000
3.858634e+002, 3.334984e+000
3.863455e+002, 3.418293e+000
3.868276e+002, 3.622514e+000
3.873098e+002, 3.807350e+000
3.877919e+002, 3.831830e+000
3.882740e+002, 3.756474e+000
3.887561e+002, 3.690186e+000
3.892382e+002, 3.683094e+000
3.897203e+002, 3.685063e+000
3.902025e+002, 3.634999e+000
3.906846e+002, 3.549157e+000
3.911667e+002, 3.503773e+000
3.916488e+002, 3.631306e+000
3.921309e+002, 3.768881e+000
3.926130e+002, 3.760725e+000
3.930952e+002, 3.500082e+000
3.935773e+002, 3.263211e+000
3.940594e+002, 3.159828e+000
3.945415e+002, 3.162177e+000
3.950236e+002, 3.218778e+000
3.955057e+002, 3.407297e+000
3.959879e+002, 3.565411e+000
3.964700e+002, 3.617796e+000
3.969521e+002, 3.544296e+000
3.974342e+002, 3.463415e+000
3.979163e+002, 3.360406e+000
3.983984e+002, 3.273846e+000
3.988806e+002, 3.238929e+000
3.993627e+002, 3.277771e+000
3.998448e+002, 3.347126e+000
4.003269e+002, 3.472619e+000
4.008090e+002, 3.639599e+000
4.012911e+002, 3.732524e+000
4.017733e+002, 3.720750e+000
4.022554e+002, 3.672530e+000
4.027375e+002, 3.604892e+000
4.032196e+002, 3.451655e+000
4.037017e+002, 3.469476e+000
4.041838e+002, 3.767649e+000
4.046660e+002, 4.155577e+000
4.051481e+002, 4.227128e+000
4.056302e+002, 3.889585e+000
4.061123e+002, 3.580508e+000
4.065944e+002, 3.466407e+000
4.070765e+002, 3.537596e+000
4.075587e+002, 3.590356e+000
4.080408e+002, 3.623662e+000
4.085229e+002, 3.643800e+000
4.090050e+002, 3.653023e+000
4.094871e+002, 3.652138e+000
4.099692e+002, 3.654217e+000
4.104514e+002, 3.663372e+000
4.109335e+002, 3.675637e+000
4.114156e+002, 3.697928e+000
4.118977e+002, 3.726230e+000
4.123798e+002, 3.715797e+000
4.128619e+002, 3.584980e+000
4.133441e+002, 3.404266e+000
4.138262e+002, 3.328588e+000
4.143083e+002, 3.394202e+000
4.147904e+002, 3.469200e+000
4.152725e+002, 3.392066e+000
4.157546e+002, 3.229882e+000
4.162368e+002, 3.119830e+000
4.167189e+002, 3.167100e+000
4.172010e+002, 3.261021e+000
4.176831e+002, 3.316478e+000
4.181652e+002, 3.333423e+000
4.186473e+002, 3.350598e+000
4.191295e+002, 3.393572e+000
4.196116e+002, 3.443686e+000
4.200937e+002, 3.486364e+000
4.205758e+002, 3.542539e+000
4.210579e+002, 3.556058e+000
4.215400e+002, 3.467656e+000
4.220222e+002, 3.322290e+000
