##NAMES=Cleusonite
##RRUFFID=R061019
##IDEAL CHEMISTRY=Pb^2+^(U^4+^,U^6+^)Fe^2+^_2_(Ti^4+^,Fe^2+^,Fe^3+^)_18_(O,OH)_38_
##LOCALITY=Bella Tola, Alpe Roua, St-Luc, Val d'Annivers, Wallis
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metamict black semimetallic prismatic, associated with quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061019
625.3398, 2001.324
625.8220, 2005.566
626.3041, 2016.087
626.7862, 2029.930
627.2683, 2037.238
627.7504, 2035.895
628.2325, 2031.700
628.7147, 2024.275
629.1968, 2016.080
629.6789, 2007.954
630.1610, 2001.052
630.6431, 1998.373
631.1252, 2002.033
631.6074, 2009.761
632.0895, 2017.872
632.5716, 2026.624
633.0537, 2031.978
633.5358, 2032.855
634.0179, 2030.972
634.5001, 2025.516
634.9822, 2018.151
635.4643, 2014.994
635.9464, 2022.701
636.4285, 2025.780
636.9106, 2014.256
637.3928, 1998.776
637.8749, 1989.707
638.3570, 1987.907
638.8391, 1989.735
639.3212, 1993.423
639.8033, 1997.194
640.2855, 1995.188
640.7676, 1986.184
641.2497, 1982.875
641.7318, 1990.845
642.2139, 1999.508
642.6960, 1999.640
643.1782, 1993.061
643.6603, 1986.745
644.1424, 1980.105
644.6245, 1975.309
645.1066, 1975.817
645.5887, 1976.888
646.0709, 1972.163
646.5530, 1962.251
647.0351, 1952.942
647.5172, 1947.688
647.9993, 1947.169
648.4814, 1957.006
648.9636, 1979.420
649.4457, 1988.023
649.9278, 1973.537
650.4099, 1951.361
650.8920, 1927.793
651.3741, 1906.097
651.8563, 1902.887
652.3384, 1941.315
652.8205, 1970.459
653.3026, 1968.538
653.7847, 1954.055
654.2668, 1943.339
654.7490, 1939.293
655.2311, 1940.205
655.7132, 1946.056
656.1953, 1953.596
656.6774, 1954.850
657.1595, 1949.577
657.6417, 1945.520
658.1238, 1943.700
658.6059, 1944.495
659.0880, 1950.925
659.5701, 1961.091
660.0522, 1962.212
660.5344, 1946.506
661.0165, 1932.238
661.4986, 1925.423
661.9807, 1920.201
662.4628, 1907.668
662.9449, 1890.998
663.4271, 1884.308
663.9092, 1898.877
664.3913, 1921.175
664.8734, 1925.744
665.3555, 1914.396
665.8376, 1910.134
666.3198, 1918.752
666.8019, 1927.729
667.2840, 1927.553
667.7661, 1919.387
668.2482, 1909.992
668.7303, 1898.526
669.2125, 1887.109
669.6946, 1870.963
670.1767, 1859.179
670.6588, 1859.449
671.1409, 1869.846
671.6230, 1885.644
672.1052, 1907.930
672.5873, 1923.451
673.0694, 1906.413
673.5515, 1867.655
674.0336, 1852.321
674.5157, 1867.816
674.9979, 1887.592
675.4800, 1894.303
675.9621, 1890.608
676.4442, 1885.640
676.9263, 1874.470
677.4084, 1870.446
677.8906, 1882.340
678.3727, 1892.338
678.8548, 1887.531
679.3369, 1874.424
679.8190, 1867.437
680.3011, 1872.476
680.7833, 1879.848
681.2654, 1884.022
681.7475, 1884.171
682.2296, 1875.432
682.7117, 1859.116
683.1938, 1847.973
683.6760, 1849.448
684.1581, 1859.301
684.6402, 1869.471
685.1223, 1882.689
685.6044, 1887.390
686.0865, 1879.311
686.5687, 1867.631
687.0508, 1851.482
687.5329, 1836.138
688.0150, 1829.589
688.4971, 1833.931
688.9792, 1841.919
689.4614, 1854.600
689.9435, 1865.950
690.4256, 1866.719
690.9077, 1860.756
691.3898, 1862.096
691.8719, 1876.379
692.3541, 1890.366
692.8362, 1882.870
693.3183, 1853.575
693.8004, 1834.971
694.2825, 1828.961
694.7646, 1828.639
695.2468, 1836.014
695.7289, 1844.167
696.2110, 1841.871
696.6931, 1827.966
697.1752, 1818.352
697.6573, 1817.499
698.1395, 1819.434
698.6216, 1823.340
699.1037, 1827.133
699.5858, 1827.310
700.0679, 1823.635
700.5500, 1820.586
701.0322, 1825.009
701.5143, 1831.449
701.9964, 1820.711
702.4785, 1793.223
702.9606, 1778.431
703.4427, 1786.920
703.9249, 1803.706
704.4070, 1814.247
704.8891, 1818.541
705.3712, 1819.477
705.8533, 1813.761
706.3354, 1809.156
706.8176, 1807.576
707.2997, 1806.807
707.7818, 1805.209
708.2639, 1802.738
708.7460, 1799.922
709.2281, 1796.225
709.7103, 1793.630
710.1924, 1796.428
710.6745, 1801.308
711.1566, 1799.834
711.6387, 1791.166
712.1208, 1781.537
712.6030, 1774.814
713.0851, 1771.617
713.5672, 1775.198
714.0493, 1789.976
714.5314, 1796.510
715.0135, 1785.660
715.4957, 1776.443
715.9778, 1786.760
716.4599, 1803.921
716.9420, 1800.811
717.4241, 1763.010
717.9063, 1740.051
718.3884, 1767.625
718.8705, 1801.994
719.3526, 1802.058
719.8347, 1778.066
