##NAMES=Esseneite
##RRUFFID=R061123
##IDEAL CHEMISTRY=CaFe^3+^AlSiO_6_
##LOCALITY=Durham Ranch, South of Gillette, Sublette County, Wyoming, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Reddish-brown prismatic crystals associated with gehlenite, R070478
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R061123
600.4527, 1612.077
600.9348, 1616.752
601.4169, 1633.830
601.8990, 1647.873
602.3812, 1650.332
602.8633, 1635.773
603.3454, 1630.254
603.8275, 1637.883
604.3096, 1648.082
604.7917, 1647.714
605.2739, 1636.324
605.7560, 1627.344
606.2381, 1623.489
606.7202, 1622.932
607.2023, 1622.602
607.6844, 1622.823
608.1666, 1624.942
608.6487, 1630.986
609.1308, 1638.416
609.6129, 1645.287
610.0950, 1651.438
610.5771, 1655.785
611.0593, 1657.967
611.5414, 1658.117
612.0235, 1655.760
612.5056, 1649.398
612.9877, 1645.048
613.4698, 1645.823
613.9520, 1647.313
614.4341, 1644.413
614.9162, 1631.094
615.3983, 1629.228
615.8804, 1644.935
616.3625, 1669.780
616.8447, 1684.576
617.3268, 1689.056
617.8089, 1691.569
618.2910, 1693.721
618.7731, 1696.971
619.2552, 1708.482
619.7374, 1726.519
620.2195, 1737.487
620.7016, 1724.401
621.1837, 1703.631
621.6658, 1692.869
622.1479, 1695.259
622.6301, 1698.188
623.1122, 1691.195
623.5943, 1684.993
624.0764, 1689.296
624.5585, 1719.519
625.0406, 1742.362
625.5228, 1755.917
626.0049, 1761.685
626.4870, 1760.451
626.9691, 1747.927
627.4512, 1742.565
627.9333, 1751.791
628.4155, 1770.953
628.8976, 1783.284
629.3797, 1788.789
629.8618, 1792.096
630.3439, 1794.883
630.8260, 1797.823
631.3082, 1803.760
631.7903, 1812.832
632.2724, 1818.154
632.7545, 1808.461
633.2366, 1795.950
633.7188, 1793.055
634.2009, 1807.386
634.6830, 1820.743
635.1651, 1829.262
635.6472, 1833.829
636.1293, 1835.856
636.6115, 1834.917
637.0936, 1832.242
637.5757, 1827.119
638.0578, 1820.761
638.5399, 1816.692
639.0220, 1814.845
639.5042, 1816.004
639.9863, 1822.728
640.4684, 1832.574
640.9505, 1836.473
641.4326, 1834.535
641.9147, 1830.556
642.3969, 1824.949
642.8790, 1819.939
643.3611, 1818.597
643.8432, 1821.640
644.3253, 1826.239
644.8074, 1832.537
645.2896, 1838.897
645.7717, 1843.858
646.2538, 1845.845
646.7359, 1848.046
647.2180, 1851.476
647.7001, 1854.966
648.1823, 1855.945
648.6644, 1853.338
649.1465, 1851.894
649.6286, 1854.489
650.1107, 1858.435
650.5928, 1849.616
651.0750, 1828.416
651.5571, 1816.405
652.0392, 1837.614
652.5213, 1872.243
653.0034, 1885.486
653.4855, 1876.764
653.9677, 1865.979
654.4498, 1863.611
654.9319, 1866.496
655.4140, 1872.371
655.8961, 1881.986
656.3782, 1891.670
656.8604, 1907.734
657.3425, 1919.537
657.8246, 1914.004
658.3067, 1873.195
658.7888, 1854.197
659.2709, 1869.646
659.7531, 1903.803
660.2352, 1924.822
660.7173, 1932.342
661.1994, 1934.494
661.6815, 1933.809
662.1636, 1929.864
662.6458, 1918.454
663.1279, 1901.509
663.6100, 1889.605
664.0921, 1892.047
664.5742, 1900.325
665.0563, 1908.920
665.5385, 1917.448
666.0206, 1922.787
666.5027, 1920.199
666.9848, 1916.697
667.4669, 1918.423
667.9490, 1933.853
668.4312, 1932.488
668.9133, 1905.087
669.3954, 1872.421
669.8775, 1858.743
670.3596, 1865.454
670.8417, 1872.446
671.3239, 1876.214
671.8060, 1879.268
672.2881, 1888.123
672.7702, 1900.125
673.2523, 1906.159
673.7344, 1897.482
674.2166, 1885.647
674.6987, 1878.662
675.1808, 1876.331
675.6629, 1878.053
676.1450, 1892.667
676.6271, 1902.897
677.1093, 1897.715
677.5914, 1875.941
678.0735, 1863.776
678.5556, 1867.541
679.0377, 1871.706
679.5198, 1866.156
680.0020, 1849.736
680.4841, 1839.969
680.9662, 1838.306
681.4483, 1836.910
681.9304, 1825.188
682.4125, 1807.357
682.8947, 1795.747
683.3768, 1793.712
683.8589, 1793.994
684.3410, 1790.405
684.8231, 1785.287
685.3052, 1781.904
685.7874, 1784.819
686.2695, 1785.708
686.7516, 1780.304
687.2337, 1771.379
687.7158, 1766.852
688.1979, 1771.282
688.6801, 1771.395
689.1622, 1762.265
689.6443, 1746.261
690.1264, 1734.111
690.6085, 1725.806
691.0906, 1719.596
691.5728, 1715.685
692.0549, 1712.806
692.5370, 1707.965
693.0191, 1701.229
693.5012, 1694.859
693.9833, 1688.827
694.4655, 1684.843
694.9476, 1686.000
695.4297, 1695.395
695.9118, 1698.772
696.3939, 1687.597
696.8760, 1672.488
697.3582, 1661.744
697.8403, 1656.473
698.3224, 1653.193
698.8045, 1652.303
699.2866, 1652.668
699.7687, 1652.958
700.2509, 1653.131
700.7330, 1652.788
701.2151, 1652.070
701.6972, 1650.215
702.1793, 1646.143
702.6614, 1640.012
703.1436, 1632.417
703.6257, 1617.077
704.1078, 1606.341
704.5899, 1612.506
705.0720, 1630.639
705.5541, 1639.284
706.0363, 1622.094
706.5184, 1608.245
707.0005, 1608.013
707.4826, 1620.585
707.9647, 1626.875
708.4468, 1626.135
708.9290, 1622.452
709.4111, 1616.973
709.8932, 1610.531
710.3753, 1607.624
710.8574, 1608.468
711.3395, 1609.558
711.8217, 1606.869
712.3038, 1603.327
712.7859, 1602.145
713.2680, 1603.802
713.7501, 1608.089
714.2322, 1619.317
714.7144, 1630.872
715.1965, 1635.452
715.6786, 1624.059
716.1607, 1621.867
716.6428, 1633.790
717.1249, 1650.990
717.6071, 1658.909
718.0892, 1657.133
718.5713, 1656.393
719.0534, 1659.337
719.5355, 1664.279
720.0176, 1669.397
720.4998, 1674.416
720.9819, 1678.633
721.4640, 1680.427
721.9461, 1682.555
722.4282, 1686.616
722.9103, 1692.480
723.3925, 1699.605
723.8746, 1709.903
724.3567, 1719.374
724.8388, 1727.637
725.3209, 1734.436
725.8030, 1734.919
726.2852, 1726.180
726.7673, 1720.645
727.2494, 1726.943
727.7315, 1742.771
728.2136, 1755.914
728.6957, 1766.297
729.1779, 1778.964
729.6600, 1804.907
730.1421, 1831.184
730.6242, 1839.739
731.1063, 1825.401
731.5884, 1816.341
732.0706, 1827.374
732.5527, 1845.857
733.0348, 1861.764
733.5169, 1873.390
733.9990, 1885.523
734.4811, 1898.714
