##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
467.1459, 1873.031
467.6280, 1864.726
468.1101, 1855.578
468.5922, 1846.312
469.0743, 1836.712
469.5565, 1827.154
470.0386, 1817.956
470.5207, 1808.928
471.0028, 1800.940
471.4849, 1794.480
471.9670, 1789.015
472.4492, 1782.779
472.9313, 1775.544
473.4134, 1768.479
473.8955, 1761.782
474.3776, 1755.494
474.8597, 1751.194
475.3419, 1749.063
475.8240, 1747.792
476.3061, 1746.291
476.7882, 1744.543
477.2703, 1742.465
477.7524, 1739.939
478.2346, 1737.220
478.7167, 1734.591
479.1988, 1732.033
479.6809, 1729.478
480.1630, 1726.869
480.6451, 1724.258
481.1273, 1721.660
481.6094, 1719.066
482.0915, 1716.627
482.5736, 1714.451
483.0557, 1712.440
483.5378, 1710.456
484.0200, 1708.085
484.5021, 1706.175
484.9842, 1705.725
485.4663, 1705.939
485.9484, 1704.715
486.4305, 1699.489
486.9127, 1694.941
487.3948, 1692.656
487.8769, 1692.982
488.3590, 1693.364
488.8411, 1694.627
489.3232, 1695.078
489.8054, 1692.683
490.2875, 1685.962
490.7696, 1682.161
491.2517, 1683.042
491.7338, 1686.400
492.2159, 1687.278
492.6981, 1685.605
493.1802, 1682.944
493.6623, 1678.848
494.1444, 1674.271
494.6265, 1673.903
495.1086, 1677.810
495.5908, 1682.236
496.0729, 1683.994
496.5550, 1683.896
497.0371, 1683.459
497.5192, 1682.747
498.0013, 1682.298
498.4835, 1682.896
498.9656, 1684.070
499.4477, 1684.859
499.9298, 1684.060
500.4119, 1683.407
500.8940, 1684.265
501.3762, 1686.601
501.8583, 1688.211
502.3404, 1688.518
502.8225, 1687.919
503.3046, 1686.563
503.7867, 1683.010
504.2689, 1681.172
504.7510, 1682.144
505.2331, 1684.457
505.7152, 1685.980
506.1973, 1686.517
506.6794, 1686.563
507.1616, 1685.937
507.6437, 1684.835
508.1258, 1685.023
508.6079, 1686.917
509.0900, 1688.433
509.5721, 1687.702
510.0543, 1685.012
510.5364, 1683.460
511.0185, 1683.315
511.5006, 1683.970
511.9827, 1685.172
512.4648, 1686.645
512.9470, 1687.431
513.4291, 1686.666
513.9112, 1685.698
514.3933, 1686.002
514.8754, 1687.373
515.3575, 1689.067
515.8397, 1691.132
516.3218, 1693.037
516.8039, 1694.441
517.2860, 1695.308
517.7681, 1695.573
518.2502, 1694.882
518.7324, 1693.732
519.2145, 1692.574
519.6966, 1690.703
520.1787, 1689.746
520.6608, 1689.991
521.1429, 1691.200
521.6251, 1692.921
522.1072, 1695.793
522.5893, 1698.039
523.0714, 1698.939
523.5535, 1698.528
524.0356, 1698.239
524.5178, 1697.963
524.9999, 1698.238
525.4820, 1699.915
525.9641, 1702.802
526.4462, 1705.136
526.9283, 1706.729
527.4105, 1707.689
527.8926, 1707.952
528.3747, 1707.682
528.8568, 1707.405
529.3389, 1706.882
529.8210, 1706.786
530.3032, 1708.544
530.7853, 1711.651
531.2674, 1713.616
531.7495, 1711.118
532.2316, 1708.222
532.7137, 1708.177
533.1959, 1712.179
533.6780, 1715.824
534.1601, 1717.703
534.6422, 1718.798
535.1243, 1720.156
535.6064, 1722.558
536.0886, 1724.313
536.5707, 1725.260
537.0528, 1725.488
537.5349, 1724.992
538.0170, 1723.201
538.4991, 1722.199
538.9813, 1723.005
539.4634, 1725.550
539.9455, 1728.267
540.4276, 1731.323
540.9097, 1733.682
541.3918, 1734.033
541.8740, 1732.787
542.3561, 1731.215
542.8382, 1729.144
543.3203, 1728.043
543.8024, 1730.299
544.2845, 1734.829
544.7667, 1739.170
