##NAMES=Aravaipaite
##RRUFFID=R100032
##IDEAL CHEMISTRY=Pb^2+^_3_AlF_9_&#183;H_2_O
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Transparent sheets, associated with laurelite R100011 and scotlandite R100043
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100032
371.6430, 1255.301
372.1252, 1251.441
372.6073, 1248.145
373.0894, 1245.500
373.5715, 1243.697
374.0536, 1243.300
374.5357, 1244.092
375.0179, 1244.830
375.5000, 1245.102
375.9821, 1244.751
376.4642, 1243.324
376.9463, 1240.217
377.4284, 1237.582
377.9106, 1236.752
378.3927, 1236.804
378.8748, 1235.800
379.3569, 1233.073
379.8390, 1230.487
380.3211, 1230.898
380.8033, 1235.143
381.2854, 1237.385
381.7675, 1236.128
382.2496, 1233.499
382.7317, 1230.189
383.2138, 1226.696
383.6960, 1225.066
384.1781, 1227.306
384.6602, 1233.002
385.1423, 1236.095
385.6244, 1235.397
386.1065, 1233.959
386.5887, 1232.039
387.0708, 1230.174
387.5529, 1229.324
388.0350, 1229.942
388.5171, 1231.386
388.9992, 1232.272
389.4814, 1232.609
389.9635, 1232.256
390.4456, 1230.813
390.9277, 1228.968
391.4098, 1227.273
391.8919, 1225.809
392.3741, 1224.203
392.8562, 1221.846
393.3383, 1218.336
393.8204, 1217.245
394.3025, 1220.990
394.7846, 1224.479
395.2668, 1226.584
395.7489, 1227.106
396.2310, 1225.596
396.7131, 1221.552
397.1952, 1216.157
397.6773, 1213.633
398.1595, 1215.897
398.6416, 1217.980
399.1237, 1219.610
399.6058, 1220.586
400.0879, 1220.568
400.5700, 1219.548
401.0522, 1218.103
401.5343, 1216.843
402.0164, 1215.768
402.4985, 1214.907
402.9806, 1213.861
403.4627, 1213.463
403.9449, 1214.476
404.4270, 1216.457
404.9091, 1218.286
405.3912, 1219.264
405.8733, 1219.591
406.3554, 1219.831
406.8376, 1219.866
407.3197, 1220.104
407.8018, 1221.412
408.2839, 1222.679
408.7660, 1222.564
409.2481, 1220.585
409.7303, 1218.111
410.2124, 1216.473
410.6945, 1215.631
411.1766, 1214.872
411.6587, 1214.274
412.1408, 1213.409
412.6230, 1211.295
413.1051, 1208.230
413.5872, 1206.580
414.0693, 1208.674
414.5514, 1212.301
415.0335, 1213.918
415.5157, 1213.233
415.9978, 1211.536
416.4799, 1208.899
416.9620, 1206.002
417.4441, 1204.847
417.9262, 1206.910
418.4084, 1208.851
418.8905, 1208.156
419.3726, 1205.849
419.8547, 1204.987
420.3368, 1207.005
420.8189, 1209.513
421.3011, 1207.979
421.7832, 1200.765
422.2653, 1196.741
422.7474, 1199.932
423.2295, 1204.629
423.7116, 1205.312
424.1938, 1202.036
424.6759, 1199.174
425.1580, 1200.393
425.6401, 1205.363
426.1222, 1207.983
426.6043, 1207.161
427.0865, 1205.646
427.5686, 1203.289
428.0507, 1200.888
428.5328, 1199.630
429.0149, 1199.943
429.4970, 1201.022
429.9792, 1201.350
430.4613, 1199.893
430.9434, 1200.012
431.4255, 1203.690
431.9076, 1206.939
432.3897, 1207.171
432.8719, 1204.823
433.3540, 1201.979
433.8361, 1200.127
434.3182, 1199.245
434.8003, 1199.328
435.2824, 1201.847
435.7646, 1203.014
436.2467, 1201.319
436.7288, 1198.264
437.2109, 1195.059
437.6930, 1192.064
438.1751, 1190.001
438.6573, 1190.532
439.1394, 1193.976
439.6215, 1195.351
440.1036, 1192.290
440.5857, 1188.859
441.0678, 1187.608
441.5500, 1188.236
442.0321, 1189.417
442.5142, 1190.930
442.9963, 1192.396
443.4784, 1193.038
443.9605, 1192.769
444.4427, 1192.350
444.9248, 1192.210
445.4069, 1192.115
445.8890, 1191.619
446.3711, 1190.529
446.8532, 1189.538
447.3354, 1189.315
447.8175, 1189.440
448.2996, 1188.661
448.7817, 1186.505
449.2638, 1184.734
449.7459, 1185.706
450.2281, 1189.635
450.7102, 1191.883
451.1923, 1191.242
451.6744, 1189.797
452.1565, 1188.570
452.6386, 1187.608
453.1208, 1186.778
453.6029, 1185.989
454.0850, 1185.355
454.5671, 1185.221
455.0492, 1187.085
455.5313, 1187.333
456.0135, 1184.869
456.4956, 1181.495
456.9777, 1178.019
457.4598, 1174.935
457.9419, 1173.190
458.4240, 1173.914
458.9062, 1177.157
459.3883, 1179.581
459.8704, 1180.595
460.3525, 1181.411
460.8346, 1182.768
461.3167, 1183.901
461.7989, 1183.472
462.2810, 1180.937
462.7631, 1177.939
463.2452, 1177.327
463.7273, 1179.644
464.2094, 1181.081
464.6916, 1180.611
465.1737, 1179.603
465.6558, 1178.568
466.1379, 1177.631
466.6200, 1177.073
467.1021, 1177.347
467.5843, 1177.963
468.0664, 1178.029
468.5485, 1177.555
469.0306, 1176.343
469.5127, 1173.206
469.9948, 1169.975
470.4770, 1169.977
470.9591, 1174.499
471.4412, 1177.817
471.9233, 1175.472
472.4054, 1170.386
472.8875, 1168.062
473.3697, 1169.563
473.8518, 1172.517
474.3339, 1175.276
474.8160, 1177.728
475.2981, 1178.550
475.7802, 1176.897
476.2624, 1174.549
476.7445, 1171.612
477.2266, 1168.633
477.7087, 1166.641
478.1908, 1166.027
478.6729, 1166.306
479.1551, 1166.663
479.6372, 1167.342
480.1193, 1167.464
480.6014, 1166.801
481.0835, 1165.859
481.5656, 1164.806
482.0478, 1163.716
482.5299, 1162.503
483.0120, 1160.953
483.4941, 1159.550
483.9762, 1160.625
484.4583, 1166.705
484.9405, 1170.032
485.4226, 1166.987
485.9047, 1162.295
486.3868, 1159.303
486.8689, 1158.534
487.3510, 1158.931
487.8332, 1159.929
488.3153, 1161.417
488.7974, 1163.021
489.2795, 1165.017
489.7616, 1166.400
490.2437, 1166.636
490.7259, 1165.825
491.2080, 1163.661
491.6901, 1159.058
492.1722, 1155.159
492.6543, 1154.821
493.1364, 1157.033
493.6186, 1159.107
494.1007, 1160.527
494.5828, 1160.929
495.0649, 1159.384
495.5470, 1155.600
496.0291, 1153.717
496.5113, 1155.838
496.9934, 1158.056
497.4755, 1157.910
497.9576, 1156.025
498.4397, 1154.223
498.9218, 1153.405
499.4040, 1152.986
499.8861, 1151.624
500.3682, 1148.492
500.8503, 1145.940
501.3324, 1143.744
501.8145, 1142.224
502.2967, 1141.972
502.7788, 1142.620
503.2609, 1143.010
503.7430, 1142.184
504.2251, 1140.662
504.7072, 1140.555
505.1894, 1142.401
505.6715, 1144.446
506.1536, 1147.602
506.6357, 1149.893
507.1178, 1149.014
507.5999, 1144.883
508.0821, 1140.818
508.5642, 1139.234
509.0463, 1139.609
509.5284, 1140.754
510.0105, 1142.931
510.4926, 1144.403
510.9748, 1143.614
511.4569, 1141.458
511.9390, 1140.102
512.4211, 1139.945
512.9032, 1140.072
513.3853, 1140.428
513.8674, 1140.660
514.3495, 1139.834
514.8317, 1137.739
515.3138, 1135.855
515.7959, 1135.910
516.2780, 1138.126
516.7601, 1138.707
517.2422, 1135.941
517.7244, 1133.729
518.2065, 1133.939
518.6886, 1135.341
519.1707, 1136.187
519.6528, 1135.844
520.1349, 1134.743
520.6171, 1133.460
521.0992, 1131.932
521.5813, 1130.512
522.0634, 1129.146
522.5455, 1127.970
523.0276, 1126.994
523.5098, 1126.257
523.9919, 1125.968
524.4740, 1126.428
524.9561, 1126.767
525.4382, 1124.987
525.9203, 1121.023
526.4025, 1119.420
526.8846, 1122.754
527.3667, 1126.746
527.8488, 1126.649
528.3309, 1123.165
528.8130, 1120.849
529.2952, 1122.255
529.7773, 1124.451
530.2594, 1124.600
530.7415, 1123.051
531.2236, 1121.620
531.7057, 1121.072
532.1879, 1121.182
532.6700, 1121.589
533.1521, 1122.633
533.6342, 1123.172
534.1163, 1122.471
534.5984, 1121.871
535.0806, 1122.404
535.5627, 1123.828
536.0448, 1125.324
536.5269, 1126.413
537.0090, 1127.091
537.4911, 1127.393
537.9733, 1127.604
538.4554, 1126.760
538.9375, 1123.280
539.4196, 1119.968
539.9017, 1118.995
540.3839, 1119.972
540.8660, 1120.610
541.3481, 1119.109
541.8302, 1116.468
542.3123, 1114.963
542.7944, 1114.711
543.2766, 1114.649
543.7587, 1114.574
544.2408, 1114.315
544.7229, 1113.628
545.2050, 1112.485
545.6871, 1111.259
546.1693, 1109.788
546.6514, 1108.483
547.1335, 1107.965
547.6156, 1108.144
548.0977, 1108.130
548.5798, 1107.242
549.0620, 1105.982
549.5441, 1106.043
550.0262, 1108.374
550.5083, 1110.832
550.9904, 1115.162
551.4725, 1118.273
551.9547, 1116.628
552.4368, 1111.214
552.9189, 1106.496
553.4010, 1106.068
553.8831, 1108.635
554.3652, 1108.656
554.8474, 1104.509
555.3295, 1101.932
555.8116, 1104.645
556.2937, 1107.911
556.7758, 1108.072
557.2579, 1105.060
557.7401, 1101.794
558.2222, 1099.628
558.7043, 1098.444
559.1864, 1098.349
559.6685, 1099.347
560.1506, 1100.008
560.6328, 1099.425
561.1149, 1098.277
561.5970, 1098.154
562.0791, 1099.381
562.5612, 1100.334
563.0433, 1101.175
563.5255, 1101.275
564.0076, 1099.657
564.4897, 1096.675
564.9718, 1093.700
565.4539, 1091.565
565.9360, 1090.218
566.4182, 1089.569
566.9003, 1090.167
567.3824, 1090.443
567.8645, 1090.464
568.3466, 1090.045
568.8287, 1088.631
569.3109, 1086.591
569.7930, 1085.164
570.2751, 1085.299
570.7572, 1086.328
571.2393, 1086.924
571.7214, 1087.078
572.2036, 1086.939
572.6857, 1086.710
573.1678, 1086.006
573.6499, 1083.848
574.1320, 1080.284
574.6141, 1078.127
575.0963, 1079.262
575.5784, 1081.229
576.0605, 1081.894
576.5426, 1081.517
577.0247, 1081.413
577.5068, 1082.236
577.9890, 1083.254
578.4711, 1083.042
578.9532, 1080.972
579.4353, 1079.257
579.9174, 1077.861
580.3995, 1076.812
580.8817, 1076.052
581.3638, 1075.666
581.8459, 1076.005
582.3280, 1077.326
582.8101, 1078.722
583.2922, 1078.684
583.7744, 1077.141
584.2565, 1075.063
584.7386, 1071.785
585.2207, 1069.094
585.7029, 1068.423
586.1850, 1069.254
586.6671, 1070.399
587.1492, 1072.045
587.6313, 1073.286
588.1135, 1073.346
588.5956, 1072.512
589.0777, 1071.151
589.5598, 1069.323
590.0419, 1068.136
590.5240, 1069.169
591.0062, 1072.627
591.4883, 1073.386
591.9704, 1068.773
592.4525, 1065.044
592.9346, 1064.077
593.4167, 1064.645
593.8989, 1065.693
594.3810, 1066.778
594.8631, 1067.322
595.3452, 1066.485
595.8273, 1064.427
596.3094, 1062.945
596.7916, 1062.187
597.2737, 1061.665
597.7558, 1061.429
598.2379, 1061.193
598.7200, 1060.519
599.2021, 1059.282
599.6843, 1058.345
600.1664, 1058.526
600.6485, 1059.067
601.1306, 1058.476
601.6127, 1056.860
602.0948, 1056.311
602.5770, 1058.330
603.0591, 1061.706
603.5412, 1063.088
604.0233, 1060.836
604.5054, 1059.169
604.9875, 1058.290
605.4697, 1057.797
605.9518, 1057.557
606.4339, 1057.487
606.9160, 1057.484
607.3981, 1057.495
607.8802, 1057.536
608.3624, 1057.665
608.8445, 1057.913
609.3266, 1058.019
609.8087, 1057.757
610.2908, 1057.598
610.7729, 1058.216
611.2551, 1059.240
611.7372, 1059.511
612.2193, 1058.297
612.7014, 1056.794
613.1835, 1055.727
613.6656, 1055.019
614.1478, 1054.460
614.6299, 1054.000
615.1120, 1053.883
615.5941, 1054.475
616.0762, 1055.778
616.5583, 1056.307
617.0405, 1055.697
617.5226, 1054.754
618.0047, 1053.687
618.4868, 1052.290
618.9689, 1050.031
619.4510, 1047.042
619.9332, 1044.413
620.4153, 1043.099
620.8974, 1042.875
621.3795, 1043.273
621.8616, 1044.608
622.3438, 1044.813
622.8259, 1042.149
623.3080, 1038.857
623.7901, 1038.144
624.2722, 1040.143
624.7543, 1041.855
625.2365, 1043.078
625.7186, 1043.213
626.2007, 1040.598
626.6828, 1036.441
627.1649, 1034.275
627.6470, 1035.606
628.1292, 1038.411
628.6113, 1039.317
629.0934, 1037.579
629.5755, 1037.015
630.0576, 1039.799
630.5397, 1041.406
631.0219, 1039.420
631.5040, 1035.862
631.9861, 1033.579
632.4682, 1033.415
632.9503, 1033.887
633.4324, 1033.716
633.9146, 1033.097
634.3967, 1032.713
634.8788, 1032.670
635.3609, 1032.373
635.8430, 1031.240
636.3251, 1029.749
636.8073, 1029.389
637.2894, 1030.741
637.7715, 1031.664
638.2536, 1031.716
638.7357, 1031.323
639.2178, 1030.592
639.7000, 1029.698
640.1821, 1028.993
640.6642, 1028.668
641.1463, 1028.568
641.6284, 1028.501
642.1105, 1028.598
642.5927, 1027.924
643.0748, 1025.577
643.5569, 1023.499
644.0390, 1023.189
644.5211, 1023.820
645.0032, 1023.619
645.4854, 1021.792
645.9675, 1020.010
646.4496, 1019.605
646.9317, 1019.953
647.4138, 1020.044
647.8959, 1019.700
648.3781, 1018.656
648.8602, 1016.431
649.3423, 1013.616
649.8244, 1013.169
650.3065, 1019.021
650.7886, 1021.277
651.2708, 1016.116
651.7529, 1010.429
652.2350, 1008.890
652.7171, 1010.858
653.1992, 1013.416
653.6813, 1015.408
654.1635, 1016.284
654.6456, 1014.223
655.1277, 1009.598
655.6098, 1007.474
656.0919, 1009.435
656.5740, 1012.266
657.0562, 1013.493
657.5383, 1013.167
658.0204, 1012.316
658.5025, 1010.199
658.9846, 1008.483
659.4667, 1007.801
659.9489, 1007.674
660.4310, 1007.780
660.9131, 1007.964
661.3952, 1007.998
661.8773, 1007.734
662.3594, 1007.150
662.8416, 1006.084
663.3237, 1004.342
663.8058, 1002.829
664.2879, 1001.687
664.7700, 1000.854
665.2521, 1000.079
665.7343, 999.5259
666.2164, 999.7659
666.6985, 1001.324
667.1806, 1003.239
667.6627, 1005.460
668.1448, 1007.400
668.6270, 1007.788
669.1091, 1006.426
669.5912, 1004.146
670.0733, 1001.475
670.5554, 998.6206
671.0375, 997.0856
671.5197, 997.8211
672.0018, 998.3469
672.4839, 998.2072
672.9660, 997.9523
673.4481, 998.2585
673.9302, 998.8219
674.4124, 998.4783
