##NAMES=Lithiotantite
##RRUFFID=R100165
##IDEAL CHEMISTRY=LiTa^5+^_3_O_8_
##LOCALITY=Murundu mine, Jenipapo district, Itinga, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Luiz Menezes
##DESCRIPTION=Brown bladed crystals associated with reddish brown prismatic tantalite, and black cassiterite. Used in the Menezes et al (2012) study.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100165
558.7404, 7424.486
559.2225, 7460.088
559.7047, 7497.273
560.1868, 7530.661
560.6689, 7560.297
561.1510, 7584.381
561.6331, 7599.615
562.1152, 7603.646
562.5974, 7602.094
563.0795, 7600.770
563.5616, 7598.256
564.0437, 7589.226
564.5258, 7572.275
565.0079, 7550.189
565.4901, 7526.015
565.9722, 7499.083
566.4543, 7464.544
566.9364, 7421.283
567.4185, 7371.958
567.9006, 7316.192
568.3828, 7255.618
568.8649, 7192.103
569.3470, 7126.500
569.8291, 7057.083
570.3112, 6982.702
570.7933, 6902.956
571.2755, 6820.393
571.7576, 6731.930
572.2397, 6644.008
572.7218, 6558.752
573.2039, 6474.171
573.6860, 6387.823
574.1682, 6298.748
574.6503, 6208.803
575.1324, 6119.280
575.6145, 6030.164
576.0966, 5941.795
576.5787, 5854.787
577.0609, 5766.263
577.5430, 5673.114
578.0251, 5578.499
578.5072, 5490.352
578.9893, 5410.654
579.4714, 5333.327
579.9536, 5257.915
580.4357, 5182.739
580.9178, 5104.150
581.3999, 5022.617
581.8820, 4941.818
582.3641, 4864.311
582.8463, 4790.227
583.3284, 4719.496
583.8105, 4652.288
584.2926, 4588.225
584.7747, 4528.689
585.2568, 4470.781
585.7390, 4411.578
586.2211, 4351.498
586.7032, 4293.574
587.1853, 4240.060
587.6674, 4190.141
588.1495, 4142.730
588.6317, 4098.083
589.1138, 4053.710
589.5959, 4007.118
590.0780, 3961.886
590.5601, 3922.825
591.0422, 3889.749
591.5244, 3857.782
592.0065, 3826.390
592.4886, 3794.826
592.9707, 3761.074
593.4528, 3726.665
593.9349, 3697.044
594.4171, 3675.043
594.8992, 3656.557
595.3813, 3634.096
595.8634, 3605.235
596.3455, 3579.441
596.8276, 3557.901
597.3098, 3537.709
597.7919, 3518.239
598.2740, 3499.041
598.7561, 3478.956
599.2382, 3457.366
599.7203, 3436.939
600.2025, 3421.621
600.6846, 3411.242
601.1667, 3401.296
601.6488, 3391.356
602.1309, 3381.913
602.6130, 3374.280
603.0952, 3367.293
603.5773, 3358.280
604.0594, 3344.447
604.5415, 3333.185
605.0236, 3329.286
605.5057, 3329.919
605.9879, 3331.283
606.4700, 3332.589
606.9521, 3333.579
607.4342, 3333.616
607.9163, 3333.265
608.3984, 3336.995
608.8806, 3346.387
609.3627, 3357.958
609.8448, 3373.182
610.3269, 3389.029
610.8090, 3402.484
611.2911, 3413.981
611.7733, 3426.688
612.2554, 3442.881
612.7375, 3461.680
613.2196, 3481.829
613.7017, 3503.698
614.1838, 3523.944
614.6660, 3540.415
615.1481, 3556.406
615.6302, 3576.309
616.1123, 3599.865
616.5944, 3623.140
617.0765, 3645.008
617.5587, 3666.655
618.0408, 3688.946
618.5229, 3711.602
619.0050, 3734.268
619.4871, 3756.792
