##NAMES=Schaurteite
##RRUFFID=R120054
##IDEAL CHEMISTRY=Ca_3_Ge(S^6+^O_4_)_2_(OH)_6_&#183;3H_2_O
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Massive aggregate of parallel and radiating colorless needles intermixed with calcite, associated with tennantite and renierite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120054
1.382217e+002, 1.774759e+001
1.387039e+002, 1.726074e+001
1.391860e+002, 1.735439e+001
1.396681e+002, 1.742954e+001
1.401502e+002, 1.744751e+001
1.406323e+002, 1.739450e+001
1.411144e+002, 1.716877e+001
1.415966e+002, 1.666883e+001
1.420787e+002, 1.618838e+001
1.425608e+002, 1.599444e+001
1.430429e+002, 1.623958e+001
1.435250e+002, 1.632902e+001
1.440071e+002, 1.608480e+001
1.444893e+002, 1.553211e+001
1.449714e+002, 1.528690e+001
1.454535e+002, 1.551040e+001
1.459356e+002, 1.588748e+001
1.464177e+002, 1.609828e+001
1.468998e+002, 1.591720e+001
1.473820e+002, 1.593933e+001
1.478641e+002, 1.641793e+001
1.483462e+002, 1.749061e+001
1.488283e+002, 1.802106e+001
1.493104e+002, 1.763966e+001
1.497925e+002, 1.689289e+001
1.502747e+002, 1.640675e+001
1.507568e+002, 1.643903e+001
1.512389e+002, 1.647713e+001
1.517210e+002, 1.636238e+001
1.522031e+002, 1.595976e+001
1.526852e+002, 1.583379e+001
1.531674e+002, 1.636191e+001
1.536495e+002, 1.709087e+001
1.541316e+002, 1.736873e+001
1.546137e+002, 1.646553e+001
1.550958e+002, 1.568966e+001
1.555779e+002, 1.548849e+001
1.560601e+002, 1.613335e+001
1.565422e+002, 1.679147e+001
1.570243e+002, 1.729821e+001
1.575064e+002, 1.774120e+001
1.579885e+002, 1.829007e+001
1.584706e+002, 1.912307e+001
1.589528e+002, 1.996636e+001
1.594349e+002, 2.066359e+001
1.599170e+002, 2.100662e+001
1.603991e+002, 2.153066e+001
1.608812e+002, 2.230424e+001
1.613633e+002, 2.335888e+001
1.618455e+002, 2.477728e+001
1.623276e+002, 2.692335e+001
1.628097e+002, 2.922741e+001
1.632918e+002, 3.133187e+001
1.637739e+002, 3.273859e+001
1.642560e+002, 3.448088e+001
1.647382e+002, 3.700894e+001
1.652203e+002, 4.024608e+001
1.657024e+002, 4.389875e+001
1.661845e+002, 4.822162e+001
1.666666e+002, 5.273946e+001
1.671487e+002, 5.694250e+001
1.676309e+002, 6.014962e+001
1.681130e+002, 6.363775e+001
1.685951e+002, 6.841025e+001
1.690772e+002, 7.429088e+001
1.695593e+002, 8.010136e+001
1.700414e+002, 8.503054e+001
1.705236e+002, 8.954919e+001
1.710057e+002, 9.415462e+001
1.714878e+002, 9.911743e+001
1.719699e+002, 1.042194e+002
1.724520e+002, 1.092142e+002
1.729341e+002, 1.141318e+002
1.734163e+002, 1.190801e+002
1.738984e+002, 1.245192e+002
1.743805e+002, 1.300408e+002
1.748626e+002, 1.348092e+002
1.753447e+002, 1.380298e+002
1.758268e+002, 1.406994e+002
1.763090e+002, 1.439986e+002
1.767911e+002, 1.479048e+002
1.772732e+002, 1.518261e+002
1.777553e+002, 1.544197e+002
1.782374e+002, 1.559063e+002
1.787195e+002, 1.575191e+002
1.792017e+002, 1.600112e+002
1.796838e+002, 1.628847e+002
1.801659e+002, 1.652798e+002
1.806480e+002, 1.671924e+002
1.811301e+002, 1.690314e+002
1.816122e+002, 1.709593e+002
1.820944e+002, 1.731102e+002
1.825765e+002, 1.758866e+002
1.830586e+002, 1.798162e+002
1.835407e+002, 1.844229e+002
1.840228e+002, 1.889311e+002
1.845049e+002, 1.932883e+002
1.849871e+002, 1.975480e+002
1.854692e+002, 2.015646e+002
1.859513e+002, 2.054363e+002
1.864334e+002, 2.094791e+002
1.869155e+002, 2.141308e+002
1.873976e+002, 2.191240e+002
1.878798e+002, 2.236546e+002
1.883619e+002, 2.276729e+002
1.888440e+002, 2.312827e+002
1.893261e+002, 2.343403e+002
1.898082e+002, 2.369194e+002
1.902903e+002, 2.396402e+002
1.907725e+002, 2.429346e+002
1.912546e+002, 2.467271e+002
1.917367e+002, 2.503378e+002
1.922188e+002, 2.537782e+002
1.927009e+002, 2.569799e+002
1.931830e+002, 2.597281e+002
1.936652e+002, 2.620157e+002
1.941473e+002, 2.640807e+002
1.946294e+002, 2.658970e+002
1.951115e+002, 2.674984e+002
1.955936e+002, 2.694018e+002
1.960757e+002, 2.717395e+002
1.965579e+002, 2.742094e+002
1.970400e+002, 2.761870e+002
1.975221e+002, 2.776353e+002
1.980042e+002, 2.790034e+002
1.984863e+002, 2.805516e+002
1.989684e+002, 2.822758e+002
1.994506e+002, 2.840441e+002
1.999327e+002, 2.858856e+002
2.004148e+002, 2.876987e+002
2.008969e+002, 2.891302e+002
2.013790e+002, 2.900981e+002
2.018611e+002, 2.912087e+002
2.023433e+002, 2.928530e+002
2.028254e+002, 2.950685e+002
2.033075e+002, 2.974401e+002
2.037896e+002, 3.000693e+002
2.042717e+002, 3.026972e+002
2.047538e+002, 3.043912e+002
2.052360e+002, 3.048168e+002
2.057181e+002, 3.055239e+002
2.062002e+002, 3.076767e+002
2.066823e+002, 3.115827e+002
2.071644e+002, 3.148819e+002
2.076465e+002, 3.173388e+002
2.081287e+002, 3.190902e+002
2.086108e+002, 3.205489e+002
2.090929e+002, 3.216415e+002
2.095750e+002, 3.226427e+002
2.100571e+002, 3.236363e+002
2.105392e+002, 3.245519e+002
2.110214e+002, 3.258607e+002
2.115035e+002, 3.278166e+002
2.119856e+002, 3.301254e+002
2.124677e+002, 3.317693e+002
2.129498e+002, 3.325653e+002
2.134319e+002, 3.331389e+002
2.139140e+002, 3.338965e+002
2.143962e+002, 3.349399e+002
2.148783e+002, 3.358099e+002
2.153604e+002, 3.363619e+002
2.158425e+002, 3.367290e+002
2.163246e+002, 3.374905e+002
2.168067e+002, 3.389030e+002
2.172889e+002, 3.402240e+002
2.177710e+002, 3.408897e+002
2.182531e+002, 3.405057e+002
2.187352e+002, 3.406778e+002
2.192173e+002, 3.418145e+002
2.196994e+002, 3.436133e+002
2.201816e+002, 3.445022e+002
2.206637e+002, 3.439609e+002
2.211458e+002, 3.434164e+002
2.216279e+002, 3.438747e+002
2.221100e+002, 3.458969e+002
2.225921e+002, 3.473961e+002
2.230743e+002, 3.479665e+002
2.235564e+002, 3.478778e+002
2.240385e+002, 3.485337e+002
2.245206e+002, 3.504551e+002
2.250027e+002, 3.522904e+002
2.254848e+002, 3.530525e+002
2.259670e+002, 3.519542e+002
2.264491e+002, 3.517339e+002
2.269312e+002, 3.529038e+002
2.274133e+002, 3.551405e+002
2.278954e+002, 3.569534e+002
2.283775e+002, 3.582118e+002
2.288597e+002, 3.591957e+002
2.293418e+002, 3.600065e+002
2.298239e+002, 3.604774e+002
2.303060e+002, 3.611513e+002
2.307881e+002, 3.620857e+002
2.312702e+002, 3.632486e+002
2.317524e+002, 3.645028e+002
2.322345e+002, 3.659659e+002
2.327166e+002, 3.673134e+002
2.331987e+002, 3.682043e+002
2.336808e+002, 3.679818e+002
2.341629e+002, 3.688194e+002
2.346451e+002, 3.715412e+002
2.351272e+002, 3.754752e+002
2.356093e+002, 3.776668e+002
2.360914e+002, 3.773974e+002
2.365735e+002, 3.763794e+002
2.370556e+002, 3.754964e+002
2.375378e+002, 3.747057e+002
2.380199e+002, 3.741741e+002
2.385020e+002, 3.740390e+002
2.389841e+002, 3.741824e+002
2.394662e+002, 3.740929e+002
2.399483e+002, 3.735926e+002
2.404305e+002, 3.731257e+002
2.409126e+002, 3.729146e+002
2.413947e+002, 3.729834e+002
2.418768e+002, 3.732925e+002
2.423589e+002, 3.739697e+002
2.428410e+002, 3.748805e+002
2.433232e+002, 3.755308e+002
2.438053e+002, 3.757087e+002
2.442874e+002, 3.759081e+002
2.447695e+002, 3.763943e+002
2.452516e+002, 3.773507e+002
2.457337e+002, 3.781461e+002
2.462159e+002, 3.786031e+002
2.466980e+002, 3.788972e+002
2.471801e+002, 3.796504e+002
2.476622e+002, 3.812388e+002
2.481443e+002, 3.827141e+002
2.486264e+002, 3.835460e+002
2.491086e+002, 3.833146e+002
2.495907e+002, 3.834684e+002
2.500728e+002, 3.841645e+002
2.505549e+002, 3.852244e+002
2.510370e+002, 3.861491e+002
2.515191e+002, 3.867863e+002
2.520013e+002, 3.875476e+002
2.524834e+002, 3.887379e+002
2.529655e+002, 3.908022e+002
2.534476e+002, 3.920657e+002
2.539297e+002, 3.921424e+002
2.544118e+002, 3.915968e+002
2.548940e+002, 3.917242e+002
2.553761e+002, 3.928249e+002
2.558582e+002, 3.940678e+002
2.563403e+002, 3.951205e+002
2.568224e+002, 3.959443e+002
2.573046e+002, 3.966719e+002
2.577867e+002, 3.972715e+002
2.582688e+002, 3.977758e+002
2.587509e+002, 3.982404e+002
2.592330e+002, 3.986367e+002
2.597151e+002, 3.990255e+002
2.601973e+002, 3.994237e+002
2.606794e+002, 3.998140e+002
2.611615e+002, 4.002769e+002
2.616436e+002, 4.009122e+002
2.621257e+002, 4.015343e+002
2.626078e+002, 4.017544e+002
2.630900e+002, 4.013449e+002
2.635721e+002, 4.011015e+002
2.640542e+002, 4.013678e+002
2.645363e+002, 4.022607e+002
2.650184e+002, 4.029592e+002
2.655005e+002, 4.034335e+002
2.659827e+002, 4.037817e+002
2.664648e+002, 4.041230e+002
2.669469e+002, 4.044210e+002
2.674290e+002, 4.048233e+002
2.679111e+002, 4.054330e+002
2.683932e+002, 4.062686e+002
2.688754e+002, 4.068688e+002
2.693575e+002, 4.071287e+002
2.698396e+002, 4.072970e+002
2.703217e+002, 4.077227e+002
2.708038e+002, 4.084895e+002
2.712859e+002, 4.091507e+002
2.717681e+002, 4.095919e+002
2.722502e+002, 4.098085e+002
2.727323e+002, 4.097684e+002
2.732144e+002, 4.093682e+002
2.736965e+002, 4.089151e+002
2.741786e+002, 4.088413e+002
2.746608e+002, 4.092758e+002
2.751429e+002, 4.093597e+002
2.756250e+002, 4.087259e+002
2.761071e+002, 4.075218e+002
2.765892e+002, 4.068795e+002
2.770714e+002, 4.069194e+002
2.775535e+002, 4.072101e+002
2.780356e+002, 4.073465e+002
2.785177e+002, 4.073016e+002
2.789998e+002, 4.073925e+002
2.794819e+002, 4.078119e+002
2.799641e+002, 4.083893e+002
2.804462e+002, 4.082367e+002
2.809283e+002, 4.071927e+002
2.814104e+002, 4.061033e+002
2.818925e+002, 4.058025e+002
2.823746e+002, 4.063082e+002
2.828568e+002, 4.064200e+002
2.833389e+002, 4.058600e+002
2.838210e+002, 4.048648e+002
2.843031e+002, 4.039572e+002
2.847852e+002, 4.031111e+002
2.852673e+002, 4.026436e+002
2.857495e+002, 4.029587e+002
2.862316e+002, 4.039947e+002
2.867137e+002, 4.048747e+002
2.871958e+002, 4.054999e+002
2.876779e+002, 4.059115e+002
2.881600e+002, 4.061827e+002
2.886422e+002, 4.063127e+002
2.891243e+002, 4.062834e+002
2.896064e+002, 4.059460e+002
2.900885e+002, 4.053819e+002
2.905706e+002, 4.050314e+002
2.910527e+002, 4.049111e+002
2.915349e+002, 4.050447e+002
2.920170e+002, 4.055880e+002
2.924991e+002, 4.064958e+002
2.929812e+002, 4.073877e+002
2.934633e+002, 4.080693e+002
2.939454e+002, 4.085651e+002
2.944276e+002, 4.089074e+002
2.949097e+002, 4.090671e+002
2.953918e+002, 4.092026e+002
2.958739e+002, 4.095684e+002
2.963560e+002, 4.101089e+002
2.968381e+002, 4.105717e+002
2.973203e+002, 4.106337e+002
2.978024e+002, 4.105703e+002
2.982845e+002, 4.109679e+002
2.987666e+002, 4.118600e+002
2.992487e+002, 4.130277e+002
2.997308e+002, 4.144818e+002
3.002130e+002, 4.160819e+002
3.006951e+002, 4.174042e+002
3.011772e+002, 4.182852e+002
3.016593e+002, 4.187883e+002
3.021414e+002, 4.188535e+002
3.026235e+002, 4.184899e+002
3.031057e+002, 4.181822e+002
3.035878e+002, 4.182930e+002
3.040699e+002, 4.187492e+002
3.045520e+002, 4.194315e+002
