##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
299.6931, 2332.168
300.1752, 2316.588
300.6573, 2316.792
301.1395, 2334.033
301.6216, 2350.145
302.1037, 2348.966
302.5858, 2335.867
303.0679, 2332.080
303.5500, 2343.629
304.0321, 2359.102
304.5143, 2368.900
304.9964, 2374.002
305.4785, 2377.473
305.9606, 2380.513
306.4427, 2382.327
306.9248, 2379.945
307.4070, 2372.936
307.8891, 2369.885
308.3712, 2380.273
308.8533, 2398.890
309.3354, 2406.014
309.8175, 2390.865
310.2997, 2374.810
310.7818, 2370.725
311.2639, 2375.841
311.7460, 2382.513
312.2281, 2388.855
312.7102, 2392.573
313.1924, 2386.108
313.6745, 2361.525
314.1566, 2346.801
314.6387, 2349.856
315.1208, 2364.726
315.6029, 2390.143
316.0851, 2424.913
316.5672, 2453.844
317.0493, 2457.909
317.5314, 2429.071
318.0135, 2407.703
318.4956, 2393.640
318.9778, 2386.543
319.4599, 2391.427
319.9420, 2404.144
320.4241, 2412.494
320.9062, 2406.969
321.3883, 2389.371
321.8705, 2377.812
322.3526, 2375.687
322.8347, 2375.954
323.3168, 2377.753
323.7989, 2381.306
324.2810, 2387.527
324.7632, 2396.716
325.2453, 2407.380
325.7274, 2416.389
326.2095, 2422.569
326.6916, 2429.689
327.1737, 2445.452
327.6559, 2456.514
328.1380, 2449.600
328.6201, 2426.603
329.1022, 2404.198
329.5843, 2400.576
330.0664, 2415.939
330.5486, 2422.567
331.0307, 2409.675
331.5128, 2401.563
331.9949, 2414.458
332.4770, 2438.193
332.9591, 2453.255
333.4413, 2447.370
333.9234, 2430.774
334.4055, 2424.373
334.8876, 2430.828
335.3697, 2435.559
335.8518, 2431.027
336.3340, 2422.975
336.8161, 2417.029
337.2982, 2414.166
337.7803, 2412.107
338.2624, 2408.954
338.7445, 2405.088
339.2267, 2402.297
339.7088, 2401.283
340.1909, 2400.811
340.6730, 2398.728
341.1551, 2395.317
341.6372, 2394.459
342.1194, 2400.912
342.6015, 2408.306
343.0836, 2408.340
343.5657, 2400.896
344.0478, 2393.545
344.5299, 2392.054
345.0121, 2395.018
345.4942, 2393.620
345.9763, 2377.596
346.4584, 2368.891
346.9405, 2383.712
347.4226, 2410.059
347.9048, 2424.572
348.3869, 2417.885
348.8690, 2402.012
349.3511, 2399.135
349.8332, 2423.395
350.3153, 2433.603
350.7975, 2417.031
351.2796, 2396.481
351.7617, 2389.851
352.2438, 2396.810
352.7259, 2404.158
353.2080, 2399.263
353.6902, 2382.091
354.1723, 2372.001
354.6544, 2378.035
355.1365, 2382.056
355.6186, 2378.428
356.1007, 2371.074
356.5829, 2365.329
357.0650, 2363.609
357.5471, 2365.042
358.0292, 2368.748
358.5113, 2376.233
358.9934, 2381.136
359.4756, 2378.914
359.9577, 2376.270
360.4398, 2379.164
360.9219, 2387.152
361.4040, 2392.310
361.8861, 2386.559
362.3683, 2372.160
362.8504, 2360.546
363.3325, 2353.083
363.8146, 2346.559
364.2967, 2339.325
364.7788, 2331.515
365.2610, 2322.884
365.7431, 2308.915
366.2252, 2299.056
366.7073, 2306.138
367.1894, 2327.800
367.6715, 2346.780
368.1537, 2356.242
368.6358, 2359.294
369.1179, 2360.901
369.6000, 2360.527
370.0821, 2361.057
370.5642, 2365.665
371.0464, 2370.441
371.5285, 2369.577
372.0106, 2362.547
372.4927, 2354.769
372.9748, 2350.870
373.4569, 2350.987
373.9391, 2354.432
374.4212, 2367.579
374.9033, 2376.726
375.3854, 2374.348
375.8675, 2364.908
376.3496, 2356.023
376.8318, 2351.231
377.3139, 2349.678
377.7960, 2349.700
378.2781, 2353.482
378.7602, 2354.688
379.2423, 2354.610
379.7245, 2351.191
380.2066, 2339.349
380.6887, 2321.250
381.1708, 2307.251
381.6529, 2308.306
382.1350, 2322.911
382.6172, 2332.115
383.0993, 2333.194
383.5814, 2333.085
384.0635, 2332.663
384.5456, 2333.469
385.0277, 2338.793
385.5099, 2351.512
385.9920, 2363.814
386.4741, 2364.406
386.9562, 2354.002
387.4383, 2346.727
387.9204, 2346.790
388.4026, 2350.708
388.8847, 2356.868
389.3668, 2365.256
389.8489, 2366.755
390.3310, 2350.744
390.8131, 2330.194
391.2953, 2321.817
391.7774, 2326.344
392.2595, 2334.338
392.7416, 2341.131
393.2237, 2345.848
393.7058, 2343.408
394.1880, 2322.835
394.6701, 2309.353
395.1522, 2316.004
395.6343, 2331.203
396.1164, 2338.169
396.5985, 2332.131
397.0807, 2322.821
397.5628, 2324.832
398.0449, 2344.355
398.5270, 2353.167
399.0091, 2341.006
399.4912, 2329.559
399.9734, 2329.754
400.4555, 2338.087
400.9376, 2345.412
401.4197, 2346.225
401.9018, 2342.671
402.3839, 2341.491
402.8660, 2345.295
403.3481, 2344.618
403.8303, 2330.667
404.3124, 2315.619
404.7945, 2308.557
405.2766, 2310.630
405.7587, 2317.097
406.2408, 2329.232
406.7230, 2343.364
407.2051, 2344.406
407.6872, 2327.012
408.1693, 2309.768
408.6514, 2307.631
409.1335, 2315.867
409.6157, 2321.562
410.0978, 2319.909
410.5799, 2318.902
411.0620, 2327.171
411.5441, 2340.148
412.0262, 2344.541
412.5084, 2334.770
412.9905, 2319.649
413.4726, 2313.047
413.9547, 2319.626
414.4368, 2322.504
414.9189, 2316.781
415.4011, 2311.503
415.8832, 2315.022
416.3653, 2324.558
416.8474, 2329.937
417.3295, 2323.851
417.8116, 2309.602
418.2938, 2302.436
418.7759, 2309.530
419.2580, 2312.041
419.7401, 2302.452
420.2222, 2291.147
420.7043, 2287.518
421.1865, 2292.664
421.6686, 2299.611
422.1507, 2300.101
422.6328, 2295.299
423.1149, 2298.547
423.5970, 2315.877
424.0792, 2330.211
424.5613, 2327.834
425.0434, 2316.791
425.5255, 2310.401
426.0076, 2314.648
426.4897, 2319.474
426.9719, 2314.932
427.4540, 2303.651
427.9361, 2295.632
428.4182, 2294.300
428.9003, 2295.475
429.3824, 2293.462
429.8646, 2287.470
430.3467, 2283.760
430.8288, 2281.953
431.3109, 2283.223
431.7930, 2290.803
432.2751, 2302.359
432.7573, 2311.798
433.2394, 2315.768
433.7215, 2315.021
434.2036, 2311.581
434.6857, 2301.594
435.1678, 2295.312
435.6500, 2293.583
436.1321, 2294.961
436.6142, 2300.074
437.0963, 2307.841
437.5784, 2314.222
438.0605, 2314.013
438.5427, 2309.459
439.0248, 2315.848
439.5069, 2342.141
439.9890, 2358.765
440.4711, 2340.386
440.9532, 2310.988
441.4354, 2298.438
441.9175, 2310.693
442.3996, 2324.748
442.8817, 2320.222
443.3638, 2305.256
443.8459, 2302.669
444.3281, 2317.987
444.8102, 2336.490
445.2923, 2346.599
445.7744, 2347.673
446.2565, 2342.511
446.7386, 2318.926
447.2208, 2302.090
447.7029, 2309.854
448.1850, 2330.443
448.6671, 2343.028
449.1492, 2339.966
449.6313, 2329.099
450.1135, 2322.737
450.5956, 2322.156
451.0777, 2322.212
451.5598, 2325.995
452.0419, 2327.356
452.5240, 2321.491
453.0062, 2311.387
453.4883, 2302.344
453.9704, 2296.038
454.4525, 2295.048
454.9346, 2309.543
455.4167, 2343.740
455.8989, 2361.401
456.3810, 2340.740
456.8631, 2312.548
457.3452, 2308.536
457.8273, 2327.403
458.3094, 2343.109
458.7916, 2342.702
459.2737, 2335.449
459.7558, 2332.338
460.2379, 2333.340
460.7200, 2332.500
461.2021, 2325.256
461.6843, 2315.799
462.1664, 2316.641
462.6485, 2335.775
463.1306, 2351.239
463.6127, 2361.308
464.0948, 2366.897
464.5770, 2367.649
465.0591, 2364.289
465.5412, 2358.347
466.0233, 2349.796
466.5054, 2340.328
466.9875, 2341.978
467.4697, 2361.222
467.9518, 2380.596
468.4339, 2405.202
468.9160, 2422.732
469.3981, 2417.239
469.8802, 2387.076
470.3624, 2356.189
470.8445, 2344.243
471.3266, 2346.697
471.8087, 2350.768
472.2908, 2356.379
472.7729, 2359.866
473.2551, 2357.334
473.7372, 2351.145
474.2193, 2348.980
474.7014, 2351.402
475.1835, 2356.961
475.6656, 2367.679
476.1478, 2380.181
476.6299, 2391.893
477.1120, 2401.567
477.5941, 2403.787
478.0762, 2390.791
478.5583, 2361.783
479.0405, 2348.241
479.5226, 2366.562
480.0047, 2382.181
480.4868, 2386.911
480.9689, 2386.370
481.4510, 2387.233
481.9332, 2391.393
482.4153, 2396.116
482.8974, 2399.516
483.3795, 2401.378
483.8616, 2397.220
484.3438, 2382.168
484.8259, 2370.405
485.3080, 2375.892
485.7901, 2390.295
486.2722, 2398.793
486.7543, 2397.831
487.2365, 2392.475
487.7186, 2380.614
488.2007, 2367.503
488.6828, 2365.510
489.1649, 2377.668
489.6470, 2394.684
490.1292, 2407.984
490.6113, 2417.916
491.0934, 2419.624
491.5755, 2406.781
492.0576, 2394.259
492.5397, 2381.260
493.0219, 2373.090
493.5040, 2380.275
493.9861, 2404.929
494.4682, 2430.902
494.9503, 2434.635
495.4324, 2414.937
495.9146, 2403.729
496.3967, 2406.825
496.8788, 2410.749
497.3609, 2405.672
497.8430, 2397.224
498.3251, 2395.576
498.8073, 2405.958
499.2894, 2417.228
499.7715, 2421.300
500.2536, 2419.910
500.7357, 2416.667
501.2178, 2412.232
501.6999, 2407.949
502.1820, 2405.761
502.6642, 2405.807
503.1463, 2400.971
503.6284, 2379.532
504.1105, 2367.662
504.5926, 2380.700
505.0747, 2404.021
505.5569, 2419.388
506.0390, 2421.846
506.5211, 2420.043
507.0032, 2425.720
507.4853, 2439.196
507.9674, 2442.142
508.4496, 2427.729
508.9317, 2413.916
509.4138, 2409.567
509.8959, 2410.190
510.3780, 2409.793
510.8601, 2406.644
511.3423, 2404.375
511.8244, 2407.385
512.3065, 2412.738
512.7886, 2413.262
513.2708, 2407.780
513.7529, 2402.489
514.2350, 2403.245
514.7171, 2409.030
515.1992, 2408.582
515.6813, 2390.966
516.1635, 2381.786
516.6456, 2394.623
517.1277, 2412.879
517.6098, 2419.152
518.0919, 2411.367
518.5740, 2399.788
519.0562, 2393.617
519.5383, 2392.118
520.0204, 2389.638
520.5025, 2385.574
520.9846, 2381.961
521.4667, 2379.145
521.9489, 2377.403
522.4310, 2378.184
522.9131, 2382.056
523.3952, 2383.073
523.8773, 2374.765
524.3594, 2363.521
524.8416, 2359.364
525.3237, 2362.312
525.8058, 2364.287
526.2879, 2359.773
526.7700, 2352.059
527.2521, 2351.595
527.7343, 2366.387
528.2164, 2377.172
528.6985, 2383.450
529.1806, 2386.256
529.6627, 2385.379
530.1448, 2381.571
530.6270, 2376.290
531.1091, 2369.877
531.5912, 2363.619
532.0733, 2360.650
532.5554, 2361.338
533.0375, 2362.776
533.5197, 2364.250
534.0018, 2366.296
534.4839, 2371.437
534.9660, 2378.851
535.4481, 2380.382
535.9302, 2372.531
536.4124, 2359.218
536.8945, 2336.977
537.3766, 2311.796
537.8587, 2301.039
538.3408, 2311.573
538.8229, 2329.192
539.3051, 2331.674
539.7872, 2312.795
540.2693, 2305.493
540.7514, 2326.600
541.2335, 2340.937
541.7156, 2333.477
542.1978, 2313.683
542.6799, 2294.715
543.1620, 2280.723
543.6441, 2271.616
544.1262, 2269.756
544.6083, 2273.333
545.0905, 2271.625
545.5726, 2261.313
546.0547, 2255.448
546.5368, 2267.114
547.0189, 2290.335
547.5010, 2299.442
547.9832, 2283.213
548.4653, 2270.113
548.9474, 2272.526
549.4295, 2278.938
549.9116, 2275.080
550.3937, 2261.282
550.8758, 2250.451
551.3579, 2254.074
551.8400, 2267.721
552.3221, 2270.383
552.8043, 2256.718
553.2864, 2244.685
553.7685, 2240.096
554.2506, 2237.128
554.7327, 2230.554
555.2148, 2221.029
555.6970, 2215.259
556.1791, 2221.056
556.6612, 2228.876
557.1433, 2224.314
557.6254, 2210.974
558.1075, 2208.640
558.5897, 2226.939
559.0718, 2247.675
559.5539, 2241.585
560.0360, 2196.399
560.5181, 2174.528
561.0002, 2192.321
561.4824, 2211.995
561.9645, 2223.482
562.4466, 2226.541
562.9287, 2219.716
563.4108, 2202.770
563.8929, 2184.961
564.3751, 2178.285
564.8572, 2180.921
565.3393, 2180.139
565.8214, 2174.373
566.3035, 2167.810
566.7856, 2161.989
567.2678, 2157.473
567.7499, 2155.070
568.2320, 2154.028
568.7141, 2156.740
569.1962, 2171.768
569.6783, 2185.431
570.1605, 2180.692
570.6426, 2160.609
571.1247, 2142.509
571.6068, 2137.480
572.0889, 2142.952
572.5710, 2154.115
573.0532, 2176.798
573.5353, 2186.966
574.0174, 2172.557
574.4995, 2153.201
574.9816, 2137.900
575.4637, 2127.151
575.9459, 2121.154
576.4280, 2121.921
576.9101, 2124.912
577.3922, 2126.365
577.8743, 2127.055
578.3564, 2130.250
578.8386, 2136.772
579.3207, 2140.494
579.8028, 2134.307
580.2849, 2118.437
580.7670, 2108.096
581.2491, 2101.968
581.7313, 2103.644
582.2134, 2122.603
582.6955, 2143.713
583.1776, 2152.677
583.6597, 2148.441
584.1418, 2140.662
584.6240, 2136.915
585.1061, 2134.145
585.5882, 2122.689
586.0703, 2102.748
586.5524, 2092.785
587.0345, 2102.848
587.5167, 2119.797
587.9988, 2125.404
588.4809, 2117.685
588.9630, 2107.527
589.4451, 2090.212
589.9272, 2075.754
590.4094, 2070.033
590.8915, 2069.771
591.3736, 2069.998
591.8557, 2069.013
592.3378, 2067.582
592.8199, 2065.414
593.3021, 2062.881
593.7842, 2067.101
594.2663, 2082.428
594.7484, 2091.490
595.2305, 2082.997
595.7126, 2064.984
596.1948, 2050.125
596.6769, 2038.088
597.1590, 2031.493
597.6411, 2032.035
598.1232, 2037.528
598.6053, 2050.179
599.0875, 2066.223
599.5696, 2075.677
600.0517, 2073.636
600.5338, 2065.458
601.0159, 2060.397
601.4980, 2058.950
601.9802, 2058.038
602.4623, 2056.113
602.9444, 2056.892
603.4265, 2068.275
603.9086, 2081.462
604.3907, 2079.814
604.8729, 2055.152
605.3550, 2034.098
605.8371, 2035.393
606.3192, 2047.333
606.8013, 2055.766
607.2834, 2058.687
607.7656, 2055.195
608.2477, 2043.850
608.7298, 2028.752
609.2119, 2021.516
609.6940, 2026.261
610.1761, 2029.438
610.6583, 2030.484
611.1404, 2029.900
611.6225, 2027.580
612.1046, 2023.801
612.5867, 2018.861
613.0688, 2012.394
613.5510, 2006.114
614.0331, 1997.673
614.5152, 1991.235
614.9973, 2000.303
615.4794, 2025.960
615.9615, 2048.679
616.4437, 2054.116
616.9258, 2045.707
617.4079, 2037.333
617.8900, 2029.396
618.3721, 2020.778
618.8542, 2006.738
619.3364, 1996.302
619.8185, 1998.304
620.3006, 2008.236
620.7827, 2014.198
621.2648, 2009.821
621.7469, 2002.173
622.2291, 1998.694
622.7112, 1998.636
623.1933, 1999.256
623.6754, 2000.055
624.1575, 2002.585
624.6396, 2009.548
625.1218, 2018.952
625.6039, 2019.427
626.0860, 1999.596
626.5681, 1986.205
627.0502, 1982.541
627.5323, 1983.940
628.0145, 1989.140
628.4966, 1996.578
628.9787, 2003.526
629.4608, 2009.117
629.9429, 2012.333
630.4250, 2011.218
630.9072, 2006.328
631.3893, 1999.499
631.8714, 1990.268
632.3535, 1984.505
632.8356, 1988.701
633.3177, 2000.440
633.7999, 2003.973
634.2820, 1990.634
634.7641, 1981.516
635.2462, 1980.406
635.7283, 1982.507
636.2104, 1986.450
636.6926, 1990.468
637.1747, 1990.477
637.6568, 1983.009
638.1389, 1974.132
638.6210, 1975.112
639.1031, 1983.870
639.5853, 1984.353
640.0674, 1972.070
640.5495, 1960.518
641.0316, 1960.753
641.5137, 1970.628
641.9958, 1977.493
642.4780, 1983.308
642.9601, 1983.620
643.4422, 1971.527
643.9243, 1959.204
644.4064, 1956.865
644.8885, 1962.352
645.3707, 1967.321
645.8528, 1967.634
646.3349, 1964.949
646.8170, 1959.261
647.2991, 1951.846
647.7813, 1952.210
648.2634, 1963.275
648.7455, 1972.801
649.2276, 1970.769
649.7097, 1960.420
650.1918, 1955.735
650.6740, 1963.063
651.1561, 1966.472
651.6382, 1961.813
652.1203, 1955.962
652.6024, 1953.021
653.0845, 1952.733
653.5667, 1953.822
654.0488, 1956.110
654.5309, 1957.492
655.0130, 1954.467
655.4951, 1948.176
655.9772, 1943.285
656.4594, 1940.343
656.9415, 1938.633
657.4236, 1938.064
657.9057, 1938.105
658.3878, 1937.402
658.8699, 1939.988
659.3521, 1934.290
659.8342, 1904.904
660.3163, 1882.532
660.7984, 1890.981
661.2805, 1916.839
661.7626, 1934.199
662.2448, 1933.520
662.7269, 1924.960
663.2090, 1915.741
663.6911, 1906.659
664.1732, 1899.007
664.6553, 1892.993
665.1375, 1891.346
665.6196, 1896.720
666.1017, 1904.592
666.5838, 1905.193
667.0659, 1894.645
667.5480, 1887.508
668.0302, 1883.884
668.5123, 1883.297
668.9944, 1887.670
669.4765, 1894.083
669.9586, 1899.359
670.4407, 1902.735
670.9229, 1902.979
671.4050, 1896.574
671.8871, 1887.852
672.3692, 1884.882
672.8513, 1886.684
673.3334, 1884.937
673.8156, 1875.800
674.2977, 1865.789
674.7798, 1865.148
675.2619, 1875.688
675.7440, 1880.736
676.2261, 1873.916
676.7083, 1870.477
677.1904, 1878.782
677.6725, 1889.199
678.1546, 1891.883
678.6367, 1886.195
679.1188, 1879.153
679.6010, 1873.476
680.0831, 1868.386
680.5652, 1861.341
681.0473, 1854.542
681.5294, 1854.769
682.0115, 1863.397
682.4937, 1872.617
682.9758, 1874.037
683.4579, 1868.891
683.9400, 1867.343
684.4221, 1869.903
684.9042, 1875.040
685.3864, 1887.468
685.8685, 1897.469
686.3506, 1895.077
686.8327, 1882.984
687.3148, 1874.702
687.7969, 1872.868
688.2791, 1875.917
688.7612, 1889.638
689.2433, 1904.211
689.7254, 1903.777
690.2075, 1889.852
690.6896, 1880.149
691.1718, 1887.583
691.6539, 1902.792
692.1360, 1901.136
692.6181, 1880.965
693.1002, 1874.752
693.5823, 1890.965
694.0645, 1911.326
694.5466, 1924.781
695.0287, 1932.519
695.5108, 1938.995
695.9929, 1945.306
696.4750, 1948.117
696.9572, 1945.446
697.4393, 1940.439
697.9214, 1932.597
698.4035, 1924.667
698.8856, 1922.481
699.3677, 1928.442
699.8499, 1935.309
700.3320, 1933.392
700.8141, 1926.014
701.2962, 1925.246
701.7783, 1931.691
702.2604, 1936.323
702.7426, 1934.619
703.2247, 1930.299
703.7068, 1929.666
704.1889, 1934.212
704.6710, 1935.173
705.1531, 1924.807
705.6353, 1920.344
706.1174, 1933.006
706.5995, 1949.420
707.0816, 1955.680
707.5637, 1950.367
708.0458, 1941.547
708.5280, 1930.922
709.0101, 1921.131
709.4922, 1913.470
709.9743, 1909.088
710.4564, 1912.837
710.9385, 1925.248
711.4207, 1938.041
711.9028, 1944.300
712.3849, 1944.202
712.8670, 1936.599
713.3491, 1915.086
713.8312, 1906.999
714.3134, 1929.555
714.7955, 1951.487
715.2776, 1945.035
715.7597, 1920.795
716.2418, 1908.364
716.7239, 1919.356
717.2061, 1927.406
717.6882, 1918.715
718.1703, 1906.320
718.6524, 1901.196
719.1345, 1903.262
719.6166, 1909.765
720.0988, 1919.627
720.5809, 1928.586
721.0630, 1929.456
721.5451, 1923.781
722.0272, 1921.529
722.5093, 1923.590
722.9915, 1924.922
723.4736, 1922.369
723.9557, 1919.318
724.4378, 1921.762
724.9199, 1931.273
725.4020, 1939.128
725.8842, 1947.177
726.3663, 1951.438
726.8484, 1948.505
727.3305, 1942.606
727.8126, 1935.857
728.2947, 1929.750
728.7769, 1929.802
729.2590, 1943.035
729.7411, 1960.014
730.2232, 1973.888
730.7053, 1983.283
731.1874, 1982.157
731.6696, 1970.477
732.1517, 1960.023
732.6338, 1960.329
733.1159, 1968.741
733.5980, 1976.786
734.0801, 1985.210
734.5623, 1990.133
735.0444, 1989.941
735.5265, 1987.939
736.0086, 1984.098
736.4907, 1980.403
736.9728, 1981.899
737.4550, 1991.933
737.9371, 1998.728
738.4192, 1996.115
738.9013, 1992.654
739.3834, 1994.572
739.8655, 1999.843
740.3477, 2003.702
740.8298, 2004.740
741.3119, 2006.177
741.7940, 2013.020
742.2761, 2022.017
742.7582, 2024.083
743.2404, 2019.842
743.7225, 2017.011
744.2046, 2018.241
744.6867, 2020.628
745.1688, 2021.564
745.6509, 2020.896
746.1331, 2015.010
746.6152, 1997.427
747.0973, 1985.884
