##NAMES=Lemoynite
##RRUFFID=R080106
##IDEAL CHEMISTRY=Na_2_CaZr^4+^_2_Si_10_O_26_&#183;5-6H_2_O
##LOCALITY=Mont Saint-Hilaire, Quebec, Canada
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Aggregates of cream-white, sub-parallel prismatic crystals
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080106
457.3158, 535.7438
457.7979, 533.7117
458.2801, 531.9594
458.7622, 530.4870
459.2443, 529.2272
459.7264, 528.5630
460.2085, 527.9425
460.6906, 526.4249
461.1728, 523.6349
461.6549, 521.1425
462.1370, 520.3066
462.6191, 520.4749
463.1012, 520.7166
463.5833, 520.7152
464.0655, 520.6813
464.5476, 520.6687
465.0297, 520.6834
465.5118, 520.7827
465.9939, 521.0061
466.4760, 521.2872
466.9582, 521.5813
467.4403, 521.8256
467.9224, 522.1840
468.4045, 522.6946
468.8866, 523.2981
469.3687, 523.9435
469.8509, 524.7369
470.3330, 525.3502
470.8151, 525.5962
471.2972, 525.5477
471.7793, 525.9822
472.2614, 527.0421
472.7436, 528.2246
473.2257, 529.2568
473.7078, 530.1449
474.1899, 530.6509
474.6720, 530.6425
475.1541, 530.5710
475.6363, 531.1052
476.1184, 532.1878
476.6005, 533.4811
477.0826, 535.0819
477.5647, 536.6682
478.0468, 537.7177
478.5290, 538.2567
479.0111, 538.5242
479.4932, 538.0347
479.9753, 537.6497
480.4574, 538.6625
480.9395, 541.8120
481.4217, 544.6790
481.9038, 545.1794
482.3859, 544.5501
482.8680, 544.5976
483.3501, 546.3713
483.8322, 548.4726
484.3144, 550.7833
484.7965, 553.1838
485.2786, 554.6301
485.7607, 554.0798
486.2428, 553.2005
486.7249, 552.8333
487.2071, 553.3110
487.6892, 553.5912
488.1713, 553.6196
488.6534, 553.4965
489.1355, 553.3912
489.6176, 553.3849
490.0998, 553.1821
490.5819, 552.6830
491.0640, 551.9445
491.5461, 551.1970
492.0282, 550.4285
492.5103, 549.7716
492.9925, 549.4376
493.4746, 549.3331
493.9567, 548.8480
494.4388, 547.8165
494.9209, 546.9937
495.4030, 547.4026
495.8852, 548.6852
496.3673, 549.9814
496.8494, 551.1224
497.3315, 551.9570
497.8136, 552.0701
498.2957, 551.6534
498.7779, 551.5156
499.2600, 552.2707
499.7421, 553.3210
500.2242, 554.3132
500.7063, 555.2537
501.1884, 555.9611
501.6706, 555.9753
502.1527, 555.9191
502.6348, 556.4239
503.1169, 558.0029
503.5990, 559.6556
504.0811, 561.3389
504.5633, 563.0167
505.0454, 564.5591
505.5275, 565.7875
506.0096, 567.1448
506.4917, 568.8082
506.9738, 570.8080
507.4560, 572.8072
507.9381, 574.6692
508.4202, 576.8874
508.9023, 580.4951
509.3844, 585.3470
509.8665, 588.7391
510.3487, 589.7737
510.8308, 589.8642
511.3129, 591.1944
511.7950, 593.6362
512.2772, 596.5807
512.7593, 599.8265
513.2414, 603.3331
513.7235, 607.2070
514.2056, 611.4271
