##NAMES=Minasragrite
##RRUFFID=R130365
##IDEAL CHEMISTRY=V^4+^O(S^6+^O_4_)&#183;5H_2_O
##LOCALITY=Minas Ragra mine, Pasco, Peru
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Glassy blue crystals on patronite, associated with R130366 retgersite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130365
2.941706e+002, 7.567149e+001
2.946527e+002, 7.576828e+001
2.951348e+002, 7.581249e+001
2.956169e+002, 7.580446e+001
2.960990e+002, 7.570715e+001
2.965811e+002, 7.558440e+001
2.970633e+002, 7.546911e+001
2.975454e+002, 7.536732e+001
2.980275e+002, 7.529773e+001
2.985096e+002, 7.526083e+001
2.989917e+002, 7.527464e+001
2.994738e+002, 7.538786e+001
2.999560e+002, 7.574792e+001
3.004381e+002, 7.607092e+001
3.009202e+002, 7.621761e+001
3.014023e+002, 7.619228e+001
3.018844e+002, 7.598830e+001
3.023665e+002, 7.550035e+001
3.028487e+002, 7.490803e+001
3.033308e+002, 7.473940e+001
3.038129e+002, 7.520731e+001
3.042950e+002, 7.570100e+001
3.047771e+002, 7.596976e+001
3.052592e+002, 7.605849e+001
3.057414e+002, 7.604895e+001
3.062235e+002, 7.592444e+001
3.067056e+002, 7.580381e+001
3.071877e+002, 7.596477e+001
3.076698e+002, 7.648267e+001
3.081519e+002, 7.691920e+001
3.086341e+002, 7.712794e+001
3.091162e+002, 7.716518e+001
3.095983e+002, 7.708847e+001
3.100804e+002, 7.688987e+001
3.105625e+002, 7.667870e+001
3.110446e+002, 7.662714e+001
3.115268e+002, 7.673988e+001
3.120089e+002, 7.680671e+001
3.124910e+002, 7.672118e+001
3.129731e+002, 7.659849e+001
3.134552e+002, 7.656855e+001
3.139373e+002, 7.665025e+001
3.144195e+002, 7.681681e+001
3.149016e+002, 7.711395e+001
3.153837e+002, 7.751678e+001
3.158658e+002, 7.770129e+001
3.163479e+002, 7.743266e+001
3.168300e+002, 7.708339e+001
3.173121e+002, 7.694352e+001
3.177943e+002, 7.701917e+001
3.182764e+002, 7.721632e+001
3.187585e+002, 7.753025e+001
3.192406e+002, 7.790978e+001
3.197227e+002, 7.813599e+001
3.202048e+002, 7.811343e+001
3.206870e+002, 7.804033e+001
3.211691e+002, 7.805185e+001
3.216512e+002, 7.811069e+001
3.221333e+002, 7.805615e+001
3.226154e+002, 7.776149e+001
3.230975e+002, 7.737182e+001
3.235797e+002, 7.727569e+001
3.240618e+002, 7.758171e+001
3.245439e+002, 7.788335e+001
3.250260e+002, 7.809196e+001
3.255081e+002, 7.819211e+001
3.259902e+002, 7.809786e+001
3.264724e+002, 7.773644e+001
3.269545e+002, 7.734386e+001
3.274366e+002, 7.735643e+001
3.279187e+002, 7.785886e+001
3.284008e+002, 7.819148e+001
3.288829e+002, 7.805209e+001
3.293651e+002, 7.776297e+001
3.298472e+002, 7.770847e+001
3.303293e+002, 7.795468e+001
3.308114e+002, 7.831634e+001
3.312935e+002, 7.864701e+001
3.317756e+002, 7.894172e+001
3.322578e+002, 7.911403e+001
3.327399e+002, 7.905997e+001
3.332220e+002, 7.895784e+001
3.337041e+002, 7.894350e+001
3.341862e+002, 7.901295e+001
3.346683e+002, 7.907775e+001
3.351505e+002, 7.907857e+001
3.356326e+002, 7.902031e+001
3.361147e+002, 7.895489e+001
3.365968e+002, 7.877930e+001
3.370789e+002, 7.870234e+001
3.375610e+002, 7.891284e+001
3.380432e+002, 7.929301e+001
3.385253e+002, 7.954637e+001
3.390074e+002, 7.951971e+001
