##NAMES=Salammoniac
##RRUFFID=R061022
##IDEAL CHEMISTRY=N^3-^H_4_Cl
##LOCALITY=Schoeller mine, Kladno, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=A crust of colorless tabular crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R061022
##MEASURED CHEMISTRY=NH_4_Cl_1.00_ ; N, H not measured but estimated by stoichiometry
307.3458, 94.67001
307.8279, 94.18091
308.3101, 92.89755
308.7922, 91.69678
309.2743, 90.91306
309.7564, 90.41669
310.2385, 89.98093
310.7206, 89.52951
311.2028, 89.13318
311.6849, 88.91492
312.1670, 88.88275
312.6491, 88.68219
313.1312, 88.10913
313.6133, 87.39105
314.0955, 86.72974
314.5776, 86.13977
315.0597, 85.79742
315.5418, 86.08032
316.0239, 86.95575
316.5060, 87.23306
316.9882, 86.37369
317.4703, 85.18887
317.9524, 84.23709
318.4345, 83.57126
318.9166, 83.19968
319.3987, 83.22375
319.8809, 83.56107
320.3630, 83.69916
320.8451, 83.43323
321.3272, 83.15521
321.8093, 83.26559
322.2914, 83.59903
322.7736, 83.46710
323.2557, 82.37854
323.7378, 80.80130
324.2199, 79.99463
324.7020, 80.29633
325.1841, 80.56552
325.6663, 80.37708
326.1484, 79.88428
326.6305, 79.35370
327.1126, 78.85312
327.5947, 78.40533
328.0768, 78.02838
328.5590, 77.69528
329.0411, 77.48843
329.5232, 77.71698
330.0053, 77.94904
330.4874, 77.49777
330.9695, 76.23645
331.4517, 74.96793
331.9338, 74.58768
332.4159, 75.20102
332.8980, 75.52069
333.3801, 75.14465
333.8622, 74.73904
334.3444, 74.99878
334.8265, 75.82184
335.3086, 76.30963
335.7907, 75.72321
336.2729, 74.24298
336.7550, 73.33923
337.2371, 73.55408
337.7192, 73.70041
338.2013, 73.14825
338.6834, 72.13239
339.1656, 71.20068
339.6477, 70.60376
340.1298, 70.28156
340.6119, 70.13672
341.0940, 70.52124
341.5761, 70.44830
342.0583, 69.43146
342.5404, 68.00476
343.0225, 66.78656
343.5046, 65.93607
343.9867, 65.33646
344.4688, 64.87015
344.9510, 64.62790
345.4331, 64.30319
345.9152, 64.13373
346.3973, 63.68857
346.8794, 62.29184
347.3615, 60.09320
347.8437, 58.28052
348.3258, 57.96796
348.8079, 59.26825
