##NAMES=Piemontite
##RRUFFID=R060905
##IDEAL CHEMISTRY=Ca_2_Mn^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Praborna mine, Aosta Valley, St. Marcel, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Elongated purple single crystals associated with albite and romeite, R060323
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060905
##MEASURED CHEMISTRY=(Ca_1.82_Mn^2+^_0.12_)_Σ=2_(Al_1.95_Mn^3+^_0.97_Fe^3+^_0.08_)_Σ=3_[Si_2.00_O_7_][Si_1.00_O_4_]O(OH) ; = lighter phase, and the darker phase is albite.
240.1281, 3535.316
240.6103, 3538.659
241.0924, 3529.407
241.5745, 3511.610
242.0566, 3495.862
242.5387, 3484.885
243.0208, 3474.075
243.5030, 3459.320
243.9851, 3441.181
244.4672, 3423.372
244.9493, 3406.699
245.4314, 3392.480
245.9135, 3383.360
246.3957, 3383.769
246.8778, 3381.888
247.3599, 3367.835
247.8420, 3345.492
248.3241, 3328.199
248.8062, 3321.694
249.2884, 3322.098
249.7705, 3322.212
250.2526, 3323.946
250.7347, 3321.027
251.2168, 3304.289
251.6989, 3282.194
252.1811, 3273.089
252.6632, 3284.802
253.1453, 3303.752
253.6274, 3306.241
254.1095, 3287.578
254.5916, 3272.481
255.0738, 3270.867
255.5559, 3273.071
256.0380, 3263.759
256.5201, 3239.258
257.0022, 3215.636
257.4843, 3214.172
257.9665, 3243.083
258.4486, 3264.700
258.9307, 3272.733
259.4128, 3276.595
259.8949, 3285.547
260.3770, 3299.907
260.8592, 3310.440
261.3413, 3305.568
261.8234, 3280.905
262.3055, 3280.523
262.7876, 3326.420
263.2697, 3374.265
263.7519, 3397.989
264.2340, 3401.002
264.7161, 3401.387
265.1982, 3411.818
265.6803, 3432.197
266.1624, 3457.563
266.6446, 3499.366
267.1267, 3533.316
267.6088, 3546.549
268.0909, 3547.164
268.5730, 3549.932
269.0551, 3563.270
269.5373, 3585.179
270.0194, 3606.776
270.5015, 3636.117
270.9836, 3655.344
271.4657, 3655.513
271.9478, 3647.390
272.4300, 3643.644
272.9121, 3649.379
273.3942, 3660.032
273.8763, 3665.982
274.3584, 3665.035
274.8405, 3662.547
275.3227, 3659.704
275.8048, 3655.121
276.2869, 3647.172
276.7690, 3635.703
277.2511, 3622.456
277.7332, 3608.849
278.2154, 3593.271
278.6975, 3582.817
279.1796, 3578.279
279.6617, 3578.182
280.1438, 3583.359
280.6259, 3592.965
281.1081, 3604.118
281.5902, 3615.381
282.0723, 3626.868
282.5544, 3633.956
283.0365, 3633.873
283.5186, 3632.088
284.0008, 3628.006
284.4829, 3623.982
284.9650, 3625.636
285.4471, 3641.474
285.9292, 3664.071
286.4113, 3667.187
286.8935, 3644.772
287.3756, 3615.057
287.8577, 3576.053
288.3398, 3537.810
288.8219, 3516.497
289.3040, 3524.771
289.7862, 3540.893
290.2683, 3531.851
290.7504, 3494.090
291.2325, 3457.930
291.7146, 3434.662
292.1967, 3419.403
292.6789, 3407.119
293.1610, 3398.065
293.6431, 3389.686
294.1252, 3379.629
294.6073, 3368.347
295.0894, 3357.891
295.5716, 3347.262
296.0537, 3339.935
296.5358, 3343.803
297.0179, 3360.324
297.5000, 3367.911
297.9821, 3347.873
298.4643, 3315.724
298.9464, 3299.863
299.4285, 3306.894
299.9106, 3319.648
300.3927, 3320.462
300.8748, 3309.154
301.3570, 3300.145
301.8391, 3292.833
302.3212, 3289.786
302.8033, 3295.786
303.2854, 3309.873
303.7675, 3322.799
304.2497, 3327.171
304.7318, 3323.987
305.2139, 3327.024
305.6960, 3347.330
306.1781, 3361.419
306.6602, 3358.521
307.1424, 3342.891
307.6245, 3321.281
308.1066, 3295.969
308.5887, 3271.154
309.0708, 3259.696
309.5529, 3283.705
310.0351, 3294.176
310.5172, 3275.434
310.9993, 3248.940
311.4814, 3237.526
311.9635, 3247.038
312.4456, 3264.609
312.9278, 3271.928
313.4099, 3267.123
313.8920, 3255.999
314.3741, 3229.231
314.8562, 3205.007
315.3383, 3194.590
315.8205, 3196.966
316.3026, 3203.740
316.7847, 3209.079
317.2668, 3212.955
317.7489, 3209.905
318.2310, 3194.385
318.7132, 3178.022
319.1953, 3164.573
319.6774, 3152.854
320.1595, 3139.767
320.6416, 3122.520
321.1237, 3104.828
321.6059, 3096.997
322.0880, 3103.012
322.5701, 3107.186
323.0522, 3098.008
323.5343, 3087.445
324.0164, 3088.857
324.4986, 3107.044
324.9807, 3125.938
325.4628, 3130.290
325.9449, 3120.634
326.4270, 3103.431
326.9091, 3072.704
327.3913, 3044.020
327.8734, 3036.333
328.3555, 3049.226
328.8376, 3059.162
329.3197, 3051.260
329.8018, 3035.064
330.2840, 3028.054
330.7661, 3033.387
331.2482, 3040.361
331.7303, 3039.210
332.2124, 3030.959
332.6945, 3026.662
333.1767, 3031.915
333.6588, 3037.309
334.1409, 3036.955
334.6230, 3031.196
335.1051, 3022.384
335.5872, 3011.654
336.0694, 2998.873
336.5515, 2983.075
337.0336, 2956.611
337.5157, 2937.088
337.9979, 2930.773
338.4800, 2931.695
338.9621, 2931.511
339.4442, 2927.754
339.9263, 2925.548
340.4084, 2934.253
340.8906, 2965.079
341.3727, 2979.410
341.8548, 2960.761
342.3369, 2941.821
342.8190, 2946.042
343.3011, 2969.922
343.7833, 2991.681
344.2654, 2991.541
344.7475, 2970.526
345.2296, 2957.937
345.7117, 2957.912
346.1938, 2961.896
346.6760, 2970.270
347.1581, 2980.144
347.6402, 2987.397
348.1223, 2989.920
348.6044, 2990.085
349.0865, 2991.675
349.5687, 2994.440
350.0508, 2999.888
350.5329, 3013.604
351.0150, 3026.786
351.4971, 3032.379
351.9792, 3029.458
352.4614, 3022.042
352.9435, 3007.644
353.4256, 2990.186
353.9077, 2987.393
354.3898, 3008.280
354.8719, 3029.263
355.3541, 3019.341
355.8362, 2987.511
356.3183, 2971.992
356.8004, 2999.008
357.2825, 3034.338
357.7646, 3043.738
358.2468, 3028.646
358.7289, 3010.252
359.2110, 2999.263
359.6931, 2995.175
360.1752, 2995.617
360.6573, 3001.466
361.1395, 3009.881
361.6216, 3025.641
362.1037, 3041.828
362.5858, 3047.589
363.0679, 3039.648
363.5500, 3024.788
364.0322, 3012.037
364.5143, 2996.785
364.9964, 2996.921
365.4785, 3028.674
365.9606, 3059.590
366.4427, 3070.583
366.9249, 3063.438
367.4070, 3049.769
367.8891, 3036.708
368.3712, 3025.297
368.8533, 3025.793
369.3354, 3046.690
369.8176, 3067.809
370.2997, 3085.509
370.7818, 3099.917
371.2639, 3111.614
371.7460, 3121.000
372.2281, 3126.230
372.7103, 3121.155
373.1924, 3104.206
373.6745, 3097.804
374.1566, 3115.749
374.6387, 3136.768
375.1208, 3139.741
375.6030, 3125.913
376.0851, 3118.079
376.5672, 3132.286
377.0493, 3158.543
377.5314, 3181.496
378.0135, 3200.676
378.4957, 3209.501
378.9778, 3195.879
379.4599, 3166.764
379.9420, 3158.277
380.4241, 3188.465
380.9063, 3221.610
381.3884, 3246.234
381.8705, 3260.272
382.3526, 3254.604
382.8347, 3223.598
383.3168, 3184.837
383.7990, 3172.262
384.2811, 3206.646
384.7632, 3229.896
385.2453, 3238.454
385.7274, 3238.912
386.2095, 3233.520
386.6917, 3223.966
387.1738, 3212.917
387.6559, 3201.759
388.1380, 3190.727
388.6201, 3188.571
389.1022, 3209.479
389.5844, 3221.432
390.0665, 3211.233
390.5486, 3190.238
391.0307, 3171.861
391.5128, 3160.788
391.9949, 3156.253
392.4771, 3158.894
392.9592, 3169.530
393.4413, 3178.568
393.9234, 3183.501
394.4055, 3186.745
394.8876, 3190.339
395.3698, 3194.213
395.8519, 3197.497
396.3340, 3194.912
396.8161, 3193.130
397.2982, 3208.703
397.7803, 3243.969
398.2625, 3270.248
398.7446, 3261.441
399.2267, 3228.927
399.7088, 3224.419
400.1909, 3268.036
400.6730, 3314.767
401.1552, 3354.667
401.6373, 3384.800
402.1194, 3394.798
402.6015, 3381.116
403.0836, 3364.319
403.5657, 3376.025
404.0479, 3429.440
404.5300, 3475.416
405.0121, 3513.295
405.4942, 3545.757
405.9763, 3572.041
406.4584, 3594.209
406.9406, 3615.203
407.4227, 3636.140
407.9048, 3658.831
408.3869, 3690.794
408.8690, 3734.270
409.3511, 3783.016
409.8333, 3841.916
410.3154, 3901.178
410.7975, 3952.539
411.2796, 3994.251
411.7617, 4029.117
412.2438, 4052.181
412.7260, 4067.873
413.2081, 4104.557
413.6902, 4173.799
414.1723, 4245.656
414.6544, 4288.174
415.1365, 4311.343
415.6187, 4347.373
416.1008, 4420.535
416.5829, 4493.521
417.0650, 4537.268
417.5471, 4556.496
418.0292, 4568.515
418.5114, 4580.181
418.9935, 4590.957
419.4756, 4599.304
419.9577, 4600.409
420.4398, 4608.264
420.9219, 4635.566
421.4041, 4661.066
421.8862, 4664.928
422.3683, 4648.814
422.8504, 4629.798
423.3325, 4621.619
423.8146, 4623.919
424.2968, 4632.680
424.7789, 4661.088
425.2610, 4676.788
425.7431, 4663.773
426.2252, 4639.171
426.7073, 4617.979
427.1895, 4604.148
427.6716, 4605.511
428.1537, 4639.809
428.6358, 4704.589
429.1179, 4755.797
429.6000, 4786.296
430.0822, 4802.995
430.5643, 4804.057
431.0464, 4794.440
431.5285, 4794.833
432.0106, 4813.391
432.4927, 4842.232
432.9749, 4882.099
433.4570, 4928.407
433.9391, 4961.206
434.4212, 4970.210
434.9033, 4962.304
435.3854, 4953.041
435.8676, 4945.586
436.3497, 4931.000
436.8318, 4909.995
437.3139, 4880.922
437.7960, 4837.569
438.2781, 4782.988
438.7603, 4729.481
439.2424, 4688.185
439.7245, 4657.807
440.2066, 4623.863
440.6887, 4582.486
441.1708, 4543.169
441.6530, 4503.607
442.1351, 4469.123
442.6172, 4448.944
443.0993, 4445.844
443.5814, 4443.222
444.0635, 4418.392
444.5457, 4376.066
445.0278, 4350.513
445.5099, 4348.627
445.9920, 4358.615
446.4741, 4374.314
446.9562, 4394.580
447.4384, 4415.864
447.9205, 4444.368
448.4026, 4467.693
448.8847, 4467.370
449.3668, 4454.353
449.8489, 4461.303
450.3311, 4502.850
450.8132, 4560.305
451.2953, 4600.376
451.7774, 4610.171
452.2595, 4631.663
452.7416, 4672.145
453.2238, 4716.919
453.7059, 4761.429
454.1880, 4803.242
454.6701, 4838.043
455.1522, 4860.849
455.6343, 4878.288
456.1165, 4913.807
456.5986, 4975.563
457.0807, 5034.826
457.5628, 5083.244
458.0449, 5127.039
458.5270, 5169.899
459.0092, 5212.256
459.4913, 5254.321
459.9734, 5293.083
460.4555, 5332.250
460.9376, 5380.550
461.4197, 5438.605
461.9019, 5501.908
462.3840, 5568.694
462.8661, 5637.655
463.3482, 5704.158
463.8303, 5778.278
464.3124, 5837.214
464.7946, 5863.175
465.2767, 5875.411
465.7588, 5898.497
466.2409, 5937.412
466.7230, 5979.578
467.2051, 6011.722
467.6873, 6033.556
468.1694, 6049.171
468.6515, 6044.157
469.1336, 6049.439
469.6157, 6089.101
470.0978, 6138.048
470.5800, 6162.575
471.0621, 6150.174
471.5442, 6115.616
472.0263, 6069.614
472.5084, 6013.404
472.9905, 5967.589
473.4727, 5941.600
473.9548, 5915.884
474.4369, 5874.674
474.9190, 5819.611
475.4011, 5753.167
475.8832, 5671.436
476.3654, 5582.248
476.8475, 5487.937
477.3296, 5390.122
477.8117, 5291.030
478.2938, 5191.239
478.7759, 5093.861
479.2581, 5005.678
479.7402, 4935.729
480.2223, 4849.959
480.7044, 4734.000
481.1865, 4618.793
481.6686, 4515.830
482.1508, 4426.208
482.6329, 4349.258
483.1150, 4285.472
483.5971, 4231.604
484.0792, 4181.322
484.5613, 4135.308
485.0435, 4089.646
485.5256, 4041.888
486.0077, 3995.724
486.4898, 3952.680
486.9719, 3912.950
487.4540, 3880.502
487.9362, 3858.581
488.4183, 3843.592
488.9004, 3836.331
489.3825, 3834.235
489.8646, 3823.297
490.3467, 3794.520
490.8289, 3756.714
491.3110, 3731.684
491.7931, 3735.734
492.2752, 3726.114
492.7573, 3683.820
493.2394, 3643.410
493.7216, 3633.153
494.2037, 3647.732
494.6858, 3660.651
495.1679, 3651.147
495.6500, 3630.611
496.1321, 3640.192
496.6143, 3693.359
497.0964, 3730.471
497.5785, 3722.828
498.0606, 3700.531
498.5427, 3686.724
499.0248, 3682.767
499.5070, 3688.502
499.9891, 3709.687
500.4712, 3737.439
500.9533, 3758.151
501.4355, 3772.330
501.9176, 3792.865
502.3997, 3828.787
502.8818, 3873.139
503.3639, 3905.308
503.8460, 3908.140
504.3282, 3923.546
504.8103, 3959.942
505.2924, 4003.475
505.7745, 4049.520
506.2566, 4093.953
506.7387, 4127.186
507.2209, 4139.074
507.7030, 4137.889
508.1851, 4153.388
508.6672, 4189.513
509.1493, 4230.201
509.6314, 4280.240
510.1136, 4325.845
510.5957, 4350.697
511.0778, 4353.890
511.5599, 4358.013
512.0420, 4370.040
512.5241, 4390.276
513.0062, 4421.724
513.4883, 4463.064
513.9705, 4505.299
514.4526, 4542.354
514.9347, 4578.003
515.4168, 4623.159
515.8989, 4696.258
516.3810, 4750.557
516.8632, 4765.954
517.3453, 4778.962
517.8274, 4813.530
518.3095, 4868.866
518.7916, 4933.880
519.2737, 5003.021
519.7559, 5073.142
520.2380, 5139.048
520.7201, 5202.439
521.2022, 5249.913
521.6843, 5269.367
522.1664, 5277.991
522.6486, 5298.239
523.1307, 5330.058
523.6128, 5347.968
524.0949, 5339.729
524.5770, 5317.168
525.0591, 5293.532
525.5413, 5265.985
526.0234, 5219.903
526.5055, 5146.399
526.9876, 5057.925
527.4697, 4981.013
527.9518, 4929.922
528.4340, 4860.540
528.9161, 4764.727
529.3982, 4660.258
529.8803, 4547.362
530.3624, 4433.267
530.8445, 4334.278
531.3267, 4260.850
531.8088, 4198.388
532.2909, 4118.393
532.7730, 4022.015
533.2551, 3947.526
533.7372, 3911.115
534.2194, 3885.604
534.7015, 3840.073
535.1836, 3776.150
535.6657, 3723.332
536.1478, 3681.626
536.6299, 3654.635
537.1121, 3653.610
537.5942, 3666.870
538.0763, 3672.849
538.5584, 3664.213
539.0405, 3650.575
539.5226, 3644.917
540.0048, 3647.762
540.4869, 3655.648
540.9690, 3675.640
541.4511, 3691.762
541.9332, 3690.283
542.4153, 3684.140
542.8975, 3693.718
543.3796, 3726.854
543.8617, 3766.459
544.3438, 3799.429
544.8259, 3828.437
545.3080, 3857.120
545.7902, 3885.341
546.2723, 3927.644
546.7544, 3999.192
547.2365, 4096.304
547.7186, 4179.866
548.2007, 4235.368
548.6829, 4298.052
549.1650, 4365.593
549.6471, 4447.640
550.1292, 4554.826
550.6113, 4687.321
551.0934, 4835.773
551.5756, 4998.443
552.0577, 5169.090
552.5398, 5325.703
553.0219, 5463.914
553.5040, 5601.472
553.9861, 5737.976
554.4683, 5883.077
554.9504, 6054.988
555.4325, 6257.896
555.9146, 6444.932
556.3967, 6595.244
556.8788, 6728.479
557.3610, 6870.957
557.8431, 7013.794
558.3252, 7127.101
558.8073, 7196.182
559.2894, 7225.436
559.7715, 7223.617
560.2537, 7190.232
560.7358, 7126.742
561.2179, 7019.409
561.7000, 6893.384
562.1821, 6750.238
562.6642, 6596.462
563.1464, 6444.846
563.6285, 6304.688
564.1106, 6159.173
564.5927, 5977.093
565.0748, 5773.970
565.5569, 5610.924
566.0391, 5502.238
566.5212, 5414.342
567.0033, 5313.708
567.4854, 5200.988
567.9675, 5128.198
568.4496, 5123.928
568.9318, 5118.027
569.4139, 5081.355
569.8960, 5044.370
570.3781, 5040.571
570.8602, 5073.941
571.3423, 5122.989
571.8245, 5171.779
572.3066, 5220.416
572.7887, 5269.623
573.2708, 5318.507
573.7529, 5373.240
574.2350, 5440.911
574.7172, 5512.080
575.1993, 5575.272
575.6814, 5631.616
576.1635, 5675.338
576.6456, 5699.718
577.1277, 5715.648
577.6099, 5731.695
578.0920, 5746.257
578.5741, 5753.362
579.0562, 5750.151
579.5383, 5740.375
580.0204, 5732.945
580.5026, 5731.965
580.9847, 5712.236
581.4668, 5662.670
581.9489, 5607.019
582.4310, 5556.647
582.9132, 5508.712
583.3953, 5457.852
583.8774, 5399.570
584.3596, 5345.792
584.8417, 5305.625
585.3238, 5274.490
585.8059, 5247.449
586.2880, 5222.902
586.7701, 5192.905
587.2523, 5150.936
587.7344, 5098.976
588.2165, 5047.198
588.6986, 4995.128
589.1807, 4943.958
589.6628, 4896.286
590.1450, 4847.603
590.6271, 4797.851
591.1092, 4744.737
591.5913, 4679.944
592.0734, 4588.326
592.5555, 4493.704
593.0377, 4433.821
593.5198, 4402.706
594.0019, 4365.441
594.4840, 4312.275
594.9661, 4248.649
595.4482, 4178.823
595.9304, 4100.524
596.4125, 4034.410
596.8946, 3990.551
597.3767, 3944.929
597.8588, 3880.576
598.3409, 3815.902
598.8231, 3777.984
599.3052, 3770.037
599.7873, 3764.463
600.2694, 3732.171
600.7515, 3681.874
601.2336, 3646.414
601.7158, 3628.079
602.1979, 3605.188
602.6800, 3565.551
603.1621, 3519.531
603.6442, 3483.883
604.1263, 3458.637
604.6085, 3441.690
605.0906, 3442.486
605.5727, 3442.392
606.0548, 3426.910
606.5369, 3403.028
607.0190, 3385.485
607.5012, 3380.282
607.9833, 3380.105
608.4654, 3372.800
608.9475, 3358.788
609.4296, 3357.676
609.9117, 3376.184
610.3939, 3392.648
610.8760, 3392.989
611.3581, 3383.616
611.8402, 3379.216
612.3223, 3382.838
612.8044, 3384.295
613.2866, 3372.205
613.7687, 3362.983
614.2508, 3377.586
614.7329, 3409.738
615.2150, 3435.165
615.6971, 3439.880
616.1793, 3432.261
616.6614, 3425.795
617.1435, 3417.865
617.6256, 3431.919
618.1077, 3490.143
618.5898, 3541.648
619.0720, 3541.852
619.5541, 3511.471
620.0362, 3495.143
620.5183, 3497.450
621.0004, 3518.191
621.4825, 3575.239
621.9647, 3641.041
622.4468, 3675.649
622.9289, 3679.767
623.4110, 3686.662
623.8931, 3720.580
624.3752, 3773.335
624.8574, 3818.505
625.3395, 3853.780
625.8216, 3888.947
626.3037, 3920.594
626.7858, 3957.936
627.2679, 4013.314
627.7501, 4079.750
628.2322, 4133.894
628.7143, 4157.346
629.1964, 4184.302
629.6785, 4238.588
630.1606, 4308.801
630.6428, 4381.032
631.1249, 4451.155
631.6070, 4512.703
632.0891, 4558.306
632.5712, 4592.380
633.0533, 4636.509
633.5355, 4691.678
634.0176, 4754.927
634.4997, 4833.497
634.9818, 4913.069
635.4639, 4982.532
635.9460, 5043.355
636.4282, 5105.847
636.9103, 5174.216
637.3924, 5243.731
637.8745, 5315.464
638.3566, 5384.688
638.8387, 5440.330
639.3209, 5481.375
639.8030, 5522.922
640.2851, 5580.720
640.7672, 5650.483
641.2493, 5700.207
641.7314, 5725.798
642.2136, 5741.418
642.6957, 5742.806
643.1778, 5740.999
643.6599, 5748.140
644.1420, 5761.402
644.6241, 5761.934
645.1063, 5756.423
645.5884, 5723.606
646.0705, 5632.758
646.5526, 5508.460
647.0347, 5396.771
647.5168, 5308.115
647.9990, 5222.672
648.4811, 5122.926
648.9632, 5009.145
649.4453, 4885.885
649.9274, 4744.608
650.4095, 4614.401
650.8917, 4511.959
651.3738, 4415.158
651.8559, 4302.651
652.3380, 4178.032
652.8201, 4067.728
653.3022, 3983.198
653.7844, 3911.844
654.2665, 3850.996
654.7486, 3796.333
655.2307, 3743.502
655.7128, 3690.508
656.1949, 3632.656
656.6771, 3563.909
657.1592, 3487.049
657.6413, 3414.961
658.1234, 3342.603
658.6055, 3292.465
659.0876, 3286.447
659.5698, 3288.016
660.0519, 3260.243
660.5340, 3208.036
661.0161, 3165.195
661.4982, 3149.648
661.9803, 3132.846
662.4625, 3093.613
662.9446, 3047.168
663.4267, 3017.482
663.9088, 3006.689
664.3909, 2997.107
664.8730, 2972.912
665.3552, 2939.673
665.8373, 2915.853
666.3194, 2901.411
666.8015, 2899.235
667.2836, 2922.684
667.7657, 2940.774
668.2479, 2912.383
668.7300, 2847.629
669.2121, 2810.705
669.6942, 2831.139
670.1763, 2850.525
670.6584, 2851.117
671.1406, 2839.130
671.6227, 2815.208
672.1048, 2784.155
672.5869, 2760.851
673.0690, 2757.657
673.5511, 2765.042
674.0333, 2758.993
674.5154, 2739.635
674.9975, 2739.483
675.4796, 2773.258
675.9617, 2803.383
676.4438, 2794.413
676.9260, 2752.318
677.4081, 2726.076
677.8902, 2719.808
678.3723, 2722.195
678.8544, 2741.862
679.3365, 2761.393
679.8187, 2766.994
680.3008, 2759.849
680.7829, 2748.218
681.2650, 2736.160
681.7471, 2722.364
682.2292, 2699.830
682.7114, 2673.282
683.1935, 2666.325
683.6756, 2683.731
684.1577, 2700.460
684.6398, 2698.010
685.1219, 2682.361
685.6041, 2675.749
686.0862, 2685.939
686.5683, 2692.232
687.0504, 2698.719
687.5325, 2697.426
688.0146, 2677.755
688.4968, 2648.591
688.9789, 2626.096
689.4610, 2614.610
689.9431, 2613.928
690.4252, 2635.188
690.9073, 2662.391
691.3895, 2663.487
691.8716, 2639.971
692.3537, 2619.413
692.8358, 2616.642
693.3179, 2624.312
693.8000, 2627.626
694.2822, 2624.204
694.7643, 2626.790
695.2464, 2643.984
695.7285, 2654.854
696.2106, 2645.758
696.6927, 2627.702
697.1749, 2615.989
697.6570, 2613.589
698.1391, 2606.913
698.6212, 2580.620
699.1033, 2556.706
699.5854, 2556.482
700.0676, 2573.261
700.5497, 2594.303
701.0318, 2614.124
701.5139, 2623.897
701.9960, 2607.783
702.4781, 2570.176
702.9603, 2550.980
703.4424, 2554.418
703.9245, 2556.089
704.4066, 2545.562
704.8887, 2532.095
705.3708, 2529.851
705.8530, 2540.182
706.3351, 2539.221
706.8172, 2505.725
707.2993, 2485.114
707.7814, 2505.964
708.2635, 2540.229
708.7457, 2558.104
709.2278, 2556.026
709.7099, 2546.675
710.1920, 2535.495
710.6741, 2525.802
711.1563, 2525.333
711.6384, 2531.857
712.1205, 2532.981
712.6026, 2525.506
713.0847, 2517.730
713.5668, 2517.325
714.0490, 2522.656
714.5311, 2523.559
715.0132, 2517.884
715.4953, 2511.498
715.9774, 2501.804
716.4595, 2494.437
716.9417, 2491.242
717.4238, 2492.991
717.9059, 2503.090
718.3880, 2528.820
718.8701, 2546.350
719.3522, 2532.120
719.8344, 2506.737
720.3165, 2498.293
720.7986, 2505.311
721.2807, 2509.745
721.7628, 2502.134
722.2449, 2489.717
722.7271, 2486.077
723.2092, 2491.733
723.6913, 2491.750
724.1734, 2484.480
724.6555, 2474.683
725.1376, 2460.315
725.6198, 2447.697
726.1019, 2450.200
726.5840, 2471.125
727.0661, 2487.175
727.5482, 2493.326
728.0303, 2497.396
728.5125, 2508.061
728.9946, 2516.191
729.4767, 2504.690
729.9588, 2473.087
730.4409, 2446.546
730.9230, 2446.964
731.4052, 2462.456
731.8873, 2479.028
732.3694, 2494.188
732.8515, 2492.069
733.3336, 2467.727
733.8157, 2440.623
734.2979, 2429.301
734.7800, 2431.940
735.2621, 2433.669
735.7442, 2434.550
736.2263, 2434.235
736.7084, 2427.436
737.1906, 2424.457
737.6727, 2437.323
738.1548, 2458.906
738.6369, 2469.042
739.1190, 2460.508
739.6011, 2446.609
740.0833, 2422.851
740.5654, 2404.100
741.0475, 2410.362
741.5296, 2435.417
742.0117, 2458.128
742.4938, 2468.546
742.9760, 2472.940
743.4581, 2482.950
743.9402, 2495.531
744.4223, 2487.902
