##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
517.5542, 72117.87
518.0363, 72087.19
518.5184, 72031.94
519.0005, 72021.15
519.4827, 72105.34
519.9648, 72164.30
520.4469, 72151.61
520.9290, 72070.26
521.4111, 72061.20
521.8932, 72150.84
522.3754, 72255.00
522.8575, 72306.25
523.3396, 72303.50
523.8217, 72295.83
524.3038, 72282.71
524.7859, 72278.40
525.2681, 72303.08
525.7502, 72356.13
526.2323, 72431.99
526.7144, 72573.99
527.1965, 72717.78
527.6786, 72746.46
528.1608, 72668.74
528.6429, 72587.77
529.1250, 72562.66
529.6071, 72574.86
530.0892, 72609.23
530.5714, 72670.92
531.0535, 72736.52
531.5356, 72806.78
532.0176, 72872.65
532.4998, 72918.80
532.9819, 72931.54
533.4640, 72935.72
533.9461, 72927.51
534.4282, 72907.58
534.9103, 72919.95
535.3925, 72971.41
535.8746, 73046.88
536.3567, 73144.45
536.8388, 73274.02
537.3209, 73377.62
537.8030, 73447.79
538.2852, 73497.92
538.7673, 73551.79
539.2494, 73608.69
539.7315, 73648.87
540.2136, 73652.72
540.6957, 73642.97
541.1779, 73671.66
541.6600, 73735.31
542.1421, 73803.30
542.6242, 73844.27
543.1063, 73880.59
543.5884, 73947.70
544.0706, 74062.34
544.5527, 74160.29
545.0348, 74181.53
545.5169, 74170.28
545.9990, 74185.48
546.4811, 74285.00
546.9633, 74370.24
547.4454, 74386.82
547.9275, 74348.66
548.4096, 74381.06
548.8917, 74545.79
549.3738, 74715.22
549.8560, 74828.85
550.3381, 74865.37
550.8202, 74941.87
551.3023, 75076.29
551.7844, 75221.45
552.2665, 75314.26
552.7487, 75352.66
553.2308, 75413.34
553.7129, 75522.81
554.1950, 75653.65
554.6771, 75757.05
555.1592, 75833.51
555.6414, 75884.37
556.1235, 75884.53
556.6056, 75872.15
557.0877, 75888.88
557.5698, 75937.09
558.0519, 76024.55
558.5341, 76199.09
559.0162, 76397.63
559.4983, 76551.24
559.9804, 76641.70
560.4625, 76692.02
560.9446, 76688.30
561.4268, 76648.28
561.9089, 76615.20
562.3910, 76569.77
562.8731, 76558.66
563.3552, 76610.19
563.8373, 76725.05
564.3195, 76788.03
564.8016, 76783.85
565.2837, 76759.75
565.7658, 76752.62
566.2479, 76762.67
566.7300, 76760.98
