##NAMES=Miersite
##RRUFFID=R110170
##IDEAL CHEMISTRY=Ag^1+^I^1-^
##LOCALITY=Proprietary mine, Broken Hill, Australia
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Pale yellow tetrahedra, associated with hexagonal plates of iodargyrite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110170
3.445677e+002, 2.650062e+001
3.450498e+002, 2.618242e+001
3.455319e+002, 2.546682e+001
3.460140e+002, 2.462872e+001
3.464961e+002, 2.422542e+001
3.469782e+002, 2.424387e+001
3.474604e+002, 2.434041e+001
3.479425e+002, 2.427848e+001
3.484246e+002, 2.413086e+001
3.489067e+002, 2.418424e+001
3.493888e+002, 2.447356e+001
3.498709e+002, 2.486449e+001
3.503531e+002, 2.533042e+001
3.508352e+002, 2.579845e+001
3.513173e+002, 2.599739e+001
3.517994e+002, 2.550752e+001
3.522815e+002, 2.477776e+001
3.527636e+002, 2.465263e+001
3.532458e+002, 2.513149e+001
3.537279e+002, 2.563300e+001
3.542100e+002, 2.561277e+001
3.546921e+002, 2.528738e+001
3.551742e+002, 2.504112e+001
3.556563e+002, 2.509369e+001
3.561385e+002, 2.516182e+001
3.566206e+002, 2.482144e+001
3.571027e+002, 2.418645e+001
3.575848e+002, 2.382936e+001
3.580669e+002, 2.447127e+001
3.585490e+002, 2.536009e+001
3.590312e+002, 2.571350e+001
3.595133e+002, 2.513065e+001
3.599954e+002, 2.457174e+001
3.604775e+002, 2.459894e+001
3.609596e+002, 2.505451e+001
3.614417e+002, 2.559992e+001
3.619239e+002, 2.641751e+001
3.624060e+002, 2.704712e+001
3.628881e+002, 2.714992e+001
3.633702e+002, 2.658605e+001
3.638523e+002, 2.606813e+001
3.643344e+002, 2.582245e+001
3.648166e+002, 2.574631e+001
3.652987e+002, 2.572243e+001
3.657808e+002, 2.579730e+001
3.662629e+002, 2.584892e+001
3.667450e+002, 2.582509e+001
3.672271e+002, 2.572590e+001
3.677093e+002, 2.566499e+001
3.681914e+002, 2.586489e+001
3.686735e+002, 2.597536e+001
3.691556e+002, 2.575938e+001
3.696377e+002, 2.434657e+001
3.701198e+002, 2.370643e+001
3.706020e+002, 2.433279e+001
3.710841e+002, 2.584420e+001
3.715662e+002, 2.688010e+001
3.720483e+002, 2.739574e+001
3.725304e+002, 2.747494e+001
3.730125e+002, 2.703254e+001
3.734947e+002, 2.569046e+001
