##NAMES=Anthoinite
##RRUFFID=R070025
##IDEAL CHEMISTRY=AlW^6+^O_3_(OH)_3_
##LOCALITY=Kyakabingu, Bumbogo, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White, waxy flaky crystals associated with tan colored jarosite on quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070025
534.7475, 46972.68
535.2296, 47030.36
535.7117, 47063.87
536.1938, 47057.69
536.6760, 46990.30
537.1581, 46923.94
537.6402, 46879.00
538.1223, 46855.09
538.6044, 46879.97
539.0865, 46972.38
539.5687, 47061.63
540.0508, 47049.50
540.5329, 46950.82
541.0150, 46872.58
541.4971, 46850.18
541.9792, 46852.27
542.4614, 46821.32
542.9435, 46767.53
543.4256, 46737.58
543.9077, 46791.73
544.3898, 46864.63
544.8719, 46890.26
545.3541, 46857.07
545.8362, 46811.93
546.3183, 46747.42
546.8004, 46694.02
547.2825, 46684.42
547.7646, 46783.95
548.2468, 46862.64
548.7289, 46888.97
549.2110, 46872.24
549.6931, 46852.37
550.1752, 46817.70
550.6573, 46795.93
551.1395, 46808.70
551.6216, 46870.66
552.1037, 46870.63
552.5858, 46787.95
553.0679, 46689.41
553.5500, 46655.68
554.0322, 46684.96
554.5143, 46723.30
554.9964, 46769.98
555.4785, 46804.98
555.9606, 46765.64
556.4427, 46668.89
556.9249, 46607.04
557.4070, 46663.27
557.8891, 46770.19
558.3712, 46858.18
558.8533, 46919.99
559.3354, 46961.33
559.8176, 46978.52
560.2997, 46979.02
560.7818, 46970.50
561.2639, 46929.87
561.7460, 46906.84
562.2281, 46928.50
562.7103, 46978.16
563.1924, 46993.50
563.6745, 46950.61
564.1566, 46904.15
564.6387, 46871.27
565.1208, 46852.00
565.6030, 46850.68
566.0851, 46872.65
566.5672, 46902.96
567.0493, 46942.78
567.5314, 46989.63
568.0135, 46971.83
568.4957, 46847.83
568.9778, 46705.18
569.4599, 46721.02
569.9420, 46857.98
570.4241, 46955.93
570.9063, 46865.85
571.3884, 46734.02
571.8705, 46725.07
572.3526, 46845.11
572.8347, 46949.71
573.3168, 46941.01
573.7990, 46894.74
574.2811, 46874.92
574.7632, 46914.86
575.2453, 46952.23
575.7274, 46968.79
576.2095, 46978.11
576.6917, 47008.51
577.1738, 47080.80
577.6559, 47140.24
578.1380, 47175.27
578.6201, 47185.28
