##NAMES=Pumpellyite-(Mg)
##RRUFFID=R120172
##IDEAL CHEMISTRY=Ca_2_MgAl_2_(SiO_4_)(Si_2_O_7_)(OH)_2_&#183;H_2_O
##LOCALITY=Archidona, Malaga Province, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Aggregates of dark-green acicular crystals, associated with light green epidote
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120172
322.9758, 356.2545
323.4579, 355.9759
323.9400, 355.4979
324.4221, 354.6811
324.9042, 353.9959
325.3864, 353.7882
325.8685, 353.8006
326.3506, 353.4345
326.8327, 352.4109
327.3148, 351.3072
327.7969, 351.2387
328.2791, 352.4767
328.7612, 353.0233
329.2433, 351.8925
329.7254, 350.1666
330.2075, 349.0817
330.6896, 348.8507
331.1718, 349.0157
331.6539, 349.1394
332.1360, 349.2196
332.6181, 349.5470
333.1002, 350.4559
333.5823, 351.3656
334.0645, 351.8920
334.5466, 352.0186
335.0287, 351.8471
335.5108, 351.3743
335.9929, 350.6548
336.4750, 350.1273
336.9572, 349.5684
337.4393, 349.3910
337.9214, 350.0139
338.4035, 351.1583
338.8856, 352.1591
339.3677, 352.7002
339.8499, 352.9282
340.3320, 353.2128
340.8141, 353.4942
341.2962, 353.9185
341.7783, 354.6250
342.2604, 355.4503
342.7426, 356.2489
343.2247, 356.9774
343.7068, 357.4952
344.1889, 357.5402
344.6710, 356.7980
345.1531, 356.5356
345.6353, 356.8011
346.1174, 357.5239
346.5995, 358.9462
347.0816, 360.9292
347.5637, 362.7545
348.0458, 363.7586
348.5280, 363.9017
349.0101, 363.8602
349.4922, 363.3249
349.9743, 362.9472
350.4564, 363.1382
350.9385, 363.7128
351.4207, 364.2269
351.9028, 364.4188
352.3849, 364.3572
352.8670, 364.3318
353.3491, 364.5459
353.8312, 364.5468
354.3134, 363.9737
354.7955, 363.2801
355.2776, 363.0900
355.7597, 363.6056
356.2418, 364.3756
356.7239, 364.6300
357.2061, 364.0542
357.6882, 363.5640
358.1703, 362.9937
358.6524, 362.6169
359.1345, 362.7799
359.6166, 363.4069
360.0987, 364.0179
360.5808, 364.1339
361.0630, 363.6998
361.5451, 363.2804
362.0272, 362.8524
362.5093, 362.4608
362.9914, 361.9244
363.4735, 361.4501
363.9557, 361.5145
364.4378, 362.4662
364.9199, 363.9946
365.4020, 364.7543
365.8841, 364.0851
366.3662, 363.5083
366.8484, 363.0229
367.3305, 362.7999
367.8126, 363.2092
368.2947, 364.3069
368.7768, 365.4632
369.2589, 365.5317
369.7411, 363.8039
370.2232, 362.9372
370.7053, 363.8050
371.1874, 364.8360
371.6695, 365.2671
372.1516, 365.0655
372.6338, 364.5783
373.1159, 364.0123
373.5980, 363.3788
374.0801, 363.0952
374.5622, 363.5351
375.0443, 363.8717
375.5265, 363.6753
376.0086, 363.2369
376.4907, 363.0618
376.9728, 363.4636
377.4549, 364.1002
377.9370, 364.0880
378.4192, 363.0436
378.9013, 362.4477
379.3834, 363.0965
379.8655, 364.1106
380.3476, 364.8624
380.8297, 365.2257
381.3119, 365.4024
381.7940, 365.5742
382.2761, 365.7413
382.7582, 365.8461
383.2403, 365.8566
383.7224, 365.8294
384.2046, 365.7408
384.6867, 365.6346
385.1688, 365.6637
385.6509, 366.0446
386.1330, 366.5938
386.6151, 366.8566
387.0973, 366.7512
387.5794, 366.6444
388.0615, 366.7158
388.5436, 366.9240
389.0257, 367.2714
389.5078, 367.9034
389.9900, 368.4036
390.4721, 368.2725
390.9542, 367.5955
391.4363, 367.0231
391.9184, 366.6713
392.4005, 366.6508
392.8827, 367.2793
393.3648, 368.6381
393.8469, 369.5929
394.3290, 369.4870
394.8111, 368.7728
395.2932, 368.0033
395.7754, 367.2098
396.2575, 366.8396
396.7396, 367.5385
397.2217, 369.1808
397.7038, 370.1740
398.1859, 369.8645
398.6681, 369.4122
399.1501, 369.5913
399.6323, 370.2845
400.1144, 371.0421
400.5965, 371.6851
401.0786, 372.1720
401.5607, 372.3211
402.0428, 371.7843
402.5250, 371.5647
403.0071, 371.9940
403.4892, 372.7557
403.9713, 373.5203
404.4534, 374.2014
404.9355, 374.8650
405.4177, 375.6229
405.8998, 376.5591
406.3819, 377.0882
406.8640, 376.7462
407.3461, 376.4908
407.8282, 376.9038
408.3104, 377.8028
408.7925, 378.6711
409.2746, 379.2000
409.7567, 379.4323
410.2388, 379.5683
410.7209, 379.3037
411.2031, 379.3541
411.6852, 380.1617
412.1673, 381.0951
412.6494, 381.3927
413.1315, 380.9278
413.6136, 380.3973
414.0958, 380.8573
414.5779, 382.7125
415.0600, 383.9397
415.5421, 384.1494
416.0242, 384.0672
416.5063, 383.8417
416.9885, 383.5403
417.4706, 383.2195
417.9527, 382.8615
418.4348, 382.5584
418.9169, 382.6997
419.3990, 383.5892
419.8812, 384.2452
420.3633, 384.2104
420.8454, 383.9024
421.3275, 383.6538
421.8096, 383.5403
422.2917, 383.5469
422.7739, 383.7608
423.2560, 384.1594
423.7381, 384.2956
424.2202, 384.0085
424.7023, 383.5584
425.1844, 382.9649
425.6666, 382.3385
426.1487, 382.1031
426.6308, 382.7786
427.1129, 383.7916
427.5950, 384.2496
428.0771, 384.1236
428.5593, 383.9510
429.0414, 384.1497
