##NAMES=Pararealgar
##RRUFFID=R150123
##IDEAL CHEMISTRY=AsS
##LOCALITY=U.S. Borax mine, Kramer Borate deposit, Boron, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott S106210
##DESCRIPTION=Yellowish-orange granular, within a rind of realgar
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150123
1081.609, 3093.983
1083.538, 3082.805
1085.466, 3074.824
1087.395, 3074.923
1089.323, 3076.049
1091.251, 3072.940
1093.180, 3068.973
1095.108, 3066.499
1097.037, 3063.894
1098.965, 3061.049
1100.894, 3056.679
1102.822, 3047.168
1104.751, 3040.352
1106.679, 3043.659
1108.608, 3045.326
1110.536, 3039.362
1112.465, 3031.868
1114.393, 3023.679
1116.322, 3016.377
1118.250, 3008.646
1120.178, 3005.021
1122.107, 3012.650
1124.035, 3012.838
1125.964, 2995.449
1127.892, 2982.975
1129.821, 2983.255
1131.749, 2981.052
1133.678, 2971.785
1135.606, 2965.391
1137.535, 2964.364
1139.463, 2962.421
1141.392, 2958.656
1143.320, 2954.215
1145.249, 2948.958
1147.177, 2945.046
1149.105, 2943.075
1151.034, 2939.863
1152.962, 2935.165
1154.891, 2930.368
1156.819, 2925.477
1158.748, 2925.456
1160.676, 2929.764
1162.605, 2930.096
1164.533, 2926.442
1166.462, 2919.636
1168.390, 2910.700
1170.319, 2903.375
1172.247, 2897.859
1174.176, 2895.067
1176.104, 2893.876
1178.032, 2891.785
1179.961, 2889.518
1181.889, 2888.605
1183.818, 2887.784
1185.746, 2886.342
1187.675, 2883.217
1189.603, 2875.792
1191.532, 2868.452
1193.460, 2865.220
1195.389, 2861.850
1197.317, 2855.497
1199.246, 2848.373
1201.174, 2838.553
1203.103, 2835.264
1205.031, 2846.321
1206.959, 2853.115
1208.888, 2849.161
1210.816, 2843.194
1212.745, 2837.309
1214.673, 2829.387
1216.602, 2818.194
1218.530, 2811.910
1220.459, 2811.827
1222.387, 2811.549
1224.316, 2810.413
1226.244, 2806.840
1228.173, 2801.000
1230.101, 2795.907
1232.030, 2791.706
1233.958, 2790.508
1235.886, 2789.931
1237.815, 2780.581
1239.743, 2768.453
1241.672, 2765.543
1243.600, 2767.313
1245.529, 2770.356
1247.457, 2771.319
1249.386, 2765.511
1251.314, 2758.063
1253.243, 2752.334
1255.171, 2746.885
1257.100, 2738.814
1259.028, 2734.240
1260.957, 2738.709
1262.885, 2740.363
1264.813, 2733.962
1266.742, 2730.586
1268.670, 2733.335
1270.599, 2731.623
1272.527, 2723.887
1274.456, 2719.186
1276.384, 2717.969
1278.313, 2717.493
1280.241, 2717.393
1282.170, 2714.496
1284.098, 2710.419
1286.027, 2711.059
1287.955, 2713.314
1289.884, 2712.117
1291.812, 2708.728
1293.740, 2702.363
1295.669, 2697.569
1297.597, 2699.379
1299.526, 2701.063
1301.454, 2699.351
1303.383, 2695.923
1305.311, 2690.609
1307.240, 2685.670
1309.168, 2681.097
1311.097, 2679.716
1313.025, 2683.808
1314.954, 2679.471
1316.882, 2665.413
1318.811, 2660.232
1320.739, 2662.632
1322.667, 2662.167
1324.596, 2659.664
1326.524, 2656.345
1328.453, 2653.453
1330.381, 2652.822
1332.310, 2653.779
1334.238, 2657.873
1336.167, 2659.903
1338.095, 2655.268
1340.024, 2650.004
1341.952, 2645.609
1343.881, 2642.554
1345.809, 2641.865
1347.738, 2637.336
1349.666, 2627.994
