##NAMES=Scotlandite
##RRUFFID=R100043
##IDEAL CHEMISTRY=Pb^2+^S^4+^O_3_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless, elongated tabular crystals associated with aravaipaite R100032 and laurelite R100011
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100043
253.1126, 146.5399
253.5947, 144.2686
254.0768, 139.4093
254.5590, 136.3642
255.0411, 136.5162
255.5232, 138.1524
256.0053, 139.5210
256.4874, 139.8743
256.9695, 139.4424
257.4517, 138.7798
257.9338, 137.3749
258.4159, 136.3563
258.8980, 136.2992
259.3801, 136.3846
259.8622, 135.5490
260.3444, 133.4493
260.8265, 130.8914
261.3086, 129.4018
261.7907, 129.7600
262.2728, 130.0534
262.7549, 130.1747
263.2371, 130.2614
263.7192, 130.6674
264.2013, 131.4554
264.6834, 131.9552
265.1655, 131.0141
265.6476, 127.4851
266.1298, 125.3775
266.6119, 125.9140
267.0940, 127.2634
267.5761, 127.7655
268.0582, 127.0937
268.5403, 125.8962
269.0225, 124.8952
269.5046, 124.1591
269.9867, 123.3196
270.4688, 122.2397
270.9509, 121.1376
271.4330, 120.1464
271.9152, 119.2946
272.3973, 118.6379
272.8794, 118.2142
273.3615, 118.0592
273.8436, 118.2388
274.3257, 119.1053
274.8079, 120.0598
275.2900, 120.7915
275.7721, 121.2467
276.2542, 121.1184
276.7363, 119.9240
277.2184, 117.8342
277.7006, 116.4476
278.1827, 116.4487
278.6648, 116.6216
279.1469, 116.0648
279.6290, 114.8484
280.1111, 113.5749
280.5933, 112.3963
281.0754, 111.5473
281.5575, 111.5291
282.0396, 112.6629
282.5217, 114.2155
283.0038, 116.1422
283.4860, 118.2717
283.9681, 119.7736
284.4502, 120.4069
284.9323, 119.9713
285.4144, 118.0657
285.8965, 113.8126
286.3787, 110.2545
286.8608, 109.7536
287.3429, 111.4909
287.8250, 112.3504
288.3071, 110.9078
288.7892, 108.7246
289.2714, 108.2624
289.7535, 109.7361
290.2356, 110.9214
290.7177, 110.2859
291.1998, 108.5581
291.6819, 107.7763
292.1641, 108.6716
292.6462, 110.0579
293.1283, 110.6897
293.6104, 110.6507
294.0925, 110.3549
