##NAMES=Hemimorphite
##RRUFFID=R070536
##IDEAL CHEMISTRY=Zn^2+^_4_Si_2_O_7_(OH)_2_&#183;H_2_O
##LOCALITY=Potosi mine, Santa Eulalia District, Chihuahua, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless striated thin tabular crystals in fan-shaped aggregates
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070536
##MEASURED CHEMISTRY=Zn_4.00_Si_2.00_O_7_(OH)_2_·H_2_O; total H_2_O estimated by difference, (OH) by charge balance
186.9676, 6215.814
187.4497, 6186.324
187.9319, 6156.510
188.4140, 6125.444
188.8961, 6098.504
189.3782, 6072.598
189.8603, 6053.995
190.3424, 6049.150
190.8246, 6058.691
191.3067, 6073.687
191.7888, 6086.697
192.2709, 6099.145
192.7530, 6101.998
193.2351, 6080.015
193.7173, 6057.618
194.1994, 6053.932
194.6815, 6069.728
195.1636, 6081.677
195.6457, 6056.765
196.1278, 5985.448
196.6100, 5934.712
197.0921, 5937.599
197.5742, 5945.243
198.0563, 5931.622
198.5384, 5895.264
199.0205, 5854.321
199.5027, 5824.121
199.9848, 5803.841
200.4669, 5799.703
200.9490, 5826.738
201.4311, 5860.095
201.9132, 5887.608
202.3954, 5909.433
202.8775, 5935.178
203.3596, 5978.740
203.8417, 6043.538
204.3238, 6093.829
204.8059, 6097.596
205.2881, 6112.477
205.7702, 6168.655
206.2523, 6262.211
206.7344, 6366.922
207.2165, 6460.495
207.6986, 6542.410
208.1808, 6625.604
208.6629, 6711.004
209.1450, 6796.133
209.6271, 6877.337
210.1092, 6956.905
210.5913, 7040.339
211.0735, 7138.729
211.5556, 7251.791
212.0377, 7340.820
212.5198, 7394.518
213.0019, 7433.987
213.4840, 7473.980
213.9662, 7507.755
214.4483, 7518.797
214.9304, 7491.752
215.4125, 7430.046
215.8946, 7362.563
216.3767, 7283.456
216.8589, 7205.708
217.3410, 7130.578
217.8231, 7060.482
218.3052, 7000.455
218.7873, 6959.687
219.2694, 6930.811
219.7516, 6876.433
220.2337, 6776.335
220.7158, 6680.934
221.1979, 6610.265
221.6800, 6554.283
222.1621, 6497.153
222.6443, 6430.749
223.1264, 6357.826
223.6085, 6284.686
224.0906, 6207.822
224.5727, 6137.062
225.0548, 6073.355
225.5370, 6016.757
226.0191, 5968.333
226.5012, 5929.090
226.9833, 5895.724
227.4654, 5861.462
227.9475, 5826.004
228.4297, 5789.939
228.9118, 5748.760
229.3939, 5709.060
229.8760, 5678.433
230.3581, 5660.129
230.8402, 5647.689
231.3224, 5633.418
231.8045, 5618.909
232.2866, 5596.036
232.7687, 5549.673
233.2508, 5501.090
233.7329, 5469.305
234.2151, 5459.700
234.6972, 5453.029
235.1793, 5422.307
235.6614, 5363.375
236.1435, 5317.940
236.6256, 5300.349
237.1078, 5297.068
237.5899, 5304.820
238.0720, 5322.762
238.5541, 5335.982
239.0362, 5327.384
239.5183, 5297.625
240.0005, 5273.928
240.4826, 5265.665
240.9647, 5259.501
241.4468, 5244.071
241.9289, 5220.265
242.4111, 5198.971
242.8932, 5190.264
243.3753, 5191.507
243.8574, 5188.235
244.3395, 5178.297
244.8216, 5164.391
245.3038, 5145.017
245.7859, 5122.551
246.2680, 5106.482
246.7501, 5105.827
247.2322, 5114.888
247.7143, 5121.051
248.1965, 5126.883
248.6786, 5121.862
249.1607, 5084.533
249.6428, 5030.616
250.1249, 4995.616
250.6070, 5002.727
251.0892, 5031.189
251.5713, 5053.116
252.0534, 5069.820
252.5355, 5072.724
253.0176, 5040.595
253.4997, 4993.500
253.9819, 4969.877
254.4640, 4990.593
254.9461, 5023.354
255.4282, 5036.399
255.9103, 5030.192
256.3924, 5023.479
256.8745, 5024.675
257.3567, 5031.699
257.8388, 5038.851
258.3209, 5044.223
258.8030, 5052.640
259.2851, 5073.219
259.7672, 5101.413
260.2494, 5116.042
260.7315, 5103.948
261.2136, 5080.827
261.6957, 5076.319
262.1778, 5095.563
262.6599, 5113.211
263.1421, 5119.076
263.6242, 5116.551
264.1063, 5110.054
264.5884, 5099.064
265.0705, 5090.507
265.5526, 5096.918
266.0348, 5120.442
266.5169, 5140.703
266.9990, 5153.057
267.4811, 5160.753
267.9632, 5165.559
268.4453, 5167.822
268.9275, 5173.103
269.4096, 5189.545
269.8917, 5220.417
270.3738, 5236.334
270.8559, 5225.922
271.3380, 5208.827
271.8202, 5196.302
272.3023, 5189.622
272.7844, 5187.458
273.2665, 5188.500
273.7487, 5192.984
274.2308, 5205.808
274.7129, 5247.537
275.1950, 5275.276
275.6771, 5262.504
276.1592, 5222.276
276.6414, 5184.387
277.1235, 5166.134
277.6056, 5162.340
278.0877, 5150.175
278.5698, 5112.149
279.0519, 5087.149
279.5341, 5095.168
280.0162, 5113.813
280.4983, 5113.649
280.9804, 5083.324
281.4625, 5037.400
281.9446, 5005.111
282.4268, 5001.291
282.9089, 4988.183
283.3910, 4956.604
283.8731, 4922.470
284.3552, 4898.032
284.8373, 4885.316
285.3195, 4878.730
285.8016, 4871.750
286.2837, 4864.160
286.7658, 4856.954
287.2479, 4849.114
287.7300, 4842.539
288.2122, 4839.555
288.6943, 4838.903
289.1764, 4837.368
289.6585, 4833.723
290.1406, 4827.579
290.6227, 4809.283
291.1049, 4760.511
291.5870, 4721.235
292.0691, 4710.137
292.5512, 4714.580
293.0333, 4713.552
293.5154, 4694.637
293.9976, 4666.056
294.4797, 4649.994
294.9618, 4651.270
295.4439, 4654.133
295.9260, 4655.660
296.4081, 4655.628
296.8903, 4653.451
297.3724, 4648.828
297.8545, 4642.989
298.3366, 4638.251
298.8187, 4634.955
299.3008, 4627.358
299.7830, 4606.179
300.2651, 4587.259
300.7472, 4585.857
301.2293, 4602.251
301.7114, 4618.861
302.1935, 4621.812
302.6757, 4614.953
303.1578, 4613.557
303.6399, 4621.954
304.1220, 4631.172
304.6041, 4632.172
305.0862, 4627.193
305.5684, 4624.546
306.0505, 4624.747
306.5326, 4629.779
307.0147, 4644.337
307.4968, 4669.142
307.9789, 4694.427
308.4611, 4715.721
308.9432, 4732.087
309.4253, 4742.617
309.9074, 4731.983
310.3895, 4730.530
310.8716, 4762.990
311.3538, 4820.251
311.8359, 4872.745
312.3180, 4905.062
312.8001, 4928.758
313.2822, 4973.719
313.7643, 5049.751
314.2465, 5123.386
314.7286, 5183.868
315.2107, 5240.272
315.6928, 5301.674
316.1749, 5370.590
316.6570, 5447.765
317.1392, 5535.403
317.6213, 5638.845
318.1034, 5735.338
318.5855, 5812.143
319.0676, 5893.132
319.5497, 5996.495
320.0319, 6118.973
320.5140, 6240.002
320.9961, 6341.736
321.4782, 6425.130
321.9603, 6542.367
322.4424, 6705.731
322.9246, 6890.316
323.4067, 7093.939
323.8888, 7316.469
324.3709, 7562.210
324.8530, 7833.874
325.3351, 8122.311
325.8173, 8404.447
326.2994, 8672.581
326.7815, 8953.861
327.2636, 9293.063
327.7457, 9618.225
328.2278, 9882.056
328.7100, 10075.38
329.1921, 10207.70
329.6742, 10299.63
330.1563, 10354.22
330.6384, 10304.03
331.1205, 10102.29
331.6027, 9835.636
332.0848, 9539.863
332.5669, 9223.478
333.0490, 8902.888
333.5311, 8581.382
334.0132, 8263.962
334.4954, 7954.422
334.9775, 7649.331
335.4596, 7368.028
335.9417, 7123.122
336.4238, 6908.732
336.9059, 6724.167
337.3881, 6576.690
337.8702, 6446.715
338.3523, 6318.823
338.8344, 6194.910
339.3165, 6084.210
339.7986, 5992.833
340.2808, 5912.712
340.7629, 5829.163
341.2450, 5738.450
341.7271, 5660.101
342.2092, 5607.073
342.6913, 5566.119
343.1735, 5518.669
343.6556, 5462.203
344.1377, 5409.491
344.6198, 5373.446
345.1019, 5356.047
345.5840, 5339.662
346.0662, 5329.149
346.5483, 5314.940
347.0304, 5291.996
347.5125, 5261.715
347.9946, 5226.264
348.4767, 5186.256
348.9589, 5144.599
349.4410, 5111.962
349.9231, 5084.361
350.4052, 5072.789
350.8873, 5092.291
351.3694, 5119.794
351.8516, 5133.811
352.3337, 5129.223
352.8158, 5116.139
353.2979, 5105.582
353.7800, 5095.740
354.2621, 5095.997
354.7443, 5123.744
355.2264, 5146.528
355.7085, 5147.888
356.1906, 5132.803
356.6727, 5117.118
357.1548, 5112.193
357.6370, 5113.544
358.1191, 5104.504
358.6012, 5077.841
359.0833, 5059.891
359.5654, 5068.081
360.0475, 5088.966
360.5297, 5110.101
361.0118, 5130.084
361.4939, 5145.859
361.9760, 5154.402
362.4581, 5156.163
362.9402, 5152.463
363.4224, 5140.036
363.9045, 5128.005
364.3866, 5126.739
364.8687, 5135.340
365.3508, 5153.202
365.8329, 5197.922
366.3151, 5242.161
366.7972, 5242.192
367.2793, 5198.503
367.7614, 5169.581
368.2435, 5204.810
368.7256, 5297.243
369.2078, 5354.594
369.6899, 5351.078
370.1720, 5347.705
370.6541, 5366.201
371.1362, 5397.371
371.6183, 5427.128
372.1005, 5449.897
372.5826, 5465.707
373.0647, 5472.851
373.5468, 5456.821
374.0289, 5461.477
374.5110, 5504.917
374.9932, 5551.354
375.4753, 5573.595
375.9574, 5575.447
376.4395, 5582.729
376.9216, 5620.600
377.4037, 5685.301
377.8859, 5730.269
378.3680, 5733.648
378.8501, 5751.121
379.3322, 5815.757
379.8143, 5897.641
380.2964, 5955.914
380.7786, 5973.396
381.2607, 5976.927
381.7428, 6001.422
382.2249, 6047.016
382.7070, 6086.603
383.1891, 6111.116
383.6713, 6129.742
384.1534, 6145.850
384.6355, 6159.907
385.1176, 6193.215
385.5997, 6275.551
386.0818, 6373.007
386.5640, 6432.496
387.0461, 6449.739
387.5282, 6462.904
388.0103, 6497.236
388.4924, 6550.462
388.9745, 6603.689
389.4567, 6663.662
389.9388, 6716.026
390.4209, 6749.031
390.9030, 6772.542
391.3851, 6803.325
391.8672, 6847.074
392.3494, 6897.446
392.8315, 6945.137
393.3136, 6992.985
393.7957, 7029.739
394.2778, 7049.778
394.7599, 7065.727
395.2421, 7082.211
395.7242, 7100.662
396.2063, 7123.151
396.6884, 7153.096
397.1706, 7186.882
397.6527, 7205.770
398.1348, 7201.518
398.6169, 7197.173
399.0990, 7202.491
399.5811, 7208.653
400.0633, 7207.051
400.5454, 7195.477
401.0275, 7178.724
401.5096, 7162.911
401.9917, 7146.913
402.4738, 7121.924
402.9560, 7084.467
403.4381, 7040.958
403.9202, 6994.180
404.4023, 6945.128
404.8844, 6897.722
405.3665, 6857.847
405.8487, 6815.813
406.3308, 6760.125
406.8129, 6692.833
407.2950, 6627.538
407.7771, 6573.319
408.2592, 6521.586
408.7414, 6448.098
409.2235, 6328.893
409.7056, 6232.689
410.1877, 6190.034
410.6698, 6160.370
411.1519, 6106.719
411.6341, 6024.369
412.1162, 5928.293
412.5983, 5829.727
413.0804, 5728.658
413.5625, 5646.830
414.0446, 5598.775
414.5268, 5556.115
415.0089, 5522.132
415.4910, 5486.817
415.9731, 5434.536
416.4552, 5358.250
416.9373, 5274.927
417.4195, 5211.851
417.9016, 5171.758
418.3837, 5125.578
418.8658, 5062.067
419.3479, 4998.329
419.8300, 4946.731
420.3122, 4906.031
420.7943, 4868.294
421.2764, 4834.153
421.7585, 4799.172
422.2406, 4751.437
422.7227, 4691.292
423.2049, 4643.893
423.6870, 4626.476
424.1691, 4628.197
424.6512, 4619.113
425.1333, 4599.032
425.6154, 4570.765
426.0976, 4527.220
426.5797, 4479.548
427.0618, 4438.916
427.5439, 4407.887
428.0260, 4387.876
428.5081, 4382.602
428.9903, 4393.928
429.4724, 4390.867
429.9545, 4357.359
430.4366, 4327.321
430.9187, 4309.970
431.4008, 4301.027
431.8830, 4295.794
432.3651, 4292.507
432.8472, 4287.343
433.3293, 4271.276
433.8114, 4241.486
434.2935, 4221.803
434.7757, 4218.419
435.2578, 4223.446
435.7399, 4234.284
436.2220, 4249.272
436.7041, 4262.763
437.1862, 4274.722
437.6684, 4282.378
438.1505, 4275.753
438.6326, 4255.985
439.1147, 4250.359
439.5968, 4278.101
440.0789, 4321.418
440.5611, 4338.654
441.0432, 4320.962
441.5253, 4306.057
442.0074, 4300.023
442.4895, 4301.614
442.9716, 4309.792
443.4538, 4324.298
443.9359, 4345.527
444.4180, 4374.559
444.9001, 4410.953
445.3822, 4444.886
445.8643, 4469.845
446.3465, 4499.967
446.8286, 4549.470
447.3107, 4599.089
447.7928, 4625.051
448.2749, 4621.701
448.7570, 4609.740
449.2392, 4615.066
449.7213, 4637.388
450.2034, 4649.409
450.6855, 4643.576
451.1676, 4636.580
451.6497, 4643.622
452.1319, 4656.922
452.6140, 4660.034
453.0961, 4651.843
453.5782, 4627.774
454.0603, 4573.958
454.5424, 4498.860
455.0246, 4435.219
455.5067, 4394.979
455.9888, 4364.234
456.4709, 4323.168
456.9530, 4267.708
457.4352, 4215.404
457.9173, 4166.048
458.3994, 4119.616
458.8815, 4078.292
459.3636, 4039.869
459.8457, 3997.881
460.3279, 3947.253
460.8100, 3895.725
461.2921, 3866.787
461.7742, 3877.698
462.2563, 3872.578
462.7384, 3833.902
463.2206, 3787.274
463.7027, 3741.354
464.1848, 3700.312
464.6669, 3674.875
465.1490, 3683.769
465.6311, 3710.171
466.1133, 3708.881
466.5954, 3675.547
467.0775, 3649.084
467.5596, 3652.742
468.0417, 3671.359
468.5238, 3674.619
469.0060, 3658.392
469.4881, 3640.013
469.9702, 3624.015
470.4523, 3609.755
470.9344, 3594.507
471.4165, 3578.988
471.8987, 3570.751
472.3808, 3577.657
472.8629, 3597.570
473.3450, 3607.347
473.8271, 3598.121
474.3092, 3588.475
474.7914, 3578.154
475.2735, 3569.622
475.7556, 3566.296
476.2377, 3568.354
476.7198, 3570.923
477.2019, 3567.939
477.6841, 3559.985
478.1662, 3556.467
478.6483, 3561.263
479.1304, 3562.685
479.6125, 3550.110
480.0946, 3531.072
480.5768, 3515.912
481.0589, 3504.146
481.5410, 3501.043
482.0231, 3521.573
482.5052, 3551.380
482.9873, 3555.512
483.4695, 3525.886
483.9516, 3490.840
484.4337, 3478.962
484.9158, 3491.895
485.3979, 3500.888
485.8800, 3508.876
486.3622, 3510.440
486.8443, 3496.038
487.3264, 3477.239
487.8085, 3471.467
488.2906, 3483.787
488.7727, 3500.812
489.2549, 3504.483
489.7370, 3493.549
490.2191, 3482.447
490.7012, 3471.940
491.1833, 3460.692
491.6654, 3442.809
492.1476, 3424.631
492.6297, 3419.212
493.1118, 3436.148
493.5939, 3455.585
494.0760, 3462.846
494.5581, 3458.969
495.0403, 3444.289
495.5224, 3416.999
496.0045, 3390.442
496.4866, 3379.228
496.9687, 3384.944
497.4508, 3394.396
497.9330, 3413.926
498.4151, 3430.103
498.8972, 3435.745
499.3793, 3435.059
499.8614, 3435.055
500.3435, 3438.242
500.8257, 3441.230
501.3078, 3437.830
501.7899, 3426.266
502.2720, 3420.283
502.7541, 3430.601
503.2362, 3433.019
503.7184, 3404.345
504.2005, 3362.299
504.6826, 3342.772
505.1647, 3365.916
505.6468, 3396.798
506.1289, 3401.242
506.6111, 3386.838
507.0932, 3381.271
507.5753, 3392.981
508.0574, 3404.329
508.5395, 3393.650
509.0216, 3358.080
509.5038, 3343.189
509.9859, 3370.537
510.4680, 3393.292
510.9501, 3394.789
511.4322, 3380.564
511.9143, 3354.449
512.3965, 3319.183
512.8786, 3287.772
513.3607, 3281.141
513.8428, 3302.713
514.3250, 3315.190
514.8071, 3310.339
515.2892, 3308.252
515.7713, 3322.184
516.2534, 3343.788
516.7355, 3360.493
517.2177, 3370.496
517.6998, 3371.617
518.1819, 3356.044
518.6640, 3330.891
519.1461, 3312.803
519.6282, 3305.115
520.1104, 3304.323
520.5925, 3308.232
521.0746, 3316.802
521.5567, 3324.581
522.0388, 3335.332
522.5209, 3340.845
523.0031, 3334.443
523.4852, 3324.115
523.9673, 3318.358
524.4494, 3319.222
524.9315, 3323.782
525.4136, 3329.342
525.8958, 3335.926
526.3779, 3345.693
526.8600, 3363.748
527.3421, 3373.302
527.8242, 3354.811
528.3063, 3328.060
528.7885, 3320.471
529.2706, 3340.278
529.7527, 3357.368
530.2348, 3354.011
530.7169, 3340.263
531.1990, 3327.335
531.6812, 3317.569
532.1633, 3317.548
532.6454, 3334.962
533.1275, 3363.170
533.6096, 3368.628
534.0917, 3317.853
534.5739, 3291.673
535.0560, 3311.015
535.5381, 3343.291
536.0202, 3365.931
536.5023, 3377.197
536.9844, 3385.965
537.4666, 3399.134
537.9487, 3413.580
538.4308, 3418.014
538.9129, 3410.161
539.3950, 3416.910
539.8771, 3455.776
540.3593, 3504.771
540.8414, 3533.035
541.3235, 3539.818
541.8056, 3545.409
542.2877, 3547.214
542.7698, 3554.953
543.2520, 3579.361
543.7341, 3615.713
544.2162, 3651.275
544.6983, 3680.087
545.1804, 3705.750
545.6625, 3734.706
546.1447, 3766.466
546.6268, 3802.906
547.1089, 3846.593
547.5910, 3892.574
548.0731, 3938.331
548.5552, 3984.838
549.0374, 4033.726
549.5195, 4084.142
550.0016, 4139.896
550.4837, 4213.314
550.9658, 4295.773
551.4479, 4354.388
551.9301, 4380.651
552.4122, 4402.161
552.8943, 4447.963
553.3764, 4516.875
553.8585, 4552.922
554.3406, 4547.429
554.8228, 4525.494
555.3049, 4487.686
555.7870, 4438.943
556.2691, 4384.098
556.7512, 4324.070
557.2333, 4256.496
557.7155, 4176.525
558.1976, 4087.641
558.6797, 4005.592
559.1618, 3930.109
559.6439, 3863.466
560.1260, 3809.009
560.6082, 3763.134
561.0903, 3720.569
561.5724, 3681.922
562.0545, 3643.965
562.5366, 3602.296
563.0187, 3563.791
563.5009, 3535.896
563.9830, 3516.744
564.4651, 3498.310
564.9472, 3476.344
565.4293, 3453.848
565.9114, 3438.215
566.3936, 3434.460
566.8757, 3423.057
567.3578, 3391.989
567.8399, 3364.609
568.3220, 3352.261
568.8041, 3350.417
569.2863, 3350.071
569.7684, 3348.927
570.2505, 3346.140
570.7326, 3340.077
571.2147, 3331.763
571.6968, 3324.730
572.1790, 3319.869
572.6611, 3313.034
573.1432, 3299.602
573.6253, 3280.570
574.1074, 3268.368
574.5895, 3268.615
575.0717, 3267.991
575.5538, 3264.316
576.0359, 3259.238
576.5180, 3255.363
577.0001, 3252.138
577.4822, 3245.182
577.9644, 3228.417
578.4465, 3207.453
578.9286, 3199.521
579.4107, 3206.258
579.8928, 3207.585
580.3749, 3194.061
580.8571, 3176.073
581.3392, 3167.701
581.8213, 3168.814
582.3034, 3170.474
582.7855, 3177.353
583.2676, 3178.650
583.7498, 3162.917
584.2319, 3138.402
584.7140, 3118.752
585.1961, 3109.077
585.6782, 3107.868
586.1603, 3115.346
586.6425, 3132.161
587.1246, 3145.160
587.6067, 3158.445
588.0888, 3160.538
588.5709, 3134.376
589.0530, 3099.283
589.5352, 3080.113
590.0173, 3082.428
590.4994, 3086.896
590.9815, 3082.375
591.4636, 3076.447
591.9457, 3079.897
592.4279, 3091.559
592.9100, 3102.227
593.3921, 3106.890
593.8742, 3106.583
594.3563, 3103.363
594.8384, 3095.318
595.3206, 3088.890
595.8027, 3084.222
596.2848, 3081.198
596.7669, 3081.325
597.2490, 3082.816
597.7311, 3082.680
598.2133, 3080.827
598.6954, 3074.540
599.1775, 3054.503
599.6596, 3028.989
600.1417, 3021.586
600.6238, 3036.083
601.1060, 3052.911
601.5881, 3056.725
602.0702, 3050.151
602.5523, 3048.961
603.0344, 3060.665
603.5165, 3067.381
603.9987, 3067.413
604.4808, 3062.913
604.9629, 3050.829
605.4450, 3035.004
605.9271, 3027.533
606.4092, 3039.242
606.8914, 3056.741
607.3735, 3059.839
607.8556, 3050.137
608.3377, 3039.540
608.8198, 3030.448
609.3019, 3022.947
609.7841, 3016.813
610.2662, 3012.087
610.7483, 3010.929
611.2304, 3019.244
611.7125, 3023.332
612.1946, 3014.570
612.6768, 3003.548
613.1589, 3003.487
613.6410, 3014.052
614.1231, 3021.221
614.6052, 3010.091
615.0873, 2990.739
615.5695, 2993.498
616.0516, 3019.737
616.5337, 3034.394
617.0158, 3022.289
617.4979, 3002.227
617.9800, 2998.495
618.4622, 3012.648
618.9443, 3017.649
619.4264, 3005.228
619.9085, 2991.697
620.3906, 2980.416
620.8727, 2973.519
621.3549, 2976.242
621.8370, 2988.194
622.3191, 2998.573
622.8012, 2994.299
623.2833, 2979.928
623.7654, 2979.478
624.2476, 2996.922
624.7297, 3005.176
625.2118, 2989.885
625.6939, 2965.449
626.1760, 2949.324
626.6581, 2940.547
627.1403, 2944.549
627.6224, 2978.247
628.1045, 3008.382
628.5866, 3011.944
629.0687, 3001.244
629.5508, 2997.825
630.0330, 3007.706
630.5151, 3019.149
630.9972, 3018.593
631.4793, 3007.411
631.9614, 2995.901
632.4435, 2982.377
632.9257, 2974.768
633.4078, 2978.104
633.8899, 2987.563
634.3720, 2999.081
634.8541, 3014.363
635.3362, 3017.221
635.8184, 2989.830
636.3005, 2963.381
636.7826, 2961.372
637.2647, 2973.383
637.7468, 2978.207
638.2289, 2968.982
638.7111, 2956.597
639.1932, 2954.369
639.6753, 2961.553
640.1574, 2967.656
640.6395, 2971.324
641.1216, 2978.882
641.6038, 2999.241
642.0859, 3020.127
642.5680, 3021.611
643.0501, 3000.990
643.5322, 2983.431
644.0143, 2973.886
644.4965, 2969.035
644.9786, 2968.815
645.4607, 2971.200
645.9428, 2973.360
646.4249, 2974.224
646.9070, 2973.474
647.3892, 2969.966
647.8713, 2964.073
648.3534, 2958.734
648.8355, 2951.489
649.3176, 2954.439
649.7997, 2979.977
650.2819, 3012.378
650.7640, 3027.581
651.2461, 3024.024
651.7282, 3019.082
652.2103, 3007.571
652.6924, 3003.534
653.1746, 3021.368
653.6567, 3050.496
654.1388, 3074.344
654.6209, 3087.440
655.1030, 3092.387
655.5851, 3086.912
656.0673, 3074.595
656.5494, 3081.098
657.0315, 3110.377
657.5136, 3137.362
657.9957, 3149.235
658.4778, 3157.692
658.9600, 3183.391
659.4421, 3229.228
659.9242, 3262.004
660.4063, 3262.873
660.8884, 3267.827
661.3705, 3297.355
661.8527, 3340.144
662.3348, 3378.531
662.8169, 3408.833
663.2990, 3441.291
663.7811, 3488.023
664.2632, 3543.913
664.7454, 3589.426
665.2275, 3623.586
665.7096, 3665.129
666.1917, 3723.023
666.6738, 3785.475
667.1559, 3835.648
667.6381, 3870.927
668.1202, 3920.411
668.6023, 3990.111
669.0844, 4066.379
669.5665, 4158.812
670.0486, 4247.707
670.5308, 4306.651
671.0129, 4335.513
671.4950, 4359.881
671.9771, 4399.023
672.4592, 4445.461
672.9413, 4493.357
673.4235, 4539.948
673.9056, 4557.948
674.3877, 4537.472
674.8698, 4496.857
675.3519, 4452.363
675.8340, 4404.251
676.3162, 4356.828
676.7983, 4316.412
677.2804, 4268.548
677.7625, 4214.033
678.2446, 4149.191
678.7267, 4062.350
679.2089, 3960.652
679.6910, 3871.339
680.1731, 3813.258
680.6552, 3765.256
681.1373, 3701.611
681.6194, 3628.659
682.1016, 3565.894
682.5837, 3517.278
683.0658, 3471.875
683.5479, 3421.371
684.0300, 3366.972
684.5121, 3315.000
684.9943, 3260.744
685.4764, 3218.649
685.9585, 3197.121
686.4406, 3181.957
686.9227, 3169.241
687.4048, 3156.817
687.8870, 3139.919
688.3691, 3115.253
688.8512, 3090.686
689.3333, 3069.275
689.8154, 3051.995
690.2975, 3044.748
690.7797, 3044.530
691.2618, 3034.405
691.7439, 3003.520
692.2260, 2963.976
692.7081, 2941.542
693.1902, 2938.198
693.6724, 2939.297
694.1545, 2949.047
694.6366, 2954.514
695.1187, 2947.107
695.6008, 2931.448
696.0829, 2914.024
696.5651, 2893.073
697.0472, 2877.976
697.5293, 2875.024
698.0114, 2875.254
698.4935, 2875.421
698.9756, 2872.967
699.4578, 2860.577
699.9399, 2836.488
700.4220, 2816.136
700.9041, 2823.690
701.3862, 2851.874
701.8683, 2859.403
702.3505, 2843.808
702.8326, 2830.273
703.3147, 2829.503
703.7968, 2833.390
704.2789, 2830.206
704.7611, 2818.302
705.2432, 2810.592
705.7253, 2813.450
706.2075, 2812.453
706.6896, 2797.227
707.1717, 2780.154
707.6538, 2774.355
708.1359, 2780.725
708.6180, 2790.917
709.1002, 2802.839
709.5823, 2812.766
710.0644, 2814.891
710.5465, 2810.826
711.0286, 2806.344
711.5107, 2802.746
711.9929, 2796.083
712.4750, 2781.544
712.9571, 2761.968
713.4392, 2755.407
713.9213, 2773.261
714.4034, 2777.924
714.8856, 2747.801
715.3677, 2720.493
715.8498, 2720.746
716.3319, 2740.419
716.8140, 2759.502
717.2961, 2777.853
717.7783, 2786.066
718.2604, 2766.347
