##NAMES=Krautite
##RRUFFID=R060967
##IDEAL CHEMISTRY=Mn^2+^(As^5+^O_3_OH)&#183;H_2_O
##LOCALITY=Jachymov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pink spheroidal aggregates and crusts found with other secondary arsenic minerals, quartz and mica
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060967
500.9481, 23665.95
501.4302, 23669.88
501.9123, 23653.85
502.3944, 23646.76
502.8766, 23651.53
503.3587, 23668.88
503.8408, 23710.35
504.3229, 23814.19
504.8050, 23900.14
505.2871, 23918.65
505.7693, 23834.46
506.2514, 23789.06
506.7335, 23794.89
507.2156, 23827.38
507.6977, 23851.12
508.1798, 23866.46
508.6620, 23871.92
509.1441, 23864.02
509.6262, 23847.52
510.1083, 23837.45
510.5904, 23834.12
511.0725, 23833.15
511.5547, 23832.01
512.0368, 23831.07
512.5189, 23830.42
513.0010, 23829.80
513.4832, 23830.79
513.9653, 23833.05
514.4474, 23837.68
514.9295, 23846.79
515.4116, 23862.86
515.8937, 23881.55
516.3758, 23904.26
516.8579, 23929.80
517.3400, 23944.20
517.8221, 23923.91
518.3043, 23904.47
518.7864, 23908.76
519.2685, 23968.36
519.7506, 24004.85
520.2327, 24003.64
520.7148, 23985.19
521.1970, 23985.96
521.6791, 24023.08
522.1612, 24039.85
522.6433, 24011.91
523.1254, 23947.50
523.6075, 23914.32
524.0897, 23915.12
524.5718, 23934.97
525.0539, 23972.98
525.5360, 24023.74
526.0181, 24055.06
526.5002, 24062.29
526.9824, 24051.64
527.4645, 24023.87
527.9466, 23983.69
528.4287, 23944.60
528.9108, 23907.78
529.3929, 23877.54
529.8751, 23862.99
530.3572, 23861.52
530.8393, 23853.02
531.3214, 23806.83
531.8035, 23763.48
532.2856, 23757.37
532.7678, 23824.39
533.2499, 23861.87
533.7320, 23828.92
534.2141, 23761.38
534.6962, 23711.44
535.1783, 23692.18
535.6605, 23674.14
536.1426, 23649.81
536.6247, 23621.54
537.1068, 23606.78
537.5889, 23607.51
538.0710, 23617.40
538.5532, 23635.42
539.0353, 23661.52
539.5174, 23680.42
539.9995, 23687.78
540.4816, 23698.93
540.9637, 23742.54
541.4459, 23809.73
541.9280, 23862.11
542.4101, 23882.39
542.8922, 23885.31
543.3743, 23886.94
543.8564, 23886.67
544.3386, 23882.70
544.8207, 23873.82
545.3028, 23860.89
545.7849, 23843.67
546.2670, 23821.32
546.7491, 23800.25
547.2313, 23779.54
547.7134, 23763.24
548.1955, 23755.18
548.6776, 23747.44
549.1597, 23759.83
549.6418, 23812.42
550.1240, 23887.00
550.6061, 23918.02
551.0882, 23884.41
551.5703, 23849.22
552.0524, 23842.61
552.5345, 23865.30
553.0167, 23855.00
553.4988, 23804.44
553.9809, 23749.44
554.4630, 23730.94
554.9451, 23741.66
555.4272, 23740.85
555.9094, 23716.09
556.3915, 23688.04
556.8736, 23685.63
557.3557, 23701.99
557.8378, 23717.20
558.3199, 23720.97
558.8021, 23720.28
559.2842, 23720.29
559.7663, 23721.08
560.2484, 23720.49
560.7305, 23704.25
561.2126, 23694.83
561.6948, 23709.29
562.1769, 23771.32
562.6590, 23818.81
563.1411, 23836.32
563.6232, 23841.65
564.1053, 23864.80
564.5875, 23929.65
565.0696, 23956.14
565.5517, 23908.04
566.0338, 23807.55
566.5159, 23779.48
566.9980, 23833.20
567.4802, 23899.91
567.9623, 23945.71
568.4444, 23970.41
568.9265, 23967.17
569.4086, 23933.14
569.8907, 23892.47
570.3729, 23862.56
570.8550, 23843.82
571.3371, 23838.17
571.8192, 23858.83
572.3013, 23875.41
572.7834, 23860.68
573.2656, 23825.53
573.7477, 23798.55
574.2298, 23792.00
574.7119, 23793.41
575.1940, 23802.24
575.6761, 23821.31
576.1583, 23825.24
576.6404, 23799.71
577.1225, 23773.22
577.6046, 23766.79
578.0867, 23789.03
578.5688, 23805.43
579.0510, 23813.52
579.5331, 23816.28
580.0152, 23815.48
580.4973, 23811.05
580.9794, 23814.51
581.4615, 23832.64
581.9437, 23858.66
582.4258, 23877.50
582.9079, 23889.85
583.3900, 23905.42
583.8721, 23938.36
584.3542, 23973.17
584.8364, 23991.51
585.3185, 23989.68
585.8006, 23983.97
586.2827, 23985.21
586.7648, 23985.57
587.2469, 23977.32
587.7291, 23939.29
588.2112, 23915.94
588.6933, 23922.18
589.1754, 23946.73
589.6575, 23964.12
590.1396, 23972.50
590.6218, 23977.26
591.1039, 23979.36
591.5860, 23979.18
592.0681, 23977.21
592.5502, 23971.39
593.0323, 23975.23
593.5145, 24012.31
593.9966, 24071.38
594.4787, 24099.59
594.9608, 24088.95
595.4429, 24061.60
595.9250, 24019.67
596.4072, 23980.26
596.8893, 23976.41
597.3714, 24065.80
597.8535, 24146.78
598.3356, 24150.79
598.8177, 24096.87
599.2999, 24044.13
599.7820, 23984.16
600.2641, 23952.44
600.7462, 23977.76
601.2283, 24071.34
601.7104, 24126.34
602.1926, 24125.41
602.6747, 24106.79
603.1568, 24090.24
603.6389, 24069.84
604.1210, 24092.54
604.6031, 24174.88
605.0853, 24272.64
605.5674, 24306.30
606.0495, 24286.03
606.5316, 24285.23
607.0137, 24342.46
607.4958, 24417.85
607.9780, 24456.67
608.4601, 24465.21
608.9422, 24471.57
609.4243, 24495.32
609.9064, 24519.81
610.3885, 24532.01
610.8707, 24530.33
611.3528, 24525.50
611.8349, 24521.15
612.3170, 24514.87
612.7991, 24504.61
613.2813, 24482.10
613.7634, 24470.57
614.2455, 24471.97
614.7276, 24483.79
615.2097, 24504.25
615.6918, 24535.43
616.1740, 24564.17
616.6561, 24588.26
617.1382, 24606.38
617.6203, 24605.62
618.1024, 24588.70
618.5845, 24588.05
619.0667, 24645.71
619.5488, 24720.98
620.0309, 24751.84
620.5130, 24734.29
620.9951, 24718.54
621.4772, 24743.47
621.9594, 24779.27
622.4415, 24800.00
622.9236, 24795.63
623.4057, 24784.65
623.8878, 24753.49
624.3699, 24723.20
624.8521, 24726.38
625.3342, 24790.96
625.8163, 24834.43
626.2984, 24832.82
626.7805, 24803.25
627.2626, 24812.98
627.7448, 24867.67
628.2269, 24913.22
628.7090, 24919.70
629.1911, 24895.34
629.6732, 24859.50
630.1553, 24813.36
630.6375, 24771.81
631.1196, 24750.40
631.6017, 24738.96
632.0838, 24725.42
632.5659, 24707.07
633.0480, 24688.78
