##NAMES=Trechmannite
##RRUFFID=R130062
##IDEAL CHEMISTRY=Ag^1+^As^3+^S^2-^_2_
##LOCALITY=Lengenbach quarry, Imfeld, Binn Valley, Wallis, Switzerland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Single dark red crystal, associated with jordanite and binnite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130062
301.9751, 114.5753
302.4572, 114.8884
302.9393, 115.4311
303.4214, 116.3870
303.9036, 117.4416
304.3857, 118.1912
304.8678, 118.7272
305.3499, 119.4016
305.8320, 120.5838
306.3141, 121.9620
306.7963, 123.1061
307.2784, 123.8815
307.7605, 124.6463
308.2426, 125.7273
308.7247, 127.0318
309.2068, 128.3380
309.6890, 129.3994
310.1711, 130.4880
310.6532, 131.8514
311.1353, 133.5443
311.6174, 135.3270
312.0995, 137.0105
312.5817, 138.6646
313.0638, 140.4247
313.5459, 142.3972
314.0280, 144.4726
314.5101, 146.6015
314.9922, 148.7732
315.4744, 150.9885
315.9565, 153.3757
316.4386, 155.7579
316.9207, 157.9043
317.4028, 159.8122
317.8849, 161.4401
318.3671, 162.8910
318.8492, 164.1561
319.3313, 164.7871
319.8134, 164.3889
320.2955, 163.4241
320.7776, 162.2688
321.2598, 160.8911
321.7419, 159.4409
322.2240, 158.5364
322.7061, 157.8292
323.1882, 155.5156
323.6703, 149.5421
324.1525, 143.0225
324.6346, 137.7120
325.1167, 134.2570
325.5988, 131.3177
326.0809, 128.8448
326.5630, 126.8119
327.0452, 125.1391
327.5273, 123.9936
328.0094, 123.0849
328.4915, 122.3185
328.9736, 121.7112
329.4557, 121.2297
329.9379, 120.9367
330.4200, 120.7482
330.9021, 120.5345
331.3842, 120.2793
331.8663, 120.0109
332.3484, 119.6705
332.8306, 119.1976
333.3127, 119.1025
333.7948, 119.6152
334.2769, 120.2994
334.7590, 120.6415
335.2411, 120.4484
335.7233, 120.3531
336.2054, 120.4872
336.6875, 120.8437
337.1696, 121.2905
337.6517, 121.8760
338.1339, 122.4616
338.6160, 122.8633
339.0981, 122.9938
339.5802, 123.4039
340.0623, 124.2196
340.5444, 125.3488
341.0266, 126.4524
341.5087, 127.5459
341.9908, 128.6021
342.4729, 129.6093
342.9550, 130.5576
343.4371, 131.5078
343.9193, 132.4678
344.4014, 133.4046
344.8835, 134.1543
345.3656, 134.7195
345.8477, 135.4636
346.3298, 136.5444
346.8120, 137.9565
347.2941, 139.7267
347.7762, 141.9363
348.2583, 144.1641
348.7404, 145.7967
349.2225, 146.9804
349.7047, 148.3242
350.1868, 149.9534
350.6689, 151.9272
351.1510, 154.5459
351.6331, 157.7869
352.1152, 161.0730
352.5974, 163.7787
