##NAMES=Amphibole
##RRUFFID=R110203
##LOCALITY=Bear Lake diggings, Tory Hill, Monmounth Township, Haliburton Co., Ontario, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Black hexagonal prism, note that amphiboles from here are characterized by Hawthorne et al (2006)
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110203
326.8765, 104.8772
327.3586, 105.6075
327.8407, 106.4539
328.3228, 106.9112
328.8049, 106.7436
329.2870, 106.3021
329.7692, 105.9417
330.2513, 105.6555
330.7334, 105.3621
331.2155, 105.0044
331.6976, 104.6139
332.1797, 104.2196
332.6619, 103.7616
333.1440, 103.4783
333.6261, 103.7906
334.1082, 104.4490
334.5903, 104.8490
335.0724, 104.6759
335.5546, 104.2128
336.0367, 103.7264
336.5188, 103.1969
337.0009, 102.9039
337.4830, 103.1888
337.9651, 103.7709
338.4473, 104.1099
338.9294, 104.0501
339.4115, 103.8938
339.8936, 103.8732
340.3757, 103.9719
340.8578, 104.0614
341.3400, 104.0729
341.8221, 104.0780
342.3042, 104.2054
342.7863, 104.4869
343.2684, 104.7132
343.7505, 104.7070
344.2327, 104.5724
344.7148, 104.6058
345.1969, 104.9367
345.6790, 105.2643
346.1611, 105.0548
346.6432, 104.4111
347.1254, 104.1511
347.6075, 104.9368
348.0896, 106.0016
348.5717, 106.3380
349.0538, 105.8447
349.5359, 105.1430
350.0181, 104.5815
350.5002, 104.1880
350.9823, 104.0042
351.4644, 104.2332
351.9465, 104.5025
352.4286, 104.5514
352.9108, 104.4157
353.3929, 104.2576
353.8750, 104.1279
354.3571, 104.0533
354.8392, 104.1024
355.3214, 104.3132
355.8035, 104.5381
356.2856, 104.7395
356.7677, 104.9168
357.2498, 105.0636
357.7319, 105.1756
358.2141, 105.2743
358.6962, 105.4113
359.1783, 105.6129
359.6604, 105.6880
360.1425, 105.5355
360.6246, 105.2965
361.1068, 105.0746
361.5889, 104.8866
362.0710, 104.7550
362.5531, 104.6979
363.0352, 104.7200
363.5173, 104.8008
363.9995, 105.0379
364.4816, 105.2325
364.9637, 105.2605
365.4458, 105.1676
365.9279, 105.0671
366.4100, 105.0107
366.8922, 105.0017
367.3743, 105.0559
367.8564, 105.1744
368.3385, 105.3474
368.8206, 105.6574
369.3027, 105.9857
369.7849, 106.2007
370.2670, 106.2639
370.7491, 106.2087
371.2312, 106.0700
371.7133, 105.8097
372.1954, 105.5797
372.6776, 105.4010
373.1597, 105.2337
373.6418, 104.9823
374.1239, 104.6980
374.6060, 104.5816
375.0881, 104.8248
375.5703, 105.4107
376.0524, 105.7569
376.5345, 105.7239
377.0166, 105.6221
377.4987, 105.4311
377.9808, 105.2371
378.4630, 105.1792
378.9451, 105.3230
379.4272, 105.5631
379.9093, 105.6571
380.3914, 105.6100
380.8735, 105.3819
381.3557, 104.7171
381.8378, 104.0695
382.3199, 103.8265
382.8020, 104.0064
383.2841, 104.3058
383.7662, 104.3991
384.2484, 104.2678
384.7305, 104.0568
385.2126, 103.5506
385.6947, 103.1718
386.1768, 103.2593
386.6589, 103.5661
387.1411, 103.5570
387.6232, 102.8386
388.1053, 101.6808
388.5874, 101.1065
389.0695, 101.5147
389.5516, 101.7615
390.0338, 101.6607
390.5159, 101.2664
390.9980, 100.4655
391.4801, 99.23840
391.9622, 98.09364
392.4443, 97.76141
392.9265, 98.34341
393.4086, 98.75772
393.8907, 98.79756
394.3728, 98.69833
394.8549, 98.61768
395.3370, 98.52929
395.8192, 98.30556
396.3013, 97.72927
396.7834, 96.95772
397.2655, 96.55749
397.7476, 96.66338
398.2297, 96.79263
398.7119, 96.71349
399.1940, 96.49903
399.6761, 96.19838
400.1582, 95.75819
400.6403, 95.38085
401.1224, 95.39509
401.6046, 95.76499
402.0867, 95.86302
402.5688, 95.40187
403.0509, 94.68958
403.5330, 94.02395
404.0151, 93.39523
404.4973, 93.01850
404.9794, 93.13197
405.4615, 93.51794
405.9436, 93.83989
406.4257, 94.06801
406.9078, 94.14730
407.3900, 93.95914
407.8721, 93.56016
408.3542, 93.26283
408.8363, 93.09863
409.3184, 93.03383
409.8005, 93.12440
410.2827, 93.31471
410.7648, 93.40397
411.2469, 93.28905
411.7290, 93.05348
412.2111, 92.88093
412.6932, 92.78321
413.1754, 92.70537
413.6575, 92.65861
414.1396, 92.61610
414.6217, 92.52782
415.1038, 92.39311
415.5859, 92.28854
416.0681, 92.29465
416.5502, 92.42270
417.0323, 92.54641
417.5144, 92.66433
417.9965, 92.77968
418.4786, 92.92588
418.9608, 93.06681
419.4429, 93.10424
419.9250, 92.97890
420.4071, 92.79539
420.8892, 92.86523
421.3713, 93.62589
421.8535, 93.96047
422.3356, 93.55563
422.8177, 92.94371
423.2998, 92.42626
