##NAMES=Hisingerite
##RRUFFID=R070126
##IDEAL CHEMISTRY=Fe^3+^_2_Si_2_O_5_(OH)_4_&#183;2H_2_O
##LOCALITY=Nickel Plate mine, Hedley, British Columbia, Canada
##OWNER=RRUFF
##SOURCE=Lloyd Twaites
##DESCRIPTION=Chocolate brown hexagonal prismatic crystal, appearing to have replaced quartz. Amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070126
406.1857, 10709.14
406.6678, 10706.73
407.1500, 10695.48
407.6321, 10674.98
408.1142, 10669.71
408.5963, 10693.79
409.0784, 10734.68
409.5605, 10752.25
410.0427, 10745.82
410.5248, 10737.03
411.0069, 10743.56
411.4890, 10761.50
411.9711, 10779.38
412.4532, 10795.20
412.9354, 10810.33
413.4175, 10830.67
413.8996, 10852.91
414.3817, 10864.61
414.8638, 10850.85
415.3459, 10826.45
415.8281, 10807.66
416.3102, 10796.81
416.7923, 10786.64
417.2744, 10764.08
417.7565, 10740.87
418.2386, 10734.76
418.7208, 10771.24
419.2029, 10809.72
419.6850, 10829.00
420.1671, 10828.71
420.6492, 10830.92
421.1313, 10844.53
421.6135, 10861.96
422.0956, 10877.92
422.5777, 10896.23
423.0598, 10907.49
423.5420, 10903.76
424.0241, 10890.39
424.5062, 10888.31
424.9883, 10909.48
425.4704, 10929.86
425.9525, 10940.12
426.4347, 10936.02
426.9168, 10933.79
427.3989, 10935.72
427.8810, 10937.70
428.3631, 10930.91
428.8452, 10909.07
429.3274, 10898.19
429.8095, 10910.83
430.2916, 10943.98
430.7737, 10960.94
431.2558, 10958.64
431.7379, 10951.93
432.2201, 10951.27
432.7022, 10957.00
433.1843, 10977.68
433.6664, 11022.33
434.1485, 11072.19
434.6306, 11090.74
435.1128, 11080.03
435.5949, 11058.34
436.0770, 11022.85
436.5591, 10987.18
437.0412, 10983.26
437.5233, 11018.99
438.0055, 11058.75
438.4876, 11069.19
438.9697, 11060.41
439.4518, 11051.69
439.9339, 11047.14
440.4160, 11048.59
440.8982, 11057.92
441.3803, 11074.96
441.8624, 11096.86
442.3445, 11140.52
442.8266, 11178.71
443.3087, 11188.65
443.7909, 11134.15
444.2730, 11089.79
444.7551, 11073.10
445.2372, 11078.70
445.7193, 11089.89
446.2014, 11117.34
446.6836, 11138.82
447.1657, 11144.94
447.6478, 11128.06
448.1299, 11120.04
448.6120, 11124.64
449.0941, 11135.36
449.5763, 11144.27
450.0584, 11150.43
450.5405, 11157.34
451.0226, 11165.97
451.5047, 11176.00
451.9868, 11187.32
452.4690, 11201.61
