##NAMES=Diamond
##RRUFFID=X070001
##IDEAL CHEMISTRY=C
##LOCALITY=Synthetic, DeBeers Element6
##OWNER=
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=DeBeers Element6 type IIA, colorless cut stone
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X070001
377.7407, 234.1076
378.2228, 232.7069
378.7049, 231.7917
379.1870, 231.1168
379.6692, 230.1618
380.1513, 229.0424
380.6334, 229.2653
381.1155, 231.4343
381.5976, 234.5580
382.0797, 237.0227
382.5619, 238.8002
383.0440, 239.4274
383.5261, 237.2161
384.0082, 233.6824
384.4903, 232.9169
384.9724, 235.8559
385.4546, 239.7305
385.9367, 242.0122
386.4188, 242.8301
386.9009, 242.4814
387.3830, 238.9884
387.8651, 235.5039
388.3473, 236.4411
388.8294, 242.3615
389.3115, 247.8943
389.7936, 249.2583
390.2757, 247.9274
390.7578, 245.9356
391.2400, 242.4980
391.7221, 239.9161
392.2042, 239.8427
392.6863, 242.1187
393.1684, 244.6575
393.6505, 247.9872
394.1327, 250.4535
394.6148, 250.8084
395.0969, 246.7355
395.5790, 242.8292
396.0611, 239.0087
396.5432, 235.8576
397.0254, 235.5249
397.5075, 242.4882
397.9896, 249.0191
398.4717, 251.4447
398.9538, 246.0473
399.4359, 243.4048
399.9181, 245.4654
400.4002, 249.6872
400.8823, 251.4401
401.3644, 248.6690
401.8465, 246.5894
402.3286, 247.0122
402.8108, 250.3452
403.2929, 252.7113
403.7750, 254.2047
404.2571, 254.5968
404.7392, 253.2652
405.2213, 249.7413
405.7035, 246.6691
406.1856, 244.4183
406.6677, 243.0826
407.1498, 243.6356
407.6319, 246.4211
408.1140, 248.9696
408.5962, 248.6092
409.0783, 245.7973
409.5604, 244.5617
410.0425, 245.8210
410.5246, 248.3393
411.0067, 250.3096
411.4889, 251.7547
411.9710, 252.9514
412.4531, 254.9489
412.9352, 256.5818
413.4173, 254.9301
413.8994, 249.1476
414.3816, 243.9012
414.8637, 244.4500
415.3458, 248.4756
415.8279, 251.5334
416.3100, 250.2654
416.7921, 248.3211
417.2743, 248.7495
417.7564, 251.5293
418.2385, 254.0828
418.7206, 254.9517
419.2027, 255.0400
419.6848, 255.1380
420.1670, 255.3266
420.6491, 255.6969
421.1312, 256.9363
421.6133, 258.5558
422.0954, 258.6951
422.5775, 254.1944
423.0597, 250.3503
423.5418, 249.8621
424.0239, 256.0565
424.5060, 259.6815
424.9881, 258.6421
425.4702, 255.6645
425.9524, 255.1669
426.4345, 259.1942
426.9166, 262.5086
427.3987, 263.4965
427.8808, 262.0166
428.3629, 261.1527
428.8451, 261.1538
429.3272, 261.3803
429.8093, 261.3204
430.2914, 261.0166
430.7735, 260.0471
431.2556, 258.0109
431.7378, 255.4507
432.2199, 253.9282
432.7020, 253.4507
433.1841, 253.9105
433.6662, 255.5760
434.1483, 258.1979
434.6305, 260.9310
435.1126, 263.8772
435.5947, 266.2593
436.0768, 267.2496
436.5589, 266.8802
437.0410, 265.2507
437.5232, 260.4821
438.0053, 255.4886
438.4874, 254.3936
438.9695, 257.3094
439.4516, 260.1653
439.9337, 259.7229
440.4159, 257.7853
440.8980, 256.4760
441.3801, 257.0985
441.8622, 257.8250
442.3443, 257.1429
442.8264, 255.6678
443.3086, 255.7807
443.7907, 260.4673
444.2728, 265.2919
444.7549, 267.7729
445.2370, 266.2204
445.7191, 265.1876
446.2013, 265.9882
446.6834, 267.3481
447.1655, 267.2112
447.6476, 263.2650
448.1297, 260.8645
448.6118, 261.6255
449.0940, 265.7430
449.5761, 269.5712
450.0582, 273.7067
450.5403, 276.7538
451.0224, 276.7674
451.5045, 272.7258
451.9867, 271.2527
452.4688, 274.3622
452.9509, 279.7357
453.4330, 280.6736
453.9151, 276.9948
454.3972, 272.5888
454.8794, 269.3100
455.3615, 267.1144
455.8436, 266.2693
456.3257, 266.9897
456.8078, 267.9014
457.2899, 267.0525
457.7721, 265.1081
458.2542, 263.8266
458.7363, 263.9301
459.2184, 265.0475
459.7005, 267.4232
460.1826, 270.8236
460.6648, 273.4666
461.1469, 273.9179
461.6290, 273.2285
462.1111, 272.2466
462.5932, 270.8260
463.0753, 269.6362
463.5575, 268.7322
464.0396, 268.3186
464.5217, 268.7556
465.0038, 270.6703
465.4859, 272.9472
465.9680, 275.6032
466.4502, 279.0076
466.9323, 280.5895
467.4144, 279.7682
467.8965, 277.5775
468.3786, 274.6445
468.8607, 269.8687
469.3429, 266.6153
469.8250, 265.0576
470.3071, 265.2169
470.7892, 268.5024
471.2713, 276.7590
471.7534, 282.7245
472.2356, 280.1096
472.7177, 268.7125
473.1998, 264.5252
473.6819, 269.5730
474.1640, 277.4377
474.6461, 279.0199
475.1283, 275.1823
475.6104, 271.7762
476.0925, 271.3677
476.5746, 272.5910
477.0567, 272.9186
477.5388, 272.4179
478.0210, 272.2631
478.5031, 273.7227
478.9852, 275.9666
479.4673, 278.1149
479.9494, 280.3781
480.4315, 281.4933
480.9137, 279.7374
481.3958, 276.3900
481.8779, 273.8168
482.3600, 272.5286
482.8421, 272.5266
483.3242, 274.4983
483.8064, 278.8301
484.2885, 281.8970
484.7706, 282.1147
485.2527, 280.9903
485.7348, 279.7964
486.2169, 278.9548
486.6990, 278.2383
487.1812, 276.8631
487.6633, 275.1664
488.1454, 274.8229
488.6275, 276.7917
489.1096, 279.2742
489.5917, 281.4886
490.0739, 283.2608
490.5560, 284.1241
491.0381, 284.4037
491.5202, 283.8206
492.0023, 281.0550
492.4844, 276.3556
492.9666, 273.0037
493.4487, 271.5857
493.9308, 272.4125
494.4129, 277.2869
494.8950, 285.2621
495.3771, 291.8863
495.8593, 294.1945
496.3414, 293.9358
496.8235, 292.0766
497.3056, 288.0417
497.7877, 284.9488
498.2698, 286.8480
498.7520, 290.6681
499.2341, 292.0969
499.7162, 285.8828
500.1983, 280.9423
500.6804, 281.8489
501.1625, 287.7003
501.6447, 289.9044
502.1268, 282.9728
502.6089, 275.9319
503.0910, 273.0420
503.5731, 276.1414
504.0552, 279.1739
504.5374, 282.9399
505.0195, 286.9178
505.5016, 290.0751
505.9837, 292.2761
506.4658, 291.9808
506.9479, 287.9044
507.4301, 281.4659
507.9122, 280.2988
508.3943, 284.7137
508.8764, 289.4326
509.3585, 289.4809
509.8406, 286.7213
510.3228, 287.6236
510.8049, 293.5894
511.2870, 299.3573
511.7691, 297.6974
512.2512, 291.9444
512.7333, 288.9376
513.2155, 295.2367
513.6976, 302.4644
514.1797, 303.6870
514.6618, 299.2482
515.1439, 294.7477
515.6260, 291.6986
516.1082, 290.6225
516.5903, 291.3467
517.0724, 294.8874
517.5545, 297.3788
518.0366, 299.8997
518.5187, 302.0932
519.0009, 302.4387
519.4830, 298.7204
519.9651, 295.5774
520.4472, 294.4158
520.9293, 295.1803
521.4114, 295.7449
521.8936, 295.9743
522.3757, 296.5526
522.8578, 298.4346
523.3399, 301.6127
523.8220, 301.3875
524.3041, 296.3523
524.7863, 290.4062
525.2684, 290.4359
525.7505, 295.9643
526.2326, 302.2957
526.7147, 309.2605
527.1968, 314.0910
527.6790, 311.2070
528.1611, 301.3105
528.6432, 292.7692
529.1253, 292.5421
529.6074, 296.1773
530.0895, 298.2495
530.5717, 296.5020
531.0538, 294.5962
531.5359, 294.4226
532.0180, 295.7188
532.5001, 297.4695
532.9822, 300.3838
533.4644, 302.6649
533.9465, 303.0412
534.4286, 301.5142
534.9107, 302.2359
535.3928, 307.7661
535.8749, 312.5200
536.3571, 312.2773
536.8392, 305.5292
537.3213, 300.5610
537.8034, 297.8215
538.2855, 297.1115
