##NAMES=Fizelyite
##RRUFFID=R090068
##IDEAL CHEMISTRY=Ag^1+^_5_Pb^2+^_14_Sb^3+^_21_S^2-^_48_
##LOCALITY=Herja(Kisbanya), Romania
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Dark grey metallic striated prismatic crystals, associated with galena and sphalerite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090068
319.1550, 62.47559
319.6371, 62.38666
320.1193, 61.33424
320.6014, 59.97677
321.0835, 59.38062
321.5656, 60.83007
322.0477, 62.27944
322.5298, 62.80099
323.0120, 62.12879
323.4941, 61.55715
323.9762, 61.41520
324.4583, 61.48057
324.9404, 61.51313
325.4225, 61.58958
325.9047, 61.51435
326.3868, 61.10890
326.8689, 60.35237
327.3510, 59.91745
327.8331, 59.85559
328.3152, 60.12786
328.7974, 60.71154
329.2795, 62.44328
329.7616, 63.48645
330.2437, 63.29052
330.7258, 62.14043
331.2079, 61.62235
331.6901, 62.20369
332.1722, 62.95191
332.6543, 63.43737
333.1364, 63.65089
333.6185, 63.59398
334.1006, 63.15937
334.5828, 62.48342
335.0649, 61.89675
335.5470, 61.43119
336.0291, 60.98809
336.5112, 60.52824
336.9933, 60.03367
337.4755, 59.64126
337.9576, 59.48944
338.4397, 59.28580
338.9218, 58.46880
339.4039, 56.74567
339.8860, 55.51466
340.3681, 55.34721
340.8503, 56.13949
341.3324, 56.48793
341.8145, 56.33989
342.2966, 55.90612
342.7787, 55.21139
343.2608, 54.22936
343.7430, 53.71469
344.2251, 53.99992
344.7072, 54.72252
345.1893, 54.71632
345.6714, 53.92358
346.1535, 53.12386
346.6357, 52.98397
347.1178, 53.37406
347.5999, 53.50410
348.0820, 53.26464
348.5641, 52.79032
349.0462, 52.38371
349.5284, 51.99142
350.0105, 51.21154
350.4926, 49.26309
350.9747, 46.85217
351.4568, 45.77479
351.9389, 46.21867
352.4211, 46.89959
352.9032, 46.15531
353.3853, 44.60493
353.8674, 43.76192
354.3495, 44.98363
354.8316, 46.73949
355.3138, 47.31042
355.7959, 46.74960
356.2780, 45.61216
356.7601, 43.38335
357.2422, 41.08876
357.7243, 40.16602
358.2065, 41.85571
358.6886, 43.71490
359.1707, 44.10835
359.6528, 43.30977
360.1349, 42.14392
360.6170, 40.16344
361.0992, 38.51159
361.5813, 38.07086
362.0634, 39.18875
362.5455, 40.80885
363.0276, 43.39707
363.5097, 46.04310
363.9919, 47.39252
364.4740, 45.64235
364.9561, 43.78893
365.4382, 43.08347
365.9203, 43.69617
366.4024, 44.11791
366.8846, 43.77080
367.3667, 43.26490
367.8488, 43.09416
368.3309, 43.90882
368.8130, 44.39423
369.2951, 44.19547
369.7773, 43.42932
370.2594, 42.92636
370.7415, 42.84056
371.2236, 42.87214
371.7057, 42.87794
372.1878, 42.74879
372.6700, 42.81946
373.1521, 43.22828
