##NAMES=Niter
##RRUFFID=R090001
##IDEAL CHEMISTRY=KN^5+^O_3_
##LOCALITY=Searcy County, Arkansas, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Unconsolidated, granular fragments exhibiting a sandy color
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090001
281.3267, 1375.336
281.8088, 1370.327
282.2910, 1366.939
282.7731, 1367.423
283.2552, 1370.707
283.7373, 1373.552
284.2194, 1376.632
284.7015, 1377.825
285.1837, 1374.497
285.6658, 1369.217
286.1479, 1366.016
286.6300, 1367.452
287.1121, 1371.359
287.5942, 1372.729
288.0764, 1370.594
288.5585, 1368.123
289.0406, 1365.925
289.5227, 1364.245
290.0048, 1363.545
290.4869, 1364.114
290.9691, 1365.258
291.4512, 1365.762
291.9333, 1365.417
292.4154, 1365.119
292.8975, 1365.765
293.3796, 1366.188
293.8618, 1365.183
294.3439, 1362.452
294.8260, 1359.319
295.3081, 1357.677
295.7902, 1357.958
296.2723, 1357.691
296.7545, 1355.218
297.2366, 1352.972
297.7187, 1352.748
298.2008, 1354.517
298.6829, 1356.487
299.1650, 1356.654
299.6472, 1354.787
300.1293, 1353.230
300.6114, 1352.555
301.0935, 1351.797
301.5756, 1350.554
302.0577, 1348.850
302.5399, 1346.846
303.0220, 1344.328
303.5041, 1341.381
303.9862, 1339.971
304.4683, 1341.695
304.9504, 1343.198
305.4326, 1343.309
305.9147, 1342.352
306.3968, 1340.937
306.8789, 1339.282
307.3610, 1337.552
307.8431, 1336.502
308.3253, 1336.493
308.8074, 1336.667
309.2895, 1337.179
309.7716, 1337.577
310.2537, 1337.247
310.7358, 1335.871
311.2180, 1333.855
311.7001, 1331.907
312.1822, 1329.416
312.6643, 1328.401
313.1464, 1330.888
313.6285, 1333.828
314.1107, 1334.454
314.5928, 1332.070
315.0749, 1328.638
315.5570, 1327.028
316.0392, 1327.776
316.5213, 1328.388
317.0034, 1328.453
317.4855, 1328.438
317.9676, 1329.070
318.4497, 1330.141
318.9319, 1330.354
319.4140, 1327.751
319.8961, 1321.870
320.3782, 1317.873
320.8603, 1317.103
321.3424, 1317.174
321.8246, 1317.465
322.3067, 1317.875
322.7888, 1318.424
323.2709, 1319.299
323.7530, 1320.352
324.2351, 1320.402
324.7173, 1318.915
325.1994, 1317.081
325.6815, 1314.842
326.1636, 1312.629
326.6457, 1311.037
327.1278, 1310.417
327.6100, 1310.443
328.0921, 1310.415
328.5742, 1310.503
329.0563, 1310.120
329.5384, 1308.843
330.0205, 1307.253
330.5027, 1305.602
330.9848, 1303.965
331.4669, 1302.907
331.9490, 1303.729
332.4311, 1307.236
332.9132, 1309.080
333.3954, 1307.153
333.8775, 1304.434
334.3596, 1302.265
334.8417, 1300.828
335.3238, 1299.822
335.8059, 1299.053
336.2881, 1298.522
336.7702, 1298.048
337.2523, 1297.178
337.7344, 1296.941
338.2165, 1298.497
338.6986, 1301.035
339.1808, 1302.665
339.6629, 1301.901
340.1450, 1299.423
340.6271, 1297.756
341.1092, 1296.992
341.5913, 1296.916
342.0735, 1298.057
342.5556, 1299.531
343.0377, 1300.253
343.5198, 1299.772
344.0019, 1298.530
344.4840, 1297.218
344.9662, 1295.866
345.4483, 1294.273
345.9304, 1291.628
346.4125, 1289.167
346.8946, 1288.195
347.3767, 1288.889
347.8589, 1289.435
348.3410, 1287.373
348.8231, 1282.805
349.3052, 1280.398
349.7873, 1282.058
350.2694, 1284.692
350.7516, 1286.454
351.2337, 1287.357
351.7158, 1287.627
352.1979, 1287.637
352.6800, 1287.135
353.1621, 1284.928
353.6443, 1280.037
354.1264, 1275.651
354.6085, 1273.756
355.0906, 1273.531
355.5727, 1273.999
356.0548, 1275.379
356.5370, 1276.677
357.0191, 1276.162
357.5012, 1273.627
357.9833, 1271.712
358.4654, 1272.058
358.9475, 1273.300
359.4297, 1273.821
359.9118, 1273.407
360.3939, 1272.649
360.8760, 1271.657
361.3581, 1270.580
361.8402, 1270.312
362.3224, 1271.490
362.8045, 1272.848
363.2866, 1272.917
363.7687, 1271.834
364.2508, 1270.870
364.7329, 1270.654
365.2151, 1270.820
365.6972, 1270.865
366.1793, 1270.788
366.6614, 1270.289
367.1436, 1268.746
367.6257, 1266.579
368.1078, 1265.097
368.5899, 1264.506
369.0720, 1264.625
369.5541, 1265.698
370.0363, 1267.555
370.5184, 1268.999
371.0005, 1269.331
371.4826, 1269.030
371.9647, 1269.320
372.4468, 1270.722
372.9290, 1271.383
373.4111, 1269.976
373.8932, 1267.448
374.3753, 1265.635
374.8574, 1265.080
375.3395, 1264.871
375.8217, 1263.755
376.3038, 1261.575
376.7859, 1259.916
377.2680, 1259.458
377.7501, 1259.209
378.2322, 1258.247
378.7144, 1256.571
379.1965, 1254.912
379.6786, 1253.943
380.1607, 1253.504
380.6428, 1251.876
381.1249, 1247.021
381.6071, 1243.399
382.0892, 1243.375
382.5713, 1245.601
383.0534, 1247.615
383.5355, 1248.401
384.0176, 1248.215
384.4998, 1247.586
384.9819, 1246.268
385.4640, 1244.873
385.9461, 1242.687
386.4282, 1240.888
386.9103, 1240.938
387.3925, 1242.805
387.8746, 1244.876
388.3567, 1245.362
388.8388, 1243.976
389.3209, 1243.059
389.8030, 1243.164
390.2852, 1243.090
390.7673, 1242.207
391.2494, 1240.806
391.7315, 1239.530
392.2136, 1238.765
392.6957, 1238.361
393.1779, 1237.744
393.6600, 1236.450
394.1421, 1235.615
394.6242, 1236.065
395.1063, 1236.565
395.5884, 1235.772
396.0706, 1233.451
396.5527, 1230.717
397.0348, 1229.029
397.5169, 1228.612
397.9990, 1228.357
398.4811, 1228.217
398.9633, 1228.284
399.4454, 1228.873
399.9275, 1229.721
400.4096, 1230.188
400.8917, 1229.734
401.3738, 1228.610
401.8560, 1227.902
402.3381, 1227.754
402.8202, 1227.783
403.3023, 1228.499
403.7844, 1229.031
404.2665, 1228.269
404.7487, 1225.823
405.2308, 1222.886
405.7129, 1220.823
406.1950, 1219.645
406.6771, 1218.939
407.1592, 1218.715
407.6414, 1218.923
408.1235, 1219.789
408.6056, 1221.140
409.0877, 1222.103
409.5698, 1222.417
410.0519, 1221.951
410.5341, 1219.934
411.0162, 1215.793
411.4983, 1212.264
411.9804, 1211.594
412.4625, 1212.523
412.9446, 1213.071
413.4268, 1212.926
413.9089, 1212.333
414.3910, 1211.304
414.8731, 1209.930
415.3553, 1208.590
415.8374, 1207.252
416.3195, 1206.262
416.8016, 1206.354
417.2837, 1207.573
417.7658, 1208.572
418.2480, 1208.947
418.7301, 1208.945
419.2122, 1208.837
419.6943, 1208.652
420.1764, 1208.263
420.6585, 1207.382
421.1407, 1206.151
421.6228, 1205.984
422.1049, 1208.389
422.5870, 1210.098
423.0691, 1208.959
423.5512, 1206.370
424.0334, 1205.301
424.5155, 1207.034
424.9976, 1209.498
425.4797, 1208.666
425.9618, 1201.535
426.4439, 1197.133
426.9261, 1197.419
427.4082, 1198.805
427.8903, 1198.887
428.3724, 1197.563
428.8545, 1195.990
429.3366, 1195.100
429.8188, 1194.870
430.3009, 1194.672
430.7830, 1194.434
431.2651, 1194.339
431.7472, 1194.464
432.2293, 1194.734
432.7115, 1195.096
433.1936, 1195.523
433.6757, 1195.923
434.1578, 1196.248
434.6399, 1196.671
435.1220, 1196.354
435.6042, 1194.359
436.0863, 1192.309
436.5684, 1191.023
437.0505, 1190.376
437.5326, 1189.696
438.0147, 1188.182
438.4969, 1186.380
438.9790, 1186.678
439.4611, 1190.355
439.9432, 1192.881
440.4253, 1191.579
440.9074, 1188.536
441.3896, 1185.643
441.8717, 1183.225
442.3538, 1181.336
442.8359, 1180.075
443.3180, 1179.412
443.8001, 1179.382
444.2823, 1180.483
444.7644, 1181.323
445.2465, 1179.893
445.7286, 1176.781
446.2107, 1174.767
446.6928, 1175.735
447.1750, 1177.382
447.6571, 1177.086
448.1392, 1175.024
448.6213, 1173.402
449.1034, 1173.628
449.5855, 1174.851
450.0677, 1174.518
450.5498, 1171.571
451.0319, 1169.572
451.5140, 1169.972
451.9961, 1171.554
452.4782, 1173.172
452.9604, 1174.514
453.4425, 1175.106
453.9246, 1174.292
454.4067, 1171.849
454.8888, 1170.408
455.3709, 1170.592
455.8531, 1170.920
456.3352, 1171.536
456.8173, 1171.794
457.2994, 1170.339
457.7815, 1166.529
458.2636, 1161.818
458.7458, 1159.371
459.2279, 1160.541
459.7100, 1161.207
460.1921, 1160.467
460.6742, 1159.910
461.1563, 1160.754
461.6385, 1162.734
462.1206, 1164.588
462.6027, 1165.315
463.0848, 1165.113
463.5669, 1165.040
464.0491, 1165.226
464.5312, 1165.249
465.0133, 1165.102
465.4954, 1164.653
465.9775, 1163.776
466.4597, 1162.433
466.9418, 1160.608
467.4239, 1157.840
467.9060, 1154.373
468.3881, 1151.866
468.8702, 1150.708
469.3524, 1150.251
469.8345, 1150.397
470.3166, 1150.876
470.7987, 1150.834
471.2808, 1149.752
471.7629, 1148.322
472.2451, 1146.838
472.7272, 1145.445
473.2093, 1145.045
473.6914, 1146.335
474.1735, 1148.243
474.6556, 1148.466
475.1378, 1146.357
475.6199, 1145.039
476.1020, 1146.083
476.5841, 1147.349
477.0662, 1146.606
477.5483, 1143.955
478.0305, 1141.289
478.5126, 1140.066
478.9947, 1140.105
479.4768, 1139.899
479.9589, 1138.055
480.4410, 1137.675
480.9232, 1141.031
481.4053, 1145.063
481.8874, 1146.342
482.3695, 1144.190
482.8516, 1140.782
483.3337, 1138.766
483.8159, 1138.359
484.2980, 1137.471
484.7801, 1135.275
485.2622, 1133.549
485.7443, 1133.219
486.2264, 1133.679
486.7086, 1134.011
487.1907, 1133.883
487.6728, 1133.297
488.1549, 1132.004
488.6370, 1129.929
489.1191, 1128.440
489.6013, 1128.204
490.0834, 1128.250
490.5655, 1127.699
491.0476, 1126.626
491.5297, 1125.536
492.0118, 1124.728
492.4940, 1123.962
492.9761, 1122.769
493.4582, 1121.181
493.9403, 1120.014
494.4224, 1119.818
494.9045, 1120.188
495.3867, 1120.069
495.8688, 1119.250
496.3509, 1118.559
496.8330, 1118.693
497.3151, 1118.749
497.7972, 1117.288
498.2794, 1114.410
498.7615, 1112.009
499.2436, 1111.853
499.7257, 1113.772
500.2078, 1114.729
500.6899, 1114.655
