##NAMES=Schmitterite
##RRUFFID=R060524
##IDEAL CHEMISTRY=(U^6+^O_2_)Te^4+^O_3_
##LOCALITY=Moctezuma mine, Moctezuma, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale yellow rosette associated with green emmonsite, R060802
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R060524
304.1250, 167.7266
304.6071, 155.8789
305.0893, 157.6445
305.5714, 167.2227
306.0535, 171.9961
306.5356, 168.7773
307.0177, 156.9922
307.4998, 129.5430
307.9820, 86.26172
308.4641, 51.25781
308.9462, 54.55078
309.4283, 73.87109
309.9104, 78.67578
310.3925, 36.71484
310.8747, 6.472656
311.3568, 14.64453
311.8389, 8.113281
312.3210, 29.80859
312.8031, 34.71875
313.2852, 29.92578
313.7674, 21.67969
314.2495, 6.234375
314.7316, 5.328125
315.2137, 3.574219
315.6958, 7.296875
316.1779, 13.50391
316.6601, 7.609375
317.1422, 4.410156
317.6243, 21.25781
318.1064, 50.73047
318.5885, 68.83203
319.0706, 60.85938
319.5528, 36.78516
320.0349, 15.75000
320.5170, 0.1679690
320.9991, 8.902344
321.4812, 5.960938
321.9633, 14.86719
322.4455, 25.15234
322.9276, 11.22656
323.4097, 13.78906
323.8918, 33.84375
324.3739, 49.80859
324.8560, 57.79688
325.3382, 53.93750
325.8203, 36.76953
326.3024, 24.78125
326.7845, 25.09766
327.2666, 28.50781
327.7487, 27.79688
328.2309, 19.87891
328.7130, 11.41406
329.1951, 1.984375
329.6772, 8.066406
330.1593, 15.34375
330.6414, 21.59375
331.1236, 23.91797
331.6057, 20.52734
332.0878, 8.347656
332.5699, 3.199219
333.0520, 14.70703
333.5341, 24.41406
334.0163, 26.30078
334.4984, 12.65625
334.9805, 3.367188
335.4626, 8.886719
335.9447, 35.79688
336.4268, 52.39062
336.9090, 56.13672
337.3911, 53.16406
337.8732, 55.22266
338.3553, 67.30078
338.8374, 67.88672
339.3195, 44.67969
339.8017, 0.5664060
340.2838, 22.52344
340.7659, 14.12891
341.2480, 0.5234380
341.7301, 9.167969
342.2122, 45.94922
342.6944, 64.96875
343.1765, 51.72656
343.6586, 16.07812
344.1407, 10.68359
344.6228, 28.22266
345.1049, 37.44141
345.5871, 31.21484
346.0692, 13.34375
346.5513, 11.62109
347.0334, 33.19922
347.5155, 64.67188
347.9977, 82.68750
348.4798, 88.89062
348.9619, 94.98047
349.4440, 113.5859
349.9261, 136.4102
350.4082, 140.4883
350.8904, 121.7930
351.3725, 101.2539
351.8546, 101.3203
352.3367, 117.3438
352.8188, 136.6641
353.3009, 163.0273
353.7831, 184.4922
354.2652, 179.6406
354.7473, 149.6875
355.2294, 125.1328
355.7115, 136.3945
356.1936, 164.1602
356.6758, 182.3047
357.1579, 176.4688
357.6400, 168.0859
358.1221, 173.2656
358.6042, 189.1289
359.0863, 205.5820
359.5685, 220.4102
360.0506, 232.5195
360.5327, 239.5703
361.0148, 237.5781
361.4969, 240.9453
361.9790, 257.7188
362.4612, 283.4141
362.9433, 310.8711
363.4254, 335.7070
363.9075, 363.4258
364.3896, 397.5391
364.8717, 439.0977
365.3539, 477.8789
365.8360, 517.2930
366.3181, 548.8203
366.8002, 567.0703
367.2823, 543.8672
367.7644, 537.2695
368.2466, 560.6836
368.7287, 610.5742
369.2108, 656.3984
369.6929, 701.8867
370.1750, 744.0000
370.6571, 780.1484
371.1393, 809.5664
371.6214, 834.2031
372.1035, 849.1992
372.5856, 861.3438
373.0677, 886.1523
373.5498, 927.7500
374.0320, 976.7422
374.5141, 1030.766
374.9962, 1090.211
375.4783, 1144.383
375.9604, 1190.062
376.4425, 1233.211
376.9247, 1283.137
377.4068, 1341.953
377.8889, 1397.129
378.3710, 1442.293
378.8531, 1480.305
379.3352, 1527.188
379.8174, 1582.020
380.2995, 1639.934
380.7816, 1693.258
381.2637, 1745.285
381.7458, 1815.512
382.2279, 1913.012
382.7101, 2018.055
383.1922, 2097.914
383.6743, 2156.602
384.1564, 2216.312
384.6385, 2290.047
385.1206, 2374.258
385.6028, 2464.969
386.0849, 2562.707
