##NAMES=Gartrellite
##RRUFFID=R060881
##IDEAL CHEMISTRY=Pb^2+^Cu^2+^Fe^3+^(As^5+^O_4_)_2_(OH)&#183;H_2_O
##LOCALITY=Ashburton Downs, Western Australia
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Yellow grainy incrustations
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060881
##MEASURED CHEMISTRY=Pb_1.00_Cu_1.00_(Fe^3+^_0.77_Cu_0.18_Al_0.04_Zn_0.01_)_Σ=1_((As_0.97_S_0.03_)_Σ=1_O_4_)_2_(OH)_0.87_·H_2_O; trace amounts of P; OH estimated by charge balance, H_2_O by difference
222.2853, 18392.20
222.7674, 18326.14
223.2496, 18257.92
223.7317, 18184.44
224.2138, 18120.10
224.6959, 18061.00
225.1780, 18013.92
225.6601, 17992.44
226.1423, 18014.06
226.6244, 18030.94
227.1065, 18022.32
227.5886, 17974.83
228.0707, 17942.54
228.5528, 17928.34
229.0350, 17927.12
229.5171, 17927.85
229.9992, 17925.99
230.4813, 17932.45
230.9634, 17953.14
231.4455, 17996.63
231.9276, 18033.04
232.4098, 18063.68
232.8919, 18087.02
233.3740, 18097.16
233.8561, 18087.23
234.3382, 18075.23
234.8203, 18068.19
235.3025, 18067.27
235.7846, 18069.93
236.2667, 18079.09
236.7488, 18091.48
237.2309, 18099.48
237.7130, 18109.34
238.1952, 18106.19
238.6773, 18081.13
239.1594, 18019.65
239.6415, 17970.30
240.1236, 17945.85
240.6057, 17931.45
241.0879, 17879.59
241.5700, 17763.80
242.0521, 17649.46
242.5342, 17572.04
243.0163, 17569.63
243.4984, 17517.70
243.9806, 17387.19
244.4627, 17208.78
244.9448, 17079.27
245.4269, 17026.37
245.9090, 16982.08
246.3911, 16912.31
246.8732, 16800.50
247.3554, 16698.17
247.8375, 16609.12
248.3196, 16529.68
248.8017, 16449.81
249.2838, 16376.15
249.7659, 16293.72
250.2481, 16189.73
250.7302, 16040.40
251.2123, 15928.42
251.6944, 15869.65
252.1765, 15849.04
252.6586, 15813.51
253.1408, 15743.25
253.6229, 15690.36
254.1050, 15685.43
254.5871, 15753.00
255.0692, 15808.83
255.5513, 15853.33
256.0334, 15883.83
256.5156, 15889.46
256.9977, 15856.09
257.4798, 15820.64
257.9619, 15801.25
258.4440, 15800.39
258.9261, 15806.92
259.4083, 15820.26
259.8904, 15840.00
260.3725, 15864.21
260.8546, 15889.75
261.3367, 15924.94
261.8188, 15978.88
262.3010, 16065.36
262.7831, 16127.23
263.2652, 16159.86
263.7473, 16167.38
264.2294, 16160.16
264.7115, 16133.31
265.1937, 16101.92
265.6758, 16075.36
266.1579, 16057.80
266.6400, 16028.77
267.1221, 15981.68
267.6042, 15926.53
268.0864, 15891.95
268.5685, 15883.67
269.0506, 15881.51
269.5327, 15873.10
270.0148, 15854.41
270.4969, 15852.89
270.9791, 15875.06
271.4612, 15910.98
271.9433, 15935.54
272.4254, 15945.04
272.9075, 15956.30
273.3896, 15981.13
273.8718, 16022.74
274.3539, 16050.92
274.8360, 16060.89
275.3181, 16061.33
275.8002, 16070.38
276.2823, 16089.17
276.7645, 16110.44
277.2466, 16131.93
277.7287, 16153.69
278.2108, 16171.15
278.6929, 16182.75
279.1750, 16191.70
279.6572, 16204.51
280.1393, 16221.58
280.6214, 16237.66
281.1035, 16246.00
281.5856, 16246.66
282.0677, 16264.78
282.5499, 16305.79
283.0320, 16353.87
283.5141, 16383.44
283.9962, 16393.90
284.4783, 16398.29
284.9604, 16398.91
285.4425, 16396.88
285.9247, 16402.53
286.4068, 16415.64
286.8889, 16437.89
287.3710, 16475.43
287.8531, 16527.83
288.3352, 16580.27
288.8174, 16622.41
289.2995, 16657.88
289.7816, 16705.62
290.2637, 16765.04
290.7458, 16834.59
291.2279, 16923.78
291.7101, 17027.71
292.1922, 17110.11
292.6743, 17137.77
293.1564, 17132.44
293.6385, 17159.17
294.1206, 17219.97
294.6028, 17297.52
295.0849, 17376.12
295.5670, 17457.14
296.0491, 17545.88
296.5312, 17647.21
297.0133, 17756.75
297.4955, 17867.28
297.9776, 17977.55
298.4597, 18085.62
298.9418, 18183.40
299.4239, 18275.96
299.9060, 18375.56
300.3882, 18490.25
300.8703, 18610.99
301.3524, 18721.43
301.8345, 18821.45
302.3166, 18919.35
302.7987, 19024.41
303.2809, 19131.08
303.7630, 19232.31
304.2451, 19323.87
304.7272, 19408.02
305.2093, 19477.96
305.6914, 19536.89
306.1736, 19605.20
306.6557, 19717.62
307.1378, 19843.46
307.6199, 19940.79
308.1020, 19988.33
308.5841, 20019.67
309.0663, 20064.16
309.5484, 20118.50
310.0305, 20163.76
310.5126, 20180.00
310.9947, 20187.41
311.4768, 20206.01
311.9590, 20245.67
312.4411, 20287.81
312.9232, 20314.15
313.4053, 20332.60
313.8874, 20365.20
314.3695, 20440.24
314.8517, 20522.77
315.3337, 20588.82
315.8159, 20633.66
316.2980, 20662.99
316.7801, 20665.79
317.2622, 20655.30
317.7443, 20659.00
318.2264, 20688.55
318.7086, 20734.10
319.1907, 20792.69
319.6728, 20867.20
320.1549, 20945.21
320.6370, 21031.02
321.1191, 21116.76
321.6013, 21190.86
322.0834, 21223.56
322.5655, 21266.43
323.0476, 21337.54
323.5297, 21441.05
324.0118, 21557.91
324.4940, 21690.63
324.9761, 21832.94
325.4582, 21977.89
325.9403, 22142.05
326.4224, 22290.95
326.9045, 22403.90
327.3867, 22470.24
327.8688, 22580.38
328.3509, 22762.30
328.8330, 22974.21
329.3151, 23184.77
329.7972, 23401.91
330.2794, 23607.59
330.7615, 23791.12
331.2436, 23955.16
331.7257, 24148.00
332.2078, 24386.88
332.6899, 24639.47
333.1721, 24879.93
333.6542, 25074.92
334.1363, 25322.38
334.6184, 25647.22
335.1005, 26033.01
335.5826, 26417.49
336.0648, 26801.00
336.5469, 27184.35
337.0290, 27574.38
337.5111, 27978.91
337.9932, 28361.81
338.4753, 28706.04
338.9575, 29035.37
339.4396, 29421.21
339.9217, 29879.42
340.4038, 30338.98
340.8859, 30767.46
341.3680, 31158.74
341.8502, 31561.59
342.3323, 31974.72
342.8144, 32390.22
343.2965, 32791.73
343.7786, 33184.27
344.2607, 33540.91
344.7429, 33845.02
345.2250, 34103.39
345.7071, 34366.70
346.1892, 34642.43
346.6713, 34907.21
347.1534, 35156.08
347.6355, 35382.68
348.1176, 35553.45
348.5998, 35644.18
349.0819, 35675.76
349.5640, 35693.97
350.0461, 35697.82
350.5282, 35682.25
351.0103, 35642.42
351.4925, 35579.01
351.9746, 35495.84
352.4567, 35405.65
352.9388, 35282.69
353.4209, 35078.21
353.9030, 34803.09
354.3852, 34520.52
354.8673, 34313.54
355.3494, 34111.06
355.8315, 33813.13
356.3136, 33368.88
356.7957, 32894.70
357.2779, 32485.58
357.7600, 32121.45
358.2421, 31754.13
358.7242, 31362.62
359.2063, 30952.71
359.6884, 30520.16
360.1706, 30052.92
360.6527, 29605.58
361.1348, 29225.12
361.6169, 28875.17
362.0990, 28505.13
362.5811, 28072.09
363.0633, 27633.04
363.5454, 27216.25
364.0275, 26827.23
364.5096, 26424.09
364.9917, 25981.08
365.4738, 25525.80
365.9560, 25082.99
366.4381, 24667.47
366.9202, 24260.33
367.4023, 23848.31
367.8844, 23432.78
368.3665, 23049.98
368.8487, 22721.73
369.3308, 22412.31
369.8129, 22103.55
370.2950, 21792.09
370.7771, 21487.82
371.2592, 21186.93
371.7414, 20894.48
372.2235, 20619.64
372.7056, 20367.75
373.1877, 20123.98
373.6698, 19877.19
374.1519, 19610.23
374.6341, 19395.84
375.1162, 19249.91
375.5983, 19143.93
376.0804, 19026.91
376.5625, 18894.23
377.0446, 18770.91
377.5267, 18672.80
378.0089, 18598.54
378.4910, 18503.94
378.9731, 18382.46
379.4552, 18262.68
379.9373, 18186.78
380.4194, 18153.68
380.9016, 18112.13
381.3837, 18032.82
381.8658, 17941.95
382.3479, 17925.39
382.8300, 17984.30
383.3121, 18056.40
383.7943, 18075.45
384.2764, 18064.40
384.7585, 18097.55
385.2406, 18202.99
385.7227, 18332.77
386.2048, 18408.46
386.6870, 18444.03
387.1691, 18498.83
387.6512, 18622.03
388.1333, 18777.88
388.6154, 18923.61
389.0975, 19050.81
389.5797, 19176.94
390.0618, 19313.46
390.5439, 19457.90
391.0260, 19602.79
391.5081, 19722.58
391.9902, 19859.27
392.4724, 20064.18
392.9545, 20340.55
393.4366, 20576.48
393.9187, 20698.85
394.4008, 20769.20
394.8829, 20846.62
395.3651, 20946.58
395.8472, 21054.69
396.3293, 21168.30
396.8114, 21287.30
397.2935, 21411.21
397.7756, 21547.39
398.2578, 21682.19
398.7399, 21810.82
399.2220, 21949.77
399.7041, 22054.86
400.1862, 22106.82
400.6683, 22127.75
401.1505, 22164.04
401.6326, 22241.69
402.1147, 22298.81
402.5968, 22314.54
403.0789, 22283.55
403.5610, 22245.99
404.0432, 22201.34
404.5253, 22151.34
405.0074, 22100.47
405.4895, 22052.72
405.9716, 21985.54
406.4537, 21884.20
406.9359, 21759.91
407.4180, 21672.87
407.9001, 21626.87
408.3822, 21597.73
408.8643, 21570.59
409.3464, 21545.00
409.8285, 21515.14
410.3106, 21477.27
410.7928, 21441.23
411.2749, 21431.06
411.7570, 21442.59
412.2391, 21443.33
412.7212, 21391.50
413.2033, 21321.47
413.6855, 21305.47
414.1676, 21350.37
414.6497, 21416.47
415.1318, 21480.54
415.6139, 21538.13
416.0960, 21579.83
416.5782, 21591.22
417.0603, 21593.21
417.5424, 21595.63
418.0245, 21599.92
418.5066, 21618.01
418.9887, 21659.99
419.4709, 21716.19
419.9530, 21780.82
420.4351, 21861.22
420.9172, 21935.29
421.3993, 21992.24
421.8814, 22037.59
422.3636, 22083.45
422.8457, 22128.98
423.3278, 22179.57
423.8099, 22239.41
424.2920, 22315.13
424.7741, 22381.34
425.2563, 22430.59
425.7384, 22473.89
426.2205, 22521.47
426.7026, 22577.44
427.1847, 22631.03
427.6668, 22676.14
428.1490, 22714.72
428.6311, 22768.49
429.1132, 22842.20
429.5953, 22922.98
430.0774, 23006.40
430.5595, 23096.18
431.0417, 23161.13
431.5238, 23190.42
432.0059, 23203.37
432.4880, 23241.04
432.9701, 23304.71
433.4522, 23367.54
433.9344, 23413.49
434.4165, 23447.57
434.8986, 23496.91
435.3807, 23562.97
435.8628, 23633.75
436.3449, 23698.79
436.8271, 23759.13
437.3092, 23817.73
437.7913, 23876.03
438.2734, 23931.63
438.7555, 23978.62
439.2376, 24018.76
439.7197, 24061.09
440.2018, 24099.46
440.6840, 24148.29
441.1661, 24229.47
441.6482, 24360.51
442.1303, 24476.38
442.6124, 24521.60
443.0945, 24533.20
443.5767, 24569.49
444.0588, 24682.13
444.5409, 24792.54
445.0230, 24860.32
445.5051, 24880.41
445.9872, 24930.72
446.4694, 25031.77
446.9515, 25162.43
447.4336, 25308.37
447.9157, 25472.33
448.3978, 25648.24
448.8799, 25834.95
449.3621, 26033.71
449.8442, 26241.76
450.3263, 26454.86
450.8084, 26682.90
451.2905, 26927.81
451.7726, 27185.23
452.2548, 27477.17
452.7369, 27812.70
453.2190, 28165.46
453.7011, 28501.34
454.1832, 28817.09
454.6653, 29164.22
455.1475, 29565.88
455.6296, 30004.04
456.1117, 30441.25
456.5938, 30874.42
457.0759, 31327.94
457.5580, 31830.63
458.0402, 32361.63
458.5223, 32871.75
459.0044, 33355.84
459.4865, 33830.79
459.9686, 34334.10
460.4507, 34844.11
460.9329, 35328.93
461.4150, 35800.77
461.8971, 36208.50
462.3792, 36532.05
462.8613, 36766.28
463.3434, 36885.90
463.8256, 36880.18
464.3077, 36752.21
464.7898, 36501.29
465.2719, 36076.76
465.7540, 35593.93
466.2361, 35034.59
466.7183, 34425.73
467.2004, 33854.56
467.6825, 33326.31
468.1646, 32837.77
468.6467, 32377.04
469.1288, 31935.35
469.6110, 31574.62
470.0930, 31310.95
470.5752, 31106.04
471.0573, 30917.86
471.5394, 30740.15
472.0215, 30605.86
472.5036, 30523.42
472.9857, 30486.34
473.4679, 30486.01
473.9500, 30526.65
474.4321, 30561.60
474.9142, 30542.56
475.3963, 30489.48
475.8784, 30497.13
476.3606, 30577.50
476.8427, 30686.85
477.3248, 30782.05
477.8069, 30867.68
478.2890, 30952.26
478.7711, 31029.04
479.2533, 31116.24
479.7354, 31232.71
480.2175, 31376.75
480.6996, 31538.14
481.1817, 31710.45
481.6638, 31895.50
482.1460, 32089.40
482.6281, 32275.33
483.1102, 32504.68
483.5923, 32805.42
484.0744, 33155.27
484.5565, 33523.82
485.0387, 33923.71
485.5208, 34315.03
486.0029, 34670.60
486.4850, 34990.94
486.9671, 35375.37
487.4492, 35854.64
487.9314, 36359.23
488.4135, 36844.67
488.8956, 37290.95
489.3777, 37774.23
489.8598, 38313.71
490.3419, 38881.98
490.8241, 39429.30
491.3062, 39952.03
491.7883, 40512.37
492.2704, 41163.63
492.7525, 41873.20
493.2346, 42531.07
493.7168, 43125.02
494.1989, 43697.17
494.6810, 44292.04
495.1631, 44884.84
495.6452, 45432.64
496.1273, 45914.67
496.6095, 46364.64
497.0916, 46817.00
497.5737, 47253.29
498.0558, 47634.82
498.5379, 47972.21
499.0201, 48222.28
499.5022, 48360.11
499.9843, 48386.24
500.4664, 48291.03
500.9485, 48037.54
501.4306, 47683.40
501.9127, 47273.68
502.3948, 46844.29
502.8770, 46324.30
503.3591, 45702.95
503.8412, 44993.06
504.3233, 44202.48
504.8054, 43310.18
505.2875, 42370.96
505.7697, 41392.32
506.2518, 40364.48
506.7339, 39322.40
507.2160, 38266.19
507.6981, 37194.31
508.1802, 36087.81
508.6624, 34947.63
509.1445, 33863.22
509.6266, 32856.22
510.1087, 31896.45
510.5908, 30925.40
511.0729, 29951.07
511.5551, 29018.27
512.0372, 28147.00
512.5193, 27329.72
513.0014, 26574.42
513.4835, 25876.92
513.9656, 25212.64
514.4478, 24557.96
514.9299, 23930.14
515.4120, 23349.70
515.8941, 22838.36
516.3762, 22343.78
516.8583, 21850.30
517.3405, 21361.07
517.8226, 20886.97
518.3047, 20404.61
518.7868, 19962.21
519.2689, 19584.88
519.7510, 19276.42
520.2332, 18970.24
520.7153, 18677.84
521.1974, 18383.14
521.6795, 18070.53
522.1616, 17724.40
522.6437, 17416.38
523.1259, 17162.89
523.6080, 16941.27
524.0901, 16710.47
524.5722, 16467.88
525.0543, 16233.19
525.5364, 16008.75
526.0186, 15795.25
526.5007, 15591.59
526.9828, 15399.52
527.4649, 15225.46
527.9470, 15084.93
528.4291, 14964.32
528.9113, 14835.98
529.3934, 14693.52
529.8755, 14551.19
530.3576, 14424.36
530.8397, 14304.60
531.3218, 14174.81
531.8040, 14003.32
532.2861, 13845.51
532.7682, 13740.58
533.2503, 13683.24
533.7324, 13603.37
534.2145, 13454.81
534.6967, 13310.02
535.1788, 13204.54
535.6609, 13158.36
536.1430, 13108.79
536.6251, 13057.88
537.1072, 13002.93
537.5894, 12940.12
538.0715, 12868.26
538.5536, 12795.37
539.0357, 12722.06
539.5178, 12650.51
539.9999, 12587.63
540.4821, 12534.14
540.9642, 12482.48
541.4463, 12419.11
541.9284, 12354.63
542.4105, 12317.09
542.8926, 12310.82
543.3748, 12308.84
543.8569, 12290.46
544.3390, 12260.23
544.8211, 12224.55
545.3032, 12180.23
545.7853, 12136.41
546.2675, 12098.35
546.7495, 12064.50
547.2316, 12030.18
547.7137, 11982.17
548.1959, 11944.62
548.6780, 11933.80
549.1601, 11960.48
549.6422, 11959.34
550.1243, 11915.93
550.6064, 11859.09
551.0886, 11810.99
551.5707, 11773.29
552.0528, 11737.19
552.5349, 11697.98
553.0170, 11664.99
553.4991, 11663.80
553.9813, 11694.83
554.4634, 11722.36
554.9455, 11730.10
555.4276, 11724.01
555.9097, 11718.48
556.3918, 11713.45
556.8740, 11706.45
557.3561, 11699.40
557.8382, 11688.00
558.3203, 11663.11
558.8024, 11617.03
559.2845, 11579.07
559.7667, 11571.74
560.2488, 11581.04
560.7309, 11587.36
561.2130, 11578.34
561.6951, 11572.91
562.1772, 11574.99
562.6594, 11584.62
563.1415, 11601.55
563.6236, 11638.04
564.1057, 11665.69
564.5878, 11669.04
565.0699, 11642.09
565.5521, 11628.57
566.0342, 11628.64
566.5163, 11641.64
566.9984, 11677.17
567.4805, 11733.46
567.9626, 11762.33
568.4448, 11747.32
568.9269, 11715.84
569.4090, 11708.47
569.8911, 11722.15
570.3732, 11744.45
570.8553, 11782.28
571.3375, 11817.29
571.8196, 11823.95
572.3017, 11804.58
572.7838, 11789.54
573.2659, 11797.60
573.7480, 11813.71
574.2302, 11825.96
574.7123, 11826.11
575.1944, 11835.64
575.6765, 11869.70
576.1586, 11910.54
576.6407, 11934.98
577.1229, 11932.09
577.6050, 11933.59
578.0871, 11947.57
578.5692, 11969.62
579.0513, 11979.13
579.5334, 11973.38
580.0156, 11969.32
580.4977, 11971.29
580.9798, 11981.30
581.4619, 12014.30
581.9440, 12071.18
582.4261, 12135.78
582.9083, 12196.90
583.3904, 12253.25
583.8725, 12304.71
584.3546, 12353.54
584.8367, 12390.93
585.3188, 12389.94
585.8010, 12375.89
586.2831, 12394.84
586.7652, 12507.52
587.2473, 12611.53
587.7294, 12664.90
588.2115, 12670.44
588.6937, 12685.44
589.1758, 12721.07
589.6579, 12757.18
590.1400, 12782.24
590.6221, 12790.03
591.1042, 12819.86
591.5864, 12879.74
592.0685, 12944.74
592.5506, 12982.44
593.0327, 12994.37
593.5148, 13020.22
593.9969, 13071.21
594.4791, 13133.23
594.9612, 13185.37
595.4433, 13230.04
595.9254, 13274.59
596.4075, 13326.76
596.8896, 13377.90
597.3718, 13418.53
597.8539, 13449.63
598.3360, 13479.06
598.8181, 13506.54
599.3002, 13536.42
599.7823, 13572.99
600.2645, 13622.78
600.7466, 13663.17
601.2287, 13685.87
601.7108, 13702.47
602.1929, 13725.14
602.6750, 13758.95
603.1572, 13784.13
603.6393, 13794.89
604.1214, 13798.60
604.6035, 13812.32
605.0856, 13836.26
605.5677, 13866.57
606.0499, 13911.48
606.5320, 13958.55
607.0141, 13972.73
607.4962, 13956.42
607.9783, 13938.74
608.4604, 13940.97
608.9425, 13952.68
609.4246, 13963.92
609.9067, 13974.02
610.3889, 13979.73
610.8710, 13986.83
611.3531, 13985.51
611.8352, 13965.66
612.3173, 13892.70
612.7994, 13842.43
613.2816, 13832.03
613.7637, 13846.47
614.2458, 13850.23
614.7279, 13843.69
615.2100, 13825.54
615.6921, 13791.01
616.1743, 13744.07
616.6564, 13712.23
617.1385, 13696.48
617.6206, 13682.28
618.1027, 13659.96
618.5848, 13631.18
619.0670, 13597.29
619.5491, 13557.70
620.0312, 13519.51
620.5133, 13502.28
620.9954, 13484.10
621.4775, 13434.28
621.9597, 13304.40
622.4418, 13198.97
622.9239, 13172.75
623.4060, 13192.04
623.8881, 13189.28
624.3702, 13142.00
624.8524, 13090.84
625.3345, 13043.40
625.8166, 12998.80
626.2987, 12949.98
626.7808, 12893.17
627.2629, 12843.74
627.7451, 12821.80
628.2272, 12821.22
628.7093, 12776.05
629.1914, 12681.41
629.6735, 12585.90
630.1556, 12543.83
630.6378, 12533.39
631.1199, 12516.83
631.6020, 12483.95
632.0841, 12450.32
632.5662, 12429.71
633.0483, 12414.60
633.5305, 12393.32
634.0126, 12359.26
634.4947, 12322.73
634.9768, 12283.03
635.4589, 12242.04
635.9410, 12208.98
636.4232, 12187.73
636.9053, 12167.46
637.3874, 12146.00
637.8695, 12122.99
638.3516, 12090.36
638.8337, 12047.93
639.3159, 11994.37
639.7980, 11913.97
640.2801, 11819.72
640.7622, 11761.46
641.2443, 11747.46
641.7264, 11745.45
642.2086, 11728.17
642.6907, 11702.84
643.1728, 11680.14
643.6549, 11665.61
644.1370, 11651.32
644.6191, 11635.88
645.1013, 11618.37
645.5834, 11596.48
646.0655, 11562.21
646.5476, 11532.13
647.0297, 11507.21
647.5118, 11488.23
647.9940, 11487.41
648.4761, 11512.95
648.9582, 11529.89
649.4403, 11512.11
649.9224, 11464.78
650.4045, 11433.77
650.8867, 11419.38
651.3688, 11409.15
651.8509, 11386.83
652.3330, 11362.54
652.8151, 11357.76
653.2972, 11383.33
653.7794, 11403.19
654.2615, 11384.36
654.7436, 11350.77
655.2257, 11332.25
655.7078, 11357.48
656.1899, 11373.38
656.6721, 11365.83
657.1542, 11343.45
657.6363, 11325.00
658.1184, 11311.52
658.6005, 11298.61
659.0826, 11282.41
659.5648, 11265.62
660.0469, 11269.61
660.5290, 11295.70
661.0111, 11310.25
661.4932, 11276.27
661.9753, 11219.61
662.4575, 11193.42
662.9396, 11200.56
663.4217, 11212.33
663.9038, 11202.35
664.3859, 11190.91
664.8680, 11200.82
665.3502, 11251.08
665.8323, 11287.58
666.3144, 11282.11
666.7965, 11262.78
667.2786, 11263.94
667.7607, 11298.85
668.2429, 11326.32
668.7250, 11336.22
669.2071, 11339.28
669.6892, 11368.25
670.1713, 11424.66
670.6534, 11456.86
671.1355, 11429.31
671.6176, 11376.03
672.0997, 11376.69
672.5818, 11421.01
673.0640, 11453.67
673.5461, 11422.49
674.0282, 11379.70
674.5103, 11372.19
674.9924, 11404.13
675.4745, 11431.03
675.9567, 11434.49
676.4388, 11431.86
676.9209, 11435.08
677.4030, 11450.99
677.8851, 11453.72
678.3672, 11433.44
678.8494, 11413.36
679.3315, 11420.25
679.8136, 11454.72
680.2957, 11489.99
680.7778, 11518.57
681.2599, 11552.10
681.7421, 11621.44
682.2242, 11710.59
682.7063, 11770.76
683.1884, 11756.14
683.6705, 11734.98
684.1526, 11766.63
684.6348, 11833.54
685.1169, 11887.97
685.5990, 11903.00
686.0811, 11913.91
686.5632, 11933.62
687.0453, 11961.60
687.5275, 11988.27
688.0096, 12012.38
688.4917, 12038.28
688.9738, 12070.95
689.4559, 12110.04
689.9380, 12138.43
690.4202, 12154.64
690.9023, 12172.53
691.3844, 12209.86
691.8665, 12256.09
692.3486, 12288.10
692.8307, 12298.85
693.3129, 12314.94
693.7950, 12355.25
694.2771, 12410.57
694.7592, 12470.81
695.2413, 12563.87
695.7234, 12622.64
696.2056, 12615.41
696.6877, 12576.57
697.1698, 12554.20
697.6519, 12546.75
698.1340, 12563.12
698.6161, 12613.01
699.0983, 12681.90
699.5804, 12735.32
700.0625, 12773.16
700.5446, 12796.31
701.0267, 12776.98
701.5089, 12759.41
701.9910, 12823.67
702.4731, 12953.96
702.9552, 13063.98
703.4373, 13085.45
703.9194, 13090.30
704.4016, 13124.00
704.8837, 13194.60
705.3658, 13253.23
705.8479, 13291.00
706.3300, 13320.90
706.8121, 13346.32
707.2943, 13361.67
707.7764, 13402.92
708.2585, 13474.10
