##NAMES=Furutobeite
##RRUFFID=R060937
##IDEAL CHEMISTRY=(Cu^1+^,Ag^1+^)_6_Pb^2+^S^2-^_4_
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Steel gray metallic elongated prisms, associated with quartz, tennantite, and djurleite.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060937
##MEASURED CHEMISTRY=(Cu_4.97_Ag_1.07_)Pb_1.03_S_4_ ; (Dark areas are djurleite, Cu_1.89_Ag_0.02_S)
148.2624, 133.8355
148.7445, 133.7134
149.2267, 133.7510
149.7088, 133.7488
150.1909, 133.8021
150.6730, 133.7553
151.1551, 133.4042
151.6372, 132.7752
152.1194, 132.1844
152.6015, 132.0513
153.0836, 132.6655
153.5657, 132.9637
154.0478, 132.7100
154.5299, 132.2537
155.0121, 131.9313
155.4942, 131.8291
155.9763, 131.8438
156.4584, 131.8266
156.9405, 131.7665
157.4227, 131.7596
157.9048, 131.8676
158.3869, 132.0452
158.8690, 132.2115
159.3511, 132.3745
159.8332, 132.4658
160.3154, 132.3898
160.7975, 132.1439
161.2796, 131.8915
161.7617, 131.7263
162.2438, 131.6441
162.7259, 131.6028
163.2081, 131.6278
163.6902, 131.6649
164.1723, 131.7152
164.6544, 131.7764
165.1365, 131.7453
165.6186, 131.4710
166.1008, 130.8923
166.5829, 130.3537
167.0650, 129.7890
167.5471, 129.3602
168.0292, 129.2274
168.5113, 129.4194
168.9935, 129.7839
169.4756, 130.1004
169.9577, 130.4707
170.4398, 130.5655
170.9219, 130.1007
171.4040, 129.5392
171.8862, 129.3254
172.3683, 129.6117
172.8504, 130.1418
173.3325, 130.3053
173.8146, 129.6473
174.2967, 129.1324
174.7789, 128.8541
175.2610, 128.7085
175.7431, 128.5549
176.2252, 128.3230
176.7073, 128.0819
177.1894, 128.0732
177.6716, 128.5820
178.1537, 128.9482
178.6358, 128.9015
179.1179, 128.6325
179.6000, 128.5487
180.0821, 128.9087
180.5643, 129.5043
181.0464, 129.6714
181.5285, 129.1275
182.0106, 128.6489
182.4927, 128.6525
182.9749, 129.0559
183.4570, 129.5092
183.9391, 129.9315
184.4212, 130.2289
184.9033, 130.2427
185.3854, 129.8093
185.8676, 129.3582
186.3497, 129.3417
186.8318, 129.7773
187.3139, 130.0330
187.7960, 129.7244
188.2781, 129.1140
188.7603, 128.4069
189.2424, 127.5375
189.7245, 126.8099
190.2066, 126.7476
190.6887, 127.5836
191.1708, 128.2337
191.6530, 128.1206
192.1351, 127.7436
192.6172, 127.4820
193.0993, 127.4573
193.5814, 127.6539
194.0635, 128.1336
194.5457, 129.2611
195.0278, 129.9074
195.5099, 129.6605
195.9920, 128.9881
196.4741, 128.3161
196.9562, 127.8317
197.4384, 127.4775
197.9205, 127.0663
198.4026, 126.3466
198.8847, 125.9470
199.3668, 126.1182
199.8489, 126.5676
200.3311, 126.9635
200.8132, 127.1366
201.2953, 127.1630
201.7774, 127.3424
202.2595, 128.2244
202.7416, 128.6376
203.2238, 128.0182
203.7059, 126.9530
204.1880, 126.2941
204.6701, 126.5188
205.1522, 127.4037
205.6344, 127.9540
206.1165, 127.8856
206.5986, 127.8545
207.0807, 128.1570
207.5628, 128.5844
208.0449, 128.6557
208.5271, 128.0307
209.0092, 126.9963
209.4913, 126.7771
209.9734, 128.3257
210.4555, 129.3860
210.9376, 128.6245
211.4198, 126.6662
211.9019, 125.2730
212.3840, 125.4488
212.8661, 126.7006
213.3482, 127.5605
213.8303, 127.9800
214.3125, 128.1375
214.7946, 127.9662
215.2767, 127.5396
215.7588, 127.2892
216.2409, 127.5395
216.7230, 127.9810
217.2052, 127.9974
217.6873, 127.3553
218.1694, 126.7742
218.6515, 126.9977
219.1336, 127.9857
219.6157, 128.6286
220.0979, 128.2788
220.5800, 127.5006
221.0621, 126.8943
221.5442, 126.5279
222.0263, 126.3136
222.5084, 126.1675
222.9906, 126.0845
223.4727, 126.1217
223.9548, 126.4735
224.4369, 126.8481
224.9190, 126.9990
225.4011, 126.8731
225.8833, 126.6736
226.3654, 126.6839
226.8475, 126.9807
227.3296, 127.1132
227.8117, 126.6666
228.2938, 126.2304
228.7760, 126.2704
229.2581, 126.8602
229.7402, 127.5694
230.2223, 127.7634
230.7044, 127.2052
231.1866, 126.8920
231.6687, 127.1547
232.1508, 127.5156
232.6329, 127.7336
233.1150, 127.7449
233.5971, 127.5768
234.0793, 127.1387
234.5614, 125.9858
235.0435, 125.7255
235.5256, 127.3061
236.0077, 128.9849
236.4898, 129.6171
236.9720, 129.0434
237.4541, 127.9419
237.9362, 127.2068
238.4183, 126.9710
238.9004, 126.8214
239.3825, 126.6364
239.8647, 126.6050
240.3468, 127.0132
240.8289, 127.8138
241.3110, 128.5651
241.7931, 128.6957
242.2752, 127.9108
242.7574, 127.3110
243.2395, 126.7693
243.7216, 126.4706
244.2037, 126.6811
244.6858, 127.3567
245.1679, 128.1006
245.6501, 128.4864
246.1322, 128.4520
246.6143, 128.1930
247.0964, 127.4518
247.5785, 126.7029
248.0606, 126.2201
248.5428, 126.0427
249.0249, 126.1192
249.5070, 126.4619
249.9891, 127.1415
250.4712, 127.4932
250.9533, 127.2332
251.4355, 126.8890
251.9176, 126.7993
252.3997, 126.9812
252.8818, 127.2982
253.3639, 127.7087
253.8460, 128.1924
254.3282, 128.3154
254.8103, 127.8130
255.2924, 127.1706
255.7745, 126.6834
256.2566, 126.3626
256.7387, 126.1422
257.2209, 126.0098
257.7030, 125.9455
258.1851, 125.8113
258.6672, 125.3755
259.1493, 125.0563
259.6314, 125.3078
260.1136, 126.0563
260.5957, 126.6061
261.0778, 126.4480
261.5599, 125.8023
262.0420, 125.4412
262.5241, 125.5058
263.0063, 125.6946
263.4884, 125.8288
263.9705, 125.9113
264.4526, 125.9618
264.9347, 125.9464
265.4168, 125.9358
265.8990, 126.0785
266.3811, 126.4842
266.8632, 126.8128
267.3453, 126.7955
267.8275, 126.4651
268.3096, 126.0457
268.7917, 125.4889
269.2738, 125.0075
269.7559, 124.8902
270.2380, 125.1996
270.7202, 125.5576
271.2023, 125.7707
271.6844, 125.8340
272.1665, 125.6824
272.6486, 125.1596
273.1307, 124.5608
273.6129, 124.1729
274.0950, 123.9931
274.5771, 123.8898
275.0592, 123.6867
275.5413, 123.4462
276.0234, 123.5979
276.5056, 124.5552
276.9877, 125.4481
277.4698, 125.5238
277.9519, 124.9202
278.4340, 124.3400
278.9161, 124.2264
279.3983, 124.4920
279.8804, 124.7591
280.3625, 125.0418
280.8446, 125.2635
281.3267, 125.4531
281.8088, 125.5632
282.2910, 125.4586
282.7731, 124.7918
283.2552, 123.8653
283.7373, 123.7998
284.2194, 125.1154
284.7015, 126.3244
285.1837, 126.6824
285.6658, 126.5155
286.1479, 126.2998
286.6300, 126.2803
287.1121, 126.3139
287.5942, 126.0115
288.0764, 125.1541
288.5585, 124.4821
289.0406, 124.3441
289.5227, 124.4804
290.0048, 124.6741
290.4869, 124.8765
290.9691, 125.0126
291.4512, 124.8814
291.9333, 124.3249
292.4154, 124.0144
292.8975, 124.4235
293.3796, 124.9692
293.8618, 125.1814
294.3439, 124.9411
294.8260, 124.5425
295.3081, 124.4021
295.7902, 124.6105
296.2723, 124.6468
296.7545, 124.1524
297.2366, 123.6529
297.7187, 123.5082
298.2008, 123.7214
298.6829, 123.9692
299.1650, 123.7897
299.6472, 123.0832
300.1293, 122.8902
300.6114, 123.9571
301.0935, 124.9494
301.5756, 125.2232
302.0577, 124.8769
302.5399, 124.3960
303.0220, 124.1886
303.5041, 124.2356
303.9862, 124.0768
304.4683, 123.4852
304.9504, 122.9448
305.4326, 122.5737
305.9147, 122.3815
306.3968, 122.3864
306.8789, 122.6414
307.3610, 123.0785
307.8431, 123.4008
308.3253, 123.5817
308.8074, 123.6773
309.2895, 123.6596
309.7716, 123.5957
310.2537, 123.5965
310.7358, 123.7281
311.2180, 123.8624
311.7001, 123.6444
312.1822, 122.7556
312.6643, 122.2291
313.1464, 122.4718
313.6285, 122.9800
314.1107, 123.3950
314.5928, 123.6117
315.0749, 123.6868
315.5570, 123.7090
316.0392, 123.7064
316.5213, 123.5417
317.0034, 122.9130
317.4855, 122.3379
317.9676, 122.1357
318.4497, 122.3104
318.9319, 122.6254
319.4140, 122.8552
319.8961, 122.9881
320.3782, 123.1530
320.8603, 123.4240
321.3424, 123.6564
321.8246, 123.8226
322.3067, 123.9080
322.7888, 123.8849
323.2709, 123.7055
323.7530, 123.3953
324.2351, 123.1434
324.7173, 122.9364
325.1994, 122.8172
325.6815, 122.8801
326.1636, 123.0056
326.6457, 123.0156
327.1278, 122.8055
327.6100, 122.4757
328.0921, 122.2676
328.5742, 122.2151
329.0563, 122.2174
329.5384, 122.3741
330.0205, 122.5015
330.5027, 122.3992
330.9848, 122.0109
331.4669, 121.5321
331.9490, 121.1701
332.4311, 120.8730
332.9132, 120.9253
333.3954, 121.9188
333.8775, 122.8767
334.3596, 123.2339
334.8417, 122.9781
335.3238, 122.4808
335.8059, 121.9627
336.2881, 121.4173
336.7702, 121.2181
337.2523, 121.6401
337.7344, 122.1320
338.2165, 122.5810
338.6986, 122.9057
339.1808, 122.9373
339.6629, 122.4582
340.1450, 121.6345
340.6271, 121.1054
341.1092, 121.0082
341.5913, 120.9501
342.0735, 120.6968
342.5556, 120.4178
343.0377, 120.3466
343.5198, 120.6040
344.0019, 120.9980
344.4840, 121.1661
344.9662, 121.0113
345.4483, 121.0609
345.9304, 121.9558
346.4125, 122.8307
346.8946, 122.9397
347.3767, 122.1732
347.8589, 121.2667
348.3410, 120.9432
348.8231, 121.1864
349.3052, 121.4028
349.7873, 121.5283
350.2694, 121.5850
350.7516, 121.5600
351.2337, 121.4752
351.7158, 121.4198
352.1979, 121.5221
352.6800, 121.6996
353.1621, 121.6457
353.6443, 121.2499
354.1264, 120.8638
354.6085, 120.7157
355.0906, 120.7075
355.5727, 120.6926
356.0548, 120.5971
356.5370, 120.5061
357.0191, 120.5314
357.5012, 120.6767
357.9833, 120.8988
358.4654, 121.2363
358.9475, 121.6126
359.4297, 121.9541
359.9118, 122.2684
360.3939, 122.4881
360.8760, 122.5643
361.3581, 122.5028
361.8402, 122.3151
362.3224, 121.9493
362.8045, 121.5412
363.2866, 121.1962
363.7687, 120.9142
364.2508, 120.7532
364.7329, 120.8188
365.2151, 120.9932
365.6972, 121.0381
366.1793, 120.9003
366.6614, 120.8446
367.1436, 121.1953
367.6257, 121.7931
368.1078, 122.1400
368.5899, 122.0913
369.0720, 121.8390
369.5541, 121.3740
370.0363, 120.7610
370.5184, 120.4870
371.0005, 120.9223
371.4826, 121.7114
371.9647, 122.0354
372.4468, 121.7626
372.9290, 121.4255
373.4111, 121.1907
373.8932, 121.0365
374.3753, 120.9437
374.8574, 120.9141
375.3395, 120.8984
375.8217, 120.8286
376.3038, 120.6959
376.7859, 120.5851
377.2680, 120.5166
377.7501, 120.4638
378.2322, 120.3980
378.7144, 120.3206
379.1965, 120.2527
379.6786, 120.1931
380.1607, 120.1553
380.6428, 120.2623
381.1249, 120.5839
381.6071, 120.9475
382.0892, 121.4648
382.5713, 121.9625
383.0534, 122.0671
383.5355, 121.5971
384.0176, 120.8111
384.4998, 120.2550
384.9819, 119.9887
385.4640, 119.8887
385.9461, 120.1521
386.4282, 120.4590
386.9103, 120.4731
387.3925, 120.1807
387.8746, 119.8814
388.3567, 119.9226
388.8388, 120.3858
389.3209, 120.5945
389.8030, 120.4138
390.2852, 120.1627
390.7673, 119.9009
391.2494, 119.6656
391.7315, 119.5224
392.2136, 119.5201
392.6957, 119.5971
393.1779, 119.4966
393.6600, 118.8033
394.1421, 118.5446
394.6242, 119.1386
395.1063, 119.9877
395.5884, 120.6393
396.0706, 120.9487
396.5527, 120.9180
397.0348, 120.3864
397.5169, 119.0487
397.9990, 118.4407
398.4811, 119.4849
398.9633, 120.4391
399.4454, 120.4657
399.9275, 119.8083
400.4096, 119.2337
400.8917, 119.3274
401.3738, 119.8822
401.8560, 119.9540
402.3381, 119.1966
402.8202, 118.6156
403.3023, 118.5485
403.7844, 118.7699
404.2665, 119.1466
404.7487, 119.6635
405.2308, 120.0497
405.7129, 119.8646
406.1950, 119.0675
406.6771, 118.4444
407.1592, 118.1169
407.6414, 118.0431
408.1235, 118.2455
408.6056, 118.6809
409.0877, 119.1349
409.5698, 119.5212
410.0519, 119.8322
410.5341, 120.0495
411.0162, 120.1662
411.4983, 120.2067
411.9804, 120.1099
412.4625, 119.9622
412.9446, 119.9225
413.4268, 120.0821
413.9089, 120.2412
414.3910, 120.2044
414.8731, 120.0149
415.3553, 119.8845
415.8374, 119.8898
416.3195, 119.9674
416.8016, 120.0503
417.2837, 120.1477
417.7658, 120.1723
418.2480, 120.0870
418.7301, 119.9246
419.2122, 119.6465
419.6943, 119.2644
420.1764, 119.0269
420.6585, 119.1662
421.1407, 119.6492
421.6228, 120.0148
422.1049, 120.0989
422.5870, 120.2596
423.0691, 120.9389
423.5512, 121.7446
424.0334, 121.8396
424.5155, 120.8613
424.9976, 119.4244
425.4797, 118.6886
425.9618, 119.1068
426.4439, 119.3720
426.9261, 119.4152
427.4082, 119.3680
427.8903, 119.2927
428.3724, 119.2115
428.8545, 119.1249
429.3366, 119.0045
429.8188, 118.8671
430.3009, 119.0696
430.7830, 120.3545
431.2651, 121.1553
431.7472, 120.7961
432.2293, 119.9823
432.7115, 119.6236
433.1936, 120.0464
433.6757, 120.7549
434.1578, 120.9116
434.6399, 120.3475
435.1220, 119.8267
435.6042, 119.2216
436.0863, 118.8306
436.5684, 118.9351
437.0505, 119.4140
437.5326, 119.8686
438.0147, 120.0212
438.4969, 119.9408
438.9790, 119.8579
439.4611, 119.7569
439.9432, 119.6937
440.4253, 119.6999
440.9074, 119.7527
441.3896, 119.8461
441.8717, 119.9895
442.3538, 120.1188
442.8359, 120.1946
443.3180, 120.2140
443.8001, 120.1275
444.2823, 119.8584
444.7644, 119.6069
445.2465, 119.7020
445.7286, 120.0383
446.2107, 120.0816
446.6928, 119.3613
447.1750, 118.5011
447.6571, 118.1716
448.1392, 118.3416
448.6213, 118.5858
449.1034, 118.7031
449.5855, 118.7269
450.0677, 118.7384
450.5498, 118.6870
451.0319, 118.7248
451.5140, 118.9442
451.9961, 119.2492
452.4782, 119.5643
452.9604, 119.8631
453.4425, 120.0571
453.9246, 120.0330
454.4067, 119.7594
454.8888, 119.6008
455.3709, 119.6661
455.8531, 119.7081
456.3352, 119.6411
456.8173, 119.4896
457.2994, 119.2647
457.7815, 118.9708
458.2636, 118.7048
458.7458, 118.7006
459.2279, 119.1795
459.7100, 119.4558
460.1921, 119.2836
460.6742, 119.1208
461.1563, 119.2499
461.6385, 119.6471
462.1206, 120.1235
462.6027, 120.5730
463.0848, 120.9730
463.5669, 121.2183
464.0491, 121.3373
464.5312, 121.2259
465.0133, 120.5694
465.4954, 119.8214
465.9775, 119.5208
466.4597, 119.8199
466.9418, 120.1359
467.4239, 119.7374
467.9060, 118.7812
468.3881, 118.3576
468.8702, 118.7604
469.3524, 119.4541
469.8345, 120.1745
470.3166, 120.8521
470.7987, 121.2137
471.2808, 121.1564
471.7629, 120.7863
472.2451, 119.9085
472.7272, 118.6900
473.2093, 118.0478
473.6914, 118.4848
474.1735, 119.4798
474.6556, 120.0159
475.1378, 119.9509
475.6199, 119.9934
476.1020, 120.4005
476.5841, 120.8549
477.0662, 121.1294
477.5483, 121.1814
478.0305, 120.9881
478.5126, 120.4981
478.9947, 119.7559
479.4768, 119.1761
479.9589, 118.4431
480.4410, 118.2664
480.9232, 119.3394
481.4053, 120.7015
481.8874, 121.3098
482.3695, 120.9460
482.8516, 120.2050
483.3337, 119.7952
483.8159, 119.7623
484.2980, 119.6690
484.7801, 119.3700
485.2622, 119.1811
485.7443, 119.1977
486.2264, 119.3958
486.7086, 119.7974
487.1907, 120.4814
487.6728, 121.1177
488.1549, 121.1459
488.6370, 120.5234
489.1191, 119.9668
489.6013, 119.5553
490.0834, 119.3587
490.5655, 119.5092
491.0476, 119.9502
491.5297, 120.2889
492.0118, 120.2859
492.4940, 120.1423
492.9761, 120.1085
493.4582, 120.1864
493.9403, 120.2813
494.4224, 120.3649
494.9045, 120.4174
495.3867, 120.3700
495.8688, 120.1563
496.3509, 120.0226
496.8330, 120.0734
497.3151, 120.2041
497.7972, 120.3849
498.2794, 120.5706
498.7615, 120.5266
499.2436, 119.9627
499.7257, 118.9442
500.2078, 118.6563
500.6899, 120.0641
501.1721, 121.0344
501.6542, 120.9670
502.1363, 120.4219
502.6184, 119.9601
503.1005, 119.7511
503.5826, 119.6959
504.0648, 119.7033
504.5469, 119.7859
505.0290, 119.8097
505.5111, 119.7489
505.9932, 119.6585
506.4753, 119.6196
506.9575, 119.5543
507.4396, 119.2616
507.9217, 118.5647
508.4038, 117.9659
508.8859, 118.2423
509.3680, 119.3368
509.8502, 120.2068
510.3323, 120.6099
510.8144, 120.7536
511.2965, 120.8182
511.7786, 120.8053
512.2607, 120.6872
512.7429, 120.3369
513.2250, 119.9739
513.7071, 119.8333
514.1892, 119.8602
514.6713, 119.7538
515.1534, 119.3263
515.6356, 118.8557
516.1177, 118.9087
516.5998, 119.7678
517.0819, 120.5486
517.5640, 121.6565
518.0461, 122.3308
518.5283, 121.6617
519.0104, 120.0257
519.4925, 118.6770
519.9746, 118.4656
520.4567, 119.0901
520.9388, 119.4097
521.4210, 119.1054
521.9031, 119.0976
522.3852, 119.8364
522.8673, 120.6093
523.3494, 120.8440
523.8315, 120.5645
524.3137, 120.2482
524.7958, 120.3458
525.2779, 120.6829
525.7600, 120.5389
526.2421, 119.7151
526.7242, 119.1667
527.2064, 119.6073
527.6885, 120.4011
528.1706, 120.7267
528.6527, 120.4600
529.1348, 120.1046
529.6169, 119.9127
530.0991, 119.7990
530.5812, 119.5508
531.0633, 119.1490
531.5454, 118.9526
532.0275, 119.3144
532.5096, 120.1109
532.9918, 120.4663
533.4739, 119.9551
533.9560, 119.6213
534.4381, 119.9616
534.9202, 120.4342
535.4023, 120.2731
535.8845, 119.4399
536.3666, 118.7296
536.8487, 119.0359
537.3308, 120.3543
537.8129, 121.0643
538.2951, 120.6108
538.7772, 120.2531
539.2593, 120.3310
539.7415, 120.6171
540.2236, 120.9230
540.7057, 121.1901
541.1878, 121.3179
541.6699, 121.1494
542.1520, 120.7266
542.6342, 120.3012
543.1163, 119.8105
543.5984, 119.5168
544.0805, 119.7153
544.5626, 120.2087
545.0447, 120.6482
545.5269, 120.9846
546.0090, 121.2690
546.4911, 121.6166
546.9732, 121.9162
547.4553, 121.8939
547.9374, 121.4887
548.4196, 120.9918
548.9017, 120.6559
549.3838, 120.4797
549.8659, 120.4968
550.3480, 120.9281
550.8301, 121.2545
551.3123, 121.2738
551.7944, 121.1356
552.2765, 121.0378
552.7586, 121.0284
553.2407, 120.9961
553.7228, 120.7755
554.2050, 120.3481
554.6871, 120.0780
555.1692, 120.0673
555.6513, 120.0746
556.1334, 119.9343
556.6155, 119.7901
557.0977, 119.8863
557.5798, 120.3251
558.0619, 120.7141
558.5440, 120.5768
559.0261, 120.0795
559.5082, 119.8731
559.9904, 120.0936
560.4725, 120.3878
560.9546, 120.4754
561.4367, 120.4070
561.9188, 120.4572
562.4009, 120.7436
562.8831, 121.0041
563.3652, 121.1560
563.8473, 121.2193
564.3294, 121.1880
564.8115, 121.0751
565.2936, 120.9816
565.7758, 121.0229
566.2579, 121.2000
566.7400, 121.2626
567.2221, 121.1207
567.7042, 120.9661
568.1863, 120.7103
568.6685, 120.5235
569.1506, 120.6347
569.6327, 121.0667
570.1148, 121.5515
570.5969, 121.8743
571.0790, 122.0346
571.5612, 121.9834
572.0433, 121.6391
572.5254, 121.3165
573.0075, 121.2280
573.4896, 121.2364
573.9717, 121.1262
574.4539, 120.8478
574.9360, 120.5748
575.4181, 120.3388
575.9002, 120.1808
576.3823, 120.2449
576.8644, 120.5129
577.3466, 120.6169
577.8287, 120.2147
578.3108, 119.4967
578.7929, 119.4026
579.2750, 120.6527
579.7571, 121.5960
580.2393, 122.0976
580.7214, 122.2987
581.2035, 122.2619
581.6856, 122.0248
582.1677, 121.6145
582.6498, 120.9741
583.1320, 120.2565
583.6141, 120.0420
584.0962, 120.4567
584.5783, 120.9476
585.0604, 121.5643
585.5425, 122.0362
586.0247, 122.1369
586.5068, 121.8712
586.9889, 121.3926
587.4710, 120.4649
587.9531, 119.5587
588.4352, 119.2442
588.9174, 119.4756
589.3995, 119.9927
589.8816, 120.7673
590.3637, 121.5199
590.8458, 121.7253
591.3279, 121.0623
591.8101, 120.7610
592.2922, 121.1924
592.7743, 121.6121
593.2564, 121.5741
593.7385, 121.2366
594.2206, 120.9169
594.7028, 120.7590
595.1849, 120.7677
595.6670, 121.0210
596.1491, 121.5777
596.6312, 121.9332
597.1133, 121.9654
597.5955, 121.9055
598.0776, 121.8271
598.5597, 121.7654
599.0418, 121.7878
599.5239, 121.9158
600.0060, 122.1255
600.4882, 122.5925
600.9703, 123.1083
601.4524, 123.0901
601.9345, 122.4116
602.4166, 121.5269
602.8987, 120.7666
603.3809, 120.1413
603.8630, 119.8734
604.3451, 120.0476
604.8272, 120.4126
605.3093, 121.2190
605.7914, 122.0109
606.2736, 122.2540
606.7557, 121.9517
607.2378, 121.6245
607.7199, 121.7737
608.2020, 122.2407
608.6841, 122.1864
609.1663, 121.4088
609.6484, 120.6873
610.1305, 120.0497
610.6126, 119.7263
611.0947, 120.0986
611.5768, 121.1299
612.0590, 121.9632
612.5411, 122.1919
613.0232, 122.0740
613.5053, 121.7578
613.9874, 121.3208
614.4695, 121.0738
614.9517, 121.1559
615.4338, 121.4432
615.9159, 121.7605
616.3980, 122.1724
616.8801, 122.3718
617.3622, 122.1924
617.8444, 122.0031
618.3265, 121.9354
618.8086, 121.9683
619.2907, 122.0744
619.7728, 122.2407
620.2549, 122.4009
620.7371, 122.4688
621.2192, 122.4464
621.7013, 122.3990
622.1834, 122.3402
622.6655, 122.2290
623.1476, 121.9098
623.6298, 121.5670
624.1119, 121.5826
624.5940, 122.1897
625.0761, 122.5375
625.5582, 121.9021
626.0403, 120.9771
626.5225, 120.6799
627.0046, 121.0328
627.4867, 121.5207
627.9688, 121.8400
628.4509, 121.9942
628.9330, 121.9764
629.4152, 121.5415
629.8973, 121.3908
630.3794, 121.8278
630.8615, 122.2551
631.3436, 122.3440
631.8257, 122.1442
632.3079, 121.8340
632.7900, 121.4643
633.2721, 121.1123
633.7542, 120.8709
634.2363, 120.7399
634.7184, 120.7388
635.2006, 120.8958
635.6827, 121.1112
636.1648, 121.3076
636.6469, 121.4872
637.1291, 121.6695
637.6112, 121.9576
638.0933, 122.1210
638.5754, 121.9924
639.0576, 121.7489
639.5397, 121.5362
640.0218, 121.4093
640.5039, 121.4645
640.9860, 121.8359
641.4681, 122.4007
641.9503, 122.5150
642.4324, 121.9497
642.9145, 121.5053
643.3966, 121.3318
643.8787, 121.3552
644.3608, 121.6614
644.8430, 122.1661
645.3251, 122.4903
645.8072, 122.3117
646.2893, 122.0355
646.7714, 122.0853
647.2535, 122.3837
647.7357, 122.7513
648.2178, 123.1543
648.6999, 123.3506
649.1820, 122.9926
649.6641, 122.0332
650.1462, 121.4970
650.6284, 121.8622
651.1105, 122.0309
651.5926, 121.5291
652.0747, 120.8832
652.5568, 120.6506
653.0389, 120.8845
653.5211, 121.2283
654.0032, 121.4491
654.4853, 121.5404
654.9674, 121.3928
655.4495, 120.9628
655.9316, 120.7950
656.4138, 121.1665
656.8959, 121.7612
657.3780, 122.1657
657.8601, 122.3846
658.3422, 122.6741
658.8243, 123.2689
659.3065, 123.7334
659.7886, 123.7613
660.2707, 123.5203
660.7528, 123.2501
661.2349, 123.0385
661.7170, 122.9272
662.1992, 123.0077
662.6813, 123.2635
663.1634, 123.2547
663.6455, 122.7484
664.1276, 122.4363
664.6097, 122.7990
665.0919, 123.2844
665.5740, 123.4284
666.0561, 123.2007
666.5382, 122.8042
667.0203, 122.0308
667.5024, 121.3550
667.9846, 121.4177
668.4667, 122.0378
668.9488, 122.5550
669.4309, 122.7251
669.9130, 122.7669
670.3951, 122.9974
670.8773, 123.4739
671.3594, 123.6762
671.8415, 123.5019
672.3236, 123.1625
672.8057, 122.4369
673.2878, 121.7225
673.7700, 121.5156
674.2521, 121.8533
674.7342, 122.2073
675.2163, 122.0689
675.6984, 121.7130
676.1805, 121.7000
676.6627, 122.0243
677.1448, 122.5602
677.6269, 123.3953
678.1090, 124.1029
